city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,Европлан,2019-12-12T08:55:58+0300,"<p><strong>Мы делаем автомобили доступными.</strong></p> <p><strong>Если тебе интересна стремительно растущая отрасль автолизинга – мы поможем тебе стать частью будущего нашей большой компании.</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Написание новых модулей и подсистем в существующих 1С конфигурациях (нетиповые конфигурации на базе платформы 1с 8.3);</li> <li>Разработка новых/доработка существующий конфигураций в рамках концепции использования 1с: Предприятия в качестве микросервиса;</li> <li>Рефакторинг существующих наработок;</li> <li>Разработка новых отчетов (СКД);</li> <li>Интеграция систем: c помощью используемых в компании корпоративных шин обмена (RabbitMQ), веб-сервисов;</li> <li>Участие в проектировании архитектуры решений и планировании задач по развитию ИТ-инфраструктуры в рамках своей зоны ответственности;</li> <li>Участие в обсуждении/разработке ТЗ на производимые доработки, готовность и желание взаимодействовать с конечными заказчиками/пользователями;</li> <li>Подготовка и актуализация технической документации/презентации выполненных разработок (markdown, gitlab, powerpoint);</li> <li>Разработка с использованием элементов agile (по крупным проектам внутри компании);</li> <li>Поддержка/консультирование пользователей.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Хорошее знание функционала платформы 1С:Предприятие 8.3: новая разработка преимущественно в управляемом интерфейсе, но требуется также поддержка решения на толстых формах, СКД;</li> <li>Опыт написания нестандартных интеграций (не средствами 1С:Конвертации);</li> <li>Опыт внедрения и сопровождения систем 1С от 2 лет;</li> <li>Коммуникабельность.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное оформление в штат компании с первого рабочего дня;</li> <li>Официальная заработная плата;</li> <li>Добровольное медицинское страхование, дежурный врач в офисе;</li> <li>Оплачиваемый больничный: в соответствии с ТК РФ+100% компенсация от компании до 5 дней больничного;</li> <li>Оплачиваемый отпуск: 28 календарных дней;</li> <li>Выбор времени начала рабочего дня (7:00 – 10:00)</li> <li>Корпоративный спорт (футбол, пейнтбол, настольный теннис);</li> <li>Комфортный офис: столовая и кафе в бизнес центре; кухонный уголок, игровая комната для настольного тенниса;</li> <li>Современное рабочее место: производительные компьютеры, два 24” монитора;</li> <li>Большой коллектив ИТ департамента (более 50 сотрудников, в отделе 1с – 7 сотрудников);</li> <li>Обмен знаний и информации внутри ИТ департамента;</li> <li>Всегда для Вас в офисе: чай, кофе, сахар, молоко, фрукты и орешки;</li> <li>Корпоративные предложения для сотрудников: скидки на автомобили от автопроизводителей, программа лизинга для физических лиц;</li> <li>Собственная электронная библиотека: 600 книг;</li> <li>Корпоративные мероприятия: летний тимбилдинг, новый год, 6 команд в корпоративной лиге КВН, благотворительные мероприятия.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,Без ключевых навыков,6.0,126666.66666666667,3.0,109444.44444444444,разработчик 1с,"Хорошее знание функционала платформы 1С:Предприятие 8.3: новая разработка преимущественно в управляемом интерфейсе, но требуется также поддержка решения...",Написание новых модулей и подсистем в существующих 1С конфигурациях (нетиповые конфигурации на базе платформы 1с 8.3). ,9,1с
Москва,Райффайзенбанк,2019-12-05T13:19:27+0300,"<p>Наша команда находится в поиске старшего разработчика 1С.<br />Мы ищем профессионала, который обладает высоким уровнем технической экспертизы, умеет качественно реализовывать проекты от бизнеса и готов решать сложные и интересные задачи.<br />С нами ты получишь возможность создавать новые продукты и будешь работать с гибкими методиками разработки.</p> <p><strong>В этой роли ты будешь:</strong></p> <ul> <li>дорабатывать и поддерживать существующие конфигурации 8.2, 8,3;</li> <li>создавать и настраивать планы обмена данными;</li> <li>выполнять проекты / задачи по тех. заданиям от бизнеса;</li> <li>составлять рабочую документацию, описания функционала и инструкции по выполненным разработкам;</li> <li>разрабатывать механизмы интеграции со сторонними информационными системами компании.</li> </ul> <p><strong>Необходимая экспертиза:</strong></p> <ul> <li>высшее техническое образование;</li> <li>опыт разработки на платформах 8.2, 8.3 от 2-х лет;</li> <li>знание принципов работы MS SQL;</li> <li>знание основ бухучета и основ функционирования финансовых рынков;</li> <li>навыки работы на всех этапах реализации технических заданий на проекты / задачи (анализ, формализация, создание функционала, тестирование, сдача);</li> <li>готовность решать сложные и интересные задачи;</li> <li>умение работать в команде и самостоятельно.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>расширенную ДМС с первого рабочего дня;</li> <li>большую партнёрскую программу;</li> <li>скидки на корпоративные продукты;</li> <li>профессиональные обучающие курсы (в т.ч. coursera, udemy и т.д.) и конференции в России и за рубежом;</li> <li>комфортный офис в 5 минутах от ст.м. Смоленская;</li> <li>страхование жизни и выезжающих за рубеж.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|MS SQL|SQL|MS SQL Server|1С программирование,3.0,126666.66666666667,1.0,109444.44444444444,старший 1с разработчик,"Высшее техническое образование. Опыт разработки на платформах 8.2, 8.3 от 2-х лет. Знание принципов работы MS SQL. ","Дорабатывать и поддерживать существующие конфигурации 8.2, 8,3. Создавать и настраивать планы обмена данными. Выполнять проекты / задачи по тех. ",15,1с
Москва,Техносерв Консалтинг,2019-12-13T10:53:48+0300,"<p><strong>«Техносерв Консалтинг» </strong>внедряет масштабные и удобные решения в области автоматизации крупного бизнеса. Уже более 10 лет мы делаем жизнь людей проще и качественней.<br />Наша команда активно растёт (с начала года мы выросли с 700 до 1000 сотрудников) и продолжает набирать темп. Сейчас мы ищем<em> </em><strong>Администратора проекта в практику 1С</strong>.</p> <p><strong>О нас: Практика 1С</strong> - молодое, но очень амбициозное направление. Мы активно растем, сегодня в практике работает уже более 90 человек. Все наши проекты уровня enterprise, сроком до 3 лет, а клиенты – преимущественно государственные компании («Роснефть», «Миг», «Технодинамика»). Среди успешно завершенных – «Пенсионный Фонд России» и «Росатом».<br />Мы специализируемся на конфигурациях ERP и УХ, Бит Финанс и документооборот, обладаем экспертизой в производстве, закупках, бюджетировании, ценообразовании, регламентированном, управленческом и бухгалтерском учете. Все наши сотрудники имеют возможность развиваться в смежных предметных областях и осваивать новые конфигурации.</p> <p><strong>Что нужно делать:</strong></p> <ul> <li>вести документооборот на проекте</li> <li>согласовывать проектную документацию</li> <li>согласовывать и протоколировать встречи по проекту</li> <li>делать презентации и отчеты по проектам</li> <li>контролировать исполнение поручений и сроков по проекту</li> </ul> <p><strong>Что важно для нас:</strong></p> <ul> <li>Умение обрабатывать и структурировать большой объем данных</li> <li>Развитые коммуникационные навыки и стрессоустойчивость</li> <li>Упорство в выполнении поставленных задачи и самоорганизация</li> <li>Умение грамотно и точно отражать на бумаге результаты устных обсуждений в ходе встреч и совещаний (ведение протокола встреч)</li> <li>Ориентация на результат, планирование и организация деятельности, работа в команде, эффективная коммуникация, аккуратность, исполнительность, внимательность</li> <li>Высшее образование</li> <li>Владение MS Office</li> </ul> <p><strong>Что предлагаем:</strong></p> <ul> <li>Минимум бюрократии, удобный график работы (начало рабочего дня с 9.00 либо 10.00), casual дресс-код</li> <li>Масштабные долгосрочные государственные проекты, гарантирующие стабильность и уверенность в завтрашнем дне</li> <li>Обучение и оплачиваемая сертификация</li> <li>Пакет ДМС, корпоративные развлечения и спорт (футбол, волейбол, баскетбол)</li> <li>Белую зарплату, полностью состоящую из фиксированной постоянной части</li> <li>Уютный офис с зонами отдыха в 3 минутах пешком от м. Автозаводская (в пешей доступности МЦК и ТТК).</li> <li>Релокационный пакет для сотрудников из регионов. (опционально)</li> </ul> <p><em><strong>Звучит заманчиво? Тогда откликайся на нашу вакансию!</strong></em></p>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,70000.0,1.0,109444.44444444444,администратор проектов 1с,Умение обрабатывать и структурировать большой объем данных. Развитые коммуникационные навыки и стрессоустойчивость. Упорство в выполнении поставленных задачи и самоорганизация. ,Вести документооборот на проекте. Согласовывать проектную документацию. Согласовывать и протоколировать встречи по проекту. Делать презентации и отчеты по проектам. ,8,1с
Москва,"АБСОЛЮТ, Группа",2019-11-20T15:52:21+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Консультирование пользователей по вопросам работы 1С (1-ая линия консультации);</p> </li> <li> <p>Фиксация и анализ проблем;</p> </li> <li> <p>Работа с нормативно справочной информацией</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Высшее/неполное высшее техническое образование (ИТ);</li> <li>Базовые знания 1С;</li> <li>Желание учиться и развиваться;</li> <li> <p>Доброжелательность, стрессоустойчивость, скрупулезность, усидчивость, аналитический склад ума, системное мышление.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Место работы: ст.м. Автозаводская (3 минуты пешком от метро);</li> <li>Официальное трудоустройство;</li> <li>Готовы обсуждать гибкий график работы (полная занятость, работа в офисе);</li> <li>Возможность проходить обучение за счет компании;</li> <li>Возможность участия в корпоративных мероприятиях, спортивных мероприятиях, тренингах;</li> <li>Работа в новом уютном Agile-офис с комфортными рабочими кабинетами, комнатами отдыха, игровыми комнатами. Он расположен в 3-х минутах пешком от метро Автозаводская</li> </ul>",Полная занятость,Полный день,Нет опыта,|Консультирование|Работа с большим объемом информации|1С,,126666.66666666667,,109444.44444444444,специалист по поддержке 1с,"Высшее/неполное высшее техническое образование (ИТ). Базовые знания 1С. Желание учиться и развиваться. Доброжелательность, стрессоустойчивость, скрупулезность, усидчивость, аналитический склад...",Консультирование пользователей по вопросам работы 1С (1-ая линия консультации). Фиксация и анализ проблем. Работа с нормативно справочной информацией.,30,1с
Москва,Star-staff,2019-12-03T18:13:31+0300,"<p>Ищу <strong>PHP-разработчика 1C-Битрикс</strong> в крупнейший интегратор digital-решений в сфере Web/Mobile/Analytics, входит в топ-3 всех рейтингов. Ребята работают с различными российскими и зарубежными компаниями, актуальных проектов несколько :)</p> <p><strong>Что мы ожидаем от вас:</strong></p> <ul> <li>Опыт работы с 1C-Битрикс</li> <li>Уверенные знания PHP5+ и MySQL</li> <li>Базовое знание HTML/CSS/JS</li> </ul> <p><strong>С чем предстоит иметь дело:</strong></p> <ul> <li>Высокие нагрузки</li> <li>Иностранные заказчики</li> <li>Длительные проекты</li> <li>Разработка нового функционала</li> </ul> <p><strong>Что готовы предложить вам:</strong></p> <ul> <li>Оформление по ТК</li> <li>Гибкое начало рабочего дня</li> <li>Некоторые дни можно работать удалённо</li> <li>Выступления в качестве спикеров на различных конференциях и возможность вести свой собственный курс или писать статьи (ребята сотрудничают с Нетологией, Хабром, GeekBrains)</li> <li>Клёвая молодая команда и отличный офис в центре Москвы</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|1С-Битрикс|PHP,3.0,126666.66666666667,1.0,130000.0,1с битрикс разработчик,Опыт работы с 1C-Битрикс. Уверенные знания PHP5+ и MySQL. Базовое знание HTML/CSS/JS.,Высокие нагрузки. Иностранные заказчики. Длительные проекты. Разработка нового функционала.,17,1с
Москва,"Эксперт, Кадровый Центр",2019-12-13T15:13:58+0300,"<p>Ведущая торгово-производственная компания, основное направление <em><strong>производство и продажи светодиодной продукции, приглашает в штат &quot;Программиста 1С&quot;.</strong></em></p> <p><strong>Обязанности:</strong></p> <ul> <li>Доработка и модификация информационных систем на базе 1С (платформа 8.3 УПП);</li> <li>Разработка и тестирование обработок, отчетных форм;</li> <li>Организация помощи пользователям системы;</li> <li>Составление рабочих инструкций;</li> <li>Обучение пользователей работе с системой учета;</li> <li>Администрирование 1С, управление доступом к системе 1 С.</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование ;</li> <li>Хорошее знание типовой конфигурации 1С: УПП 8.3;</li> <li>Уверенное владение встроенным языком, языком запросов, опыт работы с СКД, опыт по обмену данными XML;</li> <li>Знание механизма распределенных баз данных и построения планов обмену;</li> <li>Приветствуется владение принципами документирования проектов о составления ТЗ.</li> </ul> <strong>Условия:</strong> <ul> <li> <p>Оформление по ТК РФ</p> </li> <li>Пятидневная рабочая неделя с 9.00 до 18.00</li> <li>Стабильная выплата заработной платы</li> <li>Мы очень заинтересованы в своей команде, поэтому каждый день мы стараемся ещё больше улучшить условия работы в нашей компании.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|1С: Управление Производственным Предприятием|1С программирование|1С: Предприятие 8|1С: Бухгалтерия|1С: Производство,6.0,126666.66666666667,3.0,109444.44444444444,разработчик 1с,"Высшее образование . Хорошее знание типовой конфигурации 1С: УПП 8.3. Уверенное владение встроенным языком, языком запросов, опыт работы с...","Доработка и модификация информационных систем на базе 1С (платформа 8.3 УПП). Разработка и тестирование обработок, отчетных форм. ",7,1с
Москва,Валта,2019-12-06T10:43:01+0300,"<p>В крупную Российскую дистрибьюторскую компанию (лидер на рынке зоопродукции премиум класса) приглашается ПРОГРАММИСТ 1С.</p> <p><em><strong>Обязанности:</strong></em></p> <ul> <li>программирование в 1С 8.X УПП;</li> <li>доработка нетиповой конфигурации УПП 1.3 (производственный блок не используется) под нужды компании.</li> </ul> <p><em><strong>Требования:</strong></em></p> <ul> <li>высшее образование;</li> <li>серьезный опыт работы по программированию в 1С 8.х УПП от 3-х лет;</li> <li>стрессоустойчивость, дружелюбность и умение работать в команде обязательны.</li> </ul> <p><em><strong>Условия:</strong></em></p> <ul> <li>оклад + ежеквартальные премии (KPI);</li> <li>официальная заработная плата, полное соблюдение ТК РФ;</li> <li>график работы: пн.-пт. 9.30-18.00, возможен сдвиг рабочих часов;</li> <li>удаленная работа;</li> <li>офис расположен в 10 мин от м. Нагатинская, в ближайшее время переезд в новый офис в 5 минутах от м. Улица Академика Янгеля.</li> </ul> <p> </p>",Полная занятость,Удаленная работа,От 3 до 6 лет,Без ключевых навыков,6.0,126666.66666666667,3.0,109444.44444444444,разработчик 1с,"Высшее образование. Серьезный опыт работы по программированию в 1С 8.х УПП от 3-х лет. Стрессоустойчивость, дружелюбность и...",Программирование в 1С 8.X УПП. Доработка нетиповой конфигурации УПП 1.3 (производственный блок не используется) под нужды компании.,15,1с
Москва,Роял Консалтинг Групп,2019-12-09T10:13:44+0300,"<p>Не консалтинг. <strong>Постоянная работа в производственной компании</strong>. Прямой работодатель. Приглашаем на полное сопровождение Специалиста по внедрению 1С:ERP.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка, доработка, обновление и оптимизация типовых и не типовых конфигураций на базе платформ 1С 8.2-8.3, ERP.</li> <li>Создание модификации объектов конфигурации 1С БУ, НУ, УУ.</li> <li>Техническая поддержка (копирование, решение вопросов пользователей, блокировка, восстановление баз и пр.).</li> <li>Администрирование 1С (8.2-8.3), ERP.</li> <li>Оптимизация производительности БД.</li> <li>Создание технической документации.</li> </ul> <strong>Требования:</strong> <ul> <li>Аналогичный опыт работы от 3-х лет.</li> <li>Знание конфигураций 1С 8.3, 1С 8.2, 1С:ERP Управление предприятием.</li> <li>Знание электронного документооборота EDI, Контур.</li> <li>Умение автоматизировать процессы.</li> <li>Высокая степень ответственности - быть на связи 5/2 8 ч в день.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа на удаленной основе.</li> <li>Офисе м. ВДНХ &quot;Ханой-Москва&quot;.</li> <li>Оформление по ТК РФ или ГПХ.</li> <li>Предоставляется корпоративная мобильная связь.</li> <li>Оплата по договоренности.</li> </ul>",Полная занятость,Удаленная работа,От 3 до 6 лет,Без ключевых навыков,6.0,126666.66666666667,3.0,109444.44444444444,специалист по внедрению 1с:erp,"Аналогичный опыт работы от 3-х лет. Знание конфигураций 1С 8.3, 1С 8.2, 1С:ERP...","Разработка, доработка, обновление и оптимизация типовых и не типовых конфигураций на базе платформ 1С 8.2-8.3, ERP. ",12,1с
Москва,НИКАМЕД,2019-12-05T07:37:46+0300,"<p>Группа компаний НИКАМЕД – стабильная компания, работающая на рынке более 23 лет. Компания работает с ведущими европейскими производителями и развивает сеть ортопедических салонов ОРТЕКА, а также имеет собственное производство товаров для сна (торговая марка TRELAX), Корпоративный университет и растущую партнерскую сеть по всей России и странам СНГ.</p> <p>ОРТЕКА дает возможность каждому сотруднику проявить лучшие профессиональные и личностные качества. Все, что мы делаем – мы делаем для людей. Присоединяйтесь к лидеру, становитесь успешным вместе с НИКАМЕД и ОРТЕКА.</p> <p> </p> <p><strong>Для выполнения поддержки конфигураций 1С и участия в проектах приглашается опытный разработчик, обладающий следующими навыками:</strong></p> <ul> <li>Уверенное знание деятельности коммерческих организаций:</li> <li>Опыт работы с типовыми конфигурациями 1С (Розница-2.2)</li> <li>Уверенное знание основных технологий 1С:Предприятие 8: <ol> <li>Управляемые и не управляемые формы</li> <li>Опыт разработки и модификации отчетов на СКД</li> <li>Опыт настройки механизма РЛС</li> <li>Работы с распределенными базами (СУРБД)</li> <li>Опыт настройки обмена между разными базами (платформами 1С)</li> <li>Использование Web- и HTTP-сервисов для интеграции систем 1С между собой и с другими платформами.</li> </ol> </li> <li>Приветствуется: Опыт разработки приложений на мобильной платформе 1С</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Оперативная поддержка типовых конфигураций 1С: Розница-2.2</li> <li>Решение инцидентов, возникающих у пользователей при работе с системой</li> <li>Помощь бухгалтерам перед закрытием периодов</li> <li>Участие в проектных работах по доработке оперативных баз и интеграции системы 1С с прочими сторонними информационными системами</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Конкурентоспособный уровень заработной платы</li> <li>Оформление в соответствии с ТК РФ</li> <li>Возможность профессионального роста</li> <li>Корпоративные скидки для сотрудников: на приобретение продукции компании и ДМС</li> <li>График работы 5/2, с 10.00 до 18.30</li> <li>Комфортабельный офис м. Савеловская (5-7 мин пешком)</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,126666.66666666667,1.0,109444.44444444444,разработчик 1с,Уверенное знание деятельности коммерческих организаций: Опыт работы с типовыми конфигурациями 1С (Розница-2.2). Уверенное знание основных технологий 1...,"Оперативная поддержка типовых конфигураций 1С: Розница-2.2. Решение инцидентов, возникающих у пользователей при работе с системой. ",16,1с
Москва,Первый Бит,2019-12-11T10:00:03+0300,"<p><strong>КОМПАНИЯ «ПЕРВЫЙ БИТ» — МЕЖДУНАРОДНАЯ ИТ-КОМПАНИЯ</strong>, разработчик и поставщик программных решений для автоматизации учёта и управления. <strong>ОФИС М. СЕМЕНОВСКАЯ, ЯВЛЯЕТСЯ ОТДЕЛЬНЫМ ПОДРАЗДЕЛЕНИЕМ КОМПАНИИ ПЕРВЫЙ БИТ</strong>. Подразделение вошло в состав компании в 2010 году, имея на тот момент более чем 10-летнюю историю.</p> <p><strong>ЧЕМ МЫ ЗАНИМАЕМСЯ?</strong></p> <p>Основным направлением нашего офиса является автоматизация вузов, медицинских организаций, научно-исследовательских институтов и различных государственных и коммерческих учреждений на базе программных продуктов, как компании 1С, так и наших собственных разработках.</p> <p><em>В офисе работает около 100 человек, из них 70 разработчики.</em></p> <p>Программист 1С (офис\удаленно)</p> <p><strong>ОБЯЗАННОСТИ:</strong></p> <ul> <li>Участие в разработке собственных решений компании;</li> <li>Доработка нетиповых конфигураций под нужды клиента;</li> <li>Консультация клиентов по вопросам работы программы 1С;</li> <li>Техническое управление проектами.</li> </ul> <p><strong>ТРЕБОВАНИЯ:</strong></p> <ul> <li>Опыт разработки на управляемых формах;</li> <li>Наличие сертификата уровня специалист\специалист-консультант;</li> <li>Высшее техническое или среднее специальное образование;</li> <li>Ответственность.</li> </ul> <p><strong>УСЛОВИЯ:</strong></p> <ul> <li>Работа в офисе или удаленно;</li> <li>Достойная и своевременная оплата труда;</li> <li>Зарплата сдельная, без потолка, зависит от объема выполненных работ и уровня вашей квалификации;</li> <li>Официальное оформление по ТК РФ;</li> <li>ДМС, насыщенная и яркая корпоративная жизнь;</li> <li>Оплачиваемое обучение;</li> <li>Сертификация 1С за счет компании.</li> <li>Для кандидатов из регионов предоставляется возможность проживания в Хостеле компании на 1-3 мес. (250 руб./сутки)</li> </ul> <p><strong>ОТЗЫВЫ СОТРУДНИКОВ О НАШЕМ ОФИСЕ:</strong></p> <p>«У нас в офисе отличная команда, коллеги всегда готовы поделиться знаниями и помочь в сложной ситуации при решении задач.»</p> <p>«Все направлено на поддержку развития сотрудников: возможность быстрого роста и обучения у новых сотрудников; наличие библиотеки с актуальной литературой, а если чего-то не хватает, всегда можно заказать; всегда достаточная загрузка на проектах, нет времени скучать; хорошо развита корпоративная жизнь и многое другое.»</p> <p>«Мне нравится, что уровень оплаты труда зависит от результатов работы и нет наличия потолка, а также возможность удаленной работы!»</p> <p>«Огромным плюсом является лояльность и грамотность руководства, руководитель всегда идёт навстречу сотрудникам в сложных для них ситуациях, и даже личных.»</p>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,150000.0,1.0,70000.0,разработчик 1с в проектный офис,Опыт разработки на управляемых формах. Наличие сертификата уровня специалист\специалист-консультант. Высшее техническое или среднее специальное образование. Ответственность.,Участие в разработке собственных решений компании. Доработка нетиповых конфигураций под нужды клиента. Консультация клиентов по вопросам работы программы 1С. ,10,1с
