city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,"Аквариус, Группа компаний",2019-12-12T16:58:26+0300,"<p><strong><em>ПК «Аквариус» – ведущий российский разработчик, производитель и поставщик компьютерной техники и ИТ-решений для государственных и корпоративных заказчиков.</em></strong></p> <p><strong><em>Под брендом Aquarius производятся серверные системы и системы хранения данных, широкий спектр клиентских устройств (ноутбуки, моноблоки, персональные компьютеры, рабочие станции, тонкие клиенты, информационные терминалы), а также специализированные ИТ-решения по информационной безопасности и отраслевые ИТ-решения для здравоохранения и образования.</em></strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>управление рабочей группой, группами продакт-менеджеров и инженеров;</li> <li>обеспечение эффективного проведения исследований, разработок и испытаний новых моделей изделий Aquarius;</li> <li>обеспечение постановки изделий на серийное производство по ГОСТ и ISO;</li> <li>организация взаимодействия со смежными подразделениями (менеджеры по продукции, производство, сервис, техподдержка);</li> <li>организация взаимодействия с партнерами по разработке (компоненты и ПО);</li> <li>разработка и внедрение методик и регламентов тестирования, форм протоколов, системы отчетности;</li> <li>организация разработки единой базы знаний по компонентам и изделиям Aquarius;</li> <li>разработка плана и реализация проекта;</li> <li>разработка ассортиментной политики компании;</li> <li>разработка новых продуктов;</li> <li>планирование и контроль графиков разработки продукции;</li> <li>управление изменениями и модификациями существующих продуктов;</li> <li>знание рынка и выбранной индустрии;</li> <li>методики разработки IT-продуктов и технические знания;</li> <li>методологии и процессы проектного менеджмента;</li> <li>бизнес-планирование и финансы;</li> <li>контроль бухгалтерского сопровождения проекта;</li> <li>управление командой и коммуникации;</li> <li>техническая поддержка продаж;</li> <li>навыки ведения переговоров;</li> <li>разработка мероприятий по выводу новых продуктов на рынок;</li> <li>разработка позиционирования продуктов;</li> <li>разработка рекомендаций по ценообразованию, и продвижению продуктов;</li> <li>планирование соответствующих маркетинговых исследований;</li> <li>анализ и мониторинг конкурирующих продуктов;</li> <li>маркетинг и вывод продукта на рынок.</li> </ul> <strong>Требования:</strong> <ul> <li>высшее образование (техническое / экономическое);</li> <li>опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением от 3-х лет;</li> <li>опыт операционного контроля, управления командой, обучения персонала;</li> <li>опыт оптимизации бизнес-процессов подразделения, написания регламентов, инструкций;</li> <li>аналитический склад ума;</li> <li>развитые коммуникативные навыки;</li> <li>ориентация на результат;</li> <li>знания мирового рынка компьютерного оборудования – основные игроки и их продукты, технологии и тенденции в ИТ, техническое устройство современных вычислительных устройств в следующих сферах: <ul> <li>серверные системы: серверы классические, модульные серверы, блейд серверы;</li> <li>системы хранения данных: классические и программно-определяемые;</li> <li>коммутаторы: управления, доступа, top-of-rack, программно-определяемые;</li> <li>программное обеспечение: отечественные и зарубежные операционные системы, системы виртуализации, системы управления ИТ инфраструктурой, прикладное ПО для создания программно-определяемых решений.</li> </ul> </li> <li>Опыт создания и вывода на рынок новых продуктов;</li> <li>Знания технологий производства радиоэлектроники, микроэлектроники;</li> <li>Опыт работы с контрактными производствами;</li> <li>Знание законодательной базы, регулирующей отрасль.</li> </ul> <strong>Условия:</strong> <ul> <li>Интересные сложные проекты;</li> <li>Команда профессионалов, умеющая решать задачи любой сложности;</li> <li>Оформление в соответствии с ТК РФ;</li> <li>График работы 5/2 с 10.00 до 19.00 или с 09.00 до 18.00;</li> <li>ДМС на льготных условиях;</li> <li>Удобный современный офис в новом офисном центре класса «А» &quot;ComCity&quot; со всей инфраструктурой (кафе, столовые, магазины, фитнес, парковки), в 600 метрах от метро «Румянцево»;</li> <li>Достойная з\п и прозрачная система бонусов. Уровень заработной платы обсуждается с финальным кандидатом.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Управление проектами|Управление продуктом|Оптимизация бизнес-процессов|Информационные технологии|Ценообразование,6.0,95000.0,3.0,100000.0,data science,"Высшее образование (техническое / экономическое). Опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением от 3-х лет. Опыт операционного контроля...","Управление рабочей группой, группами продакт-менеджеров и инженеров. Обеспечение эффективного проведения исследований, разработок и испытаний новых моделей изделий Aquarius. ",8,data science
Москва,ManpowerGroup,2019-12-10T14:08:44+0300,"<p><em>ManpowerGroup Russia &amp; CIS</em> и наш клиент, международная FMCG компания, находятся в поиске <strong>Sales Data Analyst :</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Всесторонняя аналитическая поддержка отдела продаж;</li> <li>Поддержка баз данных и реестров, для корректной работы отдела продаж;</li> <li>Поддержка текущей отчетности на регулярной основе;</li> <li>Участие в подготовке, обработке, проверке и загрузке маршрутов для полевой структуры;</li> <li>Составление отчетов: План/факт/динамика;</li> <li>Обеспечение проведения обучения в области систем/процессов отчетности и другого обучения для сотрудников отдела продаж;</li> <li>Лидирование проектов по развитию и улучшению качества аналитической поддержки;</li> <li>Подготовка презентаций.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы в аналитике</li> <li>Продвинутый пользователь ПК: Excel (сводные таблицы, сложные формулы, массивы данных), Outlook, PowerPoint, Word;</li> <li>Навыки делового общения и коммуникации;</li> <li>Английский язык не ниже <strong>Intermediate.</strong></li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|MS PowerPoint|MS Outlook|Английский язык|Подготовка презентаций|Проведение презентаций,3.0,90000.0,1.0,100000.0,data science,"Опыт работы в аналитике. Продвинутый пользователь ПК: Excel (сводные таблицы, сложные формулы, массивы данных), Outlook, PowerPoint, Word. Навыки делового общения...","Всесторонняя аналитическая поддержка отдела продаж. Поддержка баз данных и реестров, для корректной работы отдела продаж. Поддержка текущей отчетности на регулярной...",10,data science
Москва,"Ренессанс cтрахование, Группа",2019-11-18T15:26:40+0300,"<p>В команду отдела развития анализа данных IT-департамента ищем <strong>начинающего дата-аналитика</strong> на неполную рабочую неделю (20-32 часа)</p> <p><br /><strong>Задачи</strong>:</p> <ul> <li>построение моделей машинного обучения;</li> <li>подготовка витрин данных под свои задачи;</li> <li>внедрение моделей.</li> </ul> <p><strong>Ждем, что у вас есть:</strong></p> <ul> <li>навыки построения моделей машинного обучения;</li> <li>владение математической статистикой, линейной алгеброй;</li> <li>знание языка программирования python (pandas, sklearn, numpy, matplotlib).</li> </ul> <p><strong>От нас:</strong></p> <ul> <li>максимальная поддержка старших коллег;</li> <li>только профильные задачи;</li> <li>гибкий подход к началу рабочего дня;</li> <li>работа в комфортном офисе в БЦ на Дербеневской набережной, бесплатный корпоративный транспорт от м. Пролетарская;</li> <li>ДМС с стоматологией, страхование от несчастного случая;</li> <li>корпоративные спортивные программы - йога, футбол.</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,|Python|Математическое моделирование|Математическая статистика,,95000.0,,100000.0,data science,"Навыки построения моделей машинного обучения. Владение математической статистикой, линейной алгеброй. Знание языка программирования python (pandas, sklearn, numpy, matplotlib).",Построение моделей машинного обучения. Подготовка витрин данных под свои задачи. Внедрение моделей.,32,data science
Москва,НИПИГАЗ,2019-12-12T16:40:26+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Настройка и администрирование отказоустойчивых промышленных и тестовых СУБД Oracle, MSSQL, postgres. В приоритете Oracle.</p> </li> <li> <p>Обеспечение непрерывности работы, регулярное регламентное обслуживание, задания резервного копирования и т.д.</p> </li> <li> <p>Мониторинг и аудит работы системного и прикладного ПО.</p> </li> <li> <p>Внедрение нового прикладного ПО, обновление версий ПО.</p> </li> <li> <p>Реализация изменений в ИТ-инфраструктуре.</p> </li> <li> <p>Участие в проектах внедрения новых систем, проектах цифровизации.</p> </li> <li> <p>Обеспечение требований безопасности систем.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Высшее техническое или финансово-экономическое образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа.</p> </li> <li> <p>Отличное знание СУБД Oracle - обязательно, postgres и MSSQL - желательно (репликация, отказоустойчивость, резервное копирование, мониторинг).</p> </li> <li> <p>Работа с большими данными.</p> </li> <li> <p>Хорошие знания unix подобных ОС (cli, ssh, systemd).</p> </li> <li> <p>Навыки написания скриптов: Python, Bash, Perl.</p> </li> <li> <p>Понимание работы БД высоконагруженных сервисов.</p> </li> <li> <p>Опыт работы с Docker будет плюсом.</p> </li> <li> <p>Опыт внедрения и администрирования платформ виртуализации (VMware, Citrix).</p> </li> <li> <p>Базовые знания в области работы с SAN, системами хранения данных и системами резервного копирования, опыт администрирования приветствуется.</p> </li> <li> <p>Навыки работы с инструментами мониторинга и траблшутинга компонентов платформ виртуализации и VDI, узких мест в производительности и т.д.</p> </li> <li> <p>Навыки работы с программными продуктами и решениями Microsoft, VMware.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Конкурентная оплата труда.</li> <li>Премиальные выплаты</li> <li>ДМС и страхование от несчастных случаев и болезней.</li> <li>Медицинское обслуживание и мониторинг здоровья.</li> <li>Оплачиваемая мобильная связь.</li> <li>Скидки на питание.</li> <li>Развивающие программы и тренинги.</li> <li>Материальная помощь, до­полнительные дни отдыха в связи с особыми событиями жизни.</li> <li>Кандидатам из других городов предоставляется релокационный пакет.</li> <li>Санаторно – курортный отдых в Анапе и Алтай­ском крае.</li> <li>Детский оздоровительный лагерь в Анапе.</li> <li>Детские подарки на Новый год и 1 сентября.</li> <li>Дополнительный социальный пакет для членов Профсоюза.</li> <li>Скидки от партнеров компании (фитнес центры, корпоративные отели и т.д.)</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Python|Citrix|Управление разработкой|Perl|Информационные технологии|ORACLE|MS SQL,6.0,95000.0,3.0,100000.0,data science,"Высшее техническое или финансово-экономическое образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа. Отличное знание СУБД...","Настройка и администрирование отказоустойчивых промышленных и тестовых СУБД Oracle, MSSQL, postgres. В приоритете Oracle. Обеспечение непрерывности работы, регулярное регламентное обслуживание...",8,data science
Москва,МТС,2019-11-29T11:20:47+0300,"<p><strong>Обязанности:</strong></p> <p>• Развитие корпоративной модели данных на основе современных трендов и потребностей в текущих и внедряемых ИТ решениях и проектах;</p> <p>• Разработка корпоративной модели данных, участие в её внедрении;</p> <p>• Формирование стандартов корпоративной модели данных;</p> <p>• Разработка методик применения и развития корпоративной модели данных на основе современных трендов и оценки эффективности её применения;</p> <p>• Верификация и оценка корпоративной модели данных новых и текущих ИТ решений и проектов;</p> <p>• Проведение мероприятий по обучению сотрудников Компании аспектам, связанным с корпоративной моделью данных;</p> <p>• Отслеживание новых трендов, технологий и решений, затрагивающих корпоративную модель данных и её использование на ИТ ландшафте;</p> <p>• Консультирование продуктовых и проектных команд по аспектам, затрагивающим модели данных, включая корпоративную;</p> <p>• Взаимодействие с доменными и командными архитекторами для формирования эффективной корпоративной модели данных;</p> <p><strong>Требования:</strong></p> <p>• высшее профильное (инженерное) образование;</p> <p>• технический английский язык, разговорный английский язык будет преимуществом;</p> <p>• знание методик и нотаций описания ИТ архитектуры предприятия (бизнес-архитектура, архитектура данных, архитектура приложений, техническая архитектура);</p> <p>• понимание архитектурных принципов построения информационных систем, а также построения интеграционных решений (SOA, ESB, ETL);</p> <p>• Творческий подход к решению задач, дизайн мышление;</p> <p>• Аналитический склад ума;</p> <p>• Способность к абстрактному мышлению;</p> <p>• Навыки и опыт презентаций и публичных выступлений;</p> <p>• Практические навыки в проектах интеграции данных и интеграции приложений;</p> <p>• Опыт составления и ведения технической и проектной документации (целевых моделей автоматизируемых бизнес-процессов, ТЗ, спецификаций, программных требований к интерфейсам и т.д.);</p> <p>• приветствуется практический опыт применения enterprise architecture фреймворков (TOGAF, Zachman framework);</p> <p>• опыт участия в крупных проектах в качестве архитектора или ведущего специалиста.</p> <p><strong>Условия работы:</strong></p> <ul> <li> <p>Стабильная белая зарплата.</p> </li> <li> <p>100% оплата больничного листа.</p> </li> <li> <p>Мы сделали обучение доступным. Вы можете проходить тренинги очно, дистанционно, в корпоративном университете, у провайдеров, у наставников. На каждого сотрудника компании приходится несколько десятков часов обучения в год.</p> </li> <li> <p>В МТС существует собственный центр Agile экспертизы, готовый помочь в любой момент!</p> </li> <li> <p>Гибкий график, отличные коллеги.</p> </li> <li> <p>ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж; бесплатные тренировки по волейболу и баскетболу.</p> </li> <li> <p>Отпуск 31 день.</p> </li> <li> <p>Кафе с баристой и вкуснейшим кофе, а так же столовая на первом этаже Технопарка.</p> </li> <li> <p>Частичная компенсация фитнес-абонемента.</p> </li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Архитектура|Корпоративная стратегия|Management Of Manufacturing Enterprise|enterprise architecture,6.0,95000.0,3.0,100000.0,data science,"Высшее профильное (инженерное) образование. Технический английский язык, разговорный английский язык будет преимуществом. Знание методик и нотаций описания ИТ архитектуры предприятия...",Развитие корпоративной модели данных на основе современных трендов и потребностей в текущих и внедряемых ИТ решениях и проектах. ,22,data science
Москва,Технологическая Компания Центр,2019-11-29T10:40:56+0300,"<p><strong>Обязанности:</strong></p> <p>Ежедневная обработка спортивной информации для подготовки бухгалтерской отчетности;</p> <p>Поиск информации в открытых источниках; соотнесение информации из разных источников;</p> <p>Подготовка отчетов в требуемом формате;</p> <p>Исполнение иных поручений, связанных с обработкой данных.</p> <p><strong>Требования:</strong></p> <p>Высшее образование;</p> <p>Опыт работы с большими объемами информации;</p> <p>Структурность мышления, аналитический склад ума;</p> <p>Отличное владение MS office (Excel, Word);</p> <p>Ответственность, внимательность, коммуникабельность.</p> <p><strong>Условия:</strong></p> <p>Достойный уровень заработной платы (по итогам собеседования);<br />Работа в высокотехнологичной сфере с уникальным продуктом;<br />Полностью официальные выплаты;<br />Работа в современном БЦ класса А;<br />Уютный, эргономичный и креативный офис.</p>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,95000.0,1.0,100000.0,data science,"Высшее образование. Опыт работы с большими объемами информации. Структурность мышления, аналитический склад ума. Отличное владение MS office (Excel, Word). ",Ежедневная обработка спортивной информации для подготовки бухгалтерской отчетности. Поиск информации в открытых источниках; соотнесение информации из разных источников. ,22,data science
Москва,ВЕРОФАРМ,2019-11-16T18:55:43+0300,"<p>Информация о компании:</p> <p>В «ВЕРОФАРМ» (группа Abbott) мы стремимся к тому, чтобы важные и необходимые людям лекарства производились в России с использованием самого современного оборудования и новейших технологий. Производственную базу компании «ВЕРОФАРМ» составляют три крупных завода: в Воронеже, Белгороде и пос. Вольгинский (Владимирская область). Обладая производственной базой в России, «ВЕРОФАРМ» пользуется накопленными Abbott за 130 лет существования знаниями и технологиями.</p> <p>Мы приглашаем Вас присоединиться к нашей команде в роли:</p> <p><strong>Аналитика баз данных</strong></p> <strong>Обязанности:</strong> <ul> <li>Разработка сложных аналитических систем отчетности;</li> <li>Сборка и формирование отчетов в Excel;</li> <li>Автоматизация процессов формирования отчетов с помощью VBA в Excel;</li> <li>Построение сводных таблиц, диаграмм;</li> <li>Автоматизация отчетов;</li> <li>Консультация пользователей по вопросам работы с отчетами</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование (в сфере экономики, статистики, математики);</li> <li>Профессиональное владение Excel (VBA);</li> <li>Умение работать с большими объемами информации;</li> <li>Опыт работы с BI системами;</li> <li>Ответственность, аккуратность, внимательность</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по ТК РФ, официальная заработная плата, оплачиваемый отпуск, больничный;</li> <li>График работы: 5/2</li> <li>Добровольное медицинское страхование (включая стоматологическое обслуживание) с первого рабочего дня;</li> <li>Возможность профессионального развития и обучения;</li> <li>Опыт работы в команде профессионалов, в крупной производственной компании - лидере в своем сегменте;</li> <li>Офис расположен на территории современного бизнес-центра, 7 мин. пешком от м. Кожуховская.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Английский язык|Электронный документооборот|MS PowerPoint|MS Outlook|Документооборот|Аналитика продаж,3.0,95000.0,1.0,100000.0,data science,"Высшее образование (в сфере экономики, статистики, математики). Профессиональное владение Excel (VBA). Умение работать с большими объемами информации. Опыт работы с...",Разработка сложных аналитических систем отчетности. Сборка и формирование отчетов в Excel. Автоматизация процессов формирования отчетов с помощью VBA в Excel. ,34,data science
Москва,ANCOR FinTech,2019-12-02T12:40:10+0300,"<p>Задачи:</p> <p>- формирование и управление командой (продакт-менеджеры, рабочие группы, инженеры);</p> <p>- организация проведения исследований, разработок и испытаний новых моделей изделий;</p> <p>- обеспечение постановки изделий на серийное производство по ГОСТ и ISO;</p> <p>- организация взаимодействия со смежными подразделениями;</p> <p>- организация взаимодействия с партнерами по разработке;</p> <p>- разработка плана и реализация проектов, техническая поддержка;</p> <p>- разработка ассортиментной политики;</p> <p>- маркетинг и вывод продукта на рынок.</p> <p>Потребуется:</p> <p>- высшее образование;</p> <p>- опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением;</p> <p>- опыт операционного контроля, управления командой;</p> <p>- опыт оптимизации бизнес-процессов подразделения, написания регламентов, инструкций;</p> <p>- опыт создания и вывода на рынок новых продуктов;</p> <p>- знание компьютерного рынка, технологий и тенденций.</p> <p>Компания - разработчик, производитель и поставщик компьютерной техники и ИТ-решений для корпоративных заказчиков.</p>",Полная занятость,Полный день,Более 6 лет,|Разработка регламентов|контрактное производство|Руководство коллективом|Управление продуктом|Запуск новых продуктов|Управление проектами,,95000.0,6.0,100000.0,data science,"Потребуется: - высшее образование. - опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением. - опыт операционного контроля, управления командой. - опыт оптимизации бизнес...","формирование и управление командой (продакт-менеджеры, рабочие группы, инженеры). - организация проведения исследований, разработок и испытаний новых моделей изделий. - ",19,data science
Москва,Билайн,2019-12-12T08:13:39+0300,"<p>Мы являемся частью международной группы компаний и представляем один из самых ярких и сильных брендов в России. Мы гордимся тем, что уже сегодня разрабатываем и реализуем технологии, аналогов которым нет в мире. А ещё Билайн - это не просто компания, это - команда, объединённая общими ценностями и общей целью - быть лидером телеком и digital-рынков, предоставляя нашим клиентам новейшие продукты и услуги, а также сервис самого высокого уровня.<br />Билайн признан работодателем №1 в телеком-отрасли России. И сейчас у тебя есть возможность присоединиться к лучшей команде в качестве Старшего менеджера по развитию продуктов Big Data.</p> <p><em><strong>Итак, тебе предстоит:</strong></em></p> <ul> <li>Курировать запуск новых инновационных продуктов для корпоративных B2B клиентов, основанных на инструментах Big Data;</li> <li>Участвовать в разработке новых услуг, обусловленных потребностями клиентов и рынка;</li> <li>Управлять жизненным циклом продуктов;</li> <li>Проводить обучение для сотрудников подразделений по корпоративным продажам, а также участвовать в соответствующих тематических конференциях;</li> <li>Собирать обратную связь от бизнес-подразделений по курируемым продуктам;</li> <li>Разрабатывать и реализовывать идей, предложения, связанные с развитием подключений и увеличением выручки от курируемых решений;</li> <li>Участвовать в разработке и реализации нестандартных технических решений на базе данных продуктов по запросам высокодоходных корпоративных клиентов;</li> <li>При необходимости осуществлять поддержку продаж (presale) решений для ключевых корпоративных заказчиков (проведение переговоров и презентаций).</li> </ul> <p> </p> <p><em><strong>Мы будем рады рассмотреть тебя, если у тебя есть:</strong></em></p> <ul> <li>Высшее образование;</li> <li>Опыт работы в качестве продуктолога в В2В направлении от 2-х лет в крупных компаниях (телеком, digital и рекламные агентства как преимущество);</li> <li>Успешный опыт запуска продуктов, знание BIG DATA и рекламного рынка;</li> <li>Интерес в сфере применения технологий BIG DATA, machine learning и AI;</li> <li>Сильные аналитические способности и отличные презентационные и коммуникативные способности.</li> </ul> <p><em><strong>Что мы предлагаем:</strong></em></p> <ul> <li>Работа в компании, большинство продуктов которой не имеет аналогов на рынке;</li> <li>Сплоченная команда профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться;</li> <li>Постоянное развитие, участие в интересных проектах и расширение профессиональной экспертизы;</li> <li>Конструктивная и открытая рабочая атмосфера;</li> <li>Корпоративное обучение;</li> <li>Полис добровольного медицинского страхования, обслуживаемый в лучших клиниках города;</li> <li>Служебную сотовую связь.</li> </ul> <p><em>В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам.</em></p>",Полная занятость,Полный день,От 3 до 6 лет,|Big Data|Digital Marketing|Запуск новых продуктов|Ведение переговоров,6.0,95000.0,3.0,100000.0,data science,Высшее образование. Опыт работы в качестве продуктолога в В2В направлении от 2-х лет в крупных компаниях (телеком...,"Курировать запуск новых инновационных продуктов для корпоративных B2B клиентов, основанных на инструментах Big Data. Участвовать в разработке новых...",9,data science
Москва,ManpowerGroup,2019-11-19T16:13:34+0300,"<p><strong>Manpowergroup и наш клиент, американская компания, крупный производитель косметических и санитарно-гигиенических товаров, а также медицинского оборудования, ищет кандидатов на позицию Аналитик - визуализатор данных на проект (Временная вакансия)</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Регулярная подготовка аналитических отчетов по конкурентному окружению и компании, с учетом каналов, продуктов, регионов</li> <li>Регулярная подготовка отчетов по внутренним продажам – от результата компании до индивидуальных результатов сотрудников</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее профессиональное образование, предпочтительно математическое, техническое или студенты последних курсов</li> <li>Знание английского языка, достаточное для написания комментариев к отчету, будет преимуществом</li> <li>Отличное владение PowerPoint, умение визуализировать сложные данные, переводить их в простой формат</li> <li>Знание Excel, достаточное для работы с уже готовыми данными, в тч pivots</li> </ul> <strong>Условия:</strong> <ul> <li><strong>Период работы: 1 год</strong> (Проект на весь 2020 год)</li> <li>Формат работы: удаленно</li> <li>Оформление про гражданско-правовому договору</li> <li>Достойный уровень заработной платы;</li> </ul>",Проектная работа,Удаленная работа,От 1 года до 3 лет,|MS PowerPoint|Английский язык|Аналитические исследования|Визуализация|MS Excel,3.0,95000.0,1.0,100000.0,data science,"Высшее профессиональное образование, предпочтительно математическое, техническое или студенты последних курсов. Знание английского языка, достаточное для написания комментариев к отчету, будет...","Регулярная подготовка аналитических отчетов по конкурентному окружению и компании, с учетом каналов, продуктов, регионов. Регулярная подготовка отчетов по внутренним продажам...",31,data science
