city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,Бизнес солюшинс лаб,2019-12-11T13:27:49+0300,"<p>Компания BS lab — это опыт решения IT задач любой сложности.</p> <p>Мы уже запустили несколько собственных успешных проектов в сфере авиаобслуживания, логистики, такси и др, и теперь готовы помочь другим компаниям в создании самых разных сервисов — от веб-сайтов до сложных highload проектов. Помогаем эффективно выстроить процессы, когда команда и продукт уже есть — IT-консалтинг также одно из направлений нашей работы.</p> <p><strong>Наши проекты:</strong></p> <ul> <li><em>Приложение такси, где пассажир и водитель знают друг друга</em></li> <li><em>Веб-платформа для таксопарков</em></li> <li><em>Сервис для доставки (B2B)</em></li> </ul> <p>Чтобы проекты росли, а пользователи и клиенты были довольны, нам нужны разработчики (удаленно).</p> <p><strong>Задачи:</strong></p> <ul> <li> <p>Разработка и поддержка мобильного приложения для клиентов;</p> </li> <li> <p>Разработка архитектуры мобильных приложений;</p> </li> <li> <p>Участие в разработке API;</p> </li> <li> <p>Взаимодействие с распределенной командой разработчиков;</p> </li> <li> <p>Проведение Code Review.</p> </li> </ul> <p><strong>Что нужно уметь:</strong></p> <ul> <li> <p>Профессиональное владение Swift;</p> </li> <li> <p>Понимание основ сетевого взаимодействия, опыт разработки клиент-серверных приложений, работа с протоколами HTTP, WS;</p> </li> <li> <p>Знание ООП, многопоточного программирования и умение применять их на практике;</p> </li> <li> <p>Знание современных архитектурных паттернов в разработке (Viper, MVP, Clean Architecture, и так далее), понимание принципов SOLID;</p> </li> <li> <p>Опыт работы с Git (по Git Flow в команде).</p> </li> </ul> <p><strong>Что будет полезно:</strong></p> <ul> <li> <p>Опыт работы с Google Maps, Google Services, Alamofire, Realm;</p> </li> <li> <p>Умение писать unit-тесты;</p> </li> <li> <p>Опыт разработки геолокационных сервисов.</p> </li> </ul> <p><strong>Что даем взамен:</strong></p> <ul> <li>Удалённый график работы;</li> <li>Стабильная «белая» заработная плата, трудоустройство по ТК РФ;</li> <li> <p>Возможность прокачки hard skills на проектах разного уровня сложности;</p> </li> <li> <p>Команду с сильными разработчиками, QA-инженерами, product–менеджерами, UX/UI дизайнерами и налаженными внутренними процессами;</p> </li> <li>Возможность профессионального роста, оплачиваемое участие в конференциях и посещение образовательных курсов;</li> <li>Команду единомышленников, которой важно создавать качественный, удобный и инновационный продукт.</li> </ul> <p><strong>А чтобы нам было что обсудить на первой встрече, </strong>расскажите о запущенных вами проектах со ссылками и приложите ссылку на Github или пример вашего кода.</p>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|iOS|Git|ООП|Swift|Viper|MVVM,3.0,176666.66666666666,1.0,93333.33333333333,ios разработчик,"Профессиональное владение Swift. Понимание основ сетевого взаимодействия, опыт разработки клиент-серверных приложений, работа с протоколами HTTP, WS. Знание ООП, многопоточного...","Приложение такси, где пассажир и водитель знают друг друга. Веб-платформа для таксопарков. Сервис для доставки (B2B). ",9,ios
Москва,Информтехника,2019-12-12T06:23:48+0300,"<p> </p> <p>Приглашаем Вас присоединиться в команду по совершенствованию существующего корпоративного мессенджера и наполнению его новым функционалом!</p> <p>Корпоративный мессенджер, позволяющий обмениваться текстом, фото, аудио, файлами и т.д.. В приложении имеются групповые чаты, информационные каналы, боты. Имеется интеграция с внешними сервисами, корпоративный справочник контактов с эффектом присутствия в офисе. Серверная часть реализована на Node.js. с помощью Socket.io</p> <p><strong>Обязанности:</strong></p> <ul> <li>Участие в проектировании и разработке мобильного приложения под ОС IOS для устройств iPhone и iPad.</li> <li>Выпуск версии на тестирование.</li> <li>Выпуск версии в AppStore.</li> </ul> <strong>Требования:</strong> <ul> <li>Владение инструментом XCode;</li> <li>Знание Objective-C, Swift;</li> <li>Знанием системных фреймворков;</li> <li>Знание CocaoPods, Git, JSON;</li> <li>Опыт подготовки выпуска версий в AppStore.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в команде 3 iOS - разработчиков(всего 10 разработчиков).</li> <li>Достойная заработная плата;</li> <li>Гибкий график работы с 08.00-11.00 до 17.00-20.00;</li> <li>Удобное расположение офиса м.Красносельская, м.Комсомольская.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,176666.66666666666,1.0,93333.33333333333,ios разработчик,"Владение инструментом XCode. Знание Objective-C, Swift. Знанием системных фреймворков. Знание CocaoPods, Git, JSON. Опыт подготовки выпуска версий в AppStore.",Участие в проектировании и разработке мобильного приложения под ОС IOS для устройств iPhone и iPad. Выпуск версии на тестирование. ,9,ios
Москва,WIT Recruitment,2019-12-11T12:05:12+0300,"<p><strong>Мы IT-компания полного цикла: от идеи до производства и внедрения. Мы занимается разработкой устройств для умного дома, если ты тоже интересуешься сферой IoT, добро пожаловать к нам!</strong></p> <p><br /><strong>Обязанности:</strong></p> <ul> <li>Программирование</li> <li>Участие в проектировании и развитии продукта</li> <li>Принятие решений по развитию архитектуры и кодовой базы iOS проекта</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт разработки IOS-приложений от года, уверенное знание Objective-C, Swift</li> <li>Следование IOS Human Interface Guidelines</li> <li>ООП и паттерны проектирования</li> <li>Опыт многопоточного программирования и знание классических алгоритмов и структур данных<br />rxSwift, rxCocoa, REST</li> <li>знание WebSocket будет плюсом</li> </ul> <strong>Условия:</strong> <ul> <li>Достойный уровень заработной платы, обсуждается по результатам собеседования. Вся заработная плата белая!</li> <li>Интересная работа в инновационном проекте в сфере IoT</li> <li>Официальное трудоустройство по ТК РФ с 1-го рабочего дня</li> <li>Оплачиваемые отпуск и больничный в полном объеме</li> <li>Рабочее время с 10 до 19 (возможны корректировки в пределах часа по желанию)</li> </ul>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Objective-C|ООП|iOS|swift,3.0,150000.0,1.0,60000.0,middle ios разработчик,"Опыт разработки IOS-приложений от года, уверенное знание Objective-C, Swift. Следование IOS Human Interface Guidelines. ООП и паттерны проектирования. ",Программирование. Участие в проектировании и развитии продукта. Принятие решений по развитию архитектуры и кодовой базы iOS проекта.,10,ios
Москва,Перекресток,2019-11-14T14:50:05+0300,"<p><em>«Перекресток» – крупнейшая сеть супермаркетов в России, первой из современных форматов вышедшая на рынок российской продуктовой розницы. Онлайн-супермаркет Perekrestok.ru был запущен в 2017 году в Москве и сегодня является одним из самых перспективных проектов доставки продуктов повседневного спроса. Perekrestok.ru активно развивается и ставит амбициозные цели: наших мощностей достаточно, чтобы осуществлять 3500 заказов в день, мы первыми в России запустили собственный dark store, а наш NPS превышает 80%. Стать ведущей компанией food-tech ритейла в России можно только с помощью команды профессионалов, которая знает и любит свое дело, а еще открыта новым идеям. Если вы готовы стать членом нашей команды - мы ждем отклик на вакансию!</em></p> <p><strong>Задачи</strong></p> <ul> <li>Разрабатывать несколько приложений для самого динамично развивающегося фудтех-проекта рунета</li> <li>Работать в команде с менеджерами, дизайнерами(UX/UI), аналитиками и тестировщиками</li> <li>Участвовать в проведении CodeReview</li> <li>Принимать участие в планировании процесса разработки</li> </ul> <p><strong>Требования</strong></p> <ul> <li>Отличное знание Swift</li> <li>Знания основных алгоритмов и структур данных</li> <li>Опыт коммерческой разработки от 2-х лет</li> <li>Опыт работы с Rx</li> <li>Умение декомпозировать задачи и правильно оценивать их</li> <li>Опыт работы в команде</li> </ul> <p><strong>Будет плюсом</strong></p> <ul> <li>Опыт написания тестов</li> <li>Умение придерживаться Pixel Perfect при верстке</li> <li>Настройка CI/CD</li> </ul> <p><strong>Условия</strong></p> <ul> <li>Офис в шаговой доступности от метро в центре Москвы</li> <li>Гибкое начало рабочего дня</li> <li>ДМС</li> <li>Официальное оформление по ТК РФ и белая зарплата</li> <li>Достойная стабильная зарплата + квартальные премии</li> <li>Программа корпоративных привилегий и скидки до 20% у партнёров и в магазинах X5 Retail Group</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|E-Commerce|Mac Os,3.0,176666.66666666666,1.0,93333.33333333333,ios разработчик,Отличное знание Swift. Знания основных алгоритмов и структур данных. Опыт коммерческой разработки от 2-х лет. Опыт работы с Rx. ,"Разрабатывать несколько приложений для самого динамично развивающегося фудтех-проекта рунета. Работать в команде с менеджерами, дизайнерами(UX/UI), аналитиками и...",36,ios
Москва,Промсвязьбанк,2019-12-11T09:15:16+0300,"<p><strong>Ключевые задачи</strong><strong>:</strong></p> <ul> <li>Разработка мобильного приложения для платформы iOS</li> <li> <p>Два проекта на выбор: мобильный банк для физических лиц и для юридических лиц</p> </li> <li>Разработка unit-тестов, рефакторинг, code review</li> <li>Формирование принципов командной разработки</li> </ul> <p><strong>Что важно для нас:</strong></p> <ul> <li>Опыт разработки мобильных приложений от двух лет</li> <li>Отличные знания платформы iOS и Swift</li> <li>Опыт применения архитектурных паттернов: MV*, VIPER</li> <li>Опыт разработки клиент-серверных приложений (HTTP(S), XML, JSON)</li> <li>Опыт написания unit-тестов</li> <li>Опыт работы с GIT</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Отличные знания ООП, алгоритмов и структур данных</li> <li>Знание Objective-C</li> </ul> <p><strong>Что предлагаем:</strong></p> <ul> <li>Гибкое начало и окончание рабочего дня, свободный дресс-код</li> <li>Релокационный пакет (компенсация расходов на покупку билетов и аренду жилья в течение первых трех месяцев)</li> <li>Официальное оформление в соответствии с ТК РФ</li> <li>Конкурентный уровень дохода: оклад + премии</li> <li>Медицинская страховка, страховка для выезжающих за границу</li> <li>Доплата к отпускному и больничному листу</li> <li>Дополнительные льготы при заключении брака и рождении детей</li> <li>Социальная поддержка при сложных жизненных ситуациях</li> <li>Льготное кредитование для сотрудников</li> <li>Обучение в корпоративном университете банка</li> <li>Корпоративная библиотека</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Swift|iOS,3.0,176666.66666666666,1.0,93333.33333333333,ios разработчик,"Опыт разработки мобильных приложений от двух лет. Отличные знания платформы iOS и Swift. Опыт применения архитектурных паттернов: MV*, VIPER. ",Разработка мобильного приложения для платформы iOS. Два проекта на выбор: мобильный банк для физических лиц и для юридических лиц. ,10,ios
Москва,Cтудия Моризо,2019-11-18T10:48:19+0300,"<p>Если Вы хотите поучаствовать в проектах, которые <strong>меняют рынок</strong>, которыми пользуются люди вокруг Вас, <strong>изменить качество жизни</strong> в этой стране – то Вам к нам.</p> <p>Это вызовы, которые стоят перед нами.</p> <p><strong>Работать предстоит над крупным, высоконагруженным проектом с десятками миллионов пользователей.</strong></p> <p>Если ты готов и умеешь решать сложные задачи и выходить из безвыходных ситуаций.</p> <p>Готов учиться новому и думать самостоятельно, а не ждать указаний.</p> <p>Будешь рад разделять наши ценности и работать в команде, то…</p> <p><strong>Заинтригован? Мы тоже!</strong> Поэтому скорее поправляй свой геройский плащ за спиной и <strong>оставляй свои контакты и резюме в откликах.</strong></p> <p><strong><em>Мы готовы к открытому диалогу и хотим с тобой познакомиться!</em></strong></p> <p> </p> <p><strong>Какие задачи будут ожидать </strong><strong>iOS разработчика<strong>?</strong></strong></p> <ul> <li>Разработка нативных iOS (obj-c, swift) приложений</li> <li>Планирование и оценка задач;</li> <li>Формирование архитектуры приложения;</li> <li>Работа с командой: распределение задач, консультирование;</li> <li>Взаимодействие с отделом проектирования.</li> <li>Взаимодействие с отделом тестирования.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт параллельного и многопоточного программирования;</li> <li>Знание классических алгоритмов и структур данных.</li> <li>Опыт создания дизайна и архитектуры (MVP, MVVM)</li> <li>Опыт верстки чистым кодом без использования storyboard и XIB</li> </ul> <p><strong>Что мы предлагаем?</strong></p> <ul> <li><strong>Работа в компании - лидере российского рынка веб-разработки. </strong></li> <li><strong>Обучение и сертификация за счет компании. Оплачиваемое посещение конференций, семинаров, программ доп.образования;</strong></li> <li><strong>Для желающих переехать в Москву обеспечим релокационным пакетом!</strong></li> </ul> <p><strong><em>Мы стремимся создавать новые возможности интерактивных коммуникаций для бизнеса и людей. </em></strong></p> <p><strong><em>Но главное, мы любим то, что делаем, потому что работаем в компании друзей.</em></strong></p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|MVP|MVVM|swift|Objective-C,3.0,250000.0,1.0,120000.0,middle senior ios разработчик,"Опыт параллельного и многопоточного программирования. Знание классических алгоритмов и структур данных. Опыт создания дизайна и архитектуры (MVP, MVVM). ","Разработка нативных iOS (obj-c, swift) приложений. Планирование и оценка задач. Формирование архитектуры приложения. Работа с командой: распределение задач, консультирование. ",33,ios
Москва,Кадровое агентство Юнити,2019-11-22T17:27:06+0300,"<p>В одно из дочерних предприятий, осуществляющих консалтинг для ООО РЖД приглашается<strong> Разработчик iOS</strong>.</p> <p>Компания охватывает весь спектр потребностей заказчиков — от консалтинга, разработки стратегии, оптимизации бизнес-процессов до создания и поставки комплексных автоматизированных информационных систем.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Разработка мобильных приложений для внешнего заказчика;</p> </li> <li> <p>Проектирование API, архитектуры, выбор технологий, написание кода и тестов.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Хорошее владение Swift и iOS SDK;</p> </li> <li> <p>Желательно знание С++;</p> </li> <li> <p>Знание паттернов, разработка многопоточных программ;</p> </li> <li> <p>Умение разбираться в чужом коде.</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>Оформление по ТК РФ;</p> </li> <li> <p>ДМС в компании «РЕСО-Гарантия»;</p> </li> <li> <p>Годовые и проектные премии по результатам работ;</p> </li> <li> <p>Локация: м. Красносельская;</p> </li> <li> <p>График работы: 5/2, с 09-00 до 18-00.</p> </li> </ul> <p>Приглашаем на интервью!</p>",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|Design Patterns|Mac Os|Мобильность|Пользователь ПК|iOS SDK|swift|Objective-C,3.0,130000.0,1.0,100000.0,разработчик ios,"Хорошее владение Swift и iOS SDK. Желательно знание С++. Знание паттернов, разработка многопоточных программ. Умение разбираться в чужом коде.","Разработка мобильных приложений для внешнего заказчика. Проектирование API, архитектуры, выбор технологий, написание кода и тестов.",28,ios
Москва,Л-ТЕХ,2019-12-11T16:36:44+0300,"<p>В компанию <strong>L-TECH</strong>, занимающуюся заказной разработкой программного обеспечения для мобильных платформ, требуется <strong>разработчик мобильных приложений на iOS.</strong></p> <p>У нас молодой и дружный коллектив, много интересных проектов, известные заказчики.</p> <p>Скучать не придется!</p> <p> </p> <p><strong>Требования</strong></p> <ul> <li><strong>Опыт в разработке iOS-приложений от двух лет</strong></li> <li>Опыт разработки клиент-серверных приложений</li> <li>Хорошие знания SWIFT, Xcode;</li> <li>Опыт работы с сетевыми протоколами (HTTP, JSON, XML/SOAP и др.).</li> <li>Опыт параллельного и многопоточного программирования.</li> <li>Знание классических алгоритмов и структур данных.</li> <li>Знание распределенных систем контроля версий (git), баг-треккингов.</li> <li>Знание ООП;</li> <li>Знание паттернов проектирования;</li> <li>Умение работать со сторонними библиотеками (CocoaPods, различные SDK и т.п.)</li> <li>Умение разбираться в чужом коде.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>5-ти дневная рабочая неделя</li> <li>Оплачиваемый отпуск и больничные</li> <li>Возможность профессионального и карьерного роста</li> <li>Участие в больших увлекательных проектах</li> <li>Чай, кофе, плюшки</li> <li>Дружный молодой и отзывчивый коллектив</li> <li>Оплата труда обсуждаются индивидуально</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|Управление проектами|SQL|Adobe Photoshop|MySQL|Git|HTML|Mac Os|Atlassian Jira|SWIFT|HTML5,3.0,176666.66666666666,1.0,93333.33333333333,ios разработчик,"Опыт в разработке iOS-приложений от двух лет. Опыт разработки клиент-серверных приложений. Хорошие знания SWIFT, Xcode. Опыт работы с...",Без обязанностей,9,ios
Москва,Атомэнергосбыт,2019-12-09T14:14:29+0300,"<strong>Обязанности:</strong> <ul> <li>Сопровождение и доработка мобильного приложения</li> <li>Сопровождение цифровых проектов (от разработки до эксплуатации)</li> </ul> <strong>Требования:</strong> <ul> <li>Образование высшее профессиональное профильное</li> <li>Опыт работы по специальности программист не менее трех лет (платформа <strong>IOS)</strong></li> <li>Широкий круг специализированных знаний по функциональному направлению деятельности</li> <li>Опыт коммерческой разработки приложений</li> <li>Objective-C / Swift 4</li> <li>AutoLayout и Storyboard</li> <li>Опыт разработки API (OAuth, JSON, REST, Laravel)</li> <li>Понимание архитектур VIPER, MVVM, MVP, MVC</li> <li>Знание Agile подходов при разработке ПО</li> <li>Опыт размещения приложения в app store</li> <li>Понимание работы баз данных: SQLite, MariaDB</li> <li>Умение работать с сервисами push уведомлений (преимущественно one signal)</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Objective-C|MVC|iOS|C++|ООП|Быстрообучаемость|Ответственность|Инициативность|Умение работать в режиме многозадачности|AutoLayout|Storyboard|Swift 4,6.0,176666.66666666666,3.0,93333.33333333333,ios разработчик,Образование высшее профессиональное профильное. Опыт работы по специальности программист не менее трех лет (платформа IOS). Широкий круг специализированных знаний по...,Сопровождение и доработка мобильного приложения. Сопровождение цифровых проектов (от разработки до эксплуатации).,11,ios
Москва,Авито,2019-12-12T11:21:33+0300,"<p><strong>В команду Avito мы ищем сильных iOS-разработчиков для работы над нашими мобильными приложениями</strong></p> <p><strong>Мы ожидаем, что Вы:</strong></p> <ul> <li>имеете опыт разработки iOS приложений;</li> <li>отлично разбираетесь в Swift и Objective-C;</li> <li>знакомы с шаблонами проектирования и умеете их применять, придерживаетесь принципов SOLID;</li> <li>знакомы с основными алгоритмами и структурами данных;</li> <li>умеете писать поддерживаемый и тестируемый код;</li> <li>разбираетесь в различных видах тестирования и пользе от них;</li> <li>обладаете дополнительными навыками в области системного программирования, архитектуры, информационной безопасности;</li> <li>способны тщательно планировать и приоритизировать свою работу и работу команды;</li> <li>используете в общении убедительные аргументы и конструктивно реагируете на аргументы других.</li> </ul> <p><strong>Не обязательно, но круто, если Вы:</strong></p> <ul> <li>можете похвастаться законченными проектами, опубликованными в App Store;</li> <li>знаете, как оптимизировать приложение и сделать его быстрее;</li> <li>имеете опыт автоматизации процесса релиза мобильного приложения, разбираетесь в соответствующем стеке технологий;</li> <li>имеете опыт выступлений на митапах или конференциях, желаете продолжать развиваться в этом направлении.</li> </ul> <p><strong>Вам предстоит:</strong></p> <ul> <li>разрабатывать приложения Avito для iOS в команде опытных разработчиков;</li> <li>участвовать в принятии технических решений и планировании процесса разработки;</li> <li>быть ответственным за крупную часть проекта, над которой работает несколько инженеров, помогая им при этом расти;</li> <li>участвовать в распространении лучших практик путем участия во внутренних сообществах и оказания консультаций;</li> <li>наслаждаться автоматическими сборками и уже налаженным Continuous Integration;</li> <li>участвовать в Code Review.</li> </ul> <p><strong>Работа у нас — это:</strong></p> <ul> <li>возможность реализовать свои идеи в проекте с многомиллионной аудиторией;</li> <li>команда профессионалов, готовых поддержать ваши инициативы;</li> <li>открытость для профессионального сообщества: мы делимся разработками на GitHub, рассказываем об опыте решения задач в блоге на Habr;</li> <li>мероприятия для разработчиков и выступления интересных спикеров прямо в офисе;</li> <li>обучение за счёт компании: мы оплачиваем участие в российских и международных конференциях, профильные курсы и доступ к онлайн-библиотеке МИФ, покупаем нужную сотрудникам литературу;</li> <li>прозрачная система бонусов и премий, достойная зарплата — размер обсудим на собеседовании;</li> <li>красивый и комфортный офис в 2 минутах от метро «Белорусская»: панорамный вид на центр города, места для уединённой работы, зоны отдыха, гамаки и скейтборды.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,Без ключевых навыков,6.0,176666.66666666666,3.0,93333.33333333333,ios разработчик,Имеете опыт разработки iOS приложений. Отлично разбираетесь в Swift и Objective-C. Знакомы с шаблонами проектирования и умеете их применять...,Разрабатывать приложения Avito для iOS в команде опытных разработчиков. Участвовать в принятии технических решений и планировании процесса разработки. ,9,ios
