city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Дельта Солюшнс,2019-12-05T11:40:59+0300,"<p><strong>Junior Software Developer – </strong>студент последних курсов или выпускник профильного факультета (кибернетика, АСУ, IT, системный анализ и пр.).</p> <p>Мы разрабатываем, внедряем и поддерживаем информационные системы для операторов связи. Делаем надёжные распределённые системы, которые не прекращают работу даже при падении одного из дата-центров. Наши программы обрабатывают десятки тысяч запросов в секунду и запускаются на сотнях серверов. Мы работаем с заказчиком на всех этапах проекта – помогаем проработать идею, понять, на каких технологиях и системах ее реализовать, докручиваем чужие системы без исходного кода, участвуем в тестировании после запуска.</p> <p>Мы гибкие и мобильные, постоянно изучаем и внедряем новые технологии и продукты, помогаем адаптировать их для крупного бизнеса. Для заказчика мы ценны тем, что с нами он может выводить на рынок новые продукты и услуги на два-три месяца раньше и дешевле чем при работе с крупными поставщиками.</p> <p>Большая часть проектов связана с внутренними системами оператора, благодаря которым бизнес работает быстро и надежно. Мы сильны в системах обработки данных в реальном времени: предбиллинг, тарификация, авторизация, управление набором услуг абонентов; когда у вас кончился интернет, это мы решаем, что с этим делать. Ещё мы умеем дружить системы с друг с другом по soap, http, diameter, radius, rpc и другим страшным словам, да, это и есть системная интеграция. Автоматизация технических и бизнес-процессов тоже не чужда, мы знаем, как превратить одну бизнес-транзакцию по подключению услуги в десятки маленьких операций и отменить всё, если что-то в середине пошло не так.</p> <p>Работаем с облаками и с физическим железом, умеем проектировать дата-центры по технологиям Facebook. Число проектов растёт, поэтому мы постоянно в поиске инженеров, которые готовы влиться в нашу команду, расти и совершенствоваться вместе с нами. Направлений много, но всех их объединяет постоянная необходимость быть в тонусе, изучать и хотеть изучать что-то новое. Во всём остальном мы поможем разобраться.</p> <p> </p> <p><strong>Требования для старта:</strong></p> <p>∙ Знание Java на среднем уровне: структуры данных, алгоритмы, ООП, ввод-вывод;</p> <p>∙ Базовое представление о теории БД и языке SQL, простые SQL запросы;</p> <p>∙ OS Windows на уровне продвинутого пользователя (сетевые настройки, службы);</p> <p>∙ Способность находить нужное в гугле и документации на русском и английском языках.</p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|ООП|SQL|JavaScript|Java,3.0,92500.0,1.0,45000.0,java junior software разработчик,"Junior Software Developer – студент последних курсов или выпускник профильного факультета (кибернетика, АСУ, IT, системный анализ и пр.). ∙ Знание Java на...",Без обязанностей,8
Москва,Джи Эс Эй Групп,2019-11-20T11:39:29+0300,"<p><strong>Задачи:</strong></p> <ul> <li>Участие в развитии интересного и амбициозного проекта;</li> <li>Активное участие в создании (и обучении) команды и подборе участников;</li> <li>Разработка проекта с нуля - от архитектуры до документации по сопровождению (no legacy);</li> <li>Построение процесса разработки и тестирования;</li> <li>Проектирование и разработка интерфейсов приложений/ключевых технологических и прикладных микросервисов платформы;</li> <li>Написание автотестов, исправление багов, участие в ревью кода;</li> <li>Взаимодействие с разработчиками, дизайнерами и другими командами в формате Agile.</li> </ul> <p><strong>Кого мы ищем:</strong></p> <ul> <li>Не менее 2 лет опыта разработки программного обеспечения на Java;</li> <li>Хорошее знание Java SE: Core, Collections, Concurrency, Generics, Reflection;</li> <li>Хорошее знание Java EE: Spring Framework, Hibernate, Tomcat, Maven, Gradle;</li> <li>Опыт работы с базами данных (Sql, noSql);</li> <li>Понимание принципов объектно-ориентированного проектирования;</li> <li>Опыт разработки архитектуры бизнес-приложений.</li> </ul> <p><strong>Будет плюсом</strong>:</p> <ul> <li>Опыт работы c MongoDB;</li> <li>Опыт работы c ElasticSearch;</li> <li>Опыт работы с Docker.</li> </ul> <p><strong>Что предлагаем:</strong></p> <ul> <li>Комфортный офис в самом зеленом районе Москвы;</li> <li>Полное соблюдение Трудового Кодекса РФ;</li> <li>Достойный доход (зарплата + премия по итогам проекта);</li> <li>Дружный коллектив;</li> <li>Все возможности для профессионального и карьерного роста;</li> <li>Обучение;</li> <li>ДМС+ доплата по больничному листу до 100% оклада + мобильная связь.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,92500.0,1.0,45000.0,java разработчик,"Не менее 2 лет опыта разработки программного обеспечения на Java. Хорошее знание Java SE: Core, Collections, Concurrency, Generics, Reflection. ",Участие в развитии интересного и амбициозного проекта. Активное участие в создании (и обучении) команды и подборе участников. Разработка проекта с...,23
Москва,Decathlon,2019-12-03T09:47:33+0300,"<p><strong><strong>DECATHLON</strong></strong> is a French company created more than 40 years ago operating in 50+ countries in the world. In Russia, you will join a team of 3 000 dynamic, young and sportive persons. The objective of Decathlon is to make sports available to the many.</p> <p>Decathlon is a strong actor on worldwide sport’s market grows continuously, we develop our own brands and sells sports products, which are exclusively available in DECATHLON stores.<br /><br />In Russia, DECATHLON operates through 55 + stores and also do local production selling mostly our own products in our stores and online, we have a clear wish to expand throughout the country.</p> <p><br />Decathlon offers horizontal management which gives real freedom for your projects and responsibility.</p> <p> </p> <p><strong>RESPONSIBILITIES:</strong></p> <p>· Work on decathlon strategic commercial projects</p> <p>· Collaborate with our teams on Agile methodology</p> <p> </p> <p><strong>REQUIREMENTS AND SKILLS:</strong></p> <p>· Excellent knowledge of HTML and CSS</p> <p>· JavaScript: understanding of closures, scopes, prototype methods.</p> <p>· At least basic knowledge of VCS (preferring git) and Jira.</p> <p>· Basic understanding of network technologies stack, HTTP requests.</p> <p> </p> <p><strong>ADDITIONAL SKILLS:</strong></p> <p>· REST, TypeScript, Vue, minifiers</p> <p>· Be proactive and innovative</p> <p> </p> <p><strong>WE PROPOSE:</strong></p> <p>· Young ambitious team with a friendly atmosphere</p> <p>· Competitive salary + Bonus</p> <p>· Medical and life insurance</p> <p>· Opportunity to become a shareholder of the company</p> <p>· Discount 20% on Decathlon products</p> <p>· New office in Park Legend, sportplace in the office</p>",Полная занятость,Полный день,От 1 года до 3 лет,|JavaScript|CSS|HTML,3.0,92500.0,1.0,45000.0,javasсript разработчик,"Excellent knowledge of HTML and CSS. JavaScript: understanding of closures, scopes, prototype methods. At least basic knowledge of VCS (preferring...","In Russia, DECATHLON operates through 55 + stores and also do local production selling mostly our own products in our...",10
Москва,FM Logistic,2019-12-04T16:32:58+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Постоянная оптимизация сервисов и реализация новых микросервисов;</li> <li>Написание unit-тестов;</li> <li>Рефакторинг своего кода;</li> <li>Техническое консультирование менеджера по продукту и помощь в принятии решений;</li> <li>Определение ключевых метрик системы и ответственность за них;</li> <li>Взаимодействие с разработчиками из других команд компании.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>опыт программирования;</li> <li>Работа с технологиями: Oracle / MySQL / noSQL/Mongo/ MariaDB/ Java;</li> <li>Работа с системами контроля версий (GitHub, Bitbucket, GitLab);</li> <li>английский язык - intermediate level и выше;</li> <li>так как будет необходимость взаимодействовать с другими приложениями и разработчиками, то будет плюсом знание других языков - JavaScript, React, C#, PHP.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Полное соответствие требованиям ТК РФ;</li> <li>Заработная плата (оклад+премии);</li> <li>График работы 5/2 с 9 до 18;</li> <li>Комфортный корпоративный автобус от метро &quot;Планерная&quot;, &quot;Войковская&quot;, &quot;Речной вокзал&quot;;</li> <li>Офис в г. Долгопрудный (10 мин пешком от станции &quot;Хлебниково&quot;, электричка от ст.м. &quot;Савеловская&quot; или &quot;Тимирязевская&quot;) или офис в г.Чехов</li> <li>Расширенный социальный пакет (ДМС + стоматология, дотируемое питание);</li> <li>Возможности профессионального и карьерного роста.</li> </ul> <p><em><strong>Для нас ценны: Доверие, Эффективность, Открытость</strong></em></p>",Полная занятость,Полный день,От 1 года до 3 лет,|Java|SQL|ORACLE|JSON API|SOAP|Unix|Jasper|BluJay|Xsd|MySQL|NoSQL|MongoDB|JavaScript|PHP|C#|React,3.0,92500.0,1.0,45000.0,java разработчик,"Опыт программирования. Работа с технологиями: Oracle / MySQL / noSQL/Mongo/ MariaDB/ Java. Работа с системами контроля версий (GitHub, Bitbucket, GitLab). ",Постоянная оптимизация сервисов и реализация новых микросервисов. Написание unit-тестов. Рефакторинг своего кода. Техническое консультирование менеджера по продукту и помощь...,9
Москва,ИНФОРМЗАЩИТА,2019-12-11T11:16:17+0300,"<p><em><strong>Собеседование проводится в один этап (руководитель отдела + ведущий разработчик). Решение принимается за 1-2 дня.</strong></em></p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка компонентов микросервисной архитектуры для высоконагруженного проекта</li> <li>Участие в проектировании архитектуры</li> </ul> <strong>Требования:</strong> <ul> <li>Хорошие знания Java/Spring, PostgreSQL, ООП</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в сильной, стабильной компании (ТОП 3 компаний России в сфере защиты информации по оценке CNews Analytics (2017г.);</li> <li>Интересные задачи. Работа с крупными интересными проектами;</li> <li>Оформление в соответствии с ТК РФ (все выплаты в белую);</li> <li>Развитая система премирования;</li> <li>Расширенный социальный пакет (ДМС через 6 месяцев работы, 100% оплачиваемый больничный);</li> <li>Возможность гибкого начала/окончания рабочего дня;</li> <li>Разнообразные программы обучения сотрудников;</li> <li>Возможности для повышения квалификации и сертификации;</li> <li>Дружный коллектив профессионалов.</li> <li>Удобный офис. Полный рабочий инструментарий. Кофе, чай;</li> <li>Шаговая доступность от метро - м. Динамо.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Java|PostgreSQL|Spring Framework|ООП,6.0,92500.0,3.0,45000.0,старший разработчик java spring,"Хорошие знания Java/Spring, PostgreSQL, ООП.",Разработка компонентов микросервисной архитектуры для высоконагруженного проекта. Участие в проектировании архитектуры.,2
Москва,Райффайзенбанк,2019-11-21T11:33:04+0300,"<p>Райффайзенбанк является частью крупной международной банковской группы, входит в 20-ку крупнейших кредитных организаций по размеру активов. Мы регулярно ставим перед собой амбициозные цели по созданию инновационных продуктов, росту бизнеса и улучшению клиентского опыта. Вместе с тем, чтобы обеспечить устойчивый рост бизнеса, мы должны уметь масштабировать фундаментальные банковские сервисы: платежи, обмен валюты, ведение счетов и т.д. Одним из таких фундаментальных сервисов является получение выписки по счету. Учитывая сервисную архитектуру, историческое наследие и планы по развитию на будущее, мы решили сделать прозрачный масштабируемый сервис предоставления выписок по счетам, которым могли бы пользоваться все клиенты банка: как внутренние, так и внешние.</p> <p>Сейчас мы вывели первую версию сервиса предоставления выписок в промышленную эксплуатацию, и планируем активно развивать этот сервис, в связи с чем ищем Java-разработчика с желанием развиваться в Scala-разработке. Опыт разработки на Scala необязателен, мы готовы обучать)</p> <p><strong>Вместе мы будем:</strong></p> <ul> <li>Участвовать в проектировании и реализации архитектуры приложения;</li> <li>Загружать новые данные и разрабатывать сервисы работы с ними;</li> <li>Настраивать процессы CI/CD;</li> <li>Оптимизировать процессы формирования данных для выписок.</li> </ul> <p><strong>Эта вакансия для тебя, если ты:</strong></p> <ul> <li>Имеешь опыт работы в качестве Java-разработчика от 0,5 года;</li> <li>Имеешь интерес к разработке на Scala;</li> <li>Имеешь средний уровень знаний SQL-запросов;</li> <li>Понимаешь цикл разработки ПО;</li> <li>Знаешь основные подходы к построению архитектуры корпоративных приложений;</li> <li>Имеешь опыт работы с промышленными базами данных;</li> <li>Хочешь работать с Open Source продуктами.</li> </ul> <p><em><strong>Круто, если ты:</strong></em></p> <ul> <li>Имеешь представление о типовой архитектуре DWH;</li> <li>Имеешь опыт работы с распределенными системами;</li> <li>Имеешь опыт работы с NoSQL базами данных (Hbase);</li> <li>Имеешь опыт работы с Spark, Hadoop, Phoenix;</li> <li>Имеешь опыт разработки на Scala;</li> <li>Имеешь опыт работы с Jira и Confluence;</li> <li>Имеешь опыт работы с Bamboo и Git.</li> </ul> <p><strong>У тебя будут:</strong></p> <ul> <li>Высокий уровень свободы;</li> <li>Атмосфера развития, вдохновленная принципами Agile;</li> <li>Комфортный офис всего в одной минуте пешком от ст. метро &quot;Технопарк&quot; с собственным спортзалом и кафе;</li> <li>Команда профессионалов, готовых делиться опытом;</li> <li>Социальный пакет, включающий ДМС, страхование выезжающих за рубеж и не только;</li> <li>Льготное кредитование, программа корпоративных скидок и не только;</li> <li>Профессиональные обучающие курсы и конференции в России и за рубежом.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Java,3.0,92500.0,1.0,45000.0,java разработчик сервиса предоставления выписок,"Имеешь опыт работы в качестве Java-разработчика от 0,5 года. Имеешь интерес к разработке на Scala. Имеешь средний уровень...",Участвовать в проектировании и реализации архитектуры приложения. Загружать новые данные и разрабатывать сервисы работы с ними. Настраивать процессы CI/CD. ,22
Москва,Группа компаний «ИНФОРСЕР»,2019-12-11T11:44:40+0300,"<p><strong>Требуется java-разработчик для участия в процессе разработки и поддержания корпоративной информационной системы (далее - КИС) заказчика. </strong></p> <p><strong>Задачи: </strong></p> <p>Участие в крупном проекте по автоматизации деятельности заказчика в части:</p> <ul> <li>разработки программных модулей КИС;</li> <li>интеграции КИС с внешними системами;</li> <li>интеграции с существующей Информационной Системой.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Java SE (желательно знакомство с Code Conventions for the Java);</li> <li>SQL, в частности желателен опыт работы с PostgreSQL;</li> <li>Представление о js;</li> <li>Знакомство с git и git flow будет плюсом;</li> <li>Представление о консоли Linux.</li> </ul> <p> </p> <p><strong>Применяемые технологии:</strong></p> <ul> <li>IntelliJ IDEA;</li> <li>maven, Teamcity, gitlab, nexus;</li> <li>Java se и процедурный js;</li> <li>Postgresql, ActiveMQ, Elasticsearch.</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>зарплату, соответствующую навыкам и опыту;</li> <li>работу в офисе в течение периода адаптации, затем возможна периодическая работа из дома;</li> <li>гарантии, предусмотренные ТК РФ и дополнительные бонусом от компании;</li> <li>ДМС;</li> <li>бонусы по итогам работы;</li> <li>комфортное рабочее место (кабинеты на проектную команду 3-6 человек);</li> <li>офис в 12 мин. от м. Рязанский проспект, а с 2020г. в 3 мин от м. Окская.</li> </ul>",Полная занятость,Гибкий график,От 1 года до 3 лет,|Java|PostgreSQL,3.0,92500.0,1.0,45000.0,java разработчик,"Java SE (желательно знакомство с Code Conventions for the Java). SQL, в частности желателен опыт работы с PostgreSQL. ",Разработки программных модулей КИС. Интеграции КИС с внешними системами. Интеграции с существующей Информационной Системой.,2
Москва,Кадровое агентство Инны Стасилович,2019-12-06T12:27:12+0300,"<p>В компанию-разработчик программного обеспечения требуется разработчик JavaScript.<strong> Это отличный шанс для начинающих специалистов! Приглашаем выпускников или студентов последнего курса.</strong></p> <p>Основным продуктом является полнофункциональное многокомпонентное решение, обеспечивающее автоматизацию деятельности банков любого масштаба, охватывающее все направления банковской деятельности.</p> <p>Компания занимается разработкой программного обеспечения под любые задачи бизнеса.</p> <p><strong>Обязанности:</strong></p> <p>Разработка Информационных систем:</p> <ul> <li>Автоматизированная банковская система</li> <li>Корпоративные порталы</li> <li>Системы электронного документооборота.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее техническое образование или студент последнего курса с возможностью работать полный день;</li> <li>Базовые знания JavaScript;</li> <li>Опыт работы приветствуется, но не обязателен;</li> <li>Опыт самостоятельной разработки на на JavaScript;</li> <li>Коммуникабельность, ответственность, организованность.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>График 5/2 с 9 до 18</li> <li>Оформление по ТК РФ;</li> <li>Испытательный срок 3 месяца;</li> <li>Заработная плата: оклад 45 000 руб. gross;</li> <li>Офис: м. Свиблово 10-15 минут пешком.</li> </ul>",Полная занятость,Полный день,Нет опыта,|JavaScript|Автоматизация|Автоматизация документооборота,,45000.0,,45000.0,разработчик javasсript,"Высшее техническое образование или студент последнего курса с возможностью работать полный день. Базовые знания JavaScript. Опыт работы приветствуется, но не...",Автоматизированная банковская система. Корпоративные порталы. Системы электронного документооборота.,7
Москва,ТОП КЕЙС,2019-11-29T09:32:23+0300,"<p><strong>Обязанности:</strong></p> <ul> <li> <p>Разработка на платформе Java, в том числе веб-решений, сервисов, тестов.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт разработки комплексных информационных систем на платформе Java;</li> <li>Понимание архитектуры web проектов;</li> <li>Знание Spring, WS, REST, JDBC, Javascript, Maven, Git;</li> <li>Знание и понимание принципов работы SQL, NOSQL БД, микросервисной архитектуры, continuous delivery, паттернов разработки ПО;</li> <li>Опыт разработки высоконагруженных многопоточных приложений;</li> <li>Опыт разработки кластеризуемых систем;</li> <li>Опыт работы с очередями;</li> <li>Опыт работы с SQL, NOSQL БД;</li> <li>Высшее образование;</li> <li>Желание и умение работать в команде.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Официальное трудоустройство по ТК РФ;</p> </li> <li>Гибкий график работы 5/2;</li> <li> <p>Высокий уровень дохода (по итогам собеседования) + бонусная составляющая;</p> </li> <li> <p>Корпоративное питание; ДМС после прохождения испытательного срока;</p> </li> <li> <p>Возможность карьерного и профессионального роста;</p> </li> <li> <p>Профессиональный, целеустремленный коллектив единомышленников и друзей;</p> </li> <li> <p>Офис в самом центре Москвы (шаговая доступность от ст.м. Чеховская/Тверская/ Пушкинская).</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,92500.0,1.0,45000.0,java разработчик java разработчик,"Опыт разработки комплексных информационных систем на платформе Java. Понимание архитектуры web проектов. Знание Spring, WS, REST, JDBC, Javascript, Maven, Git. ","Разработка на платформе Java, в том числе веб-решений, сервисов, тестов.",14
Москва,Luxoft,2019-11-29T15:59:46+0300,"<p><strong>Описание проекта:</strong></p> <p>Мы создаем нефтегазовую систему для сбора данных со всех устройств на местах, их хранения, синхронизации с различными системами, анализа данных, отчетов и пользовательского интерфейса для системы.</p> <p>Наш клиент - одна из крупнейших в мире компаний по обслуживанию нефтяных месторождений. Работая в более чем 100 странах, она предоставляет различные виды услуг для нефтегазовой отрасли, включая цифровые решения.</p> <p><strong>Задачи:</strong></p> <p>Разработка веб-части облачных приложений. Приложение управляет данными в режиме реального времени в соответствии с концепциями IoT. Оно включает в себя сбор данных, сохранение их в различных соответствующих базах данных, манипулирование для целей науки о данных, аналитики и отчетности;</p> <p>Основные обязанности:</p> <p>• фронтэнд разработка;</p> <p>• участие в планировании и реализации спринтов развития;</p> <p>• написание и поддержка масштабируемого производительного код, который может быть использован на разных платформах;</p> <p><strong>Мы ожидаем от кандидатов:</strong></p> <p>Языки:<br />- JavaScript стандарта ES2015+, базовый опыт в типизации (мы используем PropTypes).<br />Фреймворки: React + Redux.<br />- HTML5: в первую очередь использование подходящих по семантике элементов, а затем только переход на div&#39;ы.<br />- CSS3: умение верстать адаптивно.</p> <p><strong>Будет плюсом: </strong></p> <p>Платформы: PaaS (Cloud Foundry).<br />Технологии, стандарты, подходы: JWT, REST. Saga для асинхронных запросов.<br />Сборка: WebPack.<br />Сервер: Node.js.<br />Тестирование: Jest</p> <p><strong>Languages:</strong></p> <ul> <li>English: Elementary</li> </ul>",Полная занятость,Полный день,Нет опыта,|JavaScript|HTML5|CSS3|Node.js|MS Project Expert,,92500.0,,45000.0,java sсript разработчик,"JavaScript стандарта ES2015+, базовый опыт в типизации (мы используем PropTypes). - CSS3: умение верстать адаптивно. Будет плюсом: Технологии...","Описание проекта: Мы создаем нефтегазовую систему для сбора данных со всех устройств на местах, их хранения, синхронизации с различными системами...",14
