city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,ФГБОУ ВО Московский Государственный Юридический Университет Имени О.Е.Кутафина (МГЮА),2019-12-13T16:51:39+0300,<p><strong>Обязанности:</strong></p> <p>Управление:</p> <p><strong>- </strong>качеством информационных ресурсов;</p> <p>- информационно-технической инфраструктурой;</p> <p>- расходами на информационно-техническую базу;</p> <p>- изменениями информационно-технических ресурсов;</p> <p>- отношениями с поставщиками и потребителями информационно-технических ресурсов;</p> <p>- информационной безопасностью информационно-технических ресурсов.</p> <p> </p> <p><strong>Требования:</strong></p> <p>Высшее профессиональное (техническое или инженерно-экономическое) образование и стаж работы на руководящих должностях в области информационных технологий не менее 5 лет.</p> <p><strong>Условия:</strong></p> <ul> <li>График работы 5/2</li> <li>Полный рабочий день</li> <li>На территории работодателя</li> </ul>,Полная занятость,Полный день,От 3 до 6 лет,|Информационные технологии|Организаторские навыки|Управленческие навыки,6.0,200000.0,3.0,190000.0,директор центра информационных ресурсов и технологий,Высшее профессиональное (техническое или инженерно-экономическое) образование и стаж работы на руководящих должностях в области информационных технологий не менее 5...,Управление: - качеством информационных ресурсов. - информационно-технической инфраструктурой. - расходами на информационно-техническую базу. - изменениями информационно-технических ресурсов. - отношениями с поставщиками и...,0
Москва,Суперглов,2019-11-25T19:42:34+0300,"<p>Компания создана для продаж в B2B сектор через интернет (интернет магазин для дилеров). И ищет специалиста, имеющего опыт реализации проектов в сети с нуля. Желательно на стыке оптовой торговли и продаж через интернет. Расчетный срок запуска 6 месяцев, выход на целевой оборот 12-18 месяцев. Компания гарантирует минимум бюрократии и систему мотивации от фактического результата. Доход строится из оклада и доли в прибыли компании без ограничения по потолку.</p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Построение с нуля механизма интернет-продаж товаров дилерам, региональным дистрибьюторам.</li> <li>Запуск, настройка интернет-магазина B2B, включающего Личный кабинет клиента и все сопутствующие сервисы.</li> <li>Использование современных инструментов, позволяющих максимально автоматизировать продажи и обслуживание клиентов и сократить затраты на ФОТ.</li> <li>Интеграция сайта и склада с 1С, полностью прозрачные движения денег по счетам, автоматическое общение сайта с банками и платежными системами и др.</li> <li>Разработка программы лояльности, направленной на долгосрочную привязку клиента к сервису компании.</li> <li>Организация своими руками полного цикла продаж: от закупки товаров на свой склад до поставки мелкооптовых партий клиентам или до склада транспортной компании в их регионе.</li> <li>Организация складских и транспортных операций.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Знание и опыт продаж через интернет.</p> </li> <li> <p>Опыт построение и отладки бизнес-процессов.</p> </li> <li> <p>Аналитический склад ума, системность, дисциплинированность.</p> </li> <li> <p>Предпринимательский подход к работе.</p> </li> <li> <p>Отсутствие страха перед любыми трудностями, в том числе рутинного характера.</p> </li> <li>Опыт управления малым/средним бизнесом или подразделением в крупной компании.</li> </ul> <p><strong>Предпочтения:</strong></p> <ul> <li> <p>Опыт автоматизации продаж или производства.</p> </li> <li> <p>Опыт построения клиентского сервиса высокого уровня.</p> </li> <li> <p>Видение целостной картины бизнеса, четкое, обоснованное видение перспектив на 1-2 года вперед.</p> </li> <li> <p>Опыт переговоров с первыми лицами и построения интернет-проектов с нуля.</p> </li> <li> <p>Понимание технологии продвижения услуг и товаров, построения уникального</p> <p>предложения для клиентов.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Трудоустройство с первого дня;</p> </li> <li> <p>Будни, с 9 до 18:00, возможны переработки в периоды запуска и повышенного спроса;</p> </li> <li> <p>Оклад + процент от прибыли (обсуждается с успешным кандидатом);</p> </li> <li> <p>Офис и склад находятся в одном здании, в 10 минутах на маршрутке от м. Домодедовская.</p> </li> <li> <p>Высокая степень самостоятельности. Подчинение собственнику.</p> </li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Продажи через интернет|Управление интернет-проектами|Управление отношениями с клиентами|1С: Управление предприятием|B2B Продажи|Управление малым и средним бизнесом,6.0,400000.0,3.0,100000.0,исполнительный директор,"Знание и опыт продаж через интернет. Опыт построение и отладки бизнес-процессов. Аналитический склад ума, системность, дисциплинированность. Предпринимательский подход к...","Построение с нуля механизма интернет-продаж товаров дилерам, региональным дистрибьюторам. Запуск, настройка интернет-магазина B2B, включающего Личныи...",18
Москва,Сбербанк,2019-11-22T14:28:26+0300,"<p>Добрый день!</p> <p>Компания «Сбербанк», блок Технологии сейчас в поисках специалиста на позицию<strong> Product Owner&#39;a.</strong></p> <p>Мы ищем опытного менеджера продукта с глубокой технической экспертизой в кластер продуктов для разработчиков департамента SberDevices.</p> <p>У вас есть шанс поучаствовать в создании новых продуктов, основанных на голосовых технологиях, обработке естественного языка и машинном обучении.</p> <p><strong>Какие задачи необходимо будет реализовывать:</strong></p> <ul> <li>Планировать развитие продукта для разработчиков (vision/roadmap/marketing);</li> <li>Определять и валидировать гипотезы;</li> <li>Формировать и актуализировать бэклог продукта;</li> <li>Постоянное взаимодействовать с командой разработки, контролировать сроки и качество реализации задач;</li> </ul> <p><strong>Мы хотим видеть в кандидате:</strong></p> <ul> <li>Опыт управления техническим продуктом или проектом – от двух лет;</li> <li>Опыт работы программистом от 1 года;</li> <li>Опыт работы с классическими IDE, системами контроля версий, развёртывания и другими инструментами разработки;</li> <li>Понимание основ машинного обучения;</li> <li>Приветствуется опыт мобильной разработки или управления разработкой под мобильные платформы.</li> </ul> <p><strong>Мы ценим своих сотрудников и предлагаем:</strong></p> <ul> <li>Обучение в корпоративном университете;</li> <li>Возможность посещения (как в качестве слушателя, так и в качестве выступающего) всероссийских и международных IT-конференций;</li> <li>ДМС для сотрудников и скидки на медицинскую страховку для родственников;</li> <li>Работа в команде профессионалов, возможность разрабатывать уникальные и крупные проекты масштаба нашей страны;</li> <li>Большой и комфортный офис со спортзалом, библиотекой, столами для пинг-понга, кафе для сотрудников;</li> <li>Широкий спектр дисконт–программ, скидок и привилегий от компаний-партнеров;</li> <li>Льготное кредитование в Сбербанке – возможность пользоваться премиальными продуктами Банка на специальных условиях.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Опыт в IT,6.0,,3.0,,produсt owner,Опыт управления техническим продуктом или проектом – от двух лет. Опыт работы программистом от 1 года. Опыт работы с классическими IDE...,Планировать развитие продукта для разработчиков (vision/roadmap/marketing). Определять и валидировать гипотезы. Формировать и актуализировать бэклог продукта. Постоянное взаимодействовать с...,21
Москва,Лаборатория визуализации-Сфера,2019-12-11T13:28:49+0300,"<p>Наша компания предлагает новые решения для визуализации бизнес-информации промышленных и технологических объектов. Мы работаем на стыках множества самых современных и трендовых технологий, создавая серьезные бизнес-решения. Одно из наших направлений связано с разработкой решений на основе систем видеоаналитики.</p> <p>Сейчас мы в поиске проактивного <strong>Product owner</strong>, который сможет создать и развивать концепцию нашего решения.</p> <p><strong>Что предстоит делать:</strong></p> <p>— собирать и анализировать данные;</p> <p>— формировать образ решения, продукта. Определять, какие продукты или свойства нужны в первую очередь, каким будет MVP;</p> <p>— вместе с командой разработки формировать дорожную карту реализации проекта;</p> <p>— формализовывать этапы разработки, вести бэклог;</p> <p>— доносить решения для разработчиков и дизайнеров в виде user stories или описаний, ставить задачи и устанавливать приоритеты;</p> <p>— отслеживать реализацию и помогать команде в процессе;</p> <p>— взаимодействовать с заказчиками и формировать обратную связь в виде зафиксированных требований;</p> <p>— устанавливать и отслеживать продуктовые метрики, собирать обратную связь о продукте.</p> <p><strong>Что мы ждем от тебя:</strong></p> <ul> <li>знание современных подходов к продуктовой аналитике;</li> </ul> <p>— хороший кругозор, системное мышление;</p> <p>— желание погружаться в технические и экономические аспекты продуктов;</p> <p>— умение налаживать коммуникации с клиентами, экспертами, командой и руководством, быть эффективным посредником;</p> <p>— общее представление о UX, желание создавать качественный продукт, включая дизайн.</p> <p><strong>Плюсом будет:</strong></p> <p>— экспертиза в CV, ML или видеонаблюдении;</p> <p>— инженерный бэкграунд, опыт работы разработчиком или системным аналитиком;</p> <p>— опыт проектирования интерфейсов;</p> <p>— опыт запуска продукта или сервиса с нуля.</p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>высокую заработную плату — по результатам собеседования;</li> <li>трудоустройство согласно ТК РФ;</li> <li>ДМС с первого рабочего дня (+ стоматология);</li> <li>обучение, конференции за счет компании;</li> <li>отличная возможность профессионального и карьерного роста;</li> <li>работа в современном комфортабельном офисе (ст. м. «Парк Победы» 7-10 минут пешком);</li> <li>график: 5/2 с 10.00 до 19.00.</li> </ul>",Полная занятость,Полный день,Более 6 лет,|видеоаналитика|видеонаблюдение,,,6.0,,produсt owner,"собирать и анализировать данные. — формировать образ решения, продукта. Определять, какие продукты или свойства нужны в первую очередь, каким будет MVP. ","вместе с командой разработки формировать дорожную карту реализации проекта. — формализовывать этапы разработки, вести бэклог. — доносить решения для разработчиков и дизайнеров...",2
Москва,МТС,2019-12-06T12:15:01+0300,"<p>Взаимодействие с правообладателями в части заключения и сопровождения контрактов на вещание Каналов в сетях группы МТС (Кабельное ТВ, Мобильное ТВ, Спутниковое ТВ, IP TV)</p> <p><strong>Функциональные обязанности:</strong></p> <ul> <li>Ежемесячный контроль корректности резервирования фактических расходов на ТВ контент в разрезе всех сред вещания с детализацией по телеканалам и правообладателям</li> <li>Формирование выгрузок из системы Oracle B1 и R12, проведение анализа отклонения сформированных резервов и фактических расходов, учтенных в финансовой системе HFM</li> <li>Формирование отчета с фактическими данными по расходам на ТВ контент в разрезе всех сред вещания с детализацией по телеканалам и правообладателям</li> </ul> <p><strong>Требование к кандидату:</strong></p> <ul> <li>Высшее образование</li> <li>Продвинутый пользователь Excel</li> <li>Умение работать в команде, ответственность, аккуратность в цифрах, внимательность, усидчивость, нацеленность на общий результат</li> <li>Преимуществом будет являться опыт работы в телекоммуникационной или медийной сфере не менее 1 года</li> </ul> <p><strong>Условия</strong>:</p> <ul> <li>Стабильная белая зарплата и годовой бонус по результатам работы.</li> <li>ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж.</li> <li>31 день отпуска.</li> <li>Компенсация расходов на мобильную связь, корпоративное обучение.</li> <li>Работа в команде профессионалов!</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,ведущий специалист по взаимодействию с правообладателями,"Высшее образование. Продвинутый пользователь Excel. Умение работать в команде, ответственность, аккуратность в цифрах, внимательность, усидчивость, нацеленность на общий результат. ",Ежемесячный контроль корректности резервирования фактических расходов на ТВ контент в разрезе всех сред вещания с детализацией по телеканалам и правообладателям. ,7
Москва,Ключ к лояльности в ритейле Интернешнл (ООО КЛР),2019-12-12T18:53:07+0300,"<p>Международная компания KLR приглашает к сотрудничеству талантливого Маркетолога - менеджера по таргетированной рекламе Facebook, Instagram, VK, Одноклассники в проект frogogo.ru</p> <p>KLR - маркетинговая компания, которая помогает ритейлирам увеличить количество покупателей с помощью программ лояльности: фишечные и купонные акции b2b</p> <p><strong>о проекте frogogo</strong></p> <p>Специализация: стимулирующие акции лояльности с механикой кэшбэка для любого рода бизнеса<br />Основные продукты компании: сайт Frogogo и мобильные приложения<br /></p> <p><strong><strong> Задачи:</strong></strong></p> <ul> <li>Настройка и оптимизация таргетированной рекламы по соц сетям: FB, Instagram, VK, Одноклассники</li> <li>Эффективное использование рекламных бюджетов для привлечения трафика</li> <li>Аналитика рекламных кампаний / источников / стратегий / оферов</li> <li>Поддержание основных доходных показателей на высоком уровне ( ROI &gt; 100%)</li> <li>Анализ эффективности креативов и их постоянное совершенствование и обновление</li> <li>Подготовка креативов для рекламных кампаний с высоким CTR</li> <li>Поиск новых источников трафика и тестирование гипотез</li> <li>Оптимизация показателей</li> <li>Составление аналитических отчётов по проделанной работе</li> </ul> <p><strong><strong>Требования</strong>:</strong></p> <ul> <li>Практический опыт настройки таргетированной рекламы</li> <li>Опыт длительной работы с большими рекламными бюджетами</li> <li>Знание и понимание процессов рекламных кампаний в интернете</li> <li>Опыт проведения большого количества a-b тестов</li> <li>Быстрый анализ большого количества информации</li> <li> Понимание зависимости коэффициента конверсии от рекламного текста, лендинга, оффера и т.д</li> </ul> <p><strong><strong>Условия:</strong></strong></p> <ul> <li>Хорошие премии и бонусы за позитивные результаты работы</li> <li>Окончательный уровень оплаты обсуждается на собеседовании</li> <li>Работа с большим бюджетом и возможность погрузиться глубоко в один проект</li> <li>Полный рабочий день</li> <li>Активное развитие и быстрый профессиональный рост, 50% оплата профильного обучения</li> <li>В идеале ищем сотрудника в офис. Рассматриваем специалиста удаленно при условие соблюдения всех требований.</li> </ul> <p>Если вы дочитали вакансию до конца, начните ваше сопроводительное письмо со слов: <strong>«Я готов(а) добиваться 100% результата»,</strong> так мы поймём, что вы внимательно прочли вакансию и это не &quot;спам&quot;-отклик, а значит, с вами стоит продолжить общение.</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Интернет-реклама|Маркетинговый анализ|Google Analytics|Таргетинг|Таргетолог|Таргетированная реклама в FB|Таргетированная реклама в VK,3.0,,1.0,,таргетолог специалист по таргетированной рекламе,Практический опыт настройки таргетированной рекламы. Опыт длительной работы с большими рекламными бюджетами. Знание и понимание процессов рекламных кампаний в интернете. ,"Настройка и оптимизация таргетированной рекламы по соц сетям: FB, Instagram, VK, Одноклассники. Эффективное использование рекламных бюджетов для привлечения трафика. ",1
Москва,Сбербанк,2019-11-28T17:46:54+0300,"<p>Добрый день!</p> <p>Компания «Сбербанк Технологии» сейчас в поисках специалиста на позицию <strong>ARIS Product Owner</strong><strong>.</strong></p> <p><strong>Функциональные обязанности: </strong></p> <ul> <li>Управление продуктом - система проектирования бизнес-процессов и архитектуры (ARIS);</li> <li>Перманентный customer development: определение потребностей заказчиков в области проектирования бизнес-процессов и архитектуры;</li> <li>Формирование vision продукта (для кого и для чего он), актуализация roadmap его развития (зачем, когда и какие фичи реализуем) и KPI (метрики и целевые значения);</li> <li>Согласование vision, roadmap и KPI, а затем и детальных требований с заказчиками и партнерами, донесение до команды;</li> <li>Управление командой разработки и поддержки продукта;</li> <li>Реализация требований, обеспечение выполнения системой возложенных на нее задач и достижения KPI.</li> </ul> <p><strong>Требования к кандидату:</strong></p> <ul> <li>Опыт работы менеджером продукта или проекта не менее 3х лет, успешно реализованные продукты или проекты;</li> <li>Опыт работы в качестве аналитика, технолога или архитектора;</li> <li>Знание методологий моделирования бизнес-процессов (BPMN обязательно);</li> <li>Опыт использования автоматизированных систем проектирования (желательно ARIS);</li> <li>Умение выстраивать конструктивные отношения и эффективно работать в большой организации, учитывать интересы нескольких сторон, находить решения в парадигме «win-win»;</li> <li>Лидерские качества: проактивная позиция, способность вести за собой, готовность брать ответственность и добиваться результата;</li> <li>Понимание парадигмы agile (scrum) и опыт управления командой разработки в ней.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное трудоустройство согласно ТК РФ;</li> <li>Белая заработная плата (оклад + годовая премия);</li> <li>Возможность обучения за счет компании;</li> <li>Страхование (от несчастных случаев, ДМС);</li> <li>Оздоровительные программы для детей сотрудников;</li> <li>Выплаты материальной помощи в особых/чрезвычайных случаях;</li> <li>Дисконт-программы от компаний партнеров (фитнес, страхование, туризм);</li> <li>Льготное кредитование;</li> <li>Бесплатный тренажерный зал на территории офиса;</li> <li>Столовая на территории офиса.</li> </ul> <p><strong>Адрес:</strong> М. Тульская / Нагатинская / Верхние Котлы.</p> <p>Буду ждать обратной связи!</p> <p>Хорошего вам дня!</p>",Полная занятость,Полный день,От 3 до 6 лет,|ARIS|BPMN,6.0,,3.0,,aris produсt owner,"Опыт работы менеджером продукта или проекта не менее 3х лет, успешно реализованные продукты или проекты. Опыт работы в качестве...",Управление продуктом - система проектирования бизнес-процессов и архитектуры (ARIS). Перманентный customer development: определение потребностей заказчиков в области проектирования бизнес-процессов...,15
Москва,"Единая электронная торговая площадка, АО (группа ВТБ)",2019-11-14T12:04:24+0300,"<p><strong>Должностные обязанности:</strong></p> <ul> <li>Управление продуктом (проектом) согласно идеологии Agile: с применением одного из фреймворков (либо их совмещением): Scrum, Kanban;</li> <li>Разбиение проекта на составляющие функции, приоритизация задач внутри проекта по спринтам;</li> <li>Планирование с командой проекта состава спринтов (проведение полноценного грумминга);</li> <li>Проведение в команде всех полноценных митингов (daily meeting, planning, demo, retro);</li> <li>Постановка задач команде разработчиков, контроль качества и исполнения;</li> <li>Управление коммуникациями в проекте, рисками и качеством проекта;</li> <li>Организация процессов повышения эффективности работы внутри команды.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование (техническое);</li> <li>ПК – высокий уровень, знания SQL, понимание ХML, XSLT;</li> <li>Опыт работы управления проектами;</li> <li>Опыт управления не менее чем двумя успешными проектами с помощью принципов Agile;</li> <li>Опыт запуска продукта;</li> <li>Практический опыт применения фреймворка Scrum\kanban;</li> <li>Ответственность, системное мышление, желание развиваться в сфере управления проектами.</li> </ul> <p> </p> <p><strong>Условия: </strong></p> <ul> <li>Оформление в соответствии с ТК РФ;</li> <li>Социальные гарантии в соответствии с законом;</li> <li>Испытательный срок 3 месяца;</li> <li>График работы 5/2 с 9:30 до 18:30;</li> <li>Офис м. Павелецкая, БЦ класса «А» 5 мин от метро;</li> <li>Уровень заработной платы обсуждается;</li> <li>Премии по результатам работы.</li> </ul> <p> </p>",Полная занятость,Полный день,От 3 до 6 лет,|Scrum|Agile Project Management|223фз|44фз|Постановка задач разработчикам|Управление интернет-проектами|Управление проектами,6.0,,3.0,,produсt owner,"Высшее образование (техническое). ПК – высокий уровень, знания SQL, понимание ХML, XSLT. Опыт работы управления проектами. Опыт управления не менее чем...","Управление продуктом (проектом) согласно идеологии Agile: с применением одного из фреймворков (либо их совмещением): Scrum, Kanban. Разбиение проекта на составляющие...",29
Москва,ТРАНСКАПИТАЛБАНК,2019-12-03T14:02:42+0300,"<strong>Обязанности:</strong> <ul> <li>Установка и настройка компьютерной техники на рабочих местах пользователей;</li> <li>Поддержание в рабочем состоянии оргтехники и компьютерной техники;</li> <li>Обработка обращений пользователей;</li> <li>Техническая поддержка и консультирование пользователей.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Знание аппаратной части ПК и периферийного оборудования;</li> <li>Знание операционных систем семейства Windows и офисных приложений;</li> <li>Знание методов антивирусной защиты;</li> <li>Знание принципов построения локальных вычислительных сетей,протокола TCP/IP;</li> <li>Желателен опыт работы в IT-подразделениях от 6 месяцев</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Трудоустройство по ТК РФ;</li> <li>График работы 5/2 c 9.00 до 18.00, пятница с 9.00 до 16:45;</li> <li>Возможны местные командировки;</li> <li>Перспективы карьерного и профессионального развития.</li> <li>Офис располагается в пешей доступности от станции метро &quot;Марьина Роща&quot;.</li> </ul>",Полная занятость,Полный день,Нет опыта,,,,,,специалист отдела технического обеспечения,Знание аппаратной части ПК и периферийного оборудования. Знание операционных систем семейства Windows и офисных приложений. Знание методов антивирусной защиты. ,Установка и настройка компьютерной техники на рабочих местах пользователей. Поддержание в рабочем состоянии оргтехники и компьютерной техники. Обработка обращений пользователей. ,10
Москва,MagnitMedia,2019-11-20T11:16:20+0300,"<p>Для работы над крупными e-commerce проектами в группу компаний Group365 ищем позитивных, энергичных коллег.</p> <p>Мы развиваем несколько продуктов в рамках направлений - блог, интернет-магазин, пищевой проект.<br />Все продукты уникальны и объединены общей идеей здорового образа жизни.</p> <p>Наша аудитория насчитывает более 2,5 млн активных пользователей и постоянно растет.<br />Наша команда - это профессионалы, заинтересованные в результате.<br />Мы дорожим каждым сотрудником, ценим его вклад в развитие продуктов и финансово мотивируем соответственно.</p> <p><strong>Обязанности</strong></p> <p>- Координация команды по запуску и доработкам продукта;<br />- Коммуникации с заказчиками, связанных с продуктом;<br />- Отслеживание продуктов конкурентов, тенденции – как на российском, так и на зарубежном рынке;<br />- Формирование гипотез по развитию продукта и проводить необходимые тесты для их подтверждения;<br />- Анализ, приоритезация, фильтрация потребностей;<br />- Работа со SCRUM командой/командами в качестве product owner;<br />- Работа с контентом (анализ потребностей, контроль исполнителей, размещение).</p> <p><strong>Требования</strong></p> <p>- Опыт ведения digital продуктов в качестве PO от 1 года (в приоритете e-commerce продукты);<br />- Системное мышление;<br />- Высшее или незаконченноевысшее образование;<br />- Опыт управления командой разработки;<br />- Внимательность к деталям;<br />- Аккуратность;<br />- Отличные коммуникативные навыки;<br />- Опыт работы с Битрикс, Битрикс24 (как плюс);</p> <p><strong>Условия</strong></p> <p>- Оформление по ТК;<br />- Стабильная заработная плата (итоговая цифра обсуждается с финальным кандидатом);<br />- Фуллтайм 5/2;<br />- Испытательный срок – 3 месяца;<br />- Оплачиваемый отпуск – 28 календарных день;<br />- Интересный проект, отличная команда, демократичная и творческая атмосфера в коллективе, возможность профессионального и личностного роста;<br />- Комфортный офис в шаговой доступности от метро Дмитровская.</p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|1С-Битрикс|Работа в команде|Управление интернет-проектами|Деловая коммуникация|Контроль качества|Системное мышление|Организационные навыки|Внимательность|Аккуратность|Битрикс24|Коммуникативные навыки,3.0,,1.0,120000.0,produсt owner,Опыт ведения digital продуктов в качестве PO от 1 года (в приоритете e-commerce продукты). - Системное мышление. - Высшее или незаконченноевысшее...,"Координация команды по запуску и доработкам продукта. - Коммуникации с заказчиками, связанных с продуктом. - Отслеживание продуктов конкурентов, тенденции – как на российском...",23
