city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Газпром-медиа Развлекательное телевидение (ГПМ РТВ),2019-12-11T12:37:12+0300,"<p><em>Мы работаем над высоконагруженными проектами, связанными с поддержкой платформенных сервисов для показа видео. У нашей компании много планов по развитию направления, поэтому мы расширяем департамент и ищем коллег в нашу дружную команду.</em></p> <p><strong>Обязанности:</strong></p> <ul> <li>Проектирование и разработка серверной части платформенных проектов:</li> <li>Написание Python кода;</li> <li>Разработка юнит-тестов;</li> <li>Непосредственное взаимодействие с разработчиками, тестировщиками и менеджером проектов в рамках деятельности scrum-команды;</li> <li>Участие в планировании задач на ближайшую итерацию.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Уверенные знания языка Python;</li> <li>Понимание принципов ООП;</li> <li>Опыт работы с реляционными базами данных и хорошие знания SQL;</li> <li>Основные знания о работе протокола HTTP;</li> <li>Опыт работы с Django желателен;</li> <li>Отсутствие страха перед unix-системами;</li> <li>Опыт написания API или работы с API сторонних сервисов;</li> <li>Опыт автоматизации, обеспечения качества и непрерывности рабочих процессов;</li> <li>Спокойное отношение к &quot;чужому&quot; коду и понимание бизнес-необходимости бесперебойной работы живого проекта в процессе улучшения его кода;</li> <li>Опыт работы с высоконагруженными проектами.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оформление по ТК РФ (соц.пакет, ДМС).</li> <li>Пятидневная рабочая неделя: 10.00-19.00 (возможно гибкое начало дня).</li> <li>Офис в центре Москвы (м. Маяковская, БЦ Сады Пекина).</li> <li>Заработная плата обсуждается индивидуально с каждым кандидатом.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|HTTP|API|Python|Django Framework|Unix,3.0,,1.0,,python разработчик,Уверенные знания языка Python. Понимание принципов ООП. Опыт работы с реляционными базами данных и хорошие знания SQL. Основные знания о...,"Проектирование и разработка серверной части платформенных проектов: Написание Python кода. Разработка юнит-тестов. Непосредственное взаимодействие с разработчиками, тестировщиками и менеджером...",2
Москва,РТСофт,2019-12-12T19:25:52+0300,"<p><strong>Задачи: </strong></p> <ul> <li>проектирование и разработка веб-приложений на Python;</li> <li>покрытие кода юнит-тестами;</li> <li>участие в процессах непрерывной интеграции и сборки программных компонентов (CI/CD);</li> <li>участие в проектировании архитектуры разрабатываемых систем.</li> </ul> <p><strong>Ключевые навыки: </strong></p> <ul> <li>опыт разработки на Python от 3 лет;</li> <li>опыт разработки проектов с использованием Django (REST API);</li> <li>понимание объектно-ориентированного программирования;</li> <li>знание SQL, опыт работы с одной из наиболее распространенных СУБД (PostgreSQL, MS SQL и т.д.);</li> <li>умение работать с системами контроля версий (git);</li> <li>опыт работы с операционными системами семейства Linux;</li> <li>желание и умение быть частью команды.</li> </ul> <p><strong>Приветствуется: </strong></p> <ul> <li>опыт работы с NoSQL;</li> <li>знание асинхронных фреймворков (Tornado и т.д.);</li> <li>опыт построения масштабируемых систем;</li> <li>опыт написания автотестов.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>стабильную перспективную работу;</li> <li>достойную белую заработную плату, оформление по ТК РФ;</li> <li>медицинскую страховку (ДМС);</li> <li>регулярное повышение квалификации за счет компании;</li> <li>гибкий график работы;</li> <li>офис в пешей доступности от м. Первомайская (5 мин.)</li> </ul> <p><br /><strong>Преимущества работы с нами:</strong></p> <ul> <li>работа над перспективным технологичным продуктом: делаем лучший продукт в своем сегменте, поддерживаем инициативы по технологическому развитию продукта;</li> <li>драйв от работы в кругу увлеченных профессионалов;</li> <li>большая степень влияния каждого разработчика, аналитика, тестировщика на продукт;</li> <li>быстрый профессиональный и карьерный рост;</li> <li>возможности обучения и обмена опытом за счет компании: семинары, конференции, тренинги.</li> </ul> <p> </p> <p>　</p>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,python разработчик,Опыт разработки на Python от 3 лет. Опыт разработки проектов с использованием Django (REST API). Понимание объектно-ориентированного программирования. ,Проектирование и разработка веб-приложений на Python. Покрытие кода юнит-тестами. Участие в процессах непрерывной интеграции и сборки программных компонентов...,1
Москва,Сбербанк,2019-12-10T17:41:04+0300,"<p><em><strong>SberData </strong>– департамент по управлению данными всего Сбербанка. SberData строит централизованное хранилище данных, объем которого уже превышает 10 ПБ. Это продуктово-ориентированная инженерная команда с функциями развития выделенных технологических направлений, отражающих новый подход Сбербанка к данным и к применению AI. </em></p> <p> </p> <p><em>Команда <strong>«Супермаркета данных»</strong> ищет Backend разработчика портала, основная цель которого – это распространение данных внутри Банка. Данные – это новая нефть. Перед командой стоит амбициозная цель – разработать портал, пользователи которого смогут заказывать данные банка для работы, в режиме self-service.</em></p> <p> </p> <p><em><strong>Обязанности</strong></em></p> <ul> <li><em>Проработка архитектурных решений Backend сервисов и компонент портального решения;</em></li> <li><em>Прототипирование Backend сервисов и компонент;</em></li> <li><em>Разработка Backend сервисов и компонент портального решения;</em></li> <li><em>Анализ требований и выработка технических решений;</em></li> <li><em>Оценка ресурсов и сроков выполнения задач в рамках своего участка работ;</em></li> <li><em>Участие в разработке архитектуры сервиса и проектировании баз данных, анализ разработанного кода;</em></li> <li><em>Рефакторинг существующего кода, проведение code review;</em></li> <li><em>Внедрение новых технологий, инструментов и методов разработки.</em></li> </ul> <p><em><strong>Требуемый опыт</strong></em></p> <ul> <li><em>Опыт разработки Backend (Python) приложений от 3-х лет.</em></li> <li><em>Опыт разработки различных API (REST).</em></li> <li><em>Хорошее знание и опыт разработки на Full Stack Frameworks </em></li> <li><em>Опыт разработки решений для полнотекстового поиска (Elasticsearch).</em></li> <li><em>Опыт работы с реляционными БД (PostgreSQL).</em></li> <li><em>Опыт разработки интеграционных решений на основе API.</em></li> <li><em>Опыт разработки распределенных решений в концепции микросервисной архитектуры.</em></li> <li><em>Опыт работы с ПО для работы команд разработки: Git, Jira, Confluence.</em></li> <li><em>Опыт работы в Agile командах.</em></li> </ul> <p><em><strong>Будет плюсом:</strong></em></p> <ul> <li><em>Опыт оптимизации приложений: профилирование, анализ дампов памяти/процессов.</em></li> <li><em>Опыт работы с различными очередями сообщений (RabbitMQ или другие)</em></li> <li><em>Опыт разработки распределенных систем.</em></li> <li><em>Понимание паттернов проектирования корпоративных приложений.</em></li> <li><em>Опыт работы с Jenkins, Ansible.</em></li> <li><em>Работа с анализатором кода SonarQube.</em></li> <li><em>Знание банковской предметной области.</em></li> <li><em>Знания по предметной области обеспечения информационной безопасности.</em></li> </ul> <p><em><strong>Условия:</strong></em></p> <ul> <li><em>Профессиональный рост в команде дружных профессионалов.</em></li> <li><em>Бесплатный фитнес-зал в БЦ.</em></li> <li><em>Профессиональное обучение, семинары, тренинги, конференции, корпоративная библиотека.</em></li> <li><em>ДМС, страхование жизни.</em></li> <li><em>Самые инновационные, амбициозные проекты и задачи.</em></li> <li><em>Свободный дресс-код.</em></li> <li><em>Гибкий график для оптимального баланса работы и личной жизни.</em></li> <li><em>Льготные кредиты и корпоративные скидки.</em></li> <li><em>Конкурентная компенсация (оклад и премии по результатам деятельности).</em></li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,,6.0,,3.0,,python разработчик,Опыт разработки Backend (Python) приложений от 3-х лет. Опыт разработки различных API (REST). Хорошее знание и опыт разработки на...,Проработка архитектурных решений Backend сервисов и компонент портального решения. Прототипирование Backend сервисов и компонент. Разработка Backend сервисов и компонент портального...,3
Москва,Альфа-Лизинг,2019-12-09T11:20:02+0300,"<p><strong>Кто мы?</strong></p> <p>Мы – крупная лизинговая компания, которая быстро растет.</p> <p>Чтобы расти и финансировать много лизинговых сделок, нам нужно принимать десятки, а иногда и сотни кредитных решений в день. Для этого нам необходимо решать следующие задачи:</p> <ul> <li>Автоматизировать процессы, связанные с принятием кредитного решения.</li> <li>Разрабатывать инструменты и веб-приложения для лиц, принимающих решения.</li> </ul> <p>Мы ищем разработчика, который поможет нам решать такие задачи.</p> <p><strong>Круто! А что нужно делать?</strong></p> <p><strong>Задачи следующие:</strong></p> <ul> <li>Разработка сервисов, реализующих обработку данных для кредитного скоринга;</li> <li>Разработка веб-приложений для лиц, принимающих кредитные решения;</li> <li>Поддержка существующих веб-приложений;</li> <li>Автоматизация загрузки данных, используемых для принятия решения по сделке.</li> </ul> <p><strong>Кого ищем?</strong></p> <p>Ищем человека, который:</p> <ul> <li>Знает python и стандартные модули;</li> <li>Уверенно работает с Git;</li> <li>Работал с Django и знает Django;</li> <li>Реализовывал боевые проекты на Django и/или Flask;</li> <li>Умеет и хочет работать со следующими технологиями: python, Django, Flask, PostgreSQL, nginx, pandas.</li> <li><strong>Готовы рассматривать студентов старших курсов, готовых работать не менее 30 часов в неделю.</strong></li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Рабочее место м. Профсоюзная;</li> <li>Работа в динамично развивающейся компании;</li> <li>Возможность профессионального и карьерного роста;</li> <li>Обучение на всех этапах карьеры;</li> <li>Официальное оформление по ТК РФ;</li> <li>Широкий пакет социальных программ (в т.ч. ДМС и мобильная связь);</li> <li>Работа в молодом профессиональном коллективе с развитой корпоративной культурой.</li> </ul> <p><strong>Мы рады видеть в нашей команде энергичных, инициативных, амбициозных и ответственных профессионалов!</strong></p> <p><strong>Мы ценим специалистов, умеющих эффективно работать в команде, стремящихся развиваться и получать новые знания!</strong>​​​​​​​</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Python|Django Framework|Git|PostgreSQL|Nginx,3.0,,1.0,,разработчик python,Знает python и стандартные модули. Уверенно работает с Git. Работал с Django и знает Django. Реализовывал боевые проекты на Django...,"Автоматизировать процессы, связанные с принятием кредитного решения. Разрабатывать инструменты и веб-приложения для лиц, принимающих решения. Разработка сервисов, реализующих обработку...",4
Санкт-Петербург,FinPay,2019-12-13T16:33:06+0300,"<p><strong><em>В дружную высокопрофессиональную команду динамично развивающейся компании для работы в офисе требуется python backend разработчик уровня Senior</em></strong><strong><em>. </em></strong></p> <p><em>Работа над крупными интернет корпоративным проектом (собственное ПО).<br />Разработка архитектуры приложений на всех этапах, согласно утвержденному ТЗ</em></p> <p><br /><strong>Что мы ходим видеть в нашем сотруднике:</strong></p> <ul> <li>Опыт коммерческой разработки на Python/Django от 5-и лет;</li> <li>Экспертный уровень знаний SQL (Postgres), Django ORM;</li> <li>Продвинутые знания MongoDB, Redis, Celery;</li> <li>Умение разбираться в чужом коде, производить рефакторинг и оптимизацию, делать code-review; знание PEP8;</li> <li>Знание Linux (Debian/Ubuntu) или других *nix;</li> <li>Будет плюсом, если в резюме отразите проекты, свою роль и вклад, результат;</li> <li>Рассматриваются кандидаты, готовые к переезду в Санкт-Петербург, Россия.</li> </ul> <p><strong>Наши условия:</strong></p> <ul> <li>Работа в сильной команде профессионалов, крупный отдел;</li> <li>Гибкое начало рабочего дня;</li> <li>Компенсация обучения английскому языку;</li> <li>Интересные задачи в финансовой сфере;</li> <li>Адекватный менеджмент;</li> <li>Высокая степень свободы в решении задач,</li> <li>Хороший кофе)</li> <li>Территориально Санкт-Петербург, на Васильевском острове, в хорошем современном БЦ<strong>.</strong></li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Python|Django Framework|MongoDB|PostgreSQL|Linux|Redis|Celery|PEP8,6.0,,3.0,,senior python разработчик,"Опыт коммерческой разработки на Python/Django от 5-и лет. Экспертный уровень знаний SQL (Postgres), Django ORM. Продвинутые знания MongoDB...","Разработка архитектуры приложений на всех этапах, согласно утвержденному ТЗ.",0
Санкт-Петербург,NETRIKA,2019-12-06T18:21:31+0300,"<p>Привет! :)</p> <p>«<strong>Нетрика</strong>» – многопрофильная ИТ-компания, специализирующаяся на разработке и поставке ИТ-решений для государственных структур федерального и регионального уровней, эксперт в отраслевой информатизации госсектора.</p> <p>Компания «<strong>Нетрика</strong>» входит в топ-100 крупнейших ИТ-компаний России.</p> <p><strong>Кого ищем?</strong></p> <p>Ищем специалиста уровня <strong>Jun-to-Mid</strong> для работы над веб-проектами широкой направленности: сайты-каталоги и интернет-магазины со сложной ассортиментной матрицей; промопроекты и целевые landing pages, ориентированные на лидогенерацию; спортивные интернет-ресурсы с большой аудиторией и значительными пиковыми нагрузками; проекты для госучреждений и органов власти с обязательным соблюдением большого набора нормативных требований;</p> <p><strong>В работе мы используем:</strong> Python; Django; Django Rest Framework; PostgreSQL; Redis; ElasticSearch; Ansible; Nginx; Git; Gitlab CI; Jira/Confluence</p> <p><strong>Что мы ожидаем от нового коллеги?</strong></p> <ul> <li>опыт разработки Python/Django от 1 года;</li> <li>умение пользоваться git;</li> <li>знание SQL;</li> <li>понимание принципов работы HTTP(S)</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>опыт разработки ПО на других языках программирования (в частности PHP)</li> <li>опыт успешной оптимизации SQL запросов;</li> <li>общая технологическая подкованность, знание жизненных циклов ПО, классических алгоритмов;</li> <li>умение разбираться в чужом коде, основы оптимизации кода;</li> </ul> <p><strong>Со своей стороны мы готовы предложить:</strong></p> <ul> <li>Дружную и позитивную атмосферу в команде профессионалов – мы сами пользуемся продуктами, которые разрабатываем, и мы делаем все качественно;</li> <li>Разнообразные задачи дадут возможность получить самый неожиданный опыт;</li> <li>Гибкий график и демократичный подход к организации труда;</li> <li>Официальное трудоустройство с первого дня работы (полностью &quot;белая&quot; заработная плата, отпуска, больничные);</li> <li>ДМС после испытательного срока;</li> <li>Комфортный офис в центре города (ст. м. Пл. Восстания/Площадь Александра Невского).</li> <li>Всегда в наличии Чай, кофе и другие плюшки.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Python|PostgreSQL|Git|Django Framework|Nginx,3.0,,1.0,,python разработчик,Опыт разработки Python/Django от 1 года. Умение пользоваться git. Знание SQL. Понимание принципов работы HTTP(S). Будет плюсом: Опыт...,Ищем специалиста уровня Jun-to-Mid для работы над веб-проектами широкой направленности: сайты-каталоги и интернет-магазины со сложной...,7
Санкт-Петербург,Сбер Решения,2019-11-28T14:42:58+0300,"<p> </p> <p> </p> <p><strong>О НАС</strong></p> <p>Мы команда по разработке digital продуктов для нашего бизнеса. Мы создаем и развиваем продукты для предпринимателей: веб-интерфейсы для удобной работы клиента с нашими специалистами по бухгалтерии, облачные сервисы и другие решения, которые делают жизнь малого бизнеса проще. Наши продукты помогают предпринимателям не думать о бухгалтерии, отчетности, кадровых документах, общении с государственными органами, делопроизводстве и всем прочем, что не относится непосредственно к их бизнесу. У нас нет легаси-продуктов, но есть амбициозные задачи по запуску новых цифровых продуктов.</p> <p><strong>ЧТО МЫ ПРЕДЛАГАЕМ</strong></p> <p><strong>СИЛЬНАЯ КОМАНДА.</strong> Мы нацелены на общий результат, у нас принято поддерживать друг друга.</p> <p><strong>ВОЗМОЖНОСТЬ РАЗВИВАТЬСЯ.</strong> Мы даем людям проявить себя на сложных задачах и пробовать новое.</p> <p><strong>ПРОСТОР ДЛЯ ТВОРЧЕСТВА.</strong> В наших командах все понимают общую цель и потребности пользователя, а как к этому прийти – решать</p> <p><strong>ОТДАЧА ОТ РАБОТЫ. </strong>Мы создаем и развиваем продукты для бизнеса, чтобы предприниматели могли сфокусироваться на том, что для них действительно важно</p> <p> </p> <p><strong>ОБЯЗАННОСТИ:</strong></p> <ul> <li>Разработка, отладка и оптимизация;</li> <li>Проектирование и реализация программных систем;</li> <li>Анализ и решение сложных технических проблем;</li> </ul> <p><strong>ТРЕБОВАНИЯ:</strong></p> <ul> <li>Знание Python и опыт разработки на нем от 2 лет;</li> <li>Желательно знание базовых структур данных и операций над ними;</li> <li>Желателен опыт работы с Django, Tornado, Flask, Falcon;</li> <li>Опыт работы – от 1 до 3 лет;</li> <li>Техническое высшее образование;</li> <li>Умение самостоятельно учиться;</li> </ul> <p><strong>УСЛОВИЯ:</strong></p> <ul> <li>Трудоустройство по ТК РФ, все социальные гарантии;</li> <li>5-дневная рабочая неделя, 8-часовой рабочий день;</li> <li>Вся заработная плата &quot;белая&quot;;</li> <li>Система премирования;</li> <li>ДМС.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,разработчик python vba в отдел оптимизации процессов,Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. ,"Разработка, отладка и оптимизация. Проектирование и реализация программных систем. Анализ и решение сложных технических проблем.",15
Санкт-Петербург,Санкт-Петербургский филиал компании ГАЗПРОМ Германия ГмбХ,2019-11-25T14:54:53+0300,"<p>The successful applicant will share in the responsibility of ensuring the Quantitative Development team delivers robust, integrated models within company&#39;s valuation and risk management framework. The Quantitative Developer will provide support within the team to help improve processes, applications and coding. They will take joint responsibility for the upkeep and maintenance of the Quant code base, driving performance improvements alongside capability enhancements. A significant part of this role will involve working with the Quantitative Analysts to ensure that the library is utilised effectively.</p> <p><strong>Responsibilities:</strong></p> <ul> <li>contributing to the improvements of the Python code library, from low-level numerical performance of algorithms to integration with data and deal booking systems;</li> <li>supporting the development of tools and processes which enable the effective use of the library by technical stakeholders across the business;</li> <li>developing and maintaining testing and DevOps tools for ensuring robustness and comprehensive coverage of library tests.</li> </ul> <p><strong>Requirements:</strong></p> <ul> <li>good knowledge of Python and its standard library;</li> <li>knowledge of and experience using the Python scientific stack: numpy, scipy, pandas, ipython, statsmodels, sklearn;</li> <li>understanding of SQL, ability to join tables/subqueries;</li> <li>data visualisation: matplotlib, bokeh, plotly;</li> <li> <p>computer science or similar degree, preferably including or in conjunction with a numerate degree such as maths/physics/engineering;</p> </li> <li> <p><strong>Upper-intermediate level of English.</strong></p> </li> </ul> <p><strong>Technical abilities that would be an advantage:</strong></p> <ul> <li>experience of devops / continuous integration and deployment, especially using the conda package manager;</li> <li>parallel programming experience – preferably ipython cluster, but also multiprocessing / concurrent futures;</li> <li>experience using cython.</li> </ul> <p><strong>Conditions:</strong></p> <ul> <li>working in the global matrix team;</li> <li>voluntary medical insurance;</li> <li>life insurance;</li> <li>compensation of fitness;</li> <li>professional and career growth;</li> <li>business trips to UK.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Python|SQL|Data visualisation|Cython,3.0,,1.0,,python разработчик разработчик python,"Good knowledge of Python and its standard library. Knowledge of and experience using the Python scientific stack: numpy, scipy, pandas...","Contributing to the improvements of the Python code library, from low-level numerical performance of algorithms to integration with data...",18
Санкт-Петербург,МТС,2019-12-11T19:30:08+0300,"<p>MtsAI (Центр искусственного интеллекта МТС) занимается разработкой уникальных продуктов в области диалоговых систем, медицины и юриспруденции на базе систем искусственного интеллекта, а также реализует R&amp;D проекты в области AI/ML. Мы создаем наши решения как для внутренних, так и внешних для клиентов: сейчас в портфеле в общей сложности 5 продуктовых направлений, часть из которых уже внедрена и используется. В рамках участия наших лидеров в формировании Национальной стратегии искусственного интеллекта мы осуществляем проект по разработке инновационной AI-платформы на базе исследовательского института МТС в Сколково, способствуя повышению уровня открытости индустрии и призывая ее участников к активному диалогу.</p> <p><strong>Задачи</strong><strong>:</strong></p> <ul> <li>автоматизировать обработку больших массивов текстовых данных;</li> <li>разрабатывать утилиты для извлечения и сопоставления данных из текстовых баз;</li> <li>выполнять автоматическую нормализацию и транслитерацию текстов;</li> <li>исправлять ошибки в текстах;</li> <li>проверять и корректировать фонетическую транскрипцию слов.</li> </ul> <p><strong>Кого мы ищем:</strong></p> <ul> <li>уверенные знания python (умение писать скрипты для обработки тестов);</li> <li>пользователь Linux;</li> <li>начальные знания bash;</li> <li>иметь представление о работе в Git;</li> <li>внимательность и аккуратность;</li> <li>готовность выполнять работу, требующую концентрации внимания;</li> <li>английский язык на уровне чтения тех. литературы.</li> </ul> <p><strong>Желательно</strong>:</p> <ul> <li>иметь опыт в подготовке данных;</li> <li>приветствуется образование: лингвистика / компьютерная лингвистика;</li> <li>иметь представление о фонетической транскрипции;</li> <li>участие в data-science или ml проектах в аналогичной должности.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>полностью белая заработная плата;</li> <li>бонусы дважды в год;</li> <li>ДМС + стоматология, страхование жизни, страхование при поездках за рубеж, скидки на автострахование;</li> <li>компенсация мобильной связи (бесплатные пакеты);</li> <li>гибкий график, отличные коллеги;</li> <li>мы сделали обучение доступным. Вы можете проходить тренинги очно, дистанционно, участвовать в конференциях и митапах за счет компании;</li> <li>частичная компенсация фитнес-абонемента;</li> <li>100% оплата больничного листа;</li> <li>отпуск 31 день;</li> <li>корпоративная библиотека + подписка на журналы;</li> <li>специальные предложения от партнеров и друзей МТС.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Python|Linux|Git,3.0,,1.0,,junior python разработчик,Уверенные знания python (умение писать скрипты для обработки тестов). Пользователь Linux. Начальные знания bash. Иметь представление о работе в Git. ,Автоматизировать обработку больших массивов текстовых данных. Разрабатывать утилиты для извлечения и сопоставления данных из текстовых баз. Выполнять автоматическую нормализацию и...,2
Санкт-Петербург,Газпром нефть,2019-12-12T11:13:31+0300,"<strong>Обязанности:</strong> <p>Разработка технических кроссплатформенных решений и решений на платформе MS Windows. Участие в проектной и сервисной деятельности. Участие (экспертиза) в подготовке технических и рабочих документов.</p> <p><strong>Требования:</strong></p> <p><strong>Образование</strong>: Высшее (математика, информационные технологии).</p> <p><strong>Опыт</strong> разработки на Python 2/3 от 1 года (хорошее знание стандартной библиотеки языка). . Уметь не только писать, но и тестировать свой код (TDD, BDD, code coverage). Опыт работы с системами контроля версий (Git, GitFlow).</p> <p><strong>Желательно</strong>: Опыт работы с Gtk3/PyQt5/PySide2. Навыки работы с numpy/pandas/matplotlib. Знание паттернов проектирования.Опыт работы с многопоточностью.</p> <p><strong>Личные качества</strong>: ответственность, порядочность, дисциплинированность, нацеленность на результат, умение работать в команде, инициативность.</p> <p><strong>Условия:</strong></p> <p>Работа в крупной компании, хороший компенсационный пакет (обсуждается с успешным кандидатом), ДМС</p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|Python,3.0,,1.0,,ведущий разработчик python,"Образование: Высшее (математика, информационные технологии). Опыт разработки на Python 2/3 от 1 года (хорошее знание стандартной библиотеки языка). . ",Разработка технических кроссплатформенных решений и решений на платформе MS Windows. Участие в проектной и сервисной деятельности. Участие (экспертиза) в подготовке...,1
