city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,EY (Эрнст энд Янг),2019-11-25T10:01:33+0300,"<p>Группа улучшения бизнес-технологий и ИТ занимается оптимизацией бизнес-процессов различного рода, специализации и масштаба, автоматизацией процессов, которые требуют кропотливой работы многочисленного персонала. EY является признанным мировым лидером по внедрению 1C и SAP-решений*, и это звание мы заслужили, индивидуально подходя к каждой новой проблеме или ситуации клиента. Мы находим наилучшее решение с учетом современных средств ИТ, используя качественный анализ данных и экспертную оценку специалистов EY различного профиля и уровня.</p> <p><strong>Основные направления деятельности:</strong></p> <ul> <li>Оптимизация бизнес-процессов компаний в различных индустриях</li> <li>Внедрение программных продуктов на базе SAP.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Проведение диагностики и описание бизнес-процессов</li> <li>Сбор, обработка и анализ данных</li> <li>Построение целевой модели процессов (финансы, логистика, управление персоналом) с использованием продуктов SAP</li> <li>Настройка и оптимизация продуктов SAP</li> <li>Тестирование</li> <li>Миграция данных</li> <li>Обучение конечных пользователей</li> <li>Разработка оптимизационных решений</li> <li>Экономическое обоснование предлагаемых решений</li> <li>Подготовка и участие в презентациях.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование (физика, математика, финансы, менеджмент, программирование и базы данных)</li> <li>Развитое аналитическое системное мышление</li> <li>Развитые коммуникативные навыки</li> <li>Опытный пользователь MS Excel (VBA)</li> <li>Владение английским языком на уровне не ниже Upper-Intermediate</li> <li>Желание учиться и развиваться, а также реализовать свой потенциал и полученные знания и умения на практике</li> <li>Готовность к командировкам.</li> </ul> <p><strong>ВАШИ ВОЗМОЖНОСТИ В EY:</strong></p> <p>С самого начала карьеры или в рамках ее продолжения работа в EY — это опыт, который по-настоящему полезен. На крупных инновационных проектах российских и международных клиентов вы действительно узнаете свои возможности и найдете достойное применение своим профессиональным навыкам и опыту, совмещая интерес к современным ИТ-технологиям и работе в большом бизнесе.</p> <p>Вас ждут:</p> <ul> <li>Возможность работать в команде профессионалов в компании международного уровня</li> <li>Разнообразие проектов с крупными международными и российскими клиентами, лидерами рынка</li> <li>Расширенная программа обучения: от профессиональных тренингов и доступа к онлайн-порталам до языковых курсов</li> <li>Система наставничества и четкие перспективы карьерного роста, регулярная обратная связь и открытая корпоративная культура.</li> <li>Конкурентоспособная заработная плата и социальный пакет, wellness-инициативы.</li> </ul> <p>В EY вы сможете совместить идеальную карьеру и действительно важную роль — каждый день вы сможете совершенствовать мир бизнеса, предоставляя услуги высшего качества и занимаясь тем, что вам действительно интересно.</p> <p>*IDC’s MarketScape Worldwide SAP Implementation Services Ecosystem 2018 Vendor Assessment</p>",Полная занятость,Полный день,Нет опыта,,,,,,стажер группа улучшения бизнес технологий и ит направление sap,"Высшее образование (физика, математика, финансы, менеджмент, программирование и базы данных). Развитое аналитическое системное мышление. Развитые коммуникативные навыки. Опытный пользователь MS...",Оптимизация бизнес-процессов компаний в различных индустриях. Внедрение программных продуктов на базе SAP. Проведение диагностики и описание бизнес-процессов. ,18
Москва,adidas,2019-11-16T21:12:37+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Анализ и описание существующих бизнес-процессов, выявление неэффективных процессов и операций в работе сотрудников, подготовка предложений по оптимизации процессов;</li> <li>Разработка ТЗ на автоматизацию бизнес-процессов, взаимодействие с IT / бизнес / проектными командами в процессе реализации бизнес-требований;</li> <li>Разработка инструкций, обучение пользователей;</li> <li>Поддержка конечных пользователей Финансового департамента на участках Расчеты с Поставщиками / Расчеты с Покупателями) по работе в информационных системах (SAP, локальные приложения);</li> <li>Участие в функциональном тестировании учетных / операционных систем;</li> <li>Участие в проектах по внедрению новых бизнес-процессов / систем.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование (желательно экономическое);</li> <li>Опыт работы в SAP FI-CO (модули AP / AR), MS Office (i.e., Excel , Word, Power Point);</li> <li>Английский язык уровня intermediate;</li> <li>Хорошие коммуникативные навыки, системное мышление, ориентация на результат, умение объяснять сложные вещи простым языком.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Возможности карьерного и профессионального роста</li> <li>Работа в дружной команде профессионалов</li> <li>Фиксированный оклад</li> <li>Скидки на продукцию компании</li> <li>Частичная компенсацию питания</li> <li>Частичная компенсация фитнеса</li> <li>Корпоративный транспорт от станций <strong>м. Крылатское и Ул. 1905 года</strong></li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,старший специалист по оптимизации процессов ключевой пользователь sap,"Высшее образование (желательно экономическое). Опыт работы в SAP FI-CO (модули AP / AR), MS Office (i.e., Excel , Word, Power...","Анализ и описание существующих бизнес-процессов, выявление неэффективных процессов и операций в работе сотрудников, подготовка предложений по оптимизации процессов. ",27
Москва,ФосАгро,2019-12-02T16:59:50+0300,"<p><strong>Вакансия с переездом в г. Череповец Вологодская обл</strong></p> <p><strong>Основное направление деятельности:</strong></p> <p>- Поддержка существующих интеграционных сценариев, написание новых в Integration Framework for SAP Business One.</p> <p>- Поддержка существующих сценариев работы, написание новых для взаимодействия с SAP Business One.</p> <p>- Создание/доработка веб-сервисов.</p> <p>- Конфигурирование/настройка SAP Business One.</p> <p><strong>Обязательно:</strong></p> <ul> <li>опыт программирования от 3 лет;</li> <li>знание HANA;</li> <li>знание SAP Business One;</li> <li>знание Integration Framework for SAP Business One;</li> <li>опыт параллельного и многопоточного программирования;</li> <li>знание классических алгоритмов и структур данных;</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>знание распределенных систем контроля версий (git);</li> <li>опыт работы в команде;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Компенсация переезда, аренды жилья</li> <li>ДМС, тренажерный зал , бассейн</li> <li>Оформление по ТК РФ</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|SAP CRM|Базы данных|MS Paint|Pascal|Cистемы управления базами данных,6.0,,3.0,,разработчик sap,Обязательно: Опыт программирования от 3 лет. Знание HANA. Знание SAP Business One. Знание Integration Framework for SAP Business One. ,"Основное направление деятельности: - Поддержка существующих интеграционных сценариев, написание новых в Integration Framework for SAP Business One. - Поддержка существующих сценариев работы...",11
Санкт-Петербург,СИГМА,2019-12-06T18:26:13+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR</li> <li>Участие в настройке и поддержке интерфейсов существующей функциональности SAP HR</li> <li>Тестирование новой версии программного комплекса SAP HR</li> <li>Осуществляет поддержку пользователей системы SAP HR на 2-ой линии</li> </ul> <p><strong>Требования:</strong></p> <p><em>Обязательно</em></p> <ul> <li>Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе);</li> <li>Умение структурированно излагать свои мысли, аналитический подход при решении поставленных задач;</li> <li>Желание интенсивно обучаться и развиваться, нацеленность на результат;</li> <li>Хорошие коммуникативные навыки, умение работать в команде; Знание MS Office (Word, Excel, Power Point), интерес к ИТ;</li> <li>Желание развиваться в качестве консультанта SAP</li> </ul> <p><em>Желательно</em></p> <ul> <li>Знание английского языка на уровне чтения технической документации;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Работа в масштабных интересных проектах</li> <li>Перспективы профессионального и карьерного роста</li> <li>Оформление в соответствии с ТК РФ</li> <li>Конкурентная заработная плата</li> <li>Квартальное премирование по результатам работы</li> <li>Внутреннее и внешнее обучение сотрудников</li> <li>ДМС после испытательного срока</li> <li>Доступ к корпоративной электронной библиотеке</li> </ul>",Стажировка,Полный день,Нет опыта,|MS PowerPoint|Английский язык|Обучение и развитие|Разработка технических заданий|Windows 7,,,,,стажер sap hr,"Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе). Умение структурированно излагать свои мысли, аналитический подход при...","Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR. Участие в настройке и поддержке интерфейсов существующей...",7
Санкт-Петербург,Крит,2019-12-11T14:01:16+0300,"<strong>Обязанности:</strong> <ul> <li> <p>участие в проектах внедрения и сопровождения систем SAP у крупных заказчиков;</p> </li> <li> <p>проектирование и реализация корпоративных хранилищ данных, систем аналитической отчетности, бюджетирования, интеграционных решений на базе SAP BI;</p> </li> <li> <p>разработка проектной документации;</p> </li> <li> <p>тестирование программных решений;</p> </li> <li> <p>участие в пресейл-проектах.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>выпускник/студент последнего курса технического или экономического вуза;</p> </li> <li> <p>понимание основ баз данных, знание SQL;</p> </li> <li> <p>английский язык на уровне чтения технической документации;</p> </li> <li> <p>знание языков программирования будет вашим преимуществом.</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>обучение инструментарию BI компании SAP – мирового лидера по разработке ПО для управления бизнесом;</p> </li> <li> <p>трудоустройство в штат;</p> </li> <li> <p>гибкий график.</p> </li> </ul>",Стажировка,Полный день,Нет опыта,|SQL|Управление проектами|MS SQL|C#|Английский язык,,,,30000.0,стажер sap bi,"Выпускник/студент последнего курса технического или экономического вуза. Понимание основ баз данных, знание SQL. Английский язык на уровне чтения технической...","Участие в проектах внедрения и сопровождения систем SAP у крупных заказчиков. Проектирование и реализация корпоративных хранилищ данных, систем аналитической отчетности...",2
Санкт-Петербург,"Лента, федеральная розничная сеть",2019-12-11T09:57:10+0300,"<p>В центральном офисе крупнейшей федеральной розничной сети <strong>&quot;Лента&quot; </strong>открыта вакансия <strong>Старшего специалиста по интеграции систем SAP PO </strong></p> <p>SAP Process Orchestration – это интеграционная шина обеспечивающая межсистемную и межпроцессную интеграцию систем различных производителей, работающих под управлением различных операционных систем и с различными СУБД. Мы используем последнюю версию SAP PO 7.5. Перед нами стоит задача создания интеграционных потоков между системами, управления этими потоками и обеспечение непрерывности их работы.</p> <p>Мы используем Java, XSL и немного ABAP для разработки Proxy классов в SAP. Мы постоянно ищем новые возможности для создания надежной и производительной интеграции между системами.</p> <p> </p> <p><strong>Пожелания к Вам:</strong></p> <ul> <li>от 3-х лет опыта в разработке интеграционных потоков на Java, XSL или других языках</li> <li>понимание протоколов обмена данными</li> <li>знания технологий WebService, SOAP, REST</li> </ul> <p><strong>Будет большим плюсом:</strong></p> <ul> <li>знания принципов функционирования систем типовых классов (WMS, ERP, портал, пр.)</li> <li>опыт проектирования и документирования информационных систем</li> </ul> <p> </p> <p><strong>Вы получите:</strong></p> <ul> <li>внешние обучения от SAP и не только</li> <li>внутренние обучения под руководством опытных наставников</li> <li>закрытые семинары в рамках поддержки SAP MaxAttention</li> <li>возможность удаленной работы после испытательного срока</li> <li>демократичный коллектив</li> <li>годовое премирование на основании результатов оценки деятельности</li> <li>ДМС со стоматологией</li> <li>консультации с офисным врачом и терапевтом на территории офиса</li> <li>компенсацию мобильной связи</li> <li>льготное питание в собственной столовой по системе шведский стол (завтраки, обеды, ланч-боксы на вынос)</li> <li>чай, кофе, комфортный офис в Приморском районе</li> <li>оформление по ТК РФ, полный спектр социальных льгот</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,,6.0,,3.0,,старший специалист по интеграции систем sap po,"От 3-х лет опыта в разработке интеграционных потоков на Java, XSL или других языках. Понимание протоколов обмена данными. ",Консультации с офисным врачом и терапевтом на территории офиса.,2
Санкт-Петербург,Атос АйТи Солюшенс энд Сервисез,2019-11-28T16:43:41+0300,"<p><strong>Вводная о проекте:</strong></p> <ul> <li>Проекты внедрения и поддержки SAP S4Hana, гармонизация и настройка бизнес процессов на S4Hana.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Анализ и моделирование бизнес-процессов в области финансового учета, контроллинга и управления проектами SAP;</li> <li>Разработка технического решения с учетом особенностей клиента;</li> <li>Координация всего процесса: от оценки до технической реализации, включая тестирование и обучение пользователей;</li> <li>Управление проектами, включая техническую координацию команд;</li> <li>Ответственность за планирование, контроль и завершение проекта в установленные сроки.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li><strong>Свободное владение немецким языком (от С1);</strong></li> <li>Практический опыт в FI, CO, PS, от 7 лет;</li> <li>Готовность к релокации в Германию;</li> <li>Опыт создания технических концепций, внедрения и конфигурации, включая New-GL;</li> <li>Знание SAP Simple Finance и/или S/4HANA Finance;</li> <li>Английский разговорный;</li> <li>Опыт управления проектами и руководства командами;</li> <li>Желателен опыт работы на иностранных проектах;</li> <li> <p>Нацеленность на результат, лидерские качества, умение работать в команде.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Компания предлагает стабильную и интересную работу, возможность профессионального развития;</li> <li>Изучение английского и немецкого языка;</li> <li>Предоставление дополнительных отпусков;</li> <li>Предоставление материальной помощи по особым случаям;</li> <li>Добровольное медицинское страхование (поликлиника, стоматология) - 100% компенсация для сотрудников компании;</li> <li>Компенсация питания сотрудника;</li> <li>Программа компенсаций занятий спортом;</li> <li>Программа награждения сотрудников;</li> <li>Возможны командировки в другие страны;</li> <li><strong>Работа в Германии. Оказываем содействие и помощь при переезде;</strong></li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Управление проектами|Английский язык|SAP FI|Работа в команде|Бизнес-анализ|SAP CO|SAP PS|Немецкий язык|SAP Simple Finance|S/4HANA Finance,6.0,,3.0,,эксперт sap s 4 hana fi сo ps с немецким языком в германию,"Свободное владение немецким языком (от С1). Практический опыт в FI, CO, PS, от 7 лет. Готовность к релокации в...","Проекты внедрения и поддержки SAP S4Hana, гармонизация и настройка бизнес процессов на S4Hana. Анализ и моделирование...",15
Екатеринбург,СИГМА,2019-12-06T18:26:13+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR</li> <li>Участие в настройке и поддержке интерфейсов существующей функциональности SAP HR</li> <li>Тестирование новой версии программного комплекса SAP HR</li> <li>Осуществляет поддержку пользователей системы SAP HR на 2-ой линии</li> </ul> <p><strong>Требования:</strong></p> <p><em>Обязательно</em></p> <ul> <li>Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе);</li> <li>Умение структурированно излагать свои мысли, аналитический подход при решении поставленных задач;</li> <li>Желание интенсивно обучаться и развиваться, нацеленность на результат;</li> <li>Хорошие коммуникативные навыки, умение работать в команде; Знание MS Office (Word, Excel, Power Point), интерес к ИТ;</li> <li>Желание развиваться в качестве консультанта SAP</li> </ul> <p><em>Желательно</em></p> <ul> <li>Знание английского языка на уровне чтения технической документации;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Работа в масштабных интересных проектах</li> <li>Перспективы профессионального и карьерного роста</li> <li>Оформление в соответствии с ТК РФ</li> <li>Конкурентная заработная плата</li> <li>Квартальное премирование по результатам работы</li> <li>Внутреннее и внешнее обучение сотрудников</li> <li>ДМС после испытательного срока</li> <li>Доступ к корпоративной электронной библиотеке</li> </ul>",Стажировка,Полный день,Нет опыта,|MS PowerPoint|Английский язык|Обучение и развитие|Разработка технических заданий|Windows 7,,,,,стажер sap hr,"Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе). Умение структурированно излагать свои мысли, аналитический подход при...","Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR. Участие в настройке и поддержке интерфейсов существующей...",7
Екатеринбург,TeamIdea (ООО ТИМИДЕЯ ГРУПП),2019-11-29T12:00:11+0300,"<p>Компания <strong>TeamIdea</strong>, единственная российская компания-платиновый партнёр SAP, открывает вакансию <strong>Стажера-Разработчика </strong><strong>SAP</strong><strong>.</strong></p> <p><strong>Испытательный срок:</strong> до 3 месяцев.</p> <p><strong>Ожидания от кандидата:</strong></p> <ul> <li>высшее техническое или экономическое образование;</li> <li>знание минимум одного из языков программирования (Java, C++, C#, Python, JavaScript, Delphi/Object Pascal, Ruby, PL/SQL);</li> <li>знание SQL и принципов построения реляционных БД;</li> <li>понимание клиент-серверной архитектуры;</li> <li>знание и понимание принципов ООП;</li> <li>знание английского языка на уровне чтения технической документации.</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>опыт самостоятельных разработок;</li> <li>опыт работы с БД;</li> <li>опыт работы с REST сервисами, протоколом oData;</li> <li>базовые знания HTML5, CSS;</li> <li>опыт работы с JavaScript-фреймворками;</li> <li>понимание паттернов проектирования;</li> <li>знакомство с продуктами SAP (SAP Cloud Platform, Fiori, SAPUI5);</li> <li>уверенный письменный и разговорный английский.</li> </ul> <p><strong>Профессионально-значимые личностные качества:</strong></p> <ul> <li>стремление и способность к интенсивному и постоянному обучению, в том числе самостоятельному развитию;</li> <li>аналитический склад ума;</li> <li>ответственность;</li> <li>высокая работоспособность.</li> </ul> <p><strong>Задачи:</strong></p> <ul> <li>обучение и профессиональное развитие в области разработок на языке программирования ABAP и сопутствующих технологиях (SAP HANA, Process Integration);</li> <li>обучение и профессиональное развитие в области разработок приложений SAPUI5 (FIORI) и сопутствующих технологиях (SAP SCP, Java, REST/SOAP/oData);</li> <li>участие в проектах в качестве back-end (ABAP) или front-end (Fiori, SAPUI5) разработчика.</li> </ul>",Стажировка,Полный день,Нет опыта,,,,,,стажер разработчик sap,"Высшее техническое или экономическое образование. Знание минимум одного из языков программирования (Java, C++, C#, Python, JavaScript, Delphi/Object Pascal, Ruby...","Обучение и профессиональное развитие в области разработок на языке программирования ABAP и сопутствующих технологиях (SAP HANA, Process Integration). ",14
Екатеринбург,Атос АйТи Солюшенс энд Сервисез,2019-12-06T11:58:27+0300,"<p><strong>Вводная о проекте:</strong></p> <p>Проект поддержки/развития системы SAP.</p> <p><strong>Требования:</strong></p> <ul> <li>Опыт настройки/поддержки в роли консультанта или старшего консультанта не менее 2-х лет в области SAP QM;</li> <li>Уровень владения английским языком и/или немецким языком не ниже Intermediate;</li> <li>Знание стандартных процессов в SAP QM, а также знание основных взаимосвязей с модулями: PP, MM.</li> </ul> <p>Желательно:</p> <ul> <li>Знание ABAP для поиска ошибок в коде и для разработки функциональных спецификаций и тестирования.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Обработка заявок на 2-3 уровне поддержки. Разрешение инцидентов и проблем в системе SAP клиента;</li> <li>Участие в разработках нового функционала / модификации существующего функционала в системе SAP клиента;</li> <li>Выполнение типовых настроек в системе;</li> <li>Проведение анализ сбоев и дальнейшее описание и передача на исправление программисту;</li> <li>Коммуникация, участие в совещаниях и переговорах с ключевыми лицами заказчика;</li> <li>Разработка пользовательской документации.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Компания предлагает стабильную и интересную работу, возможность профессионального развития;</li> <li>Изучение английского и немецкого языка;</li> <li>Предоставление дополнительных отпусков;</li> <li>Предоставление материальной помощи по особым случаям;</li> <li>Добровольное медицинское страхование (поликлиника, стоматология) - 100% компенсация для сотрудников компании;</li> <li>Компенсация питания сотрудника;</li> <li>Программа компенсаций занятий спортом;</li> <li>Программа награждения сотрудников за выдающиеся успехи;</li> <li>Комфортный офис в <strong>г. Воронеже и г. Краснодаре</strong>;</li> <li><strong>ВОЗМОЖНА УДАЛЕННАЯ РАБОТА </strong></li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|SAP|SAP QM,3.0,,1.0,,sap qm сonsultant,Опыт настройки/поддержки в роли консультанта или старшего консультанта не менее 2-х лет в области SAP QM. ,Знание ABAP для поиска ошибок в коде и для разработки функциональных спецификаций и тестирования. Обработка заявок на 2-3 уровне...,7
