city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,Дверной Континент,2019-12-06T09:34:58+0300,"<p>Обязанности:</p> <p>-аудит сайтов компании ( дизайн, проблемы работоспособности),</p> <p>-внутренняя и внешняя оптимизация сайтов,</p> <p>-изучение клиентов, источников трафика ,</p> <p>-формирование ТЗ для верстальщиков, программистов,</p> <p>-написание тестов,</p> <p>-продвижение в социальных сетях,</p> <p>-самостоятельное наполнение сайта при необходимости,</p> <p>-контроль статистики , анализ рынка и конкурентов,</p> <p>-продвижение интернет-магазина компании.</p> <p>Требования:</p> <ul> <li>Опыт работы в SEO агентстве от 3-х лет в крупных компаниях или на крупных проектах,</li> <li>Знание процесса разработки сайтов с 0 (верстка, дизайн, и т.д.).</li> </ul> <p>Условия:</p> <p>возможны варианты удаленной работы, занятости на проект</p>",Полная занятость,Гибкий график,От 1 года до 3 лет,|CSS|SEO|HTML|Adobe Photoshop|CSS3,3.0,111000.0,1.0,100000.0,seo оптимизатор,Опыт работы в SEO агентстве от 3-х лет в крупных компаниях или на крупных проектах.,"аудит сайтов компании ( дизайн, проблемы работоспособности). -внутренняя и внешняя оптимизация сайтов. -изучение клиентов, источников трафика . -формирование ТЗ для верстальщиков, программистов. -",15,seo
Москва,PRANDSEO,2019-11-25T14:34:37+0300,"<p>В нашу компанию на интересные задачи требуется SEO-специалист.</p> <p><strong>Обязанности</strong> <strong>и профессиональные навыки:</strong></p> <ul> <li><strong>Опыт работы в агентстве;</strong></li> <li>Проведение технического аудита сайта;</li> <li>Разработка общей стратегии продвижения проекта;</li> <li>Мониторинг конкурентов и проведение конкурентного анализа;</li> <li>Подбор ключевых фраз и составление семантического ядра, кластеризация запросов;</li> <li>Составление и проверка внедрения мета-тегов и заголовков;</li> <li>Постановка и контроль выполнения задач копирайтерами, программистами;</li> <li>Юзабилити-тестирование;</li> <li>Анализ внешней ссылочной массы;</li> <li>Навыки работы с Excel - сортировка, поиск, построение простых и сложных формул, сведение данных;</li> <li>Внутренняя оптимизация сайта, оптимизация структуры сайта;</li> <li>Глубокая аналитика - посещаемость, конверсии, точки роста;</li> <li>Разработка рекомендаций по увеличению конверсии;</li> <li>Отчетность по результатам продвижения.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Понимание принципов работы поисковых систем;</li> <li>Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер;</li> <li>Умение работать с Excel;</li> <li>Базовые знания HTML (приветствуются);</li> <li>Знание и умение работать с популярными CMS - Wordpress, Joomla, Bitrix, и др. (приветствуются).</li> </ul> <p><strong>Личные качества: </strong></p> <ul> <li>Дисциплинированность, исполнительность, ответственность, соблюдение сроков выполнения задач;</li> <li>Умение самостоятельно учиться и приобретать новые навыки;</li> <li>Целеустремленность, ориентация на результат. Умение доводить начатое до конца, вне зависимости от трудностей и препятствий, возникающих на пути;</li> <li>Ответственность. Готовность принимать самостоятельные решения;</li> <li>Самоорганизованность. Умение работать в условиях многозадачности и отсутствие необходимости постоянных напоминаний;</li> <li>Инициативность. Готовность и желание вникать в свою работу, искать оптимальные пути решения.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Возможность профессионального и карьерного роста;</li> <li>Постоянная работа, полный рабочий день.</li> </ul> <p><strong>Пожалуйста, в сопроводительном письме укажите 3 самых выдающихся результата, связанных с SEO-оптимизацией с указанием сайта.</strong></p>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|SEO оптимизация,3.0,111000.0,1.0,50000.0,seo специалист,"Понимание принципов работы поисковых систем. Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер. Умение работать с Excel. ",Опыт работы в агентстве. Проведение технического аудита сайта. Разработка общей стратегии продвижения проекта. Мониторинг конкурентов и проведение конкурентного анализа. ,25,seo
Москва,Ресторан Комплект,2019-12-04T16:03:24+0300,"<p>Обязанности и профессиональные навыки:</p> <ul> <li>Опыт работы с крупными интернет-магазинами будет плюсом;</li> <li>Опыт выведения высокочастотных и высококонкурентных запросов;</li> <li>Проведение технического аудита сайта, своевременное реагирование на технические изменения.</li> <li>Разработка общей стратегии продвижения проекта на 1,2,3 месяца - год;</li> <li>Мониторинг конкурентов и проведение конкурентного анализа;</li> <li>Подбор ключевых фраз и составление семантического ядра, кластеризация запросов;</li> <li>Постановка и контроль выполнения задач копирайтерами, программистами;</li> <li>Юзабилити-тестирование;</li> <li>Анализ внешней ссылочной массы;</li> <li>Анализ внутренней перелинковки;</li> <li>Навыки работы с Excel - сортировка, поиск, построение простых и сложных формул, сведение данных;</li> <li>Внутренняя оптимизация сайта, оптимизация структуры сайта;</li> <li>Глубокая аналитика - посещаемость, конверсии, точки роста;</li> <li>Разработка рекомендаций по увеличению конверсии;</li> <li>Отчетность по результатам продвижения.</li> </ul> <p>Требования:</p> <ul> <li>Понимание принципов работы поисковых систем;</li> <li>Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер;</li> <li>Умение работать с Excel;</li> <li>Базовые знания HTML (приветствуются);</li> <li>Знание и умение работать с CMS Bitrix</li> </ul> <p>Личные качества:</p> <ul> <li>Дисциплинированность, исполнительность, ответственность</li> <li>Умение самостоятельно учиться и приобретать новые навыки;</li> <li>Целеустремленность, ориентация на результат.</li> <li>Ответственность. Готовность принимать самостоятельные решения;</li> <li>Самоорганизованность.</li> <li>Инициативность. Готовность и желание вникать в свою работу, искать оптимальные пути решения.</li> </ul> <p>Что мы предлагаем:</p> <ul> <li>ЗП 30 000 рублей на время испытательного срока, далее будет пересмотр на основании полученных результатов</li> <li>Возможность профессионального и карьерного роста;</li> <li>Полный рабочий день с графиком 5/2 удаленно.</li> </ul>",Полная занятость,Удаленная работа,От 1 года до 3 лет,Без ключевых навыков,3.0,111000.0,1.0,35000.0,seo специалист,"Понимание принципов работы поисковых систем. Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер. Умение работать с Excel. ","Опыт работы с крупными интернет-магазинами будет плюсом. Опыт выведения высокочастотных и высококонкурентных запросов. Проведение технического аудита сайта, своевременное реагирование...",16,seo
Москва,BR Lab,2019-12-05T18:38:52+0300,"<p><strong>Мы - IT компания, которая делает успешные проекты в сфере спортивных онлайн-медиа. Наши издания о спорте и ставках на спорт лидеры рынка в России и СНГ. За последние 2 года мы выросли в 10 раз. Сейчас холдинг насчитывает более 330 сотрудников, 3 офиса - Москва, Краснодар и Ереван, и еще мы занимаемся международной экспансией и хотим в следующем году открыть офис в Нью-Йорк.</strong><br /><br /><strong>Что мы от тебя ждем:</strong></p> <ul> <li>опыт сбора СЯ;</li> <li>опыт работы постановки ТЗ на программные доработки, тексты;</li> <li>знание отличий в продвижении в Google и Яндекс;</li> <li>базовые знания HTML, CSS, JS;</li> <li>здоровое чувство юмора - это мы любим.</li> </ul> <p><strong>Задачи:</strong></p> <ul> <li>сбор и кластеризация СЯ;</li> <li>анализ ниши и конкурентов;</li> <li>проведение аудитов сайта;</li> <li>внутренняя оптимизация сайта;</li> <li>написание ТЗ по оптимизации сайта и для копирайтеров;</li> <li>отслеживание позиций в поисковых системах;</li> <li>размещение ссылок.</li> </ul> <p><br /><br /><strong>Что мы предоставляем:</strong></p> <ul> <li>НЕ ПОТОКОВОЕ SEO;</li> <li>современный Seo-софт и сервисы (key collector, Key Assort, keys.so, Ahrefs и т.д.);</li> <li>корпоративное обучение, компенсация курсов / тренингов;</li> <li>возможность реализации собственных идей;</li> <li>современное оборудование;</li> <li>компенсация обедов;</li> <li>для желающих - практика английского языка;</li> <li>возможность работы УДАЛЕННО.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Интересную работу в спортивном проекте;</li> <li>Гибкое начала рабочего дня;</li> <li>Конкурентную заработную плату;</li> <li>Возможность расти и развиваться вместе с компанией;</li> <li>Дружную и молодую команду;</li> <li>Крутой дизайнерский офис с теннисным столом и удобным рабочим местом;</li> <li>Свежие фрукты каждый день и оплачиваемые обеды;</li> <li>Обучение, тренинги, митапы и прочие тимбилдинги;</li> <li>Участие в профильных конференциях;</li> <li>А еще у нас насыщенная корпоративная жизнь, где каждый найдет себе занятие по интересам (футбол, настольные игры, совместные просмотры спортивных мероприятий, фильмов).</li> </ul>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|SEO оптимизация|внутренний аудит сайта|HTML|CSS|Яндекс.Метрика,3.0,160000.0,1.0,73888.88888888889,seo специалист,"Опыт сбора СЯ. Опыт работы постановки ТЗ на программные доработки, тексты. Знание отличий в продвижении в Google и Яндекс. ",Сбор и кластеризация СЯ. Анализ ниши и конкурентов. Проведение аудитов сайта. Внутренняя оптимизация сайта. Написание ТЗ по оптимизации сайта и...,15,seo
Москва,Медиагруппа «Актион-МЦФЭР»,2019-12-12T09:42:28+0300,"<p>Крупный издательский холдинг приглашает в свою команду SEO-специалиста.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Контроль за наполнением сайтов, обеспечение сайтов контентом;</li> <li>Редактирование материала разного формата: статьи, ответы на вопросы, новости;</li> <li>Написание и мониторинг новостей на тему образования;</li> <li>Кластеризация, внутренняя перелинковка.</li> <li>Работа с отчетами в Excel и Google Sheets.</li> </ul> <strong>Требования:</strong> <ul> <li>Аналогичный опыт работы от 1 года, образование не ниже среднего</li> <li>Знание: Google Analytics, Яндекс метрика</li> <li>Опыт разработки ТЗ на тексты</li> <li>Умение пользоваться самыми распространёнными сервисами и программами для SEO продвижения</li> <li>HTML CSS (базовый)</li> </ul> <p><strong>Личностные качества:</strong></p> <ul> <li>Креативность, пунктуальность, доброжелательность, исполнительность, ответственность, грамотность, инициативность, умение работать в режиме многозадачности</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в крупнейшем издательском холдинге;</li> <li>Офис в 10-ти минутах ходьбы от м. Дмитровская;</li> <li>Молодой, успешный, творческий и талантливый коллектив;</li> <li>Отличные возможности для карьерного роста и развития;</li> <li>Оформление в соответствии с нормами Трудового законодательства, ДМС.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,111000.0,1.0,73888.88888888889,seo специалист,"Аналогичный опыт работы от 1 года, образование не ниже среднего. Знание: Google Analytics, Яндекс метрика. Опыт разработки ТЗ на тексты. ","Контроль за наполнением сайтов, обеспечение сайтов контентом. Редактирование материала разного формата: статьи, ответы на вопросы, новости. Написание и мониторинг новостей...",9,seo
Москва,Demis Group,2019-11-29T16:12:16+0300,"<p><strong>Кого мы ищем?</strong></p> <p>Мы ищем талантливого автора для долгосрочного сотрудничества, который сможет готовить совместно со специалистами компании качественный интересный контент по различным направлениям digital- и интернет-маркетинга.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Написание крутых маркетинговых статей в наш блог.</li> <li>Писать без воды, шаблонов и набивших оскомину фраз и пассажей, вроде «наши менеджеры свяжутся с Вами и ответят на все вопросы» или «Индивидуальный подход к каждому клиенту».</li> <li>Поиск инфоповодов, участие в разработке контент-плана.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование.</li> <li>Грамотная письменная и устная речь.</li> <li>Опыт работы копирайтером или редактором от 1 года.</li> <li>Понимание сферы интернет-маркетинга (SEO, контекстная реклама, SMM, медийная реклама и т. д.) и опыт написания статей на эту тему.</li> <li>Понимание целевой аудитории и методов взаимодействия с ней через текст. Знание основ маркетинга.</li> <li>Выполнение тестового задания.</li> </ul> <strong>Условия работы:</strong> <ul> <li>Свободный график.</li> <li>Достойная оплата труда, на начальном этапе – до 50 000 рублей.</li> <li>Интересные проекты и команда.</li> <li>Возможность дополнительного обучения.</li> <li>Возможности финансового роста.</li> <li>Работа по договору.</li> </ul>",Частичная занятость,Удаленная работа,От 3 до 6 лет,|Копирайтинг|SEO-копирайтинг|Social Media Marketing|Написание статей|Написание текстов,6.0,111000.0,3.0,73888.88888888889,копирайтер по тематике «seo»,Высшее образование. Грамотная письменная и устная речь. Опыт работы копирайтером или редактором от 1 года. Понимание сферы интернет-маркетинга (SEO...,"Написание крутых маркетинговых статей в наш блог. Писать без воды, шаблонов и набивших оскомину фраз и пассажей, вроде «наши менеджеры...",21,seo
Москва,РА Кефир,2019-12-12T10:29:49+0300,"<p><strong>В связи с расширением и развитием интернет-проектов в РА Кефир открыта вакансия на позицию SEO-оптимизатор / SEO-специалист.</strong></p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Семантический анализ запросов и подготовка рекомендаций по поисковому продвижению сайта (от стратегии до результатов);</li> <li>Внутренняя и внешняя оптимизация сайтов. Улучшение поведенческих факторов;</li> <li>Контроль позиций сайта и мероприятия по улучшению позиций;</li> <li>SEO- и usability-аудит сайта;</li> <li>Разработка рекомендаций по подготовке и публикации контента;</li> <li>Тесное взаимодействие с отделом интернет-маркетинга, разработки и редакцией;</li> <li>Участие в проектировании сайтов;</li> <li>Подготовка отчётности.</li> </ul> <p><strong><strong>Требования:</strong></strong></p> <ul> <li>Опыт SEO-продвижения;</li> <li>Понимание особенности работы поисковых систем Яндекс и Google;</li> <li>Опыт работы с Яндекс.Метрика, Google Analytics;</li> <li>Умение работать с программами - KeyCollector, Screaming Frog, Xenu;</li> <li>Знание методов поисковой оптимизации и умение применять их на практике;</li> <li>Ответственность, целеустремленность и исполнительность, хорошие аналитические способности.</li> </ul> <p><strong><strong>Условия:</strong></strong></p> <ul> <li> <p>Оформление трудовых отношений в соответствии с действующим законодательством РФ</p> </li> <li> <p>Справедливая зарплата (оклад + бонус) по результатам собеседования и вашей квалификации</p> </li> <li> <p>График работы 5/2, время начала и окончания рабочего дня обсуждается</p> </li> <li> <p>Молодой, приятный и очень квалифицированный коллектив</p> </li> </ul>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|SEO|Google Analytics|Яндекс.Метрика|Поисковая оптимизация сайтов|Интернет-реклама,3.0,111000.0,1.0,73888.88888888889,seo оптимизатор ‎ seo специалист,"Опыт SEO-продвижения. Понимание особенности работы поисковых систем Яндекс и Google. Опыт работы с Яндекс.Метрика, Google Analytics. Умение работать с...",Семантический анализ запросов и подготовка рекомендаций по поисковому продвижению сайта (от стратегии до результатов). Внутренняя и внешняя оптимизация сайтов. ,9,seo
Москва,ЭРСТВАК,2019-12-04T19:32:12+0300,"<p><em><strong>В связи с расширением компании требуется на постоянную работу SEO - оптимизатор.</strong></em></p> <p><em><strong>Не удаленная работа!</strong></em></p> <p><strong>В твои обязанности будет входить:</strong></p> <ul> <li>сбор СЯ (Key Collector), кластеризация;</li> <li>формирование ТЗ внешним копирайтерам;</li> <li>размещение материалов;</li> <li>контроль позиций, работа с Analytics и Метрика;</li> <li>внесение технических правок.</li> </ul> <p><br /><strong>Что мы от тебя ждем:</strong></p> <p>Нам важно, чтобы кандидат был уверенным пользователем Битрикс и WordPress, имел опыт в регистрации доменов, установки CMSи последующей настройки. Если имеются собственные кейсы - обсудим их, для нас это только плюс, так как нужен не теоретик, а практик!</p> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Работа в динамично развивающейся компании.</li> <li>Современный офис в 5-ти минутах ходьбы от м. Электрозаводская.</li> <li>Белая заработная плата.</li> <li>Официальное оформление по ТК РФ (оплата отпуска, больничного листа).</li> <li>График работы: 5/2 (суббота и воскресенье - выходные).</li> <li>Молодой целеустремленный коллектив.</li> <li>Приятные бонусы в ассортименте: фрукты, хороший кофе, корпоративная связь.</li> <li>Яркие корпоративы 2 раза в год, своя футбольная команда.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,111000.0,1.0,73888.88888888889,seo специалист,Без требований,"Сбор СЯ (Key Collector), кластеризация. Формирование ТЗ внешним копирайтерам. Размещение материалов. Контроль позиций, работа с Analytics и Метрика. ",16,seo
Москва,PRANDSEO,2019-11-25T14:35:20+0300,"<p>В нашу компанию на интересные задачи требуется <strong>Ведущий SEO-специалист</strong>.</p> <p><strong>Соискатель требуется на удаленную работу с встречей в офисе, у метро Павелецкая, 1-2 раза в неделю.</strong></p> <p><strong>Обязанности</strong> <strong>и профессиональные навыки:</strong></p> <ul> <li><strong>Опыт работы в агентстве;</strong></li> <li><strong>Опыт продвижения интернет-магазинов (90% клиентов - это ИМ);</strong></li> <li><strong>Опыт одновременного ведения от 10 проектов;</strong></li> <li><strong>Опыт выведения высокочастотных и высококонкурентных запросов;</strong></li> </ul> <ul> <li>Проведение технического аудита сайта;</li> <li>Разработка общей стратегии продвижения проекта;</li> <li>Мониторинг конкурентов и проведение конкурентного анализа;</li> <li>Подбор ключевых фраз и составление семантического ядра, кластеризация запросов;</li> <li>Составление и проверка внедрения мета-тегов и заголовков;</li> <li>Постановка и контроль выполнения задач копирайтерами, программистами;</li> <li>Юзабилити-тестирование;</li> <li>Анализ внешней ссылочной массы;</li> <li>Навыки работы с Excel - сортировка, поиск, построение простых и сложных формул, сведение данных;</li> <li>Внутренняя оптимизация сайта, оптимизация структуры сайта;</li> <li>Глубокая аналитика - посещаемость, конверсии, точки роста;</li> <li>Разработка рекомендаций по увеличению конверсии;</li> <li>Отчетность по результатам продвижения.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Понимание принципов работы поисковых систем;</li> <li>Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер;</li> <li>Умение работать с Excel;</li> <li>Базовые знания HTML (приветствуются);</li> <li>Знание и умение работать с популярными CMS - Wordpress, Joomla, Bitrix, и др. (приветствуются).</li> </ul> <p><strong>Личные качества: </strong></p> <ul> <li>Дисциплинированность, исполнительность, ответственность, соблюдение сроков выполнения задач;</li> <li>Умение самостоятельно учиться и приобретать новые навыки;</li> <li>Целеустремленность, ориентация на результат. Умение доводить начатое до конца, вне зависимости от трудностей и препятствий, возникающих на пути;</li> <li>Ответственность. Готовность принимать самостоятельные решения;</li> <li>Самоорганизованность. Умение работать в условиях многозадачности и отсутствие необходимости постоянных напоминаний;</li> <li>Инициативность. Готовность и желание вникать в свою работу, искать оптимальные пути решения.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Доход от 100 000 рублей (Оклад + % от выполнения KPI);</li> <li>Оклад на испытательном сроке будет обсуждаться с успешным кандидатом;</li> <li>Возможность профессионального и карьерного роста;</li> <li>Постоянная работа, полный рабочий день;</li> <li>Полный рабочий день с графиком 5/2.</li> </ul> <p><strong>Пожалуйста, в сопроводительном письме укажите 3 самых выдающихся результата, связанных с SEO-оптимизацией с указанием сайта.</strong></p>",Полная занятость,Удаленная работа,От 3 до 6 лет,Без ключевых навыков,6.0,111000.0,3.0,100000.0,ведущий seo специалист,Опыт работы в агентстве. Опыт продвижения интернет-магазинов (90% клиентов - это ИМ). Опыт одновременного ведения от 10 проектов. ,Проведение технического аудита сайта. Разработка общей стратегии продвижения проекта. Мониторинг конкурентов и проведение конкурентного анализа. Подбор ключевых фраз и составление...,25,seo
Москва,Студия Ремонтов,2019-12-13T19:13:00+0300,"<p>Мы компания, занимающаяся ремонтно-отделочными работами. Постоянно растем и развиваемся. Сейчас ищем специалиста, который поднимет уровень продвижения наших проектов на новый уровень.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка стратегии продвижения и развития сайта;</li> <li>Написание технических заданий на оптимизацию сайта;</li> <li>Осуществление контроля над позициями и метриками продвижения;</li> <li>Подготовка отчетности о проделанных работах;</li> <li>Участие в мозговых штурмах и исследованиях.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы более 5 лет;</li> <li>Портфолио из нескольких проектов с трафиком выше 100 тыс. посетителей в месяц, с возможностью подтверждения;</li> <li>Уметь менять оптимизацию, если сделанная «по науке» не зашла;</li> <li>Уметь глубоко погружаться в продвигаемую нишу и изучать конкурентов;</li> <li>Уметь правильно работать в однозадачном режиме, выдавая максимум скорости и качества;</li> <li>Уметь нащупывать рабочую схему и масштабировать её;</li> <li>Уметь регулярно ставить задачи, проверять их, отправлять на доработку и принимать;</li> <li>Знать все, что должен знать SEO-специалист (спокойно ответить на вопрос уровня &quot;чем отличаются прямой и обратный индекс&quot;.</li> </ul> <strong>Условия:</strong> <ul> <li>Полный рабочий день;</li> <li>График работы: 5/2 с 10 до 19;</li> <li>Оклад 80 тыс + КПИ + % от продаж;</li> <li>Современный офис в Москва-сити;</li> <li>Бесплатный классный кофе, чай, сладости.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|SEO оптимизация|Управление бюджетом|Работа с SEO провайдерами|Внешняя оптимизация сайта,6.0,111000.0,3.0,80000.0,seo специалист,"Опыт работы более 5 лет. Портфолио из нескольких проектов с трафиком выше 100 тыс. посетителей в месяц, с возможностью подтверждения. ",Разработка стратегии продвижения и развития сайта. Написание технических заданий на оптимизацию сайта. Осуществление контроля над позициями и метриками продвижения. ,7,seo
