city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Аксон,2019-11-27T12:26:02+0300,"<p><strong><em>Компания АКСОН - один из крупнейших ритейлов формата DIY с 27-летним успешным опытом работы.</em></strong></p> <p><strong>РАБОТА В КОМАНДЕ АКСОН ЭТО:</strong></p> <p>- Возможность самореализации</p> <p>- Возможность карьерного роста на основе объективной оценки профессиональных навыков и достигнутых результатов.</p> <p>- Возможность стать частью большого дружного коллектива единомышленников.</p> <p>Мы открываем вакансию &quot;Руководитель Web-проектов&quot; и приглашаем целеустремленных и амбициозных в нашу команду.</p> <p><strong>Предполагаемые обязанности:</strong></p> <ul> <li>Управление развитием клиентских сервисов</li> <li>Выявление потребностей бизнеса, формулирование задач на разработку</li> <li>Администрирование проектов согласно установленным целям и срокам</li> <li>Планирование бюджета проекта, сроков и качества, управление рисками</li> <li>Контроль исполнения работ подрядчиком согласно ТЗ</li> <li>Разработка технических заданий</li> <li>Работа с IT-отделом по интеграциям с внешними и внутренними ресурсами</li> </ul> <p><strong>Требования к кандидату:</strong></p> <ul> <li>Опыт работы в роли менеджера проектов больше трех лет</li> <li>Знание принципов разработки web и мобильных приложений</li> <li>Способность находить общий язык с разными людьми: от разработчиков до стейкхолдеров</li> <li>Умение разобраться в чужом коде</li> <li>Понимание принципа работы с noSQL базами данных</li> <li>Опыт разработки портальных решений</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Оформление по ТК РФ</li> <li>Возможность карьерного роста</li> <li>Заработная плата конкурентоспособная, подробнее обсуждается индивидуально по итогам собеседования;</li> <li>Работа в стабильной, успешно развивающейся компании с 27-летней историей</li> <li>Корпоративные льготы (скидки на товар в сети &quot;Аксон&quot;), уютный офис,зоны для отдыха, уютная обеденная зона, весёлые совместные праздники, футбол!</li> <li><strong>Территориально г. Мытищи, Ярославское шоссе ( шаговая доступность от станции + собственная парковка для сотрудников)</strong></li> <li>Дружный коллектив</li> <li>Рабочий день с пн по пт с 09:00 до 18:00</li> </ul> <p><strong>Компания Аксон входят в ТОП-10 Крупнейших ритейлов DIY*<br />* данные INFO line</strong></p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,126000.0,1.0,126000.0,web,Опыт работы в роли менеджера проектов больше трех лет. Знание принципов разработки web и мобильных приложений. Способность находить общий язык...,"Управление развитием клиентских сервисов. Выявление потребностей бизнеса, формулирование задач на разработку. Администрирование проектов согласно установленным целям и срокам. ",16
Москва,МаксимаТелеком,2019-12-04T21:25:26+0300,"<p> </p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Разработка концепций, прототипирование сайтов;</p> </li> <li> <p>UX/UI-дизайн сайтов заказчиков и страниц рекламных проектов;</p> </li> <li> <p>Проработка сценариев использования интерфейсов;</p> </li> <li> <p>Создание нестандартных визуальных решений.</p> </li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li> <p>Опыт работы на аналогичной должности не менее 3 лет, наличие портфолио обязательно;</p> </li> <li> <p>Профильное образование (высшее или дополнительное);</p> </li> <li> <p>mobile-first подход в разработке дизайна;</p> </li> <li> <p>Владение Sketch / Figma / Adobe Photoshop / Illustrator / Axure;</p> </li> <li> <p>Отличные знания UX/UI-дизайна и умение создавать удобные, простые и понятные интерфейсы;</p> </li> <li> <p>Понимание различий дизайна для iOS/Android;</p> </li> <li> <p>Внимание к деталям, насмотренность;</p> </li> <li> <p>Страсть к дизайну, интерфейсам и рекламе.</p> </li> </ul> <p> </p> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Понимание принципов интернет-маркетинга и знания о том, как работает реклама и зачем вообще создаются сайты;</p> </li> <li> <p>Грамотная письменная и устная речь, умение презентовать и объяснять свои решения в предлагаемом дизайн-проекте;</p> </li> <li> <p>Иметь представление о frontend-разработке;</p> </li> <li> <p>Опыт в графическом дизайне/айдентике/брендинге, моушн-дизайне/анимации;</p> </li> <li> <p>Умение рисовать.</p> </li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li> <p>Полное соблюдение ТК РФ;</p> </li> <li> <p>«Белая» заработная плата;</p> </li> <li> <p>График 5/2, с 10.00 до 19.00;</p> </li> <li> <p>Комфортный офис (5 мин. от м. Новослободская);</p> </li> <li> <p>ДМС.</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,web,"Опыт работы на аналогичной должности не менее 3 лет, наличие портфолио обязательно. Профильное образование (высшее или дополнительное). Mobile-first подход...","Разработка концепций, прототипирование сайтов. UX/UI-дизайн сайтов заказчиков и страниц рекламных проектов. Проработка сценариев использования интерфейсов. Создание нестандартных визуальных...",9
Москва,Электронная торговая площадка Газпромбанка,2019-11-25T12:25:51+0300,"<p>ООО ЭТП ГПБ – дочернее предприятие Газпромбанка, созданное с целью организации межотраслевой торговой площадки для клиентов Банка и других корпоративных заказчиков.</p> <p>Сейчас мы расширяем команду и приглашаем в команду Frontend-разработчик.</p> <p><strong>Требования:</strong></p> <ul> <li>Отличное знание HTML/CSS</li> <li>Отличное знание нативного JS (es2015, es6)</li> <li>Понимание подходов ООП и ФП, SOLID</li> <li>Уметь писать код на typescript (generic, enum, interface, работа с типами, ООП)</li> <li>Уверенное владение vuejs, умение работать с vue-router и vuex, компонентный подход при разработке.</li> <li>Умение работать с webpack: уметь собрать приложение, понимать как разрезать его на чанки, проанализировать результат, настроить динамический импорт.</li> <li>Уметь отлаживать код и находить проблемные места в нем.</li> <li>Не бояться старого кода, понимать как аккуратно проводить рефакторинг.</li> <li>Ответственность, коммуникабельность, отсутствие страха перед сложными задачами.</li> </ul> <p><strong>Будем рады увидеть примеры Вашего кода, ссылки на GitHub или BitBucket, ссылки на реализованные проекты.</strong></p> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>возможность удаленного сотрудничества;</p> </li> <li> <p>трудоустройство по ТК РФ;</p> </li> <li> <p>пятидневную рабочую неделю с 10.00 до 19.00;</p> </li> <li> <p>офис компании - м.Полянка (5 минут от метро)</p> </li> <li> <p>стать частью сильной и увлеченной своим делом команды;</p> </li> <li> <p>оплату посещения профильных курсов и конференций;</p> </li> <li> <p>большие возможности не только применить весь свой опыт, но и приобрести новый;</p> </li> <li> <p>классный офис с зонами отдыха и настольными играми, печеньки, чай и много кофе.</p> </li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|HTML5|JavaScript|CSS3|CSS|HTML|XML|PixelPerfect|jQuery|PostgreSQL|CoffeeScript|Vanilla JS|Underscore|Ruby On Rails|vue.js,6.0,,3.0,,web,"Отличное знание HTML/CSS. Отличное знание нативного JS (es2015, es6). Понимание подходов ООП и ФП, SOLID. ","ООО ЭТП ГПБ – дочернее предприятие Газпромбанка, созданное с целью организации межотраслевой торговой площадки для клиентов Банка и других корпоративных заказчиков.",18
Москва,Ликвиум,2019-12-11T11:21:16+0300,"<p>Всем привет! Меня зовут Антон, я руководитель компании Liqium.</p> <p> </p> <p>Нам необходим сотрудник с опытом для полного комплекса работ по ведению web-проектов. Задачи сложные и их много. Требования высокие. Мотивация — карьерный и профессиональный рост. У нас в команде отличная возможность поработать с крупными брендами, нестандартными задачами, получить информацию &quot;из первых рук&quot;.</p> <p> </p> <p>Нашей студии 9 лет, мы молодая, но активно развивающаяся компания и нам необходимы целеустремленные и перспективные сотрудники. Работа многоплановая: от создания документации на проект и тестирования мелких правок до полного внедрения в проект. Работаем в основном со средним и крупным бизнесом. Потребуется полноценная вовлеченность в творческий процесс: общение с клиентом, обсуждение и контроль проектов, подготовка презентаций, тестирование и т.д. Хорошая возможность создать серьезное портфолио.</p> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Опыт ведения web-проектов от 2-х лет</li> <li>Продвинутый пользователь ПК</li> <li>Понимание принципов работы web-технологий</li> <li>Умение грамотно и четко излагать свои мысли. Это важно!</li> <li>Умение организовать собственную работу, управлять своим временем, расставлять приоритеты и работать в условиях многозадачности.</li> </ul> <p> </p> <p><strong>Обязанности</strong>:</p> <ul> <li>Управление проектами по созданию/доработке интернет-сайтов, контроль качества, сроков, управление рисками, изменениями</li> <li>Разработка и актуализация проектной документации: Технических заданий, спецификаций</li> <li>Функциональное тестирование работ</li> <li>Ведение договорных отношений с контрагентами</li> <li>Желательно знание и опыт работы с Битрикс24</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Работа в центре, м. Таганская;</li> <li>Дружный коллектив и оборудованное рабочее место;</li> <li>Заработная плата по результатам собеседования,</li> <li>График работы с 5/2</li> <li>Оформление по ТК</li> </ul> <p> </p> <p>В нашей команде у вас появится отличная возможность для профессионального роста.</p> <p>Просьба в отклике обязательно указывать ссылку на портфолио и пожелания по заработной плате.</p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,web,Опыт ведения web-проектов от 2-х лет. Продвинутый пользователь ПК. Понимание принципов работы web-технологий. Умение грамотно и четко...,"Управление проектами по созданию/доработке интернет-сайтов, контроль качества, сроков, управление рисками, изменениями. Разработка и актуализация проектной документации: Технических заданий...",2
Москва,Первый Бит,2019-12-09T12:29:44+0300,"<p>Центральный офис — крупнейший офис компании Первый бит. Наши Клиенты – крупные корпоративные заказчики и представители среднего бизнеса из различных отраслей. Офис открыт в 1998 году, и за 21 год работы мы успешно реализовали сотни проектов для российских и международных компаний.</p> <p> </p> <p>В связи с развитием компании, мы ищем новую звезду в нашу дружную и креативную <strong>WEB-студию</strong>, которая будет стремительно развиваться вместе с нами! Наличие опыта работы в веб-направлении обязательно.</p> <p>Менеджер проекта ничего не забывает, всё предусматривает и полностью контролирует все параметры проекта. Это человек, у которого есть идеи и желание их реализовать. Он знает людей и свое дело. Основная задача: реализация интернет-проектов для достижения поставленных целей наших клиентов.</p> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <ul> <li>Интересную работу в крупной IT компании, одной из лидеров отрасли: профессиональный рост и развитие, интересные задачи и дружную рабочую атмосферу.</li> <li>Стабильный оклад + бонус от выполнения плана. Верхний предел заработной платы не ограничен, все зависит только от Вас.</li> <li>Реальные возможности профессионального и карьерного роста, все наши руководители начинали свой путь с линейных должностей.</li> </ul> <p><strong>КАКИЕ ЗАДАЧИ БУДУТ СТОЯТЬ ПЕРЕД ВАМИ:</strong></p> <ul> <li>Подготовка, ведение и контроль интернет проектов на всех этапах: анализ, подготовка, процесс создания/ разработки, тестирование, запуск и сопровождение.</li> <li>Постановка задач внутренним службам компании и продакшенам на аутсорсе, а также контроль их выполнения и сроков.</li> <li>Написание ТЗ, ведение проектной документации, утверждение ее с клиентом.</li> <li>Своевременно решать возникающие в процессе выполнения проектов проблемы, урегулировать спорные вопросы.</li> <li>Постоянно работать над улучшением качества и эффективности коммуникаций.</li> </ul> <p><strong>КАКИЕ У НАС БУДУТ ПОЖЕЛАНИЯ К КАНДИДАТУ:</strong></p> <ul> <li>Опыт работы менеджером WEB-проектов.</li> <li>Навыки разработки и написания документации по проектам и по развитию услуг.</li> <li>Умение быстро реагировать на ситуацию, стрессоустойчивость, умение качественно вести несколько проектов одновременно.</li> <li>Знание интернет-маркетинга, возможностей и особенностей различных инструментов реализации, умение обосновать выбранные решения, убедить в этом клиентов.</li> <li>Командный игрок, способный к компромиссам и работе в проектной группе, но при этом самостоятельная сильная единица этой команды, умеющая брать на себя ответственность и работать на результат.</li> <li>Знания и опыт работы с Битриксом, интеграции с продуктами 1С.</li> <li>Наличие технических знаний в области веб-разработки.</li> </ul> <p><strong>УСЛОВИЯ:</strong></p> <ul> <li>Работа в крупной международной IT-компании.</li> <li>Реальные возможности профессионального и карьерного роста вплоть до Руководителя офиса в будущем.</li> <li>Обучение на всех этапах твоего развития.</li> <li>Полностью белая заработная плата: фиксированная часть (оклад)+ kpi. И никакого потолка!</li> <li>Льготные условия ДМС для сотрудников, корпоративный спорт (футбол, волейбол), корпоративные мероприятия</li> <li>Трудоустройство по ТК РФ, график 5/2 c 09:30 до 18:30.</li> </ul> <p>Если Вы активный человек, который получает драйв от своей работы, постоянно развивается и ищет работу в стабильной компании – присылайте свое резюме!</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Управление проектами|Работа в команде|Креативность|1С-Битрикс|Обучение и развитие,3.0,,1.0,50000.0,web,Опыт работы менеджером WEB-проектов. Навыки разработки и написания документации по проектам и по развитию услуг. Умение быстро реагировать на...,"Подготовка, ведение и контроль интернет проектов на всех этапах: анализ, подготовка, процесс создания/ разработки, тестирование, запуск и сопровождение. ",4
Москва,РА ЭНЕРДЖИ,2019-12-13T14:24:08+0300,"<p><strong>Обязанности</strong></p> <p><strong>Разработка сайтов и внесение ежемесячных сео правок в сайты клиентов. (Около 10 сайтов на правки на 1го программиста)</strong></p> <ul> <li>Работа с различными CMS (контент, шаблоны, модули);</li> <li>HTML-верстка;</li> <li>Чтение ТЗ и работа согласно его требованиям</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Среднее техническое образование;</li> <li>Знание HTML, CSS, JavaScript, PHP;</li> <li>Знакомство хотя бы с одной CMS (1C Bitrix, HostCMS);</li> <li>Высокая обучаемость и работоспособность, аналитические навыки, способность быстро осваивать большие объемы информации;</li> <li>Желание развиваться в сфере web-программирования.</li> </ul> <p> </p> <p><strong>Будет плюсом:</strong></p> <ul> <li>Знакомство с SQL.</li> <li>Знакомство с jQuery.</li> <li>Знакомство с Photoshop.</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Стабильная и интересная работа в дружном молодом коллективе;</li> <li>Профессиональный и карьерный рост. Опыт работы с большими объёмами данных, знания и навыки работы c сайтами различного уровня;</li> <li>Конкурентоспособная заработная плата - фикс 60-100 000 руб + % от создания</li> <li>Оформление по ТК РФ;</li> <li>График работы 5/2 с 10.00 до 19.00;</li> <li>Испытательный срок 2 месяца;</li> <li>Офис в центральном округе, рядом с м. Красносельская, или Бауманская</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Веб-программирование|Администрирование сайтов|Веб-дизайн|Создание сайтов|Наполнение контентом|Поисковая оптимизация сайтов|Продвижение сайтов,3.0,100000.0,1.0,60000.0,web,"Среднее техническое образование. Знание HTML, CSS, JavaScript, PHP. Знакомство хотя бы с одной CMS (1C Bitrix, HostCMS). ","Работа с различными CMS (контент, шаблоны, модули). HTML-верстка. Чтение ТЗ и работа согласно его требованиям.",0
Москва,Брискли,2019-12-04T15:03:50+0300,"<p><strong>Кто такие Briskly?</strong></p> <p>Мы первые в России с законченным работающим решением по беспилотному магазину, приложению Scan&amp;Go и платформе лояльности для ритейла. </p> <p>Наши кейсы: магазин-контейнер без персонала, магазин с 37 камерами и нейросетью в Сколково, фестиваль Geek Picnic без очередей и еще с десяток интересных решений. </p> <p>О нас пишут СМИ - VC.ru, Rusbase, РБК, Retail.ru, Retailer, Skolkovo, Секрет Фирмы, Генеральный директор и другие. </p> <p><strong>Кого мы ищем? Специалиста в команду на долгосрочное сотрудничество.<br /><br />Обязанности:</strong></p> <ul> <li>разработка клиентской части веб-приложений</li> <li>самостоятельная верстка и сборка экранов по макетам</li> <li>подключение собранных макетов к API</li> <li>доработка и модификация стека фронтенда</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Навыки в: Vue.js (ReactJs), JavaScript, HTML, CSS, Git</li> </ul> <p>Дополнительные навыки в NodeJs.</p> <p><strong>Условия:</strong></p> <p>1. Работающий и красивый продукт, который нравится не только нам, но и клиентам. У нас регистрируется по 400 пользователей в день.</p> <p>2. Никакой бюрократии, без начальников и понедельников. Принятие решений внутри команды в течение 12 часов. Даже ночью. Даже в новогоднюю ночь</p> <p>3. Отличный график работы.</p>",Полная занятость,Гибкий график,От 1 года до 3 лет,"|Vue.js (ReactJs), JavaScript, HTML, CSS, Git",3.0,,1.0,80000.0,web,"Навыки в: Vue.js (ReactJs), JavaScript, HTML, CSS, Git. Дополнительные навыки в NodeJs.",Разработка клиентской части веб-приложений. Самостоятельная верстка и сборка экранов по макетам. Подключение собранных макетов к API. Доработка и модификация...,9
Москва,ЮК-Консалтинг,2019-12-02T21:14:27+0300,"<p>Ищем Backend PHP developer (middle - senior) в компанию занимающуюся производством детских товаров под своим брендом и онлайн реализацией по всей России.</p> <p>Это уверенно растущая компания, с рентабельной бизнес-моделью. Продажи которой за 2018 год выросли в 4 раза. Планируется выход в Европу (Германию). Сейчас есть уникальный шанс стать ядром технической команды компании, которая скоро станет очень заметным игроком на рынке.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разрабатывать и поддерживать работоспособность сайта, интегрированных сервисов и мобильных приложений;</li> <li>Писать код, адаптированный к высоким нагрузкам, обеспечивать масштабируемость;</li> <li>Поддерживать существующий код и развивать функционал;</li> <li>Внедрять новые решения, вместо легаси кода;</li> <li>При желании можно изучить frontend, поможем разобраться с react.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт разработки на PHP7 (фреймворк Yii2), знание ООП;</li> <li>Опыт построения интеграций веб-сайтов и сторонних сервисов;</li> <li>Опыт написания автотестов (unit);</li> <li>Соблюдение PSR и способность документировать свой код;</li> <li>Понимание сильных/слабых сторон PHP7;</li> <li>Будет плюсом, если есть успешный опыт работы с другими фреймворками<br />(Symfony2+, Zend2+).</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное оформление;</li> <li>Гибкий график, возможность удаленной работы;</li> <li>Офис в Москве, 5 минут от метро Водный Стадион.</li> </ul>",Полная занятость,Удаленная работа,От 3 до 6 лет,|Yii,6.0,,3.0,,web,"Опыт разработки на PHP7 (фреймворк Yii2), знание ООП. Опыт построения интеграций веб-сайтов и сторонних сервисов. ","Разрабатывать и поддерживать работоспособность сайта, интегрированных сервисов и мобильных приложений. Писать код, адаптированный к высоким нагрузкам, обеспечивать масштабируемость. ",11
Москва,JetCrypto,2019-12-12T00:01:24+0300,"<p><strong>THE COMPANY</strong><br /><br />At <strong>JetCrypto</strong> we believe that everyone should have access to decentralized ways of storing and moving value, that’s why every day we are building and improving infrastructure that connects traditional financial system with the blockchain. Our ecosystem consists of physical devices, web-services and exchange - all united in one seamless network. We are looking for individuals willing to join us on a journey to build a next-generation financial system.</p> <p>We work in a fast-paced and challenging environment, value ‘getting things done’ attitude and manage the company in the most transparent way possible.</p> <p><br /><strong>THE ROLE</strong></p> <p>As a <strong>Frontend Developer</strong> based in Moscow office you will be responsible for creating and refining interfaces for web-services and hardware devices. You will play a crucial role in delivering best possible interface experience for our client-facing parts of infrastructure.</p> <p>What you will do:</p> <ul> <li> <p>Work closely with product team with a focus on new feature design and implementation</p> </li> <li> <p>DIrectly impact business results by finding elegant solutions to complex problems</p> </li> <li> <p>Be involved in all stages of UX design for new products and significant updates</p> </li> <li> <p>Create payment interfaces for web and stand-alone devices</p> </li> </ul> <p>What you need to have:</p> <ul> <li> <p>Deep understanding of React, Redux, Vanilla JS, HTML, CSS</p> </li> <li> <p>Knowledge of MVC and MVVM concepts is a plus</p> </li> <li> <p>Experience in collaborating on software projects with deep backend integration</p> </li> <li> <p>Quick learner with an ambitious and results driven personality</p> </li> <li> <p>Excellent communication and organisational skills</p> </li> <li> <p>Works well as part of a team in a fast-paced environment</p> </li> <li> <p>Fluent English (both written and oral)</p> </li> <li> <p>Bachelor’s degree or higher</p> </li> </ul> <p><br />What we offer:</p> <ul> <li> <p>Little to no legacy</p> </li> <li> <p>Most up-to-date frameworks</p> </li> <li> <p>High degree of freedom in the way you solve problems</p> </li> <li> <p>Full-time permanent employment with office near m.Kuntsevskaya</p> </li> <li> <p>Competitive salary and performance-based bonuses</p> </li> <li> <p>Entrepreneurial culture and young inspiring colleagues</p> </li> <li> <p>Opportunity to grow fast together with company</p> </li> </ul> <p><strong>JOIN US</strong></p>",Полная занятость,Полный день,От 3 до 6 лет,|JavaScript|REACT|HTML|CSS,6.0,,3.0,,web,"Deep understanding of React, Redux, Vanilla JS, HTML, CSS. Knowledge of MVC and MVVM concepts is a plus. ",Work closely with product team with a focus on new feature design and implementation. DIrectly impact business results by finding...,2
Москва,КЭШОФФ,2019-11-25T15:41:54+0300,"<p><strong>CASHOFF</strong> – международная fintech-компания, основанная в 2013 году. Компания разрабатывает сервисы импорта и анализа транзакционных данных, а также решения для привлечения и удержания клиентов. Основными клиентами Cashoff являются крупные банки и производители товаров.В 2017 году компания CASHOFF вошла в список десяти лучших fintech-компаний по версии Deloitte.<br />В 2019 году компания стала лауреатом престижной международной премии Global Banking &amp; Finance Awards® в номинации &quot;Лучший поставщик технологий для цифрового банкинга&quot;.Компания является резидентом научно-технологических центров Сколково (Россия), Level39 (Великобритания) и Cyberport (Гонконг).</p> <p><strong>Обязанности</strong>:<br />* Разработка и поддержка облачного сервиса для управления личными финансами<br />* Иногда -- разработка и поддержка заказных решений</p> <p><strong>Требования</strong>:<br />* Высшее образование<br />* Знание принципов ООП<br />* Знание языка Python<br />* Опыт работы с одним из фреймворков Django, Flask<br />* Навыки написания SQL-запросов для CRUD-операций<br />* Владение Git</p> <p><strong>Будет плюсом</strong>:<br />* Опыт работы на языках JavaScript/TypeScript/CoffeeScript<br />* Знакомство с ReactJS.</p> <p>А чтобы вам было максимально комфортно развиваться в нашей компании, мы предлагаем:</p> <ul> <li>Классную команду, и это не пустые слова!</li> <li>Новые задачи и вызовы. Мы работаем над интересными проектами и с удовольствием делимся опытом и знаниями. А если внутреннего обучения недостаточно, то Вы сможете выбрать необходимые курсы вовне.</li> <li>Обучение английскому в офисе. Благодаря этому Вы легко сможете найти общий язык с коллегами из Лондона или Гонконга, а потом полететь туда в командировку и поразить их чистотой произношения:)</li> <li>Удобный график, где Вы сами определяете для себя режим работы. Долой пробки!</li> <li>Все преимущества официального трудоустройства (отпуска, больничные, и т.д.). Если верить рекламе, то белая зарплата поможет нам в будущем.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Git|Python|SQL|Pascal|Delphi|XML/Xslt|TypeScript|React|BSScript|Angular,3.0,,1.0,,web,"Высшее образование. * Знание принципов ООП. * Знание языка Python. * Опыт работы с одним из фреймворков Django, Flask. * Навыки написания SQL-запросов...",Разработка и поддержка облачного сервиса для управления личными финансами. * Иногда -- разработка и поддержка заказных решений.,18
