city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,ПЛК Групп.ру,2019-12-13T18:29:03+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Интересно писать о высоких технологиях — посты для соцсетей, статьи для внутренних и внешних площадок;</p> </li> <li> <p>Составлять контент-планы для корпоративного блога и соцсетей;</p> </li> <li> <p>Редактировать тексты других авторов;</p> </li> <li> <p>Проверять достоверность информации в текстах (фактчекинг).</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Высокая степень грамотности;</p> </li> <li> <p>Умение обрабатывать большой объем информации;</p> </li> <li> <p>Ответственность, внимательность, стрессоустойчивость;</p> </li> <li> <p>Горячо приветствуется знание языков: немецкий, английский, испанский.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Возможна как полная, так и частичная занятость;</li> <li>Возможен формат удаленной работы или в офисе (м.Китай-город);</li> <li>Фиксированный доход;</li> <li>Условия обсуждаются индивидуально, в зависимости от типа занятости и формата работы.</li> </ul>",Полная занятость,Полный день,Нет опыта,|Английский язык|Написание статей|Грамотность|Написание текстов|Грамотная речь|Немецкий язык|Письменный перевод|Испанский язык,,74782.60869565218,,47327.89855072463,автор редактор,"Высокая степень грамотности. Умение обрабатывать большой объем информации. Ответственность, внимательность, стрессоустойчивость. Горячо приветствуется знание языков: немецкий, английский, испанский.","Интересно писать о высоких технологиях — посты для соцсетей, статьи для внутренних и внешних площадок. Составлять контент-планы для корпоративного блога...",0
Санкт-Петербург,Ворк,2019-12-01T08:01:35+0300,"<p>Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.</p> <p>Мы ищем сотрудников на <strong>удаленную работу.</strong></p> <p>Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.</p> <p><strong>Кому подходит работа автором</strong></p> <p>Есть законченное высшее образование?</p> <p>У Вас свободный доступ в интернет — не проблема?</p> <p>Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:</p> <ul> <li> <p>грамотный,</p> </li> <li> <p>дотошный,</p> </li> <li> <p>исполнительный,</p> </li> <li> <p>ответственный,</p> </li> <li> <p>умеете укладываться в дедлайн.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Задания на выбор.</p> </li> <li> <p>Дополнительный доход, зависящий от Ваших умений.</p> </li> <li> <p>Свободный график.</p> </li> </ul> <p><strong>Работать удаленно у нас — прибыльно</strong></p> <ul> <li> <p>Всегда много новых заказов.</p> </li> <li> <p>Оплата стабильно раз в 2 недели.</p> </li> <li> <p>Бонус за выполненные работы.</p> </li> </ul> <p><strong>Как стать автором</strong></p> <p>Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.</p> <p>Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.</p> <p><em>Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.</em></p> <p>Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.</p> <p> </p>",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по информатике,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,12
Санкт-Петербург,Ворк,2019-12-01T08:01:33+0300,"<p>Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.</p> <p>Мы ищем сотрудников на <strong>удаленную работу.</strong></p> <p>Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.</p> <p><strong>Кому подходит работа автором</strong></p> <p>Есть законченное высшее образование?</p> <p>У Вас свободный доступ в интернет — не проблема?</p> <p>Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:</p> <ul> <li> <p>грамотный,</p> </li> <li> <p>дотошный,</p> </li> <li> <p>исполнительный,</p> </li> <li> <p>ответственный,</p> </li> <li> <p>умеете укладываться в дедлайн.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Задания на выбор.</p> </li> <li> <p>Дополнительный доход, зависящий от Ваших умений.</p> </li> <li> <p>Свободный график.</p> </li> </ul> <p><strong>Работать удаленно у нас — прибыльно</strong></p> <ul> <li> <p>Всегда много новых заказов.</p> </li> <li> <p>Оплата стабильно раз в 2 недели.</p> </li> <li> <p>Бонус за выполненные работы.</p> </li> </ul> <p><strong>Как стать автором</strong></p> <p>Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.</p> <p>Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.</p> <p><em>Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.</em></p> <p>Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.</p> <p> </p>",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по сетям и системам связи,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,12
Санкт-Петербург,Ворк,2019-12-01T08:01:34+0300,"<p>Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.</p> <p>Мы ищем сотрудников на <strong>удаленную работу.</strong></p> <p>Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.</p> <p><strong>Кому подходит работа автором</strong></p> <p>Есть законченное высшее образование?</p> <p>У Вас свободный доступ в интернет — не проблема?</p> <p>Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:</p> <ul> <li> <p>грамотный,</p> </li> <li> <p>дотошный,</p> </li> <li> <p>исполнительный,</p> </li> <li> <p>ответственный,</p> </li> <li> <p>умеете укладываться в дедлайн.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Задания на выбор.</p> </li> <li> <p>Дополнительный доход, зависящий от Ваших умений.</p> </li> <li> <p>Свободный график.</p> </li> </ul> <p><strong>Работать удаленно у нас — прибыльно</strong></p> <ul> <li> <p>Всегда много новых заказов.</p> </li> <li> <p>Оплата стабильно раз в 2 недели.</p> </li> <li> <p>Бонус за выполненные работы.</p> </li> </ul> <p><strong>Как стать автором</strong></p> <p>Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.</p> <p>Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.</p> <p><em>Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.</em></p> <p>Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.</p> <p> </p>",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по информационным системам и технологиям,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,12
Санкт-Петербург,Ворк,2019-11-24T07:36:09+0300,"<p>Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.</p> <p>Мы ищем сотрудников на <strong>удаленную работу.</strong></p> <p>Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.</p> <p><strong>Кому подходит работа автором</strong></p> <p>Есть законченное высшее образование или Вы студент старшего курса?</p> <p>У Вас свободный доступ в интернет — не проблема?</p> <p>Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:</p> <ul> <li> <p>грамотный,</p> </li> <li> <p>дотошный,</p> </li> <li> <p>исполнительный,</p> </li> <li> <p>ответственный,</p> </li> <li> <p>умеете укладываться в дедлайн.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Задания на выбор.</p> </li> <li> <p>Дополнительный доход, зависящий от Ваших умений.</p> </li> <li> <p>Свободный график.</p> </li> </ul> <p><strong>Работать удаленно у нас — прибыльно</strong></p> <ul> <li> <p>Всегда много новых заказов.</p> </li> <li> <p>Оплата стабильно раз в 2 недели.</p> </li> <li> <p>Бонус за выполненные работы.</p> </li> </ul> <p><strong>Как стать автором</strong></p> <p>Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.</p> <p>Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.</p> <p><em>Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.</em></p> <p>Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.</p> <p> </p>",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по программированию,Есть законченное высшее образование или Вы студент старшего курса? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в...,Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,19
Санкт-Петербург,Zaochnik.com,2019-12-02T16:44:44+0300,"<p>Компания <strong>Zaochnik</strong> была создана в 2000 году, поэтому является одним из первых отечественных масштабных проектов в сфере написания работ на заказ. За это время мы помогли десяткам тысяч наших клиентов сдать курсовые, дипломные, контрольные работы на отлично, получить высшее образование, защитить магистерские, докторские и кандидатские диссертации. Компания является официально зарегистрированным юридическим лицом и несет за качество своих услуг ответственность, предусмотренную законодательством РФ.</p> <p><strong>Обязанности:</strong></p> <p>- Качественное выполнение студенческих работ (контрольные, рефераты, лабораторные, курсовые, дипломные, магистерские) по таким дисциплинам как <strong>C#, C/C++, PHP, информационные технологии, информационная безопасность и т.д.</strong><br />- Выполнение доработок<br />- Соблюдение сроков и требований заказчика<br /><strong>Требования:</strong><br />- Законченное высшее образование<br />- Наличие учёной степени будет преимуществом<br />- Опыт преподавания по профилю<br />- Опыт выполнения студенческих работ будет преимуществом<br />- Опытный пользователь ПК<br />- Свободный доступ в интернет<br />- Следование стандартам компании<br />- Готовность работать в сжатые сроки<br />- Регулярная проверка личного кабинета автора</p> <p><strong>Условия:</strong><br />- Удаленная работа<br />- Свободный график<br />- Система поощрений и премирования<br />- Ежедневная поддержка по заказам и организационным моментам<br />- Возможность регулировать занятость<br />- Большой выбор заказов</p> <p><strong>Преимущества:</strong><br />- Полная анонимность<br />- Быстрая обратная связь<br />- Обучение пользованию личным кабинетом<br />- Обучение стандартам выполнения работ в компании<br />- Сотрудничество, как с физическими лицами, так и с ИП<br />- Коммуникация через менеджера<br />- Удобные способы оплаты.</p>",Частичная занятость,Удаленная работа,От 1 года до 3 лет,|C++|C#|SQL|MySQL|PHP|JavaScript|Java|Joomla CMS|Управление проектами|Python|MS SQL,3.0,100000.0,1.0,50000.0,автор студенческих работ по информационным технологиям,Законченное высшее образование. - Наличие учёной степени будет преимуществом. - Опыт преподавания по профилю. - Опыт выполнения студенческих работ будет преимуществом. - ,"Качественное выполнение студенческих работ (контрольные, рефераты, лабораторные, курсовые, дипломные, магистерские) по таким дисциплинам как C#, C/C++, PHP, информационные технологии...",11
Санкт-Петербург,AdMe,2019-11-19T10:54:59+0300,"<p>Привет!</p> <p><strong>AdMe</strong> (мировое название TheSoul Publishing) – одно из самых больших интернет-издательств в мире. Мы ежедневно создаем и публикуем сотни развлекательных и познавательных статей и видео для 500+ миллионов подписчиков. Мы растём и развиваемся, и сейчас мы готовы принять в свои ряды <strong>талантливых авторов</strong>!</p> <p><strong>Если ты:</strong></p> <ul> <li>Настоящий генератор идей;</li> <li>Любишь работать с текстами и готов подбирать к ним картинки;</li> <li>Умеешь красиво и лаконично выражать свои мысли;</li> <li>Не боишься критики и стремишься совершенствовать свои навыки;</li> <li>Готов выполнить тестовое задание, состоящее из двух этапов;</li> <li>Знаком с контентом AdMe...</li> </ul> <p>... то обязательно <strong>откликайся!</strong></p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Бесценный опыт работы в быстро развивающейся международной компании;</li> <li>Прекрасную команду профессионалов, которые всегда готовы поделиться опытом;</li> <li>Возможность работать из любого места, где тебя посещает вдохновение;</li> <li>Комфортный график работы - 6-8 часов в день;</li> <li>Достойную оплата труда.</li> </ul> <p> </p> <p><strong>Откликайтесь на вакансию и узнайте, как создается AdMe, у нас действительно круто!</strong></p> <p><strong>P.S. Мы любим сопроводительные письма)</strong></p> <p> </p>",Полная занятость,Удаленная работа,Нет опыта,|Пользователь ПК|Поиск информации в интернет|Грамотность|Креативность|Написание текстов|Работа в команде,,100000.0,,50000.0,автор на портал adme,Любишь работать с текстами и готов подбирать к ним картинки.,Знаком с контентом AdMe...,24
Санкт-Петербург,ИКАР АВТОПЕЙНТС,2019-11-25T14:24:08+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Работа с имеющейся базой клиентов;</li> <li>Активный поиск новых клиентов;</li> </ul> <p><strong>Требование:</strong></p> <ul> <li>Опытное владение ПК (электронная почта, Интернет, Microsoft Office);</li> <li>Опыт в продажах будет Вашим преимуществом;</li> <li>Ориентация на результат, умение грамотно строить беседу, желание работать в сфере продаж;</li> <li>Желательно знание линейки ЛКМ;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>График работы 5/2 с 9 до 18, выходные суб., вс.</li> <li>Оформление по ТК РФ;</li> <li>Корпоративная мобильная связь;</li> <li>Компенсация ГСМ;</li> <li>Работа во Фрунзенском и Красногвардейском районе СПб</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,100000.0,1.0,50000.0,менеджер по продажам авторемонтных лкм,"Опытное владение ПК (электронная почта, Интернет, Microsoft Office). Опыт в продажах будет Вашим преимуществом. Ориентация на результат, умение грамотно строить...",Работа с имеющейся базой клиентов. Активный поиск новых клиентов.,18
Санкт-Петербург,Ворк,2019-11-28T11:19:32+0300,"<p>Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.</p> <p>Мы ищем сотрудников на <strong>удаленную работу.</strong></p> <p>Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.</p> <p><strong>Кому подходит работа автором</strong></p> <p>Есть законченное высшее образование?</p> <p>У Вас свободный доступ в интернет — не проблема?</p> <p>Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:</p> <ul> <li> <p>грамотный,</p> </li> <li> <p>дотошный,</p> </li> <li> <p>исполнительный,</p> </li> <li> <p>ответственный,</p> </li> <li> <p>умеете укладываться в дедлайн.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Задания на выбор.</p> </li> <li> <p>Дополнительный доход, зависящий от Ваших умений.</p> </li> <li> <p>Свободный график.</p> </li> </ul> <p><strong>Работать удаленно у нас — прибыльно</strong></p> <ul> <li> <p>Всегда много новых заказов.</p> </li> <li> <p>Оплата стабильно раз в 2 недели.</p> </li> <li> <p>Бонус за выполненные работы.</p> </li> </ul> <p><strong>Как стать автором</strong></p> <p>Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.</p> <p>Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.</p> <p><em>Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.</em></p> <p>Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.</p> <p> </p>",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,100000.0,,50000.0,автор по радиосвязи,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,15
Екатеринбург,Ворк,2019-12-01T08:01:36+0300,"<p>Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.</p> <p>Мы ищем сотрудников на <strong>удаленную работу.</strong></p> <p>Если Вы умны, ответственны и заинтересованы в дополнительном заработке — зарегистрируйтесь и пройдите тестирование. Больше ничего не требуется, чтобы получить работу автором с постоянным доходом.</p> <p><strong>Кому подходит работа автором</strong></p> <p>Есть законченное высшее образование?</p> <p>У Вас свободный доступ в интернет — не проблема?</p> <p>Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:</p> <ul> <li> <p>грамотный,</p> </li> <li> <p>дотошный,</p> </li> <li> <p>исполнительный,</p> </li> <li> <p>ответственный,</p> </li> <li> <p>умеете укладываться в дедлайн.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Задания на выбор.</p> </li> <li> <p>Дополнительный доход, зависящий от Ваших умений.</p> </li> <li> <p>Свободный график.</p> </li> </ul> <p><strong>Работать удаленно у нас — прибыльно</strong></p> <ul> <li> <p>Всегда много новых заказов.</p> </li> <li> <p>Оплата стабильно раз в 2 недели.</p> </li> <li> <p>Бонус за выполненные работы.</p> </li> </ul> <p><strong>Как стать автором</strong></p> <p>Чтобы попасть в список исполнителей и начать получать дополнительный доход за заказы, просто зарегистрируйтесь и пройдите тестирование.</p> <p>Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике.</p> <p><em>Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени.</em></p> <p>Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.</p> <p> </p>",Частичная занятость,Удаленная работа,Нет опыта,|Английский язык|Пользователь ПК|1С: Документооборот|Грамотность|Грамотная речь,,90000.0,,50000.0,автор по информатике,"Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...",Кому подходит работа автором. Всегда много новых заказов. Как стать автором.,12
