city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Ишим,Спутниковое ТВ МТС,2019-09-30T12:11:21+0300,"<p><strong>Наша команда открыта для энергичных людей, заинтересованных в высоком доходе!</strong></p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li><strong>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Верхний порог вознаграждения зависит от ваших личных результатов!</strong></li> <li><strong>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</strong></li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж, а также техническое обучение);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul> <p><strong>Должностные обязанности:</strong></p> <ul> <li>основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе;</li> <li>продвижение и продажа услуг компании (спутниковое ТВ МТС);</li> <li>выполнение монтажных работ по установке оборудования;</li> <li>работа с прямым поиском клиентов;</li> <li>расклейка объявлений на подъездах, раскладка рекламных листовок, приём заявок по телефону.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>хорошо развитые коммуникативные навыки;</li> <li>настойчивость в достижении цели;</li> <li>желание работать и зарабатывать;</li> <li>умение обращаться с электроприборами (перфоратор, дрель, шуруповерт)</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по продаже и установке спутникового тв,"Хорошо развитые коммуникативные навыки. Настойчивость в достижении цели. Желание работать и зарабатывать. Умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).","Основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе. ",26
Ялуторовск,Спутниковое ТВ МТС,2019-09-30T12:11:22+0300,"<p><strong>Требования:</strong></p> <ul> <li>приветствуется опыт работы в продажах и привлечении;</li> <li>возможность совмещения нескольких видов деятельности;</li> <li>желание и умение проявлять самостоятельность, инициативу, целеустремленность;</li> <li>умение планировать и организовывать свою деятельность;</li> <li>навыки общения с людьми.</li> </ul> <p> </p> <p><strong>Обязанности:</strong></p> <p><em>Самостоятельный поиск клиентов путем:</em></p> <ul> <li>поадресного обхода частных и многоквартирных домов, коттеджей, дач;</li> <li>личного общения с жильцами;</li> <li>работы с интернет ресурсами и социальными сетями;</li> <li>распространения рекламы на интернет площадках и на вверенной для агента территории.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Уровень вознаграждения зависит только от Вас;</li> <li>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по привлечению клиентов спутникового тв,"Приветствуется опыт работы в продажах и привлечении. Возможность совмещения нескольких видов деятельности. Желание и умение проявлять самостоятельность, инициативу, целеустремленность. ","Поадресного обхода частных и многоквартирных домов, коттеджей, дач. Личного общения с жильцами. Работы с интернет ресурсами и социальными сетями. ",26
Тобольск,Спутниковое ТВ МТС,2019-09-30T12:11:24+0300,"<p><strong>Наша команда открыта для энергичных людей, заинтересованных в высоком доходе!</strong></p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li><strong>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Верхний порог вознаграждения зависит от ваших личных результатов!</strong></li> <li><strong>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</strong></li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж, а также техническое обучение);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul> <p><strong>Должностные обязанности:</strong></p> <ul> <li>основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе;</li> <li>продвижение и продажа услуг компании (спутниковое ТВ МТС);</li> <li>выполнение монтажных работ по установке оборудования;</li> <li>работа с прямым поиском клиентов;</li> <li>расклейка объявлений на подъездах, раскладка рекламных листовок, приём заявок по телефону.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>хорошо развитые коммуникативные навыки;</li> <li>настойчивость в достижении цели;</li> <li>желание работать и зарабатывать;</li> <li>умение обращаться с электроприборами (перфоратор, дрель, шуруповерт)</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по продаже и установке спутникового тв,"Хорошо развитые коммуникативные навыки. Настойчивость в достижении цели. Желание работать и зарабатывать. Умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).","Основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе. ",26
Казанское,Спутниковое ТВ МТС,2019-09-30T12:11:23+0300,"<p><strong>Наша команда открыта для энергичных людей, заинтересованных в высоком доходе!</strong></p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li><strong>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Верхний порог вознаграждения зависит от ваших личных результатов!</strong></li> <li><strong>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</strong></li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж, а также техническое обучение);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul> <p><strong>Должностные обязанности:</strong></p> <ul> <li>основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе;</li> <li>продвижение и продажа услуг компании (спутниковое ТВ МТС);</li> <li>выполнение монтажных работ по установке оборудования;</li> <li>работа с прямым поиском клиентов;</li> <li>расклейка объявлений на подъездах, раскладка рекламных листовок, приём заявок по телефону.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>хорошо развитые коммуникативные навыки;</li> <li>настойчивость в достижении цели;</li> <li>желание работать и зарабатывать;</li> <li>умение обращаться с электроприборами (перфоратор, дрель, шуруповерт)</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по продаже и установке спутникового тв,"Хорошо развитые коммуникативные навыки. Настойчивость в достижении цели. Желание работать и зарабатывать. Умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).","Основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе. ",26
Ишим,Спутниковое ТВ МТС,2019-09-30T12:11:22+0300,"<p><strong>Наша команда открыта для энергичных людей, заинтересованных в высоком доходе!</strong></p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li><strong>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Верхний порог вознаграждения зависит от ваших личных результатов!</strong></li> <li><strong>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</strong></li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж, а также техническое обучение);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul> <p><strong>Должностные обязанности:</strong></p> <ul> <li>основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе;</li> <li>продвижение и продажа услуг компании (спутниковое ТВ МТС);</li> <li>выполнение монтажных работ по установке оборудования;</li> <li>работа с прямым поиском клиентов;</li> <li>расклейка объявлений на подъездах, раскладка рекламных листовок, приём заявок по телефону.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>хорошо развитые коммуникативные навыки;</li> <li>настойчивость в достижении цели;</li> <li>желание работать и зарабатывать;</li> <li>умение обращаться с электроприборами (перфоратор, дрель, шуруповерт)</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по продаже и установке спутникового тв,"Хорошо развитые коммуникативные навыки. Настойчивость в достижении цели. Желание работать и зарабатывать. Умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).","Основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе. ",26
Аромашево,Спутниковое ТВ МТС,2019-09-30T12:11:22+0300,"<p><strong>Наша команда открыта для энергичных людей, заинтересованных в высоком доходе!</strong></p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li><strong>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Верхний порог вознаграждения зависит от ваших личных результатов!</strong></li> <li><strong>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</strong></li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж, а также техническое обучение);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul> <p><strong>Должностные обязанности:</strong></p> <ul> <li>основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе;</li> <li>продвижение и продажа услуг компании (спутниковое ТВ МТС);</li> <li>выполнение монтажных работ по установке оборудования;</li> <li>работа с прямым поиском клиентов;</li> <li>расклейка объявлений на подъездах, раскладка рекламных листовок, приём заявок по телефону.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>хорошо развитые коммуникативные навыки;</li> <li>настойчивость в достижении цели;</li> <li>желание работать и зарабатывать;</li> <li>умение обращаться с электроприборами (перфоратор, дрель, шуруповерт)</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по продаже и установке спутникового тв,"Хорошо развитые коммуникативные навыки. Настойчивость в достижении цели. Желание работать и зарабатывать. Умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).","Основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе. ",26
Викулово,Спутниковое ТВ МТС,2019-09-30T12:11:22+0300,"<p><strong>Наша команда открыта для энергичных людей, заинтересованных в высоком доходе!</strong></p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li><strong>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Верхний порог вознаграждения зависит от ваших личных результатов!</strong></li> <li><strong>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</strong></li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж, а также техническое обучение);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul> <p><strong>Должностные обязанности:</strong></p> <ul> <li>основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе;</li> <li>продвижение и продажа услуг компании (спутниковое ТВ МТС);</li> <li>выполнение монтажных работ по установке оборудования;</li> <li>работа с прямым поиском клиентов;</li> <li>расклейка объявлений на подъездах, раскладка рекламных листовок, приём заявок по телефону.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>хорошо развитые коммуникативные навыки;</li> <li>настойчивость в достижении цели;</li> <li>желание работать и зарабатывать;</li> <li>умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по продаже и установке спутникового тв,"Хорошо развитые коммуникативные навыки. Настойчивость в достижении цели. Желание работать и зарабатывать. Умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).","Основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе. ",26
Заводоуковск,Спутниковое ТВ МТС,2019-09-30T12:11:22+0300,"<p><strong>Требования:</strong></p> <ul> <li>приветствуется опыт работы в продажах и привлечении;</li> <li>возможность совмещения нескольких видов деятельности;</li> <li>желание и умение проявлять самостоятельность, инициативу, целеустремленность;</li> <li>умение планировать и организовывать свою деятельность;</li> <li>навыки общения с людьми.</li> </ul> <p> </p> <p><strong>Обязанности:</strong></p> <p><em>Самостоятельный поиск клиентов путем:</em></p> <ul> <li>поадресного обхода частных и многоквартирных домов, коттеджей, дач;</li> <li>личного общения с жильцами;</li> <li>работы с интернет ресурсами и социальными сетями;</li> <li>распространения рекламы на интернет площадках и на вверенной для агента территории.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Уровень вознаграждения зависит только от Вас;</li> <li>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по привлечению клиентов спутникового тв,"Приветствуется опыт работы в продажах и привлечении. Возможность совмещения нескольких видов деятельности. Желание и умение проявлять самостоятельность, инициативу, целеустремленность. ","Поадресного обхода частных и многоквартирных домов, коттеджей, дач. Личного общения с жильцами. Работы с интернет ресурсами и социальными сетями. ",26
Тобольск,Спутниковое ТВ МТС,2019-09-30T12:11:22+0300,"<p><strong>Требования:</strong></p> <ul> <li>приветствуется опыт работы в продажах и привлечении;</li> <li>возможность совмещения нескольких видов деятельности;</li> <li>желание и умение проявлять самостоятельность, инициативу, целеустремленность;</li> <li>умение планировать и организовывать свою деятельность;</li> <li>навыки общения с людьми.</li> </ul> <p> </p> <p><strong>Обязанности:</strong></p> <p><em>Самостоятельный поиск клиентов путем:</em></p> <ul> <li>поадресного обхода частных и многоквартирных домов, коттеджей, дач;</li> <li>личного общения с жильцами;</li> <li>работы с интернет ресурсами и социальными сетями;</li> <li>распространения рекламы на интернет площадках и на вверенной для агента территории.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Уровень вознаграждения зависит только от Вас;</li> <li>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по привлечению клиентов спутникового тв,"Приветствуется опыт работы в продажах и привлечении. Возможность совмещения нескольких видов деятельности. Желание и умение проявлять самостоятельность, инициативу, целеустремленность. ","Поадресного обхода частных и многоквартирных домов, коттеджей, дач. Личного общения с жильцами. Работы с интернет ресурсами и социальными сетями. ",26
Ялуторовск,Спутниковое ТВ МТС,2019-09-30T12:11:20+0300,"<p><strong>Наша команда открыта для энергичных людей, заинтересованных в высоком доходе!</strong></p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li><strong>при активной работе от 20 часов в неделю у вас есть возможность получать вознаграждение от 30 000 рублей в месяц. Верхний порог вознаграждения зависит от ваших личных результатов!</strong></li> <li><strong>гибкий график работы (от 20 часов в неделю), возможность совмещать с учебой или основной работой;</strong></li> <li>бесплатное корпоративное обучение (по продукту, навыкам продаж, а также техническое обучение);</li> <li>наставничество (практическое обучение с наставником, ежедневная помощь руководителя);</li> <li>полностью &quot;белый&quot; доход;</li> <li>работа в стабильной компании;</li> <li>возможность профессионального и карьерного роста.</li> </ul> <p><strong>Должностные обязанности:</strong></p> <ul> <li>основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе;</li> <li>продвижение и продажа услуг компании (спутниковое ТВ МТС);</li> <li>выполнение монтажных работ по установке оборудования;</li> <li>работа с прямым поиском клиентов;</li> <li>расклейка объявлений на подъездах, раскладка рекламных листовок, приём заявок по телефону.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>хорошо развитые коммуникативные навыки;</li> <li>настойчивость в достижении цели;</li> <li>желание работать и зарабатывать;</li> <li>умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,,,,,30000.0,агент по продаже и установке спутникового тв,"Хорошо развитые коммуникативные навыки. Настойчивость в достижении цели. Желание работать и зарабатывать. Умение обращаться с электроприборами (перфоратор, дрель, шуруповерт).","Основной способ продаж - обход коттеджей, частных домов, дач и личное общение с жильцами, в удобном для Вас районе. ",26
