city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Мультисервисная платежная система,2019-12-03T10:33:09+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Участие в разработке технических решений по сетевой инфраструктуре;</li> <li>Администрирование и поддержка в виртуальной среде сервисов MS Active Directory, DNS, DHCP, WSUS, IIS, Exchange, Terminal, MS SQL сервер;</li> <li>Администрирование и поддержка виртуальных систем на базе VMware и Hyper-V;</li> <li>Администрирование системы резервного копирования и восстановления данных;</li> <li>Администрирование и поддержка систем антивирусной и антиспам защиты;</li> <li>Администрирование и поддержка серверов Unix;</li> <li>Администрирование и поддержка сетевого оборудования;</li> <li>Настройка, сопровождение физических серверов и систем хранения данных HP;</li> <li>Оказание технической поддержки пользователям ПК;</li> <li>Взаимодействие с техническими службами провайдеров и контрагентов компании при работах по настройке/восстановлению работоспособности ИТ инфраструктуры;</li> <li>Контроль физического состояния оборудования, проведение профилактических работ и апгрейда оборудования;</li> <li>Ведение документации, обработка инцидентов;</li> <li>Реализация задач связанных с информационной безопасностью.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт администрирования ОС: MS Windows 7,8,10, Server 2003-2012, VMware;</li> <li>Серверные приложения: Active Directory, MS SQL, MS Exchange 2013, MS Terminal server;</li> <li>Опыт в поддержке программы Альта-ГТД приветствуется;</li> <li>Визуализация на основе Нуреr-V;</li> <li>1 С Бухгалтерия;</li> <li>Знание сетевых технологий: TCP/IP, DNS, DHCP, NAT, WiFi, SSL правил построения сетей, основы телефонии.</li> <li>Знание аппаратной части РС и возможность диагностики и устранения неполадок;</li> <li>Навыки сборки, настойки и обслуживания ПК и периферийных устройств (принтеры, сканеры, МФУ, факсы);</li> <li>Опыт работы с VPN каналами (OpenVpn);</li> <li>Настройка и сопровождение офисной АТС Asterisk;</li> <li>Опыт работы с удаленными пользователями.</li> <li>Технический английский язык.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Место работы м. Павелецкая;</li> <li>Режим работы по соглашению с руководителем 09:00 (10:00)-18:00 (19:00);</li> <li>Оформление согласно ТК РФ;</li> <li>Молодой дружный коллектив.</li> <li>Заработная плата обсуждается с успешным кандидатом.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,системный администратор,"Опыт администрирования ОС: MS Windows 7,8,10, Server 2003-2012, VMware. Серверные приложения: Active Directory, MS SQL, MS Exchange...","Участие в разработке технических решений по сетевой инфраструктуре. Администрирование и поддержка в виртуальной среде сервисов MS Active Directory, DNS, DHCP...",10
Москва,ФГ БУЗ Поликлиника №1 Российской академии наук,2019-12-09T10:33:08+0300,"<strong>Обязанности:</strong> <ul> <li>Настройка сетевого оборудования;</li> <li>Мониторинг состояния сети;</li> <li>Установка и настройка пользовательских операционных систем;</li> <li>Установка и настройка прикладных программ:</li> <li>Обслуживание офисной техники (установка, настройка, диагностика неисправностей, мелкий ремонт и т. п.);</li> <li>Обслуживание серверного оборудования</li> <li>Техническая поддержка/обучение пользователей (локальный офис, около 100 рабочих мест);</li> <li>Бухгалтерские программы СУФД, Эл. бюджет, Торговая площадка;</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы от 1 года</li> <li>Знание операционных систем Windows, Microsoft Office,</li> <li>Понимание основ TCP/IP, сетевой инфраструктуры</li> <li>Знание офисной техники</li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Оформление по ТК РФ, офис в центре города, 1-2 мин. от метро Тургеневская, Чистые пруды, Сретенский бульвар;</p> </li> <li> <p>Заработная плата по договоренности.</p> </li> <li> <p>Полный рабочий день</p> <p>на территории работодателя</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,системный администратор,"Опыт работы от 1 года. Знание операционных систем Windows, Microsoft Office. Понимание основ TCP/IP, сетевой инфраструктуры. Знание офисной техники.",Настройка сетевого оборудования. Мониторинг состояния сети. Установка и настройка пользовательских операционных систем. Установка и настройка прикладных программ: Обслуживание офисной техники...,4
Москва,Ростелеком,2019-12-06T15:53:59+0300,"<p><strong>Обязанности:</strong></p> <ul> <li> <p>оформление и актуализация уставов проектов, планов-графиков, ресурсных планов и других проектных документов;</p> </li> <li> <p>уведомление и сбор отчетов исполнителей, консолидация отчетной информации;</p> </li> <li> <p>создание презентационных материалов на различные темы, связанные с реализацией проектов и проектным управлением;</p> <p>выполнение коммуникационных процедур, рассылка документации по проекту заинтересованным сторонам;</p> </li> <li> <p>организация рабочих встреч, формирование протоколов рабочих встреч и заседаний коллегиальных органов;</p> </li> <li> <p>поиск и подбор информации во внутренних и внешних источниках;</p> </li> <li> <p>сопоставление данных из внешних источников, отчетов, проектных документов, формирование выводов и заполнение форм мониторинга;</p> </li> <li> <p>мониторинг и содействие своевременному исполнению ключевых задач и поручений по проектам;</p> </li> <li> <p>исполнение иных прямых поручений руководителя.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Релевантный опыт работы будет преимуществом;</li> <li>Ответственность, коммуникабельность, грамотность;</li> <li>Владение программами Microsoft Office.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в одной из ведущих компаний на российском рынке телекоммуникаций;</li> <li>Оформление по ТК РФ, «белая» заработная плата (оклад + премии (квартальные, годовые));</li> <li>ДМС со стоматологией после испытательного срока;</li> <li>Комфортный офис в центре города в пешей доступности от м.Таганская;</li> <li>Профессиональный рост в сильной команде.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Протоколирование|Грамотность|Контроль исполнения  решений|Мониторинг рынка|MS Office,3.0,,1.0,,администратор проекта,"Релевантный опыт работы будет преимуществом. Ответственность, коммуникабельность, грамотность. Владение программами Microsoft Office.","Оформление и актуализация уставов проектов, планов-графиков, ресурсных планов и других проектных документов. Уведомление и сбор отчетов исполнителей, консолидация отчетной...",7
Москва,MGCOM,2019-12-11T10:31:05+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Закупка и учет технических и программных средств‚ расходных материалов и оборудования;</li> <li>Установка, настройка, подключение компьютеров, организация рабочих мест, установка ПО</li> <li>Установка офисной оргтехники и оборудования;</li> <li>Настройка и обслуживание офисной техники (подключение, диагностика);</li> <li>Техническая поддержка и консультации пользователей по вопросам IT (решение проблем, замена картриджей, подключение принтеров, настройка почтовых клиентов и т.д.)</li> <li>Сбор офисной мебели (по запросу).</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Опыт настройки и обслуживания офисной техники;</li> <li>Опыт установки и настройки типового офисного ПО;</li> <li>Навыки настройки рабочих мест пользователей, офисных приложений и настройки сети;</li> <li>Поддержка организованного удаленного доступа к ресурсам;</li> <li>Опыт работы с линейкой Microsoft Office;</li> <li>Умение работать в стрессовых условиях, готовность к нестандартным задачам.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Работа в современном офисе, с новой техникой;</li> <li>График 5/2;</li> <li>Заработная плата по результатам собеседования;</li> <li>Офис м. Цветной Бульвар (2 мин. пешком).</li> </ul>",Полная занятость,Полный день,Нет опыта,|Настройка сетевых подключений|Настройка ПО|Windows 7|Настройка ПК|Windows Xp,,,,,помощник системного администратора,"Опыт настройки и обслуживания офисной техники. Опыт установки и настройки типового офисного ПО. Навыки настройки рабочих мест пользователей, офисных приложений...","Закупка и учет технических и программных средств‚ расходных материалов и оборудования. Установка, настройка, подключение компьютеров, организация рабочих мест, установка ПО. ",2
Москва,Группа Компаний Основа,2019-12-12T13:07:34+0300,"<strong>Обязанности:</strong> <ul> <li>Диагностика и устранение неисправностей АРМ</li> <li>Диагностика и устранение неисправностей оргтехники</li> <li>Исполнение поручений руководства в рамках рабочего процесса подразделения</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее (неоконченное) образование</li> <li>Базовые знания линейки клиентских операционных систем MS Windows</li> <li>Уровень знаний, необходимый для выполнения задач техподдержки первого уровня</li> </ul> <strong>Условия:</strong> <ul> <li>Полное соблюдение ТК РФ</li> <li>Комфортный офис в шаговой доступности от метро Электрозаводская (ул. Большая Семеновская)</li> <li>График работы: 5/2 с 9:00 до 18:00 (выходные: суббота/воскресенье)</li> <li>Заработная плата &quot;белая&quot; - 60 000 рублей (на руки)</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,60000.0,1.0,60000.0,системный администратор,"Высшее (неоконченное) образование. Базовые знания линейки клиентских операционных систем MS Windows. Уровень знаний, необходимый для выполнения задач техподдержки первого уровня.",Диагностика и устранение неисправностей АРМ. Диагностика и устранение неисправностей оргтехники. Исполнение поручений руководства в рамках рабочего процесса подразделения.,1
Москва,СТЕЛЛАР КОНСТРАКШН,2019-12-03T10:41:39+0300,"<p>Крупная строительная компания приглашает в свою команду системного администратора</p> <p><strong>Обязанности:</strong></p> <ul> <li>Установка и обслуживание компьютерной и офисной техники, оргтехники.</li> <li>Обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server).</li> <li>Регистрация пользователей, настройка прав доступа пользователей</li> <li>Обслуживание рабочих мест в офисе.</li> <li>Решение задач по настройке и системному администрированию, диагностирование и устранение типовых неисправностей ПК, оргтехники</li> </ul> <strong>Требования:</strong> <ul> <li>Знание ОС (Windows, Android, MacOS).</li> <li>Опыт установки и поддержки серверного программного обеспечения.</li> <li>Знание распространенного программного обеспечения (MS Office, 1С и иных программ).</li> <li>Знание принципов работы сетевых протоколов, принципов построения компьютерных сетей.</li> <li>Знание аппаратной части РС и возможность диагностики и устранения неполадок.</li> <li>Знание и понимание работы AD, DHCP, DNS; LAN, ROUTER, WLAN, WAN, Active Directory</li> <li>Дисциплинированность, целеустремленность, стрессоустойчивость.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по ТК РФ</li> <li>Работа в престижном офисе крупной строительной компании.</li> <li>Офис в центре города</li> <li>Компенсация расходов на питание и на проезд</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Active Directory|Настройка сетевых подключений|Администрирование серверов Windows,3.0,,1.0,70000.0,системный администратор,"Знание ОС (Windows, Android, MacOS). Опыт установки и поддержки серверного программного обеспечения. Знание распространенного программного обеспечения (MS Office, 1С...","Установка и обслуживание компьютерной и офисной техники, оргтехники. Обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server). ",10
Москва,Релофт,2019-11-20T20:12:35+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Руководить командой разработки интернет магазина на платформе Insales: Дизайнер, Контент-менеджер, Веб-дизайнер;</p> </li> <li> <p>Умение организовать работу команды и контролировать результаты;</p> </li> <li> <p>Организация пользовательского тестирования сайта;</p> </li> <li> <p>Координирование работы по обновлению внешнего вида, функционала и контента на сайте;</p> </li> <li> <p>Анализ и улучшение Usability сайта;</p> </li> <li> <p>Настройка аналитики на сайте (Google Analytics, Google E-commerce, Google Merchant, Яндекс Аналитика, Яндекс маркет);</p> </li> <li> <p>Поиск решений и исполнителей для бизнес требований компании (парсинг и групповое обновление цен, нестандартные решения не предусмотренные функционалом Insales, подключение сторонних сервисов);</p> </li> <li> <p>Поддержка интеграции с AMO CRM, Roistat;</p> </li> <li> <p>Администрирование виртуальной ATC Mango Telecom;</p> </li> <li> <p>Анализ новых требований бизнеса, поиск и внедрение подходящих IT решений;</p> </li> <li> <p>Отслеживание действий конкурентов, защита информации и интересов компании на уровне IT</p> </li> <li> <p>Разовые технические вопросы по Exсel, офисной технике, настройкам программ и тд.</p> </li> <li> <p><strong>KPI:</strong></p> </li> <li> <p>Повышение конверсии посещений в заказы и звонки (отношение посещение/конверсия);</p> </li> <li> <p>Увеличение самостоятельных заказов;</p> </li> <li> <p>Процент выполненных задач из месячного плана;</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Высшее образование;</p> </li> <li> <p>Опыт работы по успешному развитию интернет-магазина (Знание платформы Insales будет плюсом);</p> </li> <li> <p>Знание основных принципов Usability и Mobile First;</p> </li> <li> <p>Опыт работы с CRM системами будет плюсом;</p> </li> <li> <p>Знание английского языка необходимо на базовом уровне но лучше Intermediate и выше;</p> </li> <li> <p>Базовое знание Web программирования: HTML, CSS, JS будет плюсом;</p> </li> <li> <p>Самостоятельность и позитивность</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Работа в офисе и на удаленке в комфортном графике</li> <li>Работа по ТК</li> <li>Личный план на год с дополнительными бонусами</li> <li>Молодая, дружная, активно развивающаяся компания</li> <li>Компания готова вкладывать деньги и ресурсы для достижения результата</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|HTML|CSS|Google Analytics|JavaScript|E-Commerce|управление командой разработчиков|Управление интернет-проектами|Оптимизация бизнес процессов|Бюджетирование|SWOT анализ,6.0,,3.0,50000.0,технический директор администратор интернет магазина,Высшее образование. Опыт работы по успешному развитию интернет-магазина (Знание платформы Insales будет плюсом). Знание основных принципов Usability и Mobile...,"Руководить командой разработки интернет магазина на платформе Insales: Дизайнер, Контент-менеджер, Веб-дизайнер. Умение организовать работу команды и контролировать результаты. ",23
Москва,1С-Архитектор бизнеса,2019-12-06T17:52:19+0300,"<p><strong>«1С-Архитектор бизнеса» — это:</strong></p> <ul> <li>стабильность (более 20 лет на рынке).</li> <li>один из лидеров в области «1С» на российском ИТ-рынке.</li> <li>современные методы ведения бизнеса.</li> <li>интересные проекты для специалистов различного уровня.</li> <li>сертификация по программным продуктам фирмы «1С» за счет компании.</li> <li>реальная возможность для самореализации способным и талантливым сотрудникам.</li> <li>реальная возможность профессионального развития для настойчивых и целеустремленных.</li> <li>реальная возможность карьерного роста для лидеров.</li> <li>дружная команда профессионалов и замечательный коллектив.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Поддержание работоспособности ПК сотрудников;</li> <li>Устранение проблем на пользовательских ПК;</li> <li>Работа с сетевым оборудованием;</li> <li>Работа с Active Derictory;</li> <li>Настройка клиентов IP-телефонии.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в должности системного администратора\helpdesk от 0,5 года;</li> <li>Коммуникабельность;</li> <li>Знание Windows на уровне администратора.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>стабильная белая заработная плата.</li> <li>трудоустройство по ТК РФ.</li> <li>график работы: 5\2.</li> <li>материальная и нематериальная мотивация сотрудников.</li> <li>корпоративный льготный тариф на мобильную связь.</li> <li>удобное расположение офиса в пешей доступности от метро (м. Павелецкая – 10 мин).</li> <li>ДМС.</li> </ul> <p> </p> <p><em>Благодарим Вас за интерес, проявленный к нашей Компании!</em></p> <p><em>Резюме будет рассмотрено в течение двух недель с момента его получения. Если Ваш опыт работы и пожелания соответствуют требованиям и возможностям Компании – Менеджер по подбору персонала свяжется с Вами по указанным контактам.</em></p> <p><em>Отсутствие ответа в течение вышеуказанного срока, означает, что, к сожалению, на сегодняшний день мы не можем предложить данную вакансию. В этом случае мы сохраним Ваше резюме в базе данных Компании, чтобы в будущем предложить работу, соответствующую Вашей квалификации.</em></p> <p><em>С Уважением к Вам, компания &quot;1С-Архитектор бизнеса&quot;.</em></p>",Полная занятость,Полный день,От 1 года до 3 лет,|TCP/IP|Windows 7|Helpdesk|Обучение и развитие|Информационные технологии,3.0,,1.0,,системный администратор,"Опыт работы в должности системного администратора\helpdesk от 0,5 года. Коммуникабельность. Знание Windows на уровне администратора.",Поддержание работоспособности ПК сотрудников. Устранение проблем на пользовательских ПК. Работа с сетевым оборудованием. Работа с Active Derictory. Настройка клиентов IP...,7
Москва,КАРИ,2019-12-10T10:23:29+0300,"<p><strong>Требования</strong></p> <ol> <li>Знание компьютерного железа</li> <li>Отличное знание операционных систем Windows (XP - 10), приложений Microsoft Officе (2010 - 2016), умение быстро осваивать новое ПО.</li> <li>Умение проводить диагностику сбоев компонентов</li> <li>Умение систематизировать свою деятельность</li> <li>Опыт работы в ИТ не менее 1ого года</li> </ol> <p><strong>Обязанности</strong></p> <ol> <li>Техническая поддержка рабочих мест сотрудников офиса.</li> <li>Техническая поддержка периферийного оборудования (МФУ, принтеры, сканеры).</li> <li>Удаленная поддержка магазинов. (в первое время под руководством системного администратора)</li> <li>Управление запасом расходных материалов.</li> <li>Решение заявок в системе сервисдеск.</li> </ol> <p><strong>Условия</strong></p> <ol> <li>Оформление по ТК</li> <li>Зарплата белая</li> <li>Корпоративная мобильная связь</li> <li>Рабочее место в центральном офисе компании: Москва, Русаковская (БЦ Бородино)</li> </ol>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,68000.0,1.0,58000.0,младший системный администратор,"Знание компьютерного железа. Отличное знание операционных систем Windows (XP - 10), приложений Microsoft Officе (2010 - 2016), умение быстро осваивать новое ПО. ","Техническая поддержка периферийного оборудования (МФУ, принтеры, сканеры). Удаленная поддержка магазинов. (в первое время под руководством системного администратора). Управление запасом расходных...",3
Москва,Группа компаний «ИНФОРСЕР»,2019-12-12T16:50:10+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>общение с заказчиками, исполнителями по проектной деятельности;</li> <li>участие в подготовке договорной документации;</li> <li>работа с первичной документацией (проверка заполнения, делопроизводство);</li> <li>оформление документов по проектной деятельности;</li> <li>выполнение распоряжений руководителя проекта.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>свободное владение ПК (Excel, Word, Outlook);</li> <li>Коммуникабельность, грамотная устная и письменная речь;</li> <li>Опыт создания нормативных документов;</li> <li>Опыт работы с сфере It-технологий в должности администратор/менеджер проекта как преимущество.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>график работы: 5/2, с 9 до 18, либо с 10 до 19;</li> <li>официальное оформление, соблюдение ТК (оплата больничного, отпуска 28 календарных дней);</li> <li>премирование по итогам работы за год;</li> <li>декретная ставка на 1,5 года, с возможностью дальнейшего трудоустройства постоянно;</li> <li>корпоративная сотовая связь;</li> <li>ДМС.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|MS Office|Заключение договоров,3.0,,1.0,,администратор проекта,"Свободное владение ПК (Excel, Word, Outlook). Коммуникабельность, грамотная устная и письменная речь. Опыт создания нормативных документов. Опыт работы с сфере...","Общение с заказчиками, исполнителями по проектной деятельности. Участие в подготовке договорной документации. Работа с первичной документацией (проверка заполнения, делопроизводство). ",1
