city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Тюмень,Softline,2019-10-11T17:35:21+0300,"<p><strong><em>В проектную команду на реализацию 5ти-летней программы по цифровой трансформации, реинжинирингу бизнес-процессов в проектировании, строительстве и эксплуатации в крупнейшем промышленном предприятии России ищем эксперта.</em></strong></p> <p><em>Есть возможности проявить себя и развиться в ролях: архитектора решений, технического/бизнес консультанта, руководителя команды разработки</em></p> <p><em>Востребован опыт работы с инструментами программной разработки Bentley Systems: OpenPlant, OpenRoads, ProStructures, OpenBuildings, ProjectWise, Navigator, Raceway and Cable Management (BRCM) для комплексного проектирования промышленных строительных объектов.</em></p> <p><strong>Основные задачи и обязанности:</strong></p> <ul> <li>Анализ, моделирование и описание бизнес-процессов, написание технических заданий / user stories.</li> <li>Сбор и формализация бизнес-требований заказчика.</li> <li>Разработка технического задания и документации по проекту.</li> </ul> <p><br /><strong>Требования:</strong></p> <ul> <li>Опыт работы в роли бизнес-аналитика внедрения информационных систем.</li> <li>Навыки обследования, сбора и формализации бизнес - требований, написания технической документации.</li> <li>Готовность к командировкам.</li> </ul> <p><strong>Преимуществом будет:</strong></p> <ul> <li>Опыт использования систем автоматизированного проектирования.</li> <li>Знание программных продуктов Bentley Systems.</li> <li>Понимание процессов проектирования строительных объектов.</li> </ul> <p><strong>Личные качества:</strong></p> <ul> <li>Умение и желание общаться с людьми, грамотная устная и письменная речь.</li> <li>Аналитический склад ума, умение выделять главное из потока информации.</li> <li>Системность, аккуратность, пунктуальность.</li> <li>Самостоятельность, ориентация на результат.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|САПР|Bentley|Бизнес-анализ|Проектная документация,3.0,200000.0,1.0,100000.0,системный аналитик сапр,"Опыт работы в роли бизнес-аналитика внедрения информационных систем. Навыки обследования, сбора и формализации бизнес - требований, написания технической документации. ","Анализ, моделирование и описание бизнес-процессов, написание технических заданий / user stories. Сбор и формализация бизнес-требований заказчика. Разработка технического задания...",14
Тюмень,Сибинтел Холдинг,2019-10-07T08:02:33+0300,"<p><strong>Цель должности:</strong> анализ и оптимизация бизнес-процессов, протекающих в структурных подразделениях Компании.</p> <p><strong>Основные задачи:</strong></p> <p>1. Описание бизнес-процессов</p> <p>2. Анализ бизнес-процессов</p> <p>3. Подготовка технического задания и технической документации</p> <p>4. Подготовка регламентов и инструкций</p> <p>5. Оптимизация и внедрение бизнес-процессов</p> <p><strong>Обязанности:</strong></p> <p>1. Формирует календарный план работ по моделированию, анализу и оптимизации бизнес-процессов совместно с руководителями.</p> <p>2. Составляет план коммуникаций и смету ресурсов, необходимых для проведения моделирования бизнес-процесса (новых бизнес-процессов).</p> <p>3. Проведение исследования и оптимизации бизнес-процессов.</p> <p><em><strong>Требования:</strong></em></p> <p>- Высшее образование</p> <p>- Опыт эффективной работы в данном направлении от 2 лет, желательно в крупной Компании</p>",Полная занятость,Полный день,От 3 до 6 лет,|Моделирование бизнес процессов|Оптимизация бизнес-процессов|Коммуникабельность|Аналитические исследования,6.0,90000.0,3.0,50833.333333333336,аналитик бизнес процессов,"Высшее образование. - Опыт эффективной работы в данном направлении от 2 лет, желательно в крупной Компании.","Цель должности: анализ и оптимизация бизнес-процессов, протекающих в структурных подразделениях Компании. 1. Описание бизнес-процессов. 2. Анализ бизнес-процессов. ",19
Тюмень,Ключевой фактор,2019-10-03T11:05:28+0300,"<p><strong>Требования к кандидату, навыки/опыт в следующих областях</strong></p> <ul> <li>описание бизнес-процессов &quot;как есть&quot; и &quot;как должно быть&quot;</li> <li>анализ эффективности бизнес-процессов</li> <li>знание основ &quot;Бережливого производства&quot; и &quot;шесть сигма&quot;</li> <li>опыт в выявлении взаимосвязей и построении моделей</li> <li>визуализация данных для презентации результатов модели</li> </ul> <p><br /><strong>Приветствуется:</strong></p> <ul> <li>успешно реализованные кейсы в любой сфере</li> <li>навыки работы в IT сфере (рассказать разработчику, какой результат желает видеть заказчик)</li> <li>понимание, какую пользу от разработки сможет получить заказчик, как это повлияет на его бизнес</li> </ul> <p> </p> <p><strong>Должностные обязанности:</strong></p> <ul> <li>анализ эффективности бизнес-процессов, выработка решения по их оптимизации</li> <li>формирование периодических отчетов для презентации результатов по оптимизированным бизнес-процессам</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Работа в команде разработчиков</li> <li>Гибкий график и полная занятость</li> <li>Офис в БЦ Ермак, центр города</li> <li>Команда работает по agile<br /><br /><strong>Вы можете более подробно ознакомиться с нашими проектами на сайте.</strong></li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Управление проектами|Оптимизация бизнес-процессов|MS Project|Бережливое производство|Lean Six Sigma|Работа в команде|MS PowerPoint|Подготовка презентаций,3.0,60000.0,1.0,40000.0,бизнес аналитик,Описание бизнес-процессов &quot;как есть&quot; и &quot;как должно быть&quot;. Анализ эффективности бизнес-процессов. Знание основ &quot;Бережливого производства&quot; и &quot;шесть сигма&quot;. ,"Анализ эффективности бизнес-процессов, выработка решения по их оптимизации. Формирование периодических отчетов для презентации результатов по оптимизированным бизнес-процессам.",23
Тюмень,Ключевой фактор,2019-10-03T11:05:25+0300,"<p><strong>Требования к кандидату, навыки/опыт в следующих областях:</strong></p> <ul> <li>навыки анализа данных, выявления взаимосвязей и построения моделей</li> <li>навыки формирование набора данных для дальнейшего анализа</li> <li>навыки работы с Excel (сводные таблицы и т.д.)</li> <li>умение визуализировать данные для презентации результатов модели</li> </ul> <p> </p> <p><strong>Приветствуется:</strong></p> <ul> <li>успешно реализованный кейс в сфере анализа данных</li> <li>знание и практический опыт в написании &quot;Пользовательских историй&quot;</li> <li>навыки работы в IT сфере (рассказать разработчику, какой результат желает видеть заказчик)</li> <li>понимание, какую пользу от разработки сможет получить заказчик, как это повлияет на его бизнес</li> </ul> <p> </p> <p><strong>Должностные обязанности:</strong></p> <ul> <li>анализ данных из социальных сетей для анализа и прогнозирования поведения пользователей</li> <li>формировать периодические отчеты для презентации результатов модели</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Работа в команде разработчиков</li> <li>Гибкий график и полная занятость</li> <li>Офис в БЦ &quot;Ермак&quot;, центр города</li> <li>Команда работает по Agile<br /><br /></li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Data Mining: SPSS|MATLAB|Sas|SQL|Математическая статистика|Mathcad|Управление проектами|Прогнозирование|Проведение презентаций|AutoCAD|MS PowerPoint|Анализ временных рядов|Математический анализ,3.0,75000.0,1.0,50000.0,аналитик big data,"Навыки анализа данных, выявления взаимосвязей и построения моделей. Навыки формирование набора данных для дальнейшего анализа. Навыки работы с Excel (сводные...",Анализ данных из социальных сетей для анализа и прогнозирования поведения пользователей. Формировать периодические отчеты для презентации результатов модели.,23
Тюмень,"ЮТэйр, Авиакомпания",2019-09-25T15:11:50+0300,"<p><strong>Utair входит в топ-5 российских авиаперевозчиков. Авиакомпания летает по 150 направлениям, более 60 из которых доступны только пассажирам Utair. В парке Utair 65 самолетов. Основной пункт пересадки — московский аэропорт Внуково, на который приходится более 160 рейсов Utair ежедневно. Штаб-квартира Utair располагается в Сургуте. Авиакомпания входит в реестр операторов IOSA с 2008 года.</strong></p> <p>Авиакомпания «ЮТэйр» приглашает соискателей принять участие в конкурсном отборе на вакансию <strong>Руководитель проекта/ведущий аналитик SAP FI</strong>. Для рассмотрения Вашей кандидатуры, необходимо направить отклик на вакансию.</p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>взаимодействие с Заказчиком (все заказчики внутренние – различные подразделения группы компаний) на всех этапах проекта;</li> <li>руководство проектной группой - планирование и управление коммуникациями, постановка задач перед участниками проектной команды, контроль за исполнением;</li> <li>анализ внутренних бизнес-процессов, сбор предъявляемых к информационной системе требований;</li> <li>формирование технических заданий на разработку и доработку систем. Детализация заданий включая описание алгоритмов, принципов хранения и обмена данными, расположения элементов интерфейса.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>высшее финансовое или техническое образование;</li> <li>рассматриваются кандидаты с опытом работы на аналогичной должности от 1 года;</li> <li>опыт настройки системы в одной или нескольких областях SAP - FI, FI-АА, BPC, TR, FM, CO, HR;</li> <li>опыт интеграции FI/CO со смежными областями SAP – MM, SD;</li> <li>уверенные знания бухгалтерского и налогового учета;</li> <li>знания основ МСФО, управленческого учета, бюджетирования – приветствуются</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>место работы: удаленная работа из любого города России с командировками по мере необходимости в г.Тюмень</li> <li>график работы: пятидневная рабочая неделя 09.00-18.00;</li> <li>испытательный срок 3 месяца;</li> <li>оформление в соответствии с ТК РФ;</li> <li>заработная плата договорная, выплачивается своевременно, два раза в месяц. Рассматриваются зарплатные ожидания кандидатов;</li> <li>льготы для сотрудников и членов семьи на авиаперелеты к месту отпуска.</li> </ul> <p> </p>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|SAP FI|SAP|МСФО|Бухгалтерский учет|Налоговый учет,3.0,90000.0,1.0,50833.333333333336,руководитель проекта ведущий аналитик sap fi,Высшее финансовое или техническое образование. Рассматриваются кандидаты с опытом работы на аналогичной должности от 1 года. Опыт настройки системы в...,Взаимодействие с Заказчиком (все заказчики внутренние – различные подразделения группы компаний) на всех этапах проекта. Руководство проектной группой - планирование и управление...,30
Тюмень,NAUMEN,2019-10-12T08:52:54+0300,"<p>Naumen – один из IT-лидеров в России*. С 2001 года мы разрабатываем и внедряем интеллектуальные системы и сервисы, которые приносят пользу бизнесу и государству в реальной жизни, а не «на бумаге».</p> <p>Нашими ИТ-продуктами пользуются крупнейшие компании России, входящие в топ-500, из разных отраслей: энергетика, финансовый сектор, телекоммуникации, промышленность, ритейл и госструктуры.</p> <p>Мы амбициозны и не останавливаемся на достигнутом: ежегодно оборот Naumen растет на 30%, количество сотрудников увеличивается на 17%, открываются новые офисы компании.</p> <p>* ТОП-10 крупнейших разработчиков ПО по числу инсталляций в РФ (по версии TAdviser), разработчик №1 в России в сегменте аутсорсинговых контакт-центров (по версии iKS-Consulting) и входим в ТОП-10 IT-работодателей России (по версии HeadHunter).</p> <p>Мы ищем <strong>Бизнес-аналитика</strong> в отдел сопровождения <strong>Service Desk.</strong></p> <p>Программный продукт Naumen Service Desk предназначен для автоматизации процессов управления ИТ и сервисным обслуживанием на предприятиях. С помощью Naumen Service Desk наши клиенты реализуют сервисную модель управления в ИТ-подразделениях и других внутренних службах, а также используют все преимущества сервисного подхода при оказании услуг клиентам компании. Нашими клиентами являются ИнтерРАО ЕС, Минкомсвязь России, Мираторг, Кари, Госуслуги и многие другие. Также Naumen Service Desk – обладатель международного сертификата PinkVERIFY.</p> <p><strong>Требования:</strong></p> <ul> <li>образование высшее (желательно профильное – аналитика, системная аналитика);</li> <li>опыт работы в софтверной компании на должности аналитика 1-2 года (рассматриваются кандидаты с опытом разработчика, тестировщика, тех. писателя);</li> <li>опыт участия в проектах разработки ПО в качестве аналитика или технического писателя;</li> <li>уверенное владение приложениями MS Office;</li> <li>знание основ ООП, SQL;</li> <li>хороший уровень письменного литературного русского языка;</li> <li>умение четко формулировать свои мысли;</li> <li>дружелюбие (работа в команде);</li> <li>креативность (поиск новых решений, не бояться сложностей);</li> <li>ответственность (довести дело до конца);</li> <li>клиентоориентированность (желание найти решение, которое удовлетворит и клиента, и нас).</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>сопровождение (аналитическое и техническое) внедренных информационных систем, консультирование клиентов;</li> <li>сбор, систематизация, согласование требований к программному продукту;</li> <li>реализация требований заказчика в информационной системе (в том числе формирование sql-запросов, разработка groovy-скриптов);</li> <li>выдача заданий для группы разработки;</li> <li>управление документацией по продукту.</li> </ul> <p><strong>В Naumen мы создали все условия для продуктивной и интересной работы:</strong></p> <ul> <li>индивидуально обсуждаем с каждым кандидатом зарплатные ожидания;</li> <li>лояльный график работы и минимум бюрократии;</li> <li>работа в команде профессионалов в атмосфере взаимопомощи и поддержки;</li> <li>реальная возможность влиять на развитие и качество продукта;</li> <li>возможность профессионального обучения за счет компании;</li> <li>мы поддерживаем развитие ИТ-сообщества и обмен опытом: участвуем во внешних и внутренних конференциях не только в качестве слушателя, но и в качестве спикера, обучаем школьников и студентам программированию, проводим собственные образовательные программы;</li> <li>практикуем индивидуальное планирование карьеры, Performance Review 2 раза в год (80% ключевых сотрудников компании выросли внутри Naumen);</li> <li>заботимся о здоровье наших сотрудников: <ul> <li>ДМС сразу после испытательного срока: посещение специалистов в лучших поликлиниках и стоматологиях города, вызов врача на дом, госпитализация, телемедицина;</li> <li>полис выезжающих за рубеж (покрытие весь мир);</li> <li>вакцинация от гриппа;</li> </ul> </li> <li>насыщенная корпоративная жизнь компании: яркие корпоративы, поздравления с календарными и профессиональными праздниками. Подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год;</li> <li>поддерживаем любовь к спорту: есть своя волейбольная команда, команды по кикеру, велопрогулки, возможна частичная компенсация занятий спортом, участвуем в Спартакиаде айтишников;</li> <li>современный и комфортный офис в г. Екатеринбург. В офисе оборудованы комната активного отдыха (настольный теннис, настольный футбол, тренажеры, массажное кресло), душевая кабина. Есть корпоративное кафе, кофе-поинты с разнообразными перекусами. Оборудована велопарковка в подземном паркинге в бизнес-центре.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,90000.0,1.0,50833.333333333336,бизнес аналитик в отдел сопровождения продукта naumen serviсe desk,"Образование высшее (желательно профильное – аналитика, системная аналитика). Опыт работы в софтверной компании на должности аналитика 1-2 года (рассматриваются кандидаты...","Сопровождение (аналитическое и техническое) внедренных информационных систем, консультирование клиентов. Сбор, систематизация, согласование требований к программному продукту. Реализация требований заказчика в...",14
Тюмень,Диалог Информационные Технологии,2019-10-10T14:27:53+0300,"<p>Диалог ИТ – ведущий системный интегратор в области автоматизации бизнес-процессов на платформе 1С. В связи с расширением портфеля проектов, мы ищем к себе в команду <strong>Аналитика 1С</strong> в департамент корпоративных проектов.</p> <p><strong>Что тебе предстоит:</strong></p> <ul> <li>Решать серьезные и масштабные задачи на проектах внедрения в компаниях федерального уровня;</li> <li>Анализировать и обследовать бизнес-процессы заказчика;</li> <li>Разрабатывать технические задания для программистов;</li> <li>Тестировать программный продукт, внедрять его на стороне заказчика;</li> <li>Подготавливать техническую документацию.</li> </ul> <p><strong>Нам важно:</strong></p> <ul> <li>Опыт работы от 2 лет в сфере 1С;</li> <li>Отличное знание возможностей одной или нескольких конфигураций: БП, УТ, ERP, ЗУП, КА, УПП;</li> <li>Опыт написания технической документации;</li> <li>Наличие сертификатов 1С – будет преимуществом.</li> </ul> <p><strong>Преимущества работы у нас:</strong></p> <ul> <li><strong>Команда:</strong> дружная и экспертная, объединенная общей миссией и ценностями;</li> <li><strong>Загрузка:</strong> стабильная на крупных и масштабных проектах;</li> <li><strong>Зарплата:</strong> «белая», достойный оклад + премии за результативность + надбавка за новые сертификаты 1С;</li> <li><strong>Профессиональный рост:</strong> доступ к корпоративной библиотеке 1С, получение сертификатов 1С за счет компании;</li> <li><strong>Карьерный рост </strong>– реален, зависит от совершенствования твоих компетенций;</li> <li><strong>Оформление:</strong> официальное, отпуск 28 календарных дней, оплачиваемые больничные, ДМС после года работы;</li> <li><strong>График:</strong> можешь работать в офисе или удаленно из дома, 8-ми часовой гибкий рабочий день;</li> <li><strong>Бонусы</strong>: вкусняшки по пятницам, летние и зимние выезды, безлимитный кофе, свежий чай и позитивная атмосфера.</li> </ul> <p><em>Мы находимся в Санкт-Петербурге и рассматриваем кандидатов на удаленную занятость или готовых к релокации.</em></p>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,90000.0,1.0,50833.333333333336,аналитик 1с,"Опыт работы от 2 лет в сфере 1С. Отличное знание возможностей одной или нескольких конфигураций: БП, УТ, ERP, ЗУП...",Решать серьезные и масштабные задачи на проектах внедрения в компаниях федерального уровня. Анализировать и обследовать бизнес-процессы заказчика. ,15
Тюмень,ИТС,2019-09-11T07:43:58+0300,"<strong>Обязанности:</strong> <ul> <li>Создание технической документации: Частного технического задания, Программа и методика испытаний, Протоколы сохраняемого функционала, Руководства пользователя различного уровня сложности (для пользователя, для администраторов, для разработчиков).</li> <li>Анализ бизнес-процессов предметной области.</li> <li>Формализация требований заказчиков, обсуждение и согласование возможных решений с заказчиками и разработчиками.</li> <li>Составление и поддержание в актуальном состоянии технической и эксплуатационной документации на ПО Тестирование ПО на соответствие между описанием системы и её реальным поведением.</li> </ul> <strong>Требования:</strong> <ul> <li>Понимание принципов разработки программного обеспечения.</li> <li>Владение методиками бизнес-анализа, формализации предметной области.</li> <li>Опыт работы с системами багтрекинга и управления проектами.</li> <li>Владение Microsoft Word, Excel, Visio (инструменты разметки документа, шаблоны и т.д.); Умение создавать, редактировать, иллюстрировать и адаптировать технический материал; Орфографическая и стилистическая грамотность, грамотная устная речь, аккуратность.</li> </ul> <strong>Условия:</strong> <ul> <li>Своевременная оплата труда.</li> <li>Работа над довольно крупными (межрегиональным) и интересными проектами.</li> <li>Дружелюбный коллектив.</li> <li>Лояльность в графике работы и прочие плюшки</li> <li>Уровень з/п зависит от навыков</li> </ul>",Полная занятость,Полный день,Нет опыта,|MS Word|MS Excel|MS Visio|MS PowerPoint,,40000.0,,30000.0,системный аналитик технический писатель,"Понимание принципов разработки программного обеспечения. Владение методиками бизнес-анализа, формализации предметной области. Опыт работы с системами багтрекинга и управления проектами. ","Создание технической документации: Частного технического задания, Программа и методика испытаний, Протоколы сохраняемого функционала, Руководства пользователя различного уровня сложности (для пользователя...",45
Тюмень,IQ Орtiоn Sоftwаre,2019-09-24T13:15:46+0300,"<p>IQ Option – это международная финтех-компания, где разработали одну из лучших в мире платформ для торговли финансовыми инструментами. Благодаря нам миллионы людей могут легко открывать для себя мир трейдинга и испытывать весь спектр ярких эмоций.</p> <p>Всего у нас зарегистрировано больше 40 млн пользователей в 150 странах мира. Нам шесть лет, у нас работает более 600 человек в трех офисах (в Петербурге, Лимасоле и Лондоне) и половина нас – это разработка. Мы пишем на Go, PHP, C++, Scala, Python и Java, исповедуем микросервисную архитектуру и уважаем разумный Agile. А еще мы любим прыгать выше головы – и у нас это получается. У нас можно быть собой. И у нас можно быть лучше себя.</p> <p>Сейчас мы находимся в поиске <strong>продуктового аналитика в команду Insights &amp; Experiments</strong>. Команда занимается организацией процесса анализа качественной информации о рынках, конкурентах и т.п., сбором аналитики по качественному фидбеку, активности соц. сетей, результатам промоушена фичей и т.п. А также обеспечением фичей продуктовой разработки, аналитической поддержкой.</p> <p><strong>Задачи, которые перед тобой будут стоять:</strong></p> <ul> <li> <p>постоянный анализ пользовательского поведения с целью поиска «точек роста» и «узких мест» в продукте;</p> </li> <li> <p>не бояться большого объема данных и легко в них искать новые инсайты (работа с Big Data);</p> </li> <li> <p>проведение A\B-экспериментов;</p> </li> <li> <p>правильно доносить результаты анализа до продуктовых менеджеров (Executive Summary);</p> </li> <li> <p>разрабатывать новые продуктовые метрики и анализировать динамику;</p> </li> <li> <p>решать нетривиальные задачи в условиях неполных данных;</p> </li> <li> <p>выбирать нужный способ оценки данных – аналитика, исследования или использование внешних данных;</p> </li> <li> <p>построение аналитических отчетов по продукту, воронке, LTV, оттоку базы, сегментации юзеров.</p> </li> </ul> <p><strong>Ты точно справишься, если:</strong></p> <ul> <li> <p>имеешь опыт работы продуктовым аналитиком от 3х лет;</p> </li> <li> <p>имеешь опыт работы в маркетинге;</p> </li> <li> <p>обладаешь знанием бизнес-процессов, системного анализа;</p> </li> </ul> <ul> <li> <p>обладаешь знанием продуктовых метрик и умением правильно интерпретировать их динамику;</p> </li> <li> <p>опыт в Gamedev-приветствуется;</p> </li> <li> <p>имеешь навык работы с Tableau Desktop, Tableau Server и Power BI;</p> </li> <li> <p>обладаешь критическим мышлением.</p> </li> </ul> <p><strong>Успешному кандидату мы готовы предложить:</strong></p> <ul> <li> <p>трудоустройство согласно ТК РФ;</p> </li> <li> <p>гибкое начало рабочего дня;</p> </li> <li> <p>офис класса А+ в 10 мин ходьбы от ст.м. Новочеркасская;</p> </li> <li> <p>компенсация обедов;</p> </li> <li> <p>корпоративный фитнес-центр: групповые занятия, персональные тренировки, секция бокса;</p> </li> <li> <p>библиотека;</p> </li> <li> <p>ДМС.</p> </li> </ul> <p><strong>Дополнительные условия для иногородних и иностранных кандидатов:</strong></p> <ul> <li> <p>предоставление места проживания за счет компании в первый месяц работы (далее - помощь в поиске жилья);</p> </li> <li> <p>помощь в оформлении документов</p> </li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|SQL|Аналитические исследования|аналитика продукта,6.0,90000.0,3.0,50833.333333333336,продуктовый аналитик,"Имеешь опыт работы продуктовым аналитиком от 3х лет. Имеешь опыт работы в маркетинге. Обладаешь знанием бизнес-процессов, системного анализа. ",Постоянный анализ пользовательского поведения с целью поиска «точек роста» и «узких мест» в продукте. Не бояться большого объема данных и...,32
Тюмень,Тюменский государственный университет ФГАОУ ВО,2019-09-23T14:45:01+0300,"<strong>Обязанности:</strong> <ul> <li>сопровождение (аналитическое и техническое) внедренных информационных систем, консультирование;</li> <li>сбор, систематизация, согласование требований к программному продукту;</li> <li>прототипирование требований заказчика в информационной системе выдача заданий для группы разработки;</li> <li>управление документацией по продукту.</li> </ul> <strong>Требования:</strong> <ul> <li>высшее профильное образование;</li> <li>опыт работы в данной отрасли от 3 лет.</li> </ul> <strong>Условия:</strong> <ul> <li>пятидневная рабочая неделя (с 9:00 до 18:00, ПТ - сокращенный день);</li> <li>своевременная &quot;белая&quot; заработная плата;</li> <li>новый, уютный офис в историческом центре города в районе Набережной р. Тура.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,,6.0,75000.0,3.0,40000.0,системный аналитик,Высшее профильное образование. Опыт работы в данной отрасли от 3 лет.,"Сопровождение (аналитическое и техническое) внедренных информационных систем, консультирование. Сбор, систематизация, согласование требований к программному продукту. Прототипирование требований заказчика в информационной...",32
