city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Интелком Лайн,2019-12-04T12:11:58+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Техническая поддержка и консультирование пользователей программно-аппаратных комплексов.</p> </li> <li> <p>Техническая поддержка программного обеспечения систем видеонаблюдения (установка, настройка, сопровождение).</p> </li> <li> <p>Отработка заявок и предоставление решений.</p> </li> <li> <p>Выезды на объекты в пределах Москвы.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Образование: Высшее или среднее специальное.</p> </li> <li> <p>Опыт работы: от 1 года.</p> </li> <li> <p>Знание операционных систем на уровне продвинутого пользователя.</p> </li> <li> <p>Знание сетевых технологий.</p> </li> <li> <p>Приветствуется знание основ охранного видеонаблюдения, опыт работы с базами данных.</p> </li> <li> <p>Английский язык (для чтения технической документации).</p> </li> <li> <p>Навыки общения с клиентами по телефону.</p> </li> <li> <p>Коммуникабельность, ответственность, стрессоустойчивость, внимательность. Грамотные речь и письмо.</p> </li> <li> <p>Интерес к технике.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по ТК РФ (оплачиваемый отпуск, больничный и т.д.).</li> <li>Месторасположение - м. Киевская.</li> <li>Перспективы профессионального роста.</li> <li>Тип занятости: Полная занятость.</li> <li> <p>График работы: 2 через 2 с 9.00 до 19.00.</p> </li> <li>Выходные и праздничные дни по скользящему графику.</li> <li>Оклад (от 60 т.р.) по результатам собеседования.</li> <li>Испытательный срок – 3 мес.</li> <li>Возможно обучение.</li> </ul> <p><strong>Приветствуется:</strong></p> <p>Знание компьютерных сетей и систем, сетевого оборудования, способность находить и анализировать информацию для выполнения должностных обязанностей, владение компьютером (операционные системы, офисные приложения, Интернет, Wireshark) на уровне опытного пользователя; опыт работы в сфере систем безопасности необязателен.</p> <p> </p> <p> </p>",Полная занятость,Сменный график,От 1 года до 3 лет,|Настройка ПО|Системы видеонаблюдения|Консультирование|Техническая поддержка,3.0,,1.0,60000.0,инженер технической поддержки,Образование: Высшее или среднее специальное. Опыт работы: от 1 года. Знание операционных систем на уровне продвинутого пользователя. Знание сетевых технологий. ,"Техническая поддержка и консультирование пользователей программно-аппаратных комплексов. Техническая поддержка программного обеспечения систем видеонаблюдения (установка, настройка, сопровождение). Отработка заявок и...",9
Москва,Артавеон,2019-12-11T15:29:09+0300,"<p><strong>Обязанности:</strong></p> <ul> <li><strong>т</strong>ехническая поддержка ПК и Периферии,диагностика и устранение неполадок и сбоев в аппаратной и программной части на рабочем месте.</li> <li>Консультации и помощь пользователям ПК по базовым операциям (работа с текстовым редактором,работа с электронными таблицами, электронная почта, работа с web браузером).</li> <li>Подключение новых рабочих мест, настройка программного обеспечения на новом рабочем месте.</li> <li>Замена, подключение и настройка активного сетевого оборудования.</li> <li>Антивирусная защита и профилактика.</li> <li>Установка расходных материалов (картриджи, тонер, заправка бумаги в аппараты общего пользования).</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Профильное образование не ниже среднего специального</li> <li>Опыт обслуживания оргтехники.</li> <li> <p>Знание стека протоколов TCP/IP</p> </li> <li> <p>Знание принципов работы Active Directory</p> </li> <li> <p>Желателен опыт работы в системах Help Desk</p> </li> <li> <p>Знание принципов построения ЛВС по стандарту OSI</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Работа на территории заказчика: ПАО &quot;Транснефть&quot;, не разъездная.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Настройка сетевых подключений|Настройка ПК|DNS|Ремонт ПК|TCP/IP|Настройка ПО|Active Directory|DHCP,3.0,,1.0,55000.0,инженер технической поддержки средств вычислительной техники help desk,Профильное образование не ниже среднего специального. Опыт обслуживания оргтехники. Знание стека протоколов TCP/IP. Знание принципов работы Active Directory. ,"Техническая поддержка ПК и Периферии,диагностика и устранение неполадок и сбоев в аппаратной и программной части на рабочем месте. ",2
Москва,Атос АйТи Солюшенс энд Сервисез,2019-11-18T15:01:44+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Оказание консультаций пользователям по телефону, электронной почте, лично, удаленно;</li> <li>Коммуникация с пользователями по ранее созданным запросам;</li> <li>Решение всех типов запросов в рамках функционала;</li> <li>Эскалация нерешенных инцидентов;</li> <li>Обеспечение бесперебойного функционирования оборудования информационной системы и принятие оперативных мер по устранению возникающих в процессе работы нарушений;</li> <li>Поддержка пользователей при работе со стандартным программным обеспечением, включая диагностику, проверку функционирования и устранение неисправностей;</li> <li>Замена расходных материалов принтеров и копировальной техники;</li> <li>Выдача, изъятие, замена оборудования Клиента;</li> <li>Участие в разработке инструкций, методических материалов;</li> <li>Способствование созданию благоприятной деловой репутации Компании и Клиента;</li> <li>Выполнение утвержденных ключевых показателей эффективности;</li> <li>Актуализация информации по обращениям и инцидентам в системе обработки заявок;</li> <li>Качественное и своевременное выполнение иных задач, поставленных непосредственным или вышестоящим руководителем.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Желание и умение учиться (корпоративной политике, внутренним правилам оформления документов, инструкциям, методикам, программам);</li> <li>Вежливая речь. Умение получать/доносить информацию пользователю ИТ услуг;</li> <li>Пунктуальность;</li> <li>Ориентированность на клиента в рамках полномочий;</li> <li>Знание основных настроек Windows 7 и Windows 10;</li> <li>Понимание принципов работы аналоговой, IP телефонии;</li> <li>Знание пакета Microsoft Office (Word, Excel, Outlook);</li> <li>Знание английского на уровне чтения технической литературы.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Компания предлагает стабильную и интересную работу, возможность профессионального развития;</li> <li>Компания гарантирует соблюдение прав работников и норм, предусмотренных ТК РФ;</li> <li>Компенсация мобильной связи (корпоративная сим-карта);</li> <li><strong>Сначала будет проходить обучение по адресу: г. Москва, Дмитровское шоссе. После необходимо будет постоянно работать по адресу: г.Москва, 1-й Варшавский пр-д (м. Варшавская).</strong></li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,инженер технической поддержки,"Желание и умение учиться (корпоративной политике, внутренним правилам оформления документов, инструкциям, методикам, программам). Вежливая речь. Умение получать/доносить информацию пользователю...","Оказание консультаций пользователям по телефону, электронной почте, лично, удаленно. Коммуникация с пользователями по ранее созданным запросам. Решение всех типов запросов...",25
Москва,Проектное бюро АПЕКС,2019-12-05T09:42:30+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка проектной и рабочей документации по разделам (внутренние системы) при участии ведущего инженера и/или главного специалиста:</li> </ul> <p>- Сети связи: телефонная связь и передача данных, ЛВС, СКС, радиофикация, телевидение;<br />- Системы безопасности: видеонаблюдение, охранная сигнализация, СКУД, домофонная связь, тревожная сигнализация, МГН;<br />- Системы противопожарной защиты: АПС, противопожарная автоматика, СОУЭ, мероприятия по доступу МГН;</p> <ul> <li>Также рассматриваются соискатели со специализацией только в части разделов;</li> <li>Проектирование объектов различного функционального назначения, жилых и общественных зданий в приоритете.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы от 1 года.</li> <li>Знание Технических регламентов, Федеральных законов и иных нормативных документов.</li> <li>Умение работать в программных комплексах AutoCAD, Revit (желательно).</li> <li>Знание английского языка (желательно).</li> </ul> <strong>Условия:</strong>​​​​​​​ <ul> <li>Работа в стабильной интенсивно развивающейся компании</li> <li>Оформление по ТК</li> <li>Белая заработная плата обсуждается по результатам собеседования</li> <li>Офис класса А, 15 минут пешком от м. Павелецкая</li> <li>Молодой, дружный коллектив</li> </ul> <p><em>Благодарим Вас за интерес, проявленный к нашей Компании.</em></p> <p><em>Мы обязательно рассмотрим Ваше резюме в течение 7 дней. Отсутствие ответа в течение недели означает, что по данной вакансии уже был сделан выбор. При этом Ваше резюме будет сохранено в нашей информационной системе и, если подходящая вакансия появится в будущем, мы предложим ее Вам для рассмотрения.</em></p>",Полная занятость,Полный день,От 1 года до 3 лет,|AutoCAD|Autodesk Revit|Английский язык|Разработка проектной документации|Системы охранно-тревожной сигнализации,3.0,,1.0,,инженер проектировщик по слаботочным системам,"Опыт работы от 1 года. Знание Технических регламентов, Федеральных законов и иных нормативных документов. Умение работать в программных комплексах AutoCAD...",Разработка проектной и рабочей документации по разделам (внутренние системы) при участии ведущего инженера и/или главного специалиста: Также рассматриваются соискатели...,8
Москва,Gaijin Entertainment,2019-12-12T16:22:06+0300,"<p><strong>Gaijin Entertainment </strong>- это более 200 профессионалов игровой индустрии, занимающихся разработкой проектов на различных платформах: PC/PS4/ Xbox One/Mac/Linux/iOS и Android.<br />В портфолио команды более 30 игр, завоевавших множество наград. В своих проектах компания использует самые современные решения и технологии.</p> <p>В нашу команду в Gaijin Entertainment нужен Билд-инженер/Программист Python.</p> <p><strong>Что Вам предстоит:</strong></p> <p>- Оптимизация сборки;<br />- Выполнение сборки общих библиотек;<br />- Разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО;<br />- Исследование и внедрение нового инструментария.</p> <p><strong>У нашего кандидата есть:</strong></p> <p>- Отличное знание языка Python, знание и навыки работы с GIT;<br />- Хорошее понимание процессов разработки ПО;<br />- Знание Windows и Linux;<br />- Умение разбираться в чужом коде, умение работать в команде;<br />- Технический английский язык.</p> <p><strong>Плюсом будет:</strong></p> <p>- Знание и навыки работы с Jenkins-CI;<br />- Опыт конфигурационного управления в области разработки больших программных продуктов;<br />- Знание PostgreSQL, MongoDB;<br />- Знание С++.</p> <p><strong>Наше предложение финалисту:</strong></p> <p>- Работа в компании, сделавшей самую популярную в мире российскую игру;<br />- Задачи — нетривиальные с использованием инновационных, перспективных технологий, что обеспечивает нашим решениям привлекательность и актуальность в быстро изменяющихся условиях IT-рынка;<br />- Команда, которая выпустила launch title под консоль нового поколения — неординарные личности и специалисты своего дела;<br />- Условия — конкурентная заработная плата, гибкий график работы, комфортный офис рядом с метро Свиблово (1 минута от метро — БЦ «Снежная »), возможность подземной парковки;<br />- Питание — готовые бесплатные обеды в офисе; две кухни, где всегда есть чай/кофе и печеньки;<br />- Здоровье — свежевыжатые соки, фрукты, массажные кресла, душевые в офисе, ДМС.</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Python|C++,3.0,,1.0,,билд инженер разработчик python,"Отличное знание языка Python, знание и навыки работы с GIT. - Хорошее понимание процессов разработки ПО. - Знание Windows и Linux. - ",Оптимизация сборки. - Выполнение сборки общих библиотек. - Разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО. - ,1
Москва,Tele2,2019-12-06T13:16:54+0300,"<p><strong>Инженер по строительству базовых станций </strong></p> <p><strong>Ваши будущие задачи:</strong></p> <ul> <li>Взаимодействие со строительными и подрядными организациями при строительстве и расширении сети;</li> <li>Контроль качества выполнения строительных и других работ при строительстве и ремонте объектов связи;</li> <li>Контроль затрат на строительные работы;</li> <li>Заказ оборудования;</li> <li>Ведение договоров с подрядными и строительными организациями;</li> <li>Своевременная отчетность.</li> </ul> <p><strong>Чтобы стать кандидатом, нужно:</strong></p> <ul> <li>Высшее техническое образование;</li> <li>Желание развиваться в сфере телекоммуникаций;</li> <li>Знание нормативно-технической базы в области строительства объектов связи;</li> <li>Навыки ведения переговоров;</li> <li>Ответственность, инициативность;</li> <li>Знание Excel (ВПР, сводные таблицы).</li> </ul> <p><strong>Плюсы для вас:</strong></p> <ul> <li>Интересная работа в быстроразвивающейся компании;</li> <li>Уникальная система обучения для каждого сотрудника на основе индивидуальных планов развития;</li> <li>Зеленый свет для новых идей и предложений: мы часто делаем то, на что другие не отваживаются;</li> <li>Возможности профессионального и карьерного роста;</li> <li>Индексируемая заработная плата;</li> <li>Полное соответствие ТК РФ;</li> <li>Расширенная медицинская страховка в России и за пределами страны - даже для любителей черных горнолыжных трасс;</li> <li>Компенсация затрат на мобильную связь;</li> <li>Дополнительные материальные выплаты (пособия при рождении ребенка, вступлении в брак и т.п.);</li> <li>Компенсация занятий спортом через год работы.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,инженер по строительству базовых станций,Высшее техническое образование. Желание развиваться в сфере телекоммуникаций. Знание нормативно-технической базы в области строительства объектов связи. Навыки ведения переговоров. ,Взаимодействие со строительными и подрядными организациями при строительстве и расширении сети. Контроль качества выполнения строительных и других работ при строительстве...,7
Москва,Научно-исследовательский институт железнодорожного транспорта,2019-12-09T11:51:36+0300,"<p>АО &quot;ВНИИЖТ&quot; ищет инженера по внедрению и сопровождению ПО в научный центр «Цифровые модели перевозок и технологии энергосбережения» для участия в крупном проекте.</p> <p><strong>Обязанности:</strong></p> <p>Внедрение, развитие и сопровождение автоматизированной системы в сфере управления перевозками на железнодорожном транспорте:</p> <ul> <li>Взаимодействие с пользователями системы (инженерами-технологами), их обучение, сопровождение и техническая поддержка. Получение, систематизация и анализ запросов, обращений и предложений пользователей;</li> <li>Взаимодействие с группой разработчиков ПО. Формулировка предложений для оптимизации работы систем на основе опыта её эксплуатации пользователями и по результатам внутреннего тестирования;</li> <li>Написание, переработка, актуализация программно-технической документации;</li> <li>Совершенствование технологии внедрения и использования автоматизированных систем на полигонах железнодорожной сети.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Владение ПК на уровне опытного пользователя (Windows, MS Office);</li> <li>Высшее техническое образование (приветствуется железнодорожное в области управления перевозками);</li> <li>Приветствуется хорошее алгоритмическое мышление и наличие базовых навыков программирования.</li> </ul> <p><strong>Личные качества:</strong></p> <ul> <li>Готовность к общению и взаимодействию со специалистами железной дороги – пользователями системы;</li> <li>Высокая обучаемость, ответственность и организованность, хорошие коммуникативные навыки, вежливость и доброжелательность;</li> <li>Готовность к командировкам.</li> </ul> <strong>Условия:</strong> <ul> <li>Много интересной работы в хорошей компании;</li> <li>Комфортные условия в офисе в районе м. «Алексеевская»;</li> <li>Соблюдение ТК РФ;</li> <li>Возможны командировки.</li> </ul>",Полная занятость,Полный день,Нет опыта,|Работа в команде|MS Office,,,,,инженер по внедрению и сопровождению по,"Владение ПК на уровне опытного пользователя (Windows, MS Office). Высшее техническое образование (приветствуется железнодорожное в области управления перевозками). ","Взаимодействие с пользователями системы (инженерами-технологами), их обучение, сопровождение и техническая поддержка. Получение, систематизация и анализ запросов, обращений и предложений...",4
Москва,Спортмастер,2019-12-02T10:09:25+0300,"<p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Обеспечение функционирования IT сервисов в магазинах компании</li> <li>Устранение инцидентов с IT оборудованием в магазинах Компании</li> <li>Изучение функционала ПО собственной разработки и его последующая поддержка</li> <li>Удаленная поддержка пользователей, диагностика и обслуживание ПК, оргтехники и торгово-кассового оборудования</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Знание операционных систем семейства Windows на уровне продвинутого пользователя</li> <li>Базовые знания Unix систем</li> <li>Навыки установки и настройки операционных систем и приложений</li> <li>Опыт поддержки торгово-кассового оборудования</li> <li>Знание принципов работы сети Ethernet и основных сетевых протоколов</li> </ul> <p><strong>Став частью Sportmaster Lab, вы получите:</strong></p> <ul> <li>Работу в крупной стабильной российской компании - лидере на рынке розничной торговли товарами для спорта и отдыха</li> <li>Перспективы профессионального, карьерного и финансового роста</li> <li>Офис - м. Аэропорт</li> <li>График работы: 5/2; 8.00-17.00, 9.00-18.00 или 10.00-19.00 (можно выбрать), либо 2\2; 9.00-21.00</li> <li>Дисконтная карта на продукцию магазинов сети</li> <li>Полугодовые премии в размере 50% от суммы ежемесячного дохода</li> <li>Корпоративные скидки на различные виды страхования и кредитования</li> <li>Корпоративные программы спорта и отдыха</li> <li>Организованное питание в офисе (компенсация питания);</li> <li>Обучение и сертификация за счет компании</li> </ul>",Полная занятость,Гибкий график,От 1 года до 3 лет,,3.0,,1.0,,инженер технической поддержки,Знание операционных систем семейства Windows на уровне продвинутого пользователя. Базовые знания Unix систем. Навыки установки и настройки операционных систем и...,Обеспечение функционирования IT сервисов в магазинах компании. Устранение инцидентов с IT оборудованием в магазинах Компании. Изучение функционала ПО собственной разработки...,11
Москва,Почта России,2019-12-05T11:48:13+0300,"<strong>Обязанности:</strong> <ul> <li>Поддержка пользователей, установка и настройка ОС Windows, мобильные ОС, ПО MS Office;</li> <li>Обеспечение технического обслуживания вычислительной и оргтехники;</li> <li>Консультация и техническая поддержка пользователей;</li> <li>Организация рабочих мест пользователей;</li> <li>Поддержка ПО на рабочих пользователей;</li> <li>Замена картриджей.</li> </ul> <strong>Требования:</strong> <ul> <li>Образование высшее;</li> <li>Необходимы знания ИТ инфраструктуры;</li> <li>Способность самостоятельно принимать решения в рамках своей компетенции;</li> <li>Иметь высокую работоспособность, аналитический склад ума, стратегическое мышление;</li> <li>Быть общительным, коммуникабельным, корректным, вместе с тем требовательным и настойчивым, уметь добиваться поставленной цели;</li> <li>Быть объективным к себе и коллегам;</li> <li>Умение координировать деятельность с другими структурными подразделениями Предприятия;</li> <li>Обязан соблюдать конфиденциальность персональных данных;</li> <li>Уверенный пользователь ПК, MS Office, знание ОС Windows.</li> </ul> <strong>Условия:</strong> <ul> <li>Работу в крупной стабильной компании;</li> <li>Полное соблюдение трудового законодательства РФ;</li> <li>Достойный уровень вознаграждения по итогам собеседования;</li> <li>График работы 5/2;</li> <li>ДМС после испытательного срока;</li> <li>Льготное кредитование в «Почта Банке», выгодные предложения от компаний-партнеров.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Настройка ПК|Windows 7|Настройка ПО|Windows Xp|Информационные технологии,3.0,,1.0,,инженер технической поддержки,"Образование высшее. Необходимы знания ИТ инфраструктуры. Способность самостоятельно принимать решения в рамках своей компетенции. Иметь высокую работоспособность, аналитический склад ума...","Поддержка пользователей, установка и настройка ОС Windows, мобильные ОС, ПО MS Office. Обеспечение технического обслуживания вычислительной и оргтехники. ",8
Москва,"Копи-Групп, Компания",2019-11-18T15:38:38+0300,<p>требуется инженер по ремонту оргтехники</p> <p><strong>обязанности</strong>:</p> <ul> <li>ремонт оргтехники на выезде по г. Москве</li> </ul> <p><strong>требования</strong>:</p> <ul> <li>опыт работы от одного года.</li> <li>Аккуратность и исполнительность.</li> <li>Вежливость и опрятность.</li> <li>Пунктуальность.</li> </ul> <p><strong>условия</strong>:</p> <ul> <li>оклад + премии</li> <li>полностью оплачивается проезд включая маршрутки</li> <li>полностью оплачивается безлимитная мобильная связь с интернетом</li> <li>полностью оплачивается отпуск 28 календарных дней в любой месяц по вашему выбору</li> <li>оплачивается больничный</li> <li>оформление согласно ТК РФ</li> </ul>,Полная занятость,Полный день,От 1 года до 3 лет,"|Аккуратность, исполнительность, пунктуальность",3.0,60000.0,1.0,50000.0,инженер по ремонту оргтехники,Опыт работы от одного года. Аккуратность и исполнительность. Вежливость и опрятность. Пунктуальность.,Ремонт оргтехники на выезде по г. Москве.,25
