city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,Лига Кода,2019-11-25T13:05:26+0300,"<p>Доброго дня, коллеги!</p> <p>В команду требуются Консультанты 1С с опытом внедрения 1С ERP.</p> <p>Удаленно. Фулл-тайм.</p> <p>Проектный формат работы. Например, текущий актуальный проект - примерно на 1,5 года.</p> <p><strong>Обязанности:</strong></p> <ul> <li>работа в команде внедрения</li> <li>сбор требований, написание ТЗ, постановка задач программистам, консультирование пользователей</li> </ul> <strong>Требования:</strong> <ul> <li>знание как минимум 1-2 блоков 1С ERP (БУ/НУ, УУ, Производство, Бюджетирование, МСФО, ЗУП)</li> <li>опыт проектной работы консультантом от 3 лет</li> <li>наличие сертификатов 1С как преимущество</li> </ul> <strong>Условия:</strong> <ul> <li>полностью удаленный формат</li> <li>проектная загрузка</li> </ul> <p>PS Если вы больше программист, чем консультант - также откликайтесь, пообщаемся.</p>",Полная занятость,Удаленная работа,От 3 до 6 лет,|Консультирование|1С: Управление предприятием|ERP-системы на базе 1С,6.0,100000.0,3.0,80000.0,консультант 1с erp,"Знание как минимум 1-2 блоков 1С ERP (БУ/НУ, УУ, Производство, Бюджетирование, МСФО, ЗУП). Опыт проектной работы консультантом...","Работа в команде внедрения. Сбор требований, написание ТЗ, постановка задач программистам, консультирование пользователей.",26,консультант
Москва,Банк ВТБ (ПАО),2019-12-11T15:51:40+0300,"<strong>Обязанности:</strong> <ul> <li>работа с клиентами отделения ;</li> <li>продажа банковских продуктов;</li> <li>консультирование по банковским продуктам;</li> <li>выявление потребности клиента, направление к специалисту;</li> <li>обучение клиента работе в зонах самообслуживания.</li> </ul> <strong>Требования:</strong> <ul> <li>высшее-неоконченное высшее образование( финансовое/экономическое/юридическое);</li> <li>знание банковских бизнес-процессов и банковских продуктов приветствуется;</li> <li>наличие опыта консультирования и продаж приветствуется.</li> </ul> <strong>Условия:</strong> <ul> <li>трудоустройство согласно Законодательству</li> <li>конкурентная заработная плата</li> <li>профессиональное обучение и развитие;</li> <li>добровольное медицинское страхование. льготные условия кредитования;</li> <li>корпоративная пенсионная программа,материальная помощь;</li> <li>спортивная жизнь и корпоративные мероприятия;</li> <li>возможность построить карьеру в ведущем банке России.</li> </ul>",Полная занятость,Полный день,Нет опыта,|Продажа страховых продуктов|Обучение и развитие|Клиентоориентированность|Консультирование|Прямые продажи,,100000.0,,80000.0,консультант,Высшее-неоконченное высшее образование( финансовое/экономическое/юридическое). Знание банковских бизнес-процессов и банковских продуктов приветствуется. Наличие опыта консультирования и продаж...,"Работа с клиентами отделения . Продажа банковских продуктов. Консультирование по банковским продуктам. Выявление потребности клиента, направление к специалисту. Обучение клиента работе...",9,консультант
Москва,Валта,2019-12-09T10:57:45+0300,"<p>В крупную Российскую дистрибьютерскую компанию (лидер на рынке зоопродукции премиум класса) приглашается специалист технической поддержки 1С.</p> <p>Нам требуется специалист на поддержку нетиповой конфигурации на платформе 1С УПП.</p> <p><em><strong>Обязанности:</strong></em></p> <ul> <li>выполнение заявок от пользователей согласно SLA (2-ая линия техподдержки);</li> <li>консультирование пользователей по работе в базе 1С УПП;</li> <li>эскалация заявок на доработку функционала на 3-ью линию техподдержки (отдел разработки);</li> <li>участие в тестировании новой функциональности базы 1С УПП;</li> <li>участие в формировании пользовательской документации и наполнении корпоративной справочной системы.</li> </ul> <p><em><strong>Наши пожелания:</strong></em></p> <ul> <li>знание 1С платформы 8 и основных механизмов;</li> <li>опыт работы с запросами 1С;</li> <li>опыт работы в сопровождении базы на платформе 1С;</li> <li>стремление качественно выполнить свою работу;</li> <li>вежливое отношение к коллегам и пользователям;</li> <li>умение сохранять спокойствие в стрессовых ситуациях;</li> <li>честность и добросовестность;</li> <li>инициативность, готовность к самостоятельному изучению информации;</li> <li>высшее образование (техническое).</li> </ul> <p><strong><em>Желательны (но не обязательны):</em></strong></p> <ul> <li>опыт работы в должности администратора или специалиста поддержки 1С;</li> <li>наличие сертификатов по 1С;</li> <li>опыт программирования в 1С.</li> </ul> <p><em><strong>Условия:</strong></em></p> <ul> <li>оклад + ежеквартальные премии (KPI), обсуждается с успешным кандидатом;</li> <li>официальная заработная плата, полное соблюдение ТК РФ;</li> <li>работа исключительно на территории работодателя в г. Москве (ЮАО);</li> <li>график работы: обсуждается с руководителем.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|1С программирование|1С: Предприятие 8|1С: Управление Производственным Предприятием|1С: Документооборот|Google Chrome,6.0,100000.0,3.0,80000.0,консультант 1с,Знание 1С платформы 8 и основных механизмов. Опыт работы с запросами 1С. Опыт работы в сопровождении базы на...,Выполнение заявок от пользователей согласно SLA (2-ая линия техподдержки). Консультирование пользователей по работе в базе 1С УПП. ,12,консультант
Москва,MASTERDATA,2019-12-09T14:26:44+0300,"<p>Приглашаем в свою команду <strong>консультанта CRM.</strong></p> <p><strong>Задачи:</strong></p> <ul> <li>Изучение SAP CRM, если отсутствует релевантный опыт - учим!</li> <li>Сбор и формализация требований, согласование их с бизнес-заказчиком</li> <li>Составление ТЗ и подготовка проектной документации</li> <li>Моделирование и регламентация CRM-процессов</li> <li>Настройка приложения, используя функциональность SAP</li> <li>Разработка инструкций пользователей</li> <li>Обучение пользователей</li> </ul> <p><strong>Пожелания к успешному кандидату:</strong></p> <ul> <li>Знание методологии моделирования и инструментов моделирования бизнес-процессов</li> <li>Знание CRM-процессов, методологий описания бизнес-процессов и ведения IT-проектов</li> <li>Навыки по сбору требований, описанию бизнес-процессов и подготовке технических заданий на разработку</li> <li>Большим плюсом будет опыт настройки любой из систем SAP SD, MS Navision Axapta, Bitrix24, MS CRM, Oracle siebel или любой другой CRM системы</li> <li>Знание английского языка на уровне чтения технической документации</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Интересные проекты, в том числе международные</li> <li>Добровольное медицинское страхование</li> <li>Корпоративный английский язык</li> <li>Оформление по ТК РФ</li> <li>Конкурентную и официальную ЗП</li> <li>Современный офис в 5 минутах ходьбы от метро Автозаводская</li> <li>Молодую и энергичную команду</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|SAP SD|MS Navision Axapta|Bitrix24|MS CRM|Oracle Siebel CRM|amoCRM|SAP CRM,3.0,100000.0,1.0,80000.0,консультант sap сrm,"Знание методологии моделирования и инструментов моделирования бизнес-процессов. Знание CRM-процессов, методологий описания бизнес-процессов и ведения IT-проектов. ","Изучение SAP CRM, если отсутствует релевантный опыт - учим! Сбор и формализация требований, согласование их с бизнес-заказчиком. Составление ТЗ и...",11,консультант
Москва,Федеральное государственное унитарное предприятие ЦИТО,2019-12-04T09:04:15+0300,"<strong>Обязанности:</strong> <p>Участие в проекте внедрения 1С ERP на стороне заказчика</p> <p><strong>Регламентированный учет, бюджетирование, МСФО, казначейство, зарплата и кадровый учет, управленческая отчетность (БДДС, БДР).</strong></p> <p>Поддержка и администрирование программы 1С Предприятие 8.3 (ERP, Документооборот) в рабочем состоянии, диагностика и устранение ошибок.</p> <p>Доработка существующего функционала приложения, написание новых и доработка существующих отчетов, обработок, создание печатных форм, шаблонов и т.д.</p> <p>Тестирование и отладка работы программы после внесения изменений; Написание технической документации.</p> <p>Поддержка и консультирование пользователей.</p> <p>Обеспечение стабильной работы взаимосвязанных функциональных блоков программы. Создание механизмов интеграции с другими программами;</p> <p>Обновление конфигураций (типовых и не типовых)</p> <p>Администрирование доступа пользователей к базам 1С.</p> <strong>Требования:</strong> <p>Опыт работы: от 3 лет по специальности</p> <p>Опыт автоматизации казначейства, бюджетирования, управленческой отчетности (БДДС, БДР);</p> <p>Знание основ бухгалтерского и налогового учета, кадрового делопроизводства, механизмов расчета заработной платы, законодательства РФ;</p> <p>Опыт обновления и поддержки нетиповых конфигураций 1С;</p> <p>Опыт работы в крупных организациях с высоконагруженными системами является преимуществом;</p> <p>Аналитический склад ума, системный подход к решению поставленных задач, организованность, внимательность к деталям;</p> <p>Наличие сертификатов является преимуществом.</p> <strong>Условия:</strong> <p>Оформление в соответствии с ТК РФ</p> <p>Испытательный срок 3 месяца</p> <p>ДМС после года работы.</p>",Полная занятость,Полный день,От 3 до 6 лет,|ERP-системы на базе 1С,6.0,100000.0,3.0,80000.0,разработчик консультант 1с,"Опыт работы: от 3 лет по специальности. Опыт автоматизации казначейства, бюджетирования, управленческой отчетности (БДДС, БДР). Знание основ бухгалтерского и налогового...","Участие в проекте внедрения 1С ERP на стороне заказчика. Регламентированный учет, бюджетирование, МСФО, казначейство, зарплата и кадровый учет, управленческая...",17,консультант
Санкт-Петербург,Мед ИТ-Решения,2019-11-27T08:15:33+0300,"<p>Компания МЕД ИТ-Решения (www.medit.ru), один из лидеров в автоматизации лабораторной диагностики, объявляет об открытии вакансии «Консультанта/Специалиста по внедрению информационных систем в медицине».</p> <p><strong>Обязанности:</strong></p> <ul> <li>Управление проектами внедрения лабораторных информационных систем в государственных и частных медицинских учреждениях</li> <li>Описание рабочих процессов лабораторий различного профиля (Микробиологическая, КДЛ, Молекулярных методов, Цитогенетическая, Гистологическая и т.д.);</li> <li>Написание Технических заданий</li> <li>Оптимизация процессов с помощью внедрения информационных технологий;</li> <li>Предметное администрирование специализированных медицинских систем (МИС, ЛИС, РИС и т.д.) на этапе внедрения (заполнение справочников тестов, подключение анализаторов (в команде с системными администраторами), конфигурирование драйверов приборов, настройка правил и оповещений, настройка отчетов и т.д.)</li> <li>Обучение персонала Заказчика;</li> <li>Подготовка методических материалов;</li> <li>Поддержка внедренных систем;</li> <li>Участие в интеграционных работах.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Образование: высшее</li> <li>Опыт внедрения информационных систем в медицине приветствуется</li> <li>Умение выстраивать коммуникации как с Заказчиками, так и с разработчиками</li> <li>Аналитическое мышление</li> <li>Коммуникабельность, грамотная речь</li> <li>Знание методов разработки и согласования стандартных документов – Техническое задание, Календарный план и т.д.</li> <li>Английский язык - чтение технической документации.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Официальное трудоустройство согласно ТК РФ с первого дня работы.</li> <li>Заработная плата обсуждается на собеседовании.</li> <li>Социальный пакет (ДМС, бонусы, корпоративные мероприятия).</li> <li>График работы с 9.30 до 18.00 (пн.-пт.)</li> <li> <p>Тип занятости</p> <p>Полная занятость, полный день</p> </li> </ul>",Полная занятость,Полный день,Нет опыта,|Разработка технических заданий|Английский язык|Грамотная речь|Информационные технологии|Системное мышление,,133333.33333333334,,64166.666666666664,консультант специалист по внедрению информационных систем в медицине,"Образование: высшее. Опыт внедрения информационных систем в медицине приветствуется. Умение выстраивать коммуникации как с Заказчиками, так и с разработчиками. ","Управление проектами внедрения лабораторных информационных систем в государственных и частных медицинских учреждениях. Описание рабочих процессов лабораторий различного профиля (Микробиологическая, КДЛ...",24,консультант
Санкт-Петербург,Транспортно-логистическая группа «Трансойл»,2019-11-26T12:48:18+0300,"<strong>Обязанности:</strong> <ul> <li>Анализ предметной области и бизнес-задач подразделений-заказчиков;</li> <li>Участие в подготовке постановочной задачи;</li> <li>Разработка оптимального варианта реализации проекта/задачи в информационной системе;</li> <li>Подготовка технического задания программистам;</li> <li>Тестирование функционала по итогам разработки;</li> <li>Подготовка инструкций пользователя;</li> <li> <p>Участие в рабочих совещаниях по проектам внедрения.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы на аналогичной должности от одного года;</li> <li>Высшее образование (техническое, математическое);</li> <li>Опыт настройки модуля ММ (настройка оргструктуры ММ, настройка материалов, видов движения, классов оценки; настройка проводок);</li> <li>Опыт настройки модуля ТОРО (настройка оргструктуры, заказов ТОРО);</li> <li>Знание таблиц модуля ММ;</li> <li>Навыки ведения технической документации;</li> <li>Ведение ролей пользователей, навыки обучения пользователей;</li> <li>Навыки работы с MS Excel.</li> </ul> <strong>Условия:</strong> <ul> <li>Уровень зарплаты зависит от опыта кандидата и обсуждается индивидуально на интервью в Компании;</li> <li>Оформление по ТК РФ;</li> <li>Добровольное медицинское страхование;</li> <li>Возможность профессионального и карьерного роста;</li> <li>Офис: Петроградская наб., БЦ «Сити» (м. Горьковская, м. Пл. Ленина).</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,133333.33333333334,1.0,64166.666666666664,консультант sap,"Опыт работы на аналогичной должности от одного года. Высшее образование (техническое, математическое). Опыт настройки модуля ММ (настройка оргструктуры ММ, настройка...",Анализ предметной области и бизнес-задач подразделений-заказчиков. Участие в подготовке постановочной задачи. Разработка оптимального варианта реализации проекта/задачи в...,25,консультант
Санкт-Петербург,СИГМА,2019-11-21T13:33:32+0300,"<strong>Обязанности:</strong> <ul> <li>Консультирование пользователей, выявление их потребностей;</li> <li>Разработка документов «Руководство пользователя»;</li> <li>Участие на всех этапах внедрения</li> </ul> <strong>Требования:</strong> <ul> <li>Базовые навыки работы с 1С (на уровне уверенного пользователя);</li> <li>Развитые коммуникативные навыки;</li> <li>Знание любой конфигурации 1С;</li> <li>Понимание бухгалтерского, налогового или управленческого учета.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в одной из ведущих компаний разработчиков ИТ-решений в энергетическом секторе;</li> <li>Оформление и все социальные гарантии по ТК РФ;</li> <li>Квартальные премии по результатам работы;</li> <li>ДМС после испытательного срока;</li> <li>Профильные курсы, сертификация;</li> <li>Возможность доступа к корпоративной электронной библиотеке.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|1С: Предприятие 8|1С: Производство|1С: Документооборот,3.0,133333.33333333334,1.0,64166.666666666664,младший консультант 1с,Базовые навыки работы с 1С (на уровне уверенного пользователя). Развитые коммуникативные навыки. Знание любой конфигурации 1С. ,"Консультирование пользователей, выявление их потребностей. Разработка документов «Руководство пользователя». Участие на всех этапах внедрения.",29,консультант
Санкт-Петербург,OCS distribution,2019-11-29T16:20:42+0300,"<p><strong>OCS</strong> <strong>Distribution</strong> – лидер рынка IT дистрибуции России.</p> <p>Более 250 мировых производителей, обширная партнерская сеть, офисы в 27 городах России – это важные сведения, но вовсе не основная гордость нашей компании.</p> <p>Более 2000 человек по всей стране работают в OCS, и мы гордимся каждым из них!</p> <p>Сейчас в отдел развития информационных систем мы ищем <strong>Консультанта развития Microsoft Dynamics AX.</strong></p> <p><strong>Содержание работы:</strong></p> <ul> <li>анализ и описание бизнес-процессов;</li> <li>подготовка технических заданий на доработку системы;</li> <li>тестирование новой функциональности;</li> <li>подготовка инструкций для пользователей;</li> <li>поддержка пользователей Dynamics AX (2-я линия)</li> </ul> <p><strong>Требуемые навыки:</strong></p> <ul> <li>опыт работы с ERP-системами;</li> <li>опыт подготовки технических заданий на доработку;</li> <li>опыт поддержки пользователей (написание инструкций, работа с обращениями, обучение);</li> <li>высшее техническое/ экономическое/ математическое образование.</li> </ul> <p><strong>Дополнительным преимуществом будут:</strong></p> <ul> <li>знание функциональности DAX (общие знания по всем модулям + подробные знания по модулям «Расчеты с поставщиками» и «Управление запасами»);</li> <li>знание структуры данных DAX;</li> <li>базовые знания (понимание логики) языка X++;</li> <li>базовые знания основ бух.учета;</li> <li>знание языка запросов SQL.</li> </ul> <p><strong>Мы готовы предложить успешным кандидатам: </strong></p> <ul> <li>влиться в дружный коллектив позитивных трудоголиков;</li> <li>стать частью яркой команды увлеченных, целеустремленных людей;</li> <li>участвовать в программах обучения и развития сотрудников;</li> <li>оплачиваемые отпуска и больничные, &quot;белая&quot; заработная плата дважды в месяц;</li> <li>рабочий график – пятидневка с 10 до 18 часов;</li> <li>уютный офис около ст. метро «Лесная».</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,133333.33333333334,1.0,64166.666666666664,консультант развития информационных систем,"Опыт работы с ERP-системами. Опыт подготовки технических заданий на доработку. Опыт поддержки пользователей (написание инструкций, работа с обращениями, обучение). ",Анализ и описание бизнес-процессов. Подготовка технических заданий на доработку системы. Тестирование новой функциональности. Подготовка инструкций для пользователей. ,21,консультант
Санкт-Петербург,НПК КАТАРСИС,2019-12-12T11:33:42+0300,"<p><strong>Обязанности</strong>:</p> <ul> <li>Обработка обращений пользователей: письменно и устно.</li> <li>Участие во внедрении программного комплекса у клиента (настройка ПО на месте).</li> <li>Консультирование пользователей‚ их обучение.</li> <li>Составление инструкций по работе с системой для пользователей и другой документации.</li> <li>Проведение вебинаров, семинаров.</li> <li>Разработка обучающих видеороликов.</li> </ul> <p> </p> <p><strong>Требования</strong>:</p> <ul> <li>Высшее образование в области информационных технологий, педагогическое (информатика, математика, физика).</li> <li>Продвинутый пользователь ПК.</li> <li>Готовность к частым непродолжительным командировкам.</li> <li>Опыт работы в сопровождении прикладного программного обеспечения, внедрении ПО (НЕ системным администратором).</li> <li>Опыт работы в одной из систем Help Desk.</li> <li>Умение быстро переключаться, оперативно находить решения.</li> <li>Грамотная устная и письменная речь.</li> <li>Обучаемость (готовность разобраться в функционале программного продукта, предметной области).</li> </ul> <p> </p> <p><strong>Условия</strong>:</p> <ul> <li>Офис в БЦ &quot;Воронцовъ&quot;, 10 мин. пешком от ст.м. &quot;Чкаловская&quot;.</li> <li>Пятидневная рабочая неделя, гибкий график: с 8.00-10.00 до 17.00-19.00.</li> <li>Командировки по РФ.</li> <li>Официальное оформление.</li> <li>ДМС</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,133333.33333333334,1.0,45000.0,консультант,"Высшее образование в области информационных технологий, педагогическое (информатика, математика, физика). Продвинутый пользователь ПК. Готовность к частым непродолжительным командировкам. ",Обработка обращений пользователей: письменно и устно. Участие во внедрении программного комплекса у клиента (настройка ПО на месте). Консультирование пользователей‚ их...,9,консультант
