city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,VIS.center,2019-11-16T14:51:54+0300,"<p>Приглашаем в нашу дружную команду Интернет-маркетолога.<br />Если ты амбициозен, креативен, обладаешь аналитическими способностями не боишься делать работу руками, а главное - имеешь огромное желание развиваться в интернет-маркетинге, значит мы ждем именно тебя!<br /></p> <p><strong>Что делать:</strong></p> <ul> <li>Разработка и реализация комплексной маркетинговой стратегии</li> <li>Исследование рынка, анализ конкурентов</li> <li>Медиапланирование и бюджетирование (в т.ч. оптимизация расходов)</li> <li>Управление рекламными кампаниями и понимание принципов работы основных инструментов привлечения трафика: SEO, контекстная реклама, медийная реклама, социальные сети</li> <li>Постановка и контроль KPI</li> <li>Подготовка презентаций, аналитических отчетов и рекомендаций по развитию сайта</li> <li>Разработка и внедрение стратегии email-маркетинга</li> <li>Работа с базой (сегментация, реактивация, персонализация)</li> <li>Разработка SMM–стратегии и контент-планов</li> <li>Ведение и развитие групп в социальных сетях</li> <li>Проведение А/B тестирований</li> <li>Взаимодействие с отделом разработки по вопросам оптимизации сайта<br /></li> </ul> <p><strong>Что уметь:</strong></p> <ul> <li>Опыт работы с CMS Битрикс / CRM Битрикс24</li> <li>Опыт работы с системами Аналитики G.Analytics и Я.Метрика</li> <li>Знание рекламных кабинетов контекстной и таргетированной рекламы</li> <li>Опыт работы с ESP - как преимущество<br /></li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Свободу действий в принятии решений</li> <li>Интересные проекты <ul> <li>Интернет-магазины (E-commerce)</li> <li>Корпоративные порталы (Intranet / CRM)</li> <li>iOS / Android приложения</li> </ul> </li> <li>Стабильная зарплата, возможность карьерного и финансового роста</li> <li>В офисе кофе-машина, чай, печеньки, фрукты, дартс и PS4</li> <li>Работа полный день 5/2, в офисе в 5 минут от метро</li> <li>Возможность гибкого графика</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,маркетолог,Опыт работы с CMS Битрикс / CRM Битрикс24. Опыт работы с системами Аналитики G.Analytics и Я.Метрика. Знание рекламных кабинетов контекстной...,"Разработка и реализация комплексной маркетинговой стратегии. Исследование рынка, анализ конкурентов. Медиапланирование и бюджетирование (в т.ч. оптимизация расходов). ",27
Москва,Планета здоровья,2019-12-13T08:00:13+0300,"<strong>Обязанности:</strong> <ul> <li>Продвижение мобильного приложения;</li> <li> <p>Маркетинговые исследования интернет-рынка, продукта, конкурентов;</p> </li> <li> <p>Анализ спроса;</p> </li> <li> <p>Разработка стратегии продвижения компании в интернете; </p> </li> <li> <p>Создание модели позиционирования бренда;</p> </li> <li> <p>Проведение мероприятий для повышения лояльности потребителей;</p> </li> <li> <p>Медиапланирование: организация, проведение, контроль рекламных кампаний;</p> </li> <li> <p>Анализ посещаемости веб-ресурса, эффективности рекламных материалов; </p> </li> <li> <p>SEO-аудит, продвижение сайта в поисковых системах по ключевым запросам.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Высшее образование;</li> <li>Структурированность, аналитическое мышление, аккуратность в работе;</li> <li>Продвинутый пользователь Google Analytics, Яндекс.Метрика;</li> <li>Знание основ SEO.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в офисе или удаленно;</li> <li>Официальное трудоустройство, полный соц.пакет;</li> <li>Работа в стабильной, развивающейся компании;</li> <li>Возможность обучения и карьерного роста;</li> <li>Комфортный офис в центре города;</li> <li>Насыщенная корпоративная жизнь.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,,6.0,,3.0,,маркетолог,"Высшее образование. Структурированность, аналитическое мышление, аккуратность в работе. Продвинутый пользователь Google Analytics, Яндекс.Метрика. Знание основ SEO.","Продвижение мобильного приложения. Маркетинговые исследования интернет-рынка, продукта, конкурентов. Анализ спроса. Разработка стратегии продвижения компании в интернете. Создание модели позиционирования...",0
Москва,"Киприно, Производственный холдинг",2019-11-29T12:29:35+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Разработка и реализация стратегии интернет-продвижения продуктов компании</p> <p>- Администрирование и развитие сайта:</p> <p>- Инициирование и реализация изменений на сайте компании (постановка задач, контроль выполнения, тестирование).</p> <p>- Управление контентом сайта (разработка при взаимодействии с копирайтерами, дизайнерами)</p> <p>- SEO-мониторинг, деятельность в области SEO -продвижения</p> <p>- SMM:</p> <p>- Разработка и реализация SMM стратегии ведения групп бренда,</p> <p>- Ведение групп бренда в соц.сетях ( VK, Facebook, Instagram),</p> <p>- Подготовка контента (тексты, фото, видео) и SMM-активностей, реализация идей по контенту с подрядчиками</p> <p>- Мониторинг и управление репутацией бренда в социальных сетях, блогах и форумах, на тематических сайтах и порталах, сервисах отзывов</p> <p>- Формирование сводных отчетов по всем площадкам: отзывы, рейтинги, статистика</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Высшее профильное образование</li> <li>Опыт работы от 2-х лет</li> </ul> <strong>Условия:</strong> <ul> <li>График работы 5/2</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,120000.0,маркетолог,Высшее профильное образование. Опыт работы от 2-х лет.,Разработка и реализация стратегии интернет-продвижения продуктов компании. - Администрирование и развитие сайта: - Инициирование и реализация изменений на сайте компании (постановка...,14
Москва,МАКСИМА,2019-11-29T13:02:23+0300,"<p>Наш заказчик – ведущая торгово-производственная компания в сфере строительных материалов приглашает в свою команду Интернет-маркетолога<br /><strong>Ваши задачи будут следующими:</strong></p> <ul> <li> <p>Анализ существующей стратегии интернет продвижения по направлению SMM и контент-маркетинга.</p> </li> <li> <p>Анализ интернет-продвижения конкурентов.</p> </li> <li> <p>Разработка и реализация стратегии интернет продвижения по вверенным ресурсам.</p> </li> <li> <p>Ведение групп в соц. сетях, привлечение целевой аудитории, анализ эффективности.</p> </li> <li> <p>Управление и продвижение канала YouTube.</p> </li> <li> <p>Управление таргетированной рекламой в социальных сетях, разработка рекламных кампаний.</p> </li> <li> <p>Работа с комментариями, отзывами, негативом.</p> </li> <li> <p>Емейл-маркетинг.</p> </li> <li> <p>Ведение документации по подрядчикам, составление договоров, контроль и проведение оплат.</p> </li> <li> <p>Подготовка отчетов и презентаций по выполненной работе.</p> <p> </p> </li> </ul> <p><strong>От Вас потребуется:</strong></p> <ul> <li> <p>Опыт ведения интернет-проектов (SMM, емейл-маркетинг, community management, таргетированная реклама) от одного года.</p> </li> <li> <p>Знание основ веб-аналитики и понимание показателей эффективности социальных сетей.</p> </li> </ul> <p><strong>Компания предлагает:</strong></p> <ul> <li>Официальная заработная плата + годовая премия (обсуждается индивидуально на собеседовании).</li> <li>Оформление по ТК РФ, полный социальный пакет.</li> <li>ДМС, компенсация обедов, мобильной связи.</li> <li>График работы 5/2 (возможность работать 2 дня удаленно/3 дня в офисе)</li> <li>Место работы: м. Проспект Мира.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,маркетолог,"Опыт ведения интернет-проектов (SMM, емейл-маркетинг, community management, таргетированная реклама) от одного года. Знание основ веб-аналитики и понимание...",Анализ существующей стратегии интернет продвижения по направлению SMM и контент-маркетинга. Анализ интернет-продвижения конкурентов. Разработка и реализация стратегии интернет...,14
Москва,Ростелеком-Солар,2019-11-27T17:32:05+0300,"<p><strong>Кто мы такие?</strong></p> <p><strong>Ростелеком-Солар</strong>, компания группы ПАО «Ростелеком», — национальный провайдер сервисов и технологий для защиты информационных активов, целевого мониторинга и управления информационной безопасностью. Мы активно растем и расширяем команду – сейчас в наших офисах в Москве и регионах работает уже больше 500 человек, и мы не собираемся останавливаться на достигнутом.</p> <p><strong>Кого мы ищем?</strong></p> <p>В нашу команду интернет-маркетинга мы ищем digital-маркетолога на задачи лидогенерации.</p> <p><strong>Чем вы будете заниматься?</strong></p> <ul> <li>Разработка, планирование, бюджетирование, запуск и отслеживание эффективности рекламы в интернете с целью выполнения плана по лидогенерации;</li> <li>Продвижение продуктов и сервисов через контекст и SEO, как самостоятельно, так и с помощью подрядчиков;</li> <li>Работа с системами учета и аналитики лидогенерации, мониторинг показателей;</li> <li>Предложения по оптимизации / поиск путей снижения стоимости лидов, формирование ценовой политики;</li> <li>Проведение A/B тестирования, сегментирование, анализ конкурентов;</li> <li>Подготовка и внедрение рекомендаций по улучшению рекламных кампаний и аналитики;</li> <li>Контроль бизнес показателей и воронки продаж;</li> <li>Аналитика эффективности, подготовка отчетов.</li> </ul> <p><strong>Что нам важно?</strong></p> <ul> <li>Опыт работы в B2B от 2-х лет;</li> <li>Достижения в области лидогенерации на предыдущих местах работы, опыт эффективной лидогенерации;</li> <li>Умение создавать конверсионные посадочные страницы;</li> <li>Умение анализировать рынок;</li> <li>Умение организовывать и вести рекламные кампании в Интернете в B2B направлении;</li> <li>Знание современных методов SEO продвижения;</li> <li>Умение контролировать работу по контекстной рекламе;</li> <li>Знание веб-технологий;</li> <li>Высшее образование.</li> </ul> <p><em>Дополнительно:</em></p> <ul> <li>Приветствуется опыт работы в рекламных агентствах или компаниях с SEO продвижением;</li> <li>Базовые знания JavaScript.</li> </ul> <p><strong>Что мы предлагаем?</strong></p> <ul> <li>Конкурентная зарплата+бонусы по результатам;</li> <li>Отличная команда профессиональных коллег;</li> <li>Реальные возможности для развития и реализации профессиональных идей и амбиций;</li> <li>Современный офис с видом на Кремль в 2 минутах от метро Охотный ряд;</li> <li>Социальный пакет: ДМС, оплата обучения, скидки на фитнес и другие партнерские программы, бесплатный доступ к корпоративным библиотекам с сотнями книг;</li> <li>Хороший кофе, вкусности на кухне, много драйва и интересной жизни и мероприятий внутри компании.</li> </ul> <p><strong>Если у вас остались вопросы или нет готового резюме, но вакансия интересна — свяжитесь со мной, мои контакты ниже!</strong></p>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,маркетолог,"Опыт работы в B2B от 2-х лет. Достижения в области лидогенерации на предыдущих местах работы, опыт эффективной...","Разработка, планирование, бюджетирование, запуск и отслеживание эффективности рекламы в интернете с целью выполнения плана по лидогенерации. Продвижение продуктов и сервисов...",16
Москва,ФОРСАЙТ ЛАБ,2019-11-26T15:48:08+0300,"<p>Мы - творческая и молодая команда, выпускаем классные технологичные FMCG продукты, работаем с глобальными спортивными брендами и крупным ритейлом. Ищем в команду интернет-маркетолога.</p> <p> Ты - креативный и проактивный специалист, готовый расти и развиваться, обладаешь аналитическим складом ума. У тебя активная жизненная позиция, широкий кругозор, наличие ярких увлечений (спорт, музыка, иные яркие хобби). </p> <p>Что нужно будет делать:</p> <ul> <li>Разрабатывать и реализовывать диджитал-стратегии брендов компании</li> <li>Поддерживать и оптимизировать функционирование 2х сайтов</li> <li>Работать с каналами привлечения и их настройкой (SEO, контекстная реклама, медийно-баннерная реклама, SERM, объявления на тематических площадках, RTB и т.п.)</li> <li>Диджитал инструментами поддерживать и обеспечивать спрос на продукцию в онлайн и оффлайн каналах</li> <li>Работать с подрядчиками и маркетинговой командой</li> <li>Планировать, вести проекты и готовить отчеты по результатам</li> </ul> <p>Наш человек:</p> <ul> <li>Более 3х лет работал в области интернет-маркетинга</li> <li>Имеет опыт работы с online-каналами привлечения и их самостоятельной настройки (SEO, контекстная реклама, медийно-баннерная реклама, SERM, объявления на тематических площадках, RTB и т.п.)</li> <li>Любит и умеет формировать и тестировать гипотезы</li> <li>Принимает решения на основе данных и аналитики</li> <li>Имеет завершенные и успешные проектов. Был это фриланс, или работа в компании, нам совершенно неважно;</li> </ul> <p>Условия:</p> <ul> <li>Работа в команде творческих и молодых;</li> <li>Работа с глобальными спортивными и FMCG брендами, высокий уровень свободы и ответственности;</li> <li>Трудоустройство по ТК РФ;</li> <li>Полный день (с 10 до 19) или частично-удаленная работа;</li> <li>Профессиональный и карьерный рост;</li> <li>Офис возле м. Киевская.</li> </ul> <p>В отклике расскажите пару слов о себе и пришлите свои успешные кейсы. Отклики без кейсов рассматривать не будем!</p> <p> </p>",Полная занятость,Гибкий график,От 3 до 6 лет,|Контекстная реклама|Internet Marketing|Интернет-реклама|Adobe Photoshop|SEO,6.0,,3.0,80000.0,маркетолог,Более 3х лет работал в области интернет-маркетинга. Имеет опыт работы с online-каналами привлечения и их самостоятельной настройки...,Разрабатывать и реализовывать диджитал-стратегии брендов компании. Поддерживать и оптимизировать функционирование 2х сайтов. Работать с каналами привлечения и их...,17
Москва,ЛучикС-Фарм,2019-12-12T12:43:10+0300,"<p><strong>Должностные обязанности: </strong></p> <ul> <li>Развитие и продвижение торговых марок компании в сети интернет;</li> <li>Доработка и ведение сайта компании: наполнение контентом, SEO-продвижение, оптимизация и администрирование;</li> <li>Создание высококонверсионных лэндинговых страниц по продукции и проведение рекламных компаний (контекст, РСЯ и т.д.);</li> <li>Взаимодействие с интернет-магазинами партнеров на предмет корректности контента и возможных инструментов продвижения (баннеры, статьи, товары аналоги и т.п.);</li> <li>SMM продвижение: блоггеры, аккаунты компании в соц.сетях, реклама, акции и конкурсы с соц.сетях;</li> <li>Поиск, взаимодействие и координация работ с подрядчиками;</li> <li>Формирование отчетности по эффективности используемых инструментов.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <p> </p> <ul> <li>Профильный опыт работы от 3-х лет</li> <li>Владение инструментами интернет-маркетинга и веб-аналитики</li> <li>Практические навыки лидогенерации, понимание HTML/PHP</li> <li>Грамотная устная и письменная речь</li> <li>Исполнительность, ориентация на результат</li> <li>Наличие успешно реализованных проектов будет большим преимуществом</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>График работы 5/2 с 9-00 до 18-00</li> <li>Стабильная выплата заработной платы два раза в месяц</li> <li>Оформление в соответствии с ТК РФ</li> <li>Дружный коллектив</li> <li>Интересные профессиональные задачи</li> </ul> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|SMM|Контекстная реклама|Копирайтинг|SEO оптимизация|Ведение групп в социальных сетях,3.0,,1.0,50000.0,маркетолог,"Профильный опыт работы от 3-х лет. Владение инструментами интернет-маркетинга и веб-аналитики. Практические навыки лидогенерации, понимание HTML/PHP. ","Развитие и продвижение торговых марок компании в сети интернет. Доработка и ведение сайта компании: наполнение контентом, SEO-продвижение, оптимизация и...",1
Москва,B2B.CASH LIMITED,2019-12-02T15:40:07+0300,"<p><strong><em>Если ты креативный, талантливый, амбициозный, инициативный, подходишь по параметрам описанным ниже. Добро пожаловать в нашу команду!</em></strong></p> <p><strong>Должностные обязанности:</strong></p> <ul> <li>Продвижение проекта по всему миру</li> <li>Разработка маркетинговой стратегии</li> <li>Создание сайтов от сайтов-визиток до интернет-магазинов.<br />ретартегинг и рекламные сети<br />Таргетированная реклама в социальных сетях<br />Партнерские сети<br />Реклама через блогеров<br />Продвижение в социальных сетях:<br />VK<br />Instagram<br />Facebook<br />SEO<br />SER</li> </ul> <p> </p> <p><strong>Требования</strong></p> <ul> <li>Ключевые навыки работы: SMM, контент, email рассылка</li> <li>Медийная, таргетированная реклама</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Заработная плата по результатам собеседования</li> <li>Удаленная работа</li> </ul>",Полная занятость,Удаленная работа,От 3 до 6 лет,|Ведение групп в социальных сетях,6.0,,3.0,,маркетолог,"Ключевые навыки работы: SMM, контент, email рассылка. Медийная, таргетированная реклама.",Продвижение проекта по всему миру. Разработка маркетинговой стратегии. Создание сайтов от сайтов-визиток до интернет-магазинов. Ретартегинг и рекламные сети. ,11
Москва,"Русские базовые информационные технологии, Научно-производственное объединение",2019-12-09T10:58:00+0300,"<p><strong>В Astra Linux, одну из компаний холдинга Русбитех, требуется</strong> <strong> менеджер по маркетингу.</strong></p> <p>Компания Astra Linux — лидер российского рынка информационных технологий в области разработки программного обеспечения, в том числе операционных систем семейства Astra Linux и платформ виртуализации. Мы на рынке с 2008 года и уверенно опережаем конкурентов в части успешных внедрений на рынке B2B и B2G.</p> <p>В нашем активе сегодня:</p> <p>- заслуженная репутация лидера импортозамещения в сфере IT</p> <p>- более 50 успешных кейсов замещения западного ПО нашими продуктами</p> <p>- первое место на рынке российских операционных систем</p> <p>- более 1 млн проданных лицензий</p> <p>- пул заказчиков, среди которых ведущие российские корпорации, а также министерства и ведомства РФ</p> <p>- более 200 человек, включая разработчиков, специалистов техподдержки и сотрудников коммерческого блока</p> <p>- членство и совместная работа в международной некоммерческой организации The LinuxFoundation и Document Foundation</p> <p>- собственные запатентованные технологии защиты информации, не имеющие мировых аналогов</p> <p>Наша цель – к 2025 году стать национальным производителем программных продуктов №1, и мы уже перестраиваем российский IT-рынок, вытесняя западных вендоров и создавая собственную инфраструктуру информационных систем. Мы прирастаем не менее чем на 100% в год и не собираемся останавливаться на достигнутом. Наши продукты востребованы на международной арене: страны СНГ, Индия, ряд европейских государств и стран Азии уже проводят пилотные тестирования решений Astra Linux. Мы амбициозны, мы постоянно поднимаем планку для себя и для всего рынка, завышаем планы и перевыполняем их! Если ваша жизненная позиция совпадает с нашей – добро пожаловать в команду Astra Linux!</p> <p><strong>Обязанности:</strong></p> <ul> <li>Организация рассылок по парнерскому каналу</li> <li>Участие в организации мероприятий ( выставки, конференции, деловые ужины,бизнес-завтраки)</li> <li>Подготовка маркетинговых материалов для внутренних нужд компании и для партнеров компании, разработка макетов совместно с дизайнерами;</li> <li>Взаимодействие с подрядчиками, контроль поставок posm,</li> <li>взаимодействие с транспортными компаниями, контроль отправки маркетинговых материалов на мероприятия</li> <li>Составление отчетов проведенных мероприятий</li> <li>Взаимодействие с партнёрами, проведение совместных мероприятий;</li> <li><strong>Требования:</strong></li> <li>Опыт работы от года в маркетинге в IT, телекоммуникациях, интернет-проектах</li> <li>Уверенность в себе, проактивность, бодрость, мотивация всегда сделать чуточку больше и чуточку лучше</li> <li>Высокий уровень коммуникационных навыков</li> <li>Опыт разработки и выпуска рекламных материалов</li> <li>Опыт создания презентаций</li> <li>Опыт работы с подрядчиками: постановка задач, контроль исполнения</li> <li>Опыт проведения мероприятий различного уровня</li> <li>Опыт написания статей ( желательно)</li> </ul> <strong>Условия:</strong> <ul> <li>График работы 5/2, время работы с 10:00 до 19:00</li> <li>офис расположен в 3 минутах ходьбы от ст.м. Нагатинская</li> <li>Оформление по ТК РФ,оплачиваемые больничный и отпуск</li> <li>Конкурентная заработная плата</li> <li>Интересные задачи и возможности роста</li> <li>Бесплатная парковка рядом с метро</li> <li>Дружный коллектив</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Участие в профессиональных выставках|Планирование маркетинговых кампаний|Маркетинговые коммуникации,3.0,,1.0,,маркетолог,"Опыт работы от года в маркетинге в IT, телекоммуникациях, интернет-проектах. Уверенность в себе, проактивность, бодрость, мотивация всегда сделать чуточку...",членство и совместная работа в международной некоммерческой организации The LinuxFoundation и Document Foundation. Организация рассылок по парнерскому каналу. ,4
Москва,Lightman Solutions,2019-11-27T08:45:59+0300,"<p><strong>В компанию (федеральный интернет проект/доска объявлений) требуется Email-маркетолог</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Написание и форматирование текстов для e-mail рассылок, работа над увеличением конверсии рассылок;</li> <li>Формирование стратегии рассылок на проекте с “0”</li> <li>Генерация контента (текст+графическое сопровождение);</li> <li>Создание новых сегментированных триггерных цепочек (планирование, настройка, отправка);</li> <li>Оценка эффективности маркетинговых кампаний;</li> <li>Работа над улучшением KPI канала: тестирование условий, времени, контента, проверка гипотезы, аналитика результатов и формирование выводов;</li> <li>Постановка задачи в IT, дизайнеру, копирайтеру и другим коллегам.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в email-маркетинге, понимание того, какие задачи и как именно решает этот канал, какие у него есть ограничения и возможности;</li> <li>Навыки работы с email-сервисами, понимание логики их работы (Mailchimp, ExpertSender, Mindbox) – или другие</li> <li>Знание основ HTML и CSS, а также особенностей верстки рассылок;</li> <li>Базовые знания графических редакторов;</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работу на сдельной основе/частичная занятость;</li> <li>Достойный уровень дохода – за конкретно сделанную работу по предварительному согласованию</li> <li>Адекватных руководителей при постановке задач</li> <li>Быстрое принятие решений по обсуждаемым ТЗ</li> </ul>",Частичная занятость,Полный день,От 3 до 6 лет,|E-Mail Marketing|Google Analytics|Яндекс.Метрика,6.0,,3.0,,маркетолог,"Опыт работы в email-маркетинге, понимание того, какие задачи и как именно решает этот канал, какие у него есть ограничения...","Написание и форматирование текстов для e-mail рассылок, работа над увеличением конверсии рассылок. Формирование стратегии рассылок на проекте с “0”. ",16
