city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,КВ Солюшнс Групп,2019-11-26T13:21:07+0300,"<p>Cashwagon – динамично развивающаяся финтех компания, занимающаяся разработкой и поддержанием собственной цифровой платформы. С помощью сайта и мобильного приложения платформа Cashwagon обеспечивает онлайн доступ к различным финансовым продуктам для 80% жителей Индонезии, Шри-Ланки, Филиппин, Вьетнама, Малайзии, практически исключенным из сложившейся финансовой системы стран. Благодаря использованию своих инновационных разработок компания позволяет сделать финансовые продукты компаний-партнеров - кредиты, инвестиции и в скором будущем кредитные карты - доступными широком кругу потребителей.Компания Cashwagon была основана весной 2017 года. Уже сегодня число клиентов насчитывает 1 млн человек, а мобильное приложение скачали более 3 млн чел во всем мире, со средним рейтингом 4,5 звезды. Главный офис компании находится в Сингапуре. В компании работает около 900 человек в 9 странах, около ста из них - в московском офисе. В 2019 году компания была признана лучшей в категории Digital for Financial Services международной премией Singapore Business Review Technology Awards.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Сбор и структурирование всех типов жалоб, поступающих в настоящий момент, а также существующих процессов по их обработке</li> <li>Сбор и поддержание в актуальном виде единой базы знаний</li> <li>Оптимизация существующих процессов</li> <li>Проведение расследований по причинам возникновения жалоб, историям обращений клиентов и предпринятых ответных действий</li> <li>Проверка продуктовых и процессных изменений на предмет потенциальной угрозы для возникновения жалоб</li> <li>Проведения проверки качества и соблюдения корпоративных стандартов</li> </ul> <strong>Требования:</strong> <ul> <li>Релевантный опыт по управлению и работе с клиентскими жалобами</li> <li>Опыт проведения исследовательских проектов</li> <li>Опыт работы с тикет системами (напр. Jira)</li> <li>Навыки управления персоналом</li> <li>Системность мышления, умение отстаивать свою точку зрения, креативность, отличные коммуникационные навыки и внимание к деталям</li> <li>Продвинутый уровень владения английского языка: не ниже upper intermediate</li> <li>Желание воплотить в жизнь грандиозные проекты</li> </ul> <strong>Условия:</strong> <ul> <li>Супер молодая, талантливая и профессиональная команда!</li> <li>Оформление по ТК РФ - полностью белая з/п; ДМС, фитнес клуб по корпоративному тарифу, корпоративное такси, английский язык.</li> <li>Команда распределенная - HQ в Сингапуре, IT и Маркетинг в Москве, бизнес в 6 странах Юго-Восточной Азии</li> <li>Комфортные условия для работы – уютный офис в Москва-Сити с видом на центр Москвы, чай/кофе/фрукты, PS4</li> </ul> <p>Если вы любите создавать и развивать классные продукты, быстро разбираетесь в новом, вам нравится делать полезные вещи для людей и к тому же вы хороший человек — то у нас вам гарантировано профессиональное развитие и бесконечный драйв.</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Английский язык|Atlassian Jira|Креативность|Работа в команде|Разработка нового продукта,3.0,,1.0,,менеджер проектов,Релевантный опыт по управлению и работе с клиентскими жалобами. Опыт проведения исследовательских проектов. Опыт работы с тикет системами (напр. Jira). ,"Сбор и структурирование всех типов жалоб, поступающих в настоящий момент, а также существующих процессов по их обработке. Сбор и поддержание...",17
Москва,Проектные сервисы,2019-11-26T15:02:11+0300,"<p><strong>Возможности</strong></p> <ol> <li>Получить качественный опыт продаж</li> <li>Работать с очень интересным продуктом - мощными сертифицированными тренингами по проектному управлению, agile, design thinking, kanban, product management</li> <li>Компания быстро растёт. Это значит, можно быстро вырасти и построить карьеру</li> <li>Работа напрямую с руководством компании - это возможность перенимать опыт профессионалов международного уровня в области проектного управления</li> <li>Можно освоить agile, kanban и другие методики современного менеджмента</li> <li>Возможность иметь стабильный растущий доход и влиять на него</li> <li>У нас действительно крутая команда, в которой приятно и интересно работать!</li> </ol> <p><strong>Цель</strong></p> <p>Существенно увеличить объем продаж открытых и корпоративных тренингов</p> <p><strong>Что делать</strong></p> <ol> <li> <p>Продавать открытые (для физических лиц) и корпоративные тренинги (для крупных юридических лиц) по проектному управлению, agile, kanban, дизайн-мышлению, product management и другие</p> </li> <li> <p>Общаться по телефону и почте с потенциальными слушателями открытых тренингов (входящие заявки)</p> </li> <li> <p>Выстраивать отношения с корпоративными клиентами</p> </li> <li> <p>Участвовать в организации и сопровождении тренингов, выполнять технические поручения</p> </li> <li> <p>Документооборот: оформлять договоры, выставлять счета</p> </li> <li> <p>Вести клиентскую базу в AmoCRM</p> </li> <li> <p>Взаимодействовать с отделом маркетинга по организации митапов и др. мероприятий</p> </li> <li> <p>Вести аналитику продаж</p> </li> </ol> <p><strong>Условия</strong></p> <ol> <li> <p>Опыт продаж в сфере обучения персонала приветствуется</p> </li> <li> <p>Есть прозрачная бонусная система</p> </li> </ol>",Полная занятость,Полный день,От 1 года до 3 лет,|B2B Продажи|B2C продажи|Корпоративные продажи|Консультативные продажи|Опыт продаж|Ориентация на клиента|Управление отношениями с клиентами|Ведение переписки|Сопровождение клиентов|Работа с возражениями|Ведение клиентской базы|Навыки переговоров|работа с текущей базой клиентов|Телефонные переговоры|Навыки продаж|Заключение договоров|CRM|Планирование продаж|Прямые продажи|Поиск и привлечение клиентов|Активные продажи|Ведение переговоров|Развитие продаж,3.0,140000.0,1.0,60000.0,менеджер по продажам услуг,Получить качественный опыт продаж. Опыт продаж в сфере обучения персонала приветствуется.,"Продавать открытые (для физических лиц) и корпоративные тренинги (для крупных юридических лиц) по проектному управлению, agile, kanban, дизайн-мышлению, product...",17
Москва,ESET,2019-11-28T19:04:04+0300,"<p>Компания ESET — международный разработчик антивирусного программного обеспечения, эксперт в области защиты от киберпреступности и компьютерных угроз — была основана в 1992 году. Штаб-квартира ESET находится в Словакии.<br /><br />Российское представительство ESET открылось в январе 2005 года и входит в тройку стратегически важных представительств компании ESET в мире. На отечественном рынке антивирусного ПО компания ESET является одним из признанных лидеров.<br /><br /><strong>Компания ESET (Российское представительство антивируса NOD32) приглашает на работу Менеджера по обучению розничных сетей</strong></p> <p><strong>Должностные обязанности:</strong></p> <ul> <li>Определение стратегии развития форматов и способов обучения</li> <li>Нахождение наиболее оптимальных и эффективных способы обучения</li> <li>Разработка и подготовка учебных материалов</li> <li>Осуществление обучения продавцов розничных партнеров с помощью тренингов, семинаров, онлайн обучения и дистанционных учебных курсов</li> <li>Организация и проведение мероприятий, направленных на развитие системы обучения, повышение числа обученных и качества самого обучения</li> <li>Формирование учебных планов и расписания</li> <li>Осуществление аналитики по своему участку работ</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее/среднее специальное образование</li> <li>Опыт работы тренером от 3 лет</li> <li>Опыт подготовки презентаций и публичных выступлений</li> <li>Готовность к командировкам</li> <li>Развитые навыки коммуникации, проактивность, гибкость в общении, высокая работоспособность, нацеленность на результат, аналитический склад ума</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Офис ст. м. Автозаводская</li> <li>Конкурентная заработная плата + система поощрения</li> <li>Мед. страховка, повышение квалификации</li> <li>Оформление по трудовому кодексу РФ</li> <li>Работа в дружном коллективе</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,,6.0,,3.0,,тренинг менеджер менеджер по обучению розничных сетей,Высшее/среднее специальное образование. Опыт работы тренером от 3 лет. Опыт подготовки презентаций и публичных выступлений. Готовность к командировкам. ,Определение стратегии развития форматов и способов обучения. Нахождение наиболее оптимальных и эффективных способы обучения. Разработка и подготовка учебных материалов. ,15
Москва,1С,2019-11-26T22:44:27+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>прием обращений партнеров по почте и телефону</li> <li>консультации партнеров по вопросам сотрудничества с 1С в направлении ERP-решений</li> <li>ведение учета партнеров в базе данных</li> <li>контроль исполнения партнерами обязательств по сотрудничеству с 1С</li> <li>согласование отгрузок ERP-решений партнерам</li> <li>участие в мероприятиях для партнеров</li> <li>помощь руководителю отдела в работе с партнерами</li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>высшее образование</p> </li> <li>знание ПК на уровне пользователя;</li> <li>навыки проведения переговоров при личной встрече, по телефону и электронной почте;</li> <li>грамотная речь, целеустремленность, исполнительность, обучаемость;</li> <li>умение грамотно, корректно и кратко излагать свои мысли в письменной и устной форме;</li> <li>навыки работы в команде</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>опыт работы с программным обеспечением &quot;1С&quot;</li> <li>опыт работы у партнеров &quot;1С&quot;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Заработная плата по результатам собеседования.</li> <li>Офис в 5 минутах от метро Тимирязевская.</li> <li>Достойный Социальный пакет.</li> <li>Режим работы: полный рабочий день.</li> <li>Оформление по ТК РФ;</li> </ul>",Полная занятость,Полный день,Нет опыта,,,,,,менеджер по работе с партнерами в отдел продвижения erp решений,"Высшее образование. Знание ПК на уровне пользователя. Навыки проведения переговоров при личной встрече, по телефону и электронной почте. ",Прием обращений партнеров по почте и телефону. Консультации партнеров по вопросам сотрудничества с 1С в направлении ERP-решений. ,17
Москва,Компэл,2019-11-26T08:53:13+0300,"<p>Компания, работающая на В2В рынке, являющаяся лидером своего сегмента рынка, приглашает на работу менеджера проекта автоматизации продаж на ранней стадии его реализации.</p> <p><strong>Обязанности:</strong></p> <p>1. Сбор и формализация требований руководителей компании и бизнеса к системе, ее частям, алгоритмам и т.д.<br />2. Планирование и организация работ по созданию и развитию системы .<br />Формирование, визуализация и поддержание в актуальном состоянии общей структуры системы<br />3. Управление системой – настройки, доступы, контент и т.д.<br />4. Организация сбора аналитики, анализ статистических и аналитических данных<br />Сбор обратной связи от клиентов и сотрудников направления, анализ звонков КЦ по функционалу системы и реализация изменений в интерфейсе системы.<br />5. Подготовка и предоставление необходимой отчетности по проекту</p> <strong>Требования:</strong> <ul> <li>Образование: Высшее</li> <li>Знание ин. языков: английский приветствуется, но не обязательно</li> <li>Опыт работы: участие в построении web интерфейсов, опыт координации их реализации</li> <li>Профессиональные компетенции: понимание современных технологий в построении Web систем, хорошие навыки управления сложными проектами и опыт внедрения этих проектов, умение работать с большими объемами данных и аналитикой</li> <li>Личные качества: коммуникативные способности, системное мышление, умение налаживать и поддерживать конструктивные отношения, публичность</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>График работы с 8.30 до 17.30 ч. (возможна корректировка).</li> <li>Стартовая з/п - 200000-300000 руб. (по результатам собеседования).</li> <li>Социальный пакет: добровольное медицинское страхование; профессиональное обучение.</li> <li>Перспективы роста. Дружный коллектив.</li> <li>Офис: ст. МЦК «Новохохловская».​​​​​​​​​​​​​​</li> </ul>",Полная занятость,Полный день,Более 6 лет,|B2B Продажи|Бизнес-анализ|Системный анализ|Информационные технологии,,300000.0,6.0,200000.0,менеджер интернет проекта на в2в рынке,"Образование: Высшее. Знание ин. языков: английский приветствуется, но не обязательно. Опыт работы: участие в построении web интерфейсов, опыт координации их...","1. Сбор и формализация требований руководителей компании и бизнеса к системе, ее частям, алгоритмам и т.д. 2. ",17
Москва,АО НПФ ВТБ Пенсионный фонд,2019-12-11T09:48:23+0300,"<strong>Обязанности:</strong> <ul> <li>управление проектами по разработке и внедрению информационных систем;</li> <li>анализ требований внутреннего заказчика к реализуемому функционалу;</li> <li>формирование документации проектов;</li> <li>подготовка и обоснование сроков и стоимости проектов;</li> <li>взаимодействие с внутренней командой разработки;</li> <li>управление внешними подрядчиками;</li> <li>контроль и координация работ, формирование регулярной отчётности по проектам.</li> </ul> <strong>Требования:</strong> <ul> <li> <p>высшее образование;</p> </li> <li> <p>знание стандартов управление проектами;</p> </li> <li> <p>опыт управления проектами не менее 2-х лет в IT сфере;</p> </li> <li> <p>опыт написания технической документации;</p> </li> <li> <p>опыт работы с проектами на платформе 1С Битрикс (желательно).</p> </li> </ul> <strong>Условия:</strong> <ul> <li>график работы: пн-птн 9-18;</li> <li>месторасположение офиса: метро Пролетарская/Крестьянская застава;</li> <li>уровень заработной платы обсуждается с успешным кандидатом;</li> <li>оформление в соответствии с Трудовым кодексом РФ;</li> <li>программа ДМС, льготные условия кредитования.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,менеджер it проектов,Высшее образование. Знание стандартов управление проектами. Опыт управления проектами не менее 2-х лет в IT сфере. Опыт написания технической...,Управление проектами по разработке и внедрению информационных систем. Анализ требований внутреннего заказчика к реализуемому функционалу. Формирование документации проектов. ,2
Москва,Текстильная Студия,2019-11-27T09:01:06+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Стратегическое и тактическое управление продажами на онлайн-площадках;</p> </li> <li> <p>Постановка и оптимизация всех бизнес-процессов данного направления;</p> </li> <li> <p>Документооборот: оформление отгрузок, координация логистики, акты, сверки и т.п.;</p> </li> <li> <p>Продукт: создание и ведение товарной матрицы, создание системы учета, регулярная проверка соответствия показателей товара, работа с 1С;</p> </li> <li> <p>Работа по созданию новых позиций: помощь руководителю в разработке, работа с фабриками-поставщиками, контроль остатков продукции и материалов на складах, дополнение товарной сетки, сертификации, этикеток; Помощь в разработке наборов изделий, концепций упаковок и POS-материалов;</p> </li> <li> <p>Разработка и достижение плановых показателей по объему продаж и развитию;</p> </li> <li> <p>Cейчас выгружаем товары на Ozon и Wildberries, далее выходим на новые электронные площадки, в т.ч. зарубежные; Также добавится контроль продаж через соц. сети, интернет-магазин, партнеров по корпоративным подаркам;</p> </li> <li> <p>Контроль работы подрядчиков и контрагентов;</p> </li> <li> <p>Контроль дебиторской задолженности, контроль отгрузок возвратов от контрагентов;</p> </li> <li> <p>Разработка предложений по корректировке ассортимента, изменению цен, скидок, проведению промо-акций;</p> </li> <li> <p>Выполнение поручений руководителя, заполнение КП, оформление договоров, счетов;</p> </li> <li> <p>Часто придется быть на связи 24/7 (предоставляется корпоративная сим-карта).</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Обязателен опыт работы с торговыми площадками Ozon и Wildberries <strong>от 1 года</strong>;</li> <li>Хороший уровень владения компьютером и программами 1С, Word, Excel;</li> <li>Обязателен опыт работы с площадками документооборота (предпочтительно Synerdocs), платформой Битрикс24;</li> <li>Ориентация на результат, трудолюбие, часто выкладываться придется на 150%;</li> <li>Умение ясно выражать свои мысли‚ грамотная устная и письменная речь, опрятный внешний вид, дисциплинированность;</li> <li>Желание расти и развиваться профессионально вместе с компанией, потому что в будущем радиус Вашей ответственности будет только увеличиваться;<br /><br /><strong>Также Вашим преимуществом будет:</strong></li> <li>Опыт создания контента для соц. сетей, знание маркетинговых инструментов и программ. Умение работать с программой Photoshop;</li> <li>Знание SMM</li> <li>Опыт создания сайтов или лендингов, презентаций;</li> </ul> <p><strong>В зависимости от Вашего темпа работы, вовлеченности и исполнительности, есть возможность роста до руководителя направления за полгода. </strong></p> <p><strong>Зарплата и длительность испытательного срока по результатам собеседования.</strong></p> <p> </p> <p> </p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|Adobe Photoshop|1С: Торговля и склад|1С: Торговля|1С: Предприятие 8|Документооборот|Google Docs|Ведение групп в социальных сетях|Ориентация на результат,3.0,,1.0,,менеджер интернет проектов,Обязателен опыт работы с торговыми площадками Ozon и Wildberries от 1 года. Хороший уровень владения компьютером и программами 1С...,"Стратегическое и тактическое управление продажами на онлайн-площадках. Постановка и оптимизация всех бизнес-процессов данного направления. Документооборот: оформление отгрузок, координация...",16
Москва,ГК Д.А. Консалт,2019-11-18T10:30:23+0300,"<p><strong>Школа Креативного Маркетинга Павла Гительмана –</strong> это онлайн школа, которая помогает предпринимателям по всему миру повысить свои компетенции в маркетинге. Ежемесячно более 1000 предпринимателей проходят обучающие онлайн вебинары.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Продажи онлайн курсов по теплым и горячим клиентам,</li> <li>Работа с аудиторией предпринимателей ( малый и средний бизнес),</li> <li>Выполнение и перевыполнение ежемесячных планов продаж,</li> <li>Работа с CRM, мессенджерами и IP-телефонией.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт продаж онлайн или оффлайн образования/тренингов от 2 лет,</li> <li>Опыт работы с аудиторией предпринимателей ( малый и средний бизнес )</li> <li> <p>Желательны знания СПИН продаж,</p> </li> <li> <p>Навык активного слушания, понимание &quot;болей&quot; предпринимателей,</p> </li> <li> <p>Опыт работы с любой из CRM систем.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>З/п в совокупности до 70.000-120 000 руб. (фикс оклад + премии и процент с продаж), потолка по з.п. нет.</li> <li>Удаленная работа, нет привязки к офису;</li> <li>График работы 5/2</li> <li>Обучение продукту;</li> <li>Возможность карьерного роста до РОП</li> </ul>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Активные продажи|Обучение и развитие|CRM|Навыки продаж,3.0,120000.0,1.0,70000.0,менеджер по продажам,Опыт продаж онлайн или оффлайн образования/тренингов от 2 лет. Опыт работы с аудиторией предпринимателей ( малый и средний бизнес ). ,Продажи онлайн курсов по теплым и горячим клиентам. Работа с аудиторией предпринимателей ( малый и средний бизнес). Выполнение и перевыполнение ежемесячных...,25
Москва,ANCOR Consumer Goods,2019-11-29T12:43:38+0300,"<p>Project manager Интернет магазина (Cтартап)</p> <p><strong>Обязанности:</strong></p> <ul> <li>Составление плана проекта, постановка сроков, анализ рисков;</li> <li>Участие в подборе и утверждении проектной команды;</li> <li>Разбивка продукта на компоненты и раздача их исполнителям;</li> <li>Управление проектной командой (мы пока не поняли, насколько команда будет большая, это, наверное, уже зависит от тебя);</li> <li>Общение с бизнес-заказчиком и управление его ожиданиями;</li> <li>Предоставление бизнес-заказчику отчетности о ходе выполнения проекта и презентация готовых результатов.</li> </ul> <strong>Требования:</strong> <ul> <li>Качественные знания технологии и теории проектного менеджмента;</li> <li>Знание CSS, HTML, PHP, SQL, Java, C#, HTTP, XML, принципов ООП;</li> <li>Знание принципов клиент-серверной модели взаимодействия приложений;</li> <li>Принципы построения интерфейсов пользователей;</li> <li>Понимание архитектуры сложных систем.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Расширенный пакет ДМС;</li> <li>Бесплатный паркинг, также офис располагается в шаговой доступности от метро;</li> <li>Возможности обучения и развития в крупной международной компании;</li> <li>Различные программы лояльности для сотрудников компании.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|XML|SQL|Управление рисками|Бизнес-анализ|Проектный менеджмент|HTTP|MS Project|HTML|CSS|Magento|C#|PHP|Работа в команде,3.0,,1.0,,менеджер,"Качественные знания технологии и теории проектного менеджмента. Знание CSS, HTML, PHP, SQL, Java, C#, HTTP, XML, принципов ООП. ","Составление плана проекта, постановка сроков, анализ рисков. Участие в подборе и утверждении проектной команды. Разбивка продукта на компоненты и раздача...",14
Москва,ANCOR FinTech,2019-12-02T16:57:13+0300,"<p><strong><em>В одной из крупнейших телекоммуникационных компаний России открыта вакансия Территориального менеджера</em></strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Функциональное управление розничной сетью салонов;</li> <li>Развитие и контроль работы монобрендовых салонов на закрепленной территории;</li> <li>Обучение и мотивация персонала;</li> <li>Открытие новых магазинов;</li> <li>Выполнение целей по качеству обслуживания клиентов на закрепленной территории;</li> <li>Аудит торговый точек на предмет соответствия брендбуку;</li> <li>Ведение переговоров с дилерами по внедрению необходимых изменений, исправлению недостатков в текущей работе объектов розничной сети ;</li> <li>Отчетность.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li><em><strong>Опыт работы территориальным менеджером в ритейле;</strong></em></li> <li>Опыт управления командой ;</li> <li>Отличные коммуникативные навыки;</li> <li>Опыт ведения переговоров;</li> <li>Самостоятельность в принятии решений.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Оформление по ТК РФ в штат компании;</li> <li>Заработная плата: оклад + бонусы;</li> <li>Оплата ГСМ;</li> <li>Уникальная система обучения для каждого сотрудника на основе индивидуальных планов развития;</li> <li>Возможности профессионального и карьерного роста;</li> <li>Расширенная медицинская страховка в России и за пределами страны;</li> <li>Компенсация затрат на мобильную связь;</li> <li>Мероприятия для сотрудников.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,80000.0,территориальный менеджер,Опыт работы территориальным менеджером в ритейле. Опыт управления командой . Отличные коммуникативные навыки. Опыт ведения переговоров. Самостоятельность в принятии решений.,Функциональное управление розничной сетью салонов. Развитие и контроль работы монобрендовых салонов на закрепленной территории. Обучение и мотивация персонала. ,11
