city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Домофон-Сервис,2019-11-18T09:23:53+0300,"<p><strong>Обязанности:</strong></p> <p>- Прокладка СКС, установка видеодомофонов, домофонов, протяжка стояков, монтаж домофонов и видеонаблюдения, подключение оборудования к электросети.</p> <p><strong>Требования:</strong></p> <ul> <li>Опыт прокладки СКС, навыки настройки сетевого оборудования (уровня бытового роутера), базовые навыки электрика.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное оформление по ТК РФ, отпуск и больничный лист оплачиваемые.</li> <li>Режим работы с 09.00. до 18.00. (5/2)</li> <li>Зарплата &quot;белая&quot; (оклад 46000руб) два раза в месяц на банковскую карту</li> <li>Оплачиваемый проезд</li> </ul> <p>Возможно обучение</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Электрические системы и слаботочные системы|слаботочные системы|домофония,3.0,50000.0,1.0,46000.0,монтажник слаботочных систем,"Опыт прокладки СКС, навыки настройки сетевого оборудования (уровня бытового роутера), базовые навыки электрика.","Прокладка СКС, установка видеодомофонов, домофонов, протяжка стояков, монтаж домофонов и видеонаблюдения, подключение оборудования к электросети.",25
Москва,АВИТЕКС,2019-11-18T20:48:31+0300,"<p>МОНТАЖНИК ОБОРУДОВАНИЯ СОТОВОЙ СВЯЗИ</p> <p>Приглашаем сотрудников для модернизации и строительства базовых станций ТЕЛЕ 2 / БИЛАЙН / HUAWEI</p> <p>Требования:<br />- стройка БС в соответствии с нормами строительства и стандартам оператора.<br />- получение / возврат оборудования через склад.<br />- опыт в сфере строительства БС приветствуется.<br />- исполнительность, ответственность, организованность, умение работать в команде.<br />- желание расти и развиваться как специалист.</p> <p>Условия:<br />- разъездной характер работы.<br />- ЕЖЕДНЕВНАЯ ОПЛАТА РАБОТЫ.<br />- возможность обучения в процессе работы.<br />- иногородним предоставляется общежитие.<br />- возможна компенсация ГСМ.</p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|Работа в команде|Пользователь ПК,3.0,120000.0,1.0,100000.0,монтажник базовых станций,"опыт в сфере строительства БС приветствуется. - исполнительность, ответственность, организованность, умение работать в команде. - желание расти и развиваться как специалист.",стройка БС в соответствии с нормами строительства и стандартам оператора. - получение / возврат оборудования через склад.,25
Москва,ДИГИС,2019-12-04T12:12:09+0300,<strong>Обязанности:</strong> <ul> <li>прокладка кабельных линий внутри зданий</li> <li>монтаж лотков</li> <li>монтаж патч-панелей</li> <li>монтаж разъемов RJ-45</li> <li>сборка телекоммуникационных шкафов</li> <li>тестирование кабельных линий</li> </ul> <strong>Требования:</strong> <ul> <li>знание и навыки по монтажу СКС</li> <li>знание норм и правил монтажа СКС</li> <li>умение читать схемы</li> <li>умение составлять кабельные журналы</li> <li>навыки в работе с кабельными тестерами Fluke</li> </ul> <strong>Условия:</strong> <ul> <li>полный рабочий день</li> <li>трудоустройство по ТК</li> </ul>,Полная занятость,Полный день,Нет опыта,|монтаж СКС,,85000.0,,50000.0,монтажник слаботочных систем,Знание и навыки по монтажу СКС. Знание норм и правил монтажа СКС. Умение читать схемы. Умение составлять кабельные журналы. ,Прокладка кабельных линий внутри зданий. Монтаж лотков. Монтаж патч-панелей. Монтаж разъемов RJ-45. Сборка телекоммуникационных шкафов. Тестирование кабельных линий.,9
Москва,JCat.ru,2019-12-09T12:22:48+0300,"<b>Вакансия компании</b>: «Прайдекс Групп»<br /><br /><b>PRIDEX</b>- профессиональная строительная компания, осуществляющая полный цикл услуг по проектированию, строительству и инженерному оснащению объектов коммерческой недвижимости, занимающая лидирующие позиции на российском рынке FIT-OUT.<br /><br /><b>Обязанности</b>:<br /><br />Монтаж систем видеонаблюдения, охранной, пожарной сигнализации, контроля доступа и др.<br /><br /><b>Требования к квалификации</b>:<br /><br />Опыт работы по системам ОПС, СКУД, Видеонаблюдения, приветствуется опыт работы с системой Болид.<br />Умение работать с инструментами, чтение монтажных схем.<br />Так же рассматриваются кандидаты с минимальным опытом работы.<br /><br /><b>Образование</b>: среднее специальное<br /><br /><b>Условия работы</b>:<br /><br />-Стабильная работа в крупной строительной компании<br />-Оформление по ТК РФ с первого дня трудоустройства<br />-Предоставляем спец.одежду и инструмент от компании<br />-Возможности профессионального роста и стабильный доход гарантированы<br /><br /><b>Спецодежда</b>: да",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,75000.0,1.0,65000.0,монтажник слаботочных систем,"Опыт работы по системам ОПС, СКУД, Видеонаблюдения, приветствуется опыт работы с системой Болид. Умение работать с инструментами, чтение монтажных схем. ","Монтаж систем видеонаблюдения, охранной, пожарной сигнализации, контроля доступа и др.",4
Москва,Информационное агентство России ТАСС,2019-12-11T12:58:06+0300,"<p>Уважаемые соискатели, в случае заинтересованности в нашей вакансии, укажите ваши зарплатные ожидания в сопроводительном письме при отклике.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Подключение и обслуживание:</li> </ul> <p>- структурированной кабельной сети;</p> <p>- телевизионной сети (сети телерадиовещания);</p> <p>- обслуживание беспроводной сети передачи данных;</p> <p>- сети телефонии;</p> <p>- волоконно-оптических линий связи;</p> <ul> <li>Обеспечение переездов и перемещений вычислительной техники пользователей с сохранением полной функциональности и работоспособности;</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Умение работать с оргтехникой, знание компьютерного и коммуникационного оборудования, основных принципов построения корпоративных локально-вычислительных сетей;</li> <li>Знание принципов построения и работы слаботочных систем;</li> <li>Опыт работы по монтажу кабелей СКС, ТВ сети;</li> <li>Опыт работы с оптическими кабелями и патч-кордами;</li> <li>Владение электроинструментом;</li> <li>Навыки выполнения слесарных, столярных, монтажных работ;</li> <li>Умение разбираться в технической документации;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li><strong>стабильность</strong> - полное соблюдение ТК РФ, пятидневная рабочая неделя;</li> <li><strong>отличная команда </strong>– профессионалы, увлеченные свои делом;</li> <li><strong>удобное местоположение </strong>– офис находится в самом центре Москвы, в шаговой доступности от метро (Пушкинская, Арбатская, Чеховская, Тверская) и с видом на Кремль;</li> <li><strong>профессиональное развитие</strong> – у нас проходят регулярные семинары и тренинги, а также мы даем возможность изучать иностранные языки за счет компании;</li> <li><strong>комфорт</strong> – в офисе есть кафе и столовая; в шаговой доступности множество заведений на любой вкус.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Настройка сетевых подключений|Прокладка кабелей|Монтаж оборудования,6.0,76666.66666666667,3.0,58714.28571428572,монтажник слаботочных систем,"Умение работать с оргтехникой, знание компьютерного и коммуникационного оборудования, основных принципов построения корпоративных локально-вычислительных сетей. Знание принципов построения и...",Подключение и обслуживание: Обеспечение переездов и перемещений вычислительной техники пользователей с сохранением полной функциональности и работоспособности.,2
Москва,Группа компаний «Тауэр»,2019-11-26T16:20:00+0300,<p><strong>Обязанности:</strong></p> <ul> <li>Монтаж систем ОПС и СКС.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Навыки монтажа оборудования и прокладки кабельных систем;</li> <li>Опыт монтажных работ от года.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оформление по ТК РФ на условиях СРОЧНОГО трудового договора с первого рабочего дня;</li> <li>&quot;Белая&quot; заработная плата;</li> <li>Окладная система оплаты труда;</li> <li>График работы: понедельник-пятница с 9.00 до 18.00;</li> <li>Дружный коллектив компании с 25-летней историей;</li> <li>Работа на объектах в пределах административных границ Москвы.</li> </ul>,Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,50000.0,1.0,45000.0,монтажник слаботочных систем,Навыки монтажа оборудования и прокладки кабельных систем. Опыт монтажных работ от года.,Монтаж систем ОПС и СКС.,17
Москва,Сложные задачи,2019-12-09T10:33:56+0300,"<p><strong>Обязанности:</strong></p> <p><strong>Монтаж систем пожарной сигнализации и голосового оповещения.<br />Монтаж систем СКС, контроля доступа, видеонаблюдения.<br />Прокладка слаботочных и электрических кабелей по стандартам, принятым в отрасли.<br />Работа с ручным электроинструментом, измерительными приборами.</strong></p> <strong>Требования:</strong> <p>Профильное образование.<br />Опыт в монтаже, настройке, пусконаладочных работах и тестирование указанных систем.<br />Умение читать и понимать рабочую документацию по указанным системам.<br />Личные качества: ответственность, аккуратность, самостоятельность, организованность, коммуникабельность.</p> <strong>Условия:</strong> <p>- Оформление по ТК (с первого дня)<br />- Пятидневная рабочая неделя - (сб вс выходные)<br />- Офис в пешей доступности от м. Авиамоторная и МЦК Андроновка<br />- Дружный коллектив<br />- Заработная плата 50 000 руб на испытательном сроке, далее от 60 000 руб.(Без задержек)</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Монтаж оборудования|Производство строительно-монтажных работ|Монтаж инженерных систем|Электрические системы и слаботочные системы|Производство пусконаладочных работ|Системы видеонаблюдения|слаботочные системы|Чтение чертежей,3.0,76666.66666666667,1.0,50000.0,монтажник слаботочных систем,"Профильное образование. Опыт в монтаже, настройке, пусконаладочных работах и тестирование указанных систем. Умение читать и понимать рабочую документацию по указанным...","Монтаж систем пожарной сигнализации и голосового оповещения. Монтаж систем СКС, контроля доступа, видеонаблюдения. Прокладка слаботочных и электрических кабелей по стандартам...",4
Москва,Тералайн Телеком Связь,2019-11-26T14:27:52+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>прокладка кабеля внутри зданий: UTP и кабеля питания 220В;</li> <li>монтаж коробов и лотков;</li> <li>телекоммуникационных шкафов, монтаж оборудования;</li> <li>монтаж кабельных оконечных кроссов, патчпанелей, розеток;</li> <li>прокладка оптоволоконных &quot;воздушек&quot; ;</li> <li>монтажные работы на чердачных помещениях и крышах.</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>опыт работы от 1 года;</li> <li>понимание основ построения сетей связи, знание организации и обслуживания локальных сетей и телефонных сетей;</li> <li>опыт монтажа телекоммуникационного оборудования, кабельных линий (как на чердачных помещениях, так и непосредственно на крышах зданий);</li> <li>опыт работы с измерительными приборами : Lan-тестер.</li> <li>знание техники безопасности;</li> <li>навыки электромонтажа 220В - подключение к фазе, монтаж розеток;</li> </ul> <p> </p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>испытательный срок 1 месяц;</li> <li>оформление по ТК РФ;</li> <li>рабочий день 5-2 с 9-00 до 18-00 (максимально до 19-00, если необходимо завершить работу на объекте);</li> <li>оклад 55 000 рублей &quot;на руки&quot; + бонусы за интенсивность.</li> <li>оплата моб. связи;</li> <li>работа в паре с другим монтажником на время стажировки.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Монтаж оборудования|Прокладка кабелей|Электромонтажные работы,3.0,80000.0,1.0,55000.0,монтажник,"Опыт работы от 1 года. Понимание основ построения сетей связи, знание организации и обслуживания локальных сетей и телефонных сетей. ","Прокладка кабеля внутри зданий: UTP и кабеля питания 220В. Монтаж коробов и лотков. Телекоммуникационных шкафов, монтаж оборудования. ",17
Санкт-Петербург,СтройМонолитСервис,2019-11-20T11:14:53+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Прокладка слаботочных, оптических кабелей;</li> <li>Монтаж видеонаблюдения;</li> <li>Составление кабельного журнала;</li> <li>Монтаж оборудования в стойку;</li> <li>Расшивка пользовательских розеток и патч-панелей;</li> <li>Маркировка;</li> <li>Подключение оборудования</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в сфере монтажа СКС от 6 месяцев;</li> <li>Навыки работы с ручным и электроинструментом;</li> <li>Пунктуальность, аккуратность, ответственность;</li> <li>Знание и соблюдение техники безопасности.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Пятидневка с 9-00 до 18-00 (суббота, воскресенье - выходные);</li> <li>Трудоустройство по ТК РФ, оплата ежегодных отпусков, больничных листов;</li> <li> <p>Работа на строительных объектах в районах пгт Красный бор и д.Лемболово;</p> </li> </ul> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|Прокладка кабелей|Работа с оргтехникой|Навыки составления отчетности|Творческое мышление,3.0,62142.857142857145,1.0,45000.0,монтажник скс сот,"Опыт работы в сфере монтажа СКС от 6 месяцев. Навыки работы с ручным и электроинструментом. Пунктуальность, аккуратность, ответственность. ","Прокладка слаботочных, оптических кабелей. Монтаж видеонаблюдения. Составление кабельного журнала. Монтаж оборудования в стойку. Расшивка пользовательских розеток и патч-панелей. Маркировка. ",23
Санкт-Петербург,AN-SECURITY,2019-11-25T10:44:28+0300,"<p><strong>Обязанности:</strong></p> <p>Монтаж оборудования систем видеонаблюдения, контроля доступа, охранной и пожарной сигнализации ;</p> <p>Монтаж кабельных линий слаботочных и электрических сетей ;</p> <p>Неукоснительное соблюдение норм охраны труда на действующих объектах компании, прохождение всех установленных видов инструктажа на объекте ;</p> <p>Работа с монтажными электрическими схемам, проектной и рабочей документацией ;</p> <p>Бережное отношение к имуществу компании, принятие мер к недопущению его уничтожения или поломки.</p> <p> </p> <p><strong>Требования:</strong></p> <p>Удостоверения электрика до 1000В, удостоверение на высотные работы, удостоверение рабочего люльки (при необходимости помогаем получить);</p> <p>Умение работать с электроинструментом: перфоратор, шуроповерт, болгарка ;</p> <p>Опыт работы по данному профилю от 1 года ;</p> <p> </p> <p><strong>Условия:</strong></p> <p>Рабочее место : СПб., 10-я Советская ул.;</p> <p>График работы сменный ( выходные плавающие ) ;</p> <p>Оформление по ТК РФ с первого дня ;</p> <p>Выплаты производятся 3 раза в месяц,на карту.Оклад + % от закрытых объектов ;</p> <p>Предоставление корпоративной сим-карты .</p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|Электрические системы и слаботочные системы|Монтаж инженерных систем|Проектная документация|Монтаж оборудования,3.0,62142.857142857145,1.0,60000.0,монтажник технических средств охраны,"Умение работать с электроинструментом: перфоратор, шуроповерт, болгарка . Опыт работы по данному профилю от 1 года .","Монтаж оборудования систем видеонаблюдения, контроля доступа, охранной и пожарной сигнализации . Монтаж кабельных линий слаботочных и электрических сетей . Неукоснительное соблюдение норм...",18
