city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,FESCO (ПАО «Дальневосточное морское пароходство»),2019-12-05T05:31:53+0300,"<p>В связи с планируемым расширением штата, планируется введение новой должности в штатном расписании: &quot;Ведущий специалист в управление эксплуатации и развития инфраструктуры&quot;.</p> <p><strong>Задачи и обязанности:</strong></p> <ul> <li>Сбор и классификация обращений пользователей;</li> <li>Первичная диагностика и устранение неисправностей;</li> <li>Назначение заданий специалистам 2-го уровня поддержки;</li> <li>Контроль сроков реакции и исполнения обращений;</li> <li>Работа по заявкам пользователей, в т.ч. организация рабочего места для новых сотрудников.</li> </ul> <p><strong>Требования к кандидатам:</strong></p> <ul> <li>Высшее профессиональное (профильное) образование – желательно;</li> <li>Знание линейки операционных систем Windows 95/98/2000/XP/2003/Vista/7/8;</li> <li>Навыки работы с системой управления службой ServiceDesk «Инфраманеджер»;</li> <li>Знание и навыки настройки блочного ремонта, модернизации пользовательских рабочих мест;</li> <li>Навыки настройки специализированного ПО на рабочих местах пользователей;</li> <li>Ответственность, исполнительность, сообразительность.</li> </ul> <p><strong>Условия работы:</strong></p> <ul> <li>Своевременная выплата заработной платы 2 раза в месяц (аванс, заработная плата);</li> <li>ДМС после испытательного срока, больничные, отпуска, квартальные премии по результатам работы.</li> <li>Позиция не руководящая и предполагает работу в стабильном ИТ-коллективе на протяжении нескольких лет.</li> <li>График работы: 40-часовая неделя 9:00 -18:00 либо 8:00 - 17:00 (в пятницу - сокращённый на 1 час рабочий день), дежурства 1 раз в 4 дня (11:00 - 20:00).</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Windows 7|Пользователь ПК|Windows Xp|Windows Vista|Mac Os,3.0,78300.0,1.0,52500.0,ведущий специалист технической поддержки пользователей,Высшее профессиональное (профильное) образование – желательно. Знание линейки операционных систем Windows 95/98/2000/XP/2003/Vista/7/8. ,Сбор и классификация обращений пользователей. Первичная диагностика и устранение неисправностей. Назначение заданий специалистам 2-го уровня поддержки. Контроль сроков реакции...,16,поддержки
Москва,АДАМАС,2019-12-05T15:21:45+0300,"<p><strong>Обязанности:</strong></p> <p> </p> <ul> <li>Прием и регистрация обращений поступающих от пользователей (HELP Desk, телефон);</li> <li> <p>Техническая поддержка пользователей в офисе;</p> </li> <li> <p>Организация новых рабочих мест (установка, настройка ПК, ПО, телефона, заведение пользователей в БД AD);</p> </li> <li> <p>Поддержка телефонии (офисной и IP);</p> </li> <li> <p>Поддержание резерва ПК и комплектующих в актуальном состоянии;</p> </li> </ul> <p><br /><strong>Требования:</strong></p> <p> </p> <ul> <li>Знание устройства ПК и серверов;</li> <li>Знания Microsoft Windows 7/8/10 на уровне администратора;</li> <li>Знание сетевых технологий (локальные сети ТСР/IР, сетевые протоколы и технологии);</li> <li> <p>Знание принципов удаленного управления и администрирования рабочих станций;</p> </li> <li> <p>Знание пакетов офисного прикладного ПО на уровне уверенного пользователя;</p> </li> <li>Работа Active Directory, DNS, DHCP;</li> <li> <p>Умение подключать и настраивать орг. технику;</p> </li> <li>Хорошие коммуникативные навыки, умение работать в команде.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Оформление по ТК РФ, полный соц.пакет;</li> <li>График работы: 5/2, с 09:00 до 18:00;</li> <li>Работа в Центральном офисе компании (ст. м. Ботанический сад или ст. м. Владыкино);</li> <li>Возможность карьерного и профессионального роста;</li> <li>Стабильная заработная плата;</li> <li>Скидки на всю продукцию компании.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,55042.857142857145,1.0,60000.0,специалист технической поддержки,Знание устройства ПК и серверов. Знания Microsoft Windows 7/8/10 на уровне администратора. Знание сетевых технологий (локальные сети ТСР...,"Прием и регистрация обращений поступающих от пользователей (HELP Desk, телефон). Техническая поддержка пользователей в офисе. Организация новых рабочих мест (установка...",15,поддержки
Москва,Российский Союз Автостраховщиков,2019-12-11T12:45:59+0300,"<p><strong>Требования:</strong></p> <ul> <li>Техническая грамотность;</li> <li>Желание учиться;</li> <li>Коммуникабельность, самостоятельность, ответственность.</li> <li>Умение устанавливать и настраивать ОС;</li> <li>Опыт настройки IP-телефонов, принтеров, МФУ и пр;</li> <li>Опыт работы с операционными системами, сетями, орг.техникой;</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Поддержка функционирования офисной компьютерной инфраструктуры;</li> <li>Поддержка АРМ и консультирование пользователей;</li> <li>Обработка и выполнение заявок на портале технической поддержки;</li> <li>Знание Windows. на уровне администратора. Умение находить решения проблем с прикладным ПО для данных ОС;</li> <li>Контроль текущего технического состояния поддерживаемых систем;</li> <li>Сбор информации о проблемах и ошибках, связанных с эксплуатацией информационных систем.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оклад определяется в зависимости от знаний и квалификации;</li> <li>Возможно обучение в случае возникновения производственной необходимости;</li> <li>Оформление по ТК РФ;</li> <li>График работы 5/2;</li> <li>Комфортный офис на станции метро Добрынинская\Серпуховская (5 минут пешком от метро);</li> <li>Перспективы карьерного роста;</li> <li>ДМС.</li> </ul>",Полная занятость,Полный день,Нет опыта,|Windows 7|Mac Os|Офисная техника|Настройка ПК|TCP/IP|Работа с людьми|Работа с оргтехникой|Информационные технологии|Настройка ПО|Поиск информации в интернет|Администрирование,,55042.857142857145,,50000.0,специалист технической поддержки,"Техническая грамотность. Желание учиться. Коммуникабельность, самостоятельность, ответственность. Умение устанавливать и настраивать ОС. Опыт настройки IP-телефонов, принтеров, МФУ и пр. ",Поддержка функционирования офисной компьютерной инфраструктуры. Поддержка АРМ и консультирование пользователей. Обработка и выполнение заявок на портале технической поддержки. Знание Windows. ,10,поддержки
Москва,Систематика Консалтинг,2019-11-21T14:51:48+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Первая линия поддержки подсистемы (телефонные переговоры/консультации, выход на место к пользователю, устранение проблемы на месте или удаленно);</li> <li>Ведение документации по проекту (оформление и отправка отчетов, составление документации по заявкам на доработку, подготовка документации по сдаче этапа проекта);</li> <li>Работа с заявками на доработку (переговоры с Заказчиком по требованиям к заявке, постановка задачи программисту, тестирование результатов программиста, презентация Заказчику результатов работы);</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в технической поддержке или аналогичной должности от 1 года;</li> <li>Работа с системой документооборота;</li> <li>Опыт работы с пользователями (напрямую и по телефону);</li> <li>Опыт работы с разработчиками (постановка и проверка задач);</li> <li>Составление отчетных документов;</li> <li>Уверенный пользователь Microsoft Office.</li> </ul> <p><strong>Личные качества:</strong></p> <ul> <li>Умение общаться с пользователями;</li> <li>Умение самостоятельно планировать рабочий день;</li> <li>Способность расставлять приоритеты;</li> <li>Желание и способность обучаться.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работа над амбициозными проектами государственного сектора, в динамично развивающейся it-компании;</li> <li>Официальное оформление по ТК, соц. пакет (больничный, отпуск), обучение;</li> <li>Профессиональный и карьерный рост;</li> <li>Быстрое профессиональное развитие;</li> <li>Дружелюбная атмосфера и молодой коллектив;</li> <li>Заработная плата обсуждается индивидуально с каждым кандидатом на собеседовании.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,55042.857142857145,1.0,52500.0,специалист технической поддержки,Опыт работы в технической поддержке или аналогичной должности от 1 года. Работа с системой документооборота. Опыт работы с пользователями (напрямую...,"Первая линия поддержки подсистемы (телефонные переговоры/консультации, выход на место к пользователю, устранение проблемы на месте или удаленно). ",29,поддержки
Москва,Яндекс,2019-12-10T12:02:41+0300,"<p>Английский язык помогает сотрудникам Яндекса решать рабочие задачи.</p> <p>Совсем недавно у одной из команд появился корпоративный преподаватель английского, который проводит он-лайн занятия. Этот формат сильно понравился команде и уже виден прогресс в изучении языка. Но у наших коллег появляются вопросы по лексике и грамматике не только во время уроков, а еще и в рабочих вопросах, поэтому у нас возникла идея создать чат образовательной поддержки.</p> <p><strong>Вы нам подходите, если:</strong></p> <ul> <li>имеете опыт работы преподавателем английского языка от 2-х лет;</li> <li>у вас есть интерес к английской грамматике и лексике и даже если вы чего-то не знаете, то с удовольствием читаете справочную литературу и обращаетесь за советом к коллегам;</li> <li>ваш уровень языка С1 в чтении и высокие баллы в тестах use of English;</li> <li>внимательны и легко замечаете ошибки в речи и письме учеников;</li> <li>знаете правила и не допускаете ошибок в письме и речи;</li> <li>вам нравится общаться с разными людьми в переписке, вы легко устанавливаете контакт и можете поддержать участника диалога эмоционально;</li> <li>у вас есть компьютер и стабильный, быстрый интернет;</li> </ul> <p><strong>Вам предстоит:</strong></p> <ul> <li>своевременно отвечать в чате на вопросы учеников;</li> <li>работать в нашей knowledge base и в продукте, помогая нашим ученикам;</li> <li>вместе с нами создавать knowledge base;</li> <li>объяснять правила языка (употребление грамматики и лексики);</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>удаленную работу, в комфортных для вас условиях;</li> <li>удобный график 2-2;</li> <li>творческую свободу: процесс образовательной поддержки вы будете создавать вместе с нами;</li> <li>возможность усилить свои знания в языке за счет общения с нашими опытными методистами.</li> </ul>",Полная занятость,Сменный график,От 1 года до 3 лет,|Английский язык|Преподаватель|MS PowerPoint|Деловое общение|Грамотная речь,3.0,55042.857142857145,1.0,52500.0,специалист образовательной поддержки по английскому языку,Имеете опыт работы преподавателем английского языка от 2-х лет. У вас есть интерес к английской грамматике и лексике и...,Своевременно отвечать в чате на вопросы учеников.,11,поддержки
Москва,Яндекс,2019-11-26T15:47:50+0300,"<p>Яндекс.Практикум - сервис онлайн-обучения от Яндекса. Мы готовим с нуля будущих веб-разработчиков, аналитиков, других интернет-специалистов. Даём практические знания, опыт работы над реальными проектами, помогаем, разрешаем совершать ошибки и говорим понятным языком, для этого ищем специалистов в образовательную поддержку проекта.</p> <p><strong>Ваша главная задача</strong> — делать так, чтобы всё работало:</p> <p>1. Помогать студентам, отвечая на их вопросы в чатах и социальных сетях;<br />2. Сопровождать процесс обучения, общаться с нашими наставниками и командой сервиса (и каждый день делать его ещё лучше);<br />3. Взаимодействовать с большим объёмом информации, учиться и развиваться.</p> <p><strong>Идеальный сотрудник образовательной поддержки:</strong></p> <p>1. Отлично говорит и пишет по-русски (а если умеете делать это на других языках — ещё лучше);<br />2. Разбирается в HTML, CSS, JavaScript на базовом уровне (крайне желательно, но необязательно)<br />3. Любит и умеет учиться;<br />4. Знает, как работать в команде, но при этом может принимать самостоятельные решения;<br />5. Обладает чувством юмора и готов к атмосфере стартапа (это очень весело и безумно интересно).</p> <p><strong>Здорово, если вы:</strong></p> <p>1. Уже работали в службе поддержки или сфере услуг;<br />2. Получили высшее образование;<br />3. Разбираетесь в сфере онлайн-образования и знаете основных игроков на рынке;<br />4. Интересуетесь работой в IT, современными медиа, цифровыми профессиями, знаете, о чём говорят в Интернете</p> <p>Работать нужно будет по <strong>графику 2/2 с 10 часов утра до 22 вечера.</strong> Можно делать это из дома, или выбрать любое место, где вам комфортно — в офис ездить не придётся, понадобится только компьютер и хороший интернет.</p>",Полная занятость,Удаленная работа,Нет опыта,Без ключевых навыков,,55042.857142857145,,52500.0,специалист службы поддержки в практикум,"3. Взаимодействовать с большим объёмом информации, учиться и развиваться. 2. Разбирается в HTML, CSS, JavaScript на базовом уровне (крайне желательно...","Ваша главная задача — делать так, чтобы всё работало: 1. Помогать студентам, отвечая на их вопросы в чатах и социальных сетях. ",24,поддержки
Москва,Красная Пресня,2019-12-09T09:41:44+0300,"<strong>Обязанности:</strong> <ul> <li>техническая поддержка пользователей, работа ч системой учета заявок, обслуживание парка ПК( в т.ч. настройка и подключение новых), помощь в обслуживании серверной инфраструктуры, базовое обслуживание оргтехники, прокладка кабелей, тестирование кабельных сетей</li> </ul> <strong>Требования:</strong> <ul> <li>опыт работы в службе технической поддержки, службе системного администрирования- приветствуется, Знание Windows 7/8/10, знание *nix- приветствуется, знание принципов работы ЛВС, знание основ сетевой безопасности, понимание принципов работы DHCP, DNS, Group Policy;</li> <li>опыт работы с сетевым оборудованием mikrotik и d-link приветствуется, ответственность, стрессоустойчивость, желание развиваться</li> </ul> <strong>Условия:</strong> <ul> <li>оптимальные</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|DHCP|Настройка DNS|Администрирование сетевого оборудования|Администрирование серверов Windows|Windows 7,3.0,55042.857142857145,1.0,60000.0,специалист технической поддержки,"Опыт работы в службе технической поддержки, службе системного администрирования- приветствуется, Знание Windows 7/8/10, знание *nix- приветствуется, знание принципов...","Техническая поддержка пользователей, работа ч системой учета заявок, обслуживание парка ПК( в т.ч. настройка и подключение новых), помощь в...",12,поддержки
Москва,СОГАЗ,2019-12-06T13:24:25+0300,"<p><strong>Лидер приглашает лучших!</strong></p> <p> </p> <p><strong>Вас ожидают следующие задачи:</strong></p> <ul> <li>Работа по заявкам, поступающим в службу поддержки от пользователей;</li> <li>Взаимодействие с пользователями, их консультирование;</li> <li>Устранение ошибок при работе с ПО;</li> <li>Организация новых рабочих мест пользователей;</li> <li>Работа с аппаратным обеспечением, ПК и оргтехникой (диагностика и устранение неполадок в работе оборудования);</li> <li>Создание и поддержка в актуальном состоянии пользовательских учетных записей. <p> </p> </li> </ul> <p><strong>Критерии успеха:</strong></p> <ul> <li>Образование от среднего специального (профильного);</li> <li>Опыт работы в подразделениях Help Desk - не менее 1 года;</li> <li>Знание ОС семейства Windows;</li> <li>Знание архитектуры, содержания аппаратной части ПК;</li> <li>Навыки работы с сетевым оборудованием, локальными сетями</li> <li>Умение работать с Active Directory</li> <li>Исполнительность, ответственность, обучаемость, коммуникабельность;</li> <li>Грамотная устная и письменная речь. <p> </p> </li> </ul> <p><strong>Работая в Группе &quot;СОГАЗ&quot; вы получите</strong><strong>:</strong></p> <ul> <li>Опыт в компании №1 в России на рынке обязательного медицинского страхования, в высокопрофессиональной команде с уникальной для рынка историей, знаниями и технологиями;</li> <li>Оформление полностью в соответствии с ТК РФ;</li> <li>Стабильный доход в стабильной компании, а также систему премирования;</li> <li>Социальный пакет, включающий добровольное медицинское страхование в лучших клиниках города, специальные предложения по страхованию (КАСКО, имущество, жизнь), льготное кредитование, скидки на фитнес и другие программы от партнеров;</li> <li>Страхование жизни и страхование от несчастных случаев и болезней;</li> <li>Заботу компании о детях сотрудника: подарки на Новый год;</li> <li>График работы: пятидневная рабочая неделя;</li> <li>Территориальное местонахождение офиса: шаговая доступность от ст. м. Кожуховская.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,55042.857142857145,1.0,52500.0,специалист отдела технической поддержки пользователей,Образование от среднего специального (профильного). Опыт работы в подразделениях Help Desk - не менее 1 года. Знание ОС семейства Windows. ,"Работа по заявкам, поступающим в службу поддержки от пользователей. Взаимодействие с пользователями, их консультирование. Устранение ошибок при работе с ПО. ",14,поддержки
Москва,Adecco Russia,2019-12-05T12:08:55+0300,"<p>В крупную международную компанию открыта позиция <em>специалист технической поддержки</em>!</p> <p><strong>Обязанности:</strong></p> <ul> <li>Обеспечение первой линии тех.поддержки – распределение и решение заявок, назначение категорий, поддержка базы знаний;</li> <li>Консультирование пользователей по возникающим вопросам;</li> <li>Учёт оборудования – создание актов приёма/передачи, отслеживание и отражение изменений;</li> <li>Подготовка и настройка ноутбуков/десктопов для выдачи сотрудникам.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы от 1-го года;</li> <li>Знание на уровне продвинутого пользователя: Windows 7 - 10, MS Office;</li> <li>Знание общей архитектуры ПК, знание приемов и способов диагностирования неисправностей компьютерной и оргтехники;</li> <li>Навыки диагностики программных проблем, поиск причин и устранение ошибок;</li> <li>Умение произвести замену комплектующих ПК/ноутбука;</li> <li>Понимание принципов функционирования сети, службы AD, DNS, DHCP;</li> <li>Стрессоустойчивость.</li> </ul> <strong>Условия:</strong> <ul> <li>Конкурентная заработная плата;</li> <li>Доплата на питание;</li> <li>В пешей доступности от м. Парк культуры;</li> <li>Дружный и сплоченный коллектив.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Настройка сетевых подключений|TCP/IP|Windows 7|Ремонт ПК|Настройка ПО,3.0,55042.857142857145,1.0,65000.0,специалист технической поддержки,"Опыт работы от 1-го года. Знание на уровне продвинутого пользователя: Windows 7 - 10, MS Office. Знание общей архитектуры ПК...","Обеспечение первой линии тех.поддержки – распределение и решение заявок, назначение категорий, поддержка базы знаний. Консультирование пользователей по возникающим вопросам. ",16,поддержки
Москва,Крафт групп,2019-12-10T17:26:14+0300,"<strong>Обязанности:</strong> <p><em>-</em> решение инцидентов в составе первой линии поддержки;</p> <p>- обеспечение функционирования техники, работающей у пользователей и принятие оперативных мер по устранению, возникающих в процессе работы нарушений;</p> <p>- выполнение профилактических работ по поддержанию работоспособности средств вычислительной техники, оргтехники. Создание и ведение внутренней документации группы;</p> <p>- организация ремонта средств вычислительной техники с привлечением специализированных учреждений;</p> <p>- выполнение распоряжений руководителя.</p> <strong>Требования:</strong> <p>- высокий уровень коммуникации и культуры общения;</p> <p>- желания развиваться в сфере IT.</p> <p>- знание ОС Windows 7-10 на уровне администратора;</p> <p>- знание и уверенное сопровождение офисного ПО;</p> <p>- умение помочь в настройке и устранении неисправностей в процессе работы;</p> <p>- знание устройства и работы основных сетевых протоколов. Практические навыки их настройки;</p> <p>- глубокие знания компьютерных комплектующих;</p> <p>- знание, навыки работы и обслуживания печатающей техники, предназначенной для средних и больших офисов;</p> <p>- базовые знания основ администрирования AD.</p> <strong>Условия:</strong> <ul> <li>Работа в лидирующей металлоторгующей компании;</li> <li>Конкурентная заработная плата</li> <li>Оформление в соответствии с ТК РФ;</li> <li>График работы 5/2 с 9.00 до 18.00.</li> </ul> <p> </p>",Полная занятость,Полный день,Нет опыта,|Windows 7|Администрирование|Офисная техника|Ремонт ПК|Windows Xp,,55042.857142857145,,52500.0,специалист технической поддержки,высокий уровень коммуникации и культуры общения. - желания развиваться в сфере IT. - знание ОС Windows 7-10 на уровне администратора. - ,"решение инцидентов в составе первой линии поддержки. - обеспечение функционирования техники, работающей у пользователей и принятие оперативных мер по устранению, возникающих...",10,поддержки
