city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,АНО ДО ИНГЛИШ ПЛЮС,2019-12-10T15:58:30+0300,"<p>Наши партнеры, Кодкласс - динамично развивающаяся (уже более 40 школ) образовательная компания, которая уже получила признание подрастающих программистов и их родителей.</p> <p><strong>Ищем тех, кому было бы интересно развиваться в выбранной специальности и работать по гибкому графику !</strong></p> <p> </p> <p><strong>Обязанности:</strong></p> <p>Проведение занятий по программированию для детей</p> <p>Отслеживание результатов обучения</p> <p>Консультирование родителей по вопросам успеваемости детей</p> <strong>Требования:</strong> <p>Студент (от 3 курса и старше), аспирант или выпускник технического или педагогического вуза ( желательно, факультет информационные технологии или аналогичные специальности)</p> <p>Знание языков программирования или желание им обучиться (для преподавателей программирования)</p> <p>Опыт публичных выступлений или репетиторства как плюс</p> <p>Коммуникабельность, пунктуальность, адекватность</p> <p>Желание развиваться и повышать свою квалификацию</p> <strong>Условия:</strong> <p>Возможность совмещать преподавание с учебой или работой (занятия проводятся в выходные дни )</p> <p>Бесплатное обучение по преподаванию для успешных кандидатов ( Scratch, Unity 3D, Java, Javascript )</p> <p>Обеспечение методическими материалами</p> <p>Высокую заработную плату (до 30 000 рублей в месяц за работу только по выходным)</p> <p>Возможность развиваться внутри компании и овладевать новыми навыками</p> <p>Постоянное место работы находится в 5 мин пешком от м Водный стадион , обучение проходит в центре Москвы.</p>",Частичная занятость,Гибкий график,Нет опыта,|Преподаватель|Публичные выступления|Unity|Обучение|Навыки межличностного общения,,30000.0,,50000.0,преподаватель,"Студент (от 3 курса и старше), аспирант или выпускник технического или педагогического вуза ( желательно, факультет информационные технологии или аналогичные специальности). ",Проведение занятий по программированию для детей. Отслеживание результатов обучения. Консультирование родителей по вопросам успеваемости детей. Обеспечение методическими материалами.,3
Москва,Skillbox,2019-12-04T15:57:30+0300,"<p>Skillbox — онлайн университет современных профессий. Более 20 000 студентов освоили новые профессии: дизайн, маркетинг и управление, код. Мы один из лидеров российского рынка онлайн-образования, резидент «Сколково», и хотим изменить мир образования в России и СНГ.</p> <p>В настоящий момент мы находимся в поиске <strong>проверяющего преподавателя на курс веб-верстка </strong>и<strong> JavaScript</strong>. Основная задача - это проверка домашних заданий наших любимых студентов (слушателей образовательных курсов Skillbox). Мы стараемся ответить на любой вопрос студентов и никого не оставить без внимания.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Проверять работы студентов курсов по курсу веб-верстка и JS от Skillbox (до 10-20 проверок студентов в день);</li> <li>Давать обратную связь студентам по выполненным заданиям в письменном виде и оценивать их работы;</li> <li>Нужно отслеживать на все ли вопросы студенты ответили и задавать наводящие/уточняющие вопросы по каждому пункту, чтобы студенты могли глубже проработать тему.</li> </ul> <p><strong>Что мы ждем от вас:</strong></p> <ul> <li>навыки работы с HTML, CSS, jOuery, JavaScript;</li> <li>умение верстать;</li> <li>опыт работы наставником, ментором или преподавателем;</li> <li>умение преподавать: понятно объяснять и добиваться усвоения другими учебного материала.</li> </ul> <p><em><strong>Будет отлично, если вы уже работали, как проверяющий преподаватель.</strong></em></p> <p><strong>Мы предлагаем отличные условия:</strong></p> <ul> <li> <p>Вы сами выбираете свой график и уровень нагрузки: гибкий (2-4 часа в день), либо полный день (8 часов);</p> </li> <li> <p>Вы работаете когда вам удобно, без привязки ко времени;</p> </li> <li> <p>Постоянство в доходе;</p> </li> <li> <p>Доступ ко всем лекциям Skillbox по вашему направлению;</p> </li> <li> <p>Возможность внести свой вклад в развитие онлайн-образования;</p> </li> <li> <p>Помощь и поддержка команды продюсеров курсов и коллег.</p> </li> </ul>",Частичная занятость,Удаленная работа,От 1 года до 3 лет,|JavaScript|HTML5|HTML|CSS3|Преподаватель|Наставничество,3.0,60000.0,1.0,30000.0,проверяющий преподаватель,"Навыки работы с HTML, CSS, jOuery, JavaScript. Умение верстать. Опыт работы наставником, ментором или преподавателем. Умение преподавать: понятно объяснять и...",Проверять работы студентов курсов по курсу веб-верстка и JS от Skillbox (до 10-20 проверок студентов в день). ,9
Москва,ФКУ Центр по обеспечению деятельности Казначейства России,2019-11-20T11:04:28+0300,"<p><strong>Основная задача</strong> - создание электронных курсов по информационным системам.</p> <p><strong>Обязанности:</strong></p> <p>Методическая работа с исходными материалами (инструкции, руководство): структурирование и группирование информации, выделение ключевых мыслей;</p> <p>Написание сценария с подробным описанием слайдов курса;</p> <p>Проектирование практических тренажеров и тестовых заданий;</p> <p>Участие в создании концепций для курсов;</p> <p>Общение с экспертами.</p> <p><strong>Требования:</strong></p> <p>Навыки переработки текстов информационной тематики в простую и понятную речь;</p> <p>Умение четко формулировать мысли устно и письменно;</p> <p>Понимание законов восприятия, концентрации внимания и основ педагогического дизайна;</p> <p>Грамотный русский язык;</p> <p>Развитое визуальное мышление;</p> <p>Внимание к деталям, ответственность;</p> <p>Навыки работы с iSpring, с LMS Moodle.</p> <p><strong>Образование</strong> Высшее.</p> <p><strong>Опыт работы</strong> в области обучения (консультирования).</p> <p><strong>Дополнительно</strong></p> <p>Умение грамотно вести деловую переписку.</p> <p>Коммуникабельность, ответственность, высокий уровень самоорганизации.</p> <p><strong>Мы предлагаем</strong></p> <p>Интересные, амбициозные задачи.</p> <p>Дружный, активный и молодой коллектив.</p> <p>Официальное трудоустройство, полное соблюдение ТК РФ.</p> <p>Комфортный офис рядом с м. «Белорусская».</p> <p>График работы: 5/2 с 9:00 до 18:00, пятница с 9:00 до 16:45.</p> <p>Ежегодный, оплачиваемый отпуск 36 календарных дней.</p> <p>Конкурентоспособная, стабильная заработная плата.</p> <p>Обучение и повышение квалификации, карьерный рост.</p>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,70000.0,1.0,70000.0,elearning преподаватель,Навыки переработки текстов информационной тематики в простую и понятную речь. Умение четко формулировать мысли устно и письменно. Понимание законов восприятия...,"Основная задача - создание электронных курсов по информационным системам. Методическая работа с исходными материалами (инструкции, руководство): структурирование и группирование информации, выделение...",23
Санкт-Петербург,Университет ИТМО,2019-11-15T12:56:14+0300,"<p>Международный образовательный научный центр «AUTODESK» ИТМО проводит сертифицированное обучение, подтверждает профессиональные навыки на соответствие международным стандартам. Проводит консультации при разработке проектов.</p> <p><strong>Обязанности:</strong></p> <ul> <li>ведение курсов дополнительного профессионального образования.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>уверенное знание программного продукта 1С:Предприятие с опытом работы в нем;</li> <li> <p>высшее образование;</p> </li> <li> <p>опыт преподавания будет преимуществом.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li>занятия проводятся в дневное время;</li> <li>оформление по гражданско-правовому договору;</li> <li>работа по совместительству;</li> <li>молодой, дружный коллектив.</li> </ul>",Частичная занятость,Гибкий график,От 1 года до 3 лет,|Обучение|Групповое обучение|1С: Предприятие,3.0,35882.35294117647,1.0,32117.647058823528,преподаватель,Ведение курсов дополнительного профессионального образования. Требования: Уверенное знание программного продукта 1С:Предприятие с опытом работы в нем. Высшее образование. ,Без обязанностей,28
Санкт-Петербург,Академия Шаг СПб,2019-12-09T12:23:47+0300,"<p><em>Международная Компьютерная Академия «Шаг», филиал в Санкт-Петербурге, занимающаяся профессиональной подготовкой и переподготовкой в области ИТ</em></p> <p><em>Требуются преподаватели по специализациям: &quot;Тестирование ПО&quot;, &quot;Мануальное тестирование&quot;</em></p> <p>Требуемый опыт работы: 3–6 лет,</p> <p>Частичная занятость, гибкий график</p> <p>Если Вы обладаете теоретическими и практическими знаниями, являетесь опытным специалистом и хотите поделиться своими знаниями и научить других, то наша вакансия для Вас!</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Чтение курсов по вышеуказанным специализациям;</p> </li> <li> <p>Проведение практических занятий;</p> </li> <li> <p>Участие в семинарах и конференциях;.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Высшее техническое образование;</p> </li> <li> <p>Опыт работы по данной специализации от 3-х лет;</p> </li> <li> <p>Опыт публичных выступлений (или отсутствие страха выступлений);</p> </li> <li> <p>Хорошие коммуникативные навыки;</p> </li> <li> <p>Рассматриваются кандидаты без опыта преподавательской деятельности и большим желанием его приобрести.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Работу в активно развивающейся компании;</p> </li> <li> <p>Трудоустройство по договору и сдельную систему оплаты;</p> </li> <li> <p>Готовые учебные планы с возможностью вашего творческого участия</p> </li> <li> <p>Дружный коллектив;</p> </li> <li> <p>Комфортные условия труда.</p> </li> </ul>",Частичная занятость,Гибкий график,От 3 до 6 лет,|Модульное тестирование|QA|Проведение тестирований|Функциональное тестирование|Регресионное тестирование|Тестирование|Тестирование пользовательского интерфейса|Разработка технических заданий,6.0,35882.35294117647,3.0,32117.647058823528,преподаватель,Требуемый опыт работы: 3–6 лет. Чтение курсов по вышеуказанным специализациям. Высшее техническое образование. Опыт работы по данной специализации от...,Проведение практических занятий. Участие в семинарах и конференциях;.,4
Екатеринбург,УДПО Международный институт технических инноваций,2019-12-12T09:30:20+0300,"<p><strong>«Международный институт технических инноваций» (УДПО &quot;МИТИ&quot; ) - авторизованный партнер SIEMENS по обучению в РФ. </strong>Создан в 2005 году и на сегодняшний день является одним из лидеров по предоставлению обучающих программ для промышленных предприятий России и ближнего зарубежья. Наши слушатели - инженерно-технический персонал, рабочие специалисты промышленных предприятий: машиностроительных, горнообогатительных, металлургических, и т.д<strong>. </strong>(с подробной информацией о работе УДПО &quot;МИТИ&quot; вы можете ознакомиться на сайте www.iiti.ru). Для работы на постоянной основе в УДПО &quot;МИТИ&quot; открыт конкурс на вакансию <strong>Преподаватель по курсу &quot;СИСТЕМЫ ПРОМЫШЛЕННОЙ АВТОМАТИЗАЦИИ SIEMENS&quot;.</strong></p> <p><strong>Мы ищем специалиста, имеющего богатый практический опыт, желающего делиться им с коллегами!</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Проведение обучающих программ для слушателей института</li> <li>Ведение выездных обучающих программ для слушателей промышленных предприятий РФ и стран СНГ</li> <li>Участие в подготовке учебно-методических материалов</li> <li>Участие в инжиниринговых проектах</li> <li>Наши сотрудники также имеют возможность заниматься наладкой, тестированием, введением в эксплуатацию оборудования АСУТП на объектах по территории РФ и СНГ, получая за это дополнительный материальный бонус.</li> </ul> <strong>Требования:</strong> <ul> <li>Образование - высшее электротехническое</li> <li>Исчерпывающие знания в области контроллеров SIMATIC S7-300/400/1200/1500, опыт проектирования или эксплуатации систем на их базе - обязателен</li> <li>Владение SCADA системой WinCC и WinCCflexible, опыт проектирования операторских интерфейсов</li> <li>Понимание принципов построения промышленных сетей</li> <li>Знания в области приводной техники</li> <li>Понимание принципов построения промышленных автоматизированных систем</li> <li>Желательно: знание TIA Portal, опыт в области HE Siemens контроллеров, наличие сертификатов о прохождении обучения Siemens</li> <li>Желание делиться накопленными знаниями.</li> </ul> <strong>Условия:</strong> <ul> <li>Заработная плата: от 70 000 руб. (оклад 50 000 руб. + ежемесячные премии за проведенные курсы, проекты). Зарплата белая, выплачивается 2 раза в месяц без задержек.</li> <li>Трудоустройство по ТК РФ</li> <li>Место работы: ул. Коминтерна (Кировский р-он)</li> <li>Работа в комфортном оборудованном офисе. Оборудованные классы для слушателей.</li> <li>Поддержка коллег, корпоративные мероприятия</li> <li>Командировки</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,Без ключевых навыков,6.0,30000.0,3.0,70000.0,преподаватель,"Образование - высшее электротехническое. Исчерпывающие знания в области контроллеров SIMATIC S7-300/400/1200/1500, опыт проектирования или эксплуатации систем...",Проведение обучающих программ для слушателей института. Ведение выездных обучающих программ для слушателей промышленных предприятий РФ и стран СНГ. ,1
Екатеринбург,IT-школа Кодиум,2019-12-13T15:40:21+0300,"<p><strong>Онлайн-школа для детей &quot;Кодиум&quot; активно растет и мы снова в поиске талантов.</strong></p> <p><strong>Мы обучаем детей программированию онлайн по всему Миру (русскоязычные занятия) — так же, мы резиденты IT-парка в Казани. А большая часть команды работает удаленно по всей России!</strong></p> <p>Наша вакансия — возможность стать частью идейной команды, внести вклад в новую систему образования, реализовать свой потенциал и зарабатывать находясь в любой точке Мира.</p> <p>Рассматриваем кандидатов и без опыта работа в данной профессии — предусмотрено полное обучение.</p> <p><strong>Обязанности.</strong></p> <p>1. Проведение занятий согласно методическому плану.<br />2. Контроль учебного процесса/качества знаний.<br />3. Работа в команде над улучшением учебных материалов.</p> <p><strong>Требования.</strong></p> <p>1. Возможность работать удаленно — стабильный интернет, самодисциплина и отсутствие посторонних шумов.<br />2. Опыт работы с детьми и любовь к ним!<br />3. Базовое понимание IT-сферы, программирования.<br />4. Умение брать ответственность за результат.<br />5. Тяга к новым знаниям и достижениям.<br />6. Коммуникабельность, открытость.</p> <p><strong>Условия работы.</strong></p> <ol> <li>Удаленная работа с любой точки Мира.</li> <li>Полное обучение.</li> <li>Оклад + бонусы.</li> <li>Возможность карьерного роста.</li> <li>Молодой и дружный коллектив (Да-да, даже на удаленке!)</li> </ol> <p>Пожалуйста, напишите сопроводительное письмо к резюме, в котором напишете о себе и почему вы хотите работать у нас. Спасибо!</p> <p><br /><strong>Мы ждём вас. Пишите.</strong></p>",Частичная занятость,Удаленная работа,Нет опыта,|Работа в команде|Обучение и развитие|Грамотная речь|Ориентация на результат|Контроль качества|Обучение|Организация учебного процесса,,30000.0,,20000.0,преподаватель,"Рассматриваем кандидатов и без опыта работа в данной профессии — предусмотрено полное обучение. 1. Возможность работать удаленно — стабильный интернет, самодисциплина и...",1. Проведение занятий согласно методическому плану. 2. Контроль учебного процесса/качества знаний. 3. Работа в команде над улучшением учебных материалов.,0
Екатеринбург,Учитель для России,2019-11-22T15:24:42+0300,"<p>Нынешним школьникам уже не хватает уроков информатики — многие готовы развивать себя и в робототехнике. Мы приглашаем вас, увлеченных технарей и программистов, поделиться своим вдохновением за школьной партой. Только вы сможете сократить дистанцию между региональной школой и техническим прогрессом. И будущее придёт в класс вместе с вами.</p> <p>Программа «Учитель для России» предлагает вам стать таким учителем. Даже если вы никогда не работали в школе и не получали педагогического образования, с нами вы можете овладеть этой профессией. Если вы уже преподаете робототехнику — присоединяйтесь к нашему большому сообществу!</p> <p>Чтобы стать одним из учителей для России, нужно:</p> <ul> <li> <p>иметь высшее образование по любой специальности;</p> </li> <li> <p>любить детей, верить в потенциал каждого ребенка вне зависимости от условий, в которых он растет;</p> </li> <li> <p>понимать, что все люди разные, и принимать индивидуальность каждого;</p> </li> <li> <p>пройти конкурс на участие в программе;</p> </li> <li> <p>принять участие в Летнем институте, выездном пятинедельном курсе педагогики;</p> </li> <li> <p>переехать (при необходимости) в один из регионов, в которых находятся школы-партнеры (Новгородская, Нижегородская, Калужская, Тамбовская, Воронежская области)</p> </li> </ul> <p>Мы поддерживаем наших участников! Каждый учитель получает:</p> <ul> <li> <p>поддержку со стороны куратора и методиста на протяжении двух лет;</p> </li> <li> <p>поддержку большого и дружного сообщества, в котором сейчас более 300 единомышленников;</p> </li> <li> <p>стипендию в размере 20 000 рублей в дополнение к зарплате в школе;</p> </li> <li> <p>компенсацию на аренду жилья в размере 15 000 рублей в месяц;</p> </li> <li> <p>диплом НИУ ВШЭ о педагогической переподготовке по окончании программы.</p> </li> </ul>",Полная занятость,Полный день,Нет опыта,Без ключевых навыков,,30000.0,,45000.0,преподаватель,Иметь высшее образование по любой специальности. Диплом НИУ ВШЭ о педагогической переподготовке по окончании программы.,Без обязанностей,21
Екатеринбург,Softline,2019-12-12T15:15:20+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Чтение курсов по Cisco (ICND, IINS, SWITC, ROUTE, BGP и др.);</p> </li> <li> <p>Проведение обучения по утвержденным программам;</p> </li> <li> <p>Участие в разработке тематических планов и методических материалов;</p> </li> <li> <p>Развитие читаемых курсов, поддержание их актуальности.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Приветствуется опыт преподавания, работы с аудиторией;</li> <li>Наличие профильных сертификатов CCSI и CCNP/CCIE/CCNA (желательно).</li> </ul> <strong>Условия:</strong> <ul> <li>Мы предлагаем гибкий график, позволяющий, в том числе, совмещать преподавание с Вашей основной работой</li> <li>Возможность профессионального роста, в т.ч. получение сертификаций.</li> <li>Достойный размер оплаты труда</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,Без ключевых навыков,,30000.0,,45000.0,преподаватель,"Приветствуется опыт преподавания, работы с аудиторией. Наличие профильных сертификатов CCSI и CCNP/CCIE/CCNA (желательно).","Чтение курсов по Cisco (ICND, IINS, SWITC, ROUTE, BGP и др.). Проведение обучения по утвержденным программам. Участие в разработке тематических...",1
Екатеринбург,Softline,2019-12-12T15:15:20+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Проведение курсов по существующим программам центра;</p> </li> <li> <p>Актуализация и обновление курсов;</p> </li> <li> <p>Разработка учебно-методических материалов.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Приветствуется опыт преподавания, работы с аудиторией;</li> <li>Наличие профильных сертификатов VCI (желательно).</li> </ul> <strong>Условия:</strong> <ul> <li>Мы предлагаем гибкий график, позволяющий, в том числе, совмещать преподавание с Вашей основной работой;</li> <li>Возможность профессионального роста, в т.ч. получение сертификаций;</li> <li>Достойный размер оплаты труда.</li> </ul>",Частичная занятость,Гибкий график,Нет опыта,Без ключевых навыков,,30000.0,,45000.0,преподаватель,"Приветствуется опыт преподавания, работы с аудиторией. Наличие профильных сертификатов VCI (желательно).",Проведение курсов по существующим программам центра. Актуализация и обновление курсов. Разработка учебно-методических материалов.,1
