city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,Нью Бизнес Текнолоджис,2019-12-05T16:09:23+0300,"<p><br /><strong>Мы предлагаем присоединиться к нашей команде Front-end разработчику,<br />мотивированного создавать качественные приложения.</strong></p> <p><strong>Команда разработки на данный момент 14 человек (Android, Ios, Front, Back, QA). Наш стек:<br />React, Redux, Ramda, Webpack, Babel, PostCSS</strong>.<br /><strong>Будем рады новому члену команды. </strong></p> <p><strong>Требования:</strong><br />- уверенное владение Javascript (ES6), CSS, HTML (знание других языков<br />приветствуется);<br />- понимание основ функционального программирования;<br />- опыт работы с React, Redux, Web APIs, Webpack (Node.js будет плюсом);<br />- опыт разработки клиент-серверных приложений;<br />- опыт разработки UI;<br />- готовность разбираться в чужом коде;<br />- умение работать как в команде, так и самостоятельно.</p> <p><strong>Задачи:</strong><br />- разработка нового функционала;<br />- поддержка существующего кода;<br />- участие в обсуждении требований.</p> <p><strong>Предлагаем:</strong><br />- офис в Москве м. Таганская (3 мин. от метро);<br />- оформление ТК РФ;<br />- уровень заработной платы определяется по результатам собеседования;<br />- code review;<br />- рост и развитие в международной компании (офисы Кипр, РФ, ЮАР).</p>",Полная занятость,Полный день,Нет опыта,|JavaScript|Node.js|HTML|CSS|Git,,113218.75,,72792.85714285714,front end разработчик,"уверенное владение Javascript (ES6), CSS, HTML (знание других языков. Приветствуется). - понимание основ функционального программирования. - опыт работы с React, Redux...",разработка нового функционала. - поддержка существующего кода. - участие в обсуждении требований.,15,разработчик
Москва,Фирма СТОМ,2019-12-05T12:35:19+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Поддержка и развитие корпоративной самописной CRM системы;</li> <li>Самостоятельная работа.</li> </ul> <strong>Требования:</strong> <ul> <li>Отличное знание php 5 (5.4-5.7) и опыт работы с php от 1 года;</li> <li>Понимание принципов ООП;</li> <li>Приветствуется опыт работы с фреймворками Yii2, phalcon</li> <li>Уверенное знание MySQL;</li> <li>Базовые знания HTML, CSS, Bootstrap 3, JS (jQuery);</li> <li>Опыт работы с системой контроля версий Git;</li> <li>Умение читать документацию, понимать ее и применять.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оформление по ТК РФ;</li> <li>Заработная плата обсуждается от 120000 + KPI;</li> <li> <p>Полная занятость, полный день;</p> </li> <li>Корпоративные курсы английского языка;</li> <li>Возможности профессионального роста, развития и обучения за счет работодателя/</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|PHP|HTML|PHP5|Ajax|MySQL|ООП|Yii|Git,3.0,150000.0,1.0,72792.85714285714,php разработчик,Отличное знание php 5 (5.4-5.7) и опыт работы с php от 1 года. Понимание принципов ООП. ,Поддержка и развитие корпоративной самописной CRM системы. Самостоятельная работа.,16,разработчик
Москва,Федеральная сеть книжных магазинов «Читай-город»,2019-12-13T19:09:57+0300,"<p><em>Программист PHP (senior)</em></p> <p><strong>ВАШИ ЗАДАЧИ:</strong></p> <ul> <li>Разработка совместно с командой программистов нового высоконагруженного интернет-магазина</li> <li>Разработка и модификация программных модулей и утилит</li> <li>Поддержка и контроль работоспособности веб-ресурса компании</li> <li>Отладка и оптимизация производительности программного обеспечения веб-ресурса компании</li> <li>Выбор алгоритмов и проектирование структур данных</li> <li>Проверка соответствия программного кода его функциональному назначению</li> </ul> <p><strong>НАШИ ОЖИДАНИЯ:</strong></p> <ul> <li>Уверенное знание нативного PHP (основная версия 7.2, от вас ожидаем уверенное знание 5.6 и преставление о различиях; опыт написания на 7+ приветствуется)</li> <li>Опыт работы или представление об архитектуре типовых фреймворков</li> <li>Опыт работы с MySQL от 1 года, умение работать со связанными таблицами, вложенными запросами</li> <li>Представление о партиционировании и шардинге/антишардинге баз данных</li> <li>Понимание ООП и умение его применять</li> <li>Уверенное знание JavaScript, HTML, CSS</li> <li>Умение работать с Git, Subversion</li> <li>Уверенное владение консолью Linux</li> <li>Дополнительным плюсом будет владение хранимыми процедурами и триггерами на MySQL и/или знание и опыт работы с СУБД PostgreSQL</li> </ul> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <ul> <li>Работа в крупной динамично развивающейся компании. Книги в России продаём мы!</li> <li>Коллектив профессионалов, работающих в интеллектуальном бизнесе</li> <li>Возможности для развития и карьерного роста</li> <li>Корпоративное обучение</li> <li>Стабильная официальная зарплата, оформление в соответствии с ТК РФ</li> <li>Электронная корпоративная библиотека</li> <li>Удобный график работы</li> <li>Скидка 30% в магазинах сети</li> <li>Современный офис в шаговой доступности от м. Бутырская и Фонвизинская (также удобно добираться от м. Тимирязевская, ВДНХ, ж/д платформ Тимирязевская и Останкино)</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|PHP|MySQL|ООП|Git|Redis|Elasticsearch|Linux,6.0,113218.75,3.0,72792.85714285714,php разработчик,"Уверенное знание нативного PHP (основная версия 7.2, от вас ожидаем уверенное знание 5.6 и преставление о различиях; опыт...",Разработка совместно с командой программистов нового высоконагруженного интернет-магазина. Разработка и модификация программных модулей и утилит. Поддержка и контроль работоспособности...,7,разработчик
Москва,Techport.ru,2019-12-05T10:54:12+0300,"<p><strong><em>Интернет-гипермаркету требуются php-разработчики разного уровня. Заработная плата обсуждается на собеседовании индивидуально.</em></strong></p> <p> </p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>Разрабатывать web-приложения для интернет-магазинов;</li> <li>Поддерживать существующий код;</li> <li>Предлагать свои решения.</li> </ul> <p> </p> <p><strong>Что ожидаем:</strong></p> <ul> <li>Опыт работы с PHP, MySQL;</li> <li>Не бояться командной строки;</li> <li>Хотеть работать с git;</li> <li>Понимать технологию LAMP.</li> </ul> <p> </p> <p><strong>Что предлагаем:</strong></p> <ul> <li> <p>Оформление по ТК РФ;</p> </li> <li> <p>График работы: 5/2 с 10.00 до 19.00, либо удобный для Вас график в рамках 8-часового рабочего дня (по пятницам сокращенный день);</p> </li> <li> <p>Возможность периодической удаленной работы;</p> </li> <li> <p>Ст. метро Кантемировская, 5 мин. пешком;</p> </li> <li> <p>Возможность дополнительного обучения;</p> </li> <li> <p>Программа лояльности на приобретение ассортимента интернет-магазина;</p> </li> <li>Уровень заработной платы обсуждается по результатам собеседования.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|PHP|MySQL|HTML,3.0,113218.75,1.0,72792.85714285714,php разработчик,"Опыт работы с PHP, MySQL. Не бояться командной строки. Хотеть работать с git. Понимать технологию LAMP.",Разрабатывать web-приложения для интернет-магазинов. Поддерживать существующий код. Предлагать свои решения.,16,разработчик
Москва,Изибук,2019-12-12T17:23:32+0300,"<p><strong>Обязанности:</strong></p> <p>- Написания отдельных функций;</p> <p>- Верстка</p> <p><strong>Требования:</strong></p> <p>- Желательно знания CSS, React или Vue, NodeJS</p> <ul> <li>Адекватно относиться к критике.</li> <li>Желание учиться;</li> <li>Умение работать с документацией.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в офисе;</li> <li>ст. метро Парк Культуры (3 минуты пешком);</li> <li>График работы: 5/2 Пн-пт с 9:00 до 19:00 (обсуждается);</li> <li>Своевременная выплата заработной платы;</li> <li>Работа в соответствии с ТК;</li> <li>Перспективы профессионального роста.</li> </ul>",Полная занятость,Полный день,Нет опыта,|CSS|Грамотность|Корпоративная этика|JavaScript,,80000.0,,50000.0,junior fronted разработчик,"Желательно знания CSS, React или Vue, NodeJS. Адекватно относиться к критике. Желание учиться. Умение работать с документацией.",Написания отдельных функций. - Верстка.,8,разработчик
Москва,ФИНАМ,2019-11-25T13:54:17+0300,"<p>Мы ищем разработчика С# на внутренний проект развития CRM системы.</p> <p><strong>Мы ждем от вас:</strong></p> <ul> <li>Опыт работы с С#,.NET, JavaScript, llS, SQL на уровне, достаточном для разработки</li> <li>Плюсом будет наличие знаний (или желание их прокачать) по MS Dynamics CRM и MS Reporting Services</li> </ul> <p><strong>Актуальные задачи:</strong></p> <ul> <li>Разработка, внедрение и сопровождение существующих и новых бизнес-приложений</li> <li>Разработка сервисов интеграции CRM c другими учетными системами</li> <li>Разработка web-приложений</li> <li>Кастомизация системы MS Dynamics CRM</li> <li>Разработка отчетов, настройка системы</li> </ul> <p><strong>Мы готовы предложить:</strong></p> <ul> <li>Стабильная &quot;белая&quot; заработная плата, оформление по ТК РФ, медицинская страховка (ДМС со стоматологией), «бонусы» за стаж работы</li> <li>Офис в историческом центре Москвы – 3 минуты пешком от м. «Пушкинская», «Тверская», «Чеховская»</li> <li>Просторный опен-спейс с зоной отдыха на крыше, кофе-пойнтами, кухней и недорогим кафе</li> <li>Гибкий график работы с возможностью смещать начало рабочего дня</li> <li>Посещение внешних конференций и профильных мероприятий, регулярные внутренние мит-апы и встречи профессиональных сообществ в офисе</li> <li>Гибкие бизнес-процессы, минимум бюрократии и согласований</li> <li>Активная корпоративная жизнь – регулярные корпоративные мероприятия, футбольная и волейбольная команды, настольные игры и настольный теннис в офисе</li> </ul> <p><strong>Подробнее о работе в Департаменте информационных технологий </strong>- https://it.finam.ru/</p>",Полная занятость,Гибкий график,От 1 года до 3 лет,|MS SQL|C#,3.0,113218.75,1.0,72792.85714285714,разработчик с#,"Опыт работы с С#,.NET, JavaScript, llS, SQL на уровне, достаточном для разработки. Плюсом будет наличие знаний (или желание их...","Разработка, внедрение и сопровождение существующих и новых бизнес-приложений. Разработка сервисов интеграции CRM c другими учетными системами. Разработка web-приложений. ",25,разработчик
Москва,ИКРАТКОЕ,2019-12-11T11:31:33+0300,"<p>В команду для работы на постоянной основе требуется талантливый backend-разработчик с опытом программирования от 3 лет. Интересные задачи, адекватное руководство гарантировано.</p> <p><strong>От Вас:</strong></p> <ul> <li> <p>Владение PHP 5-7</p> </li> </ul> <p>Во всех новых задачах мы используем самые свежие версии PHP</p> <p>(При этом есть один проект, использующий PHP 5.6)</p> <ul> <li> <p>Понимание принципов ООП, SOLID, MVC, паттерны проектирования.</p> </li> </ul> <p>Понимание основных парадигм ООП и лучших практик за годы работы.</p> <ul> <li> <p>Использование стандартов PSR</p> </li> <li> <p>Опыт работы с базой данных (преимущественно Mysql), умение составлять большие sql запросы.</p> </li> <li> <p>Знание основ HTML, CSS и Javascript</p> </li> <li> <p>Умение пользоваться системой контроля версий Git</p> </li> <li> <p>Стремление развиваться и впитывать новое, писать качественный код, общаться с такими же энтузиастами.</p> </li> </ul> <p> </p> <p><strong>Дополнительными плюсами будут:</strong></p> <ul> <li> <p>Профиль и наличие кода на Github</p> </li> <li> <p>Опыт написания unit-тестов</p> </li> <li> <p>Опыт работы с Laravel и Vue.js</p> </li> <li> <p>Опыт(был) или текущая работа с UNIX сис-ми</p> </li> <li> <p>Опыт работы со сторонними API</p> </li> <li> <p>Опыт работы с библиотеками: Symfony Components, Intervention Image, Faker и тд.</p> </li> </ul> <p><br /><strong>От Нас:</strong></p> <ul> <li> <p>Возможность влиять на продукт: прислушиваемся к мнению каждого члена команды</p> </li> </ul> <ul> <li> <p>Интересная работа, способствующая развитию наших сотрудников</p> </li> <li> <p>Заработная плата от 100 000 руб/месяц (зависит от вашего уровня)</p> </li> <li> <p>Оформление по ТК</p> </li> <li> <p>График работы 5/2 (м.Авиамоторная ТЦ Синица Плаза) гибкое начало рабочего дня — с 9-11 часов</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|laravel|PHP|MySQL|Vue|Linux|Git,3.0,113218.75,1.0,100000.0,php разработчик,"В команду для работы на постоянной основе требуется талантливый backend-разработчик с опытом программирования от 3 лет. Интересные задачи, адекватное...",Использование стандартов PSR.,10,разработчик
Москва,PlayFlock,2019-12-11T17:25:09+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка игровых приложений</li> <li>Участие в разработке новых проектов</li> <li>Поддержка и развитие существующих проектов</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы с Unity – от 6 месяцев</li> <li>Уверенное знание C#</li> <li>Уверенное владение ООП, понимание основных шаблонов проектирования</li> <li>Опыт разработки приложений под мобильные платформы (iOS, Android)</li> <li>Готовность выполнить тестовое задание</li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li>Опыт работы с OS X</li> <li>Опыт работы с XCode, Android Studio</li> <li>Знание Objective-C, Swift, Java, JavaScript</li> <li>Знание и понимание мобильных ОС</li> <li>Опыт интеграции сторонних SDK</li> <li>Опыт написания простых плагинов под мобильные платформы (Android, iOS)</li> <li>Опыт работы с системами контроля версий</li> <li>Навыки работы с SDK социальных сетей</li> <li>Опыт написания расширений редактора Unity</li> </ul> <strong>Условия:</strong> <ul> <li>Мы находимся в 10 минутах ходьбы от метро ВДНХ в современном бизнес центре с красивым видом на Москву;</li> <li>Работаем с понедельника по пятницу, с 10 до 19 или с 11 до 20 на ваш выбор;</li> <li>Ваше трудоустройство будет полностью официальным, уровень дохода обсуждается на собеседовании;</li> <li>Всегда есть возможность работать над интересными и амбициозными задачами;</li> <li>В нашей компании есть все для комфортной работы: cэндвичи, фрукты и йогурты на завтрак, чай, кофе в зернах и печеньки в течение дня;</li> <li>Полная компенсация обедов, отпусков и больничных;</li> <li>Комнаты отдыха с диванами, массажным креслом, игровыми приставками, бильярдом и настольным теннисом;</li> <li>Всем сотрудникам оплачивается медицинская страховка, что позволяет им следить за своим здоровьем в лучших клиниках Москвы и фитнес - клуб.</li> </ul> <p><em><strong><strong>Мы </strong><strong>молод</strong><strong>ой, дружный и творческий коллектив создающий игровые миры, в которые играют миллионы людей, присоединяйтесь! </strong></strong></em></p>",Полная занятость,Полный день,От 1 года до 3 лет,|Unity|C#,3.0,113218.75,1.0,72792.85714285714,unity разработчик,"Опыт работы с Unity – от 6 месяцев. Уверенное знание C#. Уверенное владение ООП, понимание основных шаблонов проектирования. Опыт разработки приложений...",Разработка игровых приложений. Участие в разработке новых проектов. Поддержка и развитие существующих проектов.,9,разработчик
Москва,Первый Бит,2019-11-28T18:52:27+0300,"<p>В связи с запуском в компании новой LMS системы приглашаем в команду разработчика онлайн курсов.</p> <p><strong>Что будет входить в обязанности: </strong></p> <ul> <li>составление структуры будущего учебного курса;</li> <li>разработка концепций с использованием методов геймификации и сторителлинга;</li> <li>проработка материалов с точки зрения педагогического дизайна;</li> <li>проработка интерактивов и механик работы будущего курса;</li> <li>подбор контента;</li> <li>выделение ключевых мыслей и стилистическая адаптация текста;</li> <li>взаимодействие с экспертами, проведение интервью для сбора дополнительной информации по материалам курса;</li> <li>Разработка обучающих и проверочных заданий: кейсов, симуляций, диалоговых тренажеров, тестов и др.</li> </ul> <p><strong>Преимущества вакансии:</strong></p> <ul> <li>Интересная работа в крупной регионально-распределенной структуре;</li> <li>Творческий простор, возможность влиять на стилистику курсов по компании;</li> <li>Гибкий график с возможностью работать удаленно;</li> <li>Сильный руководитель;</li> <li>Демократичная корпоративная культура IT компании;</li> <li>Возможности профессионального и карьерного роста, так как направление дистанционного обучения сейчас на стадии старта в компании;</li> <li>Серьезные отношения с оформлением в штат компании в полном соответствии с ТК РФ.</li> </ul> <p><strong>Кого мы хотели бы видеть на этой позиции:</strong></p> <ul> <li>специалиста с опытом создания уроков по стандартам SCORM;</li> <li>человека с творческим подходом к делу, готового расти и развиваться в профессии.</li> </ul> <p> </p> <p> </p> <p> </p>",Полная занятость,Полный день,Нет опыта,|Дистанционное обучение|scorm|webtutor|ispring|Тренинги|онлайн обучение|Обучение,,113218.75,,72792.85714285714,разработчик онлайн курсов sсorm,"Специалиста с опытом создания уроков по стандартам SCORM. Человека с творческим подходом к делу, готового расти и развиваться в профессии.",Составление структуры будущего учебного курса. Разработка концепций с использованием методов геймификации и сторителлинга. Проработка материалов с точки зрения педагогического дизайна. ,22,разработчик
Москва,Джема,2019-12-12T12:54:04+0300,"<p>Интернет-магазин MrSleep является одним из ведущих магазинов, осуществляющих продажу ортопедических матрасов, мебели и аксессуаров для сна.</p> <p>В связи с расширением штата и крупными проектами у нас открыта вакансия <strong>РНР разработчика</strong> для разработки <strong>frontend</strong>- и <strong>backend</strong>- функционала в офис на полный рабочий день.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка, оптимизация и поддержка существующих и новых сайтов компании;</li> <li>Работа с системами контроля версий;</li> <li>Исправление багов, поиск неисправностей;</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт PHP от года;</li> <li>Опыт работы с PHP 5.6-7.* (ООП), Yii2, MySQL, JS, HTML, CSS3, JQuery, AJAX;</li> <li>Навыки работы с системами контроля версий (git);</li> <li>Знание принципов MVC</li> </ul> <p><strong>Приветствуются:</strong></p> <ul> <li>знания: gulp, composer, bower, webpack 4</li> <li>опыт разработки интернет-магазина на 1c-bitrix;</li> <li>опыт работы с bugtrack-системами.</li> </ul> <strong>Условия:</strong> <ul> <li>Молодой коллектив и руководство</li> <li>График работы оговаривается: с 09-00 до 18-00, либо с 10-00 до 19-00</li> <li>Заработная плата оговаривается на собеседование.</li> <li>Офис в 3 минутах пешком от ст. метро Нагатинская!</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|PHP|MySQL|Yii|Ajax|ООП|HTML|CSS3|Git|jQuery|Gulp,3.0,113218.75,1.0,72792.85714285714,разработчик php,"Опыт PHP от года. Опыт работы с PHP 5.6-7.* (ООП), Yii2, MySQL, JS, HTML, CSS3, JQuery...","Разработка, оптимизация и поддержка существующих и новых сайтов компании. Работа с системами контроля версий. Исправление багов, поиск неисправностей.",9,разработчик
