city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,NAUMEN,2019-11-29T09:56:28+0300,"<p><strong>Naumen</strong> – один из IT-лидеров в России*. С 2001 года мы разрабатываем и внедряем интеллектуальные системы и сервисы, которые приносят пользу бизнесу и государству в реальной жизни, а не «на бумаге».<br />Нашими ИТ-продуктами пользуются крупнейшие компании России, входящие в топ-500, из разных отраслей: энергетика, финансовый сектор, телекоммуникации, промышленность, ритейл и госструктуры.<br />Мы амбициозны и не останавливаемся на достигнутом: ежегодно оборот Naumen растет на 30%, количество сотрудников увеличивается на 17%, открываются новые офисы компании.<br /><em>* ТОП-10 крупнейших разработчиков ПО по числу инсталляций в РФ (по версии TAdviser), разработчик №1 в России в сегменте аутсорсинговых контакт-центров (по версии iKS-Consulting) и входим в ТОП-10 IT</em><em>-работодателей России (по версии </em><em>HeadHunter</em><em>).</em></p> <p>Мы ищем <strong>Руководителя проектов внедрения ПО и роботизированных систем для контактных центров</strong><br /><br /><strong>Naumen Contact Center</strong> – полнофункциональное программное решение для построения средних и крупных контактных центров. В состав решения входит коммуникационная платформа с компонентом Omni-Channel, информационная система управления проектами и прогнозирования рабочей нагрузки (WFM), а также автоматизированные рабочие места оператора и супервизора.<br /><strong>Naumen Erudite</strong> обеспечивает наиболее комфортное общение человека с роботом. Помимо голосовых вызовов, Naumen Erudite может работать со всеми популярными текстовыми каналами, которые приобретают главенствующую роль в сфере клиентского сервиса, включая веб-чат, чат в мобильном приложении, мессенджеры и соцсети.<br />Нашими клиентами являются: Интер РАО ЕС, Почта России, Спортмастер, Банк Россия, Мосэнергосбыт, Moldtelecom и т.д.</p> <p><strong>Обязанности:</strong></p> <ul> <li>управление проектами по внедрению ПО для контактных центров;</li> <li>управление проектами внедрения роботизированных систем (чат-боты, голосовые роботы);</li> <li>планирование, координация и контроль исполнения работ командой проекта, включая субподрядные организации;</li> <li>взаимодействие с Заказчиком во время выполнения проекта.</li> </ul> <p>Мы ждём, что вы будете заниматься не только административной стороной проекта, но ещё и будете связующим звеном между бизнесом и техническими специалистами (аналитики, инженеры внедрения, программисты). Это требует от кандидата не только навыков управления проектами, но и широкого технического кругозора и базовых аналитических способностей.<br />От вас требуется погружение в тематику контактных центров, а также современных технологий распознавания речи, синтеза речи, методик машинного обучения.<br /><strong>Наш идеальный кандидат</strong> может сказать обоснованное «нет» клиенту и чётко следит за бюджетом и сроками проекта, не теряется при аббревиатурах SQL, REST и SOAP, может рассказать про несколько вариантов обеспечения отказоустойчивости автоматизированных систем, а также умеет читать схемы и диаграммы.</p> <p><strong>Требования:</strong></p> <ul> <li>высшее техническое образование, желательно в сфере IT;</li> <li>опыт участия в проектах внедрения автоматизированных систем в роли руководителя проектов;</li> <li>опыт формирования отчетов об обследовании, ТЗ и прочей проектной документации;</li> <li>понимание ГОСТ 34-ой и 19-ой серий;</li> <li>общие знания методологий управления проектами;</li> <li>навыки проведения интервью и презентаций;</li> <li>системное мышление;</li> <li>организаторские способности;</li> <li>желание развиваться в предметной области.</li> </ul> <p><em>Приветствуется:</em></p> <ul> <li>опыт работы с заказчиками из следующих сфер: банки, сбытовые компании, гос. сектор.</li> <li>опыт участия в тендерах;</li> <li>опыт внедрения ПО для контактных центров;</li> <li>опыт работы аналитиком, главным инженером проекта;</li> <li>знание нотаций описания бизнес-процессов (BPMN и т.д.);</li> <li>опыт работы с технологиями распознавания и синтеза речи;</li> <li>опыт внедрения роботизированных сервисов.</li> </ul> <p><strong>В Naumen мы создали все условия для продуктивной и интересной работы:</strong></p> <ul> <li>индивидуально обсуждаем с каждым кандидатом зарплатные ожидания;</li> <li>лояльный график работы и минимум бюрократии;</li> <li>работа в команде профессионалов в атмосфере взаимопомощи и поддержки;</li> <li>реальная возможность влиять на развитие и качество продукта;</li> <li>возможность профессионального обучения за счет компании;</li> <li>мы поддерживаем развитие ИТ-сообщества и обмен опытом: участвуем во внешних и внутренних конференциях не только в качестве слушателя, но и в качестве спикера, обучаем школьников и студентов программированию, проводим собственные образовательные программы;</li> <li>практикуем индивидуальное планирование карьеры, Performance Review 2 раза в год (80% ключевых сотрудников компании выросли внутри Naumen);</li> <li>заботимся о здоровье наших сотрудников: <ul> <li>ДМС сразу после испытательного срока: посещение специалистов в лучших поликлиниках и стоматологиях города, вызов врача на дом, госпитализация, телемедицина;</li> <li>полис выезжающих за рубеж (покрытие весь мир);</li> <li>вакцинация от гриппа;</li> </ul> </li> <li>насыщенная корпоративная жизнь компании: яркие корпоративы, поздравления с календарными и профессиональными праздниками. Подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год;</li> <li>поддерживаем любовь к спорту: возможна частичная компенсация занятий спортом, компенсация аренды футбольного зала в размере 50 %, проходят занятия по мини-футболу, есть спортивная зона с кикером;</li> <li>современный и комфортный офис в центре (м. Пролетарская/ м. Крестьянская застава в 5 минутах ходьбы). Уютные зоны отдыха и питания для сотрудников на каждом этаже, лаунж-зона на крыше с видом на город.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,170956.52173913043,1.0,106268.29268292683,руководитель,"Высшее техническое образование, желательно в сфере IT. Опыт участия в проектах внедрения автоматизированных систем в роли руководителя проектов. ","Управление проектами по внедрению ПО для контактных центров. Управление проектами внедрения роботизированных систем (чат-боты, голосовые роботы). Планирование, координация и...",14
Москва,Мебельная компания «Шатура»,2019-12-06T18:15:11+0300,"<p><strong>Федеральная мебельная Компания «Шатура» проводит поиск кандидатов на позицию «Руководитель интернет-проектов»!</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Развитие веб-сайта компании</p> </li> <li>Формирование и управление бюджетом на развитие веб-ресурсов</li> <li>Администрирование интернет-ресурсов компании</li> <li>Участие в разработке общей маркетинговой стратегии по части развития веб-сервисов</li> <li>Управление командой: дизайнер и front-end разработчик, контроль исполнения</li> <li>Проведение UX тестирование, А/В тесты, анализ продуктовых показателей, контроль достижения запланированных KPI</li> <li>Оценка и анализ конкурентной среды, формирование предложений по совершенствованию сайта, выработка решений, регулярный мониторинг и анализ трендов</li> <li>Веб-аналитика: анализ эффективности рекламных кампаний и подготовка предложений по увеличению продаж интернет-магазина</li> <li>Координация работы контент-менеджеров по поддержке рекламных акций компании и актуальности контента сайтов</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Успешный опыт работы в онлайн проектах от 3-х лет</li> <li>Высшее образование</li> <li>Понимание работы сайтов на платформе Битрикс</li> <li>Опыт работы с web-аналитикой и юзабилити</li> <li>Знание систем аналитики сайтов</li> <li>Опыт участия в разработке интернет-проектов, их внедрении, тестировании и оптимизации</li> <li>Успешный опыт увеличение конверсии</li> <li>Опыт работы с репутацией компании в сети</li> <li>Опыт работы с соцсетями компании: развитие, привлечение подписчиков, проведение активностей</li> <li>Умение планировать бюджет</li> <li>Знание маркетинговых основ и каналов продвижения и рекламы</li> <li>Аналитическое мышление и креативность</li> <li>Внимание к деталям, самостоятельность, ответственность и честность</li> <li>Умение работать в режиме многозадачности и высокого темпа</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное оформление по ТК РФ</li> <li>Достойный уровень заработной платы (по результатам собеседования)</li> <li>Выплата заработной платы 2 раза в месяц</li> <li>Полный социальный пакет</li> <li>График работы: 5/2</li> <li>Интересная работа в крупной Компании федерального уровня</li> <li>Возможности профессионального и карьерного роста</li> <li>Скидки на продукцию Компании</li> <li>Поездки в Италию за счет Компании, конкурсы с ценными призами.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Управление интернет-проектами|1С-Битрикс|Веб-аналитика|CSS|Интернет-реклама,3.0,170956.52173913043,1.0,106268.29268292683,руководитель,Успешный опыт работы в онлайн проектах от 3-х лет. Высшее образование. Понимание работы сайтов на платформе Битрикс. ,Развитие веб-сайта компании. Формирование и управление бюджетом на развитие веб-ресурсов. Администрирование интернет-ресурсов компании. Участие в разработке общей...,7
Москва,Мебельная компания «Шатура»,2019-12-09T16:26:14+0300,"<p><strong>Федеральная мебельная Компания «Шатура» проводит поиск кандидатов на позицию «Руководитель интернет-проектов»!</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Развитие веб-сайта компании</p> </li> <li>Формирование и управление бюджетом на развитие веб-ресурсов</li> <li>Администрирование интернет-ресурсов компании</li> <li>Участие в разработке общей маркетинговой стратегии по части развития веб-сервисов</li> <li>Управление командой: дизайнер и front-end разработчик, контроль исполнения</li> <li>Проведение UX тестирование, А/В тесты, анализ продуктовых показателей, контроль достижения запланированных KPI</li> <li>Оценка и анализ конкурентной среды, формирование предложений по совершенствованию сайта, выработка решений, регулярный мониторинг и анализ трендов</li> <li>Веб-аналитика: анализ эффективности рекламных кампаний и подготовка предложений по увеличению продаж интернет-магазина</li> <li>Координация работы контент-менеджеров по поддержке рекламных акций компании и актуальности контента сайтов</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Успешный опыт работы в онлайн проектах от 3-х лет</li> <li>Высшее образование</li> <li>Понимание работы сайтов на платформе Битрикс</li> <li>Опыт работы с web-аналитикой и юзабилити</li> <li>Знание систем аналитики сайтов</li> <li>Опыт участия в разработке интернет-проектов, их внедрении, тестировании и оптимизации</li> <li>Успешный опыт увеличение конверсии</li> <li>Опыт работы с репутацией компании в сети</li> <li>Опыт работы с соцсетями компании: развитие, привлечение подписчиков, проведение активностей</li> <li>Умение планировать бюджет</li> <li>Знание маркетинговых основ и каналов продвижения и рекламы</li> <li>Аналитическое мышление и креативность</li> <li>Внимание к деталям, самостоятельность, ответственность и честность</li> <li>Умение работать в режиме многозадачности и высокого темпа</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Официальное оформление по ТК РФ</li> <li>Достойный уровень заработной платы (по результатам собеседования)</li> <li>Выплата заработной платы 2 раза в месяц</li> <li>Полный социальный пакет</li> <li>График работы: 5/2</li> <li>Интересная работа в крупной Компании федерального уровня</li> <li>Возможности профессионального и карьерного роста</li> <li>Скидки на продукцию Компании</li> <li>Поездки в Италию за счет Компании, конкурсы с ценными призами.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Управление интернет-проектами|1С-Битрикс|Веб-аналитика|CSS|Интернет-реклама,3.0,170956.52173913043,1.0,106268.29268292683,руководитель,Успешный опыт работы в онлайн проектах от 3-х лет. Высшее образование. Понимание работы сайтов на платформе Битрикс. ,Развитие веб-сайта компании. Формирование и управление бюджетом на развитие веб-ресурсов. Администрирование интернет-ресурсов компании. Участие в разработке общей...,4
Москва,Компэл,2019-12-03T09:05:46+0300,"<strong>Обязанности:</strong> <p>1. руководить IT проектами, реализуемыми с участием внешних специалистов:<br />- следить за соблюдением выбранной методологии ведения проекта и прочих требований заказчика<br />- контролировать соблюдение рамок, графика и бюджетом проекта, своевременно инициировать корректирующие мероприятия при отставании от графика<br />- обеспечивать внешних специалистов информацией о существующей инфраструктуре и программном обеспечении,<br />- осуществлять контроль трудозатрат.<br />- осуществлять эскалацию и разбор конфликтных ситуаций.<br />- управлять рисками проекта<br />2. выполнять функции бизнес-аналитика в части выявления требований и последующей их валидации, выделять MVP<br />- участвовать в приемочном тестировании и настройке системы,<br />3. постоянные коммуникации с заказчиком через статус-митинги, планирование, приоритизацию, согласование и демонстрацию результатов спринтов</p> <strong>Требования:</strong> <ul> <li>​​​​​​​Образование: высшее</li> <li>Английский (не ниже - pre-intermediate)</li> <li>Опыт руководства IT проектами, исполняемых внешними подрядчиками, на стороне Заказчика в роли Руководителя проекта, а также имеется и/или в роли Бизнес-аналитика - не менее 5 завершенных проектов с бюджетом от 10 млн. руб.</li> <li>Профессиональные компетенции: - Широкий кругозор в области современных IT технологий, методологий производства программного обеспечения, включая веб технологии. Умение выявить и точно сформулировать на языке заказчика бизнес-требования и перевести их в требуемый формат документации. Умение декомпозировать требования, выделять MVP, планировать спринты. Проводить оценку рисков и управлять ими. - Знание и умение применять на практике различные методологии управление проектами, включая технику календарного планирования. - Навыки формирования проектной культуры в соответствии с выбранной методологией. - Умение расставлять приоритеты. - Умение взаимодействовать с людьми и мотивировать их - Умение вести переговоры - Навыки управления конфликтами - Самодисциплина</li> <li>Личные качества: умение работать на результат; умение налаживать и поддерживать конструктивные отношения; умение работать самостоятельно и в команде;</li> </ul> <strong>Условия:</strong> <ul> <li>​​​​​​​График работы с 8.30 до 17.30 ч.</li> <li>Стартовая з/п - руб. (по результатам собеседования).</li> <li>Социальный пакет: добровольное медицинское страхование; профессиональное обучение.</li> <li>Офис 2 мин. пешком от ст. МЦК «Новохохловская»</li> </ul>",Полная занятость,Полный день,Более 6 лет,|Управление проектами|MS Project|Английский язык|Управление рисками|Управление командой,,170956.52173913043,6.0,106268.29268292683,руководитель,"Образование: высшее. Английский (не ниже - pre-intermediate). Опыт руководства IT проектами, исполняемых внешними подрядчиками, на стороне Заказчика в роли Руководителя...","1. руководить IT проектами, реализуемыми с участием внешних специалистов: - следить за соблюдением выбранной методологии ведения проекта и прочих требований заказчика. - ",10
Москва,ЮНИСТРИМ БАНК,2019-12-04T12:13:06+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Взаимодействие с командами проектов;</p> </li> <li> <p>Методологическая поддержка проектных команд на всех этапах жизненного цикла проекта;</p> </li> <li> <p>Контроль сроков, бюджета, предложение корректирующих мер;</p> <p>Взаимодействие со всеми структурными подразделениями Банка;</p> </li> <li> <p>Взаимодействие с администраторами проектов, постановка задач, контроль внутри команды проектного офиса;</p> </li> <li> <p>Участие в разработке и внедрении регламентных процедур в части управления проектами;</p> </li> <li> <p>Подготовка отчетности по проектам;</p> </li> <li> <p>Участие в процессе автоматизации проектной деятельности.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Опыт работы в ИТ-проектах / общебанковских проектах;</p> </li> <li> <p>Опыт работы в банках в роли руководителя проекта, проектного менеджера;</p> </li> <li> <p>Знание методологий управления проектами;</p> </li> <li> <p>Опыт подготовки отчетности, работы с большим объемом данных;</p> </li> <li>Развитые коммуникативные навыки.</li> </ul> <strong>Условия:</strong> <ul> <li> <p>Интересные задачи и проекты ;</p> </li> <li> <p>Оформление по ТК РФ;</p> </li> <li> <p>Официальная заработная плата (уровень оплаты труда, обсуждается с успешным кандидатом на собеседовании);</p> </li> <li> <p>График работы 5/2 пн-чт с 09.30 до 18.15 пятница 09.30-17.00;</p> </li> <li> <p>Месторасположение- м. Динамо (10 мин.пешком);</p> </li> <li>Демократичная атмосфера.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Управление проектами|Ведение отчетности|Написание процедур,6.0,170956.52173913043,3.0,106268.29268292683,руководитель,"Опыт работы в ИТ-проектах / общебанковских проектах. Опыт работы в банках в роли руководителя проекта, проектного менеджера. Знание методологий управления...","Взаимодействие с командами проектов. Методологическая поддержка проектных команд на всех этапах жизненного цикла проекта. Контроль сроков, бюджета, предложение корректирующих мер. ",9
Москва,СтандартПроект,2019-11-29T12:43:59+0300,"<p>Руководитель IT проектов (с компетенциями бизнес-анализа)</p> <p><strong>Мы СтандартПроект.</strong></p> <p>Более 20 лет мы являемся лидером в области разработки высокоинтеллектуальных информационных корпоративных систем масштаба Big Data для государственных органов. Многие из наших решений используются на федеральном уровне.</p> <p>Уже больше года у нас действует лаборатория инновационных продуктов для бизнеса (B2B). Продукты разрабатываются и совершенствуются, рынок для них огромен и постоянно растет. Мы расширяемся и приглашаем на работу <strong>Руководителя проектов с хорошим бэкграундом в бизнес-анализе.</strong></p> <p> </p> <p><strong>Что будет в работе:</strong></p> <ul> <li>Подготовка, согласование и контроль выполнения бюджетов и затрат проектов;</li> <li>Формирование, согласование и контроль выполнения планов-графиков проектов;</li> <li>Подготовка и согласование договоров, проектных документов, ТЗ;</li> <li>Разработка методики по управлению проектами и контроль за её соблюдением;</li> <li>Контроль за своевременным выпуском и актуализацией проектной документации;</li> <li>Оформление отчетных и финансовых документов;</li> <li>Взаимодействие с заказчиком по всем вопросам организации работ по проекту, в том числе определение объема работ, защита и сдача результатов работ, развитие проекта;</li> <li>Организация взаимодействия рабочей группы;</li> <li>Управление проектной командой;</li> <li>Сбор и консолидация статусов, подготовка периодической отчетности в рамках сопровождаемых проектов;</li> <li>Составление ежемесячных отчетов по выполнению SLA.</li> </ul> <p> </p> <p><strong>Что ожидаем от Вас:</strong></p> <p><strong>Важно: просим указывать свои зарплатные ожидания в сопроводительном письме!</strong></p> <ul> <li>Высшее образование (техническое и/или управленческое);</li> <li><strong>Опыт работы в роли руководителя проектов в сфере информационных технологий</strong> от 3х лет. Обучение PMI/знание PMBOK как плюс;</li> <li>Опыт непосредственного участия в разработке (возможно в далёком прошлом, но для понимания процессов и взаимодействия с командой-очень нужно)</li> <li>Опыт работы бизнес-аналитиком от 1 года;</li> <li>Знание ГОСТ 19 и 34;</li> <li>Опыт работы в SCRUM</li> <li>Опыт работы с средствами автоматизации управления проектами;</li> <li>Умение структурировать поступающие задачи, управлять одновременно несколькими проектами;</li> <li>Умение вести деловую переписку;</li> <li>Умение вести переговоры, защищать интересы проекта, грамотно отстаивать свою точку зрения, фиксировать результаты.</li> </ul> <p><strong>Мы предлагаем вам:</strong></p> <p>- Интересную предметную область и сложные технические задачи, возможность развития и роста;</p> <p>- Высокий уровень оплаты;</p> <p>- Оформление по ТК РФ и полностью &quot;белая&quot; зарплата</p> <p>- Работу в команде высококлассных специалистов;</p> <p>- Возможность обучения и сертификации за счет компании;</p> <p>- Лучшую технику и лицензии на софт;</p> <p>- Демократичное руководство, минимум формальностей во взаимодействии;</p> <p>- Необычный офис в стиле лофт между станциями метро Достоевская (10 минут пешком), Марьина Роща, Менделеевская и Новослободская.</p> <p>Приходите, Вам у нас понравится!</p> <p> </p> <p> </p> <p> </p>",Полная занятость,Полный день,От 3 до 6 лет,Без ключевых навыков,6.0,170956.52173913043,3.0,106268.29268292683,руководитель,Высшее образование (техническое и/или управленческое). Опыт работы в роли руководителя проектов в сфере информационных технологий от 3х лет. ,"Подготовка, согласование и контроль выполнения бюджетов и затрат проектов. Формирование, согласование и контроль выполнения планов-графиков проектов. Подготовка и согласование...",14
Москва,БАНК УРАЛСИБ,2019-12-11T16:12:26+0300,"<strong>Обязанности:</strong> <ul> <li>Организация работ подразделения по поддержке и развитию серверного оборудования, систем хранения данных, систем архивирования в целом по Банку, включая регионы.</li> <li>Разработка нормативной документации, документации для тендеров.</li> <li>Взаимодействие с поставщиками ИТ-решений,участие в проектах с инфраструктурной составляющей.</li> <li>Проектирование и реинжиниринг инфраструктурных ИТ сервисов.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт построения и трансформации ИТ инфраструктуры предприятий и ЦОДов.</li> <li>Общие знания применяемых технологий и продуктов в части серверов, СХД, сетевых компонентов, виртуализации рабочих мест.</li> <li>Знание основ управления ИТ процессами по стандартам ITIL.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по ТК РФ, полный социальный пакет;</li> <li>График работы: 5/2, с 9.00 до 18.00;</li> <li>Место работы: г. Москва; ул.Ефремова;</li> <li>ДМС.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,Без ключевых навыков,6.0,170956.52173913043,3.0,106268.29268292683,руководитель,"Опыт построения и трансформации ИТ инфраструктуры предприятий и ЦОДов. Общие знания применяемых технологий и продуктов в части серверов, СХД, сетевых...","Организация работ подразделения по поддержке и развитию серверного оборудования, систем хранения данных, систем архивирования в целом по Банку, включая регионы. ",2
Москва,Аут Диджитал,2019-11-20T20:45:04+0300,"<p>Мы ищем специалиста, который поможет нам в работе со звездами, блогерами и локальными лидерами мнений. Мы обладаем одной из самых сильных экспертиз на рынке и готовы поделиться своим опытом с вами.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Подбор блогеров под задачи клиентов с релевантной целевой аудиторией: анализ аудитории, расчет смет, работа с базой лидеров мнений в SMM;</p> </li> <li> <p>Генерация креативных идей для интеграции у блогеров. Составление тендерных предложений;</p> </li> <li> <p>Регулярная коммуникация с блогерами и подрядчиками, ведение переговоров;</p> </li> <li> <p>Формирование отчётов и распределение бюджета;</p> </li> <li> <p>Ведение документооборота по проектам.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Любить YouTube, Facebook, TikTok и Instagram;</p> </li> <li> <p>Активно следить за развитием площадок. Искать новых звезд;</p> </li> <li> <p>Знание инструментария и систем аналитики для работы с блогерами;</p> </li> <li> <p>Структурированность и хорошие навыки планирования;</p> </li> <li> <p>Понимание трендов и всех возможностей соцсетей.</p> </li> <li>Отличное знание инструментов Microsoft Office.</li> </ul> <strong>Условия:</strong> <ul> <li> <p>Работа в паре с топовыми специалистами рынка;</p> </li> <li> <p>Клиенты, которыми можно гордиться;</p> </li> <li> <p>Офис в центре Москвы с видом на Новый Арбат и выходом на крышу;</p> </li> <li> <p>Лекции и сидр два раза в месяц.</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Маркетинговый анализ|Креативность|Документооборот|Деловая коммуникация|MS Access,3.0,120000.0,1.0,70000.0,руководитель,"Любить YouTube, Facebook, TikTok и Instagram. Активно следить за развитием площадок. Искать новых звезд. Знание инструментария и систем аналитики для...","Подбор блогеров под задачи клиентов с релевантной целевой аудиторией: анализ аудитории, расчет смет, работа с базой лидеров мнений в SMM. ",23
Москва,ИК СИБИНТЕК,2019-11-20T16:35:16+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Участие в процессах инициации, планирования, организации и контроля исполнения, завершения проекта.</li> <li>Управление проектом и проектной командой.</li> <li>Анализ текущих потребностей профильных подразделений Заказчика.</li> <li>Участие в выявлении, анализе и документированию требований к информационной системе, ИТ-проекту.</li> <li>Участие в разработке закупочной документации, инициировании закупочной процедуры.</li> <li>Организация и контроль заключение доходных и расходных договоров по проекту.</li> <li>Организация работ по разработке проектной и эксплуатационной документации, в соответствии с требованиями стандартов Заказчика.</li> <li>Участие в защите решений и согласовании документации.</li> <li>Участие в подготовке требований к инфраструктуре и расчёте ТСО (с привлечением профильных специалистов).</li> <li>Мониторинг и контроль реализации проектных работ на предмет соответствия согласованным решениям.</li> <li>Координация процесса приёмки результатов проектов на поддержку.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Знание методик управления проектами: ГОСТ 54869-2011, PMI PMBOK, IPMA.</li> <li>Опыт работы в области ИТ не менее 3-х лет.</li> <li>Знание стандартов в области разработки и внедрения ИТ-решений.</li> <li>Опыт управления проектами по автоматизации бизнес-процессов планирования и учета финансово-хозяйственной деятельности.</li> <li>Опыт управления проектами по разработке, внедрению и тиражированию информационных систем на платформе 1С или SAP.</li> <li>Опыт управления проектами связанных с реализацией и внедрением ERP систем.</li> <li>Высокие навыки управления проектами: управление содержанием проекта, сроками, стоимостью, управление качеством разработанных решений, управление человеческими ресурсами проекта, поставками, коммуникациями, рисками и изменениями в проекте.</li> <li>Знание интеграции модулей со смежными направлениями.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Место работы: м. Деловой центр, бизнес-центр Москва-сити, Башня «Федерация».</li> <li>График работы 5/2 Пн-Чт. 9.00-18.00, ПТ. 9.00-16.45.</li> <li>Оформление в соответствии с ТК РФ с первого дня (оплачиваемый отпуск, больничный).</li> <li>Добровольное медицинское страхование с первого дня.</li> <li>Корпоративная мобильная связь.</li> <li>Социальные льготы (спортивные мероприятия, санаторно-курортное лечение).</li> <li>Внутренний институт обучения.</li> <li>Все выплаты &quot;белые&quot;.</li> <li>Возможности для карьерного роста и развития творческого потенциала.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|PMBOK|MS Project|Управление проектами|predix,3.0,170956.52173913043,1.0,106268.29268292683,руководитель,"Знание методик управления проектами: ГОСТ 54869-2011, PMI PMBOK, IPMA. Опыт работы в области ИТ не менее 3-х лет. ","Участие в процессах инициации, планирования, организации и контроля исполнения, завершения проекта. Управление проектом и проектной командой. Анализ текущих потребностей профильных...",23
