city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,СБК,2019-12-11T13:17:06+0300,"<p>В крупный и интересный проект по созданию распределённой системы мониторинга и управления устройствами ищем сильного и опытного С++ разработчика.</p> <p>Настоящий High Load Production IIoT 4 со множеством интересных задач по работе с оборудованием и &quot;верхним&quot; уровнем по MQTT протоколу.</p> <p>Проект на начальной стадии, команда комплектуется.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка архитектурных решений с применением ООП и уместных шаблонов проектирования;</li> <li>Разработка по scrum (сроки, stand-up meetings, workflow);</li> <li>Code review коллег;</li> <li>Понимание и уважение к legacy (production текущий);</li> <li>Взаимодействие с техническими специалистами компаний-партнёров и сопровождение ПО на этапе опытной и промышленной эксплуатации.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Отличное знание С/С++ 11;</li> <li>Понимание того, как работает компилятор (для задач оптимизации);</li> <li>Опыт создания высоконагруженных сервисов;</li> <li>Отличное знание сетевого стека;</li> <li>Linux, Git, Redmine/Jira, Valgrind, Cppcheck.</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>MQTT (mosquitto);</li> <li>Qt GUI;</li> <li>Опыт работы с базами данных PostgreSql, SQLite (знание SQL);</li> <li>RS232/485, Ethernet, USB</li> <li>Clang;</li> <li>Умение работать в команде. Ценим инициативность и приверженность к самосовершенствованию.</li> </ul> <p><strong>Плюсами будут:</strong></p> <ul> <li>Опыт работы с CI.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оформление строго в соответствии ТК РФ</li> <li>Дружный молодой коллектив</li> <li>Гибкое начало рабочего дня</li> <li>Комфортный офис в пешей доступности от метро расположен в 10 минутах ходьбы от станции метро «Савёловская»</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Git|Linux|Qt|PostgreSQL|C/C++|SQLite|Scrum|Redmine|IIoT|Boost|ООП|C++,6.0,150000.0,3.0,120000.0,ведущий разработчик с++,"Отличное знание С/С++ 11. Понимание того, как работает компилятор (для задач оптимизации). Опыт создания высоконагруженных сервисов. Отличное знание сетевого...","Разработка архитектурных решений с применением ООП и уместных шаблонов проектирования. Разработка по scrum (сроки, stand-up meetings, workflow). ",9,с++
Москва,Пи Джи групп,2019-12-11T12:25:46+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка приложений для Linux (POS терминалы, вендинговое оборудование и платёжные решения);</li> <li>Работа со встроенным ПО под Linux, дистрибутив Poky (Yocto)</li> <li>Взаимодействие с окружением (остальной софт нашей компании)</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы на С / C++ - обязательно, необходимы примеры реализованных проектов</li> <li>Опыт от 2 лет и выше</li> <li>Знание Linux на уровне опытного пользователя</li> <li>Опыт работы с embedded-устройствами на базе Linux (Raspberry, BeagleBone или др.)</li> <li>Английский язык на уровне чтения технической документации</li> </ul> <p><strong>Большими преимуществами являются:</strong></p> <ul> <li>Опыт работы с вендинговыми протоколами: MDB, EXE, EVA-DTS и прочими</li> <li>Опыт разработки на Qt или QML</li> <li>Опыт работы с Yocto, BitBake, OpenEmbedded</li> <li>Опыт работы с openssl, ЭЦП и алгоритмами шифрования</li> <li>Опыт разработки или модификации модулей ядра Linux</li> <li>Очень большой плюс - опыт работы с Linux ARM SecureBoot</li> <li>Приветствуется опыт работы со смарт картами (ISO7816, ISO/IEC 14443)</li> <li>Опыт работы TCP/IP стеком</li> <li>Понимание принципа работы GNU make, cmake, qmake</li> <li>Опыт работы с командными инструментами: система контроля версий (Git или другое), система управления проектом (Trello или другое).</li> </ul> <strong>Условия:</strong> <ul> <li>График работы 5/2;</li> <li>Официальная заработная плата обсуждается на собеседовании с успешными кандидатами;</li> <li>Испытательный срок 3 месяца или меньше по результатам собеседования;</li> <li>Чай, кофе, печеньки и прочие радости;</li> <li>Молодой дружный и весёлый коллектив.</li> <li>Офис в 300 метрах от метро Автозаводская (планируется переезд на м. Бутырская - 50 м. от метро)</li> </ul>",Полная занятость,Гибкий график,От 3 до 6 лет,|Linux|C|C++|Embedded|Yocto|EVA-DTS|QML|NFC|EMV,6.0,150000.0,3.0,120000.0,разработчик с++ software разработчик,"Опыт работы на С / C++ - обязательно, необходимы примеры реализованных проектов. Опыт от 2 лет и выше. Знание Linux на уровне...","Разработка приложений для Linux (POS терминалы, вендинговое оборудование и платёжные решения). Работа со встроенным ПО под Linux, дистрибутив Poky (Yocto). ",10,с++
Москва,ФГУП НПП Гамма,2019-12-06T14:59:07+0300,"<p><strong>Центр перспективных разработок и исследований в составе компании ФГУП «НПП «Гамма» </strong></p> <p>http://www.nppgamma.ru/about/</p> <p>В нашем R&amp;D Центре ведется разработка программного обеспечения и решений корпоративного масштаба в области информационной безопасности. Клиентами нашего Центра выступают как государственные, так и коммерческие компании.</p> <p>Разработка ПО выполняется по индивидуальным требованиям заказчика с применением наших существующих базовых продуктов. В ходе разработки ПО применяется подход Agile Scrum, в котором делается акцент на качественном контроле процесса разработки.</p> <p>Наша философия заключается в поощрении уважения, диалога, взаимодействия и сотрудничества на глубоком уровне между своими специалистами и заказчиками. Этим Центр обеспечивает наилучший способ повышения качества своих продуктов и стремится к созданию вдохновляющих и побуждающих условий для процветания талантливых людей.</p> <p> </p> <p><strong>Функциональные обязанности: </strong></p> <ul> <li>Разработка графических интерфейсов;</li> <li>Написание стилей;</li> <li>Интеграция с back-end.</li> </ul> <p> </p> <p><strong>Требования к кандидату:</strong></p> <ul> <li>Хорошее знание C++11 и STL;</li> <li>Опыт использования Qt, QML, QtQuick;</li> <li>Знание QtWidgets, Qt Mode/lView Framework</li> <li>Навыки проектирования GUI</li> <li>Знание классических шаблонов структур проектирования, данных и принципов ООП;</li> <li>Опыт работы с системой контроля версий (git);</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Оформление согласно ТК РФ;</li> <li>Официальная заработная плата;</li> <li>Конкурентный уровень заработной платы по рынку;</li> <li>Возможность выбрать время начала рабочего дня.</li> </ul> <p><strong>И еще:</strong></p> <ul> <li>Молодой (но не юный), позитивный коллектив;</li> <li>Отсутствие дресс-кода и уважение к ценностям каждого сотрудника;</li> <li>Вкусный кофе и отдельное место для его совместного распития ;)</li> <li>Возможность посещать профильные международные и российские конференции;</li> <li>Выход компании на международный рынок в будущем.</li> </ul> <p><strong>Уровень зарплаты:</strong> определяется по результатам собеседования.</p> <p><strong>Адрес места работы:</strong> г. Москва, ул. Профсоюзная, в 5 минутах ходьбы от метро Калужское.</p>",Полная занятость,Полный день,От 1 года до 3 лет,|C++|Qt|STL|Qt Mode|GUI|QtQuick|QML,3.0,150000.0,1.0,120000.0,с++ разработчик – разработчик,"Хорошее знание C++11 и STL. Опыт использования Qt, QML, QtQuick. Знание QtWidgets, Qt Mode/lView Framework. Навыки проектирования GUI. ",Разработка графических интерфейсов. Написание стилей. Интеграция с back-end.,14,с++
Москва,1С,2019-11-25T09:41:39+0300,"<p>Проект разработки <strong>универсального полнотекстового поискового сервиса</strong> в рамках<br />технологической платформы &quot;1С:Предприятие&quot; включает в себя:<br />- нетривиальные математические задачи и алгоритмы обработки данных;<br />- разработку высоконагруженных сервисов: многопоточность, конкурентность, отказоустойчивость, распределённость;<br />- работу с естественными языками.</p> <p><strong>От Вас ждём:</strong></p> <ul> <li>Обязательное знание стандарта С++11 (будет плюсом знание С++14 и С++17).</li> <li>Знание библиотек: std, boost (будет плюсом знание libcurl, libuv, libxml++ и т.п.)</li> <li>Знание основ COM, DCOM.</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>знание Linux Kernel API;</li> <li>cmake;</li> <li>clang;</li> <li>gcc.</li> </ul> <p>Поисковый сервис будет универсальным, гибким фреймворком общего назначения,<br />с возможностью его настройки под различные условия работы и нагрузки.</p> <p><br /><strong>Есть возможность заняться разработкой с уклоном в:</strong><br />- лингвистические алгоритмы;<br />- анализ текстов;<br />- оптимизацию алгоритмов;<br />- проектирование и реализацию распределённых систем;<br />- автоматизацию тестирования;<br />- и многое другое!</p> <p><br /><strong>Мы ценим и всячески поощряем людей:</strong><br />- кто талантлив, умён и с чувством юмора;<br />- кто прочёл и понял все книги Р. Мартина и М. Фаулера;<br />- кто в меру ленив, чтобы больше думать и меньше писать кода;<br />- кто не гоняется за формализмами и KPI, а зрит в корень проблемы;<br />- для кого слово solid - это не что-то твёрдое и сплошное, а нечто бОльшее;<br />- у кого круг интересов в программировании значительно шире списка представленных технологий;</p> <p><br />Если ваши амбиции адекватны и соразмерны вашим способностям, мы постараемся создать вам<br />условия для самореализации!</p> <p><br /><strong>Мы предлагаем:</strong><br />- профессиональный и карьерный рост вместе с ростом вашей команды;<br />- опыт работы с талантливыми профессионалами, у которых есть чему научиться;<br />- современный комфортный офис в 5-ти минутах ходьбы от м. Тимирязевская;<br />- зоны отдыха и кофе-поинты;<br />- стабильную и конкурентоспособную заработную плату;<br />- расширенный социальный пакет (хорошо решены вопросы медицинского обслуживания (страхования), питания, проезда, спорта);<br />- бесплатную охраняемую парковку на территории офиса.</p> <p>Разработчик, программист, инженер-программист, девелопер, разработка ПО, C++ разработчик, C++ программист, С++ developer</p>",Полная занятость,Полный день,Нет опыта,Без ключевых навыков,,150000.0,,120000.0,с++ senior разработчик,"Обязательное знание стандарта С++11 (будет плюсом знание С++14 и С++17). Знание библиотек: std, boost (будет плюсом знание...",Проект разработки универсального полнотекстового поискового сервиса в рамках. Технологической платформы &quot;1С:Предприятие&quot; включает в себя: - нетривиальные математические задачи и...,26,с++
Санкт-Петербург,Новые Облачные Технологии,2019-11-25T17:36:49+0300,"<p>Наша компания разрабатывает платформу <strong>МойОфис</strong> — продукт для организации корпоративной рабочей среды и совместной работы с документами, включающий в себя полный набор современных офисных приложений для всех популярных операционных систем, веб-браузеров и мобильных платформ.<br />Особое внимание мы уделяем всем аспектам качества: от дизайна и удобства использования, до чистоты кода, уровня покрытия тестами и воспроизводимости сборок.<br /><br />В команду по разработке ядра для кроссплатформенного редактора документов с возможностью совместного редактирования приглашаем <strong>Ведущего С++ разработчика.</strong></p> <p><strong>Ваши будущие задачи:</strong></p> <ul> <li>разработка на С++ многоплатформенной библиотеки для редактирования документов;</li> <li>поддержка и рефакторинг существующего кода;</li> <li>написание юнит-тестов и интеграционных тестов;</li> <li>участие в обсуждении и разработке архитектуры.</li> </ul> <p><strong>Для нас важно:</strong></p> <ul> <li>опыт разработки на С++;</li> <li>знание C++ 11/14/17, STL, boost;</li> <li>готовность работать с linux, MacOS;</li> <li>знание алгоритмов и структур данных;</li> <li>знание шаблонов проектирования;</li> <li>желание изучать новые библиотеки, фреймворки и платформы;</li> <li>английский язык на уровне понимания тех. документации.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>интересные задачи;</li> <li>корпоративные мероприятия, тимбилдинги;</li> <li>работа в коллективе профессионалов, возможность перенять уникальный опыт;</li> <li>оформление по ТК РФ, полностью официальная заработная плата по результатам собеседования;</li> <li>офис в историческом центре города (10 мин. от ст. м. пл. Восстания);</li> <li>возможность изучения английского языка в офисе;</li> <li>график работы: 5/2 с 10:00 до 19:00/11:00 -20:00;</li> <li>ДМС со стоматологией после испытательного срока;</li> <li>оплачиваемые обеды.</li> </ul>",Полная занятость,Полный день,Более 6 лет,Без ключевых навыков,,157000.0,6.0,74000.0,senior разработчик с++,"Опыт разработки на С++. Знание C++ 11/14/17, STL, boost. Готовность работать с linux, MacOS. Знание алгоритмов и структур...",Разработка на С++ многоплатформенной библиотеки для редактирования документов. Поддержка и рефакторинг существующего кода. Написание юнит-тестов и интеграционных тестов. ,25,с++
Санкт-Петербург,ЮК-Консалтинг,2019-12-09T14:43:47+0300,"<p> </p> <p>В Научно-производственное предприятие требуется Инженер-программист С++</p> <p><strong>Обязанности:</strong></p> <p>-Разработка программных средств для обработки данных, получаемых с беспилотного летательного аппарата.</p> <strong>Требования:</strong> <p>-Опыт разработки на С++, желательно Qt и/или QML/JS, знание стандартной библиотеки, алгоритмов и структур данных.</p> <p>- Опыт разработки многопоточных и сетевых приложений.</p> <p>- Опыт написания модульных тестов (GTest или подобное).</p> <p>- Английский язык на уровне чтения технической документации.</p> <p>- Базовая подготовка в области цифровой радиосвязи и цифровой обработки радиосигналов будет преимуществом.</p> <strong>Условия:</strong> <p>-Оформление по ТК РФ, оплачиваемый отпуск 28 дней, оплачиваемые переработки</p> <p>- 13-я зарплата, премии по итогам завершения работ, регулярная индексация заработной платы.</p> <p>- Возможность для профессионального и карьерного роста.</p> <p>- Гибкий график, демократичная обстановка в коллективе.</p> <p> </p>",Полная занятость,Полный день,От 3 до 6 лет,Без ключевых навыков,6.0,157000.0,3.0,74000.0,разработчик с++ qt,"Опыт разработки на С++, желательно Qt и/или QML/JS, знание стандартной библиотеки, алгоритмов и структур данных. - Опыт разработки многопоточных...","Разработка программных средств для обработки данных, получаемых с беспилотного летательного аппарата. - Базовая подготовка в области цифровой радиосвязи и цифровой обработки...",11,с++
Санкт-Петербург,Cинтез-АТ,2019-12-11T13:10:29+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка бизнес-логики приложения, GUI.</li> <li>Модернизация существующего кода;</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт программирования на С++,</li> <li>знание С++ и STL, ООП</li> <li>Владение английским языком на уровне, достаточном для изучения технической документации.</li> </ul> <p><strong>Будет дополнительным плюсом:</strong></p> <ul> <li>Опыт разработки и понимание принципов построения <strong>GUI</strong></li> <li>Понимание Design Patterns</li> <li>Опыт работы с QT</li> <li>Работа с Git</li> <li>Опыт разработки 3D приложений с использованием OpenGL</li> </ul> <strong>Условия:</strong> <ul> <li>Интересные, сложные задачи, возможность постоянного профессионального развития.</li> <li>Удобный график, замечательный коллектив, демократичное руководство.</li> <li>Комфортный офис у метро Василеостровская</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Qt|C++|ООП|C/C++,3.0,157000.0,1.0,60000.0,разработчик с++ qt,"Опыт программирования на С++. Знание С++ и STL, ООП. Владение английским языком на уровне, достаточном для изучения технической документации. ","Разработка бизнес-логики приложения, GUI. Модернизация существующего кода.",10,с++
Санкт-Петербург,Wartsila,2019-12-12T11:18:56+0300,"<p>Wärtsilä Digital Technologies - центр разработки финской корпорации Wärtsilä. Мы создаём уникальную инфраструктуру взаимодействия для коммерческого судоходства, и наполняем её различными сервисами:</p> <ul> <li>бортовые навигационные системы</li> <li>диспетчеризация портов</li> <li>симуляционные тренажеры</li> <li>системы управления флотом</li> <li>навигационное приложение для яхтсменов</li> </ul> <p>Компания использует новейшие технологии математического моделирования, машинного обучения и искусственного интеллекта при создании унифицированной облачной платформы для управления операциями во всей морской транспортной экосистеме.</p> <p>К себе в команду мы ищем <strong>Инженера-программиста С++ </strong>в департамент бортовых навигационных систем.</p> <p><strong>Задачи:</strong></p> <ul> <li>Разработка нового поколения профессионального навигационного ПО для больших судов.</li> <li>Проектирование отдельных систем. Оценка затрат на разработку функциональности.</li> </ul> <p><strong>Необходимо:</strong></p> <ul> <li>От трёх лет опыта разработки ПО.</li> <li>Уверенное знание Qt5, Qt Widgets, qss.</li> <li>Уверенное знание C++11/14/17 (включая ООП, шаблоны, exceptions).</li> <li>Опыт разработки под Windows и/или Linux.</li> <li>Опыт разработки параллельных/многопоточных программ.</li> <li>Знание базовых алгоритмов и структур данных, Design Patterns.</li> <li>Умение работать в команде.</li> <li>Технический английский.</li> </ul> <p>Приветствуется:</p> <ul> <li>Знание и опыт работы с OpenGL.</li> <li>Qt Script, Python, CMake, git, gmock.</li> <li>Опыт кроссплатформенной разработки.</li> <li>Умение работать с чужим кодом, в том числе open source библиотеками.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Профессиональное развитие в команде высококлассных специалистов</li> <li>Гибкий график, свободный дресскод</li> <li>Система премирования</li> <li>Добровольное медицинское страхование со стоматологией</li> <li>Оформление по ТК РФ</li> <li>Корпоративное обучение (English classes, профильные курсы, и т.п.)</li> <li>Просторный офис с киккером и настольным теннисом в на Васильевском острове. Авто и велопарковка</li> <li>Чай, кофе, печенье, «фруктовые дни» в офисе</li> <li>Спортивные и интеллектуальные состязания, яркие праздники, праздники для детей сотрудников, проекты социальной ответственности, и т.д.</li> </ul>",Полная занятость,Гибкий график,От 3 до 6 лет,|Qt|C++|Python|Linux|Git,6.0,250000.0,3.0,120000.0,разработчик с++,"От трёх лет опыта разработки ПО. Уверенное знание Qt5, Qt Widgets, qss. Уверенное знание C++11/14/17 (включая...",Бортовые навигационные системы. Диспетчеризация портов. Симуляционные тренажеры. Системы управления флотом. Навигационное приложение для яхтсменов. Разработка нового поколения профессионального навигационного ПО...,9,с++
Санкт-Петербург,Netwrix Corporation,2019-11-25T17:38:36+0300,"<p><strong>Netwrix Corporation</strong> - международная компания, специализирующаяся на разработке собственного программного продукта. Мы предлагаем единую платформу, которая направлена на обеспечение безопасности IT инфраструктуры наших клиентов. В том числе: мониторинг изменений в локальных и облачных IT сервисах, выявление аномальной активности поведения пользователей, классификация конфиденциальной и критически важной для бизнеса информации, обнаружение угроз для принятия оперативных мер по предотвращению утечки данных. Продукт интересен системным администраторам, специалистам, отвечающим за информационную безопасность и IT-руководству компании.</p> <p>Мы разрабатываем законченное коробочное решение на Windows/Linux, используемое middle и enterprise бизнесом по всему миру.</p> <p>Штаб-квартира компании находится в г. Ирвайн, штат Калифорния, (США). Региональные офисы представлены в Огайо (США), Великобритании, странах Бенилюкса, Франции, Германии, Италии, Чехии, Индии, Сингапуре и России (Санкт-Петербург).</p> <p>Офис в Санкт-Петербурге продолжает активно развиваться. В настоящий момент мы ищем нового специалиста на позицию <strong>С++ Developer.</strong></p> <p><strong>ОСНОВНАЯ ЗАДАЧА:</strong><br />Проектирование и программная реализация подсистем, осуществляющих мониторинг, сбор, обработку и сохранение информации об изменениях в компонентах IT инфраструктуры, таких как файловые хранилища, Active Directory, серверы под управлением ОС Windows, базы данных или сетевые устройства, с учётом высоких требований к производительности.</p> <p><strong>ВАМ ПРЕДСТОИТ:</strong></p> <ul> <li>Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний;</li> <li>Разрабатывать новые компоненты в рамках микросервисной архитектуры;</li> <li>Оптимизировать скорость работы и объем потребляемой памяти;</li> <li>Работать в распределенной команде (СПб – Прага).</li> </ul> <p><strong>МЫ ПРИМЕНЯЕМ:</strong></p> <ul> <li>С++, активно C++ 11/14/17;</li> <li>Знания алгоритмов и структур данных;</li> <li>Многопоточные и распределенные вычисления;</li> <li>MS Visual Studio 2015/2017;</li> <li>Unit-тесты, интеграционные тесты, code review;</li> <li>Итеративную методологию разработки.</li> </ul> <p><strong>ЭТА ВАКАНСИЯ ДЛЯ ВАС, ЕСЛИ ВЫ:</strong></p> <ul> <li>Уверенно владеете С++;</li> <li>Занимаетесь разработкой под Windows;</li> <li>Любите исследовать, осваивать новые технологии и докапываться до сути;</li> <li>Загораетесь интересными задачами и доводите начатое дело до конца;</li> <li>Внимательны к мелочам и ориентированы на качественный результат.</li> </ul> <p><strong>БУДЕТ ПЛЮСОМ:</strong></p> <ul> <li>Опыт использования Active Directory, MS SQL Server и других технологий Microsoft;</li> <li>Владение языком C#;</li> <li>Опыт разработки под Linux.</li> </ul> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <ul> <li>Работу в современном бизнес-центре напротив ст. м. &quot;Старая Деревня&quot;;</li> <li>Официальное трудоустройство, полное соблюдение ТК РФ;</li> <li>Конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);</li> <li>Работу в крутом и реально дружном коллективе с настоящими профи своего дела;</li> <li>Гибкий график работы, отсутствие дресс-кода и общение на «ты»;</li> <li>ДМС со стоматологией (включая страховку для выезда за границу);</li> <li>Корпоративные спортивные программы: скидка на абонемент в зал с бассейном рядом с офисом для сотрудников и членов семьи, аренда залов для командных видов спорта (футбол, волейбол);</li> <li>Курсы английского языка;</li> <li>Возможность принимать участие в профессиональных конференциях по всему миру, а также посещать специализированные курсы и тренинги за счет компании;</li> <li>Приобретение необходимой для работы литературы;</li> <li>Комфортные рабочие места и современное компьютерное оборудование;</li> <li>Возможности для профессионального и карьерного роста;</li> <li>Корпоративные мероприятия на любой вкус;</li> <li>Маленькие ежедневные радости: кофе, чай, вкусности, кикер, пинг-понг и пр. :)</li> </ul>",Полная занятость,Гибкий график,От 1 года до 3 лет,|C++|MS Visual Studio|STL|Windows API,3.0,157000.0,1.0,74000.0,разработчик с++ с++ разработчик,"С++, активно C++ 11/14/17. Знания алгоритмов и структур данных. Многопоточные и распределенные вычисления. MS Visual Studio 2015/2017. ","Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний. Разрабатывать новые компоненты в рамках микросервисной архитектуры. ",25,с++
Санкт-Петербург,Netwrix Corporation,2019-11-25T17:38:52+0300,"<p><strong>Netwrix Corporation</strong> - международная компания, специализирующаяся на разработке собственного программного продукта. Мы предлагаем единую платформу, которая направлена на обеспечение безопасности IT инфраструктуры наших клиентов. В том числе: мониторинг изменений в локальных и облачных IT сервисах, выявление аномальной активности поведения пользователей, классификация конфиденциальной и критически важной для бизнеса информации, обнаружение угроз для принятия оперативных мер по предотвращению утечки данных. Продукт интересен системным администраторам, специалистам, отвечающим за информационную безопасность и IT-руководству компании.</p> <p>Мы разрабатываем законченное коробочное решение на Windows/Linux, используемое middle и enterprise бизнесом по всему миру.</p> <p>Штаб-квартира компании находится в г. Ирвайн, штат Калифорния, (США). Региональные офисы представлены в Огайо (США), Великобритании, странах Бенилюкса, Франции, Германии, Италии, Чехии, Индии, Сингапуре и России (Санкт-Петербург).</p> <p>Офис в Санкт-Петербурге продолжает активно развиваться. В настоящий момент мы ищем нового специалиста на позицию<strong> Senior</strong> <strong>C</strong><strong>++ </strong><strong>Developer.</strong></p> <p><strong>ОСНОВНАЯ ЗАДАЧА:</strong></p> <p>Проектирование и программная реализация подсистем, осуществляющих мониторинг, сбор, обработку и сохранение информации об изменениях в компонентах IT инфраструктуры, таких как файловые хранилища, Active Directory, серверы под управлением ОС Windows, базы данных или сетевые устройства, с учётом высоких требований к производительности.</p> <p><strong>ВАМ ПРЕДСТОИТ:</strong></p> <ul> <li>Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний;</li> <li>Разрабатывать новые компоненты в рамках микросервисной архитектуры;</li> <li>Оптимизировать скорость работы и объем потребляемой памяти;</li> <li>Реализовывать тесты и проводить code review;</li> <li>Работать в распределенной команде (СПб – Прага).</li> </ul> <p><strong>ЭТА ВАКАНСИЯ ДЛЯ ВАС, ЕСЛИ ВЫ:</strong></p> <ul> <li>Уверенно владеете C++, STL, boost;</li> <li>Имеете практический опыт в области обработки классических структур данных;</li> <li>Занимаетесь разработкой под Windows;</li> <li>Загораетесь интересными задачами и доводите начатое дело до конца;</li> <li>Внимательны к мелочам в своей работе и ориентированы на качественный результат;</li> <li>Умеете работать как самостоятельно, так и в команде;</li> <li>Свободно читаете техническую документацию на английском языке;</li> <li>Плюсом будет, если в ходе своей предыдущей работы Вы сталкивались с Active Directory/SharePoint/Exchange Server/VMware/ HyperV/SQL Server;</li> <li>Навыки системного программирования (x86/x64) под Windows упростят решение некоторых поставленных перед вами задач.</li> </ul> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <ul> <li>Работу в современном бизнес-центре напротив ст. м. &quot;Старая Деревня&quot;;</li> <li>Официальное трудоустройство, полное соблюдение ТК РФ;</li> <li>Конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);</li> <li>Работу в крутом и реально дружном коллективе с настоящими профи своего дела;</li> <li>Гибкий график работы, отсутствие дресс-кода и общение на «ты»;</li> <li>ДМС со стоматологией (включая страховку для выезда за границу);</li> <li>Корпоративные спортивные программы: скидка на абонемент в зал с бассейном рядом с офисом для сотрудников и членов семьи, аренда залов для командных видов спорта (футбол, волейбол);</li> <li>Курсы английского языка;</li> <li>Возможность принимать участие в профессиональных конференциях по всему миру, а также посещать специализированные курсы и тренинги за счет компании;</li> <li>Приобретение необходимой для работы литературы;</li> <li>Комфортные рабочие места и современное компьютерное оборудование;</li> <li>Возможности для профессионального и карьерного роста;</li> <li>Корпоративные мероприятия на любой вкус;</li> <li>Маленькие ежедневные радости: кофе, чай, вкусности, кикер, пинг-понг и пр. :)</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,157000.0,1.0,74000.0,senior с++ разработчик ведущий с++ разработчик,"Уверенно владеете C++, STL, boost. Имеете практический опыт в области обработки классических структур данных. Занимаетесь разработкой под Windows. ","Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний. Разрабатывать новые компоненты в рамках микросервисной архитектуры. ",25,с++
