city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Фаззи Лоджик Лабс,2019-12-12T08:30:09+0300,"<p><em>Компания Фаззи Лоджик Лабс ищет специалиста по тестированию продуктов компании. Данная позиция совмещает в себе функции тестировщика и бизнес-аналитика. Область предлагаемых задач простирается от составления тест-планов и разработки тестовых сценариев на основании требований до проведения различных видов тестирования (функциональное, интеграционное, регрессионное, …) с последующей регистрацией дефектов и контролем их исполнения.</em></p> <p><strong><em>Обязанности:</em></strong></p> <p>- Взаимодействие со всей командой: разработчиками, аналитиками и представителями от бизнеса;</p> <p>- Составление и актуализация тестовой документации (тест-кейсы, чек-листы, тест-планы);</p> <p>- Проведение тестирования;</p> <p>- Анализ, систематизация и составление подробного описания найденных в процессе тестирования ошибок;</p> <p>- Документирование обнаруженных ошибок и контроль их исполнения;</p> <p>- Участие в процессах внедрения.</p> <p><em>Требования (необходимые компетенции):</em></p> <p>- Опыт работы в области тестирования ПО</p> <p>- Знание и понимание методик тестирования;</p> <p>- Понимание принципов разработки и тестирования ПО;</p> <p>- Опыт работы с технической документацией (технические задания, постановки на доработку);</p> <p>- Понимание устройства веб-приложения, серверной части, сервисов и их взаимодействия;</p> <p>- Коммуникационные навыки и умение работать в команде;</p> <p>- Умение последовательно, понятно и грамотно излагать мысли в устной и письменной формах;</p> <p>- Внимательность, критический склад ума, аналитические способности.</p> <p><strong><em>Приветствуется (будет плюсом) </em>:</strong></p> <p>- опыт тестирования API;</p> <p>- опыт работы с Oracle DB: составление SQL запросов, чтение pl\sql процедур;</p> <p>- опыт работы с очередью AcitiveMQ;</p> <p>- базовые знания технологий: SOAP, HTML, Java, XML/XLST, Json;</p> <p>- анализ лог-файлов;</p> <p><strong><em>Условия:</em></strong></p> <p> </p> <p>- Молодой, дружный коллектив профессионалов.</p> <p>- Интересный проект.</p> <p>- Достойный уровень дохода</p> <p>- Белая ЗП и официальное устройство по ТК.</p> <p>- Гибкий график, возможность удаленной работы.</p> <p>- Офис в районе м.Серпуховская</p> <p> </p>",Полная занятость,Полный день,От 1 года до 3 лет,|Регресcионное тестирование|Тестирование|Тестирование пользовательского интерфейса|Функциональное тестирование|Test case|Проведение тестирований|JavaScript|SoupUI|Разработка проектной документации|Atlassian Jira|SQL|Разработка технических заданий|ORACLE|Java|MySQL|Техническая документация,3.0,,1.0,,тестировщик,Опыт работы в области тестирования ПО. - Знание и понимание методик тестирования. - Понимание принципов разработки и тестирования ПО. - Опыт работы с...,Компания Фаззи Лоджик Лабс ищет специалиста по тестированию продуктов компании. Данная позиция совмещает в себе функции тестировщика и бизнес-аналитика. ,1
Москва,Информационное агентство России ТАСС,2019-12-04T11:19:41+0300,"<p>Что нужно будет делать:</p> <ul> <li>Заниматься тестированием наших приложений.</li> <li>Тестировать работу CMS/CRM-систем/мобильных приложений/Web.</li> <li>Разрабатывать документацию по тестированию.</li> <li>Выявлять, документировать и верифицировать дефекты.</li> <li>Взаимодействовать с командой разработки и другими командами.</li> <li>Погружаться в архитектуру разрабатываемых продуктов.</li> </ul> <p>Мы ищем сотрудника, который:</p> <ul> <li>Обладает опытом тестирования от 2-х лет.</li> <li>Знает различные методологии тестирования.</li> <li>Умеет составлять тестовую документацию (bug/case/check-list).</li> <li>Имеет опыт работы в Jira, Confluence.</li> </ul> <p>Плюсами будут:</p> <ul> <li> <p>Опыт в тестировании новостных сайтов с большим количеством клиентов.</p> </li> <li> <p>Опыт в тестировании серверной части приложения API.</p> </li> <li> <p>Навыки работы с Linux-консолью.</p> </li> <li> <p>Навыки работы с SQL, Git, Bash.</p> </li> <li> <p>Знание какого-либо языка(ов) программирования.</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,тестировщик,"Обладает опытом тестирования от 2-х лет. Имеет опыт работы в Jira, Confluence. Плюсами будут: Опыт в тестировании новостных сайтов...","Тестировать работу CMS/CRM-систем/мобильных приложений/Web. Разрабатывать документацию по тестированию. Выявлять, документировать и верифицировать дефекты. Взаимодействовать с командой...",9
Москва,Кадровое агентство Юнити,2019-11-18T09:21:10+0300,"<p><strong><em>Крупная российская страховая компания ищет к себе в команду Аналитика-тестировщика 1С</em></strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Ручное и автоматизированное <strong>тестирование</strong> систем на платформе <strong>1С</strong>;</li> <li>Тестирование процессов интеграции;</li> <li>Взаимодействие с внутренними и внешними аналитиками/разработчиками и специалистами тестирования в части решения задач по приемке обновлений/функциональностей/доработок ПО;</li> <li>Предоставление отчетности и фиксирование результатов по процессу тестирования в рамках установленного функционала;</li> <li>Написание тест-планов (матриц тестирования), ведение и актуализация тестовых сценариев;</li> <li>Работа с проектной документацией (бизнес-требования, технические задания)</li> </ul> <p><strong>Требования:</strong></p> <ul> <li><strong>Высшее техническое образование;</strong></li> <li>Опыт работы в сфере тестирования ПО от 1 года - обязательно;</li> <li>Знание основных принципов работы с объектами 1С.8 – справочники, документы, регистры, отчеты;</li> <li>Опыт в проведении тестирования реализованного функционала на платформе 1С.8. Опыт составления тестовых примеров автоматизации тестирования будет преимуществом;</li> <li>Опыт работы с багтрекинговыми системами.</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство по ТК РФ на <em><strong>срочный трудовой договор</strong></em>;</li> <li>Заработная плата (от 100 000 рублей +, обсуждается);</li> <li>Возможность карьерного роста после успешно выполненных проектов;</li> <li>График 5/2, гибкое начало дня;</li> <li>Комфортабельный офис класса А в центре Москвы.</li> </ul> <p><em>Благодарим за внимание к нашей вакансии!</em></p>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,100000.0,тестировщик,Высшее техническое образование. Опыт работы в сфере тестирования ПО от 1 года - обязательно. Знание основных принципов работы с объектами 1...,Ручное и автоматизированное тестирование систем на платформе 1С. Тестирование процессов интеграции. Взаимодействие с внутренними и внешними аналитиками/разработчиками и...,25
Москва,Черехапа Страхование,2019-11-21T12:32:42+0300,"<p>Cherehapa - marketplace по продаже страховок, креативная команда неравнодушных людей.</p> <p>Наша главная цель b2c. Мы работаем для клиента, мы ищем целеустремленных специалистов, которые будут развивать инновационные проекты вместе с нами.</p> <p>Наша задача сделать жизнь клиента проще.</p> <p><strong>Задачи:</strong></p> <ul> <li>Ручное тестирование программного обеспечения;</li> <li>Анализ и уточнение требований;</li> <li>Создание тест-кейсов;</li> <li>Взаимодействие с командой разработчиков.</li> </ul> <strong>Что мы ждем от вас:</strong> <ul> <li>Опыт работы от 1 года;</li> <li>Увлеченность IT сферой;</li> <li>Знание методологии разработки и тестирования программного обеспечения.</li> </ul> <p><strong>Что мы можем предложить:</strong></p> <ul> <li>Работа в быстрорастущей компании на передовой продуктовой IT разработки;</li> <li>Дружный коллектив, адекватный менеджмент, отсутствие бюрократии;</li> <li>Широкие возможности для саморазвития и самореализации;</li> <li>Интересные задачи непосредственно влияющие на бизнес компании, притом быстро, легко заметить итоги;</li> <li>Хотите конференций и курсов? Поощряем и помогаем;</li> <li>Белая заработная плата (размер обсуждается по итогам собеседования);</li> <li>Гибкий график работы, удобный и для сов, и для жаворонков;</li> <li>Уютный офис в 7 минутах ходьбы от м.Новослободская/Белорусская.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Тестирование пользовательского интерфейса|Работа в команде|Бизнес-анализ|Креативность|Тестирование,3.0,,1.0,,тестировщик,Опыт работы от 1 года. Увлеченность IT сферой. Знание методологии разработки и тестирования программного обеспечения.,Ручное тестирование программного обеспечения. Анализ и уточнение требований. Создание тест-кейсов. Взаимодействие с командой разработчиков.,22
Москва,НПО Аналитика,2019-11-19T22:49:55+0300,"<strong>Обязанности:</strong> <ul> <li>Ручное и автоматизированное тестирование ПО</li> <li>Поиск и регистрация ошибок</li> <li>Разработка методик и сценариев тестирования.</li> </ul> <p><strong>Требования:</strong></p> <p>- Высокий уровень ответственности</p> <p><strong>Дополнительным преимуществом будет:</strong></p> <ul> <li>Начальные знания SQL или javascript или C#</li> <li>Знание теории тестирования (виды, методы, этапы, техники тестирования)</li> <li>Опыт разработки автоматизированных тестов.</li> </ul> <strong>Условия:</strong> <ul> <li><strong>Привлекательнее, чем у любых других игроков на рынке в этой индустрии</strong></li> <li>Перспективы карьерного роста</li> <li>Обучение по продукту при трудоустройстве</li> <li><em><strong>Проявленный героизм оплачивается отдельно</strong></em></li> <li>Официальное трудоустройство</li> </ul>",Полная занятость,Полный день,Нет опыта,|SQL|JavaScript|C#,,40000.0,,30000.0,тестировщик,"Начальные знания SQL или javascript или C#. Знание теории тестирования (виды, методы, этапы, техники тестирования). Опыт разработки автоматизированных тестов.",Ручное и автоматизированное тестирование ПО. Поиск и регистрация ошибок. Разработка методик и сценариев тестирования.,24
Москва,ZTE Corporation,2019-12-10T09:23:56+0300,"<strong>Обязанности:</strong> <ul> <li> <p>Проведение предпродажного тестирования оборудования в соответствии с программой-методикой заказчика ( CPE/ONT, желательно знания или желание развиваться по GPON, MSAN, оборудование питания /power equipment,)</p> </li> <li> <p>Ввод в эксплуатацию и техническое сопровождение поставляемого оборудования заказчику</p> </li> <li> <p>Консультации подрядных организаций по монтажу поставляемого оборудования</p> </li> <li> <p>Работа в команде по устранению проблем с оборудованием</p> </li> <li> <p>Тестирование оборудования на соответствие требованиям заказчика и работа в команде по устранению несоответствия таковым</p> </li> <li> <p>Техническая консультация работников из других департаментов</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Знание модели OSI, стека протоколов TCP/IP.</p> </li> <li> <p>Понимание принципов работы Ethernet, VoIP, SIP</p> </li> <li> <p>Знание протоколов динамической маршрутизации RIP, OSPF, IS-IS, BGP, PIM, а также MPLS.</p> </li> <li> <p>Понимание стандартов и протоколов - VLAN, STP/RSTP/MSTP, Port security, ACL, NAT/PAT, QOS</p> </li> <li> <p>Знание протоколов обеспечения широкополосного доступа - PPPOE, L2TP/PPPTP, IPOE</p> </li> <li> <p>Желателен опыт работы с активным управляемым сетевым оборудованием второго и третьего уровней</p> </li> <li> <p>Работа с утилитами wireshark (или аналогичными), ftp/tftp серверным ПО, SNMP браузерами.</p> </li> <li> <p>Технический и intermediate английский.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Высокая заработная плата</li> <li>Оформление через кадровую компанию (аутсорсинг)</li> <li>Полное соблюдение ТК РФ</li> </ul>",Полная занятость,Полный день,Более 6 лет,|TCP/IP|Английский язык|Mac Os|Аутсорсинг,,,6.0,,тестировщик,"Знание модели OSI, стека протоколов TCP/IP. Понимание принципов работы Ethernet, VoIP, SIP. Знание протоколов динамической маршрутизации RIP, OSPF, IS...","Проведение предпродажного тестирования оборудования в соответствии с программой-методикой заказчика ( CPE/ONT, желательно знания или желание развиваться по GPON, MSAN...",3
Москва,Эльфин,2019-12-04T10:04:02+0300,"<p>Если Вы</p> <p> </p> <ul> <li>устали от пустой корпоративной суеты,</li> <li>ищете динамики в развитии собственных скиллов,</li> <li>являетесь приверженцем гибких методологий разработки,</li> <li>любите и умеете глубоко погружаться в предметную область,</li> <li>открыты к новым технологиям и творчески подходите к решению задач,</li> <li>готовы быстро реализовывать бизнес-идеи (вплоть до «утром идея - вечером в проде»)</li> </ul> <p> </p> <p>То Вам - к нам. Мы - компания ElFin, финтех стартап, резидент Сколково. Одно из основных направлений нашей деятельности - развитие и сопровождение платформы автоматизации бизнес-процессов на основе BPMS-ядра в микросервисной архитектуре.</p> <p> </p> <p>У нас вам понадобятся</p> <p> </p> <ul> <li>Знания методик и видов ручного тестирования</li> <li>Опыт проведения ручного UI-тестирования</li> <li>Навыки составления тест-кейсов и чек-листов по требованиям и с учётом взаимосвязей функционала</li> <li>Понимание жизненного цикла разработки фичей</li> <li>Навыки описания дефектов для разработчика</li> <li>Умение объяснять функционал системы</li> <li>Навыки анализа дефектов (в т ч с продуктивной среды)</li> <li>Знание REST API ( будет плюсом )</li> <li>Нотации BPMN/DMN ( будет плюсом )</li> </ul> <p> </p> <p>У нас вы научитесь (либо прокачаете скиллы по)</p> <p> </p> <ul> <li>Тестированию процессных приложений</li> <li>Модульному и интеграционному тестированию компонент программного комплекса в микросервисной архитектуре</li> <li>Анализу требований и их оптимизации по результатам тестирования прототипа</li> <li>Выявлять и учитывать зависимости между компонентами системы и их функционалом</li> </ul> <p> </p> <p> </p> <p>Сотрудники нашей команды:</p> <p> </p> <ul> <li>Оформлены по ТК РФ, получают «белую» зарплату</li> <li>Работают в офисе на ст. м. Белорусская</li> <li>Обеспечены ДМС</li> <li>Не менее раза в год проходят обучение и посещают тематические конференции и митапы</li> <li>Помогают друг другу и открыты к общению</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|BPMN|SQL|Atlassian Jira|UML|Scrum,3.0,,1.0,,тестировщик,Знания методик и видов ручного тестирования. Опыт проведения ручного UI-тестирования. Навыки составления тест-кейсов и чек-листов по требованиям...,Тестированию процессных приложений. Модульному и интеграционному тестированию компонент программного комплекса в микросервисной архитектуре. Анализу требований и их оптимизации по результатам...,9
Москва,Алеф ван лтд,2019-11-28T11:11:46+0300,"<strong>Обязанности:</strong> <ul> <li>Написание тестовых сценариев</li> <li>Тестирование мобильных приложений, сайтов, других программных продуктов</li> <li>Участие в автоматизации тестирования</li> <li>Окончательная приемка качества продукта перед сдачей заказчику</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы QA инженером, понимание подхода к организации тестирования</li> <li>Стабильный канал доступа в интернет</li> <li>Личный ноутбук или компьютер</li> <li>Умение разбираться в технической документации к программным продуктам (сайтам, мобильным приложениям и т.д)</li> <li>Приветствуется: навыки использования инструментов автотестирования: Selenium, JMeter, Katalon, phpunit</li> <li>Приветствуется: опыт\образование в сфере программирования</li> </ul> <strong>Условия:</strong> <ul> <li>Удаленная работа</li> <li>Восьмичасовой рабочий день, 5 дней в неделю</li> <li>Рабочий день с 10 утра до 7 вечера (Часовой пояс: Санкт-Петербург, Москва)</li> </ul>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|HTML|PHP|Тестирование|MS Visual Studio|Borland Delphi,3.0,40000.0,1.0,30000.0,тестировщик,"Опыт работы QA инженером, понимание подхода к организации тестирования. Стабильный канал доступа в интернет. Личный ноутбук или компьютер. ","Написание тестовых сценариев. Тестирование мобильных приложений, сайтов, других программных продуктов. Участие в автоматизации тестирования. Окончательная приемка качества продукта перед сдачей...",15
Москва,Юником,2019-11-18T10:37:14+0300,"<p>Юником24 - стремительно развивающаяся IT-компания, разрабатывающая высокотехнологичные решения для рынка финансирования и страхования.<br />Основной продукт компании Юником24 - финансовый маркет unicom24.ru, специализирующийся на предоставлении услуг по подбору кредитов, страховых предложений, предложений по вкладам, а также финансовому и страховому консалтингу.</p> <p><strong>Что мы ожидаем от кандидата: </strong></p> <ul> <li>знание принципов и методов тестирования WEB-приложений, желание работать и развиваться в данной области;</li> <li>умение грамотно формулировать мысли в письменном виде, расставлять приоритеты, действовать гибко и динамично в условиях многозадачности;</li> <li>Знание протоколов HTTP, TCP/IP;</li> <li>Опыт написание тест-кейсов;</li> <li>личные качества: ответственность, стрессоустойчивость, внимательность, дружелюбность, стремление к профессиональному развитию.</li> </ul> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>проведение и улучшение процесса тестирования веб-приложений: <ul> <li>функциональное тестирование</li> <li>тестирование производительности системы</li> <li>стресс-тестирование</li> <li>юзабилити-тестирование</li> <li>интеграционное тестирование</li> <li>регрессионное тестирование</li> <li>тестирование пользовательского интерфейса</li> <li>построение пользовательских сценариев</li> </ul> </li> <li>тестирование мобильных приложений. (iOS, Android)</li> <li>работа с документацией (тестирование, актуализация, внесение комментариев и предложений)</li> <li>написание и поддержка тест-планов, тест-кейсов, постановка задач, планирование ресурсов на тестирование, приоритизация задач, тесное общение с менеджерами и отделом разработки</li> </ul> <p><strong>Дополнительным плюсом будет:</strong></p> <ul> <li>знакомство с инструментами автоматизационного тестирования (selenium, etc)</li> <li>опыт тестирования мобильных приложений</li> <li>опыт работы c Redmine, git, Jenkins</li> <li>опыт в тестировании API</li> <li>знания о HTML/CSS, Javascript, SQL</li> <li>владение одной из ОС Windows/UNIX на уровне опытного пользователя</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>профессиональный рост в серьезном проекте федерального уровня</li> <li>дружная молодая команда</li> <li>комфортный современный офис. Удобно расположен, недалеко от метро</li> <li>Возможна удаленная работа по согласованию с руководителем</li> <li>оформление по ТК РФ, социальный пакет</li> <li>полный рабочий день пн-пт,</li> <li>конкурентная заработная плата с возможностью роста</li> <li>интересные задачи</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,,тестировщик,"Знание принципов и методов тестирования WEB-приложений, желание работать и развиваться в данной области. Умение грамотно формулировать мысли в письменном...",Проведение и улучшение процесса тестирования веб-приложений: Функциональное тестирование. Тестирование производительности системы. Стресс-тестирование. Юзабилити-тестирование. Интеграционное тестирование. Регрессионное тестирование. ,25
Москва,РБК,2019-12-02T09:18:39+0300,"<strong>Обязанности:</strong> <p><strong>LOVEPLANET</strong> — сеть мобильных приложений/сайтов для знакомства и общения, начавшая свою работу в 2005 году. Являемся одним из известнейших и старейших сайтов знакомств в Рунете с аудиторией более 25 млн. и входим в группу компаний <strong>РБК</strong>.</p> <p>Наши мобильные приложения ориентированы и развиваются на рынках Европы, США и Азии.</p> <p>Мы предоставляем специалистам уникальную возможность построить свою карьеру в dating индустрии.</p> <p> </p> <strong>Требования:</strong> <ul> <li> <p>Проведение функционального, интеграционного, модульного тестирования (Android/iOS приложения, Веб)</p> </li> <li> <p>Написание тест кейсов, тестовых сценариев;</p> </li> <li> <p>Регистрация и контроль исправления дефектов;</p> </li> <li> <p>Коммуникация с разработкой продукта;</p> </li> <li> <p>Формирование отчетности по результатам тестирования.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Стабильную работу над интересными задачами в профессиональной команде крупного проекта, ориентированной на результат.</li> <li>Работа над международным продуктом, развивающимся на рынках США, Европы, Японии.</li> <li>Молодой дружный коллектив.</li> <li>Офис - ст. м. Калужская (шаговая доступность).</li> <li>Оформление в соответствии с трудовым законодательством РФ.</li> <li>Заработная плата обсуждается индивидуально с успешным кандидатами.</li> <li>График работы: 5/2, суббота и воскресенье - выходные.</li> <li>ДМС.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Функциональное тестирование|iOS|Тестирование|Мобильность|Проведение тестирований,3.0,,1.0,,тестировщик,,"Проведение функционального, интеграционного, модульного тестирования (Android/iOS приложения, Веб). Написание тест кейсов, тестовых сценариев. Регистрация и контроль исправления дефектов. ",11
