city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,c#,asp.net,.net framework,git,entity framework,ооп,ms sql,javascript,mvc,postgresql,other
Москва,МОНТ,2019-12-11T18:33:23+0300,"  В дружный коллектив Компании MONT, один из ведущих дистрибьюторов ПО в России и СНГ, приглашается  Разработчик .Net.          Задачи:      Разработка приложений на базе Microsoft .Net;   Администрирование и техническое сопровождение разработанных приложений;          Требования:      Опыт работы над крупными проектами (длительностью более полугода) от 2 лет;   Понимание принципов построения отказоустойчивых и масштабируемых приложений;   Твердое знание и практический опыт работы с C#, ASP.NET MVC, SQL (Microsoft TSQL),WCF, EntityFramework;   Опыт работы с GIT;   Плюсом будет опыт работы с Elasticsearch, NoSql, базами данных, очередями сообщений, понимание основ HTML, CSS, JS          Условия работы:      Оклад (по результатам собеседования) + премии по итогам работы;   Бесплатное питание и разные вкусности в течение дня.   ДМС;   Возможность посещать конференции за счет компании.   Пятидневная рабочая неделя с 10 до 18;   Современный офис рядом с м. Улица 1905 года (5 мин. ходьбы).   ",Полная занятость,Полный день,От 1 года до 3 лет,|ASP.NET|MVC|C#|SQL|Git|WCF|Entity Framework,3.0,91000.0,1.0,180000.0,разработчик .net,Опыт работы над крупными проектами (длительностью более полугода) от 2 лет. Понимание принципов построения отказоустойчивых и масштабируемых приложений. ,Разработка приложений на базе Microsoft .Net. Администрирование и техническое сопровождение разработанных приложений.,0.06666666666666667,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
Москва,Profit Center,2019-11-15T11:58:06+0300," Привет! Мы - продуктовая it-компания, которая ценит качественный подход к работе, любовь к делу, которым занимаемся, внутреннюю мотивацию и жизненную энергию. Это касается, как отношения сотрудников к компании, так и наоборот. Ничего нового не сказала, но если вам близко то, что перечислила - welcome.    Основные задачи:      Участие в разработке ПО для работы на финансовых рынках   Написание десктопных/серверных приложений на C#   Оптимизация кода   Минимизация задержек в передаче и обработке данных      Необходимые навыки:      Опыт разработки от 2х лет на C#   Отличное понимание ООП   Опыт построения многопоточных приложений   Умение разбираться в чужом коде, писать качественный, быстрый и понятный код   Способность быстро учиться и работать самостоятельно   Уровень английского не важен      Будет преимуществом:      Опыт разработки высоконагруженных приложений      Компания предлагает:      Участие в разработке масштабного продукта компании   Не простой кодинг, а решение уникальных задач   Нацеленность на результат, а не на процесс   Индивидуальный подход к каждому разработчику    Удаленную занятость на полный рабочий день с гибким графиком    Достойную оплату труда   Возможность профессионального и карьерного роста      Все не опишешь двумя словами, но если заинтересовала - высылайте резюме!) В сопроводительном письме укажите, пожалуйста, желаемый уровень дохода.  ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|C#|ООП|MySQL,3.0,2000.0,1.0,1200.0,с# .net разработчик,Опыт разработки от 2х лет на C#. Отличное понимание ООП. Опыт построения многопоточных приложений. Умение разбираться в чужом коде...,Участие в разработке ПО для работы на финансовых рынках. Написание десктопных/серверных приложений на C#. Оптимизация кода. Минимизация задержек в...,0.9333333333333333,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
Москва,Инград,2019-11-29T10:35:44+0300,"    ГК «Инград»  — крупная инвестиционно-девелоперская компания, которая ведет свою деятельность с 2012 года.   Группа компаний «Инград» специализируется на строительстве жилых комплексов и микрорайонов комфорт и бизнес-класса в Москве и ближнем Подмосковье, уделяя особое внимание соблюдению сроков и качеству строительства, формированию комфортной среды для жителей.      Обязанности:      Проектирование архитектуры решений (объектная модель системы);   Контроль и выполнение публикации релизов;   Поддержка и развитие существующих решений на базе Microsoft Dynamics CRM (рефакторинг);   Разработка интеграционных решений (корпоративная сервисная шина);   Реализация новых требований заказчика (оценка, разработка);   Участие в процессах разработки технологических стандартов и документального обеспечения эксплуатации системы.     Требования:     Образование - высшее техническое образование, предпочтительно в области ИТ;   Понимание архитектурных принципов построения ИТ-систем;   Знания методологий разработки, ООП, принципов SOLID, IoC, паттернов проектирования, рефакторинга и пр.;   Опыт разработки на .NET C# от 3 лет;   ASP.NET MVC или Angular;   T-SQL;   Опыт разработки многопоточных/асинхронных систем в .NET.     Условия:     Современный комфортабельный офис в шаговой доступности от м. Цветной бульвар/ Новослободская/ Маяковская(10 мин. пешком);   График: 5/2, с 9:00 до 18:00, пятница до 16.45;   Оформление в соответствии с трудовым законодательством;   Официальная з\п + годовой бонус;   Возможность реализовывать интересные идеи.   ",Полная занятость,Полный день,От 3 до 6 лет,|.NET Framework|ASP.NET|Entity Framework|C#|ООП,6.0,180000.0,3.0,90600.0,ведущий разработчик с# .net,"Образование - высшее техническое образование, предпочтительно в области ИТ. Понимание архитектурных принципов построения ИТ-систем. Знания методологий разработки, ООП, принципов SOLID...",Проектирование архитектуры решений (объектная модель системы). Контроль и выполнение публикации релизов. Поддержка и развитие существующих решений на базе Microsoft Dynamics...,0.4666666666666667,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1
Санкт-Петербург,Аркадия,2019-12-09T14:03:58+0300," Мы занимаемся разработкой ПО на заказ — в основном для компаний из США и Западной Европы. Нас около 600 человек, мы работаем в 4 офисах: центральный офис в Санкт-Петербурге, офисы разработки в Таганроге и Минске, а также офис продаж в Великобритании.   Наши заказчики — крупные международные компании, лидеры в сферах обучения и сертификации, фармацевтики, здравоохранения, управления предприятием, медиа и безопасности.   Большинство наших проектов — долгосрочные, и мы следим за тем, чтобы нам было удобно развивать их и поддерживать. Для этого мы применяем практики code review, architecture review, static code analysis, CI/CD, automated testing.   В команду, работающую с отделом разработки всемирно известного британского информационного агентства, требуется опытный .NET разработчик.   Мы работаем с многочисленными web-приложениями нашего заказчика, находящимися на разных стадиях жизненного цикла: от проектирования до поддержки. В процессе разработки используется Scrum. Мы общаемся с заказчиком на ежедневной основе, поэтому от успешного кандидата ожидаем уровня разговорного языка не ниже Upper-Intermediate.   У нас вы сможете приобщиться к миру современных интернет-медиа, включиться в отлаженный Agile процесс разработки, стать частью высокопрофессиональной, ориентированной на результат и инновации команды, побывать в командировках в Лондоне.    Вы можете стать частью нашей команды, если у вас есть:      опыт коммерческой разработки на платформе .NET, C# — не менее 3 лет;   ASP.NET MVC;   CMS Sitecore;   HTML, CSS, JavaScript;   SQL Server;   Web services (REST/WCF/Web API);   Git.      Также необходимо:      понимание основных структур данных и алгоритмов;   ориентация на результат;   отличные навыки коммуникации;   аналитические способности;   уверенный разговорный и письменный английский язык не ниже Upper-Intermediate.      Приветствуется:      опыт работы с CI (TeamCity);   ORM (Entity Framework);   Angular;   BDD/TDD;   Microsoft Azure;   знание семейства продуктов Atlassian: Stash, Jira, Octopus.      Работа в Аркадии — это:      официальное оформление, белая зарплата, отпуск согласно ТК РФ;   гибкий график работы;   ДМС со стоматологией, 100% оплата больничных, еженедельный приём врача-терапевта прямо в нашем офисе;   достойная заработная плата;   дружная команда и интересные задачи;   возможности профессионального роста;   посещение тренингов, конференций, прохождение сертификаций, курсы английского языка в офисе;   внутренние семинары по обмену знаниями;   работа в современном и комфортном офисе: вело- и автопарковки, душевые, оборудованная столовая, чай, кофе, фрукты, игровой клуб с кикером, пинг-понгом, видео- и настольными играми;   удобные и современные рабочие места;   корпоративные занятия спортом, командные тимбилдинги;   релокационный бонус в размере месячной зарплаты для иногородних кандидатов при переезде.   ",Полная занятость,Гибкий график,От 3 до 6 лет,|ASP.NET|.NET Framework|MVC|MS SQL|HTML|CSS|JavaScript|C#|Azure|Sitecore,6.0,225000.0,3.0,109698.68823000902,asp.net разработчик,"Опыт коммерческой разработки на платформе .NET, C# — не менее 3 лет. ASP.NET MVC. CMS Sitecore. HTML, CSS, JavaScript. SQL Server. ",Без обязанностей,0.13333333333333333,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1
Санкт-Петербург,NETRIKA,2019-12-12T12:52:04+0300," Направление  Здравоохранение  разрабатывает интеграционную платформу для организации на уровне региона сквозных бизнес-процессов, таких как: запись на прием к врачу, обмен результатами лабораторных исследований и др.   Мы строим эти сервисы, ориентируясь на международный опыт разработчиков медицинских систем и являемся одним из лидеров в разработке подобных решений в нашей стране.   Если тебе интересно создавать востребованные продукты, которые приносят пользу каждый день большому количеству людей, ждем резюме в наш отдел разработки ;)    В чем ожидается активное участие нового специалиста:      разработка новых сервисов и компонентов;   поддержка существующего кода, его анализ и оптимизация;   работа с удаленными сотрудниками (постановка задач, приемка кода, разрешение сложных вопросов);   код-ревью;   участие в оптимизации процессов разработки.      Нужный технический бэкграунд:      опыт разработки на C# .Net от 5 лет; по навыкам - уровень senior;   опыт построения приложений с помощью webAPI/REST;   опыт использования сервисов очередей (RabbitMQ);   опыт использования распределённого кеширования в высоконагруженных приложениях;   знание СУБД MongoDB;   навыки OOP, OOD;   опыт разработки коммерческих продуктов на .Net Core;   опыт разработки в микро сервисной среде приложений.      Будет плюсом:      опыт разработки с использованием стандарта HL7 FHIR приветствуется.      Условия:      официальное трудоустройство;   стабильная выплата заработной платы, два раза в месяц;   гибкое начало рабочего дня;   свободный дресс-код;   ДМС после испытательного срока;   чай, кофе unlimit, печеньки/плюшки к завтраку - приятное дополнение;   удобное расположения офиса в центре города (15 мин. пешком от ст.м. &quot;Чернышевская&quot;/&quot;Площадь Восстания&quot;).   ",Полная занятость,Полный день,От 3 до 6 лет,|MongoDB|ООП|C#|.Net Core|RabbitMQ,6.0,225000.0,3.0,109698.68823000902,ведущий разработчик .net,Опыт разработки на C# .Net от 5 лет; по навыкам - уровень senior. Опыт построения приложений с помощью webAPI/REST. ,"Разработка новых сервисов и компонентов. Поддержка существующего кода, его анализ и оптимизация. Работа с удаленными сотрудниками (постановка задач, приемка кода...",0.03333333333333333,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Санкт-Петербург,Distillery,2019-12-02T14:16:42+0300,"  Distillery is in search of an experienced C#/.NET developer to join our large product team. Role:      Provide technical guidance to the Web Team on designs, day to day technical questions;   Participate in scoping, technical designs, design reviews, code reviews on Web team projects;   Design, develop, test HTML5, ASP.NET and Rest API/web-services features involving HTML5, C# and MSSQL stored procedures;   Data design and data modeling for complex business features;   Knowledge of Performance tuning of store procedures;   Propose architectural enhancements to current system that can improve scalability, stability and performance improvements in particular at the DB layer;   Collaborate with cross functional teams including other engineering teams on features, technical approaches to complex problems.      Must have:      At least 5 years of production software development experience;   Proficiency in C#;   Proficiency in HTML5 and ASP.NET Development;   Strong communication skills;   Experience collaborating with multiple cross-functional teams including support, product management, developers, tech-ops;   In-depth knowledge about REST or SOAP web services (REST experience is preferred, but any web services experience can do);   Experience in MSSQL and stored procedures development;   Expert in Object Oriented programming, design patterns, multi-threading;   Experience in Unit Testing, Test Automation;   Experience writing design documents.      Nice to have:      NOSQL Experience;   Experience converting test plans into automatable test cases;   Experience with functional testing of web services via automation;   Experience working in a SaaS company with HA systems;   Experience working with large data sets/scalability.      We offer:      A friendly team of first-class professionals you’ll find easy to work and communicate with;   Transparency in processes and liberal atmosphere across the company;   Modern technology stack on all projects;   Professional and personal growth as well as the ability to change your area of expertise;   Attendance sponsorship of IT events, professional conferences as well as financial cover of online and offline courses;   Internal hackathons and meetups where each employee can act as a speaker;   Salary corresponding to your work experience and skills. We are open for payment negotiation;   A cosy office in the historic center of the city. Fruits, coffee, tea, biscuits, cereal, bicycle and car parking spaces, lounge areas with cosy armchairs, bean-bags and sofas, PS4, guitars, balalaika and a library with professional and fiction literature;   Flexible working schedule and the ability to work remotely;   All the necessary equipment;   Compensation of sport and medical expenses;   English language courses at the office.      See you at Distillery!  ",Полная занятость,Гибкий график,От 3 до 6 лет,,6.0,225000.0,3.0,109698.68823000902,с# .net разработчик,At least 5 years of production software development experience. Proficiency in C#. Proficiency in HTML5 and ASP.NET Development. ,"Provide technical guidance to the Web Team on designs, day to day technical questions. Participate in scoping, technical designs, design...",0.36666666666666664,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,МТС,2019-12-05T11:46:22+0300," В связи с расширением облачной инфраструктуры для обеспечения бесперебойной работы облачных сервисов группа компаний  «ИТ-ГРАД»  открывает вакансию  .Net разработчик .   ИТ-рынок — самый устойчивый и активно развивающийся в мире. При этом облачные услуги — самый перспективный и растущий его сегмент. На этом рынке мы и работаем, продвигая облачные услуги в России и странах СНГ, куда нововведения дотягиваются с небольшим опозданием.    Обязанности:      Разработка и доработка масштабируемых высоконагруженных высокопроизводительных приложений на платформе Microsoft .NET Framework и .NET Core;   Оптимизация и рефакторинг текущего программного кода.      Требования:      Знания: C# .NET, ASP.NET MVC (middle);   Опыт применения паттернов проектирования: Depency Ijection, Abstract Factory, Ninject и др;   Опыт написания LINQ запросов;   Знание и умение применять принципы и понятия ООП;   Опыт проведения рефакторинга (для mid);   Умение работать с технической документацией (в том числе на английском);   Python (желательно);   Опыт разработки микросервисной архитектуры приложений (желательно);   Желание и умение развиваться в профессиональной области.      Для эффективной работы в команде желателен опыт:      JavaScript (jquery, ajax) - базовые знания;   Опыт написания простых SQL запросов.      Условия:      Комфортный офис на юге Санкт-Петербурга, пл. Конституции (ст.м.Московская);     Белая заработная плата + премия;       Уровень зарплаты обсуждается с успешным кандидатом;       Работа в динамично развивающейся компании, интересные задачи;       Обширные возможность профессионального и карьерного роста;       Отсутствие формализма и бюрократии.     ",Полная занятость,Полный день,От 1 года до 3 лет,|ASP.NET|C#|MVC|MS Visual Studio|Visual Studio C#|.NET Framework,3.0,225000.0,1.0,109698.68823000902,.net разработчик,"Знания: C# .NET, ASP.NET MVC (middle). Опыт применения паттернов проектирования: Depency Ijection, Abstract Factory, Ninject и др. Опыт написания LINQ...",Разработка и доработка масштабируемых высоконагруженных высокопроизводительных приложений на платформе Microsoft .NET Framework и .NET Core. Оптимизация и рефакторинг текущего программного...,0.26666666666666666,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1
Санкт-Петербург,Studio 8,2019-12-13T16:03:07+0300," В настоящее время мы ищем себе в команду  &quot;.Net С# разработчика&quot;  в связи c увеличением штата.    Обязанности:      Разработка backend&#39;а и поддержка существующего ПО.   Проведение код-ревью.   Написание тех. документации.      Требования:      Опыт программирования на языке  С#, Net Core .   Практический опыт программирования  многопоточных приложений .   Понимание  микросервисной архитектуры .   Опыт работы с  EntityFramework ,  MySQL .      Желательно:      опыт работы с RabbitMq, NetMq, GRPС   понимание multi-node архитектуры распределенных систем, балансировка нагрузки.   мониторинг и диагностика систем, работающих 24/7.      Условия:      Заработная плата обсуждается индивидуально.   График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени.   Удаленная работа.   ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|С#|Entity Framework|.NET Framework|LINQ|Design Patterns|MySQL|Git|MS Visual Studio,3.0,225000.0,1.0,109698.68823000902,.net с# разработчик,"Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. ",Разработка backend&#39;а и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.,0.0,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Санкт-Петербург,Softline,2019-12-11T14:58:41+0300," Мы ищем .NET разработчика в команду развития корпоративной CRM системы.    Мы делаем:      Кастомизация Microsoft Dynamics CRM, разработка плагинов, бизнес-процессов и отчетов;   Поддержка и разработка интеграций и синхронизаций с внешними и внутренними сервисами;   Написание юнит-тестов;   Разработка веб-приложений и страниц, интегрированных с CRM.      Мы ищем:      Опыт Web разработки;   Знание принципов ООП;   Знание и опыт разработки на ASP.NET, C#;   Опыт работы на JavaScript, знание React или готовность перейти на React;   Опыт работы с MS SQL Server 2008-2014;   Умение рефакторить код и находить слабые места.      Мы Предлагаем:      Востребованный продукт с большими планами на его развитие;   Работа по методологии Scrum в команде с аналитиками, администраторами, инженерами;   Возможность предлагать и реализовывать свои идеи;   Полная занятость с гибким графиком.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,225000.0,1.0,109698.68823000902,разработчик .net,"Опыт Web разработки. Знание принципов ООП. Знание и опыт разработки на ASP.NET, C#. Опыт работы на JavaScript, знание React или...","Кастомизация Microsoft Dynamics CRM, разработка плагинов, бизнес-процессов и отчетов. Поддержка и разработка интеграций и синхронизаций с внешними и внутренними...",0.06666666666666667,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Itransition,2019-12-05T11:59:45+0300," Мы ищем опытных разработчиков, готовых решать серьезные задачи и разрабатывать качественные приложения и системы с использованием современных технологий.    От вас ожидается:      Опыт работы в IT не менее года   Опыт работы с Microsoft .NET, знание ASP.NET MVC и Web API   Опыт работы с базами данных (SQL или NoSQL), ORM фреймворками   Владение английским на уровне ведения переписки      Мы приветствуем:      Опыт Frontend разработки (HTML 5, JavaScript / TypeScript, Angular / React или другие)   Опыт написания автоматизированных тестов   Знание основ контейнеризации приложений, понимание и опыт использования Docker      Мы предлагаем:      Работу в одной из четырёх крупнейших ИТ-компаний Беларуси   Проекты с такими заказчиками, как Xerox, Philips, adidas, Wargaming и Toyota   Конкурентную зарплату, растущую с повышением квалификации   Систему карьерного роста с четкими требованиями к каждому уровню квалификации   Гибкий график работы   Офисы в центре города   Корпоративную дисконтную карту со скидками на обучение, развлечения, страхование, детский отдых, доставку еды и многое другое   Курсы английского в офисе   Корпоративные праздники и тематические вечеринки для сотрудников и их детей   Регулярные конференции и мастер-классы для обучения и обмена опытом   Компенсацию спортивных абонементов, корпоративные спортивные (в том числе и кибер-спортивные) соревнования, корпоративные команды по футболу, баскетболу и волейболу   5 дней оплачиваемого больничного в год без справок   ",Полная занятость,Гибкий график,От 1 года до 3 лет,|JavaScript|CSS|HTML|SQL|HTML5,3.0,225000.0,1.0,109698.68823000902,middle .net разработчик,"Опыт работы в IT не менее года. Опыт работы с Microsoft .NET, знание ASP.NET MVC и Web API. ",Без обязанностей,0.26666666666666666,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
