city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,1с программирование,1с: предприятие 8,1с: зарплата и управление персоналом,1с: бухгалтерия,1с: управление производственным предприятием,1с: управление торговлей,1с: документооборот,1с: комплексная автоматизация,sql,erp-системы на базе 1с,other
Москва,Европлан,2019-12-12T08:55:58+0300,"  Мы делаем автомобили доступными.     Если тебе интересна стремительно растущая отрасль автолизинга – мы поможем тебе стать частью будущего нашей большой компании.     Обязанности:      Написание новых модулей и подсистем в существующих 1С конфигурациях (нетиповые конфигурации на базе платформы 1с 8.3);   Разработка новых/доработка существующий конфигураций в рамках концепции использования 1с: Предприятия в качестве микросервиса;   Рефакторинг существующих наработок;   Разработка новых отчетов (СКД);   Интеграция систем: c помощью используемых в компании корпоративных шин обмена (RabbitMQ), веб-сервисов;   Участие в проектировании архитектуры решений и планировании задач по развитию ИТ-инфраструктуры в рамках своей зоны ответственности;   Участие в обсуждении/разработке ТЗ на производимые доработки, готовность и желание взаимодействовать с конечными заказчиками/пользователями;   Подготовка и актуализация технической документации/презентации выполненных разработок (markdown, gitlab, powerpoint);   Разработка с использованием элементов agile (по крупным проектам внутри компании);   Поддержка/консультирование пользователей.      Требования:      Хорошее знание функционала платформы 1С:Предприятие 8.3: новая разработка преимущественно в управляемом интерфейсе, но требуется также поддержка решения на толстых формах, СКД;   Опыт написания нестандартных интеграций (не средствами 1С:Конвертации);   Опыт внедрения и сопровождения систем 1С от 2 лет;   Коммуникабельность.      Условия:      Официальное оформление в штат компании с первого рабочего дня;   Официальная заработная плата;   Добровольное медицинское страхование, дежурный врач в офисе;   Оплачиваемый больничный: в соответствии с ТК РФ+100% компенсация от компании до 5 дней больничного;   Оплачиваемый отпуск: 28 календарных дней;   Выбор времени начала рабочего дня (7:00 – 10:00)   Корпоративный спорт (футбол, пейнтбол, настольный теннис);   Комфортный офис: столовая и кафе в бизнес центре; кухонный уголок, игровая комната для настольного тенниса;   Современное рабочее место: производительные компьютеры, два 24” монитора;   Большой коллектив ИТ департамента (более 50 сотрудников, в отделе 1с – 7 сотрудников);   Обмен знаний и информации внутри ИТ департамента;   Всегда для Вас в офисе: чай, кофе, сахар, молоко, фрукты и орешки;   Корпоративные предложения для сотрудников: скидки на автомобили от автопроизводителей, программа лизинга для физических лиц;   Собственная электронная библиотека: 600 книг;   Корпоративные мероприятия: летний тимбилдинг, новый год, 6 команд в корпоративной лиге КВН, благотворительные мероприятия.   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,126666.66666666669,3.0,109444.44444444444,разработчик 1с,"Хорошее знание функционала платформы 1С:Предприятие 8.3: новая разработка преимущественно в управляемом интерфейсе, но требуется также поддержка решения...",Написание новых модулей и подсистем в существующих 1С конфигурациях (нетиповые конфигурации на базе платформы 1с 8.3). ,0.03333333333333333,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Райффайзенбанк,2019-12-05T13:19:27+0300," Наша команда находится в поиске старшего разработчика 1С. Мы ищем профессионала, который обладает высоким уровнем технической экспертизы, умеет качественно реализовывать проекты от бизнеса и готов решать сложные и интересные задачи. С нами ты получишь возможность создавать новые продукты и будешь работать с гибкими методиками разработки.    В этой роли ты будешь:      дорабатывать и поддерживать существующие конфигурации 8.2, 8,3;   создавать и настраивать планы обмена данными;   выполнять проекты / задачи по тех. заданиям от бизнеса;   составлять рабочую документацию, описания функционала и инструкции по выполненным разработкам;   разрабатывать механизмы интеграции со сторонними информационными системами компании.      Необходимая экспертиза:      высшее техническое образование;   опыт разработки на платформах 8.2, 8.3 от 2-х лет;   знание принципов работы MS SQL;   знание основ бухучета и основ функционирования финансовых рынков;   навыки работы на всех этапах реализации технических заданий на проекты / задачи (анализ, формализация, создание функционала, тестирование, сдача);   готовность решать сложные и интересные задачи;   умение работать в команде и самостоятельно.      Мы предлагаем:      расширенную ДМС с первого рабочего дня;   большую партнёрскую программу;   скидки на корпоративные продукты;   профессиональные обучающие курсы (в т.ч. coursera, udemy и т.д.) и конференции в России и за рубежом;   комфортный офис в 5 минутах от ст.м. Смоленская;   страхование жизни и выезжающих за рубеж.   ",Полная занятость,Полный день,От 1 года до 3 лет,|MS SQL|SQL|MS SQL Server|1С программирование,3.0,126666.66666666669,1.0,109444.44444444444,старший 1с разработчик,"Высшее техническое образование. Опыт разработки на платформах 8.2, 8.3 от 2-х лет. Знание принципов работы MS SQL. ","Дорабатывать и поддерживать существующие конфигурации 8.2, 8,3. Создавать и настраивать планы обмена данными. Выполнять проекты / задачи по тех. ",0.26666666666666666,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
Москва,Техносерв Консалтинг,2019-12-13T10:53:48+0300,"  «Техносерв Консалтинг»  внедряет масштабные и удобные решения в области автоматизации крупного бизнеса. Уже более 10 лет мы делаем жизнь людей проще и качественней. Наша команда активно растёт (с начала года мы выросли с 700 до 1000 сотрудников) и продолжает набирать темп. Сейчас мы ищем    Администратора проекта в практику 1С .    О нас: Практика 1С  - молодое, но очень амбициозное направление. Мы активно растем, сегодня в практике работает уже более 90 человек. Все наши проекты уровня enterprise, сроком до 3 лет, а клиенты – преимущественно государственные компании («Роснефть», «Миг», «Технодинамика»). Среди успешно завершенных – «Пенсионный Фонд России» и «Росатом». Мы специализируемся на конфигурациях ERP и УХ, Бит Финанс и документооборот, обладаем экспертизой в производстве, закупках, бюджетировании, ценообразовании, регламентированном, управленческом и бухгалтерском учете. Все наши сотрудники имеют возможность развиваться в смежных предметных областях и осваивать новые конфигурации.    Что нужно делать:      вести документооборот на проекте   согласовывать проектную документацию   согласовывать и протоколировать встречи по проекту   делать презентации и отчеты по проектам   контролировать исполнение поручений и сроков по проекту      Что важно для нас:      Умение обрабатывать и структурировать большой объем данных   Развитые коммуникационные навыки и стрессоустойчивость   Упорство в выполнении поставленных задачи и самоорганизация   Умение грамотно и точно отражать на бумаге результаты устных обсуждений в ходе встреч и совещаний (ведение протокола встреч)   Ориентация на результат, планирование и организация деятельности, работа в команде, эффективная коммуникация, аккуратность, исполнительность, внимательность   Высшее образование   Владение MS Office      Что предлагаем:      Минимум бюрократии, удобный график работы (начало рабочего дня с 9.00 либо 10.00), casual дресс-код   Масштабные долгосрочные государственные проекты, гарантирующие стабильность и уверенность в завтрашнем дне   Обучение и оплачиваемая сертификация   Пакет ДМС, корпоративные развлечения и спорт (футбол, волейбол, баскетбол)   Белую зарплату, полностью состоящую из фиксированной постоянной части   Уютный офис с зонами отдыха в 3 минутах пешком от м. Автозаводская (в пешей доступности МЦК и ТТК).   Релокационный пакет для сотрудников из регионов. (опционально)       Звучит заманчиво? Тогда откликайся на нашу вакансию!   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,70000.0,1.0,109444.44444444444,администратор проектов 1с,Умение обрабатывать и структурировать большой объем данных. Развитые коммуникационные навыки и стрессоустойчивость. Упорство в выполнении поставленных задачи и самоорганизация. ,Вести документооборот на проекте. Согласовывать проектную документацию. Согласовывать и протоколировать встречи по проекту. Делать презентации и отчеты по проектам. ,0.0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,"АБСОЛЮТ, Группа",2019-11-20T15:52:21+0300," Обязанности:       Консультирование пользователей по вопросам работы 1С (1-ая линия консультации);       Фиксация и анализ проблем;       Работа с нормативно справочной информацией       Требования:     Высшее/неполное высшее техническое образование (ИТ);   Базовые знания 1С;   Желание учиться и развиваться;     Доброжелательность, стрессоустойчивость, скрупулезность, усидчивость, аналитический склад ума, системное мышление.       Условия:     Место работы: ст.м. Автозаводская (3 минуты пешком от метро);   Официальное трудоустройство;   Готовы обсуждать гибкий график работы (полная занятость, работа в офисе);   Возможность проходить обучение за счет компании;   Возможность участия в корпоративных мероприятиях, спортивных мероприятиях, тренингах;   Работа в новом уютном Agile-офис с комфортными рабочими кабинетами, комнатами отдыха, игровыми комнатами. Он расположен в 3-х минутах пешком от метро Автозаводская   ",Полная занятость,Полный день,Нет опыта,|Консультирование|Работа с большим объемом информации|1С,,126666.66666666669,,109444.44444444444,специалист по поддержке 1с,"Высшее/неполное высшее техническое образование (ИТ). Базовые знания 1С. Желание учиться и развиваться. Доброжелательность, стрессоустойчивость, скрупулезность, усидчивость, аналитический склад...",Консультирование пользователей по вопросам работы 1С (1-ая линия консультации). Фиксация и анализ проблем. Работа с нормативно справочной информацией.,0.7666666666666667,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Star-staff,2019-12-03T18:13:31+0300," Ищу  PHP-разработчика 1C-Битрикс  в крупнейший интегратор digital-решений в сфере Web/Mobile/Analytics, входит в топ-3 всех рейтингов. Ребята работают с различными российскими и зарубежными компаниями, актуальных проектов несколько :)    Что мы ожидаем от вас:      Опыт работы с 1C-Битрикс   Уверенные знания PHP5+ и MySQL   Базовое знание HTML/CSS/JS      С чем предстоит иметь дело:      Высокие нагрузки   Иностранные заказчики   Длительные проекты   Разработка нового функционала      Что готовы предложить вам:      Оформление по ТК   Гибкое начало рабочего дня   Некоторые дни можно работать удалённо   Выступления в качестве спикеров на различных конференциях и возможность вести свой собственный курс или писать статьи (ребята сотрудничают с Нетологией, Хабром, GeekBrains)   Клёвая молодая команда и отличный офис в центре Москвы   ",Полная занятость,Полный день,От 1 года до 3 лет,|1С-Битрикс|PHP,3.0,126666.66666666669,1.0,130000.0,1с битрикс разработчик,Опыт работы с 1C-Битрикс. Уверенные знания PHP5+ и MySQL. Базовое знание HTML/CSS/JS.,Высокие нагрузки. Иностранные заказчики. Длительные проекты. Разработка нового функционала.,0.3333333333333333,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,"Эксперт, Кадровый Центр",2019-12-13T15:13:58+0300," Ведущая торгово-производственная компания, основное направление   производство и продажи светодиодной продукции, приглашает в штат &quot;Программиста 1С&quot;.      Обязанности:      Доработка и модификация информационных систем на базе 1С (платформа 8.3 УПП);   Разработка и тестирование обработок, отчетных форм;   Организация помощи пользователям системы;   Составление рабочих инструкций;   Обучение пользователей работе с системой учета;   Администрирование 1С, управление доступом к системе 1 С.     Требования:     Высшее образование ;   Хорошее знание типовой конфигурации 1С: УПП 8.3;   Уверенное владение встроенным языком, языком запросов, опыт работы с СКД, опыт по обмену данными XML;   Знание механизма распределенных баз данных и построения планов обмену;   Приветствуется владение принципами документирования проектов о составления ТЗ.     Условия:       Оформление по ТК РФ     Пятидневная рабочая неделя с 9.00 до 18.00   Стабильная выплата заработной платы   Мы очень заинтересованы в своей команде, поэтому каждый день мы стараемся ещё больше улучшить условия работы в нашей компании.   ",Полная занятость,Полный день,От 3 до 6 лет,|1С: Управление Производственным Предприятием|1С программирование|1С: Предприятие 8|1С: Бухгалтерия|1С: Производство,6.0,126666.66666666669,3.0,109444.44444444444,разработчик 1с,"Высшее образование . Хорошее знание типовой конфигурации 1С: УПП 8.3. Уверенное владение встроенным языком, языком запросов, опыт работы с...","Доработка и модификация информационных систем на базе 1С (платформа 8.3 УПП). Разработка и тестирование обработок, отчетных форм. ",0.0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1
Москва,Валта,2019-12-06T10:43:01+0300," В крупную Российскую дистрибьюторскую компанию (лидер на рынке зоопродукции премиум класса) приглашается ПРОГРАММИСТ 1С.     Обязанности:       программирование в 1С 8.X УПП;   доработка нетиповой конфигурации УПП 1.3 (производственный блок не используется) под нужды компании.       Требования:       высшее образование;   серьезный опыт работы по программированию в 1С 8.х УПП от 3-х лет;   стрессоустойчивость, дружелюбность и умение работать в команде обязательны.       Условия:       оклад + ежеквартальные премии (KPI);   официальная заработная плата, полное соблюдение ТК РФ;   график работы: пн.-пт. 9.30-18.00, возможен сдвиг рабочих часов;   удаленная работа;   офис расположен в 10 мин от м. Нагатинская, в ближайшее время переезд в новый офис в 5 минутах от м. Улица Академика Янгеля.       ",Полная занятость,Удаленная работа,От 3 до 6 лет,,6.0,126666.66666666669,3.0,109444.44444444444,разработчик 1с,"Высшее образование. Серьезный опыт работы по программированию в 1С 8.х УПП от 3-х лет. Стрессоустойчивость, дружелюбность и...",Программирование в 1С 8.X УПП. Доработка нетиповой конфигурации УПП 1.3 (производственный блок не используется) под нужды компании.,0.23333333333333334,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Москва,Роял Консалтинг Групп,2019-12-09T10:13:44+0300," Не консалтинг.  Постоянная работа в производственной компании . Прямой работодатель. Приглашаем на полное сопровождение Специалиста по внедрению 1С:ERP.    Обязанности:      Разработка, доработка, обновление и оптимизация типовых и не типовых конфигураций на базе платформ 1С 8.2-8.3, ERP.   Создание модификации объектов конфигурации 1С БУ, НУ, УУ.   Техническая поддержка (копирование, решение вопросов пользователей, блокировка, восстановление баз и пр.).   Администрирование 1С (8.2-8.3), ERP.   Оптимизация производительности БД.   Создание технической документации.     Требования:     Аналогичный опыт работы от 3-х лет.   Знание конфигураций 1С 8.3, 1С 8.2, 1С:ERP Управление предприятием.   Знание электронного документооборота EDI, Контур.   Умение автоматизировать процессы.   Высокая степень ответственности - быть на связи 5/2 8 ч в день.     Условия:     Работа на удаленной основе.   Офисе м. ВДНХ &quot;Ханой-Москва&quot;.   Оформление по ТК РФ или ГПХ.   Предоставляется корпоративная мобильная связь.   Оплата по договоренности.   ",Полная занятость,Удаленная работа,От 3 до 6 лет,,6.0,126666.66666666669,3.0,109444.44444444444,специалист по внедрению 1с:erp,"Аналогичный опыт работы от 3-х лет. Знание конфигураций 1С 8.3, 1С 8.2, 1С:ERP...","Разработка, доработка, обновление и оптимизация типовых и не типовых конфигураций на базе платформ 1С 8.2-8.3, ERP. ",0.13333333333333333,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Москва,НИКАМЕД,2019-12-05T07:37:46+0300," Группа компаний НИКАМЕД – стабильная компания, работающая на рынке более 23 лет. Компания работает с ведущими европейскими производителями и развивает сеть ортопедических салонов ОРТЕКА, а также имеет собственное производство товаров для сна (торговая марка TRELAX), Корпоративный университет и растущую партнерскую сеть по всей России и странам СНГ.   ОРТЕКА дает возможность каждому сотруднику проявить лучшие профессиональные и личностные качества. Все, что мы делаем – мы делаем для людей. Присоединяйтесь к лидеру, становитесь успешным вместе с НИКАМЕД и ОРТЕКА.        Для выполнения поддержки конфигураций 1С и участия в проектах приглашается опытный разработчик, обладающий следующими навыками:      Уверенное знание деятельности коммерческих организаций:   Опыт работы с типовыми конфигурациями 1С (Розница-2.2)   Уверенное знание основных технологий 1С:Предприятие 8:    Управляемые и не управляемые формы   Опыт разработки и модификации отчетов на СКД   Опыт настройки механизма РЛС   Работы с распределенными базами (СУРБД)   Опыт настройки обмена между разными базами (платформами 1С)   Использование Web- и HTTP-сервисов для интеграции систем 1С между собой и с другими платформами.       Приветствуется: Опыт разработки приложений на мобильной платформе 1С      Обязанности:      Оперативная поддержка типовых конфигураций 1С: Розница-2.2   Решение инцидентов, возникающих у пользователей при работе с системой   Помощь бухгалтерам перед закрытием периодов   Участие в проектных работах по доработке оперативных баз и интеграции системы 1С с прочими сторонними информационными системами      Условия:      Конкурентоспособный уровень заработной платы   Оформление в соответствии с ТК РФ   Возможность профессионального роста   Корпоративные скидки для сотрудников: на приобретение продукции компании и ДМС   График работы 5/2, с 10.00 до 18.30   Комфортабельный офис м. Савеловская (5-7 мин пешком)   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,126666.66666666669,1.0,109444.44444444444,разработчик 1с,Уверенное знание деятельности коммерческих организаций: Опыт работы с типовыми конфигурациями 1С (Розница-2.2). Уверенное знание основных технологий 1...,"Оперативная поддержка типовых конфигураций 1С: Розница-2.2. Решение инцидентов, возникающих у пользователей при работе с системой. ",0.26666666666666666,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Первый Бит,2019-12-11T10:00:03+0300,"  КОМПАНИЯ «ПЕРВЫЙ БИТ» — МЕЖДУНАРОДНАЯ ИТ-КОМПАНИЯ , разработчик и поставщик программных решений для автоматизации учёта и управления.  ОФИС М. СЕМЕНОВСКАЯ, ЯВЛЯЕТСЯ ОТДЕЛЬНЫМ ПОДРАЗДЕЛЕНИЕМ КОМПАНИИ ПЕРВЫЙ БИТ . Подразделение вошло в состав компании в 2010 году, имея на тот момент более чем 10-летнюю историю.    ЧЕМ МЫ ЗАНИМАЕМСЯ?    Основным направлением нашего офиса является автоматизация вузов, медицинских организаций, научно-исследовательских институтов и различных государственных и коммерческих учреждений на базе программных продуктов, как компании 1С, так и наших собственных разработках.    В офисе работает около 100 человек, из них 70 разработчики.    Программист 1С (офис\удаленно)    ОБЯЗАННОСТИ:      Участие в разработке собственных решений компании;   Доработка нетиповых конфигураций под нужды клиента;   Консультация клиентов по вопросам работы программы 1С;   Техническое управление проектами.      ТРЕБОВАНИЯ:      Опыт разработки на управляемых формах;   Наличие сертификата уровня специалист\специалист-консультант;   Высшее техническое или среднее специальное образование;   Ответственность.      УСЛОВИЯ:      Работа в офисе или удаленно;   Достойная и своевременная оплата труда;   Зарплата сдельная, без потолка, зависит от объема выполненных работ и уровня вашей квалификации;   Официальное оформление по ТК РФ;   ДМС, насыщенная и яркая корпоративная жизнь;   Оплачиваемое обучение;   Сертификация 1С за счет компании.   Для кандидатов из регионов предоставляется возможность проживания в Хостеле компании на 1-3 мес. (250 руб./сутки)      ОТЗЫВЫ СОТРУДНИКОВ О НАШЕМ ОФИСЕ:    «У нас в офисе отличная команда, коллеги всегда готовы поделиться знаниями и помочь в сложной ситуации при решении задач.»   «Все направлено на поддержку развития сотрудников: возможность быстрого роста и обучения у новых сотрудников; наличие библиотеки с актуальной литературой, а если чего-то не хватает, всегда можно заказать; всегда достаточная загрузка на проектах, нет времени скучать; хорошо развита корпоративная жизнь и многое другое.»   «Мне нравится, что уровень оплаты труда зависит от результатов работы и нет наличия потолка, а также возможность удаленной работы!»   «Огромным плюсом является лояльность и грамотность руководства, руководитель всегда идёт навстречу сотрудникам в сложных для них ситуациях, и даже личных.» ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,150000.0,1.0,70000.0,разработчик 1с в проектный офис,Опыт разработки на управляемых формах. Наличие сертификата уровня специалист\специалист-консультант. Высшее техническое или среднее специальное образование. Ответственность.,Участие в разработке собственных решений компании. Доработка нетиповых конфигураций под нужды клиента. Консультация клиентов по вопросам работы программы 1С. ,0.06666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
