city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,python,sql,linux,ms sql,английский язык,управление проектами,работа с базами данных,ms powerpoint,математическая статистика,data mining,other
Москва,"Аквариус, Группа компаний",2019-12-12T16:58:26+0300,"   ПК «Аквариус» – ведущий российский разработчик, производитель и поставщик компьютерной техники и ИТ-решений для государственных и корпоративных заказчиков.       Под брендом Aquarius производятся серверные системы и системы хранения данных, широкий спектр клиентских устройств (ноутбуки, моноблоки, персональные компьютеры, рабочие станции, тонкие клиенты, информационные терминалы), а также специализированные ИТ-решения по информационной безопасности и отраслевые ИТ-решения для здравоохранения и образования.      Обязанности:      управление рабочей группой, группами продакт-менеджеров и инженеров;   обеспечение эффективного проведения исследований, разработок и испытаний новых моделей изделий Aquarius;   обеспечение постановки изделий на серийное производство по ГОСТ и ISO;   организация взаимодействия со смежными подразделениями (менеджеры по продукции, производство, сервис, техподдержка);   организация взаимодействия с партнерами по разработке (компоненты и ПО);   разработка и внедрение методик и регламентов тестирования, форм протоколов, системы отчетности;   организация разработки единой базы знаний по компонентам и изделиям Aquarius;   разработка плана и реализация проекта;   разработка ассортиментной политики компании;   разработка новых продуктов;   планирование и контроль графиков разработки продукции;   управление изменениями и модификациями существующих продуктов;   знание рынка и выбранной индустрии;   методики разработки IT-продуктов и технические знания;   методологии и процессы проектного менеджмента;   бизнес-планирование и финансы;   контроль бухгалтерского сопровождения проекта;   управление командой и коммуникации;   техническая поддержка продаж;   навыки ведения переговоров;   разработка мероприятий по выводу новых продуктов на рынок;   разработка позиционирования продуктов;   разработка рекомендаций по ценообразованию, и продвижению продуктов;   планирование соответствующих маркетинговых исследований;   анализ и мониторинг конкурирующих продуктов;   маркетинг и вывод продукта на рынок.     Требования:     высшее образование (техническое / экономическое);   опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением от 3-х лет;   опыт операционного контроля, управления командой, обучения персонала;   опыт оптимизации бизнес-процессов подразделения, написания регламентов, инструкций;   аналитический склад ума;   развитые коммуникативные навыки;   ориентация на результат;   знания мирового рынка компьютерного оборудования – основные игроки и их продукты, технологии и тенденции в ИТ, техническое устройство современных вычислительных устройств в следующих сферах:    серверные системы: серверы классические, модульные серверы, блейд серверы;   системы хранения данных: классические и программно-определяемые;   коммутаторы: управления, доступа, top-of-rack, программно-определяемые;   программное обеспечение: отечественные и зарубежные операционные системы, системы виртуализации, системы управления ИТ инфраструктурой, прикладное ПО для создания программно-определяемых решений.       Опыт создания и вывода на рынок новых продуктов;   Знания технологий производства радиоэлектроники, микроэлектроники;   Опыт работы с контрактными производствами;   Знание законодательной базы, регулирующей отрасль.     Условия:     Интересные сложные проекты;   Команда профессионалов, умеющая решать задачи любой сложности;   Оформление в соответствии с ТК РФ;   График работы 5/2 с 10.00 до 19.00 или с 09.00 до 18.00;   ДМС на льготных условиях;   Удобный современный офис в новом офисном центре класса «А» &quot;ComCity&quot; со всей инфраструктурой (кафе, столовые, магазины, фитнес, парковки), в 600 метрах от метро «Румянцево»;   Достойная з\п и прозрачная система бонусов. Уровень заработной платы обсуждается с финальным кандидатом.   ",Полная занятость,Полный день,От 3 до 6 лет,|Управление проектами|Управление продуктом|Оптимизация бизнес-процессов|Информационные технологии|Ценообразование,6.0,95000.0,3.0,100000.0,data science,"Высшее образование (техническое / экономическое). Опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением от 3-х лет. Опыт операционного контроля...","Управление рабочей группой, группами продакт-менеджеров и инженеров. Обеспечение эффективного проведения исследований, разработок и испытаний новых моделей изделий Aquarius. ",0.03333333333333333,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Москва,ManpowerGroup,2019-12-10T14:08:44+0300,"  ManpowerGroup Russia &amp; CIS  и наш клиент, международная FMCG компания, находятся в поиске  Sales Data Analyst :     Обязанности:      Всесторонняя аналитическая поддержка отдела продаж;   Поддержка баз данных и реестров, для корректной работы отдела продаж;   Поддержка текущей отчетности на регулярной основе;   Участие в подготовке, обработке, проверке и загрузке маршрутов для полевой структуры;   Составление отчетов: План/факт/динамика;   Обеспечение проведения обучения в области систем/процессов отчетности и другого обучения для сотрудников отдела продаж;   Лидирование проектов по развитию и улучшению качества аналитической поддержки;   Подготовка презентаций.     Требования:     Опыт работы в аналитике   Продвинутый пользователь ПК: Excel (сводные таблицы, сложные формулы, массивы данных), Outlook, PowerPoint, Word;   Навыки делового общения и коммуникации;   Английский язык не ниже  Intermediate.    ",Полная занятость,Полный день,От 1 года до 3 лет,|MS PowerPoint|MS Outlook|Английский язык|Подготовка презентаций|Проведение презентаций,3.0,90000.0,1.0,100000.0,data science,"Опыт работы в аналитике. Продвинутый пользователь ПК: Excel (сводные таблицы, сложные формулы, массивы данных), Outlook, PowerPoint, Word. Навыки делового общения...","Всесторонняя аналитическая поддержка отдела продаж. Поддержка баз данных и реестров, для корректной работы отдела продаж. Поддержка текущей отчетности на регулярной...",0.1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Москва,"Ренессанс cтрахование, Группа",2019-11-18T15:26:40+0300," В команду отдела развития анализа данных IT-департамента ищем  начинающего дата-аналитика  на неполную рабочую неделю (20-32 часа)     Задачи :     построение моделей машинного обучения;   подготовка витрин данных под свои задачи;   внедрение моделей.      Ждем, что у вас есть:      навыки построения моделей машинного обучения;   владение математической статистикой, линейной алгеброй;   знание языка программирования python (pandas, sklearn, numpy, matplotlib).      От нас:      максимальная поддержка старших коллег;   только профильные задачи;   гибкий подход к началу рабочего дня;   работа в комфортном офисе в БЦ на Дербеневской набережной, бесплатный корпоративный транспорт от м. Пролетарская;   ДМС с стоматологией, страхование от несчастного случая;   корпоративные спортивные программы - йога, футбол.   ",Частичная занятость,Гибкий график,Нет опыта,|Python|Математическое моделирование|Математическая статистика,,95000.0,,100000.0,data science,"Навыки построения моделей машинного обучения. Владение математической статистикой, линейной алгеброй. Знание языка программирования python (pandas, sklearn, numpy, matplotlib).",Построение моделей машинного обучения. Подготовка витрин данных под свои задачи. Внедрение моделей.,0.8333333333333334,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Москва,НИПИГАЗ,2019-12-12T16:40:26+0300," Обязанности:       Настройка и администрирование отказоустойчивых промышленных и тестовых СУБД Oracle, MSSQL, postgres. В приоритете Oracle.       Обеспечение непрерывности работы, регулярное регламентное обслуживание, задания резервного копирования и т.д.       Мониторинг и аудит работы системного и прикладного ПО.       Внедрение нового прикладного ПО, обновление версий ПО.       Реализация изменений в ИТ-инфраструктуре.       Участие в проектах внедрения новых систем, проектах цифровизации.       Обеспечение требований безопасности систем.       Требования:       Высшее техническое или финансово-экономическое образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа.       Отличное знание СУБД Oracle - обязательно, postgres и MSSQL - желательно (репликация, отказоустойчивость, резервное копирование, мониторинг).       Работа с большими данными.       Хорошие знания unix подобных ОС (cli, ssh, systemd).       Навыки написания скриптов: Python, Bash, Perl.       Понимание работы БД высоконагруженных сервисов.       Опыт работы с Docker будет плюсом.       Опыт внедрения и администрирования платформ виртуализации (VMware, Citrix).       Базовые знания в области работы с SAN, системами хранения данных и системами резервного копирования, опыт администрирования приветствуется.       Навыки работы с инструментами мониторинга и траблшутинга компонентов платформ виртуализации и VDI, узких мест в производительности и т.д.       Навыки работы с программными продуктами и решениями Microsoft, VMware.       Условия:     Конкурентная оплата труда.   Премиальные выплаты   ДМС и страхование от несчастных случаев и болезней.   Медицинское обслуживание и мониторинг здоровья.   Оплачиваемая мобильная связь.   Скидки на питание.   Развивающие программы и тренинги.   Материальная помощь, до­полнительные дни отдыха в связи с особыми событиями жизни.   Кандидатам из других городов предоставляется релокационный пакет.   Санаторно – курортный отдых в Анапе и Алтай­ском крае.   Детский оздоровительный лагерь в Анапе.   Детские подарки на Новый год и 1 сентября.   Дополнительный социальный пакет для членов Профсоюза.   Скидки от партнеров компании (фитнес центры, корпоративные отели и т.д.)   ",Полная занятость,Полный день,От 3 до 6 лет,|Python|Citrix|Управление разработкой|Perl|Информационные технологии|ORACLE|MS SQL,6.0,95000.0,3.0,100000.0,data science,"Высшее техническое или финансово-экономическое образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа. Отличное знание СУБД...","Настройка и администрирование отказоустойчивых промышленных и тестовых СУБД Oracle, MSSQL, postgres. В приоритете Oracle. Обеспечение непрерывности работы, регулярное регламентное обслуживание...",0.03333333333333333,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
Москва,МТС,2019-11-29T11:20:47+0300,"  Обязанности:    • Развитие корпоративной модели данных на основе современных трендов и потребностей в текущих и внедряемых ИТ решениях и проектах;   • Разработка корпоративной модели данных, участие в её внедрении;   • Формирование стандартов корпоративной модели данных;   • Разработка методик применения и развития корпоративной модели данных на основе современных трендов и оценки эффективности её применения;   • Верификация и оценка корпоративной модели данных новых и текущих ИТ решений и проектов;   • Проведение мероприятий по обучению сотрудников Компании аспектам, связанным с корпоративной моделью данных;   • Отслеживание новых трендов, технологий и решений, затрагивающих корпоративную модель данных и её использование на ИТ ландшафте;   • Консультирование продуктовых и проектных команд по аспектам, затрагивающим модели данных, включая корпоративную;   • Взаимодействие с доменными и командными архитекторами для формирования эффективной корпоративной модели данных;    Требования:    • высшее профильное (инженерное) образование;   • технический английский язык, разговорный английский язык будет преимуществом;   • знание методик и нотаций описания ИТ архитектуры предприятия (бизнес-архитектура, архитектура данных, архитектура приложений, техническая архитектура);   • понимание архитектурных принципов построения информационных систем, а также построения интеграционных решений (SOA, ESB, ETL);   • Творческий подход к решению задач, дизайн мышление;   • Аналитический склад ума;   • Способность к абстрактному мышлению;   • Навыки и опыт презентаций и публичных выступлений;   • Практические навыки в проектах интеграции данных и интеграции приложений;   • Опыт составления и ведения технической и проектной документации (целевых моделей автоматизируемых бизнес-процессов, ТЗ, спецификаций, программных требований к интерфейсам и т.д.);   • приветствуется практический опыт применения enterprise architecture фреймворков (TOGAF, Zachman framework);   • опыт участия в крупных проектах в качестве архитектора или ведущего специалиста.    Условия работы:        Стабильная белая зарплата.       100% оплата больничного листа.       Мы сделали обучение доступным. Вы можете проходить тренинги очно, дистанционно, в корпоративном университете, у провайдеров, у наставников. На каждого сотрудника компании приходится несколько десятков часов обучения в год.       В МТС существует собственный центр Agile экспертизы, готовый помочь в любой момент!       Гибкий график, отличные коллеги.       ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж; бесплатные тренировки по волейболу и баскетболу.       Отпуск 31 день.       Кафе с баристой и вкуснейшим кофе, а так же столовая на первом этаже Технопарка.       Частичная компенсация фитнес-абонемента.     ",Полная занятость,Полный день,От 3 до 6 лет,|Архитектура|Корпоративная стратегия|Management Of Manufacturing Enterprise|enterprise architecture,6.0,95000.0,3.0,100000.0,data science,"Высшее профильное (инженерное) образование. Технический английский язык, разговорный английский язык будет преимуществом. Знание методик и нотаций описания ИТ архитектуры предприятия...",Развитие корпоративной модели данных на основе современных трендов и потребностей в текущих и внедряемых ИТ решениях и проектах. ,0.4666666666666667,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Технологическая Компания Центр,2019-11-29T10:40:56+0300,"  Обязанности:    Ежедневная обработка спортивной информации для подготовки бухгалтерской отчетности;   Поиск информации в открытых источниках; соотнесение информации из разных источников;   Подготовка отчетов в требуемом формате;   Исполнение иных поручений, связанных с обработкой данных.    Требования:    Высшее образование;   Опыт работы с большими объемами информации;   Структурность мышления, аналитический склад ума;   Отличное владение MS office (Excel, Word);   Ответственность, внимательность, коммуникабельность.    Условия:    Достойный уровень заработной платы (по итогам собеседования); Работа в высокотехнологичной сфере с уникальным продуктом; Полностью официальные выплаты; Работа в современном БЦ класса А; Уютный, эргономичный и креативный офис. ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,95000.0,1.0,100000.0,data science,"Высшее образование. Опыт работы с большими объемами информации. Структурность мышления, аналитический склад ума. Отличное владение MS office (Excel, Word). ",Ежедневная обработка спортивной информации для подготовки бухгалтерской отчетности. Поиск информации в открытых источниках; соотнесение информации из разных источников. ,0.4666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,ВЕРОФАРМ,2019-11-16T18:55:43+0300," Информация о компании:   В «ВЕРОФАРМ» (группа Abbott) мы стремимся к тому, чтобы важные и необходимые людям лекарства производились в России с использованием самого современного оборудования и новейших технологий. Производственную базу компании «ВЕРОФАРМ» составляют три крупных завода: в Воронеже, Белгороде и пос. Вольгинский (Владимирская область). Обладая производственной базой в России, «ВЕРОФАРМ» пользуется накопленными Abbott за 130 лет существования знаниями и технологиями.   Мы приглашаем Вас присоединиться к нашей команде в роли:    Аналитика баз данных    Обязанности:     Разработка сложных аналитических систем отчетности;   Сборка и формирование отчетов в Excel;   Автоматизация процессов формирования отчетов с помощью VBA в Excel;   Построение сводных таблиц, диаграмм;   Автоматизация отчетов;   Консультация пользователей по вопросам работы с отчетами     Требования:     Высшее образование (в сфере экономики, статистики, математики);   Профессиональное владение Excel (VBA);   Умение работать с большими объемами информации;   Опыт работы с BI системами;   Ответственность, аккуратность, внимательность     Условия:     Оформление по ТК РФ, официальная заработная плата, оплачиваемый отпуск, больничный;   График работы: 5/2   Добровольное медицинское страхование (включая стоматологическое обслуживание) с первого рабочего дня;   Возможность профессионального развития и обучения;   Опыт работы в команде профессионалов, в крупной производственной компании - лидере в своем сегменте;   Офис расположен на территории современного бизнес-центра, 7 мин. пешком от м. Кожуховская.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Английский язык|Электронный документооборот|MS PowerPoint|MS Outlook|Документооборот|Аналитика продаж,3.0,95000.0,1.0,100000.0,data science,"Высшее образование (в сфере экономики, статистики, математики). Профессиональное владение Excel (VBA). Умение работать с большими объемами информации. Опыт работы с...",Разработка сложных аналитических систем отчетности. Сборка и формирование отчетов в Excel. Автоматизация процессов формирования отчетов с помощью VBA в Excel. ,0.9,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Москва,ANCOR FinTech,2019-12-02T12:40:10+0300," Задачи:   - формирование и управление командой (продакт-менеджеры, рабочие группы, инженеры);   - организация проведения исследований, разработок и испытаний новых моделей изделий;   - обеспечение постановки изделий на серийное производство по ГОСТ и ISO;   - организация взаимодействия со смежными подразделениями;   - организация взаимодействия с партнерами по разработке;   - разработка плана и реализация проектов, техническая поддержка;   - разработка ассортиментной политики;   - маркетинг и вывод продукта на рынок.   Потребуется:   - высшее образование;   - опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением;   - опыт операционного контроля, управления командой;   - опыт оптимизации бизнес-процессов подразделения, написания регламентов, инструкций;   - опыт создания и вывода на рынок новых продуктов;   - знание компьютерного рынка, технологий и тенденций.   Компания - разработчик, производитель и поставщик компьютерной техники и ИТ-решений для корпоративных заказчиков. ",Полная занятость,Полный день,Более 6 лет,|Разработка регламентов|контрактное производство|Руководство коллективом|Управление продуктом|Запуск новых продуктов|Управление проектами,,95000.0,6.0,100000.0,data science,"Потребуется: - высшее образование. - опыт руководства ОКР, НИР, отделом разработки IT, сервисным подразделением. - опыт операционного контроля, управления командой. - опыт оптимизации бизнес...","формирование и управление командой (продакт-менеджеры, рабочие группы, инженеры). - организация проведения исследований, разработок и испытаний новых моделей изделий. - ",0.36666666666666664,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Москва,Билайн,2019-12-12T08:13:39+0300," Мы являемся частью международной группы компаний и представляем один из самых ярких и сильных брендов в России. Мы гордимся тем, что уже сегодня разрабатываем и реализуем технологии, аналогов которым нет в мире. А ещё Билайн - это не просто компания, это - команда, объединённая общими ценностями и общей целью - быть лидером телеком и digital-рынков, предоставляя нашим клиентам новейшие продукты и услуги, а также сервис самого высокого уровня. Билайн признан работодателем №1 в телеком-отрасли России. И сейчас у тебя есть возможность присоединиться к лучшей команде в качестве Старшего менеджера по развитию продуктов Big Data.     Итак, тебе предстоит:       Курировать запуск новых инновационных продуктов для корпоративных B2B клиентов, основанных на инструментах Big Data;   Участвовать в разработке новых услуг, обусловленных потребностями клиентов и рынка;   Управлять жизненным циклом продуктов;   Проводить обучение для сотрудников подразделений по корпоративным продажам, а также участвовать в соответствующих тематических конференциях;   Собирать обратную связь от бизнес-подразделений по курируемым продуктам;   Разрабатывать и реализовывать идей, предложения, связанные с развитием подключений и увеличением выручки от курируемых решений;   Участвовать в разработке и реализации нестандартных технических решений на базе данных продуктов по запросам высокодоходных корпоративных клиентов;   При необходимости осуществлять поддержку продаж (presale) решений для ключевых корпоративных заказчиков (проведение переговоров и презентаций).           Мы будем рады рассмотреть тебя, если у тебя есть:       Высшее образование;   Опыт работы в качестве продуктолога в В2В направлении от 2-х лет в крупных компаниях (телеком, digital и рекламные агентства как преимущество);   Успешный опыт запуска продуктов, знание BIG DATA и рекламного рынка;   Интерес в сфере применения технологий BIG DATA, machine learning и AI;   Сильные аналитические способности и отличные презентационные и коммуникативные способности.       Что мы предлагаем:       Работа в компании, большинство продуктов которой не имеет аналогов на рынке;   Сплоченная команда профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться;   Постоянное развитие, участие в интересных проектах и расширение профессиональной экспертизы;   Конструктивная и открытая рабочая атмосфера;   Корпоративное обучение;   Полис добровольного медицинского страхования, обслуживаемый в лучших клиниках города;   Служебную сотовую связь.      В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам.  ",Полная занятость,Полный день,От 3 до 6 лет,|Big Data|Digital Marketing|Запуск новых продуктов|Ведение переговоров,6.0,95000.0,3.0,100000.0,data science,Высшее образование. Опыт работы в качестве продуктолога в В2В направлении от 2-х лет в крупных компаниях (телеком...,"Курировать запуск новых инновационных продуктов для корпоративных B2B клиентов, основанных на инструментах Big Data. Участвовать в разработке новых...",0.03333333333333333,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,ManpowerGroup,2019-11-19T16:13:34+0300,"  Manpowergroup и наш клиент, американская компания, крупный производитель косметических и санитарно-гигиенических товаров, а также медицинского оборудования, ищет кандидатов на позицию Аналитик - визуализатор данных на проект (Временная вакансия)     Обязанности:      Регулярная подготовка аналитических отчетов по конкурентному окружению и компании, с учетом каналов, продуктов, регионов   Регулярная подготовка отчетов по внутренним продажам – от результата компании до индивидуальных результатов сотрудников     Требования:     Высшее профессиональное образование, предпочтительно математическое, техническое или студенты последних курсов   Знание английского языка, достаточное для написания комментариев к отчету, будет преимуществом   Отличное владение PowerPoint, умение визуализировать сложные данные, переводить их в простой формат   Знание Excel, достаточное для работы с уже готовыми данными, в тч pivots     Условия:      Период работы: 1 год  (Проект на весь 2020 год)   Формат работы: удаленно   Оформление про гражданско-правовому договору   Достойный уровень заработной платы;   ",Проектная работа,Удаленная работа,От 1 года до 3 лет,|MS PowerPoint|Английский язык|Аналитические исследования|Визуализация|MS Excel,3.0,95000.0,1.0,100000.0,data science,"Высшее профессиональное образование, предпочтительно математическое, техническое или студенты последних курсов. Знание английского языка, достаточное для написания комментариев к отчету, будет...","Регулярная подготовка аналитических отчетов по конкурентному окружению и компании, с учетом каналов, продуктов, регионов. Регулярная подготовка отчетов по внутренним продажам...",0.8,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
