city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,ios,objective-c,swift,git,ооп,английский язык,ios sdk,xcode,mac os,atlassian jira,other
Москва,Бизнес солюшинс лаб,2019-12-11T13:27:49+0300," Компания BS lab — это опыт решения IT задач любой сложности.   Мы уже запустили несколько собственных успешных проектов в сфере авиаобслуживания, логистики, такси и др, и теперь готовы помочь другим компаниям в создании самых разных сервисов — от веб-сайтов до сложных highload проектов. Помогаем эффективно выстроить процессы, когда команда и продукт уже есть — IT-консалтинг также одно из направлений нашей работы.    Наши проекты:       Приложение такси, где пассажир и водитель знают друг друга     Веб-платформа для таксопарков     Сервис для доставки (B2B)      Чтобы проекты росли, а пользователи и клиенты были довольны, нам нужны разработчики (удаленно).    Задачи:        Разработка и поддержка мобильного приложения для клиентов;       Разработка архитектуры мобильных приложений;       Участие в разработке API;       Взаимодействие с распределенной командой разработчиков;       Проведение Code Review.        Что нужно уметь:        Профессиональное владение Swift;       Понимание основ сетевого взаимодействия, опыт разработки клиент-серверных приложений, работа с протоколами HTTP, WS;       Знание ООП, многопоточного программирования и умение применять их на практике;       Знание современных архитектурных паттернов в разработке (Viper, MVP, Clean Architecture, и так далее), понимание принципов SOLID;       Опыт работы с Git (по Git Flow в команде).        Что будет полезно:        Опыт работы с Google Maps, Google Services, Alamofire, Realm;       Умение писать unit-тесты;       Опыт разработки геолокационных сервисов.        Что даем взамен:      Удалённый график работы;   Стабильная «белая» заработная плата, трудоустройство по ТК РФ;     Возможность прокачки hard skills на проектах разного уровня сложности;       Команду с сильными разработчиками, QA-инженерами, product–менеджерами, UX/UI дизайнерами и налаженными внутренними процессами;     Возможность профессионального роста, оплачиваемое участие в конференциях и посещение образовательных курсов;   Команду единомышленников, которой важно создавать качественный, удобный и инновационный продукт.      А чтобы нам было что обсудить на первой встрече,  расскажите о запущенных вами проектах со ссылками и приложите ссылку на Github или пример вашего кода. ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|iOS|Git|ООП|Swift|Viper|MVVM,3.0,176666.66666666663,1.0,93333.33333333331,ios разработчик,"Профессиональное владение Swift. Понимание основ сетевого взаимодействия, опыт разработки клиент-серверных приложений, работа с протоколами HTTP, WS. Знание ООП, многопоточного...","Приложение такси, где пассажир и водитель знают друг друга. Веб-платформа для таксопарков. Сервис для доставки (B2B). ",0.06666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1
Москва,Информтехника,2019-12-12T06:23:48+0300,"     Приглашаем Вас присоединиться в команду по совершенствованию существующего корпоративного мессенджера и наполнению его новым функционалом!   Корпоративный мессенджер, позволяющий обмениваться текстом, фото, аудио, файлами и т.д.. В приложении имеются групповые чаты, информационные каналы, боты. Имеется интеграция с внешними сервисами, корпоративный справочник контактов с эффектом присутствия в офисе. Серверная часть реализована на Node.js. с помощью Socket.io    Обязанности:      Участие в проектировании и разработке мобильного приложения под ОС IOS для устройств iPhone и iPad.   Выпуск версии на тестирование.   Выпуск версии в AppStore.     Требования:     Владение инструментом XCode;   Знание Objective-C, Swift;   Знанием системных фреймворков;   Знание CocaoPods, Git, JSON;   Опыт подготовки выпуска версий в AppStore.     Условия:     Работа в команде 3 iOS - разработчиков(всего 10 разработчиков).   Достойная заработная плата;   Гибкий график работы с 08.00-11.00 до 17.00-20.00;   Удобное расположение офиса м.Красносельская, м.Комсомольская.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,176666.66666666663,1.0,93333.33333333331,ios разработчик,"Владение инструментом XCode. Знание Objective-C, Swift. Знанием системных фреймворков. Знание CocaoPods, Git, JSON. Опыт подготовки выпуска версий в AppStore.",Участие в проектировании и разработке мобильного приложения под ОС IOS для устройств iPhone и iPad. Выпуск версии на тестирование. ,0.03333333333333333,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,WIT Recruitment,2019-12-11T12:05:12+0300,"  Мы IT-компания полного цикла: от идеи до производства и внедрения. Мы занимается разработкой устройств для умного дома, если ты тоже интересуешься сферой IoT, добро пожаловать к нам!      Обязанности:      Программирование   Участие в проектировании и развитии продукта   Принятие решений по развитию архитектуры и кодовой базы iOS проекта     Требования:     Опыт разработки IOS-приложений от года, уверенное знание Objective-C, Swift   Следование IOS Human Interface Guidelines   ООП и паттерны проектирования   Опыт многопоточного программирования и знание классических алгоритмов и структур данных rxSwift, rxCocoa, REST   знание WebSocket будет плюсом     Условия:     Достойный уровень заработной платы, обсуждается по результатам собеседования. Вся заработная плата белая!   Интересная работа в инновационном проекте в сфере IoT   Официальное трудоустройство по ТК РФ с 1-го рабочего дня   Оплачиваемые отпуск и больничный в полном объеме   Рабочее время с 10 до 19 (возможны корректировки в пределах часа по желанию)   ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Objective-C|ООП|iOS|swift,3.0,150000.0,1.0,60000.0,middle ios разработчик,"Опыт разработки IOS-приложений от года, уверенное знание Objective-C, Swift. Следование IOS Human Interface Guidelines. ООП и паттерны проектирования. ",Программирование. Участие в проектировании и развитии продукта. Принятие решений по развитию архитектуры и кодовой базы iOS проекта.,0.06666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
Москва,Перекресток,2019-11-14T14:50:05+0300,"  «Перекресток» – крупнейшая сеть супермаркетов в России, первой из современных форматов вышедшая на рынок российской продуктовой розницы. Онлайн-супермаркет Perekrestok.ru был запущен в 2017 году в Москве и сегодня является одним из самых перспективных проектов доставки продуктов повседневного спроса. Perekrestok.ru активно развивается и ставит амбициозные цели: наших мощностей достаточно, чтобы осуществлять 3500 заказов в день, мы первыми в России запустили собственный dark store, а наш NPS превышает 80%. Стать ведущей компанией food-tech ритейла в России можно только с помощью команды профессионалов, которая знает и любит свое дело, а еще открыта новым идеям. Если вы готовы стать членом нашей команды - мы ждем отклик на вакансию!     Задачи      Разрабатывать несколько приложений для самого динамично развивающегося фудтех-проекта рунета   Работать в команде с менеджерами, дизайнерами(UX/UI), аналитиками и тестировщиками   Участвовать в проведении CodeReview   Принимать участие в планировании процесса разработки      Требования      Отличное знание Swift   Знания основных алгоритмов и структур данных   Опыт коммерческой разработки от 2-х лет   Опыт работы с Rx   Умение декомпозировать задачи и правильно оценивать их   Опыт работы в команде      Будет плюсом      Опыт написания тестов   Умение придерживаться Pixel Perfect при верстке   Настройка CI/CD      Условия      Офис в шаговой доступности от метро в центре Москвы   Гибкое начало рабочего дня   ДМС   Официальное оформление по ТК РФ и белая зарплата   Достойная стабильная зарплата + квартальные премии   Программа корпоративных привилегий и скидки до 20% у партнёров и в магазинах X5 Retail Group   ",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|E-Commerce|Mac Os,3.0,176666.66666666663,1.0,93333.33333333331,ios разработчик,Отличное знание Swift. Знания основных алгоритмов и структур данных. Опыт коммерческой разработки от 2-х лет. Опыт работы с Rx. ,"Разрабатывать несколько приложений для самого динамично развивающегося фудтех-проекта рунета. Работать в команде с менеджерами, дизайнерами(UX/UI), аналитиками и...",0.9666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
Москва,Промсвязьбанк,2019-12-11T09:15:16+0300,"  Ключевые задачи  :      Разработка мобильного приложения для платформы iOS     Два проекта на выбор: мобильный банк для физических лиц и для юридических лиц     Разработка unit-тестов, рефакторинг, code review   Формирование принципов командной разработки      Что важно для нас:      Опыт разработки мобильных приложений от двух лет   Отличные знания платформы iOS и Swift   Опыт применения архитектурных паттернов: MV*, VIPER   Опыт разработки клиент-серверных приложений (HTTP(S), XML, JSON)   Опыт написания unit-тестов   Опыт работы с GIT      Будет плюсом:      Отличные знания ООП, алгоритмов и структур данных   Знание Objective-C      Что предлагаем:      Гибкое начало и окончание рабочего дня, свободный дресс-код   Релокационный пакет (компенсация расходов на покупку билетов и аренду жилья в течение первых трех месяцев)   Официальное оформление в соответствии с ТК РФ   Конкурентный уровень дохода: оклад + премии   Медицинская страховка, страховка для выезжающих за границу   Доплата к отпускному и больничному листу   Дополнительные льготы при заключении брака и рождении детей   Социальная поддержка при сложных жизненных ситуациях   Льготное кредитование для сотрудников   Обучение в корпоративном университете банка   Корпоративная библиотека   ",Полная занятость,Полный день,От 1 года до 3 лет,|Swift|iOS,3.0,176666.66666666663,1.0,93333.33333333331,ios разработчик,"Опыт разработки мобильных приложений от двух лет. Отличные знания платформы iOS и Swift. Опыт применения архитектурных паттернов: MV*, VIPER. ",Разработка мобильного приложения для платформы iOS. Два проекта на выбор: мобильный банк для физических лиц и для юридических лиц. ,0.06666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Москва,Cтудия Моризо,2019-11-18T10:48:19+0300," Если Вы хотите поучаствовать в проектах, которые  меняют рынок , которыми пользуются люди вокруг Вас,  изменить качество жизни  в этой стране – то Вам к нам.   Это вызовы, которые стоят перед нами.    Работать предстоит над крупным, высоконагруженным проектом с десятками миллионов пользователей.    Если ты готов и умеешь решать сложные задачи и выходить из безвыходных ситуаций.   Готов учиться новому и думать самостоятельно, а не ждать указаний.   Будешь рад разделять наши ценности и работать в команде, то…    Заинтригован? Мы тоже!  Поэтому скорее поправляй свой геройский плащ за спиной и  оставляй свои контакты и резюме в откликах.      Мы готовы к открытому диалогу и хотим с тобой познакомиться!          Какие задачи будут ожидать   iOS разработчика ?       Разработка нативных iOS (obj-c, swift) приложений   Планирование и оценка задач;   Формирование архитектуры приложения;   Работа с командой: распределение задач, консультирование;   Взаимодействие с отделом проектирования.   Взаимодействие с отделом тестирования.      Требования:      Опыт параллельного и многопоточного программирования;   Знание классических алгоритмов и структур данных.   Опыт создания дизайна и архитектуры (MVP, MVVM)   Опыт верстки чистым кодом без использования storyboard и XIB      Что мы предлагаем?       Работа в компании - лидере российского рынка веб-разработки.      Обучение и сертификация за счет компании. Оплачиваемое посещение конференций, семинаров, программ доп.образования;     Для желающих переехать в Москву обеспечим релокационным пакетом!        Мы стремимся создавать новые возможности интерактивных коммуникаций для бизнеса и людей.        Но главное, мы любим то, что делаем, потому что работаем в компании друзей.       ",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|MVP|MVVM|swift|Objective-C,3.0,250000.0,1.0,120000.0,middle senior ios разработчик,"Опыт параллельного и многопоточного программирования. Знание классических алгоритмов и структур данных. Опыт создания дизайна и архитектуры (MVP, MVVM). ","Разработка нативных iOS (obj-c, swift) приложений. Планирование и оценка задач. Формирование архитектуры приложения. Работа с командой: распределение задач, консультирование. ",0.8333333333333334,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
Москва,Кадровое агентство Юнити,2019-11-22T17:27:06+0300," В одно из дочерних предприятий, осуществляющих консалтинг для ООО РЖД приглашается  Разработчик iOS .   Компания охватывает весь спектр потребностей заказчиков — от консалтинга, разработки стратегии, оптимизации бизнес-процессов до создания и поставки комплексных автоматизированных информационных систем.    Обязанности:        Разработка мобильных приложений для внешнего заказчика;       Проектирование API, архитектуры, выбор технологий, написание кода и тестов.       Требования:       Хорошее владение Swift и iOS SDK;       Желательно знание С++;       Знание паттернов, разработка многопоточных программ;       Умение разбираться в чужом коде.       Условия:       Оформление по ТК РФ;       ДМС в компании «РЕСО-Гарантия»;       Годовые и проектные премии по результатам работ;       Локация: м. Красносельская;       График работы: 5/2, с 09-00 до 18-00.       Приглашаем на интервью! ",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|Design Patterns|Mac Os|Мобильность|Пользователь ПК|iOS SDK|swift|Objective-C,3.0,130000.0,1.0,100000.0,разработчик ios,"Хорошее владение Swift и iOS SDK. Желательно знание С++. Знание паттернов, разработка многопоточных программ. Умение разбираться в чужом коде.","Разработка мобильных приложений для внешнего заказчика. Проектирование API, архитектуры, выбор технологий, написание кода и тестов.",0.7,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1
Москва,Л-ТЕХ,2019-12-11T16:36:44+0300," В компанию  L-TECH , занимающуюся заказной разработкой программного обеспечения для мобильных платформ, требуется  разработчик мобильных приложений на iOS.    У нас молодой и дружный коллектив, много интересных проектов, известные заказчики.   Скучать не придется!        Требования       Опыт в разработке iOS-приложений от двух лет    Опыт разработки клиент-серверных приложений   Хорошие знания SWIFT, Xcode;   Опыт работы с сетевыми протоколами (HTTP, JSON, XML/SOAP и др.).   Опыт параллельного и многопоточного программирования.   Знание классических алгоритмов и структур данных.   Знание распределенных систем контроля версий (git), баг-треккингов.   Знание ООП;   Знание паттернов проектирования;   Умение работать со сторонними библиотеками (CocoaPods, различные SDK и т.п.)   Умение разбираться в чужом коде.          Условия:      5-ти дневная рабочая неделя   Оплачиваемый отпуск и больничные   Возможность профессионального и карьерного роста   Участие в больших увлекательных проектах   Чай, кофе, плюшки   Дружный молодой и отзывчивый коллектив   Оплата труда обсуждаются индивидуально   ",Полная занятость,Полный день,От 1 года до 3 лет,|iOS|Управление проектами|SQL|Adobe Photoshop|MySQL|Git|HTML|Mac Os|Atlassian Jira|SWIFT|HTML5,3.0,176666.66666666663,1.0,93333.33333333331,ios разработчик,"Опыт в разработке iOS-приложений от двух лет. Опыт разработки клиент-серверных приложений. Хорошие знания SWIFT, Xcode. Опыт работы с...",Без обязанностей,0.06666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1
Москва,Атомэнергосбыт,2019-12-09T14:14:29+0300," Обязанности:     Сопровождение и доработка мобильного приложения   Сопровождение цифровых проектов (от разработки до эксплуатации)     Требования:     Образование высшее профессиональное профильное   Опыт работы по специальности программист не менее трех лет (платформа  IOS)    Широкий круг специализированных знаний по функциональному направлению деятельности   Опыт коммерческой разработки приложений   Objective-C / Swift 4   AutoLayout и Storyboard   Опыт разработки API (OAuth, JSON, REST, Laravel)   Понимание архитектур VIPER, MVVM, MVP, MVC   Знание Agile подходов при разработке ПО   Опыт размещения приложения в app store   Понимание работы баз данных: SQLite, MariaDB   Умение работать с сервисами push уведомлений (преимущественно one signal)   ",Полная занятость,Полный день,От 3 до 6 лет,|Objective-C|MVC|iOS|C++|ООП|Быстрообучаемость|Ответственность|Инициативность|Умение работать в режиме многозадачности|AutoLayout|Storyboard|Swift 4,6.0,176666.66666666663,3.0,93333.33333333331,ios разработчик,Образование высшее профессиональное профильное. Опыт работы по специальности программист не менее трех лет (платформа IOS). Широкий круг специализированных знаний по...,Сопровождение и доработка мобильного приложения. Сопровождение цифровых проектов (от разработки до эксплуатации).,0.13333333333333333,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1
Москва,Авито,2019-12-12T11:21:33+0300,"  В команду Avito мы ищем сильных iOS-разработчиков для работы над нашими мобильными приложениями     Мы ожидаем, что Вы:      имеете опыт разработки iOS приложений;   отлично разбираетесь в Swift и Objective-C;   знакомы с шаблонами проектирования и умеете их применять, придерживаетесь принципов SOLID;   знакомы с основными алгоритмами и структурами данных;   умеете писать поддерживаемый и тестируемый код;   разбираетесь в различных видах тестирования и пользе от них;   обладаете дополнительными навыками в области системного программирования, архитектуры, информационной безопасности;   способны тщательно планировать и приоритизировать свою работу и работу команды;   используете в общении убедительные аргументы и конструктивно реагируете на аргументы других.      Не обязательно, но круто, если Вы:      можете похвастаться законченными проектами, опубликованными в App Store;   знаете, как оптимизировать приложение и сделать его быстрее;   имеете опыт автоматизации процесса релиза мобильного приложения, разбираетесь в соответствующем стеке технологий;   имеете опыт выступлений на митапах или конференциях, желаете продолжать развиваться в этом направлении.      Вам предстоит:      разрабатывать приложения Avito для iOS в команде опытных разработчиков;   участвовать в принятии технических решений и планировании процесса разработки;   быть ответственным за крупную часть проекта, над которой работает несколько инженеров, помогая им при этом расти;   участвовать в распространении лучших практик путем участия во внутренних сообществах и оказания консультаций;   наслаждаться автоматическими сборками и уже налаженным Continuous Integration;   участвовать в Code Review.      Работа у нас — это:      возможность реализовать свои идеи в проекте с многомиллионной аудиторией;   команда профессионалов, готовых поддержать ваши инициативы;   открытость для профессионального сообщества: мы делимся разработками на GitHub, рассказываем об опыте решения задач в блоге на Habr;   мероприятия для разработчиков и выступления интересных спикеров прямо в офисе;   обучение за счёт компании: мы оплачиваем участие в российских и международных конференциях, профильные курсы и доступ к онлайн-библиотеке МИФ, покупаем нужную сотрудникам литературу;   прозрачная система бонусов и премий, достойная зарплата — размер обсудим на собеседовании;   красивый и комфортный офис в 2 минутах от метро «Белорусская»: панорамный вид на центр города, места для уединённой работы, зоны отдыха, гамаки и скейтборды.   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,176666.66666666663,3.0,93333.33333333331,ios разработчик,Имеете опыт разработки iOS приложений. Отлично разбираетесь в Swift и Objective-C. Знакомы с шаблонами проектирования и умеете их применять...,Разрабатывать приложения Avito для iOS в команде опытных разработчиков. Участвовать в принятии технических решений и планировании процесса разработки. ,0.03333333333333333,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
