city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,java,spring framework,git,sql,javascript,postgresql,hibernate orm,java se,java ee,junit,other
Москва,Дельта Солюшнс,2019-12-05T11:40:59+0300,"  Junior Software Developer –  студент последних курсов или выпускник профильного факультета (кибернетика, АСУ, IT, системный анализ и пр.).   Мы разрабатываем, внедряем и поддерживаем информационные системы для операторов связи. Делаем надёжные распределённые системы, которые не прекращают работу даже при падении одного из дата-центров. Наши программы обрабатывают десятки тысяч запросов в секунду и запускаются на сотнях серверов. Мы работаем с заказчиком на всех этапах проекта – помогаем проработать идею, понять, на каких технологиях и системах ее реализовать, докручиваем чужие системы без исходного кода, участвуем в тестировании после запуска.   Мы гибкие и мобильные, постоянно изучаем и внедряем новые технологии и продукты, помогаем адаптировать их для крупного бизнеса. Для заказчика мы ценны тем, что с нами он может выводить на рынок новые продукты и услуги на два-три месяца раньше и дешевле чем при работе с крупными поставщиками.   Большая часть проектов связана с внутренними системами оператора, благодаря которым бизнес работает быстро и надежно. Мы сильны в системах обработки данных в реальном времени: предбиллинг, тарификация, авторизация, управление набором услуг абонентов; когда у вас кончился интернет, это мы решаем, что с этим делать. Ещё мы умеем дружить системы с друг с другом по soap, http, diameter, radius, rpc и другим страшным словам, да, это и есть системная интеграция. Автоматизация технических и бизнес-процессов тоже не чужда, мы знаем, как превратить одну бизнес-транзакцию по подключению услуги в десятки маленьких операций и отменить всё, если что-то в середине пошло не так.   Работаем с облаками и с физическим железом, умеем проектировать дата-центры по технологиям Facebook. Число проектов растёт, поэтому мы постоянно в поиске инженеров, которые готовы влиться в нашу команду, расти и совершенствоваться вместе с нами. Направлений много, но всех их объединяет постоянная необходимость быть в тонусе, изучать и хотеть изучать что-то новое. Во всём остальном мы поможем разобраться.        Требования для старта:    ∙ Знание Java на среднем уровне: структуры данных, алгоритмы, ООП, ввод-вывод;   ∙ Базовое представление о теории БД и языке SQL, простые SQL запросы;   ∙ OS Windows на уровне продвинутого пользователя (сетевые настройки, службы);   ∙ Способность находить нужное в гугле и документации на русском и английском языках.     ",Полная занятость,Полный день,От 1 года до 3 лет,|ООП|SQL|JavaScript|Java,3.0,92500.0,1.0,45000.0,java junior software разработчик,"Junior Software Developer – студент последних курсов или выпускник профильного факультета (кибернетика, АСУ, IT, системный анализ и пр.). ∙ Знание Java на...",Без обязанностей,0.26666666666666666,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
Москва,Джи Эс Эй Групп,2019-11-20T11:39:29+0300,"  Задачи:      Участие в развитии интересного и амбициозного проекта;   Активное участие в создании (и обучении) команды и подборе участников;   Разработка проекта с нуля - от архитектуры до документации по сопровождению (no legacy);   Построение процесса разработки и тестирования;   Проектирование и разработка интерфейсов приложений/ключевых технологических и прикладных микросервисов платформы;   Написание автотестов, исправление багов, участие в ревью кода;   Взаимодействие с разработчиками, дизайнерами и другими командами в формате Agile.      Кого мы ищем:      Не менее 2 лет опыта разработки программного обеспечения на Java;   Хорошее знание Java SE: Core, Collections, Concurrency, Generics, Reflection;   Хорошее знание Java EE: Spring Framework, Hibernate, Tomcat, Maven, Gradle;   Опыт работы с базами данных (Sql, noSql);   Понимание принципов объектно-ориентированного проектирования;   Опыт разработки архитектуры бизнес-приложений.      Будет плюсом :     Опыт работы c MongoDB;   Опыт работы c ElasticSearch;   Опыт работы с Docker.      Что предлагаем:      Комфортный офис в самом зеленом районе Москвы;   Полное соблюдение Трудового Кодекса РФ;   Достойный доход (зарплата + премия по итогам проекта);   Дружный коллектив;   Все возможности для профессионального и карьерного роста;   Обучение;   ДМС+ доплата по больничному листу до 100% оклада + мобильная связь.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,92500.0,1.0,45000.0,java разработчик,"Не менее 2 лет опыта разработки программного обеспечения на Java. Хорошее знание Java SE: Core, Collections, Concurrency, Generics, Reflection. ",Участие в развитии интересного и амбициозного проекта. Активное участие в создании (и обучении) команды и подборе участников. Разработка проекта с...,0.7666666666666667,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Decathlon,2019-12-03T09:47:33+0300,"   DECATHLON   is a French company created more than 40 years ago operating in 50+ countries in the world. In Russia, you will join a team of 3 000 dynamic, young and sportive persons. The objective of Decathlon is to make sports available to the many.   Decathlon is a strong actor on worldwide sport’s market grows continuously, we develop our own brands and sells sports products, which are exclusively available in DECATHLON stores.  In Russia, DECATHLON operates through 55 + stores and also do local production selling mostly our own products in our stores and online, we have a clear wish to expand throughout the country.    Decathlon offers horizontal management which gives real freedom for your projects and responsibility.        RESPONSIBILITIES:    · Work on decathlon strategic commercial projects   · Collaborate with our teams on Agile methodology        REQUIREMENTS AND SKILLS:    · Excellent knowledge of HTML and CSS   · JavaScript: understanding of closures, scopes, prototype methods.   · At least basic knowledge of VCS (preferring git) and Jira.   · Basic understanding of network technologies stack, HTTP requests.        ADDITIONAL SKILLS:    · REST, TypeScript, Vue, minifiers   · Be proactive and innovative        WE PROPOSE:    · Young ambitious team with a friendly atmosphere   · Competitive salary + Bonus   · Medical and life insurance   · Opportunity to become a shareholder of the company   · Discount 20% on Decathlon products   · New office in Park Legend, sportplace in the office ",Полная занятость,Полный день,От 1 года до 3 лет,|JavaScript|CSS|HTML,3.0,92500.0,1.0,45000.0,javasсript разработчик,"Excellent knowledge of HTML and CSS. JavaScript: understanding of closures, scopes, prototype methods. At least basic knowledge of VCS (preferring...","In Russia, DECATHLON operates through 55 + stores and also do local production selling mostly our own products in our...",0.3333333333333333,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
Москва,FM Logistic,2019-12-04T16:32:58+0300,"  Обязанности:      Постоянная оптимизация сервисов и реализация новых микросервисов;   Написание unit-тестов;   Рефакторинг своего кода;   Техническое консультирование менеджера по продукту и помощь в принятии решений;   Определение ключевых метрик системы и ответственность за них;   Взаимодействие с разработчиками из других команд компании.      Требования:      опыт программирования;   Работа с технологиями: Oracle / MySQL / noSQL/Mongo/ MariaDB/ Java;   Работа с системами контроля версий (GitHub, Bitbucket, GitLab);   английский язык - intermediate level и выше;   так как будет необходимость взаимодействовать с другими приложениями и разработчиками, то будет плюсом знание других языков - JavaScript, React, C#, PHP.      Условия:      Полное соответствие требованиям ТК РФ;   Заработная плата (оклад+премии);   График работы 5/2 с 9 до 18;   Комфортный корпоративный автобус от метро &quot;Планерная&quot;, &quot;Войковская&quot;, &quot;Речной вокзал&quot;;   Офис в г. Долгопрудный (10 мин пешком от станции &quot;Хлебниково&quot;, электричка от ст.м. &quot;Савеловская&quot; или &quot;Тимирязевская&quot;) или офис в г.Чехов   Расширенный социальный пакет (ДМС + стоматология, дотируемое питание);   Возможности профессионального и карьерного роста.       Для нас ценны: Доверие, Эффективность, Открытость   ",Полная занятость,Полный день,От 1 года до 3 лет,|Java|SQL|ORACLE|JSON API|SOAP|Unix|Jasper|BluJay|Xsd|MySQL|NoSQL|MongoDB|JavaScript|PHP|C#|React,3.0,92500.0,1.0,45000.0,java разработчик,"Опыт программирования. Работа с технологиями: Oracle / MySQL / noSQL/Mongo/ MariaDB/ Java. Работа с системами контроля версий (GitHub, Bitbucket, GitLab). ",Постоянная оптимизация сервисов и реализация новых микросервисов. Написание unit-тестов. Рефакторинг своего кода. Техническое консультирование менеджера по продукту и помощь...,0.3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
Москва,ИНФОРМЗАЩИТА,2019-12-11T11:16:17+0300,"   Собеседование проводится в один этап (руководитель отдела + ведущий разработчик). Решение принимается за 1-2 дня.      Обязанности:      Разработка компонентов микросервисной архитектуры для высоконагруженного проекта   Участие в проектировании архитектуры     Требования:     Хорошие знания Java/Spring, PostgreSQL, ООП     Условия:     Работа в сильной, стабильной компании (ТОП 3 компаний России в сфере защиты информации по оценке CNews Analytics (2017г.);   Интересные задачи. Работа с крупными интересными проектами;   Оформление в соответствии с ТК РФ (все выплаты в белую);   Развитая система премирования;   Расширенный социальный пакет (ДМС через 6 месяцев работы, 100% оплачиваемый больничный);   Возможность гибкого начала/окончания рабочего дня;   Разнообразные программы обучения сотрудников;   Возможности для повышения квалификации и сертификации;   Дружный коллектив профессионалов.   Удобный офис. Полный рабочий инструментарий. Кофе, чай;   Шаговая доступность от метро - м. Динамо.   ",Полная занятость,Полный день,От 3 до 6 лет,|Java|PostgreSQL|Spring Framework|ООП,6.0,92500.0,3.0,45000.0,старший разработчик java spring,"Хорошие знания Java/Spring, PostgreSQL, ООП.",Разработка компонентов микросервисной архитектуры для высоконагруженного проекта. Участие в проектировании архитектуры.,0.06666666666666667,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
Москва,Райффайзенбанк,2019-11-21T11:33:04+0300," Райффайзенбанк является частью крупной международной банковской группы, входит в 20-ку крупнейших кредитных организаций по размеру активов. Мы регулярно ставим перед собой амбициозные цели по созданию инновационных продуктов, росту бизнеса и улучшению клиентского опыта. Вместе с тем, чтобы обеспечить устойчивый рост бизнеса, мы должны уметь масштабировать фундаментальные банковские сервисы: платежи, обмен валюты, ведение счетов и т.д. Одним из таких фундаментальных сервисов является получение выписки по счету. Учитывая сервисную архитектуру, историческое наследие и планы по развитию на будущее, мы решили сделать прозрачный масштабируемый сервис предоставления выписок по счетам, которым могли бы пользоваться все клиенты банка: как внутренние, так и внешние.   Сейчас мы вывели первую версию сервиса предоставления выписок в промышленную эксплуатацию, и планируем активно развивать этот сервис, в связи с чем ищем Java-разработчика с желанием развиваться в Scala-разработке. Опыт разработки на Scala необязателен, мы готовы обучать)    Вместе мы будем:      Участвовать в проектировании и реализации архитектуры приложения;   Загружать новые данные и разрабатывать сервисы работы с ними;   Настраивать процессы CI/CD;   Оптимизировать процессы формирования данных для выписок.      Эта вакансия для тебя, если ты:      Имеешь опыт работы в качестве Java-разработчика от 0,5 года;   Имеешь интерес к разработке на Scala;   Имеешь средний уровень знаний SQL-запросов;   Понимаешь цикл разработки ПО;   Знаешь основные подходы к построению архитектуры корпоративных приложений;   Имеешь опыт работы с промышленными базами данных;   Хочешь работать с Open Source продуктами.       Круто, если ты:       Имеешь представление о типовой архитектуре DWH;   Имеешь опыт работы с распределенными системами;   Имеешь опыт работы с NoSQL базами данных (Hbase);   Имеешь опыт работы с Spark, Hadoop, Phoenix;   Имеешь опыт разработки на Scala;   Имеешь опыт работы с Jira и Confluence;   Имеешь опыт работы с Bamboo и Git.      У тебя будут:      Высокий уровень свободы;   Атмосфера развития, вдохновленная принципами Agile;   Комфортный офис всего в одной минуте пешком от ст. метро &quot;Технопарк&quot; с собственным спортзалом и кафе;   Команда профессионалов, готовых делиться опытом;   Социальный пакет, включающий ДМС, страхование выезжающих за рубеж и не только;   Льготное кредитование, программа корпоративных скидок и не только;   Профессиональные обучающие курсы и конференции в России и за рубежом.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Java,3.0,92500.0,1.0,45000.0,java разработчик сервиса предоставления выписок,"Имеешь опыт работы в качестве Java-разработчика от 0,5 года. Имеешь интерес к разработке на Scala. Имеешь средний уровень...",Участвовать в проектировании и реализации архитектуры приложения. Загружать новые данные и разрабатывать сервисы работы с ними. Настраивать процессы CI/CD. ,0.7333333333333333,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Москва,Группа компаний «ИНФОРСЕР»,2019-12-11T11:44:40+0300,"  Требуется java-разработчик для участия в процессе разработки и поддержания корпоративной информационной системы (далее - КИС) заказчика.      Задачи:     Участие в крупном проекте по автоматизации деятельности заказчика в части:     разработки программных модулей КИС;   интеграции КИС с внешними системами;   интеграции с существующей Информационной Системой.          Требования:      Java SE (желательно знакомство с Code Conventions for the Java);   SQL, в частности желателен опыт работы с PostgreSQL;   Представление о js;   Знакомство с git и git flow будет плюсом;   Представление о консоли Linux.          Применяемые технологии:      IntelliJ IDEA;   maven, Teamcity, gitlab, nexus;   Java se и процедурный js;   Postgresql, ActiveMQ, Elasticsearch.          Мы предлагаем:      зарплату, соответствующую навыкам и опыту;   работу в офисе в течение периода адаптации, затем возможна периодическая работа из дома;   гарантии, предусмотренные ТК РФ и дополнительные бонусом от компании;   ДМС;   бонусы по итогам работы;   комфортное рабочее место (кабинеты на проектную команду 3-6 человек);   офис в 12 мин. от м. Рязанский проспект, а с 2020г. в 3 мин от м. Окская.   ",Полная занятость,Гибкий график,От 1 года до 3 лет,|Java|PostgreSQL,3.0,92500.0,1.0,45000.0,java разработчик,"Java SE (желательно знакомство с Code Conventions for the Java). SQL, в частности желателен опыт работы с PostgreSQL. ",Разработки программных модулей КИС. Интеграции КИС с внешними системами. Интеграции с существующей Информационной Системой.,0.06666666666666667,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Москва,Кадровое агентство Инны Стасилович,2019-12-06T12:27:12+0300," В компанию-разработчик программного обеспечения требуется разработчик JavaScript.  Это отличный шанс для начинающих специалистов! Приглашаем выпускников или студентов последнего курса.    Основным продуктом является полнофункциональное многокомпонентное решение, обеспечивающее автоматизацию деятельности банков любого масштаба, охватывающее все направления банковской деятельности.   Компания занимается разработкой программного обеспечения под любые задачи бизнеса.    Обязанности:    Разработка Информационных систем:     Автоматизированная банковская система   Корпоративные порталы   Системы электронного документооборота.      Требования:      Высшее техническое образование или студент последнего курса с возможностью работать полный день;   Базовые знания JavaScript;   Опыт работы приветствуется, но не обязателен;   Опыт самостоятельной разработки на на JavaScript;   Коммуникабельность, ответственность, организованность.      Условия:      График 5/2 с 9 до 18   Оформление по ТК РФ;   Испытательный срок 3 месяца;   Заработная плата: оклад 45 000 руб. gross;   Офис: м. Свиблово 10-15 минут пешком.   ",Полная занятость,Полный день,Нет опыта,|JavaScript|Автоматизация|Автоматизация документооборота,,45000.0,,45000.0,разработчик javasсript,"Высшее техническое образование или студент последнего курса с возможностью работать полный день. Базовые знания JavaScript. Опыт работы приветствуется, но не...",Автоматизированная банковская система. Корпоративные порталы. Системы электронного документооборота.,0.23333333333333334,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
Москва,ТОП КЕЙС,2019-11-29T09:32:23+0300,"  Обязанности:        Разработка на платформе Java, в том числе веб-решений, сервисов, тестов.        Требования:      Опыт разработки комплексных информационных систем на платформе Java;   Понимание архитектуры web проектов;   Знание Spring, WS, REST, JDBC, Javascript, Maven, Git;   Знание и понимание принципов работы SQL, NOSQL БД, микросервисной архитектуры, continuous delivery, паттернов разработки ПО;   Опыт разработки высоконагруженных многопоточных приложений;   Опыт разработки кластеризуемых систем;   Опыт работы с очередями;   Опыт работы с SQL, NOSQL БД;   Высшее образование;   Желание и умение работать в команде.      Условия:        Официальное трудоустройство по ТК РФ;     Гибкий график работы 5/2;     Высокий уровень дохода (по итогам собеседования) + бонусная составляющая;       Корпоративное питание; ДМС после прохождения испытательного срока;       Возможность карьерного и профессионального роста;       Профессиональный, целеустремленный коллектив единомышленников и друзей;       Офис в самом центре Москвы (шаговая доступность от ст.м. Чеховская/Тверская/ Пушкинская).     ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,92500.0,1.0,45000.0,java разработчик java разработчик,"Опыт разработки комплексных информационных систем на платформе Java. Понимание архитектуры web проектов. Знание Spring, WS, REST, JDBC, Javascript, Maven, Git. ","Разработка на платформе Java, в том числе веб-решений, сервисов, тестов.",0.4666666666666667,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Luxoft,2019-11-29T15:59:46+0300,"  Описание проекта:    Мы создаем нефтегазовую систему для сбора данных со всех устройств на местах, их хранения, синхронизации с различными системами, анализа данных, отчетов и пользовательского интерфейса для системы.   Наш клиент - одна из крупнейших в мире компаний по обслуживанию нефтяных месторождений. Работая в более чем 100 странах, она предоставляет различные виды услуг для нефтегазовой отрасли, включая цифровые решения.    Задачи:    Разработка веб-части облачных приложений. Приложение управляет данными в режиме реального времени в соответствии с концепциями IoT. Оно включает в себя сбор данных, сохранение их в различных соответствующих базах данных, манипулирование для целей науки о данных, аналитики и отчетности;   Основные обязанности:   • фронтэнд разработка;   • участие в планировании и реализации спринтов развития;   • написание и поддержка масштабируемого производительного код, который может быть использован на разных платформах;    Мы ожидаем от кандидатов:    Языки: - JavaScript стандарта ES2015+, базовый опыт в типизации (мы используем PropTypes). Фреймворки: React + Redux. - HTML5: в первую очередь использование подходящих по семантике элементов, а затем только переход на div&#39;ы. - CSS3: умение верстать адаптивно.    Будет плюсом:     Платформы: PaaS (Cloud Foundry). Технологии, стандарты, подходы: JWT, REST. Saga для асинхронных запросов. Сборка: WebPack. Сервер: Node.js. Тестирование: Jest    Languages:      English: Elementary   ",Полная занятость,Полный день,Нет опыта,|JavaScript|HTML5|CSS3|Node.js|MS Project Expert,,92500.0,,45000.0,java sсript разработчик,"JavaScript стандарта ES2015+, базовый опыт в типизации (мы используем PropTypes). - CSS3: умение верстать адаптивно. Будет плюсом: Технологии...","Описание проекта: Мы создаем нефтегазовую систему для сбора данных со всех устройств на местах, их хранения, синхронизации с различными системами...",0.4666666666666667,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
