city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,javascript,node.js,git,css,typescript,angularjs,postgresql,html5,linux,golang,other
Москва,Национальный туроператор Алеан,2019-11-15T18:41:46+0300,"  Национальный туроператор Алеан по праву считается лидером среди компаний, организующих отдых на курортах РФ     Ежегодно по результатам различных рейтингов Алеан занимает верхние строчки предпочтений среди агентств и туристов. Компания гордится высоким репутационным индексом в СМИ и признана экспертом в области внутреннего туризма.         Обязательно:      Самое главное - желание изучать новое и улучшать имеющееся   Вы, как минимум, лояльно относитесь к TypeScript   У вас есть опыт разработки с применением любой библиотеки/фреймворка для написания сервисов; например Express, а лучше Koa   Базовое понимание работы СУБД          Будет плюсом:      Хороший опыт работы с хотя бы одном из компилируемых языков с сильной типизацией   Опыт работы с TypeScript   Опыт создания приложений с микросервисной архитектурой   Опыт написания юнит-тестов, интеграционных тестов   Опыт взаимодействия с Redis (напрямую, через хранимые процедуры)   Опыт взаимодействия с RabbitMQ   Опыт взаимодействия с docker (создания образов, развёртывания, оркестрации)   Опыт взаимодействия с БД логирования   Опыт написания bash-скриптов   Опыт работы с git   Вы дружите как с Windows так и с Linux   Опыт ведения задач в системах управления проектами      Чем предстоит заниматься:      Создание многоцелевых веб-сервисов, обслуживающих задачи в сфере туризма в целом и в автоматизации отелей в частности.      Стек технологий:      Вся кодовая база на TypeScript   NodeJS под большинство сервисов   PostgreSQL+Redis   Vue в качестве основы фронтенда   Webpack для сборки и компоновки   Docker в dev-окружении   Gitlab как CI/CD, хранилище и площадка для обсуждений      Условия:      Интересная работа в дружном коллективе с возможностью профессионального роста и развития;   Соблюдение ТК РФ   Офис м. Динамо или м. Белорусская (10 мин. пешком)   График работы: пн.-пт. 8 часовой рабочий день, гибкий график работы   Возможность полностью удаленной работы   Скидка на собственный турпродукт      Мы не предлагаем тестовое задание, но все же мы должны дать предварительную оценку по каким-либо примерам ваших работ.     Лучший пример, который мы можем ожидать от Вас – это открытый код (например, на GitHub). Это может быть ваш личный открытый репозиторий, ваши пул-реквесты в OpenSource проекты, другая активность в OpenSource-сообществе.      ",Полная занятость,Полный день,От 1 года до 3 лет,|JavaScript|TypeScript|Node.js|Koa|Linux|Redis|Git|PostgreSQL|docker|webpack,3.0,187497.03703703702,1.0,136666.66666666663,разработчик node.js,"Самое главное - желание изучать новое и улучшать имеющееся. Вы, как минимум, лояльно относитесь к TypeScript. У вас есть опыт разработки...","Создание многоцелевых веб-сервисов, обслуживающих задачи в сфере туризма в целом и в автоматизации отелей в частности. Вся кодовая база...",0.9333333333333333,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1
Москва,DigitalHR,2019-12-02T15:31:51+0300," Компания разрабатывает программно-аппаратный комплекс для проведения медицинских осмотров водителей. Сейчас мы ищем Middle Node.js разработчика, который будет работать над как с существующей системой, так и будет заниматься написанием новой серверной части. При необходимости возможна работа с клиентской частью.   Требования:     Back-end опыт 1,5-2-х лет.   Знание Vanilla.js, Node.js, postgres, Redis, Javascript (ES6) и выше.   Понимание принципов клиент-серверной архитектуры, REST, API, PL/pgsql, СКВ (git), *NIX систем.   Умение работать с front-частью.   Знание Vue.js 2.0, socket.io как плюс.     Условия:     Участие в разработке интересного продукта, непосредственное влияние на бизнес-результат.   Прекрасные возможности для роста и профессионального развития.   Официальное оформление по ТК РФ, достойный фиксированный оклад - обсуждается индивидуально с каждым кандидатом.   Уютный и просторный офис в 7 минутах от м. Марьина Роща/м. Савеловская.   ",Полная занятость,Полный день,От 1 года до 3 лет,|JavaScript|Node.js|PostgreSQL|Git,3.0,187497.03703703702,1.0,136666.66666666663,middle node.js разработчик,"Back-end опыт 1,5-2-х лет. Знание Vanilla.js, Node.js, postgres, Redis, Javascript (ES6) и выше. ","Участие в разработке интересного продукта, непосредственное влияние на бизнес-результат.",0.36666666666666664,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1
Москва,goods,2019-12-04T13:20:32+0300," Мы Goods.ru — e-commerce нового типа. Входим в группу наряду с такими компаниями, как &quot;М.Видео&quot; и &quot;Эльдорадо&quot; (топ-10 крупнейших ритейлеров в мире в своем сегменте).   Нам больше трёх лет, и наш продукт уже генерит трафик более 4 млн. уникальных посещений в месяц. Наше принципиальное отличие от конкурентов в том, что мы максимально упрощаем жизнь клиентам: контролируем весь процесс от заказа до доставки, отвечаем за действия продавцов и защищаем интересы покупателя.   На сегодняшний день нас больше 300 человек и одно из самых больших IT-подразделений, в котором успешно трудятся разработчики, архитекторы, devOps, админы, продакт-менеджеры, тестировщики и т.д.    Для усиления команды мы запускаем школу Go - разработки для наших сотрудников, в также открываем набор кандидатов с опытом в backend разработке, желающих освоить/перейти на современный технологический стек.     Что предстоит делать:        Разрабатывать API для сервисов goods.ru;       Разрабатывать с нуля высоконагруженные сервисы;       Разрабатывать сопутствующие микросервисы для поддержания и развития бизнеса.        Что для этого нужно:      Опыт разработки от 2-х лет (готовы рассмотреть backend разработчиков, желающих получить опыт на Go);   Понимать, как устроен HTTP;   Понимать Linux на уровне пользователя;   Способность разобраться в современных архитектурных паттернах;   Ответственно относиться к работе, не бояться предлагать решения, хотеть работать в команде и развиваться;   Не стесняться/ быть способным предлагать новые инструменты и технологии.      Что вам будет интересно:        Возможность научиться разрабатывать приложения на востребованном языке Go;       Отсутствие legacy, так как все проекты &quot;молодые&quot;;       Поработать в развивающихся проектах с внедрением новых технологий, с поддержкой микросервисной архитектуры;     Применить свою экспертизу в нескольких технологических стеках.      + несколько причин работать с нами  :      Только собственные продукты. Возможности сделать с &quot;0&quot; так как правильно;   Идеальные условия для всестороннего развития и воплощения идей;   Современные технологии и подходы: можно и нужно пробовать новое;   Работаем в классном офисе, сделанном в дизайне Космического корабля (Бауманская/Красносельская/Комсомольская);   Комфортные рабочие места, оборудованные лучшей техникой;   Мы уже сформировали сплоченную команду профессионалов и активно ее пополняем;   Забота о сотрудниках: ДМС (со стоматологией и массажем), оплата профессиональных курсов и конференций, страхование жизни (для себя/родственника), обучение английскому языку, годовой абонемент в фитнес-клубах;   Дресс-код: отсутствует;   У нас конкурентоспособная заработная плата, обсуждается по итогам интервью. Всё белое;   Интересная внерабочая жизнь: совместное участие в «Гонке героев», турпоходы, совместные игры в футбол и волейбол, просмотр фильмов и настолки в офисе.   ",Полная занятость,Полный день,От 3 до 6 лет,|Golang|API|PHP|Node.js|Java|C/C++|Python|C#,6.0,187497.03703703702,3.0,136666.66666666663,node.js go разработчик,"Опыт разработки от 2-х лет (готовы рассмотреть backend разработчиков, желающих получить опыт на Go). Понимать, как устроен HTTP. ",Разрабатывать API для сервисов goods.ru. Разрабатывать с нуля высоконагруженные сервисы. Разрабатывать сопутствующие микросервисы для поддержания и развития бизнеса.,0.3,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Москва,RedStone Capital,2019-11-21T13:11:31+0300," Привет! Мы - команда продукта  GetMark , решения для маркировки и отслеживания движения товаров от производителя до конечного покупателя в рамках нового закона ФЗ-487.   Решение поможет предпринимателям и компаниям соответствовать всем требования нового закона, сделав сложные и разрозненные процессы простыми.   Если ты - активный Node.js разработчик с интересом к языку Go (опыт в Golang приветствуется, но не обязателен - достаточно желания учиться), желающий работать в  атмосфере стартапа , но при этом с официальным оформлением  по ТК  и стабильным финансированием, эта вакансия для тебя.   Приходи в наш офис у м. Ул. 1905 года пообщаться с командой и обсудить тот важный вклад, который ты можешь сделать в продукт, чтобы помочь сотням и тысячам компаний.   Сейчас наша продуктовая команда активно развивает MVP: бизнес-процессы проработаны, UI расписан, фронтенд и приложения в разработке. То есть отвлекаться на посторонние задачи, как приходится делать во многих стартапах, тебе не понадобится.   При этом, в отличие от крупных проектов, твой личный вклад будет очень видим и важен.    Чем тебе предстоит заниматься:        Разрабатывать бэкенд нашей системы (микросервисы без фанатизма)       Разрабатывать API для связи бэкенда с фронтендом и моб. приложениями       Работать с API внешних систем        Что от тебя потребуется:        Писать понятный и поддерживаемый код, предлагать и реализовывать идеи по его улучшению       Уверенное знание Node.js       Желание изучать язык Go (golang) и в дальнейшем использовать в проде       Желание изучать и использовать микросервисные архитектуры и основы DevOps       Опыт работы со внешними API       Знакомство с очередями (RabbitMQ и/или Kafka)       Опыт работы с базами данных (MongoDB, приветствуются MySQL, Redis и др.)       Базовый опыт работы с git        Плюсы в карму за навыки:        Опыт работы с относительно высокими нагрузками       Опыт работы с Golang       Опыт работы с микросервисными архитектурами       Опыт создания собственных API       Опыт работы с Typescript       Опыт поиска узких мест и оптимизации кода        Условия:        Start-up в рамках инвестиционного холдинга       Хорошая атмосфера в компании, адекватное руководство, дружная команда, отсутствие бюрократии и дресс-кода, возможности для реализации твоих идей       Офис в центре Москвы, ст. м. Улица 1905 года       Гибкий режим работы       Оформление по ТК РФ (зарплата целиком белая), испытательный срок 3 месяца     ",Полная занятость,Полный день,От 3 до 6 лет,|JavaScript|Node.js|Typescript|Golang|Go|API|MongoDB|Git,6.0,187497.03703703702,3.0,150000.0,middle node.js разработчик,"Писать понятный и поддерживаемый код, предлагать и реализовывать идеи по его улучшению. Уверенное знание Node.js. Желание изучать язык Go (golang...",Разрабатывать бэкенд нашей системы (микросервисы без фанатизма). Разрабатывать API для связи бэкенда с фронтендом и моб. приложениями. Работать с API...,0.7333333333333333,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
Москва,RedStone Capital,2019-11-21T20:04:44+0300,"  Разработчик Node.js с интересом к языку Go    Привет! Мы - команда продукта  GetMark , решения для маркировки и отслеживания движения товаров от производителя до конечного покупателя в рамках нового закона ФЗ-487.   Решение поможет предпринимателям и компаниям соответствовать всем требования нового закона, сделав сложные и разрозненные процессы простыми.   Если ты - активный разработчик на Node.js с интересом к языку Go (опыт в Golang приветствуется, но не обязателен - достаточно желания учиться), желающий работать в  атмосфере стартапа , но при этом с официальным оформлением  по ТК  и стабильным финансированием, эта вакансия для тебя.   Приходи в наш офис у м. Ул. 1905 года пообщаться с командой и обсудить тот важный вклад, который ты можешь сделать в продукт, чтобы помочь сотням и тысячам компаний.   Сейчас наша продуктовая команда активно развивает MVP: бизнес-процессы проработаны, UI расписан, фронтенд и приложения в разработке. То есть отвлекаться на посторонние задачи, как приходится делать во многих стартапах, тебе не понадобится.   При этом, в отличие от крупных проектов, твой личный вклад будет очень видим и важен.    Чем тебе предстоит заниматься:        Участвовать в разработке бэкенда нашей системы       Работать с внутренними и внешними API        Что от тебя потребуется:        Писать понятный и поддерживаемый код, предлагать и реализовывать идеи по его улучшению       Уверенное знание Node.js       Опыт работы с API       Опыт работы с базами данных (MongoDB, приветствуются MySQL, Redis и др.)       Базовый опыт работы с git       Желание изучать язык Go (golang) и в дальнейшем использовать в проде       Желание изучать и использовать микросервисные архитектуры и основы DevOps       Желание изучать работу с очередями (RabbitMQ и/или Kafka)        Плюсы в карму за навыки (требованием не является!):        Опыт работы с относительно высокими нагрузками       Опыт работы с Golang       Опыт работы с микросервисными архитектурами       Опыт создания собственных API       Опыт работы с Typescript       Опыт поиска узких мест и оптимизации кода        Условия:        Start-up в рамках инвестиционного холдинга       Хорошая атмосфера в компании, адекватное руководство, дружная команда, отсутствие бюрократии и дресс-кода, возможности для реализации твоих идей       Офис в центре Москвы, ст. м. Улица 1905 года       Гибкий режим работы       Оформление по ТК РФ (зарплата целиком белая), испытательный срок 3 месяца     ",Полная занятость,Полный день,От 1 года до 3 лет,|JavaScript|Node.js|Typescript|Golang|Go|API|MongoDB|Git,3.0,187497.03703703702,1.0,100000.0,разработчик node.js,"Писать понятный и поддерживаемый код, предлагать и реализовывать идеи по его улучшению. Уверенное знание Node.js. Опыт работы с API. ",Участвовать в разработке бэкенда нашей системы. Работать с внутренними и внешними API.,0.7333333333333333,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
Москва,DEFA,2019-12-11T12:55:51+0300,"  .defa  — веб-интегратор полного технологического цикла, входящий в список 5 лучших веб-разработчиков России. Мы создали компанию в 2000 году и прошли путь от креативной веб-студии до авторитетного разработчика сложных корпоративных сервисов и веб-приложений.    Обязанности:      Реализация проектов по заказу крупнейших российских и международных компаний (kia.ru, renault.ru, sberbank.ru, raiffeisen.ru, vnukovo.ru);   Разработка нового и модификация старого функционала;   Документирование разработки;   Интеграция с внешними системами (API).      Требования:      Опыт разработки и поддержки Single Page Application (SPA)-приложений;   Опыт разработки на NodeJs;   Опыт разработки на VueJS и TypeScript;   Опыт работы со «сборщиками» WebPack, Gulp;   Опыт кроссбраузерной адаптивной верстки «с нуля»;   Опыт работы REST API и Swagger;   Опыт работы с системами контроля версий (GIT);   Опыт работы с Docker;   Хорошие знания Unix / Linuх.      Что мы используем в работе:      Базы данных: MySQL;   Серверная часть (backend): php;   Framework: Symfony, Laravel, yii2;   Клиентская часть (frontend): javascript, vue.js, node.js;   Поиск / статистика / журналирование: Elasticsearch;   Документирование программного кода: Swagger;   Система кеширования: Redis, Memcached;   Система управления репозиториями кода: Gitlab;   Координация и управления сервисами (система оркестрации): Kubernetes, docker;   Системы очередей не указаны: RabbitMq/Kafka;   Веб сервер: Nginx;   Операционная система: CentOS / Debian;   Мониторинг: Prometheus / Zabbix + Grafana.      Условия:      Конкурентная заработная плата (обсуждается индивидуально на собеседовании);   Возможность обучения и развития в компании;   Дружный и отзывчивый, профессиональный молодой коллектив;   Просторный и уютный офис в центре с зонами релакса, кухней;   Плавающий график (утро начинается с 8-11);   Оформление по ТК, полностью белое оформление   ",Полная занятость,Полный день,От 3 до 6 лет,|Git|Docker|Kubernetes|k8s|Elasticsearch|Redis|Node.js|REST|Vue.js|TypeScript,6.0,187497.03703703702,3.0,160000.0,vue.js разработчик,Опыт разработки и поддержки Single Page Application (SPA)-приложений. Опыт разработки на NodeJs. Опыт разработки на VueJS и TypeScript. ,"Реализация проектов по заказу крупнейших российских и международных компаний (kia.ru, renault.ru, sberbank.ru, raiffeisen.ru, vnukovo.ru). Разработка нового и модификация старого функционала. ",0.06666666666666667,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
Санкт-Петербург,ТаймВэб,2019-12-13T12:26:03+0300," Мы занимаемся  хостингом . Сейчас у нас более 150 000 активных пользователей, примерно каждый десятый сайт в рунете размещается у нас.   Наши основные программные продукты: панели управления хостингом, выделенными серверами и VDS, регистрации доменов и заказа SSL, внутренняя CRM, почтовый сервис.   Клиенты  Timeweb  считают панель управления одной из самых удобных на рынке, но мы не останавливаемся в её развитии, и поэтому ищем  Fullstack   программиста РНР/JS.         Как мы работаем:        Пишем добротный код на PHP 7.3 / JS ES6       Используем Yii 2 и Backbone/Marionette       Развиваем сервис-ориентированную архитектуру, общаемся по REST API       Покрываем код тестами при помощи Codeception и Jest       Применяем Code Review и работаем по Git Flow       Для автоматизации цепочки CI/CD по полной используем GitLab       В разработке активно используем Docker и Kubernetes       SCRUM, спринт — 1 неделя       Проводим совместное техническое проектирование и планирование задач спринта        Задачи для вас:        Участие в развитии существующих продуктов       Разработка новых продуктов       Взаимодействие с сервисной инфраструктурой       Разработка сервисов и API       Построение и улучшение архитектуры системы       Анализ требований, проектирование решений, оценка технических задач        Мы ждем от вас:        Знание и опыт PHP 7+, JS ES2015+       Уверенные знания любого из основных PHP-фреймворков       Общие представления о JS-фреймворках и библиотеках       Опыт использования MySQL / PostgreSQL / Redis / RabbitMQ       Знание основных принципов API (REST API, JSON API, SOAP)       Чистый код, уважение к TDD       Опыт enterprise/продуктовой разработки       Умение работать в команде, делиться своим мнением и прислушиваться к мнению других        У нас вы сможете получить знания и навыки:        использования и разработки сложной архитектуры корпоративных приложений;       совместного эффективного поиска оптимального решения;       построения процессов разработки;       применения Docker и Kubernetes;       автоматизации GitLab CI/CD;       fullstack-разработки на PHP, Go, Python, Javascript       а также удовольствие от работы в сильной самостоятельной команде.            Также мы предлагаем:      Гибкое начало рабочего дня;   Официальное трудоустройство и белую заработную плату.     Мы всячески приветствуем  Здоровый образ жизни  и предоставим Вам: оплачиваемые обеды; компенсацию Ваших спортивных занятий; ДМС; уютную кухню с вкусными сортами чая и ароматным кофе, молоком и фруктами; комнату отдыха с настольным теннисом и турником. ",Полная занятость,Гибкий график,От 1 года до 3 лет,|PHP|MySQL|Linux|JavaScript|CSS|Backbone,3.0,180000.0,1.0,70000.0,разработчик php js,"Знание и опыт PHP 7+, JS ES2015+. Уверенные знания любого из основных PHP-фреймворков. Общие представления о...",Пишем добротный код на PHP 7.3 / JS ES6. Используем Yii 2 и Backbone/Marionette. Развиваем сервис-ориентированную архитектуру...,0.0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
Санкт-Петербург,АванПост,2019-12-02T15:04:15+0300," Выполняем весь цикл работ от разработки и производства оборудования до разработки и сопровождения облачного программного обеспечения.   Приглашаем к нам в команду  JS разработчика  для работы над уникальным технически сложным продуктом облачного сервис.  В связи с развитием проекта, мы расширяем коллектив специалистом по  React JS.  Пространство для реализации своего потенциала и получения опыта — не ограничено.    Задачи:  разработка frontend-части проекта, кроссбраузерная и адаптивная верстка, написание простых и сложных компонентов React.js    Ты нам подходишь, если у тебя есть:        Опыт Front-end разработки;       Уверенные знания React;       Уверенные знания JavaScript (es5, es6 и выше);       Уверенные знания HTML, CSS и т.д.;       Опыт разработки js-приложений, опыт работы с GIT;       Умение разбираться в чужом коде.        Что мы тебе предлагаем:        Работа в крупной динамично развивающейся компании!       Современный комфортабельный офис.       График работы 5/2, возможность гибкого начала рабочего дня с 8:00 до 11:00.       Интересные и разнообразные проекты, современные технологии.       Работа в команде высококвалифицированных специалистов.       Достойный уровень заработной платы.       Официальное оформление, оплачиваемый отпуск, больничный.     ",Полная занятость,Полный день,От 1 года до 3 лет,|JavaScript|Git|jQuery|HTML|CSS|reacte,3.0,180000.0,1.0,70000.0,js разработчик,"Опыт Front-end разработки. Уверенные знания React. Уверенные знания JavaScript (es5, es6 и выше). Уверенные знания HTML, CSS...",Выполняем весь цикл работ от разработки и производства оборудования до разработки и сопровождения облачного программного обеспечения. Задачи: разработка frontend-части...,0.36666666666666664,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
Екатеринбург,Тензор,2019-12-02T08:25:29+0300," Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе.   Систему СБИС придумали, создали и постоянно совершенствуют почти 1500 разработчиков в 11 филиалах по стране. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных.   Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах.   Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России.    Что нужно уметь:      знать javascript, желательно иметь в багаже работы, которыми не стыдно похвастаться;   иметь навык работы с фреймворками: jQuery, Ext JS и logic-less шаблонизаторами;   уметь читать чужой код;   отлаживать и тестировать собственный код;   придерживаться принятого стиля компании.      Будет преимуществом, если:      знаете SQL;   знаете Python или другой язык (С++, C#, Java, Delphi);   есть опыт работы в команде;   готовы экспериментировать и изучать новое;   считаете себя мастерским переговорщиком и решателем сложных задач.      Мы готовы предложить:      заработная плата в зависимости от квалификации и уровня ответственности;   оформление по ТК РФ, белая заработная плата на банковскую карту 2 раза в месяц;   премии от 5 до 20% по итогам работы за месяц;   социальные гарантии;   приятные вне офисные плюшки: спорт и развлечения.   ",Полная занятость,Гибкий график,От 1 года до 3 лет,|JavaScript|HTML|CSS|PostgreSQL,3.0,120000.0,1.0,75000.0,разработчик js,"Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. ",Придерживаться принятого стиля компании.,0.36666666666666664,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Екатеринбург,DriverPack Solution,2019-12-02T13:12:15+0300," Привет! Меня зовут Артур Кузяков. Я фаундер компании DriverPack — это самое знаменитое приложение для настройки компьютеров в один клик. 60млн+ юзеров, используют DriverPack.   Но… драйверы это скучно... Поэтому сегодня я собираю команду под новый, уникальный продукт для европейского рынка. Расскажу подробнее, когда придешь на собеседование! :-)    Кого ищу?  Fullstack разработчиков на NodeJS, React, Vue.    Почему работать в   DriverPack  —  круто:      У нас много классных задач, выполняя которые ты будешь расти, они тебя будут челенджить постоянно.   У нас не получится «кодить ради кода», придётся постоянно думать головой, что реально ты делаешь и зачем.   Мы всё время думаем, как &quot;хакнуть систему&quot;, чтобы достичь того же результата, но сильно быстрее?   У нас принято, чтобы разработчики влияли на то, в какую сторону будет развиваться продукт. А для этого поэтому, например, у нас все разработчики шарят в продуктовых метриках, маркетинге, аналитике и всяких таких штуках. Мы и тебя научим.      1. Наши разработчики влияют на наш продукт.    Каждой задаче мы задаем вопросы:     Понимаю ли я зачем мы делаем задачу?   Согласен ли я что нужно ее делать?   Есть ли другие решения задачи?     Не делаем, если сомневаемся. Делаем только самое важное. Выкидываем «улучшательства», если их сложно делать.    2. Задачи описаны четко и понятно.    Устал от однострочных описаний “сделай по макету”? В DriverPack такого нет.   Каждая задача описывает проблему. После этого:     Обсуждаем командой программистов и вырабатываем решение и оценку.   Задача не попадает в разработку, пока не понятно как ее делать.      3. Мы на острие технологий:      Наш стек: Node.JS, React, Babel, Vue, Redux, Gulp, Koa.js, NW.js, ElectronJS, Webpack, ES6   Базы данных: MongoDB, SQLite, PostgreSQL, MySQL, Redis, Memcached   Серверные технологии: Docker, Ansible, Kuberhetes, HAProxy, Zabbix, Sentry, Jenkins, nagios, CDN, Nginx, Apache   WebTorrent для уменьшения нагрузки на CDN и повышения отказаустоичивости   Продуктовые методологии и подходы: AARRR, ARPU, ARPPU, Retention, LTV, CPA, StoryMapping, DesignThinking, HADI, JTBD, User Stories, CJM (Customer Journey Map)   Можно перечислить ещё много разных штук, которые показывают, что мы крутые… но думаю, что этого пока хватит :-)      4. Мы за простые решения:      Упрощать здорово.   Усложняй, только если это оправданно.   Используй сторонние решения. Не пиши велосипеды.   Не делай лишнего. Сделай простой работающий скелет. Сделай его хорошо.      Почему, работа в DriverPack, тебе может не подойти:      Если ты часто употребляешь фразы «Это нереализуемо» или «Это невозможно».   Не бросаемся использовать новые хайповые технологии. Потому что для нас программирование это всего лишь один из инструментов, при помощи которого мы создаём самые лучшие продукты.   Ты не переносишь Legacy код. Проекту, всё таки, 10 лет ;) Есть legacy части, которые нет смысла и желания переписывать.   Ты перфекционист и делаешь идеальные решения долго и упорно.      Что дальше:      Откликайся на вакансию в HH   Заполни тестовое задание   Если ок, то пообщаемся лично       ",Полная занятость,Полный день,Более 6 лет,,,300000.0,6.0,75000.0,senior nodejs разработчик москва,"Не делай лишнего. Сделай простой работающий скелет. Сделай его хорошо. Ты не переносишь Legacy код. Проекту, всё таки, 10 лет...",Каждая задача описывает проблему. После этого: Обсуждаем командой программистов и вырабатываем решение и оценку. WebTorrent для уменьшения нагрузки на CDN...,0.36666666666666664,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
