city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,грамотная речь,английский язык,работа в команде,управление проектами,пользователь пк,информационные технологии,грамотность,работа с большим объемом информации,обучение и развитие,деловая переписка,other
Москва,ФГБОУ ВО Московский Государственный Юридический Университет Имени О.Е.Кутафина (МГЮА),2019-12-13T16:51:39+0300,  Обязанности:    Управление:    -  качеством информационных ресурсов;   - информационно-технической инфраструктурой;   - расходами на информационно-техническую базу;   - изменениями информационно-технических ресурсов;   - отношениями с поставщиками и потребителями информационно-технических ресурсов;   - информационной безопасностью информационно-технических ресурсов.        Требования:    Высшее профессиональное (техническое или инженерно-экономическое) образование и стаж работы на руководящих должностях в области информационных технологий не менее 5 лет.    Условия:      График работы 5/2   Полный рабочий день   На территории работодателя   ,Полная занятость,Полный день,От 3 до 6 лет,|Информационные технологии|Организаторские навыки|Управленческие навыки,6.0,200000.0,3.0,190000.0,директор центра информационных ресурсов и технологий,Высшее профессиональное (техническое или инженерно-экономическое) образование и стаж работы на руководящих должностях в области информационных технологий не менее 5...,Управление: - качеством информационных ресурсов. - информационно-технической инфраструктурой. - расходами на информационно-техническую базу. - изменениями информационно-технических ресурсов. - отношениями с поставщиками и...,0.0,3,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Москва,Суперглов,2019-11-25T19:42:34+0300," Компания создана для продаж в B2B сектор через интернет (интернет магазин для дилеров). И ищет специалиста, имеющего опыт реализации проектов в сети с нуля. Желательно на стыке оптовой торговли и продаж через интернет. Расчетный срок запуска 6 месяцев, выход на целевой оборот 12-18 месяцев. Компания гарантирует минимум бюрократии и систему мотивации от фактического результата. Доход строится из оклада и доли в прибыли компании без ограничения по потолку.        Обязанности:      Построение с нуля механизма интернет-продаж товаров дилерам, региональным дистрибьюторам.   Запуск, настройка интернет-магазина B2B, включающего Личный кабинет клиента и все сопутствующие сервисы.   Использование современных инструментов, позволяющих максимально автоматизировать продажи и обслуживание клиентов и сократить затраты на ФОТ.   Интеграция сайта и склада с 1С, полностью прозрачные движения денег по счетам, автоматическое общение сайта с банками и платежными системами и др.   Разработка программы лояльности, направленной на долгосрочную привязку клиента к сервису компании.   Организация своими руками полного цикла продаж: от закупки товаров на свой склад до поставки мелкооптовых партий клиентам или до склада транспортной компании в их регионе.   Организация складских и транспортных операций.      Требования:        Знание и опыт продаж через интернет.       Опыт построение и отладки бизнес-процессов.       Аналитический склад ума, системность, дисциплинированность.       Предпринимательский подход к работе.       Отсутствие страха перед любыми трудностями, в том числе рутинного характера.     Опыт управления малым/средним бизнесом или подразделением в крупной компании.      Предпочтения:        Опыт автоматизации продаж или производства.       Опыт построения клиентского сервиса высокого уровня.       Видение целостной картины бизнеса, четкое, обоснованное видение перспектив на 1-2 года вперед.       Опыт переговоров с первыми лицами и построения интернет-проектов с нуля.       Понимание технологии продвижения услуг и товаров, построения уникального   предложения для клиентов.        Условия:        Трудоустройство с первого дня;       Будни, с 9 до 18:00, возможны переработки в периоды запуска и повышенного спроса;       Оклад + процент от прибыли (обсуждается с успешным кандидатом);       Офис и склад находятся в одном здании, в 10 минутах на маршрутке от м. Домодедовская.       Высокая степень самостоятельности. Подчинение собственнику.     ",Полная занятость,Полный день,От 3 до 6 лет,|Продажи через интернет|Управление интернет-проектами|Управление отношениями с клиентами|1С: Управление предприятием|B2B Продажи|Управление малым и средним бизнесом,6.0,400000.0,3.0,100000.0,исполнительный директор,"Знание и опыт продаж через интернет. Опыт построение и отладки бизнес-процессов. Аналитический склад ума, системность, дисциплинированность. Предпринимательский подход к...","Построение с нуля механизма интернет-продаж товаров дилерам, региональным дистрибьюторам. Запуск, настройка интернет-магазина B2B, включающего Личныи...",0.6,1,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Сбербанк,2019-11-22T14:28:26+0300," Добрый день!   Компания «Сбербанк», блок Технологии сейчас в поисках специалиста на позицию  Product Owner&#39;a.    Мы ищем опытного менеджера продукта с глубокой технической экспертизой в кластер продуктов для разработчиков департамента SberDevices.   У вас есть шанс поучаствовать в создании новых продуктов, основанных на голосовых технологиях, обработке естественного языка и машинном обучении.    Какие задачи необходимо будет реализовывать:      Планировать развитие продукта для разработчиков (vision/roadmap/marketing);   Определять и валидировать гипотезы;   Формировать и актуализировать бэклог продукта;   Постоянное взаимодействовать с командой разработки, контролировать сроки и качество реализации задач;      Мы хотим видеть в кандидате:      Опыт управления техническим продуктом или проектом – от двух лет;   Опыт работы программистом от 1 года;   Опыт работы с классическими IDE, системами контроля версий, развёртывания и другими инструментами разработки;   Понимание основ машинного обучения;   Приветствуется опыт мобильной разработки или управления разработкой под мобильные платформы.      Мы ценим своих сотрудников и предлагаем:      Обучение в корпоративном университете;   Возможность посещения (как в качестве слушателя, так и в качестве выступающего) всероссийских и международных IT-конференций;   ДМС для сотрудников и скидки на медицинскую страховку для родственников;   Работа в команде профессионалов, возможность разрабатывать уникальные и крупные проекты масштаба нашей страны;   Большой и комфортный офис со спортзалом, библиотекой, столами для пинг-понга, кафе для сотрудников;   Широкий спектр дисконт–программ, скидок и привилегий от компаний-партнеров;   Льготное кредитование в Сбербанке – возможность пользоваться премиальными продуктами Банка на специальных условиях.   ",Полная занятость,Полный день,От 3 до 6 лет,|Опыт в IT,6.0,124128.20512820511,3.0,75757.84313725491,produсt owner,Опыт управления техническим продуктом или проектом – от двух лет. Опыт работы программистом от 1 года. Опыт работы с классическими IDE...,Планировать развитие продукта для разработчиков (vision/roadmap/marketing). Определять и валидировать гипотезы. Формировать и актуализировать бэклог продукта. Постоянное взаимодействовать с...,0.7,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Лаборатория визуализации-Сфера,2019-12-11T13:28:49+0300," Наша компания предлагает новые решения для визуализации бизнес-информации промышленных и технологических объектов. Мы работаем на стыках множества самых современных и трендовых технологий, создавая серьезные бизнес-решения. Одно из наших направлений связано с разработкой решений на основе систем видеоаналитики.   Сейчас мы в поиске проактивного  Product owner , который сможет создать и развивать концепцию нашего решения.    Что предстоит делать:    — собирать и анализировать данные;   — формировать образ решения, продукта. Определять, какие продукты или свойства нужны в первую очередь, каким будет MVP;   — вместе с командой разработки формировать дорожную карту реализации проекта;   — формализовывать этапы разработки, вести бэклог;   — доносить решения для разработчиков и дизайнеров в виде user stories или описаний, ставить задачи и устанавливать приоритеты;   — отслеживать реализацию и помогать команде в процессе;   — взаимодействовать с заказчиками и формировать обратную связь в виде зафиксированных требований;   — устанавливать и отслеживать продуктовые метрики, собирать обратную связь о продукте.    Что мы ждем от тебя:      знание современных подходов к продуктовой аналитике;     — хороший кругозор, системное мышление;   — желание погружаться в технические и экономические аспекты продуктов;   — умение налаживать коммуникации с клиентами, экспертами, командой и руководством, быть эффективным посредником;   — общее представление о UX, желание создавать качественный продукт, включая дизайн.    Плюсом будет:    — экспертиза в CV, ML или видеонаблюдении;   — инженерный бэкграунд, опыт работы разработчиком или системным аналитиком;   — опыт проектирования интерфейсов;   — опыт запуска продукта или сервиса с нуля.    Мы предлагаем:      высокую заработную плату — по результатам собеседования;   трудоустройство согласно ТК РФ;   ДМС с первого рабочего дня (+ стоматология);   обучение, конференции за счет компании;   отличная возможность профессионального и карьерного роста;   работа в современном комфортабельном офисе (ст. м. «Парк Победы» 7-10 минут пешком);   график: 5/2 с 10.00 до 19.00.   ",Полная занятость,Полный день,Более 6 лет,|видеоаналитика|видеонаблюдение,,124128.20512820511,6.0,75757.84313725491,produсt owner,"собирать и анализировать данные. — формировать образ решения, продукта. Определять, какие продукты или свойства нужны в первую очередь, каким будет MVP. ","вместе с командой разработки формировать дорожную карту реализации проекта. — формализовывать этапы разработки, вести бэклог. — доносить решения для разработчиков и дизайнеров...",0.06666666666666667,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,МТС,2019-12-06T12:15:01+0300," Взаимодействие с правообладателями в части заключения и сопровождения контрактов на вещание Каналов в сетях группы МТС (Кабельное ТВ, Мобильное ТВ, Спутниковое ТВ, IP TV)    Функциональные обязанности:      Ежемесячный контроль корректности резервирования фактических расходов на ТВ контент в разрезе всех сред вещания с детализацией по телеканалам и правообладателям   Формирование выгрузок из системы Oracle B1 и R12, проведение анализа отклонения сформированных резервов и фактических расходов, учтенных в финансовой системе HFM   Формирование отчета с фактическими данными по расходам на ТВ контент в разрезе всех сред вещания с детализацией по телеканалам и правообладателям      Требование к кандидату:      Высшее образование   Продвинутый пользователь Excel   Умение работать в команде, ответственность, аккуратность в цифрах, внимательность, усидчивость, нацеленность на общий результат   Преимуществом будет являться опыт работы в телекоммуникационной или медийной сфере не менее 1 года      Условия :     Стабильная белая зарплата и годовой бонус по результатам работы.   ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж.   31 день отпуска.   Компенсация расходов на мобильную связь, корпоративное обучение.   Работа в команде профессионалов!   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,124128.20512820511,1.0,75757.84313725491,ведущий специалист по взаимодействию с правообладателями,"Высшее образование. Продвинутый пользователь Excel. Умение работать в команде, ответственность, аккуратность в цифрах, внимательность, усидчивость, нацеленность на общий результат. ",Ежемесячный контроль корректности резервирования фактических расходов на ТВ контент в разрезе всех сред вещания с детализацией по телеканалам и правообладателям. ,0.23333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Ключ к лояльности в ритейле Интернешнл (ООО КЛР),2019-12-12T18:53:07+0300," Международная компания KLR приглашает к сотрудничеству талантливого Маркетолога - менеджера по таргетированной рекламе Facebook, Instagram, VK, Одноклассники в проект frogogo.ru   KLR - маркетинговая компания, которая помогает ритейлирам увеличить количество покупателей с помощью программ лояльности: фишечные и купонные акции b2b    о проекте frogogo    Специализация: стимулирующие акции лояльности с механикой кэшбэка для любого рода бизнеса Основные продукты компании: сайт Frogogo и мобильные приложения       Задачи:       Настройка и оптимизация таргетированной рекламы по соц сетям: FB, Instagram, VK, Одноклассники   Эффективное использование рекламных бюджетов для привлечения трафика   Аналитика рекламных кампаний / источников / стратегий / оферов   Поддержание основных доходных показателей на высоком уровне ( ROI &gt; 100%)   Анализ эффективности креативов и их постоянное совершенствование и обновление   Подготовка креативов для рекламных кампаний с высоким CTR   Поиск новых источников трафика и тестирование гипотез   Оптимизация показателей   Составление аналитических отчётов по проделанной работе       Требования :      Практический опыт настройки таргетированной рекламы   Опыт длительной работы с большими рекламными бюджетами   Знание и понимание процессов рекламных кампаний в интернете   Опыт проведения большого количества a-b тестов   Быстрый анализ большого количества информации    Понимание зависимости коэффициента конверсии от рекламного текста, лендинга, оффера и т.д       Условия:       Хорошие премии и бонусы за позитивные результаты работы   Окончательный уровень оплаты обсуждается на собеседовании   Работа с большим бюджетом и возможность погрузиться глубоко в один проект   Полный рабочий день   Активное развитие и быстрый профессиональный рост, 50% оплата профильного обучения   В идеале ищем сотрудника в офис. Рассматриваем специалиста удаленно при условие соблюдения всех требований.     Если вы дочитали вакансию до конца, начните ваше сопроводительное письмо со слов:  «Я готов(а) добиваться 100% результата»,  так мы поймём, что вы внимательно прочли вакансию и это не &quot;спам&quot;-отклик, а значит, с вами стоит продолжить общение. ",Полная занятость,Полный день,От 1 года до 3 лет,|Интернет-реклама|Маркетинговый анализ|Google Analytics|Таргетинг|Таргетолог|Таргетированная реклама в FB|Таргетированная реклама в VK,3.0,124128.20512820511,1.0,75757.84313725491,таргетолог специалист по таргетированной рекламе,Практический опыт настройки таргетированной рекламы. Опыт длительной работы с большими рекламными бюджетами. Знание и понимание процессов рекламных кампаний в интернете. ,"Настройка и оптимизация таргетированной рекламы по соц сетям: FB, Instagram, VK, Одноклассники. Эффективное использование рекламных бюджетов для привлечения трафика. ",0.03333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Сбербанк,2019-11-28T17:46:54+0300," Добрый день!   Компания «Сбербанк Технологии» сейчас в поисках специалиста на позицию  ARIS Product Owner  .     Функциональные обязанности:       Управление продуктом - система проектирования бизнес-процессов и архитектуры (ARIS);   Перманентный customer development: определение потребностей заказчиков в области проектирования бизнес-процессов и архитектуры;   Формирование vision продукта (для кого и для чего он), актуализация roadmap его развития (зачем, когда и какие фичи реализуем) и KPI (метрики и целевые значения);   Согласование vision, roadmap и KPI, а затем и детальных требований с заказчиками и партнерами, донесение до команды;   Управление командой разработки и поддержки продукта;   Реализация требований, обеспечение выполнения системой возложенных на нее задач и достижения KPI.      Требования к кандидату:      Опыт работы менеджером продукта или проекта не менее 3х лет, успешно реализованные продукты или проекты;   Опыт работы в качестве аналитика, технолога или архитектора;   Знание методологий моделирования бизнес-процессов (BPMN обязательно);   Опыт использования автоматизированных систем проектирования (желательно ARIS);   Умение выстраивать конструктивные отношения и эффективно работать в большой организации, учитывать интересы нескольких сторон, находить решения в парадигме «win-win»;   Лидерские качества: проактивная позиция, способность вести за собой, готовность брать ответственность и добиваться результата;   Понимание парадигмы agile (scrum) и опыт управления командой разработки в ней.      Условия:      Официальное трудоустройство согласно ТК РФ;   Белая заработная плата (оклад + годовая премия);   Возможность обучения за счет компании;   Страхование (от несчастных случаев, ДМС);   Оздоровительные программы для детей сотрудников;   Выплаты материальной помощи в особых/чрезвычайных случаях;   Дисконт-программы от компаний партнеров (фитнес, страхование, туризм);   Льготное кредитование;   Бесплатный тренажерный зал на территории офиса;   Столовая на территории офиса.      Адрес:  М. Тульская / Нагатинская / Верхние Котлы.   Буду ждать обратной связи!   Хорошего вам дня! ",Полная занятость,Полный день,От 3 до 6 лет,|ARIS|BPMN,6.0,124128.20512820511,3.0,75757.84313725491,aris produсt owner,"Опыт работы менеджером продукта или проекта не менее 3х лет, успешно реализованные продукты или проекты. Опыт работы в качестве...",Управление продуктом - система проектирования бизнес-процессов и архитектуры (ARIS). Перманентный customer development: определение потребностей заказчиков в области проектирования бизнес-процессов...,0.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,"Единая электронная торговая площадка, АО (группа ВТБ)",2019-11-14T12:04:24+0300,"  Должностные обязанности:      Управление продуктом (проектом) согласно идеологии Agile: с применением одного из фреймворков (либо их совмещением): Scrum, Kanban;   Разбиение проекта на составляющие функции, приоритизация задач внутри проекта по спринтам;   Планирование с командой проекта состава спринтов (проведение полноценного грумминга);   Проведение в команде всех полноценных митингов (daily meeting, planning, demo, retro);   Постановка задач команде разработчиков, контроль качества и исполнения;   Управление коммуникациями в проекте, рисками и качеством проекта;   Организация процессов повышения эффективности работы внутри команды.          Требования:      Высшее образование (техническое);   ПК – высокий уровень, знания SQL, понимание ХML, XSLT;   Опыт работы управления проектами;   Опыт управления не менее чем двумя успешными проектами с помощью принципов Agile;   Опыт запуска продукта;   Практический опыт применения фреймворка Scrum\kanban;   Ответственность, системное мышление, желание развиваться в сфере управления проектами.          Условия:       Оформление в соответствии с ТК РФ;   Социальные гарантии в соответствии с законом;   Испытательный срок 3 месяца;   График работы 5/2 с 9:30 до 18:30;   Офис м. Павелецкая, БЦ класса «А» 5 мин от метро;   Уровень заработной платы обсуждается;   Премии по результатам работы.       ",Полная занятость,Полный день,От 3 до 6 лет,|Scrum|Agile Project Management|223фз|44фз|Постановка задач разработчикам|Управление интернет-проектами|Управление проектами,6.0,124128.20512820511,3.0,75757.84313725491,produсt owner,"Высшее образование (техническое). ПК – высокий уровень, знания SQL, понимание ХML, XSLT. Опыт работы управления проектами. Опыт управления не менее чем...","Управление продуктом (проектом) согласно идеологии Agile: с применением одного из фреймворков (либо их совмещением): Scrum, Kanban. Разбиение проекта на составляющие...",0.9666666666666667,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Москва,ТРАНСКАПИТАЛБАНК,2019-12-03T14:02:42+0300," Обязанности:     Установка и настройка компьютерной техники на рабочих местах пользователей;   Поддержание в рабочем состоянии оргтехники и компьютерной техники;   Обработка обращений пользователей;   Техническая поддержка и консультирование пользователей.          Требования:      Знание аппаратной части ПК и периферийного оборудования;   Знание операционных систем семейства Windows и офисных приложений;   Знание методов антивирусной защиты;   Знание принципов построения локальных вычислительных сетей,протокола TCP/IP;   Желателен опыт работы в IT-подразделениях от 6 месяцев          Условия:      Трудоустройство по ТК РФ;   График работы 5/2 c 9.00 до 18.00, пятница с 9.00 до 16:45;   Возможны местные командировки;   Перспективы карьерного и профессионального развития.   Офис располагается в пешей доступности от станции метро &quot;Марьина Роща&quot;.   ",Полная занятость,Полный день,Нет опыта,,,124128.20512820511,,75757.84313725491,специалист отдела технического обеспечения,Знание аппаратной части ПК и периферийного оборудования. Знание операционных систем семейства Windows и офисных приложений. Знание методов антивирусной защиты. ,Установка и настройка компьютерной техники на рабочих местах пользователей. Поддержание в рабочем состоянии оргтехники и компьютерной техники. Обработка обращений пользователей. ,0.3333333333333333,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,MagnitMedia,2019-11-20T11:16:20+0300," Для работы над крупными e-commerce проектами в группу компаний Group365 ищем позитивных, энергичных коллег.   Мы развиваем несколько продуктов в рамках направлений - блог, интернет-магазин, пищевой проект. Все продукты уникальны и объединены общей идеей здорового образа жизни.   Наша аудитория насчитывает более 2,5 млн активных пользователей и постоянно растет. Наша команда - это профессионалы, заинтересованные в результате. Мы дорожим каждым сотрудником, ценим его вклад в развитие продуктов и финансово мотивируем соответственно.    Обязанности    - Координация команды по запуску и доработкам продукта; - Коммуникации с заказчиками, связанных с продуктом; - Отслеживание продуктов конкурентов, тенденции – как на российском, так и на зарубежном рынке; - Формирование гипотез по развитию продукта и проводить необходимые тесты для их подтверждения; - Анализ, приоритезация, фильтрация потребностей; - Работа со SCRUM командой/командами в качестве product owner; - Работа с контентом (анализ потребностей, контроль исполнителей, размещение).    Требования    - Опыт ведения digital продуктов в качестве PO от 1 года (в приоритете e-commerce продукты); - Системное мышление; - Высшее или незаконченноевысшее образование; - Опыт управления командой разработки; - Внимательность к деталям; - Аккуратность; - Отличные коммуникативные навыки; - Опыт работы с Битрикс, Битрикс24 (как плюс);    Условия    - Оформление по ТК; - Стабильная заработная плата (итоговая цифра обсуждается с финальным кандидатом); - Фуллтайм 5/2; - Испытательный срок – 3 месяца; - Оплачиваемый отпуск – 28 календарных день; - Интересный проект, отличная команда, демократичная и творческая атмосфера в коллективе, возможность профессионального и личностного роста; - Комфортный офис в шаговой доступности от метро Дмитровская.     ",Полная занятость,Полный день,От 1 года до 3 лет,|1С-Битрикс|Работа в команде|Управление интернет-проектами|Деловая коммуникация|Контроль качества|Системное мышление|Организационные навыки|Внимательность|Аккуратность|Битрикс24|Коммуникативные навыки,3.0,124128.20512820511,1.0,120000.0,produсt owner,Опыт ведения digital продуктов в качестве PO от 1 года (в приоритете e-commerce продукты). - Системное мышление. - Высшее или незаконченноевысшее...,"Координация команды по запуску и доработкам продукта. - Коммуникации с заказчиками, связанных с продуктом. - Отслеживание продуктов конкурентов, тенденции – как на российском...",0.7666666666666667,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
