city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,python,django framework,postgresql,git,linux,javascript,mysql,sql,redis,mongodb,other
Москва,Газпром-медиа Развлекательное телевидение (ГПМ РТВ),2019-12-11T12:37:12+0300,"  Мы работаем над высоконагруженными проектами, связанными с поддержкой платформенных сервисов для показа видео. У нашей компании много планов по развитию направления, поэтому мы расширяем департамент и ищем коллег в нашу дружную команду.     Обязанности:      Проектирование и разработка серверной части платформенных проектов:   Написание Python кода;   Разработка юнит-тестов;   Непосредственное взаимодействие с разработчиками, тестировщиками и менеджером проектов в рамках деятельности scrum-команды;   Участие в планировании задач на ближайшую итерацию.      Требования:      Уверенные знания языка Python;   Понимание принципов ООП;   Опыт работы с реляционными базами данных и хорошие знания SQL;   Основные знания о работе протокола HTTP;   Опыт работы с Django желателен;   Отсутствие страха перед unix-системами;   Опыт написания API или работы с API сторонних сервисов;   Опыт автоматизации, обеспечения качества и непрерывности рабочих процессов;   Спокойное отношение к &quot;чужому&quot; коду и понимание бизнес-необходимости бесперебойной работы живого проекта в процессе улучшения его кода;   Опыт работы с высоконагруженными проектами.      Условия:      Оформление по ТК РФ (соц.пакет, ДМС).   Пятидневная рабочая неделя: 10.00-19.00 (возможно гибкое начало дня).   Офис в центре Москвы (м. Маяковская, БЦ Сады Пекина).   Заработная плата обсуждается индивидуально с каждым кандидатом.   ",Полная занятость,Полный день,От 1 года до 3 лет,|HTTP|API|Python|Django Framework|Unix,3.0,125894.23076923074,1.0,81175.21367521367,python разработчик,Уверенные знания языка Python. Понимание принципов ООП. Опыт работы с реляционными базами данных и хорошие знания SQL. Основные знания о...,"Проектирование и разработка серверной части платформенных проектов: Написание Python кода. Разработка юнит-тестов. Непосредственное взаимодействие с разработчиками, тестировщиками и менеджером...",0.06666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
Москва,РТСофт,2019-12-12T19:25:52+0300,"  Задачи:       проектирование и разработка веб-приложений на Python;   покрытие кода юнит-тестами;   участие в процессах непрерывной интеграции и сборки программных компонентов (CI/CD);   участие в проектировании архитектуры разрабатываемых систем.      Ключевые навыки:       опыт разработки на Python от 3 лет;   опыт разработки проектов с использованием Django (REST API);   понимание объектно-ориентированного программирования;   знание SQL, опыт работы с одной из наиболее распространенных СУБД (PostgreSQL, MS SQL и т.д.);   умение работать с системами контроля версий (git);   опыт работы с операционными системами семейства Linux;   желание и умение быть частью команды.      Приветствуется:       опыт работы с NoSQL;   знание асинхронных фреймворков (Tornado и т.д.);   опыт построения масштабируемых систем;   опыт написания автотестов.      Мы предлагаем:      стабильную перспективную работу;   достойную белую заработную плату, оформление по ТК РФ;   медицинскую страховку (ДМС);   регулярное повышение квалификации за счет компании;   гибкий график работы;   офис в пешей доступности от м. Первомайская (5 мин.)       Преимущества работы с нами:      работа над перспективным технологичным продуктом: делаем лучший продукт в своем сегменте, поддерживаем инициативы по технологическому развитию продукта;   драйв от работы в кругу увлеченных профессионалов;   большая степень влияния каждого разработчика, аналитика, тестировщика на продукт;   быстрый профессиональный и карьерный рост;   возможности обучения и обмена опытом за счет компании: семинары, конференции, тренинги.         　 ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,125894.23076923074,1.0,81175.21367521367,python разработчик,Опыт разработки на Python от 3 лет. Опыт разработки проектов с использованием Django (REST API). Понимание объектно-ориентированного программирования. ,Проектирование и разработка веб-приложений на Python. Покрытие кода юнит-тестами. Участие в процессах непрерывной интеграции и сборки программных компонентов...,0.03333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Сбербанк,2019-12-10T17:41:04+0300,"   SberData  – департамент по управлению данными всего Сбербанка. SberData строит централизованное хранилище данных, объем которого уже превышает 10 ПБ. Это продуктово-ориентированная инженерная команда с функциями развития выделенных технологических направлений, отражающих новый подход Сбербанка к данным и к применению AI.          Команда  «Супермаркета данных»  ищет Backend разработчика портала, основная цель которого – это распространение данных внутри Банка. Данные – это новая нефть. Перед командой стоит амбициозная цель – разработать портал, пользователи которого смогут заказывать данные банка для работы, в режиме self-service.          Обязанности        Проработка архитектурных решений Backend сервисов и компонент портального решения;     Прототипирование Backend сервисов и компонент;     Разработка Backend сервисов и компонент портального решения;     Анализ требований и выработка технических решений;     Оценка ресурсов и сроков выполнения задач в рамках своего участка работ;     Участие в разработке архитектуры сервиса и проектировании баз данных, анализ разработанного кода;     Рефакторинг существующего кода, проведение code review;     Внедрение новых технологий, инструментов и методов разработки.        Требуемый опыт        Опыт разработки Backend (Python) приложений от 3-х лет.     Опыт разработки различных API (REST).     Хорошее знание и опыт разработки на Full Stack Frameworks      Опыт разработки решений для полнотекстового поиска (Elasticsearch).     Опыт работы с реляционными БД (PostgreSQL).     Опыт разработки интеграционных решений на основе API.     Опыт разработки распределенных решений в концепции микросервисной архитектуры.     Опыт работы с ПО для работы команд разработки: Git, Jira, Confluence.     Опыт работы в Agile командах.        Будет плюсом:        Опыт оптимизации приложений: профилирование, анализ дампов памяти/процессов.     Опыт работы с различными очередями сообщений (RabbitMQ или другие)     Опыт разработки распределенных систем.     Понимание паттернов проектирования корпоративных приложений.     Опыт работы с Jenkins, Ansible.     Работа с анализатором кода SonarQube.     Знание банковской предметной области.     Знания по предметной области обеспечения информационной безопасности.        Условия:        Профессиональный рост в команде дружных профессионалов.     Бесплатный фитнес-зал в БЦ.     Профессиональное обучение, семинары, тренинги, конференции, корпоративная библиотека.     ДМС, страхование жизни.     Самые инновационные, амбициозные проекты и задачи.     Свободный дресс-код.     Гибкий график для оптимального баланса работы и личной жизни.     Льготные кредиты и корпоративные скидки.     Конкурентная компенсация (оклад и премии по результатам деятельности).    ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,125894.23076923074,3.0,81175.21367521367,python разработчик,Опыт разработки Backend (Python) приложений от 3-х лет. Опыт разработки различных API (REST). Хорошее знание и опыт разработки на...,Проработка архитектурных решений Backend сервисов и компонент портального решения. Прототипирование Backend сервисов и компонент. Разработка Backend сервисов и компонент портального...,0.1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Альфа-Лизинг,2019-12-09T11:20:02+0300,"  Кто мы?    Мы – крупная лизинговая компания, которая быстро растет.   Чтобы расти и финансировать много лизинговых сделок, нам нужно принимать десятки, а иногда и сотни кредитных решений в день. Для этого нам необходимо решать следующие задачи:     Автоматизировать процессы, связанные с принятием кредитного решения.   Разрабатывать инструменты и веб-приложения для лиц, принимающих решения.     Мы ищем разработчика, который поможет нам решать такие задачи.    Круто! А что нужно делать?     Задачи следующие:      Разработка сервисов, реализующих обработку данных для кредитного скоринга;   Разработка веб-приложений для лиц, принимающих кредитные решения;   Поддержка существующих веб-приложений;   Автоматизация загрузки данных, используемых для принятия решения по сделке.      Кого ищем?    Ищем человека, который:     Знает python и стандартные модули;   Уверенно работает с Git;   Работал с Django и знает Django;   Реализовывал боевые проекты на Django и/или Flask;   Умеет и хочет работать со следующими технологиями: python, Django, Flask, PostgreSQL, nginx, pandas.    Готовы рассматривать студентов старших курсов, готовых работать не менее 30 часов в неделю.       Мы предлагаем:      Рабочее место м. Профсоюзная;   Работа в динамично развивающейся компании;   Возможность профессионального и карьерного роста;   Обучение на всех этапах карьеры;   Официальное оформление по ТК РФ;   Широкий пакет социальных программ (в т.ч. ДМС и мобильная связь);   Работа в молодом профессиональном коллективе с развитой корпоративной культурой.      Мы рады видеть в нашей команде энергичных, инициативных, амбициозных и ответственных профессионалов!     Мы ценим специалистов, умеющих эффективно работать в команде, стремящихся развиваться и получать новые знания! ​​​​​​​ ",Полная занятость,Полный день,От 1 года до 3 лет,|Python|Django Framework|Git|PostgreSQL|Nginx,3.0,125894.23076923074,1.0,81175.21367521367,разработчик python,Знает python и стандартные модули. Уверенно работает с Git. Работал с Django и знает Django. Реализовывал боевые проекты на Django...,"Автоматизировать процессы, связанные с принятием кредитного решения. Разрабатывать инструменты и веб-приложения для лиц, принимающих решения. Разработка сервисов, реализующих обработку...",0.13333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1
Санкт-Петербург,FinPay,2019-12-13T16:33:06+0300,"   В дружную высокопрофессиональную команду динамично развивающейся компании для работы в офисе требуется python backend разработчик уровня Senior    .       Работа над крупными интернет корпоративным проектом (собственное ПО). Разработка архитектуры приложений на всех этапах, согласно утвержденному ТЗ      Что мы ходим видеть в нашем сотруднике:      Опыт коммерческой разработки на Python/Django от 5-и лет;   Экспертный уровень знаний SQL (Postgres), Django ORM;   Продвинутые знания MongoDB, Redis, Celery;   Умение разбираться в чужом коде, производить рефакторинг и оптимизацию, делать code-review; знание PEP8;   Знание Linux (Debian/Ubuntu) или других *nix;   Будет плюсом, если в резюме отразите проекты, свою роль и вклад, результат;   Рассматриваются кандидаты, готовые к переезду в Санкт-Петербург, Россия.      Наши условия:      Работа в сильной команде профессионалов, крупный отдел;   Гибкое начало рабочего дня;   Компенсация обучения английскому языку;   Интересные задачи в финансовой сфере;   Адекватный менеджмент;   Высокая степень свободы в решении задач,   Хороший кофе)   Территориально Санкт-Петербург, на Васильевском острове, в хорошем современном БЦ .    ",Полная занятость,Полный день,От 3 до 6 лет,|Python|Django Framework|MongoDB|PostgreSQL|Linux|Redis|Celery|PEP8,6.0,125894.23076923074,3.0,81175.21367521367,senior python разработчик,"Опыт коммерческой разработки на Python/Django от 5-и лет. Экспертный уровень знаний SQL (Postgres), Django ORM. Продвинутые знания MongoDB...","Разработка архитектуры приложений на всех этапах, согласно утвержденному ТЗ.",0.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1
Санкт-Петербург,NETRIKA,2019-12-06T18:21:31+0300," Привет! :)   « Нетрика » – многопрофильная ИТ-компания, специализирующаяся на разработке и поставке ИТ-решений для государственных структур федерального и регионального уровней, эксперт в отраслевой информатизации госсектора.   Компания « Нетрика » входит в топ-100 крупнейших ИТ-компаний России.    Кого ищем?    Ищем специалиста уровня  Jun-to-Mid  для работы над веб-проектами широкой направленности: сайты-каталоги и интернет-магазины со сложной ассортиментной матрицей; промопроекты и целевые landing pages, ориентированные на лидогенерацию; спортивные интернет-ресурсы с большой аудиторией и значительными пиковыми нагрузками; проекты для госучреждений и органов власти с обязательным соблюдением большого набора нормативных требований;    В работе мы используем:  Python; Django; Django Rest Framework; PostgreSQL; Redis; ElasticSearch; Ansible; Nginx; Git; Gitlab CI; Jira/Confluence    Что мы ожидаем от нового коллеги?      опыт разработки Python/Django от 1 года;   умение пользоваться git;   знание SQL;   понимание принципов работы HTTP(S)      Будет плюсом:      опыт разработки ПО на других языках программирования (в частности PHP)   опыт успешной оптимизации SQL запросов;   общая технологическая подкованность, знание жизненных циклов ПО, классических алгоритмов;   умение разбираться в чужом коде, основы оптимизации кода;      Со своей стороны мы готовы предложить:      Дружную и позитивную атмосферу в команде профессионалов – мы сами пользуемся продуктами, которые разрабатываем, и мы делаем все качественно;   Разнообразные задачи дадут возможность получить самый неожиданный опыт;   Гибкий график и демократичный подход к организации труда;   Официальное трудоустройство с первого дня работы (полностью &quot;белая&quot; заработная плата, отпуска, больничные);   ДМС после испытательного срока;   Комфортный офис в центре города (ст. м. Пл. Восстания/Площадь Александра Невского).   Всегда в наличии Чай, кофе и другие плюшки.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Python|PostgreSQL|Git|Django Framework|Nginx,3.0,125894.23076923074,1.0,81175.21367521367,python разработчик,Опыт разработки Python/Django от 1 года. Умение пользоваться git. Знание SQL. Понимание принципов работы HTTP(S). Будет плюсом: Опыт...,Ищем специалиста уровня Jun-to-Mid для работы над веб-проектами широкой направленности: сайты-каталоги и интернет-магазины со сложной...,0.23333333333333334,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1
Санкт-Петербург,Сбер Решения,2019-11-28T14:42:58+0300,"          О НАС    Мы команда по разработке digital продуктов для нашего бизнеса. Мы создаем и развиваем продукты для предпринимателей: веб-интерфейсы для удобной работы клиента с нашими специалистами по бухгалтерии, облачные сервисы и другие решения, которые делают жизнь малого бизнеса проще. Наши продукты помогают предпринимателям не думать о бухгалтерии, отчетности, кадровых документах, общении с государственными органами, делопроизводстве и всем прочем, что не относится непосредственно к их бизнесу. У нас нет легаси-продуктов, но есть амбициозные задачи по запуску новых цифровых продуктов.    ЧТО МЫ ПРЕДЛАГАЕМ     СИЛЬНАЯ КОМАНДА.  Мы нацелены на общий результат, у нас принято поддерживать друг друга.    ВОЗМОЖНОСТЬ РАЗВИВАТЬСЯ.  Мы даем людям проявить себя на сложных задачах и пробовать новое.    ПРОСТОР ДЛЯ ТВОРЧЕСТВА.  В наших командах все понимают общую цель и потребности пользователя, а как к этому прийти – решать    ОТДАЧА ОТ РАБОТЫ.  Мы создаем и развиваем продукты для бизнеса, чтобы предприниматели могли сфокусироваться на том, что для них действительно важно        ОБЯЗАННОСТИ:      Разработка, отладка и оптимизация;   Проектирование и реализация программных систем;   Анализ и решение сложных технических проблем;      ТРЕБОВАНИЯ:      Знание Python и опыт разработки на нем от 2 лет;   Желательно знание базовых структур данных и операций над ними;   Желателен опыт работы с Django, Tornado, Flask, Falcon;   Опыт работы – от 1 до 3 лет;   Техническое высшее образование;   Умение самостоятельно учиться;      УСЛОВИЯ:      Трудоустройство по ТК РФ, все социальные гарантии;   5-дневная рабочая неделя, 8-часовой рабочий день;   Вся заработная плата &quot;белая&quot;;   Система премирования;   ДМС.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,125894.23076923074,1.0,81175.21367521367,разработчик python vba в отдел оптимизации процессов,Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. ,"Разработка, отладка и оптимизация. Проектирование и реализация программных систем. Анализ и решение сложных технических проблем.",0.5,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Санкт-Петербургский филиал компании ГАЗПРОМ Германия ГмбХ,2019-11-25T14:54:53+0300," The successful applicant will share in the responsibility of ensuring the Quantitative Development team delivers robust, integrated models within company&#39;s valuation and risk management framework. The Quantitative Developer will provide support within the team to help improve processes, applications and coding. They will take joint responsibility for the upkeep and maintenance of the Quant code base, driving performance improvements alongside capability enhancements. A significant part of this role will involve working with the Quantitative Analysts to ensure that the library is utilised effectively.    Responsibilities:      contributing to the improvements of the Python code library, from low-level numerical performance of algorithms to integration with data and deal booking systems;   supporting the development of tools and processes which enable the effective use of the library by technical stakeholders across the business;   developing and maintaining testing and DevOps tools for ensuring robustness and comprehensive coverage of library tests.      Requirements:      good knowledge of Python and its standard library;   knowledge of and experience using the Python scientific stack: numpy, scipy, pandas, ipython, statsmodels, sklearn;   understanding of SQL, ability to join tables/subqueries;   data visualisation: matplotlib, bokeh, plotly;     computer science or similar degree, preferably including or in conjunction with a numerate degree such as maths/physics/engineering;        Upper-intermediate level of English.         Technical abilities that would be an advantage:      experience of devops / continuous integration and deployment, especially using the conda package manager;   parallel programming experience – preferably ipython cluster, but also multiprocessing / concurrent futures;   experience using cython.      Conditions:      working in the global matrix team;   voluntary medical insurance;   life insurance;   compensation of fitness;   professional and career growth;   business trips to UK.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Python|SQL|Data visualisation|Cython,3.0,125894.23076923074,1.0,81175.21367521367,python разработчик разработчик python,"Good knowledge of Python and its standard library. Knowledge of and experience using the Python scientific stack: numpy, scipy, pandas...","Contributing to the improvements of the Python code library, from low-level numerical performance of algorithms to integration with data...",0.6,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
Санкт-Петербург,МТС,2019-12-11T19:30:08+0300," MtsAI (Центр искусственного интеллекта МТС) занимается разработкой уникальных продуктов в области диалоговых систем, медицины и юриспруденции на базе систем искусственного интеллекта, а также реализует R&amp;D проекты в области AI/ML. Мы создаем наши решения как для внутренних, так и внешних для клиентов: сейчас в портфеле в общей сложности 5 продуктовых направлений, часть из которых уже внедрена и используется. В рамках участия наших лидеров в формировании Национальной стратегии искусственного интеллекта мы осуществляем проект по разработке инновационной AI-платформы на базе исследовательского института МТС в Сколково, способствуя повышению уровня открытости индустрии и призывая ее участников к активному диалогу.    Задачи  :      автоматизировать обработку больших массивов текстовых данных;   разрабатывать утилиты для извлечения и сопоставления данных из текстовых баз;   выполнять автоматическую нормализацию и транслитерацию текстов;   исправлять ошибки в текстах;   проверять и корректировать фонетическую транскрипцию слов.      Кого мы ищем:      уверенные знания python (умение писать скрипты для обработки тестов);   пользователь Linux;   начальные знания bash;   иметь представление о работе в Git;   внимательность и аккуратность;   готовность выполнять работу, требующую концентрации внимания;   английский язык на уровне чтения тех. литературы.      Желательно :     иметь опыт в подготовке данных;   приветствуется образование: лингвистика / компьютерная лингвистика;   иметь представление о фонетической транскрипции;   участие в data-science или ml проектах в аналогичной должности.      Что мы предлагаем:      полностью белая заработная плата;   бонусы дважды в год;   ДМС + стоматология, страхование жизни, страхование при поездках за рубеж, скидки на автострахование;   компенсация мобильной связи (бесплатные пакеты);   гибкий график, отличные коллеги;   мы сделали обучение доступным. Вы можете проходить тренинги очно, дистанционно, участвовать в конференциях и митапах за счет компании;   частичная компенсация фитнес-абонемента;   100% оплата больничного листа;   отпуск 31 день;   корпоративная библиотека + подписка на журналы;   специальные предложения от партнеров и друзей МТС.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Python|Linux|Git,3.0,125894.23076923074,1.0,81175.21367521367,junior python разработчик,Уверенные знания python (умение писать скрипты для обработки тестов). Пользователь Linux. Начальные знания bash. Иметь представление о работе в Git. ,Автоматизировать обработку больших массивов текстовых данных. Разрабатывать утилиты для извлечения и сопоставления данных из текстовых баз. Выполнять автоматическую нормализацию и...,0.06666666666666667,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
Санкт-Петербург,Газпром нефть,2019-12-12T11:13:31+0300," Обязанности:   Разработка технических кроссплатформенных решений и решений на платформе MS Windows. Участие в проектной и сервисной деятельности. Участие (экспертиза) в подготовке технических и рабочих документов.    Требования:     Образование : Высшее (математика, информационные технологии).    Опыт  разработки на Python 2/3 от 1 года (хорошее знание стандартной библиотеки языка). . Уметь не только писать, но и тестировать свой код (TDD, BDD, code coverage). Опыт работы с системами контроля версий (Git, GitFlow).    Желательно : Опыт работы с Gtk3/PyQt5/PySide2. Навыки работы с numpy/pandas/matplotlib. Знание паттернов проектирования.Опыт работы с многопоточностью.    Личные качества : ответственность, порядочность, дисциплинированность, нацеленность на результат, умение работать в команде, инициативность.    Условия:    Работа в крупной компании, хороший компенсационный пакет (обсуждается с успешным кандидатом), ДМС     ",Полная занятость,Полный день,От 1 года до 3 лет,|Python,3.0,125894.23076923074,1.0,81175.21367521367,ведущий разработчик python,"Образование: Высшее (математика, информационные технологии). Опыт разработки на Python 2/3 от 1 года (хорошее знание стандартной библиотеки языка). . ",Разработка технических кроссплатформенных решений и решений на платформе MS Windows. Участие в проектной и сервисной деятельности. Участие (экспертиза) в подготовке...,0.03333333333333333,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
