city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,английский язык,обучение и развитие,управление проектами,sap erp,ms powerpoint,разработка технических заданий,windows 7,sql,ms sql,sap,other
Москва,EY (Эрнст энд Янг),2019-11-25T10:01:33+0300," Группа улучшения бизнес-технологий и ИТ занимается оптимизацией бизнес-процессов различного рода, специализации и масштаба, автоматизацией процессов, которые требуют кропотливой работы многочисленного персонала. EY является признанным мировым лидером по внедрению 1C и SAP-решений*, и это звание мы заслужили, индивидуально подходя к каждой новой проблеме или ситуации клиента. Мы находим наилучшее решение с учетом современных средств ИТ, используя качественный анализ данных и экспертную оценку специалистов EY различного профиля и уровня.    Основные направления деятельности:      Оптимизация бизнес-процессов компаний в различных индустриях   Внедрение программных продуктов на базе SAP.      Обязанности:      Проведение диагностики и описание бизнес-процессов   Сбор, обработка и анализ данных   Построение целевой модели процессов (финансы, логистика, управление персоналом) с использованием продуктов SAP   Настройка и оптимизация продуктов SAP   Тестирование   Миграция данных   Обучение конечных пользователей   Разработка оптимизационных решений   Экономическое обоснование предлагаемых решений   Подготовка и участие в презентациях.      Требования:      Высшее образование (физика, математика, финансы, менеджмент, программирование и базы данных)   Развитое аналитическое системное мышление   Развитые коммуникативные навыки   Опытный пользователь MS Excel (VBA)   Владение английским языком на уровне не ниже Upper-Intermediate   Желание учиться и развиваться, а также реализовать свой потенциал и полученные знания и умения на практике   Готовность к командировкам.      ВАШИ ВОЗМОЖНОСТИ В EY:    С самого начала карьеры или в рамках ее продолжения работа в EY — это опыт, который по-настоящему полезен. На крупных инновационных проектах российских и международных клиентов вы действительно узнаете свои возможности и найдете достойное применение своим профессиональным навыкам и опыту, совмещая интерес к современным ИТ-технологиям и работе в большом бизнесе.   Вас ждут:     Возможность работать в команде профессионалов в компании международного уровня   Разнообразие проектов с крупными международными и российскими клиентами, лидерами рынка   Расширенная программа обучения: от профессиональных тренингов и доступа к онлайн-порталам до языковых курсов   Система наставничества и четкие перспективы карьерного роста, регулярная обратная связь и открытая корпоративная культура.   Конкурентоспособная заработная плата и социальный пакет, wellness-инициативы.     В EY вы сможете совместить идеальную карьеру и действительно важную роль — каждый день вы сможете совершенствовать мир бизнеса, предоставляя услуги высшего качества и занимаясь тем, что вам действительно интересно.   *IDC’s MarketScape Worldwide SAP Implementation Services Ecosystem 2018 Vendor Assessment ",Полная занятость,Полный день,Нет опыта,,,,,90000.0,стажер группа улучшения бизнес технологий и ит направление sap,"Высшее образование (физика, математика, финансы, менеджмент, программирование и базы данных). Развитое аналитическое системное мышление. Развитые коммуникативные навыки. Опытный пользователь MS...",Оптимизация бизнес-процессов компаний в различных индустриях. Внедрение программных продуктов на базе SAP. Проведение диагностики и описание бизнес-процессов. ,0.6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,adidas,2019-11-16T21:12:37+0300,"  Обязанности:      Анализ и описание существующих бизнес-процессов, выявление неэффективных процессов и операций в работе сотрудников, подготовка предложений по оптимизации процессов;   Разработка ТЗ на автоматизацию бизнес-процессов, взаимодействие с IT / бизнес / проектными командами в процессе реализации бизнес-требований;   Разработка инструкций, обучение пользователей;   Поддержка конечных пользователей Финансового департамента на участках Расчеты с Поставщиками / Расчеты с Покупателями) по работе в информационных системах (SAP, локальные приложения);   Участие в функциональном тестировании учетных / операционных систем;   Участие в проектах по внедрению новых бизнес-процессов / систем.          Требования:      Высшее образование (желательно экономическое);   Опыт работы в SAP FI-CO (модули AP / AR), MS Office (i.e., Excel , Word, Power Point);   Английский язык уровня intermediate;   Хорошие коммуникативные навыки, системное мышление, ориентация на результат, умение объяснять сложные вещи простым языком.          Условия:      Возможности карьерного и профессионального роста   Работа в дружной команде профессионалов   Фиксированный оклад   Скидки на продукцию компании   Частичная компенсацию питания   Частичная компенсация фитнеса   Корпоративный транспорт от станций  м. Крылатское и Ул. 1905 года    ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,90000.0,старший специалист по оптимизации процессов ключевой пользователь sap,"Высшее образование (желательно экономическое). Опыт работы в SAP FI-CO (модули AP / AR), MS Office (i.e., Excel , Word, Power...","Анализ и описание существующих бизнес-процессов, выявление неэффективных процессов и операций в работе сотрудников, подготовка предложений по оптимизации процессов. ",0.9,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,ФосАгро,2019-12-02T16:59:50+0300,"  Вакансия с переездом в г. Череповец Вологодская обл     Основное направление деятельности:    - Поддержка существующих интеграционных сценариев, написание новых в Integration Framework for SAP Business One.   - Поддержка существующих сценариев работы, написание новых для взаимодействия с SAP Business One.   - Создание/доработка веб-сервисов.   - Конфигурирование/настройка SAP Business One.    Обязательно:      опыт программирования от 3 лет;   знание HANA;   знание SAP Business One;   знание Integration Framework for SAP Business One;   опыт параллельного и многопоточного программирования;   знание классических алгоритмов и структур данных;      Желательно:      знание распределенных систем контроля версий (git);   опыт работы в команде;      Условия:      Компенсация переезда, аренды жилья   ДМС, тренажерный зал , бассейн   Оформление по ТК РФ   ",Полная занятость,Полный день,От 3 до 6 лет,|SAP CRM|Базы данных|MS Paint|Pascal|Cистемы управления базами данных,6.0,,3.0,90000.0,разработчик sap,Обязательно: Опыт программирования от 3 лет. Знание HANA. Знание SAP Business One. Знание Integration Framework for SAP Business One. ,"Основное направление деятельности: - Поддержка существующих интеграционных сценариев, написание новых в Integration Framework for SAP Business One. - Поддержка существующих сценариев работы...",0.36666666666666664,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Санкт-Петербург,СИГМА,2019-12-06T18:26:13+0300,"  Обязанности:      Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR   Участие в настройке и поддержке интерфейсов существующей функциональности SAP HR   Тестирование новой версии программного комплекса SAP HR   Осуществляет поддержку пользователей системы SAP HR на 2-ой линии      Требования:     Обязательно      Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе);   Умение структурированно излагать свои мысли, аналитический подход при решении поставленных задач;   Желание интенсивно обучаться и развиваться, нацеленность на результат;   Хорошие коммуникативные навыки, умение работать в команде; Знание MS Office (Word, Excel, Power Point), интерес к ИТ;   Желание развиваться в качестве консультанта SAP      Желательно      Знание английского языка на уровне чтения технической документации;      Условия:      Работа в масштабных интересных проектах   Перспективы профессионального и карьерного роста   Оформление в соответствии с ТК РФ   Конкурентная заработная плата   Квартальное премирование по результатам работы   Внутреннее и внешнее обучение сотрудников   ДМС после испытательного срока   Доступ к корпоративной электронной библиотеке   ",Стажировка,Полный день,Нет опыта,|MS PowerPoint|Английский язык|Обучение и развитие|Разработка технических заданий|Windows 7,,,,30000.0,стажер sap hr,"Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе). Умение структурированно излагать свои мысли, аналитический подход при...","Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR. Участие в настройке и поддержке интерфейсов существующей...",0.23333333333333334,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1
Санкт-Петербург,Крит,2019-12-11T14:01:16+0300," Обязанности:       участие в проектах внедрения и сопровождения систем SAP у крупных заказчиков;       проектирование и реализация корпоративных хранилищ данных, систем аналитической отчетности, бюджетирования, интеграционных решений на базе SAP BI;       разработка проектной документации;       тестирование программных решений;       участие в пресейл-проектах.        Требования:        выпускник/студент последнего курса технического или экономического вуза;       понимание основ баз данных, знание SQL;       английский язык на уровне чтения технической документации;       знание языков программирования будет вашим преимуществом.       Условия:       обучение инструментарию BI компании SAP – мирового лидера по разработке ПО для управления бизнесом;       трудоустройство в штат;       гибкий график.     ",Стажировка,Полный день,Нет опыта,|SQL|Управление проектами|MS SQL|C#|Английский язык,,,,30000.0,стажер sap bi,"Выпускник/студент последнего курса технического или экономического вуза. Понимание основ баз данных, знание SQL. Английский язык на уровне чтения технической...","Участие в проектах внедрения и сопровождения систем SAP у крупных заказчиков. Проектирование и реализация корпоративных хранилищ данных, систем аналитической отчетности...",0.06666666666666667,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
Санкт-Петербург,"Лента, федеральная розничная сеть",2019-12-11T09:57:10+0300," В центральном офисе крупнейшей федеральной розничной сети  &quot;Лента&quot;  открыта вакансия  Старшего специалиста по интеграции систем SAP PO     SAP Process Orchestration – это интеграционная шина обеспечивающая межсистемную и межпроцессную интеграцию систем различных производителей, работающих под управлением различных операционных систем и с различными СУБД. Мы используем последнюю версию SAP PO 7.5. Перед нами стоит задача создания интеграционных потоков между системами, управления этими потоками и обеспечение непрерывности их работы.   Мы используем Java, XSL и немного ABAP для разработки Proxy классов в SAP. Мы постоянно ищем новые возможности для создания надежной и производительной интеграции между системами.        Пожелания к Вам:      от 3-х лет опыта в разработке интеграционных потоков на Java, XSL или других языках   понимание протоколов обмена данными   знания технологий WebService, SOAP, REST      Будет большим плюсом:      знания принципов функционирования систем типовых классов (WMS, ERP, портал, пр.)   опыт проектирования и документирования информационных систем          Вы получите:      внешние обучения от SAP и не только   внутренние обучения под руководством опытных наставников   закрытые семинары в рамках поддержки SAP MaxAttention   возможность удаленной работы после испытательного срока   демократичный коллектив   годовое премирование на основании результатов оценки деятельности   ДМС со стоматологией   консультации с офисным врачом и терапевтом на территории офиса   компенсацию мобильной связи   льготное питание в собственной столовой по системе шведский стол (завтраки, обеды, ланч-боксы на вынос)   чай, кофе, комфортный офис в Приморском районе   оформление по ТК РФ, полный спектр социальных льгот   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,,3.0,30000.0,старший специалист по интеграции систем sap po,"От 3-х лет опыта в разработке интеграционных потоков на Java, XSL или других языках. Понимание протоколов обмена данными. ",Консультации с офисным врачом и терапевтом на территории офиса.,0.06666666666666667,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Атос АйТи Солюшенс энд Сервисез,2019-11-28T16:43:41+0300,"  Вводная о проекте:      Проекты внедрения и поддержки SAP S4Hana, гармонизация и настройка бизнес процессов на S4Hana.      Обязанности:      Анализ и моделирование бизнес-процессов в области финансового учета, контроллинга и управления проектами SAP;   Разработка технического решения с учетом особенностей клиента;   Координация всего процесса: от оценки до технической реализации, включая тестирование и обучение пользователей;   Управление проектами, включая техническую координацию команд;   Ответственность за планирование, контроль и завершение проекта в установленные сроки.      Требования:       Свободное владение немецким языком (от С1);    Практический опыт в FI, CO, PS, от 7 лет;   Готовность к релокации в Германию;   Опыт создания технических концепций, внедрения и конфигурации, включая New-GL;   Знание SAP Simple Finance и/или S/4HANA Finance;   Английский разговорный;   Опыт управления проектами и руководства командами;   Желателен опыт работы на иностранных проектах;     Нацеленность на результат, лидерские качества, умение работать в команде.        Условия:      Компания предлагает стабильную и интересную работу, возможность профессионального развития;   Изучение английского и немецкого языка;   Предоставление дополнительных отпусков;   Предоставление материальной помощи по особым случаям;   Добровольное медицинское страхование (поликлиника, стоматология) - 100% компенсация для сотрудников компании;   Компенсация питания сотрудника;   Программа компенсаций занятий спортом;   Программа награждения сотрудников;   Возможны командировки в другие страны;    Работа в Германии. Оказываем содействие и помощь при переезде;    ",Полная занятость,Полный день,От 3 до 6 лет,|Управление проектами|Английский язык|SAP FI|Работа в команде|Бизнес-анализ|SAP CO|SAP PS|Немецкий язык|SAP Simple Finance|S/4HANA Finance,6.0,,3.0,30000.0,эксперт sap s 4 hana fi сo ps с немецким языком в германию,"Свободное владение немецким языком (от С1). Практический опыт в FI, CO, PS, от 7 лет. Готовность к релокации в...","Проекты внедрения и поддержки SAP S4Hana, гармонизация и настройка бизнес процессов на S4Hana. Анализ и моделирование...",0.5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
Екатеринбург,СИГМА,2019-12-06T18:26:13+0300,"  Обязанности:      Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR   Участие в настройке и поддержке интерфейсов существующей функциональности SAP HR   Тестирование новой версии программного комплекса SAP HR   Осуществляет поддержку пользователей системы SAP HR на 2-ой линии      Требования:     Обязательно      Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе);   Умение структурированно излагать свои мысли, аналитический подход при решении поставленных задач;   Желание интенсивно обучаться и развиваться, нацеленность на результат;   Хорошие коммуникативные навыки, умение работать в команде; Знание MS Office (Word, Excel, Power Point), интерес к ИТ;   Желание развиваться в качестве консультанта SAP      Желательно      Знание английского языка на уровне чтения технической документации;      Условия:      Работа в масштабных интересных проектах   Перспективы профессионального и карьерного роста   Оформление в соответствии с ТК РФ   Конкурентная заработная плата   Квартальное премирование по результатам работы   Внутреннее и внешнее обучение сотрудников   ДМС после испытательного срока   Доступ к корпоративной электронной библиотеке   ",Стажировка,Полный день,Нет опыта,|MS PowerPoint|Английский язык|Обучение и развитие|Разработка технических заданий|Windows 7,,,,90000.0,стажер sap hr,"Оконченное высшее образование (либо учащийся с возможностью работать полный день в офисе). Умение структурированно излагать свои мысли, аналитический подход при...","Участие в разработке технических заданий, основанных на требованиях на изменение системы SAP HR. Участие в настройке и поддержке интерфейсов существующей...",0.23333333333333334,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1
Екатеринбург,TeamIdea (ООО ТИМИДЕЯ ГРУПП),2019-11-29T12:00:11+0300," Компания  TeamIdea , единственная российская компания-платиновый партнёр SAP, открывает вакансию  Стажера-Разработчика   SAP  .     Испытательный срок:  до 3 месяцев.    Ожидания от кандидата:      высшее техническое или экономическое образование;   знание минимум одного из языков программирования (Java, C++, C#, Python, JavaScript, Delphi/Object Pascal, Ruby, PL/SQL);   знание SQL и принципов построения реляционных БД;   понимание клиент-серверной архитектуры;   знание и понимание принципов ООП;   знание английского языка на уровне чтения технической документации.      Будет плюсом:      опыт самостоятельных разработок;   опыт работы с БД;   опыт работы с REST сервисами, протоколом oData;   базовые знания HTML5, CSS;   опыт работы с JavaScript-фреймворками;   понимание паттернов проектирования;   знакомство с продуктами SAP (SAP Cloud Platform, Fiori, SAPUI5);   уверенный письменный и разговорный английский.      Профессионально-значимые личностные качества:      стремление и способность к интенсивному и постоянному обучению, в том числе самостоятельному развитию;   аналитический склад ума;   ответственность;   высокая работоспособность.      Задачи:      обучение и профессиональное развитие в области разработок на языке программирования ABAP и сопутствующих технологиях (SAP HANA, Process Integration);   обучение и профессиональное развитие в области разработок приложений SAPUI5 (FIORI) и сопутствующих технологиях (SAP SCP, Java, REST/SOAP/oData);   участие в проектах в качестве back-end (ABAP) или front-end (Fiori, SAPUI5) разработчика.   ",Стажировка,Полный день,Нет опыта,,,,,90000.0,стажер разработчик sap,"Высшее техническое или экономическое образование. Знание минимум одного из языков программирования (Java, C++, C#, Python, JavaScript, Delphi/Object Pascal, Ruby...","Обучение и профессиональное развитие в области разработок на языке программирования ABAP и сопутствующих технологиях (SAP HANA, Process Integration). ",0.4666666666666667,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Атос АйТи Солюшенс энд Сервисез,2019-12-06T11:58:27+0300,"  Вводная о проекте:    Проект поддержки/развития системы SAP.    Требования:      Опыт настройки/поддержки в роли консультанта или старшего консультанта не менее 2-х лет в области SAP QM;   Уровень владения английским языком и/или немецким языком не ниже Intermediate;   Знание стандартных процессов в SAP QM, а также знание основных взаимосвязей с модулями: PP, MM.     Желательно:     Знание ABAP для поиска ошибок в коде и для разработки функциональных спецификаций и тестирования.      Обязанности:      Обработка заявок на 2-3 уровне поддержки. Разрешение инцидентов и проблем в системе SAP клиента;   Участие в разработках нового функционала / модификации существующего функционала в системе SAP клиента;   Выполнение типовых настроек в системе;   Проведение анализ сбоев и дальнейшее описание и передача на исправление программисту;   Коммуникация, участие в совещаниях и переговорах с ключевыми лицами заказчика;   Разработка пользовательской документации.      Условия:      Компания предлагает стабильную и интересную работу, возможность профессионального развития;   Изучение английского и немецкого языка;   Предоставление дополнительных отпусков;   Предоставление материальной помощи по особым случаям;   Добровольное медицинское страхование (поликлиника, стоматология) - 100% компенсация для сотрудников компании;   Компенсация питания сотрудника;   Программа компенсаций занятий спортом;   Программа награждения сотрудников за выдающиеся успехи;   Комфортный офис в  г. Воронеже и г. Краснодаре ;    ВОЗМОЖНА УДАЛЕННАЯ РАБОТА     ",Полная занятость,Полный день,От 1 года до 3 лет,|SAP|SAP QM,3.0,,1.0,90000.0,sap qm сonsultant,Опыт настройки/поддержки в роли консультанта или старшего консультанта не менее 2-х лет в области SAP QM. ,Знание ABAP для поиска ошибок в коде и для разработки функциональных спецификаций и тестирования. Обработка заявок на 2-3 уровне...,0.23333333333333334,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
