city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,seo,seo оптимизация,google analytics,html,яндекс.метрика,css,поисковая оптимизация сайтов,составление семантического ядра,внутренний аудит сайта,копирайтинг,other
Москва,Дверной Континент,2019-12-06T09:34:58+0300," Обязанности:   -аудит сайтов компании ( дизайн, проблемы работоспособности),   -внутренняя и внешняя оптимизация сайтов,   -изучение клиентов, источников трафика ,   -формирование ТЗ для верстальщиков, программистов,   -написание тестов,   -продвижение в социальных сетях,   -самостоятельное наполнение сайта при необходимости,   -контроль статистики , анализ рынка и конкурентов,   -продвижение интернет-магазина компании.   Требования:     Опыт работы в SEO агентстве от 3-х лет в крупных компаниях или на крупных проектах,   Знание процесса разработки сайтов с 0 (верстка, дизайн, и т.д.).     Условия:   возможны варианты удаленной работы, занятости на проект ",Полная занятость,Гибкий график,От 1 года до 3 лет,|CSS|SEO|HTML|Adobe Photoshop|CSS3,3.0,111000.0,1.0,100000.0,seo оптимизатор,Опыт работы в SEO агентстве от 3-х лет в крупных компаниях или на крупных проектах.,"аудит сайтов компании ( дизайн, проблемы работоспособности). -внутренняя и внешняя оптимизация сайтов. -изучение клиентов, источников трафика . -формирование ТЗ для верстальщиков, программистов. -",0.23333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Москва,PRANDSEO,2019-11-25T14:34:37+0300," В нашу компанию на интересные задачи требуется SEO-специалист.    Обязанности   и профессиональные навыки:       Опыт работы в агентстве;    Проведение технического аудита сайта;   Разработка общей стратегии продвижения проекта;   Мониторинг конкурентов и проведение конкурентного анализа;   Подбор ключевых фраз и составление семантического ядра, кластеризация запросов;   Составление и проверка внедрения мета-тегов и заголовков;   Постановка и контроль выполнения задач копирайтерами, программистами;   Юзабилити-тестирование;   Анализ внешней ссылочной массы;   Навыки работы с Excel - сортировка, поиск, построение простых и сложных формул, сведение данных;   Внутренняя оптимизация сайта, оптимизация структуры сайта;   Глубокая аналитика - посещаемость, конверсии, точки роста;   Разработка рекомендаций по увеличению конверсии;   Отчетность по результатам продвижения.      Требования:      Понимание принципов работы поисковых систем;   Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер;   Умение работать с Excel;   Базовые знания HTML (приветствуются);   Знание и умение работать с популярными CMS - Wordpress, Joomla, Bitrix, и др. (приветствуются).      Личные качества:       Дисциплинированность, исполнительность, ответственность, соблюдение сроков выполнения задач;   Умение самостоятельно учиться и приобретать новые навыки;   Целеустремленность, ориентация на результат. Умение доводить начатое до конца, вне зависимости от трудностей и препятствий, возникающих на пути;   Ответственность. Готовность принимать самостоятельные решения;   Самоорганизованность. Умение работать в условиях многозадачности и отсутствие необходимости постоянных напоминаний;   Инициативность. Готовность и желание вникать в свою работу, искать оптимальные пути решения.      Что мы предлагаем:      Возможность профессионального и карьерного роста;   Постоянная работа, полный рабочий день.      Пожалуйста, в сопроводительном письме укажите 3 самых выдающихся результата, связанных с SEO-оптимизацией с указанием сайта.  ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|SEO оптимизация,3.0,111000.0,1.0,50000.0,seo специалист,"Понимание принципов работы поисковых систем. Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер. Умение работать с Excel. ",Опыт работы в агентстве. Проведение технического аудита сайта. Разработка общей стратегии продвижения проекта. Мониторинг конкурентов и проведение конкурентного анализа. ,0.6,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Москва,Ресторан Комплект,2019-12-04T16:03:24+0300," Обязанности и профессиональные навыки:     Опыт работы с крупными интернет-магазинами будет плюсом;   Опыт выведения высокочастотных и высококонкурентных запросов;   Проведение технического аудита сайта, своевременное реагирование на технические изменения.   Разработка общей стратегии продвижения проекта на 1,2,3 месяца - год;   Мониторинг конкурентов и проведение конкурентного анализа;   Подбор ключевых фраз и составление семантического ядра, кластеризация запросов;   Постановка и контроль выполнения задач копирайтерами, программистами;   Юзабилити-тестирование;   Анализ внешней ссылочной массы;   Анализ внутренней перелинковки;   Навыки работы с Excel - сортировка, поиск, построение простых и сложных формул, сведение данных;   Внутренняя оптимизация сайта, оптимизация структуры сайта;   Глубокая аналитика - посещаемость, конверсии, точки роста;   Разработка рекомендаций по увеличению конверсии;   Отчетность по результатам продвижения.     Требования:     Понимание принципов работы поисковых систем;   Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер;   Умение работать с Excel;   Базовые знания HTML (приветствуются);   Знание и умение работать с CMS Bitrix     Личные качества:     Дисциплинированность, исполнительность, ответственность   Умение самостоятельно учиться и приобретать новые навыки;   Целеустремленность, ориентация на результат.   Ответственность. Готовность принимать самостоятельные решения;   Самоорганизованность.   Инициативность. Готовность и желание вникать в свою работу, искать оптимальные пути решения.     Что мы предлагаем:     ЗП 30 000 рублей на время испытательного срока, далее будет пересмотр на основании полученных результатов   Возможность профессионального и карьерного роста;   Полный рабочий день с графиком 5/2 удаленно.   ",Полная занятость,Удаленная работа,От 1 года до 3 лет,,3.0,111000.0,1.0,35000.0,seo специалист,"Понимание принципов работы поисковых систем. Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер. Умение работать с Excel. ","Опыт работы с крупными интернет-магазинами будет плюсом. Опыт выведения высокочастотных и высококонкурентных запросов. Проведение технического аудита сайта, своевременное реагирование...",0.3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Москва,BR Lab,2019-12-05T18:38:52+0300,"  Мы - IT компания, которая делает успешные проекты в сфере спортивных онлайн-медиа. Наши издания о спорте и ставках на спорт лидеры рынка в России и СНГ. За последние 2 года мы выросли в 10 раз. Сейчас холдинг насчитывает более 330 сотрудников, 3 офиса - Москва, Краснодар и Ереван, и еще мы занимаемся международной экспансией и хотим в следующем году открыть офис в Нью-Йорк.    Что мы от тебя ждем:      опыт сбора СЯ;   опыт работы постановки ТЗ на программные доработки, тексты;   знание отличий в продвижении в Google и Яндекс;   базовые знания HTML, CSS, JS;   здоровое чувство юмора - это мы любим.      Задачи:      сбор и кластеризация СЯ;   анализ ниши и конкурентов;   проведение аудитов сайта;   внутренняя оптимизация сайта;   написание ТЗ по оптимизации сайта и для копирайтеров;   отслеживание позиций в поисковых системах;   размещение ссылок.        Что мы предоставляем:      НЕ ПОТОКОВОЕ SEO;   современный Seo-софт и сервисы (key collector, Key Assort, keys.so, Ahrefs и т.д.);   корпоративное обучение, компенсация курсов / тренингов;   возможность реализации собственных идей;   современное оборудование;   компенсация обедов;   для желающих - практика английского языка;   возможность работы УДАЛЕННО.          Условия:      Интересную работу в спортивном проекте;   Гибкое начала рабочего дня;   Конкурентную заработную плату;   Возможность расти и развиваться вместе с компанией;   Дружную и молодую команду;   Крутой дизайнерский офис с теннисным столом и удобным рабочим местом;   Свежие фрукты каждый день и оплачиваемые обеды;   Обучение, тренинги, митапы и прочие тимбилдинги;   Участие в профильных конференциях;   А еще у нас насыщенная корпоративная жизнь, где каждый найдет себе занятие по интересам (футбол, настольные игры, совместные просмотры спортивных мероприятий, фильмов).   ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|SEO оптимизация|внутренний аудит сайта|HTML|CSS|Яндекс.Метрика,3.0,160000.0,1.0,73888.88888888889,seo специалист,"Опыт сбора СЯ. Опыт работы постановки ТЗ на программные доработки, тексты. Знание отличий в продвижении в Google и Яндекс. ",Сбор и кластеризация СЯ. Анализ ниши и конкурентов. Проведение аудитов сайта. Внутренняя оптимизация сайта. Написание ТЗ по оптимизации сайта и...,0.26666666666666666,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1
Москва,Медиагруппа «Актион-МЦФЭР»,2019-12-12T09:42:28+0300," Крупный издательский холдинг приглашает в свою команду SEO-специалиста.    Обязанности:      Контроль за наполнением сайтов, обеспечение сайтов контентом;   Редактирование материала разного формата: статьи, ответы на вопросы, новости;   Написание и мониторинг новостей на тему образования;   Кластеризация, внутренняя перелинковка.   Работа с отчетами в Excel и Google Sheets.     Требования:     Аналогичный опыт работы от 1 года, образование не ниже среднего   Знание: Google Analytics, Яндекс метрика   Опыт разработки ТЗ на тексты   Умение пользоваться самыми распространёнными сервисами и программами для SEO продвижения   HTML CSS (базовый)      Личностные качества:      Креативность, пунктуальность, доброжелательность, исполнительность, ответственность, грамотность, инициативность, умение работать в режиме многозадачности     Условия:     Работа в крупнейшем издательском холдинге;   Офис в 10-ти минутах ходьбы от м. Дмитровская;   Молодой, успешный, творческий и талантливый коллектив;   Отличные возможности для карьерного роста и развития;   Оформление в соответствии с нормами Трудового законодательства, ДМС.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,111000.0,1.0,73888.88888888889,seo специалист,"Аналогичный опыт работы от 1 года, образование не ниже среднего. Знание: Google Analytics, Яндекс метрика. Опыт разработки ТЗ на тексты. ","Контроль за наполнением сайтов, обеспечение сайтов контентом. Редактирование материала разного формата: статьи, ответы на вопросы, новости. Написание и мониторинг новостей...",0.03333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Demis Group,2019-11-29T16:12:16+0300,"  Кого мы ищем?    Мы ищем талантливого автора для долгосрочного сотрудничества, который сможет готовить совместно со специалистами компании качественный интересный контент по различным направлениям digital- и интернет-маркетинга.    Обязанности:      Написание крутых маркетинговых статей в наш блог.   Писать без воды, шаблонов и набивших оскомину фраз и пассажей, вроде «наши менеджеры свяжутся с Вами и ответят на все вопросы» или «Индивидуальный подход к каждому клиенту».   Поиск инфоповодов, участие в разработке контент-плана.      Требования:      Высшее образование.   Грамотная письменная и устная речь.   Опыт работы копирайтером или редактором от 1 года.   Понимание сферы интернет-маркетинга (SEO, контекстная реклама, SMM, медийная реклама и т. д.) и опыт написания статей на эту тему.   Понимание целевой аудитории и методов взаимодействия с ней через текст. Знание основ маркетинга.   Выполнение тестового задания.     Условия работы:     Свободный график.   Достойная оплата труда, на начальном этапе – до 50 000 рублей.   Интересные проекты и команда.   Возможность дополнительного обучения.   Возможности финансового роста.   Работа по договору.   ",Частичная занятость,Удаленная работа,От 3 до 6 лет,|Копирайтинг|SEO-копирайтинг|Social Media Marketing|Написание статей|Написание текстов,6.0,111000.0,3.0,73888.88888888889,копирайтер по тематике «seo»,Высшее образование. Грамотная письменная и устная речь. Опыт работы копирайтером или редактором от 1 года. Понимание сферы интернет-маркетинга (SEO...,"Написание крутых маркетинговых статей в наш блог. Писать без воды, шаблонов и набивших оскомину фраз и пассажей, вроде «наши менеджеры...",0.4666666666666667,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Москва,РА Кефир,2019-12-12T10:29:49+0300,"  В связи с расширением и развитием интернет-проектов в РА Кефир открыта вакансия на позицию SEO-оптимизатор / SEO-специалист.         Обязанности:      Семантический анализ запросов и подготовка рекомендаций по поисковому продвижению сайта (от стратегии до результатов);   Внутренняя и внешняя оптимизация сайтов. Улучшение поведенческих факторов;   Контроль позиций сайта и мероприятия по улучшению позиций;   SEO- и usability-аудит сайта;   Разработка рекомендаций по подготовке и публикации контента;   Тесное взаимодействие с отделом интернет-маркетинга, разработки и редакцией;   Участие в проектировании сайтов;   Подготовка отчётности.       Требования:       Опыт SEO-продвижения;   Понимание особенности работы поисковых систем Яндекс и Google;   Опыт работы с Яндекс.Метрика, Google Analytics;   Умение работать с программами - KeyCollector, Screaming Frog, Xenu;   Знание методов поисковой оптимизации и умение применять их на практике;   Ответственность, целеустремленность и исполнительность, хорошие аналитические способности.       Условия:         Оформление трудовых отношений в соответствии с действующим законодательством РФ       Справедливая зарплата (оклад + бонус) по результатам собеседования и вашей квалификации       График работы 5/2, время начала и окончания рабочего дня обсуждается       Молодой, приятный и очень квалифицированный коллектив     ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|SEO|Google Analytics|Яндекс.Метрика|Поисковая оптимизация сайтов|Интернет-реклама,3.0,111000.0,1.0,73888.88888888889,seo оптимизатор ‎ seo специалист,"Опыт SEO-продвижения. Понимание особенности работы поисковых систем Яндекс и Google. Опыт работы с Яндекс.Метрика, Google Analytics. Умение работать с...",Семантический анализ запросов и подготовка рекомендаций по поисковому продвижению сайта (от стратегии до результатов). Внутренняя и внешняя оптимизация сайтов. ,0.03333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
Москва,ЭРСТВАК,2019-12-04T19:32:12+0300,"   В связи с расширением компании требуется на постоянную работу SEO - оптимизатор.       Не удаленная работа!      В твои обязанности будет входить:      сбор СЯ (Key Collector), кластеризация;   формирование ТЗ внешним копирайтерам;   размещение материалов;   контроль позиций, работа с Analytics и Метрика;   внесение технических правок.       Что мы от тебя ждем:    Нам важно, чтобы кандидат был уверенным пользователем Битрикс и WordPress, имел опыт в регистрации доменов, установки CMSи последующей настройки. Если имеются собственные кейсы - обсудим их, для нас это только плюс, так как нужен не теоретик, а практик!    Что мы предлагаем:      Работа в динамично развивающейся компании.   Современный офис в 5-ти минутах ходьбы от м. Электрозаводская.   Белая заработная плата.   Официальное оформление по ТК РФ (оплата отпуска, больничного листа).   График работы: 5/2 (суббота и воскресенье - выходные).   Молодой целеустремленный коллектив.   Приятные бонусы в ассортименте: фрукты, хороший кофе, корпоративная связь.   Яркие корпоративы 2 раза в год, своя футбольная команда.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,111000.0,1.0,73888.88888888889,seo специалист,Без требований,"Сбор СЯ (Key Collector), кластеризация. Формирование ТЗ внешним копирайтерам. Размещение материалов. Контроль позиций, работа с Analytics и Метрика. ",0.3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,PRANDSEO,2019-11-25T14:35:20+0300," В нашу компанию на интересные задачи требуется  Ведущий SEO-специалист .    Соискатель требуется на удаленную работу с встречей в офисе, у метро Павелецкая, 1-2 раза в неделю.     Обязанности   и профессиональные навыки:       Опыт работы в агентстве;     Опыт продвижения интернет-магазинов (90% клиентов - это ИМ);     Опыт одновременного ведения от 10 проектов;     Опыт выведения высокочастотных и высококонкурентных запросов;        Проведение технического аудита сайта;   Разработка общей стратегии продвижения проекта;   Мониторинг конкурентов и проведение конкурентного анализа;   Подбор ключевых фраз и составление семантического ядра, кластеризация запросов;   Составление и проверка внедрения мета-тегов и заголовков;   Постановка и контроль выполнения задач копирайтерами, программистами;   Юзабилити-тестирование;   Анализ внешней ссылочной массы;   Навыки работы с Excel - сортировка, поиск, построение простых и сложных формул, сведение данных;   Внутренняя оптимизация сайта, оптимизация структуры сайта;   Глубокая аналитика - посещаемость, конверсии, точки роста;   Разработка рекомендаций по увеличению конверсии;   Отчетность по результатам продвижения.      Требования:      Понимание принципов работы поисковых систем;   Умение работать с Google Analytics, Яндекс.Метрика, Google Search Console, Яндекс.Вебмастер;   Умение работать с Excel;   Базовые знания HTML (приветствуются);   Знание и умение работать с популярными CMS - Wordpress, Joomla, Bitrix, и др. (приветствуются).      Личные качества:       Дисциплинированность, исполнительность, ответственность, соблюдение сроков выполнения задач;   Умение самостоятельно учиться и приобретать новые навыки;   Целеустремленность, ориентация на результат. Умение доводить начатое до конца, вне зависимости от трудностей и препятствий, возникающих на пути;   Ответственность. Готовность принимать самостоятельные решения;   Самоорганизованность. Умение работать в условиях многозадачности и отсутствие необходимости постоянных напоминаний;   Инициативность. Готовность и желание вникать в свою работу, искать оптимальные пути решения.      Что мы предлагаем:      Доход от 100 000 рублей (Оклад + % от выполнения KPI);   Оклад на испытательном сроке будет обсуждаться с успешным кандидатом;   Возможность профессионального и карьерного роста;   Постоянная работа, полный рабочий день;   Полный рабочий день с графиком 5/2.      Пожалуйста, в сопроводительном письме укажите 3 самых выдающихся результата, связанных с SEO-оптимизацией с указанием сайта.  ",Полная занятость,Удаленная работа,От 3 до 6 лет,,6.0,111000.0,3.0,100000.0,ведущий seo специалист,Опыт работы в агентстве. Опыт продвижения интернет-магазинов (90% клиентов - это ИМ). Опыт одновременного ведения от 10 проектов. ,Проведение технического аудита сайта. Разработка общей стратегии продвижения проекта. Мониторинг конкурентов и проведение конкурентного анализа. Подбор ключевых фраз и составление...,0.6,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Москва,Студия Ремонтов,2019-12-13T19:13:00+0300," Мы компания, занимающаяся ремонтно-отделочными работами. Постоянно растем и развиваемся. Сейчас ищем специалиста, который поднимет уровень продвижения наших проектов на новый уровень.    Обязанности:      Разработка стратегии продвижения и развития сайта;   Написание технических заданий на оптимизацию сайта;   Осуществление контроля над позициями и метриками продвижения;   Подготовка отчетности о проделанных работах;   Участие в мозговых штурмах и исследованиях.     Требования:     Опыт работы более 5 лет;   Портфолио из нескольких проектов с трафиком выше 100 тыс. посетителей в месяц, с возможностью подтверждения;   Уметь менять оптимизацию, если сделанная «по науке» не зашла;   Уметь глубоко погружаться в продвигаемую нишу и изучать конкурентов;   Уметь правильно работать в однозадачном режиме, выдавая максимум скорости и качества;   Уметь нащупывать рабочую схему и масштабировать её;   Уметь регулярно ставить задачи, проверять их, отправлять на доработку и принимать;   Знать все, что должен знать SEO-специалист (спокойно ответить на вопрос уровня &quot;чем отличаются прямой и обратный индекс&quot;.     Условия:     Полный рабочий день;   График работы: 5/2 с 10 до 19;   Оклад 80 тыс + КПИ + % от продаж;   Современный офис в Москва-сити;   Бесплатный классный кофе, чай, сладости.   ",Полная занятость,Полный день,От 3 до 6 лет,|SEO оптимизация|Управление бюджетом|Работа с SEO провайдерами|Внешняя оптимизация сайта,6.0,111000.0,3.0,80000.0,seo специалист,"Опыт работы более 5 лет. Портфолио из нескольких проектов с трафиком выше 100 тыс. посетителей в месяц, с возможностью подтверждения. ",Разработка стратегии продвижения и развития сайта. Написание технических заданий на оптимизацию сайта. Осуществление контроля над позициями и метриками продвижения. ,0.0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
