city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,javascript,css,html,git,html5,php,css3,jquery,mysql,react,other
Москва,Аксон,2019-11-27T12:26:02+0300,"   Компания АКСОН - один из крупнейших ритейлов формата DIY с 27-летним успешным опытом работы.      РАБОТА В КОМАНДЕ АКСОН ЭТО:    - Возможность самореализации   - Возможность карьерного роста на основе объективной оценки профессиональных навыков и достигнутых результатов.   - Возможность стать частью большого дружного коллектива единомышленников.   Мы открываем вакансию &quot;Руководитель Web-проектов&quot; и приглашаем целеустремленных и амбициозных в нашу команду.    Предполагаемые обязанности:      Управление развитием клиентских сервисов   Выявление потребностей бизнеса, формулирование задач на разработку   Администрирование проектов согласно установленным целям и срокам   Планирование бюджета проекта, сроков и качества, управление рисками   Контроль исполнения работ подрядчиком согласно ТЗ   Разработка технических заданий   Работа с IT-отделом по интеграциям с внешними и внутренними ресурсами      Требования к кандидату:      Опыт работы в роли менеджера проектов больше трех лет   Знание принципов разработки web и мобильных приложений   Способность находить общий язык с разными людьми: от разработчиков до стейкхолдеров   Умение разобраться в чужом коде   Понимание принципа работы с noSQL базами данных   Опыт разработки портальных решений      Мы предлагаем:      Оформление по ТК РФ   Возможность карьерного роста   Заработная плата конкурентоспособная, подробнее обсуждается индивидуально по итогам собеседования;   Работа в стабильной, успешно развивающейся компании с 27-летней историей   Корпоративные льготы (скидки на товар в сети &quot;Аксон&quot;), уютный офис,зоны для отдыха, уютная обеденная зона, весёлые совместные праздники, футбол!    Территориально г. Мытищи, Ярославское шоссе ( шаговая доступность от станции + собственная парковка для сотрудников)    Дружный коллектив   Рабочий день с пн по пт с 09:00 до 18:00      Компания Аксон входят в ТОП-10 Крупнейших ритейлов DIY* * данные INFO line      ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,126000.0,1.0,126000.0,web,Опыт работы в роли менеджера проектов больше трех лет. Знание принципов разработки web и мобильных приложений. Способность находить общий язык...,"Управление развитием клиентских сервисов. Выявление потребностей бизнеса, формулирование задач на разработку. Администрирование проектов согласно установленным целям и срокам. ",0.5333333333333333,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,МаксимаТелеком,2019-12-04T21:25:26+0300,"      Обязанности:        Разработка концепций, прототипирование сайтов;       UX/UI-дизайн сайтов заказчиков и страниц рекламных проектов;       Проработка сценариев использования интерфейсов;       Создание нестандартных визуальных решений.            Требования:        Опыт работы на аналогичной должности не менее 3 лет, наличие портфолио обязательно;       Профильное образование (высшее или дополнительное);       mobile-first подход в разработке дизайна;       Владение Sketch / Figma / Adobe Photoshop / Illustrator / Axure;       Отличные знания UX/UI-дизайна и умение создавать удобные, простые и понятные интерфейсы;       Понимание различий дизайна для iOS/Android;       Внимание к деталям, насмотренность;       Страсть к дизайну, интерфейсам и рекламе.            Будет плюсом:        Понимание принципов интернет-маркетинга и знания о том, как работает реклама и зачем вообще создаются сайты;       Грамотная письменная и устная речь, умение презентовать и объяснять свои решения в предлагаемом дизайн-проекте;       Иметь представление о frontend-разработке;       Опыт в графическом дизайне/айдентике/брендинге, моушн-дизайне/анимации;       Умение рисовать.            Условия:        Полное соблюдение ТК РФ;       «Белая» заработная плата;       График 5/2, с 10.00 до 19.00;       Комфортный офис (5 мин. от м. Новослободская);       ДМС.     ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,137522.72727272724,1.0,84969.69696969698,web,"Опыт работы на аналогичной должности не менее 3 лет, наличие портфолио обязательно. Профильное образование (высшее или дополнительное). Mobile-first подход...","Разработка концепций, прототипирование сайтов. UX/UI-дизайн сайтов заказчиков и страниц рекламных проектов. Проработка сценариев использования интерфейсов. Создание нестандартных визуальных...",0.3,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Электронная торговая площадка Газпромбанка,2019-11-25T12:25:51+0300," ООО ЭТП ГПБ – дочернее предприятие Газпромбанка, созданное с целью организации межотраслевой торговой площадки для клиентов Банка и других корпоративных заказчиков.   Сейчас мы расширяем команду и приглашаем в команду Frontend-разработчик.    Требования:      Отличное знание HTML/CSS   Отличное знание нативного JS (es2015, es6)   Понимание подходов ООП и ФП, SOLID   Уметь писать код на typescript (generic, enum, interface, работа с типами, ООП)   Уверенное владение vuejs, умение работать с vue-router и vuex, компонентный подход при разработке.   Умение работать с webpack: уметь собрать приложение, понимать как разрезать его на чанки, проанализировать результат, настроить динамический импорт.   Уметь отлаживать код и находить проблемные места в нем.   Не бояться старого кода, понимать как аккуратно проводить рефакторинг.   Ответственность, коммуникабельность, отсутствие страха перед сложными задачами.      Будем рады увидеть примеры Вашего кода, ссылки на GitHub или BitBucket, ссылки на реализованные проекты.     Мы предлагаем:        возможность удаленного сотрудничества;       трудоустройство по ТК РФ;       пятидневную рабочую неделю с 10.00 до 19.00;       офис компании - м.Полянка (5 минут от метро)       стать частью сильной и увлеченной своим делом команды;       оплату посещения профильных курсов и конференций;       большие возможности не только применить весь свой опыт, но и приобрести новый;       классный офис с зонами отдыха и настольными играми, печеньки, чай и много кофе.     ",Полная занятость,Полный день,От 3 до 6 лет,|HTML5|JavaScript|CSS3|CSS|HTML|XML|PixelPerfect|jQuery|PostgreSQL|CoffeeScript|Vanilla JS|Underscore|Ruby On Rails|vue.js,6.0,137522.72727272724,3.0,84969.69696969698,web,"Отличное знание HTML/CSS. Отличное знание нативного JS (es2015, es6). Понимание подходов ООП и ФП, SOLID. ","ООО ЭТП ГПБ – дочернее предприятие Газпромбанка, созданное с целью организации межотраслевой торговой площадки для клиентов Банка и других корпоративных заказчиков.",0.6,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1
Москва,Ликвиум,2019-12-11T11:21:16+0300," Всем привет! Меня зовут Антон, я руководитель компании Liqium.       Нам необходим сотрудник с опытом для полного комплекса работ по ведению web-проектов. Задачи сложные и их много. Требования высокие. Мотивация — карьерный и профессиональный рост. У нас в команде отличная возможность поработать с крупными брендами, нестандартными задачами, получить информацию &quot;из первых рук&quot;.       Нашей студии 9 лет, мы молодая, но активно развивающаяся компания и нам необходимы целеустремленные и перспективные сотрудники. Работа многоплановая: от создания документации на проект и тестирования мелких правок до полного внедрения в проект. Работаем в основном со средним и крупным бизнесом. Потребуется полноценная вовлеченность в творческий процесс: общение с клиентом, обсуждение и контроль проектов, подготовка презентаций, тестирование и т.д. Хорошая возможность создать серьезное портфолио.        Требования:      Опыт ведения web-проектов от 2-х лет   Продвинутый пользователь ПК   Понимание принципов работы web-технологий   Умение грамотно и четко излагать свои мысли. Это важно!   Умение организовать собственную работу, управлять своим временем, расставлять приоритеты и работать в условиях многозадачности.          Обязанности :     Управление проектами по созданию/доработке интернет-сайтов, контроль качества, сроков, управление рисками, изменениями   Разработка и актуализация проектной документации: Технических заданий, спецификаций   Функциональное тестирование работ   Ведение договорных отношений с контрагентами   Желательно знание и опыт работы с Битрикс24          Условия:      Работа в центре, м. Таганская;   Дружный коллектив и оборудованное рабочее место;   Заработная плата по результатам собеседования,   График работы с 5/2   Оформление по ТК         В нашей команде у вас появится отличная возможность для профессионального роста.   Просьба в отклике обязательно указывать ссылку на портфолио и пожелания по заработной плате.     ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,137522.72727272724,1.0,84969.69696969698,web,Опыт ведения web-проектов от 2-х лет. Продвинутый пользователь ПК. Понимание принципов работы web-технологий. Умение грамотно и четко...,"Управление проектами по созданию/доработке интернет-сайтов, контроль качества, сроков, управление рисками, изменениями. Разработка и актуализация проектной документации: Технических заданий...",0.06666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Первый Бит,2019-12-09T12:29:44+0300," Центральный офис — крупнейший офис компании Первый бит. Наши Клиенты – крупные корпоративные заказчики и представители среднего бизнеса из различных отраслей. Офис открыт в 1998 году, и за 21 год работы мы успешно реализовали сотни проектов для российских и международных компаний.       В связи с развитием компании, мы ищем новую звезду в нашу дружную и креативную  WEB-студию , которая будет стремительно развиваться вместе с нами! Наличие опыта работы в веб-направлении обязательно.   Менеджер проекта ничего не забывает, всё предусматривает и полностью контролирует все параметры проекта. Это человек, у которого есть идеи и желание их реализовать. Он знает людей и свое дело. Основная задача: реализация интернет-проектов для достижения поставленных целей наших клиентов.    МЫ ПРЕДЛАГАЕМ:      Интересную работу в крупной IT компании, одной из лидеров отрасли: профессиональный рост и развитие, интересные задачи и дружную рабочую атмосферу.   Стабильный оклад + бонус от выполнения плана. Верхний предел заработной платы не ограничен, все зависит только от Вас.   Реальные возможности профессионального и карьерного роста, все наши руководители начинали свой путь с линейных должностей.      КАКИЕ ЗАДАЧИ БУДУТ СТОЯТЬ ПЕРЕД ВАМИ:      Подготовка, ведение и контроль интернет проектов на всех этапах: анализ, подготовка, процесс создания/ разработки, тестирование, запуск и сопровождение.   Постановка задач внутренним службам компании и продакшенам на аутсорсе, а также контроль их выполнения и сроков.   Написание ТЗ, ведение проектной документации, утверждение ее с клиентом.   Своевременно решать возникающие в процессе выполнения проектов проблемы, урегулировать спорные вопросы.   Постоянно работать над улучшением качества и эффективности коммуникаций.      КАКИЕ У НАС БУДУТ ПОЖЕЛАНИЯ К КАНДИДАТУ:      Опыт работы менеджером WEB-проектов.   Навыки разработки и написания документации по проектам и по развитию услуг.   Умение быстро реагировать на ситуацию, стрессоустойчивость, умение качественно вести несколько проектов одновременно.   Знание интернет-маркетинга, возможностей и особенностей различных инструментов реализации, умение обосновать выбранные решения, убедить в этом клиентов.   Командный игрок, способный к компромиссам и работе в проектной группе, но при этом самостоятельная сильная единица этой команды, умеющая брать на себя ответственность и работать на результат.   Знания и опыт работы с Битриксом, интеграции с продуктами 1С.   Наличие технических знаний в области веб-разработки.      УСЛОВИЯ:      Работа в крупной международной IT-компании.   Реальные возможности профессионального и карьерного роста вплоть до Руководителя офиса в будущем.   Обучение на всех этапах твоего развития.   Полностью белая заработная плата: фиксированная часть (оклад)+ kpi. И никакого потолка!   Льготные условия ДМС для сотрудников, корпоративный спорт (футбол, волейбол), корпоративные мероприятия   Трудоустройство по ТК РФ, график 5/2 c 09:30 до 18:30.     Если Вы активный человек, который получает драйв от своей работы, постоянно развивается и ищет работу в стабильной компании – присылайте свое резюме! ",Полная занятость,Полный день,От 1 года до 3 лет,|Управление проектами|Работа в команде|Креативность|1С-Битрикс|Обучение и развитие,3.0,137522.72727272724,1.0,50000.0,web,Опыт работы менеджером WEB-проектов. Навыки разработки и написания документации по проектам и по развитию услуг. Умение быстро реагировать на...,"Подготовка, ведение и контроль интернет проектов на всех этапах: анализ, подготовка, процесс создания/ разработки, тестирование, запуск и сопровождение. ",0.13333333333333333,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,РА ЭНЕРДЖИ,2019-12-13T14:24:08+0300,"  Обязанности     Разработка сайтов и внесение ежемесячных сео правок в сайты клиентов. (Около 10 сайтов на правки на 1го программиста)      Работа с различными CMS (контент, шаблоны, модули);   HTML-верстка;   Чтение ТЗ и работа согласно его требованиям      Требования:      Среднее техническое образование;   Знание HTML, CSS, JavaScript, PHP;   Знакомство хотя бы с одной CMS (1C Bitrix, HostCMS);   Высокая обучаемость и работоспособность, аналитические навыки, способность быстро осваивать большие объемы информации;   Желание развиваться в сфере web-программирования.          Будет плюсом:      Знакомство с SQL.   Знакомство с jQuery.   Знакомство с Photoshop.          Мы предлагаем:      Стабильная и интересная работа в дружном молодом коллективе;   Профессиональный и карьерный рост. Опыт работы с большими объёмами данных, знания и навыки работы c сайтами различного уровня;   Конкурентоспособная заработная плата - фикс 60-100 000 руб + % от создания   Оформление по ТК РФ;   График работы 5/2 с 10.00 до 19.00;   Испытательный срок 2 месяца;   Офис в центральном округе, рядом с м. Красносельская, или Бауманская   ",Полная занятость,Полный день,От 1 года до 3 лет,|Веб-программирование|Администрирование сайтов|Веб-дизайн|Создание сайтов|Наполнение контентом|Поисковая оптимизация сайтов|Продвижение сайтов,3.0,100000.0,1.0,60000.0,web,"Среднее техническое образование. Знание HTML, CSS, JavaScript, PHP. Знакомство хотя бы с одной CMS (1C Bitrix, HostCMS). ","Работа с различными CMS (контент, шаблоны, модули). HTML-верстка. Чтение ТЗ и работа согласно его требованиям.",0.0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Брискли,2019-12-04T15:03:50+0300,"  Кто такие Briskly?    Мы первые в России с законченным работающим решением по беспилотному магазину, приложению Scan&amp;Go и платформе лояльности для ритейла.    Наши кейсы: магазин-контейнер без персонала, магазин с 37 камерами и нейросетью в Сколково, фестиваль Geek Picnic без очередей и еще с десяток интересных решений.    О нас пишут СМИ - VC.ru, Rusbase, РБК, Retail.ru, Retailer, Skolkovo, Секрет Фирмы, Генеральный директор и другие.     Кого мы ищем? Специалиста в команду на долгосрочное сотрудничество.  Обязанности:      разработка клиентской части веб-приложений   самостоятельная верстка и сборка экранов по макетам   подключение собранных макетов к API   доработка и модификация стека фронтенда      Требования:      Навыки в: Vue.js (ReactJs), JavaScript, HTML, CSS, Git     Дополнительные навыки в NodeJs.    Условия:    1. Работающий и красивый продукт, который нравится не только нам, но и клиентам. У нас регистрируется по 400 пользователей в день.   2. Никакой бюрократии, без начальников и понедельников. Принятие решений внутри команды в течение 12 часов. Даже ночью. Даже в новогоднюю ночь   3. Отличный график работы. ",Полная занятость,Гибкий график,От 1 года до 3 лет,"|Vue.js (ReactJs), JavaScript, HTML, CSS, Git",3.0,137522.72727272724,1.0,80000.0,web,"Навыки в: Vue.js (ReactJs), JavaScript, HTML, CSS, Git. Дополнительные навыки в NodeJs.",Разработка клиентской части веб-приложений. Самостоятельная верстка и сборка экранов по макетам. Подключение собранных макетов к API. Доработка и модификация...,0.3,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
Москва,ЮК-Консалтинг,2019-12-02T21:14:27+0300," Ищем Backend PHP developer (middle - senior) в компанию занимающуюся производством детских товаров под своим брендом и онлайн реализацией по всей России.   Это уверенно растущая компания, с рентабельной бизнес-моделью. Продажи которой за 2018 год выросли в 4 раза. Планируется выход в Европу (Германию). Сейчас есть уникальный шанс стать ядром технической команды компании, которая скоро станет очень заметным игроком на рынке.    Обязанности:      Разрабатывать и поддерживать работоспособность сайта, интегрированных сервисов и мобильных приложений;   Писать код, адаптированный к высоким нагрузкам, обеспечивать масштабируемость;   Поддерживать существующий код и развивать функционал;   Внедрять новые решения, вместо легаси кода;   При желании можно изучить frontend, поможем разобраться с react.     Требования:     Опыт разработки на PHP7 (фреймворк Yii2), знание ООП;   Опыт построения интеграций веб-сайтов и сторонних сервисов;   Опыт написания автотестов (unit);   Соблюдение PSR и способность документировать свой код;   Понимание сильных/слабых сторон PHP7;   Будет плюсом, если есть успешный опыт работы с другими фреймворками (Symfony2+, Zend2+).     Условия:     Официальное оформление;   Гибкий график, возможность удаленной работы;   Офис в Москве, 5 минут от метро Водный Стадион.   ",Полная занятость,Удаленная работа,От 3 до 6 лет,|Yii,6.0,137522.72727272724,3.0,84969.69696969698,web,"Опыт разработки на PHP7 (фреймворк Yii2), знание ООП. Опыт построения интеграций веб-сайтов и сторонних сервисов. ","Разрабатывать и поддерживать работоспособность сайта, интегрированных сервисов и мобильных приложений. Писать код, адаптированный к высоким нагрузкам, обеспечивать масштабируемость. ",0.36666666666666664,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Москва,JetCrypto,2019-12-12T00:01:24+0300,"  THE COMPANY   At  JetCrypto  we believe that everyone should have access to decentralized ways of storing and moving value, that’s why every day we are building and improving infrastructure that connects traditional financial system with the blockchain. Our ecosystem consists of physical devices, web-services and exchange - all united in one seamless network. We are looking for individuals willing to join us on a journey to build a next-generation financial system.   We work in a fast-paced and challenging environment, value ‘getting things done’ attitude and manage the company in the most transparent way possible.     THE ROLE    As a  Frontend Developer  based in Moscow office you will be responsible for creating and refining interfaces for web-services and hardware devices. You will play a crucial role in delivering best possible interface experience for our client-facing parts of infrastructure.   What you will do:       Work closely with product team with a focus on new feature design and implementation       DIrectly impact business results by finding elegant solutions to complex problems       Be involved in all stages of UX design for new products and significant updates       Create payment interfaces for web and stand-alone devices       What you need to have:       Deep understanding of React, Redux, Vanilla JS, HTML, CSS       Knowledge of MVC and MVVM concepts is a plus       Experience in collaborating on software projects with deep backend integration       Quick learner with an ambitious and results driven personality       Excellent communication and organisational skills       Works well as part of a team in a fast-paced environment       Fluent English (both written and oral)       Bachelor’s degree or higher        What we offer:       Little to no legacy       Most up-to-date frameworks       High degree of freedom in the way you solve problems       Full-time permanent employment with office near m.Kuntsevskaya       Competitive salary and performance-based bonuses       Entrepreneurial culture and young inspiring colleagues       Opportunity to grow fast together with company        JOIN US  ",Полная занятость,Полный день,От 3 до 6 лет,|JavaScript|REACT|HTML|CSS,6.0,137522.72727272724,3.0,84969.69696969698,web,"Deep understanding of React, Redux, Vanilla JS, HTML, CSS. Knowledge of MVC and MVVM concepts is a plus. ",Work closely with product team with a focus on new feature design and implementation. DIrectly impact business results by finding...,0.06666666666666667,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1
Москва,КЭШОФФ,2019-11-25T15:41:54+0300,"  CASHOFF  – международная fintech-компания, основанная в 2013 году. Компания разрабатывает сервисы импорта и анализа транзакционных данных, а также решения для привлечения и удержания клиентов. Основными клиентами Cashoff являются крупные банки и производители товаров.В 2017 году компания CASHOFF вошла в список десяти лучших fintech-компаний по версии Deloitte. В 2019 году компания стала лауреатом престижной международной премии Global Banking &amp; Finance Awards® в номинации &quot;Лучший поставщик технологий для цифрового банкинга&quot;.Компания является резидентом научно-технологических центров Сколково (Россия), Level39 (Великобритания) и Cyberport (Гонконг).    Обязанности : * Разработка и поддержка облачного сервиса для управления личными финансами * Иногда -- разработка и поддержка заказных решений    Требования : * Высшее образование * Знание принципов ООП * Знание языка Python * Опыт работы с одним из фреймворков Django, Flask * Навыки написания SQL-запросов для CRUD-операций * Владение Git    Будет плюсом : * Опыт работы на языках JavaScript/TypeScript/CoffeeScript * Знакомство с ReactJS.   А чтобы вам было максимально комфортно развиваться в нашей компании, мы предлагаем:     Классную команду, и это не пустые слова!   Новые задачи и вызовы. Мы работаем над интересными проектами и с удовольствием делимся опытом и знаниями. А если внутреннего обучения недостаточно, то Вы сможете выбрать необходимые курсы вовне.   Обучение английскому в офисе. Благодаря этому Вы легко сможете найти общий язык с коллегами из Лондона или Гонконга, а потом полететь туда в командировку и поразить их чистотой произношения:)   Удобный график, где Вы сами определяете для себя режим работы. Долой пробки!   Все преимущества официального трудоустройства (отпуска, больничные, и т.д.). Если верить рекламе, то белая зарплата поможет нам в будущем.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Git|Python|SQL|Pascal|Delphi|XML/Xslt|TypeScript|React|BSScript|Angular,3.0,137522.72727272724,1.0,84969.69696969698,web,"Высшее образование. * Знание принципов ООП. * Знание языка Python. * Опыт работы с одним из фреймворков Django, Flask. * Навыки написания SQL-запросов...",Разработка и поддержка облачного сервиса для управления личными финансами. * Иногда -- разработка и поддержка заказных решений.,0.6,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
