city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,администрирование серверов windows,администрирование сетевого оборудования,linux,настройка сетевых подключений,windows 7,active directory,настройка пк,tcp/ip,настройка по,dhcp,other
Москва,Мультисервисная платежная система,2019-12-03T10:33:09+0300,"  Обязанности:      Участие в разработке технических решений по сетевой инфраструктуре;   Администрирование и поддержка в виртуальной среде сервисов MS Active Directory, DNS, DHCP, WSUS, IIS, Exchange, Terminal, MS SQL сервер;   Администрирование и поддержка виртуальных систем на базе VMware и Hyper-V;   Администрирование системы резервного копирования и восстановления данных;   Администрирование и поддержка систем антивирусной и антиспам защиты;   Администрирование и поддержка серверов Unix;   Администрирование и поддержка сетевого оборудования;   Настройка, сопровождение физических серверов и систем хранения данных HP;   Оказание технической поддержки пользователям ПК;   Взаимодействие с техническими службами провайдеров и контрагентов компании при работах по настройке/восстановлению работоспособности ИТ инфраструктуры;   Контроль физического состояния оборудования, проведение профилактических работ и апгрейда оборудования;   Ведение документации, обработка инцидентов;   Реализация задач связанных с информационной безопасностью.      Требования:      Опыт администрирования ОС: MS Windows 7,8,10, Server 2003-2012, VMware;   Серверные приложения: Active Directory, MS SQL, MS Exchange 2013, MS Terminal server;   Опыт в поддержке программы Альта-ГТД приветствуется;   Визуализация на основе Нуреr-V;   1 С Бухгалтерия;   Знание сетевых технологий: TCP/IP, DNS, DHCP, NAT, WiFi, SSL правил построения сетей, основы телефонии.   Знание аппаратной части РС и возможность диагностики и устранения неполадок;   Навыки сборки, настойки и обслуживания ПК и периферийных устройств (принтеры, сканеры, МФУ, факсы);   Опыт работы с VPN каналами (OpenVpn);   Настройка и сопровождение офисной АТС Asterisk;   Опыт работы с удаленными пользователями.   Технический английский язык.      Условия:      Место работы м. Павелецкая;   Режим работы по соглашению с руководителем 09:00 (10:00)-18:00 (19:00);   Оформление согласно ТК РФ;   Молодой дружный коллектив.   Заработная плата обсуждается с успешным кандидатом.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,74722.22222222223,1.0,65666.66666666669,системный администратор,"Опыт администрирования ОС: MS Windows 7,8,10, Server 2003-2012, VMware. Серверные приложения: Active Directory, MS SQL, MS Exchange...","Участие в разработке технических решений по сетевой инфраструктуре. Администрирование и поддержка в виртуальной среде сервисов MS Active Directory, DNS, DHCP...",0.3333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,ФГ БУЗ Поликлиника №1 Российской академии наук,2019-12-09T10:33:08+0300," Обязанности:     Настройка сетевого оборудования;   Мониторинг состояния сети;   Установка и настройка пользовательских операционных систем;   Установка и настройка прикладных программ:   Обслуживание офисной техники (установка, настройка, диагностика неисправностей, мелкий ремонт и т. п.);   Обслуживание серверного оборудования   Техническая поддержка/обучение пользователей (локальный офис, около 100 рабочих мест);   Бухгалтерские программы СУФД, Эл. бюджет, Торговая площадка;      Требования:      Опыт работы от 1 года   Знание операционных систем Windows, Microsoft Office,   Понимание основ TCP/IP, сетевой инфраструктуры   Знание офисной техники      Условия:        Оформление по ТК РФ, офис в центре города, 1-2 мин. от метро Тургеневская, Чистые пруды, Сретенский бульвар;       Заработная плата по договоренности.       Полный рабочий день   на территории работодателя     ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,74722.22222222223,1.0,65666.66666666669,системный администратор,"Опыт работы от 1 года. Знание операционных систем Windows, Microsoft Office. Понимание основ TCP/IP, сетевой инфраструктуры. Знание офисной техники.",Настройка сетевого оборудования. Мониторинг состояния сети. Установка и настройка пользовательских операционных систем. Установка и настройка прикладных программ: Обслуживание офисной техники...,0.13333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Ростелеком,2019-12-06T15:53:59+0300,"  Обязанности:        оформление и актуализация уставов проектов, планов-графиков, ресурсных планов и других проектных документов;       уведомление и сбор отчетов исполнителей, консолидация отчетной информации;       создание презентационных материалов на различные темы, связанные с реализацией проектов и проектным управлением;   выполнение коммуникационных процедур, рассылка документации по проекту заинтересованным сторонам;       организация рабочих встреч, формирование протоколов рабочих встреч и заседаний коллегиальных органов;       поиск и подбор информации во внутренних и внешних источниках;       сопоставление данных из внешних источников, отчетов, проектных документов, формирование выводов и заполнение форм мониторинга;       мониторинг и содействие своевременному исполнению ключевых задач и поручений по проектам;       исполнение иных прямых поручений руководителя.       Требования:     Релевантный опыт работы будет преимуществом;   Ответственность, коммуникабельность, грамотность;   Владение программами Microsoft Office.     Условия:     Работа в одной из ведущих компаний на российском рынке телекоммуникаций;   Оформление по ТК РФ, «белая» заработная плата (оклад + премии (квартальные, годовые));   ДМС со стоматологией после испытательного срока;   Комфортный офис в центре города в пешей доступности от м.Таганская;   Профессиональный рост в сильной команде.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Протоколирование|Грамотность|Контроль исполнения  решений|Мониторинг рынка|MS Office,3.0,74722.22222222223,1.0,65666.66666666669,администратор проекта,"Релевантный опыт работы будет преимуществом. Ответственность, коммуникабельность, грамотность. Владение программами Microsoft Office.","Оформление и актуализация уставов проектов, планов-графиков, ресурсных планов и других проектных документов. Уведомление и сбор отчетов исполнителей, консолидация отчетной...",0.23333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,MGCOM,2019-12-11T10:31:05+0300,"  Обязанности:      Закупка и учет технических и программных средств‚ расходных материалов и оборудования;   Установка, настройка, подключение компьютеров, организация рабочих мест, установка ПО   Установка офисной оргтехники и оборудования;   Настройка и обслуживание офисной техники (подключение, диагностика);   Техническая поддержка и консультации пользователей по вопросам IT (решение проблем, замена картриджей, подключение принтеров, настройка почтовых клиентов и т.д.)   Сбор офисной мебели (по запросу).          Требования:      Опыт настройки и обслуживания офисной техники;   Опыт установки и настройки типового офисного ПО;   Навыки настройки рабочих мест пользователей, офисных приложений и настройки сети;   Поддержка организованного удаленного доступа к ресурсам;   Опыт работы с линейкой Microsoft Office;   Умение работать в стрессовых условиях, готовность к нестандартным задачам.          Условия:      Работа в современном офисе, с новой техникой;   График 5/2;   Заработная плата по результатам собеседования;   Офис м. Цветной Бульвар (2 мин. пешком).   ",Полная занятость,Полный день,Нет опыта,|Настройка сетевых подключений|Настройка ПО|Windows 7|Настройка ПК|Windows Xp,,74722.22222222223,,65666.66666666669,помощник системного администратора,"Опыт настройки и обслуживания офисной техники. Опыт установки и настройки типового офисного ПО. Навыки настройки рабочих мест пользователей, офисных приложений...","Закупка и учет технических и программных средств‚ расходных материалов и оборудования. Установка, настройка, подключение компьютеров, организация рабочих мест, установка ПО. ",0.06666666666666667,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
Москва,Группа Компаний Основа,2019-12-12T13:07:34+0300," Обязанности:     Диагностика и устранение неисправностей АРМ   Диагностика и устранение неисправностей оргтехники   Исполнение поручений руководства в рамках рабочего процесса подразделения      Требования:      Высшее (неоконченное) образование   Базовые знания линейки клиентских операционных систем MS Windows   Уровень знаний, необходимый для выполнения задач техподдержки первого уровня     Условия:     Полное соблюдение ТК РФ   Комфортный офис в шаговой доступности от метро Электрозаводская (ул. Большая Семеновская)   График работы: 5/2 с 9:00 до 18:00 (выходные: суббота/воскресенье)   Заработная плата &quot;белая&quot; - 60 000 рублей (на руки)   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,60000.0,1.0,60000.0,системный администратор,"Высшее (неоконченное) образование. Базовые знания линейки клиентских операционных систем MS Windows. Уровень знаний, необходимый для выполнения задач техподдержки первого уровня.",Диагностика и устранение неисправностей АРМ. Диагностика и устранение неисправностей оргтехники. Исполнение поручений руководства в рамках рабочего процесса подразделения.,0.03333333333333333,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,СТЕЛЛАР КОНСТРАКШН,2019-12-03T10:41:39+0300," Крупная строительная компания приглашает в свою команду системного администратора    Обязанности:      Установка и обслуживание компьютерной и офисной техники, оргтехники.   Обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server).   Регистрация пользователей, настройка прав доступа пользователей   Обслуживание рабочих мест в офисе.   Решение задач по настройке и системному администрированию, диагностирование и устранение типовых неисправностей ПК, оргтехники     Требования:     Знание ОС (Windows, Android, MacOS).   Опыт установки и поддержки серверного программного обеспечения.   Знание распространенного программного обеспечения (MS Office, 1С и иных программ).   Знание принципов работы сетевых протоколов, принципов построения компьютерных сетей.   Знание аппаратной части РС и возможность диагностики и устранения неполадок.   Знание и понимание работы AD, DHCP, DNS; LAN, ROUTER, WLAN, WAN, Active Directory   Дисциплинированность, целеустремленность, стрессоустойчивость.     Условия:     Оформление по ТК РФ   Работа в престижном офисе крупной строительной компании.   Офис в центре города   Компенсация расходов на питание и на проезд   ",Полная занятость,Полный день,От 1 года до 3 лет,|Active Directory|Настройка сетевых подключений|Администрирование серверов Windows,3.0,74722.22222222223,1.0,70000.0,системный администратор,"Знание ОС (Windows, Android, MacOS). Опыт установки и поддержки серверного программного обеспечения. Знание распространенного программного обеспечения (MS Office, 1С...","Установка и обслуживание компьютерной и офисной техники, оргтехники. Обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server). ",0.3333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
Москва,Релофт,2019-11-20T20:12:35+0300," Обязанности:       Руководить командой разработки интернет магазина на платформе Insales: Дизайнер, Контент-менеджер, Веб-дизайнер;       Умение организовать работу команды и контролировать результаты;       Организация пользовательского тестирования сайта;       Координирование работы по обновлению внешнего вида, функционала и контента на сайте;       Анализ и улучшение Usability сайта;       Настройка аналитики на сайте (Google Analytics, Google E-commerce, Google Merchant, Яндекс Аналитика, Яндекс маркет);       Поиск решений и исполнителей для бизнес требований компании (парсинг и групповое обновление цен, нестандартные решения не предусмотренные функционалом Insales, подключение сторонних сервисов);       Поддержка интеграции с AMO CRM, Roistat;       Администрирование виртуальной ATC Mango Telecom;       Анализ новых требований бизнеса, поиск и внедрение подходящих IT решений;       Отслеживание действий конкурентов, защита информации и интересов компании на уровне IT       Разовые технические вопросы по Exсel, офисной технике, настройкам программ и тд.        KPI:        Повышение конверсии посещений в заказы и звонки (отношение посещение/конверсия);       Увеличение самостоятельных заказов;       Процент выполненных задач из месячного плана;       Требования:       Высшее образование;       Опыт работы по успешному развитию интернет-магазина (Знание платформы Insales будет плюсом);       Знание основных принципов Usability и Mobile First;       Опыт работы с CRM системами будет плюсом;       Знание английского языка необходимо на базовом уровне но лучше Intermediate и выше;       Базовое знание Web программирования: HTML, CSS, JS будет плюсом;       Самостоятельность и позитивность       Условия:     Работа в офисе и на удаленке в комфортном графике   Работа по ТК   Личный план на год с дополнительными бонусами   Молодая, дружная, активно развивающаяся компания   Компания готова вкладывать деньги и ресурсы для достижения результата   ",Полная занятость,Полный день,От 3 до 6 лет,|HTML|CSS|Google Analytics|JavaScript|E-Commerce|управление командой разработчиков|Управление интернет-проектами|Оптимизация бизнес процессов|Бюджетирование|SWOT анализ,6.0,74722.22222222223,3.0,50000.0,технический директор администратор интернет магазина,Высшее образование. Опыт работы по успешному развитию интернет-магазина (Знание платформы Insales будет плюсом). Знание основных принципов Usability и Mobile...,"Руководить командой разработки интернет магазина на платформе Insales: Дизайнер, Контент-менеджер, Веб-дизайнер. Умение организовать работу команды и контролировать результаты. ",0.7666666666666667,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,1С-Архитектор бизнеса,2019-12-06T17:52:19+0300,"  «1С-Архитектор бизнеса» — это:      стабильность (более 20 лет на рынке).   один из лидеров в области «1С» на российском ИТ-рынке.   современные методы ведения бизнеса.   интересные проекты для специалистов различного уровня.   сертификация по программным продуктам фирмы «1С» за счет компании.   реальная возможность для самореализации способным и талантливым сотрудникам.   реальная возможность профессионального развития для настойчивых и целеустремленных.   реальная возможность карьерного роста для лидеров.   дружная команда профессионалов и замечательный коллектив.      Обязанности:      Поддержание работоспособности ПК сотрудников;   Устранение проблем на пользовательских ПК;   Работа с сетевым оборудованием;   Работа с Active Derictory;   Настройка клиентов IP-телефонии.      Требования:      Опыт работы в должности системного администратора\helpdesk от 0,5 года;   Коммуникабельность;   Знание Windows на уровне администратора.      Условия:      стабильная белая заработная плата.   трудоустройство по ТК РФ.   график работы: 5\2.   материальная и нематериальная мотивация сотрудников.   корпоративный льготный тариф на мобильную связь.   удобное расположение офиса в пешей доступности от метро (м. Павелецкая – 10 мин).   ДМС.          Благодарим Вас за интерес, проявленный к нашей Компании!     Резюме будет рассмотрено в течение двух недель с момента его получения. Если Ваш опыт работы и пожелания соответствуют требованиям и возможностям Компании – Менеджер по подбору персонала свяжется с Вами по указанным контактам.     Отсутствие ответа в течение вышеуказанного срока, означает, что, к сожалению, на сегодняшний день мы не можем предложить данную вакансию. В этом случае мы сохраним Ваше резюме в базе данных Компании, чтобы в будущем предложить работу, соответствующую Вашей квалификации.     С Уважением к Вам, компания &quot;1С-Архитектор бизнеса&quot;.  ",Полная занятость,Полный день,От 1 года до 3 лет,|TCP/IP|Windows 7|Helpdesk|Обучение и развитие|Информационные технологии,3.0,74722.22222222223,1.0,65666.66666666669,системный администратор,"Опыт работы в должности системного администратора\helpdesk от 0,5 года. Коммуникабельность. Знание Windows на уровне администратора.",Поддержание работоспособности ПК сотрудников. Устранение проблем на пользовательских ПК. Работа с сетевым оборудованием. Работа с Active Derictory. Настройка клиентов IP...,0.23333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Москва,КАРИ,2019-12-10T10:23:29+0300,"  Требования      Знание компьютерного железа   Отличное знание операционных систем Windows (XP - 10), приложений Microsoft Officе (2010 - 2016), умение быстро осваивать новое ПО.   Умение проводить диагностику сбоев компонентов   Умение систематизировать свою деятельность   Опыт работы в ИТ не менее 1ого года      Обязанности      Техническая поддержка рабочих мест сотрудников офиса.   Техническая поддержка периферийного оборудования (МФУ, принтеры, сканеры).   Удаленная поддержка магазинов. (в первое время под руководством системного администратора)   Управление запасом расходных материалов.   Решение заявок в системе сервисдеск.      Условия      Оформление по ТК   Зарплата белая   Корпоративная мобильная связь   Рабочее место в центральном офисе компании: Москва, Русаковская (БЦ Бородино)   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,68000.0,1.0,58000.0,младший системный администратор,"Знание компьютерного железа. Отличное знание операционных систем Windows (XP - 10), приложений Microsoft Officе (2010 - 2016), умение быстро осваивать новое ПО. ","Техническая поддержка периферийного оборудования (МФУ, принтеры, сканеры). Удаленная поддержка магазинов. (в первое время под руководством системного администратора). Управление запасом расходных...",0.1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Группа компаний «ИНФОРСЕР»,2019-12-12T16:50:10+0300,"  Обязанности:      общение с заказчиками, исполнителями по проектной деятельности;   участие в подготовке договорной документации;   работа с первичной документацией (проверка заполнения, делопроизводство);   оформление документов по проектной деятельности;   выполнение распоряжений руководителя проекта.          Требования:      свободное владение ПК (Excel, Word, Outlook);   Коммуникабельность, грамотная устная и письменная речь;   Опыт создания нормативных документов;   Опыт работы с сфере It-технологий в должности администратор/менеджер проекта как преимущество.          Условия:      график работы: 5/2, с 9 до 18, либо с 10 до 19;   официальное оформление, соблюдение ТК (оплата больничного, отпуска 28 календарных дней);   премирование по итогам работы за год;   декретная ставка на 1,5 года, с возможностью дальнейшего трудоустройства постоянно;   корпоративная сотовая связь;   ДМС.   ",Полная занятость,Полный день,От 1 года до 3 лет,|MS Office|Заключение договоров,3.0,74722.22222222223,1.0,65666.66666666669,администратор проекта,"Свободное владение ПК (Excel, Word, Outlook). Коммуникабельность, грамотная устная и письменная речь. Опыт создания нормативных документов. Опыт работы с сфере...","Общение с заказчиками, исполнителями по проектной деятельности. Участие в подготовке договорной документации. Работа с первичной документацией (проверка заполнения, делопроизводство). ",0.03333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
