city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,sql,бизнес-анализ,разработка технических заданий,ms visio,системный анализ,uml,ms sql,управление проектами,ms powerpoint,оптимизация бизнес-процессов,other
Москва,Софтмашина,2019-12-04T18:00:46+0300," Привет!   Мы молодая IT компания, занимающаяся разработкой различных продуктов и сервисов. На сегодняшний день ведется работа над рядом крупных длительных проектов в областях туризма, транспорта и финансов.   Мы строим компанию с человеческим лицом и создаем одну из лучших команд в России, где сотрудники для нас - самая большая ценность.   Так как мы активно развиваемся и растем — это открывает большие возможности приобретать новый опыт и строить карьеру внутри компании.   Сейчас мы ищем будущего коллегу – бизнес-аналитика, которому будет интересно участвовать в создании продуктов и делать так, чтобы заказчик получал именно то, что хотел. Обещаем много интересных задач и взаимодействия с командой.    В этой роли предстоит:      Собрать, анализировать, детализировать и формализовать требования   Моделировать и описывать бизнес-процессы   Работать с аналитическими задачами (исследовать отчеты, системы и информацию в интернете, готовить аналитические отчеты по проделанной работе)   Систематизировать и структурировать проектную документацию   Участвовать в управлении проектами   Декомпозировать бизнес-требования в функциональные требования к информационным системам   Взаимодействовать с участниками проекта на предмет обсуждения требований и разработки продуктов   Взаимодействовать с внешними участниками процессов в области сбора и уточнения требований   Изучать и анализировать продукты и решения конкурентов      Для нас важно:      Высшее образование, предпочтительно техническое   Системное мышление, аналитический склад ума, склонность к систематизации   Желателен практический опыт работы в команде разработки цифровых продуктов   Широкий кругозор в IT и разработке цифровых продуктов   Опыт визуализации бизнес-процессов (BPMN, UML, EPC- как минимум в одной из нотаций)      Преимуществом будут:      Способность определять ключевые процессы и критические критерии их выполнения   Способность аргументировано отстаивать свою позицию, когда она направлена на улучшение качества конечного продукта      Мы предлагаем:      Заработная плата выше среднего по рынку   Оформление в соответствие с ТК РФ и белую заработную плату   Демократичные процессы   Возможности профессионального роста и развития   Дополнительное медицинское страхование   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,111500.0,1.0,112000.0,бизнес аналитик,"Высшее образование, предпочтительно техническое. Системное мышление, аналитический склад ума, склонность к систематизации. Желателен практический опыт работы в команде разработки цифровых...","Собрать, анализировать, детализировать и формализовать требования. Моделировать и описывать бизнес-процессы. Работать с аналитическими задачами (исследовать отчеты, системы и информацию...",0.3,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Совкомбанк,2019-12-11T12:52:53+0300," Обязанности:       Участие в составлении бизнес требований на доработку банковского программного обеспечения;       Участие в анализе действующих бизнес процессов, предложения по оптимизации (as is, to be);       Тестирование программного обеспечения;       Работа с массивами данных;       Консультативная поддержка фронт-подразделений по работе ПО.       Требования:     Высшее / Неоконченное высшее образование;     Уверенный пользователь Excel;       Умение аргументированно излагать свою позицию;       Умение структурированно излагать материал;       Ответственность и исполнительность;       Приветствуется опыт работы в розничном блоке банка.       Условия:     Оформление по ТК РФ;   Работа в одном из крупнейших частных банков РФ;   Перспективы профессионального развития и личностного роста;   Соц пакет: ДМС, фитнес и другие корпоративные мероприятия;   Обучение: возможность участия во внутренних и внешних проф. тренингах и семинарах.   ",Полная занятость,Полный день,Нет опыта,|MS Access|Анализ данных|Организация семинаров|Проведение тестирований|Бизнес-анализ,,111500.0,,112000.0,аналитик по бизнес процессам,Высшее / Неоконченное высшее образование. Уверенный пользователь Excel. Умение аргументированно излагать свою позицию. Умение структурированно излагать материал. Ответственность и исполнительность. ,"Участие в составлении бизнес требований на доработку банковского программного обеспечения. Участие в анализе действующих бизнес процессов, предложения по оптимизации (as...",0.06666666666666667,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Москва,Дельта Солюшнс,2019-11-29T09:09:29+0300," Обязанности:     Техническое представление требований составленных аналитиком или заказчиком в виде алгоритмов   Разработка бизнес- и технологических процессов при помощи различных инструментов   Отладка и тестирование процессов   Написание внутренней и проектной документации по разработанным процессам     Требования:     Готовность постоянно учиться и развиваться   Умение изобразить алгоритм в виде понятной блок-схемы и разобраться в нарисованных другими   Знание любого языка программирования на уровне &quot;закодировать нарисованный алгоритм&quot;   Умение составлять и понимать простые SQL запросы   Способность находить объяснение непонятных терминов в гугле и документации на русском и английском языках      Преимущества:      Опыт работы с системами контроля версий (Git, SVN)   Знание как работают основные протоколы интеграции (REST, SOAP, HTTP)   Умение работать с Linux из командной строки     Условия и   плюшки:     Официальное оформление по ТК РФ с первого дня;   Стабильный доход;   Гибкий график для начальных позиций), отпускаем на сессию, практику и дипломные проекты можно делать у нас;   Возможности профессионального и карьерного роста;   Офис в центре Москвы;   Оплачиваемые обеды в кафе;   Вкусный кофе и фрукты в офисе;   Молодой дружный коллектив   ",Полная занятость,Полный день,От 1 года до 3 лет,|SQL|Git|SVN,3.0,111500.0,1.0,112000.0,младший системный аналитик,Готовность постоянно учиться и развиваться. Умение изобразить алгоритм в виде понятной блок-схемы и разобраться в нарисованных другими. ,Техническое представление требований составленных аналитиком или заказчиком в виде алгоритмов. Разработка бизнес- и технологических процессов при помощи различных инструментов. ,0.4666666666666667,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Москва,Ингосстрах,2019-11-22T16:43:41+0300,"  Приглашаем в команду грамотного и увлеченного Старшего бизнес-аналитика в Отдел оптимизации процессов.    Что нужно делать:     Участвовать в реализации стратегических проектов. Одновременно возможно участие в одном или двух проектах, при необходимости самостоятельное управление блоком работ в рамках проекта;       По выделенному проекту/части проекта выполнять следующие задачи:     • описывать процессы As Is и моделировать To Be, • визуализировать процессы As Is и To Be, • определять проблемы процессов, • вырабатывать предложения по устранению проблем процессов, • генерировать нестандартные решения сложных проблем.   Что нужно знать и уметь:     Высшее образование (экономическое, финансовое, математическое, техническое);   Знание основ бережливого производства и инструментов производственной системы;   Опыт участия в проектах по повышению эффективности процессов и внедрению инструментов бережливого производства приветствуется;   Знание методов сбора и анализа текстовой и цифровой информации;   Понимание инфраструктуры и процессов крупных финансовых компаний (страхование,банки);   Навык анализа и описания бизнес-процессов As Is и построения процессов To Be;   Навык оценки эффективности внедренных процессов To Be;   Навык написания бизнес-требований и функциональных требований к доработкам ИТ-систем, участие в организации тестирования ИТ-систем;   MS office (Visio, Power Point, Excel - желательно продвинутый пользователь);   Опыт участия в реализации не менее, чем двух проектов;   Навыки подготовки и оформления презентаций;   Грамотная устная и письменная речь;   Опыт работы бизнес-аналитиком в финансовой сфере (страховые компании, банки) или телекоме/ИТ-компаниях/стартапах не менее 1 года;   Опыт участия не менее чем в двух бизнес-проектах.     Что мы предлагаем:     Работу в ТОП-10 страховых компаний РФ;   Стабильный оклад + ежеквартальные премии + годовой бонус;   Стабильную заработную плату + ежеквартальные премии;   График 5/2, возможность выбора начала рабочего дня с 8:00, 9:00 или 10:00;   ДМС сразу после испытательного срока ;   Возможность совершенствовать себя в одном из лучших Корпоративных университетов + бесплатный корпоративный доступ к электронной библиотеке Альпина;   Предложения от партнёров: уникальные скидки на приобретение недвижимости, фитнес и изучение языков(Skyeng), каршеринг и покупку авто, и пр.;   Активную спортивную жизнь внутри компании: бассейн, бег, волейбол, йога и многое другое;   Льготные условия на страховые продукты (страхование имущества, автотранспорта, ВЗР);   Сильную команду вовлеченных профессионалов;   Место работы: м. ул.1905г.    ",Полная занятость,Полный день,От 1 года до 3 лет,|MS Visio|MS PowerPoint|Управление проектами|Оптимизация бизнес-процессов|Бизнес-анализ|MS Excel|Lean Six Sigma|Бережливое производство,3.0,111500.0,1.0,112000.0,старший бизнес аналитик,"Высшее образование (экономическое, финансовое, математическое, техническое). Знание основ бережливого производства и инструментов производственной системы. Опыт участия в проектах по повышению...","Участвовать в реализации стратегических проектов. Одновременно возможно участие в одном или двух проектах, при необходимости самостоятельное управление блоком работ в...",0.7,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
Москва,Тувэтрейд Технолоджи,2019-11-26T07:07:10+0300,"  2WTRADE TECHNOLOGY  - инновационная IT-компания, созданная в России 17 июня 2015 года. Мы являемся одним из ключевых подразделений холдинга  2WTRADE GLOBAL . Наше направление занимается разработкой собственного ПО, развитием и технической поддержкой IT-инфраструктуры холдинга.   В работе мы используем лучшие IT-практики: машинное обучение, искусственный интеллект, роботизацию бизнеса. Нам нужны люди, которые стремятся к успеху.    Наши продукты созданы для:      B2B – с ними наши партнёры рационально используют ресурсы и подбирают наиболее выгодные решения в области продаж, логистики и пр.;   B2C – оптимизируем процесс совершения покупок от момента заказа товара до его получения.     Приглашаем присоединиться к нашей команде  BI аналитика .    Задачи:      анализ требований заказчика;   настройка алгоритмов выгрузки, трансформации данных, проверки качества данных;   настройка аналитических отчетов и дашбордов;   подготовка технической и отчетной документации.      Для успешного выполнения задач, вам понадобится:      знания принципов, методов и инструментов анализа данных, BI-систем (Tableau/Vertica);   базовые знания языка запросов SQL;   навыки систематизации и структурирования информации;   умение делать выводы, предлагать решения и их обосновывать;   навыки формализации требований;   анализа данных и создания аналитических отчетов.      Нам важно, чтобы наш сотрудник работал в максимально комфортных условиях, для этого мы предлагаем:      возможность получить опыт/реализовать себя в международной digital компании с интернациональной командой в проектах от Америки до Китая;   корпоративные занятия английским языком и возможность использовать язык в работе (наши коллеги в других странах говорят на английском);   возможность посещать профильные внешние конференции по всему миру и побывать на крутейших корпоративах компании проводящихся в Москве;   комфортные условия работы в одном из наших офисов г. Москва (м. Новокузнецкая);   гибкий график: возможность расстаться с утренними пробками;   официальное трудоустройство с первого дня по ТК РФ (все соц. выплаты согласно ТК РФ).   ",Полная занятость,Полный день,От 1 года до 3 лет,|SQL|Английский язык|Работа с базами данных|Анализ данных|Tableau|Power BI,3.0,111500.0,1.0,112000.0,аналитик bi,"Знания принципов, методов и инструментов анализа данных, BI-систем (Tableau/Vertica). Базовые знания языка запросов SQL. Навыки систематизации и структурирования...","B2B – с ними наши партнёры рационально используют ресурсы и подбирают наиболее выгодные решения в области продаж, логистики и...",0.5666666666666667,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Москва,ТиВиЗавр,2019-12-12T14:50:31+0300," Важно: наличие опыта работы с рекламными моделями в области digital и &quot;Видео По Запросу&quot;, понимание бизнес-процессов в сфере онлайн видео.     Обязанности:    • Глубокий финансовый анализ и выводы для управленческих решений руководства;   • Стратегическое планирование финансовой деятельности Компании. Выработка оптимальной стратегии финансирования; • Управление эффективностью Компании (контроль и сокращение расходов, анализ возможностей получения прибыли от непрямой коммерческой деятельности, оптимизация финансовых процессов). • Разработка финансовой политики Компании, определение и осуществление мер по обеспечению ее финансовой устойчивости. • Выработка рекомендаций по контролю и оптимизации операционных расходов по Компании. • Оценка финансовых (налоговых) рисков и финансовой безопасности бизнеса. • Сопровождение мероприятий по интеграции активов. • Организация и обеспечение управленческого учета. • Инвестиционный анализ, построение финансовых/экономических моделей проектов, разработка ТЭО и оценка экономической эффективности инвестиционных проектов. • Проведение финансового анализа и управление денежными потоками Компании. • Организация подготовки и формирование годового бюджета и ежеквартальных/ежемесячных/еженедельных прогнозов компании. • Определение оптимальных источников финансирования деятельности (в т.ч. полный цикл работы с банками — выбор банка, переговоры, подготовка пакета документов , получение и сопровождение кредитов, реструктуризация). • Налоговое планирование: расчет, анализ, оптимизация. • Ведение переговоров с финансовыми и кредитными организациями, налоговыми органами. • Реализация проектов компании (финансовая дисциплина, регламент платежей, система внутреннего контроля, управление рисками, автоматизация бюджетирования).   Условия:     Оформление согласно ТК РФ;   Оплачиваемые отпуска и больничные листы;   График работы 5/2 с 09.00 до 18.00 или 10.00 до 19.00   ",Полная занятость,Полный день,От 3 до 6 лет,|Бюджетирование|Финансовый контроль|Финансовый анализ|Инвестиционный анализ|Управленческая отчетность,6.0,150000.0,3.0,112000.0,экономист финансовый аналитик,"Важно: наличие опыта работы с рекламными моделями в области digital и &quot;Видео По Запросу&quot;, понимание бизнес-процессов в сфере онлайн...",Глубокий финансовый анализ и выводы для управленческих решений руководства. Стратегическое планирование финансовой деятельности Компании. Выработка оптимальной стратегии финансирования. ,0.03333333333333333,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Связной,2019-12-12T10:31:52+0300,"      Требования:      Наличие практики постановки технических заданий в SAP BI/OLAP;   Высшее образование (желательно техническое);   Аналогичный опыт по описанию бизнес-процессов и разработке технических заданий;   Знание методик проектирования информационных системы и моделирования бизнес-процессов;   Навыки участия в проектах в области ИТ, консалтинга или реинжиниринга бизнес-процессов является дополнительным преимуществом;   Самостоятельность, внимательность к деталям, коммуникабельность, быстрообучаемость, аналитический склад ума.      Обязанности:      Сбор, анализ бизнес требований и формирование технических заданий на изменение информационных систем;   Разработка планов проектов, определение и контроль сроков их исполнения;   Взаимодействие с заказчиками (различные подразделения компании) и разработчиками в ИТ;   Консультирование сотрудников по ранее реализованным проектным решениям;   Сопровождение задачи/проекта от инициации до продуктового запуска;   Подготовка проектной документации.      Условия:      Уютный офис в шаговой доступности от метро Автозаводская, бизнес-центр Симонов Плаза (5-7 минут пешком от метро);   Конкурентоспособный уровень оплаты труда (обсуждается индивидуально с успешным кандидатом);   Оформление по ТК РФ (отпуск, больничный) + социальный пакет;   Участие в корпоративных мероприятиях и мотивациях;   Внешнее и внутреннее обучение, тренинги, ежегодные функциональные конференции;   Профессиональный коллектив и безграничные возможности для развития.       ",Полная занятость,Полный день,От 1 года до 3 лет,|SAP|Реинжиниринг бизнес-процессов|IDEF|EPC|BPMN|Моделирование бизнес процессов|Бизнес-анализ|Оптимизация бизнес-процессов|Разработка технических заданий|SAP BI|База данных: Olap|Olap (online analytical processing)|MS Power Builder|SAP BW,3.0,111500.0,1.0,112000.0,бизнес аналитик,Наличие практики постановки технических заданий в SAP BI/OLAP. Высшее образование (желательно техническое). Аналогичный опыт по описанию бизнес-процессов и...,"Сбор, анализ бизнес требований и формирование технических заданий на изменение информационных систем. Разработка планов проектов, определение и контроль сроков их...",0.03333333333333333,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
Москва,Связной,2019-12-12T10:31:52+0300,"  Требования:      Высшее образование;     Аналогичный опыт от 2-х лет в функции оптимизации или трансформации бизнес процессов;       Практика трансформации бизнес процессов крупной сервисной, торговой или производственной организации;       Глубокое понимание специфики бизнес-процессов розничной торговли и электронной коммерции;       Знание и опыт применения основных нотаций описания бизнес процессов: BPMN 2.0, EPC, IDEF0;       Знание и опыт применения инструментов операционной эффективности (BSC, KPI, Lean Six Sigma и пр.);       Знание и опыт применения процессных методологий;       Подготовка презентационных материалов;       Подготовка бизнес- и функциональных требований к ИТ-доработкам        Обязанности:      Аудит текущей бизнес модели, формирование карты бизнес-процессов, выделение приоритетных бизнес-процессов;   Анализ эффективности и оптимальности процессов в т. ч.:    эффективность текущих бизнес процессов с т. з. достижения краткосрочных и долгосрочных целей компании;   анализ возможности улучшения ключевых показателей Компании (маржа, уровень клиентского сервиса, уровень запасов и т.д.) за счет оптимизации бизнес-процессов;   бенчмаркинг с лучшими мировыми практиками и анализ их возможного внедрения;   анализ возможности достижение конкурентного преимущества на рынке за счет повышения эффективности бизнес-процессов;       Разработка дорожной карты трансформации и оптимизации бизнес- процессов    Выявление потенциалов и разработка мероприятий по устранению разрывов в процессах и ликвидации «узких мест»;   Формирование предложений по внедрению целевых инструментов (с учетом лучших мировых практик) для работоспособности целевых процессов;   Руководство кросс-функциональными проектными командами по описанию и оптимизации бизнес-процессов;   Участие в проектах по внедрению целевых бизнес-процессов       Управление запросами на изменения текущих бизнес-процессов, выявление потребностей направлений, постановка задач командам   Организация доработки/разработки ИТ-систем (сбор бизнес-требований, написание функциональных требований по доработке ИТ-систем, общение с разработчиками по реализации ИТ-функционала, организация тестирования и внедрения разработанного ИТ-функционала)   Подготовка отчетностей по активностям проектов, подготовка презентаций                  Условия:      Уютный офис в шаговой доступности от метро Автозаводская, бизнес-центр Симонов Плаза (5-7 минут пешком от метро);   Конкурентоспособный уровень оплаты труда (обсуждается индивидуально с успешным кандидатом);   Оформление по ТК РФ (отпуск, больничный) + социальный пакет;   Участие в корпоративных мероприятиях и мотивациях;   Внешнее и внутреннее обучение, тренинги, ежегодные функциональные конференции;   Профессиональный коллектив и безграничные возможности для развития.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Оптимизация бизнес-процессов|BPMN|Управление эффективностью|Бизнес-анализ|Подготовка презентаций,3.0,111500.0,1.0,112000.0,бизнес аналитик,Высшее образование. Аналогичный опыт от 2-х лет в функции оптимизации или трансформации бизнес процессов. Практика трансформации бизнес процессов крупной...,"Аудит текущей бизнес модели, формирование карты бизнес-процессов, выделение приоритетных бизнес-процессов. Анализ эффективности и оптимальности процессов в т. ",0.03333333333333333,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Москва,Элекснет,2019-12-10T11:20:49+0300,"  Обязанности:      Осуществление сбора и консолидации информации от подразделений   Подготовка бизнес-аналитики по финансовым показателям   Систематизация отчетности      Требования:      Высшее образование   Опыт подготовки бизнес-аналитики не менее 2-х лет   Уверенное знание Excel (Сложные формулы, сводные таблицы)   Умение работать с большим объемом данных   Умение анализировать полученные данные      Условия:      Офис: м. Белорусская   График работы 5/2   &quot;Белая&quot; заработная плата   Оформление по ТК РФ   Соц. пакет   ",Полная занятость,Полный день,От 1 года до 3 лет,|MS PowerPoint|Работа с большим объемом информации|MS Access|Финансовая отчетность|Анализ данных,3.0,111500.0,1.0,112000.0,аналитик отдела продаж,"Высшее образование. Опыт подготовки бизнес-аналитики не менее 2-х лет. Уверенное знание Excel (Сложные формулы, сводные таблицы). ",Осуществление сбора и консолидации информации от подразделений. Подготовка бизнес-аналитики по финансовым показателям. Систематизация отчетности.,0.1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Москва,компания Дилижанс,2019-11-19T12:05:23+0300," Обязанности:     создать удобный и наглядный шаблон/макрос в Excel для регулярного вывода нужных показателей по нашим товарам. Данные в форме таблицы Excel выгружаются из маркетплейсов и из учетной программы (показатели включают в себя оборачиваемость товаров, количество новых товаров, средняя наценка, товары с самым большим/низким оборотом за неделю/месяц, наценки товаров)   аналитика причин спада/роста оборота   свод показателей по сотрудникам (план-есть)   визуальные графики в Excel по нескольким параметрам     Требования:     надежная и верная работа таблицы/формул/макроса   еженедельная и ежемесячная выгрузка показателей     Условия:     удаленная работа возможна   при правильной разработке шаблона/макроса работа будет занимать менее 1 часа в неделю   ",Частичная занятость,Удаленная работа,Нет опыта,|Работа с большим объемом информации|Базы данных|MS Excel|Аналитический склад ума|Аналитическое мышление,,25000.0,,15000.0,разработчик аналитик по показателям с маркетплейсов,Надежная и верная работа таблицы/формул/макроса. При правильной разработке шаблона/макроса работа будет занимать менее 1 часа в неделю.,Создать удобный и наглядный шаблон/макрос в Excel для регулярного вывода нужных показателей по нашим товарам. Данные в форме таблицы...,0.8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
