city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,adobe photoshop,ux,ui,adobe illustrator,дизайн интерфейсов,проектирование пользовательских интерфейсов,web-дизайн,linux,дизайн,веб-дизайн,other
Москва,Райффайзенбанк,2019-11-15T10:58:22+0300," Каждый день появляется всё больше новых небольших компаний, много кто запускает свой собственный бизнес. Но такой запуск достаточно тяжело провести без помощи сильного партнера, которым может стать наш Банк. Более того, даже запущенному и стабильному бизнесу требуется поддержка и кредитные средства для масштабирования и развития. А знаешь ли ты, как трудно такому клиенту малого Бизнеса получить тот самый заветный кредит? Большинство наших конкурентов помогают решить эту проблему и отправляют клиента в отделение, где его ждут длинные очереди, большое количество бумаг для заполнения, ожидание, объемный список нужных документов… а потом клиент уходит домой и … снова ждет.   Но, такой процесс нам не нравится! Эта история не про нас и нашу команду. Мы одними из первых на рынке малого бизнеса уже запустили полностью диджитальный процесс и нашим клиентам больше не нужно идти в отделения, чтобы получить одобрение и сами средства! Достаточно заполнить анкету на сайте и получить решение уже за 5 минут, а еще через некоторое время – уже и сами средства на расчетный счет в интернет-банке. Весь процесс – это уже не вопрос времени и удобства, а максимально быстрое и комфортное взаимодействие нашего клиента и банка.   Как ты понял, мы и занимаемся развитием всех дистанционных процессов, связанных с кредитованием малого бизнеса, которые живут в мобильных приложениях, интернет-Банке, учетных системах и различных других дистанционных веб-сервисах. Более того, от наших конкурентов нас отличает не только простота и богатая функциональность, но и сильная команда опытных экспертов, объединенных большим интересом и общей целью - вывести удобство предпринимателей в России на новый уровень.   Мы рассматриваем к себе таких же крутых, активных и инициативных экспертов. Если ты один из них, готов к новым вызовам, ждем твоего отклика!    Вместе с нами ты будешь:      разрабатывать эффективные интерфейсы для веб и мобильных приложений;   проектировать и создавать интерактивные прототипы;   анализировать потребности и сценарии использования;   проверять дизайн-решения быстрыми юзабилити-тестами и метриками;   уверенным и открытым.      Мы ждём, что ты:      имеешь опыт в проектировании систем с большим количеством данных;   знаешь композицию, типографику и тренды в дизайне пользовательского опыта;   готов анализировать задачи и погружаться в них;   понимаешь принципы проведения качественных исследований и построения пользовательских сценариев;   владеешь Sketch и инструментами прототипирования;   умеешь работать с разработчиками «плечом к плечу»;   сможешь показать портфолио с реальными проектами.      Что мы предлагаем:      высокий уровень свободы;   атмосфера развития, вдохновленная принципами Agile;   комфортный офис всего в одной минуте пешком от ст.метро &quot;Технопарк&quot; с собственным спортзалом и кафе;   команда профессионалов, готовых делиться опытом;   социальный пакет, включающий ДМС, страхование выезжающих за рубеж и не только;   льготное кредитование, программа корпоративных скидок и не только;   профессиональные обучающие курсы и конференции в России и за рубежом.   ",Полная занятость,Полный день,От 1 года до 3 лет,|UX|UI|Дизайн интерфейсов|Usability,3.0,118333.33333333331,1.0,98363.63636363637,дизайнер,"Имеешь опыт в проектировании систем с большим количеством данных. Знаешь композицию, типографику и тренды в дизайне пользовательского опыта. ",Разрабатывать эффективные интерфейсы для веб и мобильных приложений. Проектировать и создавать интерактивные прототипы. Анализировать потребности и сценарии использования. ,0.9333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1
Москва,Recruitment Boutique S.M.Art,2019-11-29T15:59:15+0300,"  Обязанности:        Проектировать web-интерфейсы продуктов       Создавать визуальный стиль web-интерфейсов продуктов       Создавать пользовательские сценарии       Разрабатывать и внедрять UI стандарты разработки интерфейсов приложений (UI kit / guideline)       Оптимизировать пользовательские пути в продуктах, делать интерфейсы более удобными и интуитивными       Проверять гипотезы, проводить юзабилити-тестирование на пользователях (очно, удаленно, с помощью сервисов)       Создавать интерактивные прототипы       Проводить супервайзинг верстки и реализации web-интерфейсов       Работать в тесном сотрудничестве с владельцами продуктов, детально понимать продукты и их метрики        Требования:        Наличие портфолио (обязательно);       Опыт работы на схожей позиции от 2-х лет       Владение инструментами прототипирования интерфейсов (Figma / Sketch / Illustrator / Invision / Photoshop / Zeplin / Mockplus / Balsamiq Mockups и т.д.)       Опыт в создании UI элементов, иллюстраций в интерфейсе, иконок       Знание основ композиции и типографики, навыки грамотного расположения элементов и текста (верстки), теория цвета, чувство стиля       Умение пользоваться инструментами Customer Journey Map, Персоны, Story Map, User Story  (желательно)        Навыки верстки, знание HTML/CSS  (желательно)        Понимание технологий и основных фреймворков frontend-разработки (в нашем случае React)  (желательно)         Условия:        Трудоустройство по ТК РФ, все социальные гарантии       Белая заработная плата, премии       График работы 5/2       ДМС       Офис находится недалеко от станции метро Славянский бульвар     ",Полная занятость,Полный день,От 1 года до 3 лет,|UI|HTML|UX|CSS|Web-дизайн,3.0,118333.33333333331,1.0,98363.63636363637,дизайнер,Наличие портфолио (обязательно). Опыт работы на схожей позиции от 2-х лет. Владение инструментами прототипирования интерфейсов (Figma / Sketch / Illustrator / Invision...,Проектировать web-интерфейсы продуктов. Создавать визуальный стиль web-интерфейсов продуктов. Создавать пользовательские сценарии. Разрабатывать и внедрять UI стандарты разработки интерфейсов...,0.4666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
Москва,Райффайзенбанк,2019-12-12T20:36:32+0300," Мы ищем дизайнера UX/UI в команду онлайн-банка для физических лиц ROnline.   Это мобильное приложение и веб-версия с более чем миллионом требовательных пользователей, каждый из которых ценит удобство и простоту. Вы также сможете работать с онлайн-банком как пользователь и оценить результаты работы команды!   Дорабатывая онлайн-банк, мы ориентируемся на ожидания клиентов, о которых узнаём, проводя подробные исследования.   Мы опираемся на ценности Agile, что предполагает динамичный темп работы, а также возможность развития и профессионального роста за рамками своей роли.    Вместе с нами вы будете:      проектировать интерфейсы под iOS, Android и десктоп;   развивать архитектуру приложений и внедрять современные улучшения в олдскульные места приложения;   проверять дизайн-решения быстрыми юзабилити-тестами и метриками;   аргументировать и отстаивать свои решения, как UX, так и UI;   смелым, открытым и делиться опытом с другими дизайнерами.      Мы ждём, что вы:      работаете в проектировании интерфейсов личных кабинетов и мобильных приложений с учетом их развития более 3-ёх лет;   собрали портфолио с мобильными приложениями и классным UI, которые вы создали;   работаете в Sketch, Principle и т. п.;   понимаете принципы проведения качественных исследований;   взаимодействуете с разработчиками и бизнес-заказчиками;   понимаете принципы разработки приложений, а может и сами немного пишете код;   знаете, как работает Google Analytics и Firebase;   не боитесь слов UJM/CJM и Screen Flow.      Мы предлагаем:      высокий уровень свободы;   атмосфера развития, вдохновленная принципами Agile;   комфортный офис всего в одной минуте пешком от ст.метро &quot;Технопарк&quot; с собственным спортзалом и кафе;   команда профессионалов, готовых делиться опытом;   социальный пакет, включающий ДМС, страхование выезжающих за рубеж и не только;   льготное кредитование, программа корпоративных скидок и не только;   профессиональные обучающие курсы и конференции в России и за рубежом.   ",Полная занятость,Полный день,От 3 до 6 лет,|UX|UI,6.0,118333.33333333331,3.0,98363.63636363637,дизайнер,Работаете в проектировании интерфейсов личных кабинетов и мобильных приложений с учетом их развития более 3-ёх лет. Собрали портфолио с...,"Проектировать интерфейсы под iOS, Android и десктоп. Развивать архитектуру приложений и внедрять современные улучшения в олдскульные места приложения. ",0.03333333333333333,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Москва,ГридПоинт Дайнамикс,2019-11-14T12:43:21+0300," Компании GridPoint Dynamics требуется UI/UX дизайнер.   Мы - разработчики линейки ПО Geoplat для поиска и разведки месторождений нефти и газа.   Наш коллектив – это симбиоз геологов, геофизиков, знающих толк в поиске, разведке и добыче нефти и газа, а также разработчиков и программистов, умеющих моделировать эти процессы. Вместе мы создаём программную платформу для нефтегазовой отрасли, которая позволяет не вставая из-за компьютера заглянуть в недра земной коры.   Наша цель – создание передового решения, опережающего текущие аналоги, которое займёт достойное место в цикле работ отечественных и зарубежных нефтегазодобывающих компаниях.       Должностные обязанности:   1. Создание брендбука и гайдлайнов продуктов   2. Участие в проектировании продуктов компании (прототипирование, wireframe, тестирование)   3. Разработка компонентов UI (иконки, цвета, макеты и др.)   4. ‎Создание и поддержка лучшего UX на свете   5. Участие в продвижении продуктов (промо материалы, видео, лендинги)       Требования к соискателю:   1.Опыт работы в векторных и растровых графических редакторах.   2. Опыт построения сложных пользовательских интерфейсов   3. ‎Системное мышление   4. ‎Разноплановое портфолио.   5. ‎Знание современных тенденций в области настольных и веб интерфейсов.   6. ‎Умение работать в команде.   7. ‎Ответственность и настойчивость ",Полная занятость,Полный день,От 1 года до 3 лет,|C++|MS Visual C++|MS Visual Studio|.NET Framework,3.0,118333.33333333331,1.0,98363.63636363637,дизайнер,1.Опыт работы в векторных и растровых графических редакторах. 2. Опыт построения сложных пользовательских интерфейсов. 3. ‎Системное мышление. 4. ‎Разноплановое портфолио. ,"1. Создание брендбука и гайдлайнов продуктов. 2. Участие в проектировании продуктов компании (прототипирование, wireframe, тестирование). 3. Разработка компонентов UI (иконки...",0.9666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Movista,2019-12-05T13:16:17+0300,"  Обязанности:      Развитие и поддержка дизайн-системы;   Проектирование и создание мобильных и веб интерфейсов;   Отрисовка и проработка дизайн макетов, отрисовка графики;   Работа над внедрением новой функциональности и фичей;   Плотной взаимодействие с командой разработки.      Требования:       Обязательно — ссылка на портфолио в резюме (резюме без портфолио не рассматриваются).    Опыт работы продуктовым дизайнером от 1 года;   Опыт использования современных инструментов: Figma, Sketch;   Опыт проектирования UI/UX новой фичи и умение описать как она работает;   Обязательное знание гайдлайнов и патернов мобильный платформ iOS/Android;   Умеет работать с инструментами прототипирования: inVision, Abstract;   Опыт создания анимации Principle, Origami;   Высокая организованность. Умение организовать свою работу, содержать все исходники в порядке, стили, символы, ui kit-ы.      Условия:      Полное соблюдение ТК РФ;   Официальная заработная плата;   Молодой, дружный коллектив;   Возможность профессионального и личностного роста;   ДМС после испытательного срока.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,118333.33333333331,1.0,98363.63636363637,дизайнер,Обязательно — ссылка на портфолио в резюме (резюме без портфолио не рассматриваются). Опыт работы продуктовым дизайнером от 1 года. ,"Развитие и поддержка дизайн-системы. Проектирование и создание мобильных и веб интерфейсов. Отрисовка и проработка дизайн макетов, отрисовка графики. ",0.26666666666666666,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,МТС,2019-11-18T08:46:16+0300," Сегодня МТС - успешная мультисервисная дата-ориентированная компания, предоставляющая более чем 100 миллионам абонентов уникальные продукты и услуги. Мы всегда открыты для талантливых, энергичных и приверженных своему делу людей.   Сейчас команда развития ИТ в поисках  Дизайнера    Проект по созданию торговой площадки для продажи товаров B2B и B2C клиентов.    Требования:        Портфолио с разработанными интерфейсами       Демонстрация навыков на проектах представленных в портфолио       Знание продуктов Sketch, Figma и Photoshop       Опыт тестирования с пользователями       Опыт разработки дизайна мобильных приложений           Условия:       Офис рядом со ст.м Трубная (5 минут пешком)             Расширенный полис ДМС со стоматологией   Дополнительные бонусы от наших партнеров     Обучение: тренинги в корпоративном университете МТС как очно, так и дистанционно, у МТС есть собственная виртуальная библиотека с сотнями книг по менеджменту, карьере и хобби           Дополнительные 3 дня отпуска за ненормированный рабочий день, множество различных корпоративных мероприятий     ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,118333.33333333331,1.0,98363.63636363637,дизайнер,"Демонстрация навыков на проектах представленных в портфолио. Знание продуктов Sketch, Figma и Photoshop. Опыт тестирования с пользователями. Опыт разработки дизайна...",Сейчас команда развития ИТ в поисках Дизайнера. Проект по созданию торговой площадки для продажи товаров B2B и B...,0.8333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,МТС,2019-11-18T18:38:53+0300,"  Что будешь делать    — Разрабатывать и внедрять единый дизайн наших продуктов.   — Создавать кликабельные прототипы.   — Запускать UX-тестирование прототипа на пользователях.   — Ставить задачи по дизайну команде разработчиков.   — Проверять и принимать реализацию по ходу и по итогам спринтов.        С кем будешь работать    Мы работаем в команде по гибким методологиям (скрам). В команде владелец продукта, менеджер проекта, аналитик, скрам-мастер, разработчики, QA-тестировщик.   Для общения с другими дизайнерами у нас есть система наставничества и Гильдия дизайнеров. В ней дизайнеры помогают друг другу, получают быстрый фидбек, обмениваются опытом.        Зачем тебе к нам    — Удовлетворение от проекта. Сможешь не полировать один экран или кнопку, а заботиться о сервисе в целом.   — Простор для экспериментов и творчества.   — Мы молоды и полны планов. Компания меняется, и мы ловим эту прекрасную волну.   — Результат работы — сразу. Продукты улучшают жизнь твоим коллегам. Обратную связь можно можно получить прямо на кофепоинте.   — Система наставничества и Гильдия. Источники уникального профессионального опыта.   — Дизайн-система. Облегчает и упорядочивает работу. Ты тоже сможешь участвовать в ее наполнении.   — Пространство для роста. Можешь развиваться как профессионал, а можешь стать ПМ или ПО, чтобы полностью брать продукты на себя.   — Постоянное обучение: очное, дистанционное, в корпоративном университете, у провайдеров и наставников.    И ещё    — Стабильная белая зарплата, две премии в год.   — ДМС после испытательного, фитнес через год.   — Корпоративная связь.   — График 5/2, гибкое начало дня.   — Офис в 5 минутах от м. Технопарк (БЦ «Декарт»).        Что ждем от тебя    — Опыт дизайна мобильных и веб-интерфейсов.   — Хорошее портфолио.   — Кропотливость и усидчивость.   — Способность работать в команде.   — Умение задавать вопросы.   — Любовь к гипотезам и исследованиям.   — Иммунитет к правкам и доработкам.   — Ответственность за свой результат.   — Чувство прекрасного. ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,118333.33333333331,1.0,98363.63636363637,дизайнер,Что будешь делать. С кем будешь работать. — Опыт дизайна мобильных и веб-интерфейсов. — Хорошее портфолио. — Кропотливость и усидчивость. — ,Разрабатывать и внедрять единый дизайн наших продуктов. — Создавать кликабельные прототипы. — Запускать UX-тестирование прототипа на пользователях. — Ставить задачи по дизайну...,0.8333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,"Возрождение, Банк",2019-11-28T14:42:44+0300,"  Обязанности:      Поддержание общего корпоративного стиля компании.   Верстка полиграфической продукции различных типов, дизайн иллюстраций, разработка фирменного стиля.   Предпечатная подготовка макетов.   Создание стильных и креативных презентаций по имеющимся проектам.   Разработка web банеров (Flash, HTML5).      Требования:      Высшее профессиональное образование-графический дизайнер   Знание графических программ Adobe. Работа с видео и анимацией. Prepress      Условия:      5-ти дневка, офис у м. Лубянка, Китай-город   Дмс, корп. столовая   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,118333.33333333331,1.0,87000.0,дизайнер,Высшее профессиональное образование-графический дизайнер. Знание графических программ Adobe. Работа с видео и анимацией. Prepress.,"Поддержание общего корпоративного стиля компании. Верстка полиграфической продукции различных типов, дизайн иллюстраций, разработка фирменного стиля. Предпечатная подготовка макетов. ",0.5,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Эннергия,2019-12-11T16:23:40+0300,"  Требования:   - Опыт работы дизайнером от 1 года; - Знание и уверенная работа в Adobe Photoshop, Adobe Illustrator, After Effects; Adobe Premiere - Наличие портфолио (Резюме без портфолио не рассматриваются); - Опыт работы в интернет-магазине и в fashion индустрии - Опыт в WEB-дизайне приветствуется; - Коммуникабельность, внимательность, умение работать с большим объемом информации; - Высокая скорость работы.    Обязанности:  - Дизайн и верстка полиграфической продукции (рекламные материалы) - Создание баннеров для сайта, социальных сетей;наполнение контента - Разработка анимаций для социальных сетей и рекламных кампаний - Редактирование фотографий; - Разработка и создание презентаций.    Условия:     - Заработная плата от 60 000 рублей. - Официальное трудоустройство с первого рабочего дня - Пятидневная рабочая неделя - Уютный офис на Краснопресненской набережной (м. Улица 1905 года); ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,118333.33333333331,1.0,60000.0,дизайнер,"Опыт работы дизайнером от 1 года. - Знание и уверенная работа в Adobe Photoshop, Adobe Illustrator, After Effects; Adobe Premiere. - ","Дизайн и верстка полиграфической продукции (рекламные материалы). - Создание баннеров для сайта, социальных сетей;наполнение контента. - Разработка анимаций для социальных сетей...",0.06666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Сайтсофт,2019-12-11T17:33:40+0300," В связи с расширением мы приглашаем в свою команду  веб-дизайнера . Нам нужен талантливый дизайнер, который влюблен в свою работу, при этом готов учиться и расти. Любит изучать новые технологии, мониторит тренды и дизайнерские ресурсы. Знает как работать с ограничениями и сжатыми сроками. Хочет помогать людям решать задачи с помощью своих скиллов UX и UI. Так же умеет аргументировано отстаивать свои решения и презентовать свой дизайн, любить стайлгайды и спецификации.   Только у нас вы можете прикоснуться к разработке социально значимых проектов, которые можно увидеть по центральному телевидению и СМИ практически каждый день. Среди наших клиентов – МЧС России, Следственный комитет, ФССП, МВД России, МИД России, Роснефть и многие другие.    Обязанности:      Разработка дизайна мобильных приложений, сайтов, интерфейсов различных информационных систем;     Сбор информации о предметной области проекта и его аудитории;       Проектирование интерфейсов: макеты, формы и состояния элементов, сценарии.     Стремление к профессиональному росту и развитию      Требования:      Присылайте портфолио, это лучше всего скажет о Вашей квалификации;   Опыт разработки дизайна порталов, мобильных приложений;   Креативность, готовность предлагать собственные решения;   Аккуратность и требовательность к качеству своей работы и результату;   Умение обозначать реалистичные сроки и выдерживать их.   Знание современных тенденций в области веб-дизайна.      Условия:      Белая заработная плата (обсуждается с успешными кандидатами);   Разные проекты (гос сектор + коммерческие заказчики, продуктовый дизайн) и интересные задачи, которые позволят расти профессионально;   Чай/кофе, сладости, новый Mac и приятная рабочая атмосфера;   Гибкое начало рабочего дня (с 9 до 11);   Работа в офисе (ст. метро Бауманская), рабочий график обсуждается.       ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,118333.33333333331,1.0,98363.63636363637,дизайнер,"Присылайте портфолио, это лучше всего скажет о Вашей квалификации. Опыт разработки дизайна порталов, мобильных приложений. Креативность, готовность предлагать собственные решения. ","Разработка дизайна мобильных приложений, сайтов, интерфейсов различных информационных систем. Сбор информации о предметной области проекта и его аудитории. ",0.06666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
