city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,linux,sql,пользователь пк,python,настройка сетевых подключений,английский язык,настройка пк,ремонт пк,tcp/ip,autocad,other
Москва,Интелком Лайн,2019-12-04T12:11:58+0300," Обязанности:       Техническая поддержка и консультирование пользователей программно-аппаратных комплексов.       Техническая поддержка программного обеспечения систем видеонаблюдения (установка, настройка, сопровождение).       Отработка заявок и предоставление решений.       Выезды на объекты в пределах Москвы.       Требования:       Образование: Высшее или среднее специальное.       Опыт работы: от 1 года.       Знание операционных систем на уровне продвинутого пользователя.       Знание сетевых технологий.       Приветствуется знание основ охранного видеонаблюдения, опыт работы с базами данных.       Английский язык (для чтения технической документации).       Навыки общения с клиентами по телефону.       Коммуникабельность, ответственность, стрессоустойчивость, внимательность. Грамотные речь и письмо.       Интерес к технике.       Условия:     Оформление по ТК РФ (оплачиваемый отпуск, больничный и т.д.).   Месторасположение - м. Киевская.   Перспективы профессионального роста.   Тип занятости: Полная занятость.     График работы: 2 через 2 с 9.00 до 19.00.     Выходные и праздничные дни по скользящему графику.   Оклад (от 60 т.р.) по результатам собеседования.   Испытательный срок – 3 мес.   Возможно обучение.      Приветствуется:    Знание компьютерных сетей и систем, сетевого оборудования, способность находить и анализировать информацию для выполнения должностных обязанностей, владение компьютером (операционные системы, офисные приложения, Интернет, Wireshark) на уровне опытного пользователя; опыт работы в сфере систем безопасности необязателен.         ",Полная занятость,Сменный график,От 1 года до 3 лет,|Настройка ПО|Системы видеонаблюдения|Консультирование|Техническая поддержка,3.0,90714.28571428572,1.0,60000.0,инженер технической поддержки,Образование: Высшее или среднее специальное. Опыт работы: от 1 года. Знание операционных систем на уровне продвинутого пользователя. Знание сетевых технологий. ,"Техническая поддержка и консультирование пользователей программно-аппаратных комплексов. Техническая поддержка программного обеспечения систем видеонаблюдения (установка, настройка, сопровождение). Отработка заявок и...",0.3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Артавеон,2019-12-11T15:29:09+0300,"  Обязанности:       т ехническая поддержка ПК и Периферии,диагностика и устранение неполадок и сбоев в аппаратной и программной части на рабочем месте.   Консультации и помощь пользователям ПК по базовым операциям (работа с текстовым редактором,работа с электронными таблицами, электронная почта, работа с web браузером).   Подключение новых рабочих мест, настройка программного обеспечения на новом рабочем месте.   Замена, подключение и настройка активного сетевого оборудования.   Антивирусная защита и профилактика.   Установка расходных материалов (картриджи, тонер, заправка бумаги в аппараты общего пользования).      Требования:      Профильное образование не ниже среднего специального   Опыт обслуживания оргтехники.     Знание стека протоколов TCP/IP       Знание принципов работы Active Directory       Желателен опыт работы в системах Help Desk       Знание принципов построения ЛВС по стандарту OSI       Условия:     Работа на территории заказчика: ПАО &quot;Транснефть&quot;, не разъездная.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Настройка сетевых подключений|Настройка ПК|DNS|Ремонт ПК|TCP/IP|Настройка ПО|Active Directory|DHCP,3.0,90714.28571428572,1.0,55000.0,инженер технической поддержки средств вычислительной техники help desk,Профильное образование не ниже среднего специального. Опыт обслуживания оргтехники. Знание стека протоколов TCP/IP. Знание принципов работы Active Directory. ,"Техническая поддержка ПК и Периферии,диагностика и устранение неполадок и сбоев в аппаратной и программной части на рабочем месте. ",0.06666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1
Москва,Атос АйТи Солюшенс энд Сервисез,2019-11-18T15:01:44+0300,"  Обязанности:      Оказание консультаций пользователям по телефону, электронной почте, лично, удаленно;   Коммуникация с пользователями по ранее созданным запросам;   Решение всех типов запросов в рамках функционала;   Эскалация нерешенных инцидентов;   Обеспечение бесперебойного функционирования оборудования информационной системы и принятие оперативных мер по устранению возникающих в процессе работы нарушений;   Поддержка пользователей при работе со стандартным программным обеспечением, включая диагностику, проверку функционирования и устранение неисправностей;   Замена расходных материалов принтеров и копировальной техники;   Выдача, изъятие, замена оборудования Клиента;   Участие в разработке инструкций, методических материалов;   Способствование созданию благоприятной деловой репутации Компании и Клиента;   Выполнение утвержденных ключевых показателей эффективности;   Актуализация информации по обращениям и инцидентам в системе обработки заявок;   Качественное и своевременное выполнение иных задач, поставленных непосредственным или вышестоящим руководителем.      Требования:      Желание и умение учиться (корпоративной политике, внутренним правилам оформления документов, инструкциям, методикам, программам);   Вежливая речь. Умение получать/доносить информацию пользователю ИТ услуг;   Пунктуальность;   Ориентированность на клиента в рамках полномочий;   Знание основных настроек Windows 7 и Windows 10;   Понимание принципов работы аналоговой, IP телефонии;   Знание пакета Microsoft Office (Word, Excel, Outlook);   Знание английского на уровне чтения технической литературы.      Условия:      Компания предлагает стабильную и интересную работу, возможность профессионального развития;   Компания гарантирует соблюдение прав работников и норм, предусмотренных ТК РФ;   Компенсация мобильной связи (корпоративная сим-карта);    Сначала будет проходить обучение по адресу: г. Москва, Дмитровское шоссе. После необходимо будет постоянно работать по адресу: г.Москва, 1-й Варшавский пр-д (м. Варшавская).    ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,90714.28571428572,1.0,64000.0,инженер технической поддержки,"Желание и умение учиться (корпоративной политике, внутренним правилам оформления документов, инструкциям, методикам, программам). Вежливая речь. Умение получать/доносить информацию пользователю...","Оказание консультаций пользователям по телефону, электронной почте, лично, удаленно. Коммуникация с пользователями по ранее созданным запросам. Решение всех типов запросов...",0.8333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Проектное бюро АПЕКС,2019-12-05T09:42:30+0300," Обязанности:     Разработка проектной и рабочей документации по разделам (внутренние системы) при участии ведущего инженера и/или главного специалиста:     - Сети связи: телефонная связь и передача данных, ЛВС, СКС, радиофикация, телевидение; - Системы безопасности: видеонаблюдение, охранная сигнализация, СКУД, домофонная связь, тревожная сигнализация, МГН; - Системы противопожарной защиты: АПС, противопожарная автоматика, СОУЭ, мероприятия по доступу МГН;     Также рассматриваются соискатели со специализацией только в части разделов;   Проектирование объектов различного функционального назначения, жилых и общественных зданий в приоритете.     Требования:     Опыт работы от 1 года.   Знание Технических регламентов, Федеральных законов и иных нормативных документов.   Умение работать в программных комплексах AutoCAD, Revit (желательно).   Знание английского языка (желательно).     Условия: ​​​​​​​    Работа в стабильной интенсивно развивающейся компании   Оформление по ТК   Белая заработная плата обсуждается по результатам собеседования   Офис класса А, 15 минут пешком от м. Павелецкая   Молодой, дружный коллектив      Благодарим Вас за интерес, проявленный к нашей Компании.     Мы обязательно рассмотрим Ваше резюме в течение 7 дней. Отсутствие ответа в течение недели означает, что по данной вакансии уже был сделан выбор. При этом Ваше резюме будет сохранено в нашей информационной системе и, если подходящая вакансия появится в будущем, мы предложим ее Вам для рассмотрения.  ",Полная занятость,Полный день,От 1 года до 3 лет,|AutoCAD|Autodesk Revit|Английский язык|Разработка проектной документации|Системы охранно-тревожной сигнализации,3.0,90714.28571428572,1.0,64000.0,инженер проектировщик по слаботочным системам,"Опыт работы от 1 года. Знание Технических регламентов, Федеральных законов и иных нормативных документов. Умение работать в программных комплексах AutoCAD...",Разработка проектной и рабочей документации по разделам (внутренние системы) при участии ведущего инженера и/или главного специалиста: Также рассматриваются соискатели...,0.26666666666666666,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Москва,Gaijin Entertainment,2019-12-12T16:22:06+0300,"  Gaijin Entertainment  - это более 200 профессионалов игровой индустрии, занимающихся разработкой проектов на различных платформах: PC/PS4/ Xbox One/Mac/Linux/iOS и Android. В портфолио команды более 30 игр, завоевавших множество наград. В своих проектах компания использует самые современные решения и технологии.   В нашу команду в Gaijin Entertainment нужен Билд-инженер/Программист Python.    Что Вам предстоит:    - Оптимизация сборки; - Выполнение сборки общих библиотек; - Разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО; - Исследование и внедрение нового инструментария.    У нашего кандидата есть:    - Отличное знание языка Python, знание и навыки работы с GIT; - Хорошее понимание процессов разработки ПО; - Знание Windows и Linux; - Умение разбираться в чужом коде, умение работать в команде; - Технический английский язык.    Плюсом будет:    - Знание и навыки работы с Jenkins-CI; - Опыт конфигурационного управления в области разработки больших программных продуктов; - Знание PostgreSQL, MongoDB; - Знание С++.    Наше предложение финалисту:    - Работа в компании, сделавшей самую популярную в мире российскую игру; - Задачи — нетривиальные с использованием инновационных, перспективных технологий, что обеспечивает нашим решениям привлекательность и актуальность в быстро изменяющихся условиях IT-рынка; - Команда, которая выпустила launch title под консоль нового поколения — неординарные личности и специалисты своего дела; - Условия — конкурентная заработная плата, гибкий график работы, комфортный офис рядом с метро Свиблово (1 минута от метро — БЦ «Снежная »), возможность подземной парковки; - Питание — готовые бесплатные обеды в офисе; две кухни, где всегда есть чай/кофе и печеньки; - Здоровье — свежевыжатые соки, фрукты, массажные кресла, душевые в офисе, ДМС. ",Полная занятость,Полный день,От 1 года до 3 лет,|Python|C++,3.0,90714.28571428572,1.0,64000.0,билд инженер разработчик python,"Отличное знание языка Python, знание и навыки работы с GIT. - Хорошее понимание процессов разработки ПО. - Знание Windows и Linux. - ",Оптимизация сборки. - Выполнение сборки общих библиотек. - Разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО. - ,0.03333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Москва,Tele2,2019-12-06T13:16:54+0300,"  Инженер по строительству базовых станций      Ваши будущие задачи:      Взаимодействие со строительными и подрядными организациями при строительстве и расширении сети;   Контроль качества выполнения строительных и других работ при строительстве и ремонте объектов связи;   Контроль затрат на строительные работы;   Заказ оборудования;   Ведение договоров с подрядными и строительными организациями;   Своевременная отчетность.      Чтобы стать кандидатом, нужно:      Высшее техническое образование;   Желание развиваться в сфере телекоммуникаций;   Знание нормативно-технической базы в области строительства объектов связи;   Навыки ведения переговоров;   Ответственность, инициативность;   Знание Excel (ВПР, сводные таблицы).      Плюсы для вас:      Интересная работа в быстроразвивающейся компании;   Уникальная система обучения для каждого сотрудника на основе индивидуальных планов развития;   Зеленый свет для новых идей и предложений: мы часто делаем то, на что другие не отваживаются;   Возможности профессионального и карьерного роста;   Индексируемая заработная плата;   Полное соответствие ТК РФ;   Расширенная медицинская страховка в России и за пределами страны - даже для любителей черных горнолыжных трасс;   Компенсация затрат на мобильную связь;   Дополнительные материальные выплаты (пособия при рождении ребенка, вступлении в брак и т.п.);   Компенсация занятий спортом через год работы.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,90714.28571428572,1.0,64000.0,инженер по строительству базовых станций,Высшее техническое образование. Желание развиваться в сфере телекоммуникаций. Знание нормативно-технической базы в области строительства объектов связи. Навыки ведения переговоров. ,Взаимодействие со строительными и подрядными организациями при строительстве и расширении сети. Контроль качества выполнения строительных и других работ при строительстве...,0.23333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Научно-исследовательский институт железнодорожного транспорта,2019-12-09T11:51:36+0300," АО &quot;ВНИИЖТ&quot; ищет инженера по внедрению и сопровождению ПО в научный центр «Цифровые модели перевозок и технологии энергосбережения» для участия в крупном проекте.    Обязанности:    Внедрение, развитие и сопровождение автоматизированной системы в сфере управления перевозками на железнодорожном транспорте:     Взаимодействие с пользователями системы (инженерами-технологами), их обучение, сопровождение и техническая поддержка. Получение, систематизация и анализ запросов, обращений и предложений пользователей;   Взаимодействие с группой разработчиков ПО. Формулировка предложений для оптимизации работы систем на основе опыта её эксплуатации пользователями и по результатам внутреннего тестирования;   Написание, переработка, актуализация программно-технической документации;   Совершенствование технологии внедрения и использования автоматизированных систем на полигонах железнодорожной сети.      Требования:      Владение ПК на уровне опытного пользователя (Windows, MS Office);   Высшее техническое образование (приветствуется железнодорожное в области управления перевозками);   Приветствуется хорошее алгоритмическое мышление и наличие базовых навыков программирования.      Личные качества:      Готовность к общению и взаимодействию со специалистами железной дороги – пользователями системы;   Высокая обучаемость, ответственность и организованность, хорошие коммуникативные навыки, вежливость и доброжелательность;   Готовность к командировкам.     Условия:     Много интересной работы в хорошей компании;   Комфортные условия в офисе в районе м. «Алексеевская»;   Соблюдение ТК РФ;   Возможны командировки.   ",Полная занятость,Полный день,Нет опыта,|Работа в команде|MS Office,,90714.28571428572,,64000.0,инженер по внедрению и сопровождению по,"Владение ПК на уровне опытного пользователя (Windows, MS Office). Высшее техническое образование (приветствуется железнодорожное в области управления перевозками). ","Взаимодействие с пользователями системы (инженерами-технологами), их обучение, сопровождение и техническая поддержка. Получение, систематизация и анализ запросов, обращений и предложений...",0.13333333333333333,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Спортмастер,2019-12-02T10:09:25+0300,"      Обязанности:      Обеспечение функционирования IT сервисов в магазинах компании   Устранение инцидентов с IT оборудованием в магазинах Компании   Изучение функционала ПО собственной разработки и его последующая поддержка   Удаленная поддержка пользователей, диагностика и обслуживание ПК, оргтехники и торгово-кассового оборудования      Требования:      Знание операционных систем семейства Windows на уровне продвинутого пользователя   Базовые знания Unix систем   Навыки установки и настройки операционных систем и приложений   Опыт поддержки торгово-кассового оборудования   Знание принципов работы сети Ethernet и основных сетевых протоколов      Став частью Sportmaster Lab, вы получите:      Работу в крупной стабильной российской компании - лидере на рынке розничной торговли товарами для спорта и отдыха   Перспективы профессионального, карьерного и финансового роста   Офис - м. Аэропорт   График работы: 5/2; 8.00-17.00, 9.00-18.00 или 10.00-19.00 (можно выбрать), либо 2\2; 9.00-21.00   Дисконтная карта на продукцию магазинов сети   Полугодовые премии в размере 50% от суммы ежемесячного дохода   Корпоративные скидки на различные виды страхования и кредитования   Корпоративные программы спорта и отдыха   Организованное питание в офисе (компенсация питания);   Обучение и сертификация за счет компании   ",Полная занятость,Гибкий график,От 1 года до 3 лет,,3.0,90714.28571428572,1.0,64000.0,инженер технической поддержки,Знание операционных систем семейства Windows на уровне продвинутого пользователя. Базовые знания Unix систем. Навыки установки и настройки операционных систем и...,Обеспечение функционирования IT сервисов в магазинах компании. Устранение инцидентов с IT оборудованием в магазинах Компании. Изучение функционала ПО собственной разработки...,0.36666666666666664,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Почта России,2019-12-05T11:48:13+0300," Обязанности:     Поддержка пользователей, установка и настройка ОС Windows, мобильные ОС, ПО MS Office;   Обеспечение технического обслуживания вычислительной и оргтехники;   Консультация и техническая поддержка пользователей;   Организация рабочих мест пользователей;   Поддержка ПО на рабочих пользователей;   Замена картриджей.     Требования:     Образование высшее;   Необходимы знания ИТ инфраструктуры;   Способность самостоятельно принимать решения в рамках своей компетенции;   Иметь высокую работоспособность, аналитический склад ума, стратегическое мышление;   Быть общительным, коммуникабельным, корректным, вместе с тем требовательным и настойчивым, уметь добиваться поставленной цели;   Быть объективным к себе и коллегам;   Умение координировать деятельность с другими структурными подразделениями Предприятия;   Обязан соблюдать конфиденциальность персональных данных;   Уверенный пользователь ПК, MS Office, знание ОС Windows.     Условия:     Работу в крупной стабильной компании;   Полное соблюдение трудового законодательства РФ;   Достойный уровень вознаграждения по итогам собеседования;   График работы 5/2;   ДМС после испытательного срока;   Льготное кредитование в «Почта Банке», выгодные предложения от компаний-партнеров.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Настройка ПК|Windows 7|Настройка ПО|Windows Xp|Информационные технологии,3.0,90714.28571428572,1.0,64000.0,инженер технической поддержки,"Образование высшее. Необходимы знания ИТ инфраструктуры. Способность самостоятельно принимать решения в рамках своей компетенции. Иметь высокую работоспособность, аналитический склад ума...","Поддержка пользователей, установка и настройка ОС Windows, мобильные ОС, ПО MS Office. Обеспечение технического обслуживания вычислительной и оргтехники. ",0.26666666666666666,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Москва,"Копи-Групп, Компания",2019-11-18T15:38:38+0300, требуется инженер по ремонту оргтехники    обязанности :     ремонт оргтехники на выезде по г. Москве      требования :     опыт работы от одного года.   Аккуратность и исполнительность.   Вежливость и опрятность.   Пунктуальность.      условия :     оклад + премии   полностью оплачивается проезд включая маршрутки   полностью оплачивается безлимитная мобильная связь с интернетом   полностью оплачивается отпуск 28 календарных дней в любой месяц по вашему выбору   оплачивается больничный   оформление согласно ТК РФ   ,Полная занятость,Полный день,От 1 года до 3 лет,"|Аккуратность, исполнительность, пунктуальность",3.0,60000.0,1.0,50000.0,инженер по ремонту оргтехники,Опыт работы от одного года. Аккуратность и исполнительность. Вежливость и опрятность. Пунктуальность.,Ремонт оргтехники на выезде по г. Москве.,0.8333333333333334,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
