city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,английский язык,работа в команде,консультирование,1с: предприятие 8,sap,sql,sap erp,erp-системы на базе 1с,1с программирование,sap bw,other
Москва,Лига Кода,2019-11-25T13:05:26+0300," Доброго дня, коллеги!   В команду требуются Консультанты 1С с опытом внедрения 1С ERP.   Удаленно. Фулл-тайм.   Проектный формат работы. Например, текущий актуальный проект - примерно на 1,5 года.    Обязанности:      работа в команде внедрения   сбор требований, написание ТЗ, постановка задач программистам, консультирование пользователей     Требования:     знание как минимум 1-2 блоков 1С ERP (БУ/НУ, УУ, Производство, Бюджетирование, МСФО, ЗУП)   опыт проектной работы консультантом от 3 лет   наличие сертификатов 1С как преимущество     Условия:     полностью удаленный формат   проектная загрузка     PS Если вы больше программист, чем консультант - также откликайтесь, пообщаемся. ",Полная занятость,Удаленная работа,От 3 до 6 лет,|Консультирование|1С: Управление предприятием|ERP-системы на базе 1С,6.0,100000.0,3.0,80000.0,консультант 1с erp,"Знание как минимум 1-2 блоков 1С ERP (БУ/НУ, УУ, Производство, Бюджетирование, МСФО, ЗУП). Опыт проектной работы консультантом...","Работа в команде внедрения. Сбор требований, написание ТЗ, постановка задач программистам, консультирование пользователей.",0.6,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
Москва,Банк ВТБ (ПАО),2019-12-11T15:51:40+0300," Обязанности:     работа с клиентами отделения ;   продажа банковских продуктов;   консультирование по банковским продуктам;   выявление потребности клиента, направление к специалисту;   обучение клиента работе в зонах самообслуживания.     Требования:     высшее-неоконченное высшее образование( финансовое/экономическое/юридическое);   знание банковских бизнес-процессов и банковских продуктов приветствуется;   наличие опыта консультирования и продаж приветствуется.     Условия:     трудоустройство согласно Законодательству   конкурентная заработная плата   профессиональное обучение и развитие;   добровольное медицинское страхование. льготные условия кредитования;   корпоративная пенсионная программа,материальная помощь;   спортивная жизнь и корпоративные мероприятия;   возможность построить карьеру в ведущем банке России.   ",Полная занятость,Полный день,Нет опыта,|Продажа страховых продуктов|Обучение и развитие|Клиентоориентированность|Консультирование|Прямые продажи,,100000.0,,80000.0,консультант,Высшее-неоконченное высшее образование( финансовое/экономическое/юридическое). Знание банковских бизнес-процессов и банковских продуктов приветствуется. Наличие опыта консультирования и продаж...,"Работа с клиентами отделения . Продажа банковских продуктов. Консультирование по банковским продуктам. Выявление потребности клиента, направление к специалисту. Обучение клиента работе...",0.06666666666666667,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Москва,Валта,2019-12-09T10:57:45+0300," В крупную Российскую дистрибьютерскую компанию (лидер на рынке зоопродукции премиум класса) приглашается специалист технической поддержки 1С.   Нам требуется специалист на поддержку нетиповой конфигурации на платформе 1С УПП.     Обязанности:       выполнение заявок от пользователей согласно SLA (2-ая линия техподдержки);   консультирование пользователей по работе в базе 1С УПП;   эскалация заявок на доработку функционала на 3-ью линию техподдержки (отдел разработки);   участие в тестировании новой функциональности базы 1С УПП;   участие в формировании пользовательской документации и наполнении корпоративной справочной системы.       Наши пожелания:       знание 1С платформы 8 и основных механизмов;   опыт работы с запросами 1С;   опыт работы в сопровождении базы на платформе 1С;   стремление качественно выполнить свою работу;   вежливое отношение к коллегам и пользователям;   умение сохранять спокойствие в стрессовых ситуациях;   честность и добросовестность;   инициативность, готовность к самостоятельному изучению информации;   высшее образование (техническое).       Желательны (но не обязательны):       опыт работы в должности администратора или специалиста поддержки 1С;   наличие сертификатов по 1С;   опыт программирования в 1С.       Условия:       оклад + ежеквартальные премии (KPI), обсуждается с успешным кандидатом;   официальная заработная плата, полное соблюдение ТК РФ;   работа исключительно на территории работодателя в г. Москве (ЮАО);   график работы: обсуждается с руководителем.   ",Полная занятость,Полный день,От 3 до 6 лет,|1С программирование|1С: Предприятие 8|1С: Управление Производственным Предприятием|1С: Документооборот|Google Chrome,6.0,100000.0,3.0,80000.0,консультант 1с,Знание 1С платформы 8 и основных механизмов. Опыт работы с запросами 1С. Опыт работы в сопровождении базы на...,Выполнение заявок от пользователей согласно SLA (2-ая линия техподдержки). Консультирование пользователей по работе в базе 1С УПП. ,0.13333333333333333,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Москва,MASTERDATA,2019-12-09T14:26:44+0300," Приглашаем в свою команду  консультанта CRM.     Задачи:      Изучение SAP CRM, если отсутствует релевантный опыт - учим!   Сбор и формализация требований, согласование их с бизнес-заказчиком   Составление ТЗ и подготовка проектной документации   Моделирование и регламентация CRM-процессов   Настройка приложения, используя функциональность SAP   Разработка инструкций пользователей   Обучение пользователей      Пожелания к успешному кандидату:      Знание методологии моделирования и инструментов моделирования бизнес-процессов   Знание CRM-процессов, методологий описания бизнес-процессов и ведения IT-проектов   Навыки по сбору требований, описанию бизнес-процессов и подготовке технических заданий на разработку   Большим плюсом будет опыт настройки любой из систем SAP SD, MS Navision Axapta, Bitrix24, MS CRM, Oracle siebel или любой другой CRM системы   Знание английского языка на уровне чтения технической документации      Мы предлагаем:      Интересные проекты, в том числе международные   Добровольное медицинское страхование   Корпоративный английский язык   Оформление по ТК РФ   Конкурентную и официальную ЗП   Современный офис в 5 минутах ходьбы от метро Автозаводская   Молодую и энергичную команду   ",Полная занятость,Полный день,От 1 года до 3 лет,|SAP SD|MS Navision Axapta|Bitrix24|MS CRM|Oracle Siebel CRM|amoCRM|SAP CRM,3.0,100000.0,1.0,80000.0,консультант sap сrm,"Знание методологии моделирования и инструментов моделирования бизнес-процессов. Знание CRM-процессов, методологий описания бизнес-процессов и ведения IT-проектов. ","Изучение SAP CRM, если отсутствует релевантный опыт - учим! Сбор и формализация требований, согласование их с бизнес-заказчиком. Составление ТЗ и...",0.13333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Москва,Федеральное государственное унитарное предприятие ЦИТО,2019-12-04T09:04:15+0300," Обязанности:   Участие в проекте внедрения 1С ERP на стороне заказчика    Регламентированный учет, бюджетирование, МСФО, казначейство, зарплата и кадровый учет, управленческая отчетность (БДДС, БДР).    Поддержка и администрирование программы 1С Предприятие 8.3 (ERP, Документооборот) в рабочем состоянии, диагностика и устранение ошибок.   Доработка существующего функционала приложения, написание новых и доработка существующих отчетов, обработок, создание печатных форм, шаблонов и т.д.   Тестирование и отладка работы программы после внесения изменений; Написание технической документации.   Поддержка и консультирование пользователей.   Обеспечение стабильной работы взаимосвязанных функциональных блоков программы. Создание механизмов интеграции с другими программами;   Обновление конфигураций (типовых и не типовых)   Администрирование доступа пользователей к базам 1С.   Требования:   Опыт работы: от 3 лет по специальности   Опыт автоматизации казначейства, бюджетирования, управленческой отчетности (БДДС, БДР);   Знание основ бухгалтерского и налогового учета, кадрового делопроизводства, механизмов расчета заработной платы, законодательства РФ;   Опыт обновления и поддержки нетиповых конфигураций 1С;   Опыт работы в крупных организациях с высоконагруженными системами является преимуществом;   Аналитический склад ума, системный подход к решению поставленных задач, организованность, внимательность к деталям;   Наличие сертификатов является преимуществом.   Условия:   Оформление в соответствии с ТК РФ   Испытательный срок 3 месяца   ДМС после года работы. ",Полная занятость,Полный день,От 3 до 6 лет,|ERP-системы на базе 1С,6.0,100000.0,3.0,80000.0,разработчик консультант 1с,"Опыт работы: от 3 лет по специальности. Опыт автоматизации казначейства, бюджетирования, управленческой отчетности (БДДС, БДР). Знание основ бухгалтерского и налогового...","Участие в проекте внедрения 1С ERP на стороне заказчика. Регламентированный учет, бюджетирование, МСФО, казначейство, зарплата и кадровый учет, управленческая...",0.3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Санкт-Петербург,Мед ИТ-Решения,2019-11-27T08:15:33+0300," Компания МЕД ИТ-Решения (www.medit.ru), один из лидеров в автоматизации лабораторной диагностики, объявляет об открытии вакансии «Консультанта/Специалиста по внедрению информационных систем в медицине».    Обязанности:      Управление проектами внедрения лабораторных информационных систем в государственных и частных медицинских учреждениях   Описание рабочих процессов лабораторий различного профиля (Микробиологическая, КДЛ, Молекулярных методов, Цитогенетическая, Гистологическая и т.д.);   Написание Технических заданий   Оптимизация процессов с помощью внедрения информационных технологий;   Предметное администрирование специализированных медицинских систем (МИС, ЛИС, РИС и т.д.) на этапе внедрения (заполнение справочников тестов, подключение анализаторов (в команде с системными администраторами), конфигурирование драйверов приборов, настройка правил и оповещений, настройка отчетов и т.д.)   Обучение персонала Заказчика;   Подготовка методических материалов;   Поддержка внедренных систем;   Участие в интеграционных работах.          Требования:      Образование: высшее   Опыт внедрения информационных систем в медицине приветствуется   Умение выстраивать коммуникации как с Заказчиками, так и с разработчиками   Аналитическое мышление   Коммуникабельность, грамотная речь   Знание методов разработки и согласования стандартных документов – Техническое задание, Календарный план и т.д.   Английский язык - чтение технической документации.          Условия:      Официальное трудоустройство согласно ТК РФ с первого дня работы.   Заработная плата обсуждается на собеседовании.   Социальный пакет (ДМС, бонусы, корпоративные мероприятия).   График работы с 9.30 до 18.00 (пн.-пт.)     Тип занятости   Полная занятость, полный день     ",Полная занятость,Полный день,Нет опыта,|Разработка технических заданий|Английский язык|Грамотная речь|Информационные технологии|Системное мышление,,133333.33333333337,,64166.66666666666,консультант специалист по внедрению информационных систем в медицине,"Образование: высшее. Опыт внедрения информационных систем в медицине приветствуется. Умение выстраивать коммуникации как с Заказчиками, так и с разработчиками. ","Управление проектами внедрения лабораторных информационных систем в государственных и частных медицинских учреждениях. Описание рабочих процессов лабораторий различного профиля (Микробиологическая, КДЛ...",0.5333333333333333,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Санкт-Петербург,Транспортно-логистическая группа «Трансойл»,2019-11-26T12:48:18+0300," Обязанности:     Анализ предметной области и бизнес-задач подразделений-заказчиков;   Участие в подготовке постановочной задачи;   Разработка оптимального варианта реализации проекта/задачи в информационной системе;   Подготовка технического задания программистам;   Тестирование функционала по итогам разработки;   Подготовка инструкций пользователя;     Участие в рабочих совещаниях по проектам внедрения.       Требования:     Опыт работы на аналогичной должности от одного года;   Высшее образование (техническое, математическое);   Опыт настройки модуля ММ (настройка оргструктуры ММ, настройка материалов, видов движения, классов оценки; настройка проводок);   Опыт настройки модуля ТОРО (настройка оргструктуры, заказов ТОРО);   Знание таблиц модуля ММ;   Навыки ведения технической документации;   Ведение ролей пользователей, навыки обучения пользователей;   Навыки работы с MS Excel.     Условия:     Уровень зарплаты зависит от опыта кандидата и обсуждается индивидуально на интервью в Компании;   Оформление по ТК РФ;   Добровольное медицинское страхование;   Возможность профессионального и карьерного роста;   Офис: Петроградская наб., БЦ «Сити» (м. Горьковская, м. Пл. Ленина).   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,133333.33333333337,1.0,64166.66666666666,консультант sap,"Опыт работы на аналогичной должности от одного года. Высшее образование (техническое, математическое). Опыт настройки модуля ММ (настройка оргструктуры ММ, настройка...",Анализ предметной области и бизнес-задач подразделений-заказчиков. Участие в подготовке постановочной задачи. Разработка оптимального варианта реализации проекта/задачи в...,0.5666666666666667,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,СИГМА,2019-11-21T13:33:32+0300," Обязанности:     Консультирование пользователей, выявление их потребностей;   Разработка документов «Руководство пользователя»;   Участие на всех этапах внедрения     Требования:     Базовые навыки работы с 1С (на уровне уверенного пользователя);   Развитые коммуникативные навыки;   Знание любой конфигурации 1С;   Понимание бухгалтерского, налогового или управленческого учета.     Условия:     Работа в одной из ведущих компаний разработчиков ИТ-решений в энергетическом секторе;   Оформление и все социальные гарантии по ТК РФ;   Квартальные премии по результатам работы;   ДМС после испытательного срока;   Профильные курсы, сертификация;   Возможность доступа к корпоративной электронной библиотеке.   ",Полная занятость,Полный день,От 1 года до 3 лет,|1С: Предприятие 8|1С: Производство|1С: Документооборот,3.0,133333.33333333337,1.0,64166.66666666666,младший консультант 1с,Базовые навыки работы с 1С (на уровне уверенного пользователя). Развитые коммуникативные навыки. Знание любой конфигурации 1С. ,"Консультирование пользователей, выявление их потребностей. Разработка документов «Руководство пользователя». Участие на всех этапах внедрения.",0.7333333333333333,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Санкт-Петербург,OCS distribution,2019-11-29T16:20:42+0300,"  OCS   Distribution  – лидер рынка IT дистрибуции России.   Более 250 мировых производителей, обширная партнерская сеть, офисы в 27 городах России – это важные сведения, но вовсе не основная гордость нашей компании.   Более 2000 человек по всей стране работают в OCS, и мы гордимся каждым из них!   Сейчас в отдел развития информационных систем мы ищем  Консультанта развития Microsoft Dynamics AX.     Содержание работы:      анализ и описание бизнес-процессов;   подготовка технических заданий на доработку системы;   тестирование новой функциональности;   подготовка инструкций для пользователей;   поддержка пользователей Dynamics AX (2-я линия)      Требуемые навыки:      опыт работы с ERP-системами;   опыт подготовки технических заданий на доработку;   опыт поддержки пользователей (написание инструкций, работа с обращениями, обучение);   высшее техническое/ экономическое/ математическое образование.      Дополнительным преимуществом будут:      знание функциональности DAX (общие знания по всем модулям + подробные знания по модулям «Расчеты с поставщиками» и «Управление запасами»);   знание структуры данных DAX;   базовые знания (понимание логики) языка X++;   базовые знания основ бух.учета;   знание языка запросов SQL.      Мы готовы предложить успешным кандидатам:       влиться в дружный коллектив позитивных трудоголиков;   стать частью яркой команды увлеченных, целеустремленных людей;   участвовать в программах обучения и развития сотрудников;   оплачиваемые отпуска и больничные, &quot;белая&quot; заработная плата дважды в месяц;   рабочий график – пятидневка с 10 до 18 часов;   уютный офис около ст. метро «Лесная».   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,133333.33333333337,1.0,64166.66666666666,консультант развития информационных систем,"Опыт работы с ERP-системами. Опыт подготовки технических заданий на доработку. Опыт поддержки пользователей (написание инструкций, работа с обращениями, обучение). ",Анализ и описание бизнес-процессов. Подготовка технических заданий на доработку системы. Тестирование новой функциональности. Подготовка инструкций для пользователей. ,0.4666666666666667,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,НПК КАТАРСИС,2019-12-12T11:33:42+0300,"  Обязанности :     Обработка обращений пользователей: письменно и устно.   Участие во внедрении программного комплекса у клиента (настройка ПО на месте).   Консультирование пользователей‚ их обучение.   Составление инструкций по работе с системой для пользователей и другой документации.   Проведение вебинаров, семинаров.   Разработка обучающих видеороликов.          Требования :     Высшее образование в области информационных технологий, педагогическое (информатика, математика, физика).   Продвинутый пользователь ПК.   Готовность к частым непродолжительным командировкам.   Опыт работы в сопровождении прикладного программного обеспечения, внедрении ПО (НЕ системным администратором).   Опыт работы в одной из систем Help Desk.   Умение быстро переключаться, оперативно находить решения.   Грамотная устная и письменная речь.   Обучаемость (готовность разобраться в функционале программного продукта, предметной области).          Условия :     Офис в БЦ &quot;Воронцовъ&quot;, 10 мин. пешком от ст.м. &quot;Чкаловская&quot;.   Пятидневная рабочая неделя, гибкий график: с 8.00-10.00 до 17.00-19.00.   Командировки по РФ.   Официальное оформление.   ДМС   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,133333.33333333337,1.0,45000.0,консультант,"Высшее образование в области информационных технологий, педагогическое (информатика, математика, физика). Продвинутый пользователь ПК. Готовность к частым непродолжительным командировкам. ",Обработка обращений пользователей: письменно и устно. Участие во внедрении программного комплекса у клиента (настройка ПО на месте). Консультирование пользователей‚ их...,0.03333333333333333,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
