city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,контекстная реклама,google analytics,интернет-реклама,яндекс.метрика,smm,internet marketing,яндекс.директ,google adwords,лидогенерация,seo,other
Москва,VIS.center,2019-11-16T14:51:54+0300," Приглашаем в нашу дружную команду Интернет-маркетолога. Если ты амбициозен, креативен, обладаешь аналитическими способностями не боишься делать работу руками, а главное - имеешь огромное желание развиваться в интернет-маркетинге, значит мы ждем именно тебя!     Что делать:      Разработка и реализация комплексной маркетинговой стратегии   Исследование рынка, анализ конкурентов   Медиапланирование и бюджетирование (в т.ч. оптимизация расходов)   Управление рекламными кампаниями и понимание принципов работы основных инструментов привлечения трафика: SEO, контекстная реклама, медийная реклама, социальные сети   Постановка и контроль KPI   Подготовка презентаций, аналитических отчетов и рекомендаций по развитию сайта   Разработка и внедрение стратегии email-маркетинга   Работа с базой (сегментация, реактивация, персонализация)   Разработка SMM–стратегии и контент-планов   Ведение и развитие групп в социальных сетях   Проведение А/B тестирований   Взаимодействие с отделом разработки по вопросам оптимизации сайта       Что уметь:      Опыт работы с CMS Битрикс / CRM Битрикс24   Опыт работы с системами Аналитики G.Analytics и Я.Метрика   Знание рекламных кабинетов контекстной и таргетированной рекламы   Опыт работы с ESP - как преимущество       Мы предлагаем:      Свободу действий в принятии решений   Интересные проекты    Интернет-магазины (E-commerce)   Корпоративные порталы (Intranet / CRM)   iOS / Android приложения       Стабильная зарплата, возможность карьерного и финансового роста   В офисе кофе-машина, чай, печеньки, фрукты, дартс и PS4   Работа полный день 5/2, в офисе в 5 минут от метро   Возможность гибкого графика   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,93636.36363636363,1.0,67264.70588235294,маркетолог,Опыт работы с CMS Битрикс / CRM Битрикс24. Опыт работы с системами Аналитики G.Analytics и Я.Метрика. Знание рекламных кабинетов контекстной...,"Разработка и реализация комплексной маркетинговой стратегии. Исследование рынка, анализ конкурентов. Медиапланирование и бюджетирование (в т.ч. оптимизация расходов). ",0.9,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Планета здоровья,2019-12-13T08:00:13+0300," Обязанности:     Продвижение мобильного приложения;     Маркетинговые исследования интернет-рынка, продукта, конкурентов;       Анализ спроса;       Разработка стратегии продвижения компании в интернете;        Создание модели позиционирования бренда;       Проведение мероприятий для повышения лояльности потребителей;       Медиапланирование: организация, проведение, контроль рекламных кампаний;       Анализ посещаемости веб-ресурса, эффективности рекламных материалов;        SEO-аудит, продвижение сайта в поисковых системах по ключевым запросам.       Требования:     Высшее образование;   Структурированность, аналитическое мышление, аккуратность в работе;   Продвинутый пользователь Google Analytics, Яндекс.Метрика;   Знание основ SEO.     Условия:     Работа в офисе или удаленно;   Официальное трудоустройство, полный соц.пакет;   Работа в стабильной, развивающейся компании;   Возможность обучения и карьерного роста;   Комфортный офис в центре города;   Насыщенная корпоративная жизнь.   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,93636.36363636363,3.0,67264.70588235294,маркетолог,"Высшее образование. Структурированность, аналитическое мышление, аккуратность в работе. Продвинутый пользователь Google Analytics, Яндекс.Метрика. Знание основ SEO.","Продвижение мобильного приложения. Маркетинговые исследования интернет-рынка, продукта, конкурентов. Анализ спроса. Разработка стратегии продвижения компании в интернете. Создание модели позиционирования...",0.0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,"Киприно, Производственный холдинг",2019-11-29T12:29:35+0300," Обязанности:       Разработка и реализация стратегии интернет-продвижения продуктов компании   - Администрирование и развитие сайта:   - Инициирование и реализация изменений на сайте компании (постановка задач, контроль выполнения, тестирование).   - Управление контентом сайта (разработка при взаимодействии с копирайтерами, дизайнерами)   - SEO-мониторинг, деятельность в области SEO -продвижения   - SMM:   - Разработка и реализация SMM стратегии ведения групп бренда,   - Ведение групп бренда в соц.сетях ( VK, Facebook, Instagram),   - Подготовка контента (тексты, фото, видео) и SMM-активностей, реализация идей по контенту с подрядчиками   - Мониторинг и управление репутацией бренда в социальных сетях, блогах и форумах, на тематических сайтах и порталах, сервисах отзывов   - Формирование сводных отчетов по всем площадкам: отзывы, рейтинги, статистика       Требования:     Высшее профильное образование   Опыт работы от 2-х лет     Условия:     График работы 5/2   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,93636.36363636363,1.0,120000.0,маркетолог,Высшее профильное образование. Опыт работы от 2-х лет.,Разработка и реализация стратегии интернет-продвижения продуктов компании. - Администрирование и развитие сайта: - Инициирование и реализация изменений на сайте компании (постановка...,0.4666666666666667,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,МАКСИМА,2019-11-29T13:02:23+0300," Наш заказчик – ведущая торгово-производственная компания в сфере строительных материалов приглашает в свою команду Интернет-маркетолога  Ваши задачи будут следующими:        Анализ существующей стратегии интернет продвижения по направлению SMM и контент-маркетинга.       Анализ интернет-продвижения конкурентов.       Разработка и реализация стратегии интернет продвижения по вверенным ресурсам.       Ведение групп в соц. сетях, привлечение целевой аудитории, анализ эффективности.       Управление и продвижение канала YouTube.       Управление таргетированной рекламой в социальных сетях, разработка рекламных кампаний.       Работа с комментариями, отзывами, негативом.       Емейл-маркетинг.       Ведение документации по подрядчикам, составление договоров, контроль и проведение оплат.       Подготовка отчетов и презентаций по выполненной работе.            От Вас потребуется:        Опыт ведения интернет-проектов (SMM, емейл-маркетинг, community management, таргетированная реклама) от одного года.       Знание основ веб-аналитики и понимание показателей эффективности социальных сетей.        Компания предлагает:      Официальная заработная плата + годовая премия (обсуждается индивидуально на собеседовании).   Оформление по ТК РФ, полный социальный пакет.   ДМС, компенсация обедов, мобильной связи.   График работы 5/2 (возможность работать 2 дня удаленно/3 дня в офисе)   Место работы: м. Проспект Мира.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,93636.36363636363,1.0,67264.70588235294,маркетолог,"Опыт ведения интернет-проектов (SMM, емейл-маркетинг, community management, таргетированная реклама) от одного года. Знание основ веб-аналитики и понимание...",Анализ существующей стратегии интернет продвижения по направлению SMM и контент-маркетинга. Анализ интернет-продвижения конкурентов. Разработка и реализация стратегии интернет...,0.4666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Ростелеком-Солар,2019-11-27T17:32:05+0300,"  Кто мы такие?     Ростелеком-Солар , компания группы ПАО «Ростелеком», — национальный провайдер сервисов и технологий для защиты информационных активов, целевого мониторинга и управления информационной безопасностью. Мы активно растем и расширяем команду – сейчас в наших офисах в Москве и регионах работает уже больше 500 человек, и мы не собираемся останавливаться на достигнутом.    Кого мы ищем?    В нашу команду интернет-маркетинга мы ищем digital-маркетолога на задачи лидогенерации.    Чем вы будете заниматься?      Разработка, планирование, бюджетирование, запуск и отслеживание эффективности рекламы в интернете с целью выполнения плана по лидогенерации;   Продвижение продуктов и сервисов через контекст и SEO, как самостоятельно, так и с помощью подрядчиков;   Работа с системами учета и аналитики лидогенерации, мониторинг показателей;   Предложения по оптимизации / поиск путей снижения стоимости лидов, формирование ценовой политики;   Проведение A/B тестирования, сегментирование, анализ конкурентов;   Подготовка и внедрение рекомендаций по улучшению рекламных кампаний и аналитики;   Контроль бизнес показателей и воронки продаж;   Аналитика эффективности, подготовка отчетов.      Что нам важно?      Опыт работы в B2B от 2-х лет;   Достижения в области лидогенерации на предыдущих местах работы, опыт эффективной лидогенерации;   Умение создавать конверсионные посадочные страницы;   Умение анализировать рынок;   Умение организовывать и вести рекламные кампании в Интернете в B2B направлении;   Знание современных методов SEO продвижения;   Умение контролировать работу по контекстной рекламе;   Знание веб-технологий;   Высшее образование.      Дополнительно:      Приветствуется опыт работы в рекламных агентствах или компаниях с SEO продвижением;   Базовые знания JavaScript.      Что мы предлагаем?      Конкурентная зарплата+бонусы по результатам;   Отличная команда профессиональных коллег;   Реальные возможности для развития и реализации профессиональных идей и амбиций;   Современный офис с видом на Кремль в 2 минутах от метро Охотный ряд;   Социальный пакет: ДМС, оплата обучения, скидки на фитнес и другие партнерские программы, бесплатный доступ к корпоративным библиотекам с сотнями книг;   Хороший кофе, вкусности на кухне, много драйва и интересной жизни и мероприятий внутри компании.      Если у вас остались вопросы или нет готового резюме, но вакансия интересна — свяжитесь со мной, мои контакты ниже!  ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,93636.36363636363,1.0,67264.70588235294,маркетолог,"Опыт работы в B2B от 2-х лет. Достижения в области лидогенерации на предыдущих местах работы, опыт эффективной...","Разработка, планирование, бюджетирование, запуск и отслеживание эффективности рекламы в интернете с целью выполнения плана по лидогенерации. Продвижение продуктов и сервисов...",0.5333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,ФОРСАЙТ ЛАБ,2019-11-26T15:48:08+0300," Мы - творческая и молодая команда, выпускаем классные технологичные FMCG продукты, работаем с глобальными спортивными брендами и крупным ритейлом. Ищем в команду интернет-маркетолога.    Ты - креативный и проактивный специалист, готовый расти и развиваться, обладаешь аналитическим складом ума. У тебя активная жизненная позиция, широкий кругозор, наличие ярких увлечений (спорт, музыка, иные яркие хобби).    Что нужно будет делать:     Разрабатывать и реализовывать диджитал-стратегии брендов компании   Поддерживать и оптимизировать функционирование 2х сайтов   Работать с каналами привлечения и их настройкой (SEO, контекстная реклама, медийно-баннерная реклама, SERM, объявления на тематических площадках, RTB и т.п.)   Диджитал инструментами поддерживать и обеспечивать спрос на продукцию в онлайн и оффлайн каналах   Работать с подрядчиками и маркетинговой командой   Планировать, вести проекты и готовить отчеты по результатам     Наш человек:     Более 3х лет работал в области интернет-маркетинга   Имеет опыт работы с online-каналами привлечения и их самостоятельной настройки (SEO, контекстная реклама, медийно-баннерная реклама, SERM, объявления на тематических площадках, RTB и т.п.)   Любит и умеет формировать и тестировать гипотезы   Принимает решения на основе данных и аналитики   Имеет завершенные и успешные проектов. Был это фриланс, или работа в компании, нам совершенно неважно;     Условия:     Работа в команде творческих и молодых;   Работа с глобальными спортивными и FMCG брендами, высокий уровень свободы и ответственности;   Трудоустройство по ТК РФ;   Полный день (с 10 до 19) или частично-удаленная работа;   Профессиональный и карьерный рост;   Офис возле м. Киевская.     В отклике расскажите пару слов о себе и пришлите свои успешные кейсы. Отклики без кейсов рассматривать не будем!     ",Полная занятость,Гибкий график,От 3 до 6 лет,|Контекстная реклама|Internet Marketing|Интернет-реклама|Adobe Photoshop|SEO,6.0,93636.36363636363,3.0,80000.0,маркетолог,Более 3х лет работал в области интернет-маркетинга. Имеет опыт работы с online-каналами привлечения и их самостоятельной настройки...,Разрабатывать и реализовывать диджитал-стратегии брендов компании. Поддерживать и оптимизировать функционирование 2х сайтов. Работать с каналами привлечения и их...,0.5666666666666667,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1
Москва,ЛучикС-Фарм,2019-12-12T12:43:10+0300,"  Должностные обязанности:       Развитие и продвижение торговых марок компании в сети интернет;   Доработка и ведение сайта компании: наполнение контентом, SEO-продвижение, оптимизация и администрирование;   Создание высококонверсионных лэндинговых страниц по продукции и проведение рекламных компаний (контекст, РСЯ и т.д.);   Взаимодействие с интернет-магазинами партнеров на предмет корректности контента и возможных инструментов продвижения (баннеры, статьи, товары аналоги и т.п.);   SMM продвижение: блоггеры, аккаунты компании в соц.сетях, реклама, акции и конкурсы с соц.сетях;   Поиск, взаимодействие и координация работ с подрядчиками;   Формирование отчетности по эффективности используемых инструментов.          Требования:          Профильный опыт работы от 3-х лет   Владение инструментами интернет-маркетинга и веб-аналитики   Практические навыки лидогенерации, понимание HTML/PHP   Грамотная устная и письменная речь   Исполнительность, ориентация на результат   Наличие успешно реализованных проектов будет большим преимуществом      Условия:      График работы 5/2 с 9-00 до 18-00   Стабильная выплата заработной платы два раза в месяц   Оформление в соответствии с ТК РФ   Дружный коллектив   Интересные профессиональные задачи       ",Полная занятость,Полный день,От 1 года до 3 лет,|SMM|Контекстная реклама|Копирайтинг|SEO оптимизация|Ведение групп в социальных сетях,3.0,93636.36363636363,1.0,50000.0,маркетолог,"Профильный опыт работы от 3-х лет. Владение инструментами интернет-маркетинга и веб-аналитики. Практические навыки лидогенерации, понимание HTML/PHP. ","Развитие и продвижение торговых марок компании в сети интернет. Доработка и ведение сайта компании: наполнение контентом, SEO-продвижение, оптимизация и...",0.03333333333333333,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
Москва,B2B.CASH LIMITED,2019-12-02T15:40:07+0300,"   Если ты креативный, талантливый, амбициозный, инициативный, подходишь по параметрам описанным ниже. Добро пожаловать в нашу команду!      Должностные обязанности:      Продвижение проекта по всему миру   Разработка маркетинговой стратегии   Создание сайтов от сайтов-визиток до интернет-магазинов. ретартегинг и рекламные сети Таргетированная реклама в социальных сетях Партнерские сети Реклама через блогеров Продвижение в социальных сетях: VK Instagram Facebook SEO SER          Требования      Ключевые навыки работы: SMM, контент, email рассылка   Медийная, таргетированная реклама      Условия:      Заработная плата по результатам собеседования   Удаленная работа   ",Полная занятость,Удаленная работа,От 3 до 6 лет,|Ведение групп в социальных сетях,6.0,93636.36363636363,3.0,67264.70588235294,маркетолог,"Ключевые навыки работы: SMM, контент, email рассылка. Медийная, таргетированная реклама.",Продвижение проекта по всему миру. Разработка маркетинговой стратегии. Создание сайтов от сайтов-визиток до интернет-магазинов. Ретартегинг и рекламные сети. ,0.36666666666666664,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Москва,"Русские базовые информационные технологии, Научно-производственное объединение",2019-12-09T10:58:00+0300,"  В Astra Linux, одну из компаний холдинга Русбитех, требуется    менеджер по маркетингу.    Компания Astra Linux — лидер российского рынка информационных технологий в области разработки программного обеспечения, в том числе операционных систем семейства Astra Linux и платформ виртуализации. Мы на рынке с 2008 года и уверенно опережаем конкурентов в части успешных внедрений на рынке B2B и B2G.   В нашем активе сегодня:   - заслуженная репутация лидера импортозамещения в сфере IT   - более 50 успешных кейсов замещения западного ПО нашими продуктами   - первое место на рынке российских операционных систем   - более 1 млн проданных лицензий   - пул заказчиков, среди которых ведущие российские корпорации, а также министерства и ведомства РФ   - более 200 человек, включая разработчиков, специалистов техподдержки и сотрудников коммерческого блока   - членство и совместная работа в международной некоммерческой организации The LinuxFoundation и Document Foundation   - собственные запатентованные технологии защиты информации, не имеющие мировых аналогов   Наша цель – к 2025 году стать национальным производителем программных продуктов №1, и мы уже перестраиваем российский IT-рынок, вытесняя западных вендоров и создавая собственную инфраструктуру информационных систем. Мы прирастаем не менее чем на 100% в год и не собираемся останавливаться на достигнутом. Наши продукты востребованы на международной арене: страны СНГ, Индия, ряд европейских государств и стран Азии уже проводят пилотные тестирования решений Astra Linux. Мы амбициозны, мы постоянно поднимаем планку для себя и для всего рынка, завышаем планы и перевыполняем их! Если ваша жизненная позиция совпадает с нашей – добро пожаловать в команду Astra Linux!    Обязанности:      Организация рассылок по парнерскому каналу   Участие в организации мероприятий ( выставки, конференции, деловые ужины,бизнес-завтраки)   Подготовка маркетинговых материалов для внутренних нужд компании и для партнеров компании, разработка макетов совместно с дизайнерами;   Взаимодействие с подрядчиками, контроль поставок posm,   взаимодействие с транспортными компаниями, контроль отправки маркетинговых материалов на мероприятия   Составление отчетов проведенных мероприятий   Взаимодействие с партнёрами, проведение совместных мероприятий;    Требования:    Опыт работы от года в маркетинге в IT, телекоммуникациях, интернет-проектах   Уверенность в себе, проактивность, бодрость, мотивация всегда сделать чуточку больше и чуточку лучше   Высокий уровень коммуникационных навыков   Опыт разработки и выпуска рекламных материалов   Опыт создания презентаций   Опыт работы с подрядчиками: постановка задач, контроль исполнения   Опыт проведения мероприятий различного уровня   Опыт написания статей ( желательно)     Условия:     График работы 5/2, время работы с 10:00 до 19:00   офис расположен в 3 минутах ходьбы от ст.м. Нагатинская   Оформление по ТК РФ,оплачиваемые больничный и отпуск   Конкурентная заработная плата   Интересные задачи и возможности роста   Бесплатная парковка рядом с метро   Дружный коллектив   ",Полная занятость,Полный день,От 1 года до 3 лет,|Участие в профессиональных выставках|Планирование маркетинговых кампаний|Маркетинговые коммуникации,3.0,93636.36363636363,1.0,67264.70588235294,маркетолог,"Опыт работы от года в маркетинге в IT, телекоммуникациях, интернет-проектах. Уверенность в себе, проактивность, бодрость, мотивация всегда сделать чуточку...",членство и совместная работа в международной некоммерческой организации The LinuxFoundation и Document Foundation. Организация рассылок по парнерскому каналу. ,0.13333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Lightman Solutions,2019-11-27T08:45:59+0300,"  В компанию (федеральный интернет проект/доска объявлений) требуется Email-маркетолог     Обязанности:      Написание и форматирование текстов для e-mail рассылок, работа над увеличением конверсии рассылок;   Формирование стратегии рассылок на проекте с “0”   Генерация контента (текст+графическое сопровождение);   Создание новых сегментированных триггерных цепочек (планирование, настройка, отправка);   Оценка эффективности маркетинговых кампаний;   Работа над улучшением KPI канала: тестирование условий, времени, контента, проверка гипотезы, аналитика результатов и формирование выводов;   Постановка задачи в IT, дизайнеру, копирайтеру и другим коллегам.          Требования:      Опыт работы в email-маркетинге, понимание того, какие задачи и как именно решает этот канал, какие у него есть ограничения и возможности;   Навыки работы с email-сервисами, понимание логики их работы (Mailchimp, ExpertSender, Mindbox) – или другие   Знание основ HTML и CSS, а также особенностей верстки рассылок;   Базовые знания графических редакторов;          Мы предлагаем:      Работу на сдельной основе/частичная занятость;   Достойный уровень дохода – за конкретно сделанную работу по предварительному согласованию   Адекватных руководителей при постановке задач   Быстрое принятие решений по обсуждаемым ТЗ   ",Частичная занятость,Полный день,От 3 до 6 лет,|E-Mail Marketing|Google Analytics|Яндекс.Метрика,6.0,93636.36363636363,3.0,67264.70588235294,маркетолог,"Опыт работы в email-маркетинге, понимание того, какие задачи и как именно решает этот канал, какие у него есть ограничения...","Написание и форматирование текстов для e-mail рассылок, работа над увеличением конверсии рассылок. Формирование стратегии рассылок на проекте с “0”. ",0.5333333333333333,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
