city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,ведение переговоров,b2b продажи,управление проектами,работа в команде,активные продажи,грамотная речь,телефонные переговоры,развитие продаж,навыки продаж,поиск и привлечение клиентов,other
Москва,КВ Солюшнс Групп,2019-11-26T13:21:07+0300," Cashwagon – динамично развивающаяся финтех компания, занимающаяся разработкой и поддержанием собственной цифровой платформы. С помощью сайта и мобильного приложения платформа Cashwagon обеспечивает онлайн доступ к различным финансовым продуктам для 80% жителей Индонезии, Шри-Ланки, Филиппин, Вьетнама, Малайзии, практически исключенным из сложившейся финансовой системы стран. Благодаря использованию своих инновационных разработок компания позволяет сделать финансовые продукты компаний-партнеров - кредиты, инвестиции и в скором будущем кредитные карты - доступными широком кругу потребителей.Компания Cashwagon была основана весной 2017 года. Уже сегодня число клиентов насчитывает 1 млн человек, а мобильное приложение скачали более 3 млн чел во всем мире, со средним рейтингом 4,5 звезды. Главный офис компании находится в Сингапуре. В компании работает около 900 человек в 9 странах, около ста из них - в московском офисе. В 2019 году компания была признана лучшей в категории Digital for Financial Services международной премией Singapore Business Review Technology Awards.    Обязанности:      Сбор и структурирование всех типов жалоб, поступающих в настоящий момент, а также существующих процессов по их обработке   Сбор и поддержание в актуальном виде единой базы знаний   Оптимизация существующих процессов   Проведение расследований по причинам возникновения жалоб, историям обращений клиентов и предпринятых ответных действий   Проверка продуктовых и процессных изменений на предмет потенциальной угрозы для возникновения жалоб   Проведения проверки качества и соблюдения корпоративных стандартов     Требования:     Релевантный опыт по управлению и работе с клиентскими жалобами   Опыт проведения исследовательских проектов   Опыт работы с тикет системами (напр. Jira)   Навыки управления персоналом   Системность мышления, умение отстаивать свою точку зрения, креативность, отличные коммуникационные навыки и внимание к деталям   Продвинутый уровень владения английского языка: не ниже upper intermediate   Желание воплотить в жизнь грандиозные проекты     Условия:     Супер молодая, талантливая и профессиональная команда!   Оформление по ТК РФ - полностью белая з/п; ДМС, фитнес клуб по корпоративному тарифу, корпоративное такси, английский язык.   Команда распределенная - HQ в Сингапуре, IT и Маркетинг в Москве, бизнес в 6 странах Юго-Восточной Азии   Комфортные условия для работы – уютный офис в Москва-Сити с видом на центр Москвы, чай/кофе/фрукты, PS4     Если вы любите создавать и развивать классные продукты, быстро разбираетесь в новом, вам нравится делать полезные вещи для людей и к тому же вы хороший человек — то у нас вам гарантировано профессиональное развитие и бесконечный драйв. ",Полная занятость,Полный день,От 1 года до 3 лет,|Английский язык|Atlassian Jira|Креативность|Работа в команде|Разработка нового продукта,3.0,108205.1724137931,1.0,79913.68421052633,менеджер проектов,Релевантный опыт по управлению и работе с клиентскими жалобами. Опыт проведения исследовательских проектов. Опыт работы с тикет системами (напр. Jira). ,"Сбор и структурирование всех типов жалоб, поступающих в настоящий момент, а также существующих процессов по их обработке. Сбор и поддержание...",0.5666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Москва,Проектные сервисы,2019-11-26T15:02:11+0300,"  Возможности      Получить качественный опыт продаж   Работать с очень интересным продуктом - мощными сертифицированными тренингами по проектному управлению, agile, design thinking, kanban, product management   Компания быстро растёт. Это значит, можно быстро вырасти и построить карьеру   Работа напрямую с руководством компании - это возможность перенимать опыт профессионалов международного уровня в области проектного управления   Можно освоить agile, kanban и другие методики современного менеджмента   Возможность иметь стабильный растущий доход и влиять на него   У нас действительно крутая команда, в которой приятно и интересно работать!      Цель    Существенно увеличить объем продаж открытых и корпоративных тренингов    Что делать        Продавать открытые (для физических лиц) и корпоративные тренинги (для крупных юридических лиц) по проектному управлению, agile, kanban, дизайн-мышлению, product management и другие       Общаться по телефону и почте с потенциальными слушателями открытых тренингов (входящие заявки)       Выстраивать отношения с корпоративными клиентами       Участвовать в организации и сопровождении тренингов, выполнять технические поручения       Документооборот: оформлять договоры, выставлять счета       Вести клиентскую базу в AmoCRM       Взаимодействовать с отделом маркетинга по организации митапов и др. мероприятий       Вести аналитику продаж        Условия        Опыт продаж в сфере обучения персонала приветствуется       Есть прозрачная бонусная система     ",Полная занятость,Полный день,От 1 года до 3 лет,|B2B Продажи|B2C продажи|Корпоративные продажи|Консультативные продажи|Опыт продаж|Ориентация на клиента|Управление отношениями с клиентами|Ведение переписки|Сопровождение клиентов|Работа с возражениями|Ведение клиентской базы|Навыки переговоров|работа с текущей базой клиентов|Телефонные переговоры|Навыки продаж|Заключение договоров|CRM|Планирование продаж|Прямые продажи|Поиск и привлечение клиентов|Активные продажи|Ведение переговоров|Развитие продаж,3.0,140000.0,1.0,60000.0,менеджер по продажам услуг,Получить качественный опыт продаж. Опыт продаж в сфере обучения персонала приветствуется.,"Продавать открытые (для физических лиц) и корпоративные тренинги (для крупных юридических лиц) по проектному управлению, agile, kanban, дизайн-мышлению, product...",0.5666666666666667,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1
Москва,ESET,2019-11-28T19:04:04+0300," Компания ESET — международный разработчик антивирусного программного обеспечения, эксперт в области защиты от киберпреступности и компьютерных угроз — была основана в 1992 году. Штаб-квартира ESET находится в Словакии.  Российское представительство ESET открылось в январе 2005 года и входит в тройку стратегически важных представительств компании ESET в мире. На отечественном рынке антивирусного ПО компания ESET является одним из признанных лидеров.   Компания ESET (Российское представительство антивируса NOD32) приглашает на работу Менеджера по обучению розничных сетей     Должностные обязанности:      Определение стратегии развития форматов и способов обучения   Нахождение наиболее оптимальных и эффективных способы обучения   Разработка и подготовка учебных материалов   Осуществление обучения продавцов розничных партнеров с помощью тренингов, семинаров, онлайн обучения и дистанционных учебных курсов   Организация и проведение мероприятий, направленных на развитие системы обучения, повышение числа обученных и качества самого обучения   Формирование учебных планов и расписания   Осуществление аналитики по своему участку работ      Требования:      Высшее/среднее специальное образование   Опыт работы тренером от 3 лет   Опыт подготовки презентаций и публичных выступлений   Готовность к командировкам   Развитые навыки коммуникации, проактивность, гибкость в общении, высокая работоспособность, нацеленность на результат, аналитический склад ума      Условия:      Офис ст. м. Автозаводская   Конкурентная заработная плата + система поощрения   Мед. страховка, повышение квалификации   Оформление по трудовому кодексу РФ   Работа в дружном коллективе   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,108205.1724137931,3.0,79913.68421052633,тренинг менеджер менеджер по обучению розничных сетей,Высшее/среднее специальное образование. Опыт работы тренером от 3 лет. Опыт подготовки презентаций и публичных выступлений. Готовность к командировкам. ,Определение стратегии развития форматов и способов обучения. Нахождение наиболее оптимальных и эффективных способы обучения. Разработка и подготовка учебных материалов. ,0.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,1С,2019-11-26T22:44:27+0300,"  Обязанности:      прием обращений партнеров по почте и телефону   консультации партнеров по вопросам сотрудничества с 1С в направлении ERP-решений   ведение учета партнеров в базе данных   контроль исполнения партнерами обязательств по сотрудничеству с 1С   согласование отгрузок ERP-решений партнерам   участие в мероприятиях для партнеров   помощь руководителю отдела в работе с партнерами      Требования:        высшее образование     знание ПК на уровне пользователя;   навыки проведения переговоров при личной встрече, по телефону и электронной почте;   грамотная речь, целеустремленность, исполнительность, обучаемость;   умение грамотно, корректно и кратко излагать свои мысли в письменной и устной форме;   навыки работы в команде      Желательно:      опыт работы с программным обеспечением &quot;1С&quot;   опыт работы у партнеров &quot;1С&quot;      Условия:      Заработная плата по результатам собеседования.   Офис в 5 минутах от метро Тимирязевская.   Достойный Социальный пакет.   Режим работы: полный рабочий день.   Оформление по ТК РФ;   ",Полная занятость,Полный день,Нет опыта,,,108205.1724137931,,79913.68421052633,менеджер по работе с партнерами в отдел продвижения erp решений,"Высшее образование. Знание ПК на уровне пользователя. Навыки проведения переговоров при личной встрече, по телефону и электронной почте. ",Прием обращений партнеров по почте и телефону. Консультации партнеров по вопросам сотрудничества с 1С в направлении ERP-решений. ,0.5666666666666667,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Компэл,2019-11-26T08:53:13+0300," Компания, работающая на В2В рынке, являющаяся лидером своего сегмента рынка, приглашает на работу менеджера проекта автоматизации продаж на ранней стадии его реализации.    Обязанности:    1. Сбор и формализация требований руководителей компании и бизнеса к системе, ее частям, алгоритмам и т.д. 2. Планирование и организация работ по созданию и развитию системы . Формирование, визуализация и поддержание в актуальном состоянии общей структуры системы 3. Управление системой – настройки, доступы, контент и т.д. 4. Организация сбора аналитики, анализ статистических и аналитических данных Сбор обратной связи от клиентов и сотрудников направления, анализ звонков КЦ по функционалу системы и реализация изменений в интерфейсе системы. 5. Подготовка и предоставление необходимой отчетности по проекту   Требования:     Образование: Высшее   Знание ин. языков: английский приветствуется, но не обязательно   Опыт работы: участие в построении web интерфейсов, опыт координации их реализации   Профессиональные компетенции: понимание современных технологий в построении Web систем, хорошие навыки управления сложными проектами и опыт внедрения этих проектов, умение работать с большими объемами данных и аналитикой   Личные качества: коммуникативные способности, системное мышление, умение налаживать и поддерживать конструктивные отношения, публичность      Условия:      График работы с 8.30 до 17.30 ч. (возможна корректировка).   Стартовая з/п - 200000-300000 руб. (по результатам собеседования).   Социальный пакет: добровольное медицинское страхование; профессиональное обучение.   Перспективы роста. Дружный коллектив.   Офис: ст. МЦК «Новохохловская».​​​​​​​​​​​​​​   ",Полная занятость,Полный день,Более 6 лет,|B2B Продажи|Бизнес-анализ|Системный анализ|Информационные технологии,,300000.0,6.0,200000.0,менеджер интернет проекта на в2в рынке,"Образование: Высшее. Знание ин. языков: английский приветствуется, но не обязательно. Опыт работы: участие в построении web интерфейсов, опыт координации их...","1. Сбор и формализация требований руководителей компании и бизнеса к системе, ее частям, алгоритмам и т.д. 2. ",0.5666666666666667,3,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Москва,АО НПФ ВТБ Пенсионный фонд,2019-12-11T09:48:23+0300," Обязанности:     управление проектами по разработке и внедрению информационных систем;   анализ требований внутреннего заказчика к реализуемому функционалу;   формирование документации проектов;   подготовка и обоснование сроков и стоимости проектов;   взаимодействие с внутренней командой разработки;   управление внешними подрядчиками;   контроль и координация работ, формирование регулярной отчётности по проектам.     Требования:       высшее образование;       знание стандартов управление проектами;       опыт управления проектами не менее 2-х лет в IT сфере;       опыт написания технической документации;       опыт работы с проектами на платформе 1С Битрикс (желательно).       Условия:     график работы: пн-птн 9-18;   месторасположение офиса: метро Пролетарская/Крестьянская застава;   уровень заработной платы обсуждается с успешным кандидатом;   оформление в соответствии с Трудовым кодексом РФ;   программа ДМС, льготные условия кредитования.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,108205.1724137931,1.0,79913.68421052633,менеджер it проектов,Высшее образование. Знание стандартов управление проектами. Опыт управления проектами не менее 2-х лет в IT сфере. Опыт написания технической...,Управление проектами по разработке и внедрению информационных систем. Анализ требований внутреннего заказчика к реализуемому функционалу. Формирование документации проектов. ,0.06666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Текстильная Студия,2019-11-27T09:01:06+0300," Обязанности:       Стратегическое и тактическое управление продажами на онлайн-площадках;       Постановка и оптимизация всех бизнес-процессов данного направления;       Документооборот: оформление отгрузок, координация логистики, акты, сверки и т.п.;       Продукт: создание и ведение товарной матрицы, создание системы учета, регулярная проверка соответствия показателей товара, работа с 1С;       Работа по созданию новых позиций: помощь руководителю в разработке, работа с фабриками-поставщиками, контроль остатков продукции и материалов на складах, дополнение товарной сетки, сертификации, этикеток; Помощь в разработке наборов изделий, концепций упаковок и POS-материалов;       Разработка и достижение плановых показателей по объему продаж и развитию;       Cейчас выгружаем товары на Ozon и Wildberries, далее выходим на новые электронные площадки, в т.ч. зарубежные; Также добавится контроль продаж через соц. сети, интернет-магазин, партнеров по корпоративным подаркам;       Контроль работы подрядчиков и контрагентов;       Контроль дебиторской задолженности, контроль отгрузок возвратов от контрагентов;       Разработка предложений по корректировке ассортимента, изменению цен, скидок, проведению промо-акций;       Выполнение поручений руководителя, заполнение КП, оформление договоров, счетов;       Часто придется быть на связи 24/7 (предоставляется корпоративная сим-карта).       Требования:     Обязателен опыт работы с торговыми площадками Ozon и Wildberries  от 1 года ;   Хороший уровень владения компьютером и программами 1С, Word, Excel;   Обязателен опыт работы с площадками документооборота (предпочтительно Synerdocs), платформой Битрикс24;   Ориентация на результат, трудолюбие, часто выкладываться придется на 150%;   Умение ясно выражать свои мысли‚ грамотная устная и письменная речь, опрятный внешний вид, дисциплинированность;   Желание расти и развиваться профессионально вместе с компанией, потому что в будущем радиус Вашей ответственности будет только увеличиваться;   Также Вашим преимуществом будет:    Опыт создания контента для соц. сетей, знание маркетинговых инструментов и программ. Умение работать с программой Photoshop;   Знание SMM   Опыт создания сайтов или лендингов, презентаций;      В зависимости от Вашего темпа работы, вовлеченности и исполнительности, есть возможность роста до руководителя направления за полгода.      Зарплата и длительность испытательного срока по результатам собеседования.              ",Полная занятость,Полный день,От 1 года до 3 лет,|Adobe Photoshop|1С: Торговля и склад|1С: Торговля|1С: Предприятие 8|Документооборот|Google Docs|Ведение групп в социальных сетях|Ориентация на результат,3.0,108205.1724137931,1.0,79913.68421052633,менеджер интернет проектов,Обязателен опыт работы с торговыми площадками Ozon и Wildberries от 1 года. Хороший уровень владения компьютером и программами 1С...,"Стратегическое и тактическое управление продажами на онлайн-площадках. Постановка и оптимизация всех бизнес-процессов данного направления. Документооборот: оформление отгрузок, координация...",0.5333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,ГК Д.А. Консалт,2019-11-18T10:30:23+0300,"  Школа Креативного Маркетинга Павла Гительмана –  это онлайн школа, которая помогает предпринимателям по всему миру повысить свои компетенции в маркетинге. Ежемесячно более 1000 предпринимателей проходят обучающие онлайн вебинары.    Обязанности:      Продажи онлайн курсов по теплым и горячим клиентам,   Работа с аудиторией предпринимателей ( малый и средний бизнес),   Выполнение и перевыполнение ежемесячных планов продаж,   Работа с CRM, мессенджерами и IP-телефонией.     Требования:     Опыт продаж онлайн или оффлайн образования/тренингов от 2 лет,   Опыт работы с аудиторией предпринимателей ( малый и средний бизнес )     Желательны знания СПИН продаж,       Навык активного слушания, понимание &quot;болей&quot; предпринимателей,       Опыт работы с любой из CRM систем.       Условия:     З/п в совокупности до 70.000-120 000 руб. (фикс оклад + премии и процент с продаж), потолка по з.п. нет.   Удаленная работа, нет привязки к офису;   График работы 5/2   Обучение продукту;   Возможность карьерного роста до РОП   ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Активные продажи|Обучение и развитие|CRM|Навыки продаж,3.0,120000.0,1.0,70000.0,менеджер по продажам,Опыт продаж онлайн или оффлайн образования/тренингов от 2 лет. Опыт работы с аудиторией предпринимателей ( малый и средний бизнес ). ,Продажи онлайн курсов по теплым и горячим клиентам. Работа с аудиторией предпринимателей ( малый и средний бизнес). Выполнение и перевыполнение ежемесячных...,0.8333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
Москва,ANCOR Consumer Goods,2019-11-29T12:43:38+0300," Project manager Интернет магазина (Cтартап)    Обязанности:      Составление плана проекта, постановка сроков, анализ рисков;   Участие в подборе и утверждении проектной команды;   Разбивка продукта на компоненты и раздача их исполнителям;   Управление проектной командой (мы пока не поняли, насколько команда будет большая, это, наверное, уже зависит от тебя);   Общение с бизнес-заказчиком и управление его ожиданиями;   Предоставление бизнес-заказчику отчетности о ходе выполнения проекта и презентация готовых результатов.     Требования:     Качественные знания технологии и теории проектного менеджмента;   Знание CSS, HTML, PHP, SQL, Java, C#, HTTP, XML, принципов ООП;   Знание принципов клиент-серверной модели взаимодействия приложений;   Принципы построения интерфейсов пользователей;   Понимание архитектуры сложных систем.      Условия:      Расширенный пакет ДМС;   Бесплатный паркинг, также офис располагается в шаговой доступности от метро;   Возможности обучения и развития в крупной международной компании;   Различные программы лояльности для сотрудников компании.   ",Полная занятость,Полный день,От 1 года до 3 лет,|XML|SQL|Управление рисками|Бизнес-анализ|Проектный менеджмент|HTTP|MS Project|HTML|CSS|Magento|C#|PHP|Работа в команде,3.0,108205.1724137931,1.0,79913.68421052633,менеджер,"Качественные знания технологии и теории проектного менеджмента. Знание CSS, HTML, PHP, SQL, Java, C#, HTTP, XML, принципов ООП. ","Составление плана проекта, постановка сроков, анализ рисков. Участие в подборе и утверждении проектной команды. Разбивка продукта на компоненты и раздача...",0.4666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Москва,ANCOR FinTech,2019-12-02T16:57:13+0300,"   В одной из крупнейших телекоммуникационных компаний России открыта вакансия Территориального менеджера      Обязанности:      Функциональное управление розничной сетью салонов;   Развитие и контроль работы монобрендовых салонов на закрепленной территории;   Обучение и мотивация персонала;   Открытие новых магазинов;   Выполнение целей по качеству обслуживания клиентов на закрепленной территории;   Аудит торговый точек на предмет соответствия брендбуку;   Ведение переговоров с дилерами по внедрению необходимых изменений, исправлению недостатков в текущей работе объектов розничной сети ;   Отчетность.          Требования:        Опыт работы территориальным менеджером в ритейле;     Опыт управления командой ;   Отличные коммуникативные навыки;   Опыт ведения переговоров;   Самостоятельность в принятии решений.          Условия:      Оформление по ТК РФ в штат компании;   Заработная плата: оклад + бонусы;   Оплата ГСМ;   Уникальная система обучения для каждого сотрудника на основе индивидуальных планов развития;   Возможности профессионального и карьерного роста;   Расширенная медицинская страховка в России и за пределами страны;   Компенсация затрат на мобильную связь;   Мероприятия для сотрудников.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,108205.1724137931,1.0,80000.0,территориальный менеджер,Опыт работы территориальным менеджером в ритейле. Опыт управления командой . Отличные коммуникативные навыки. Опыт ведения переговоров. Самостоятельность в принятии решений.,Функциональное управление розничной сетью салонов. Развитие и контроль работы монобрендовых салонов на закрепленной территории. Обучение и мотивация персонала. ,0.36666666666666664,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
