city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,грамотная речь,техническая поддержка,windows 7,работа в команде,пользователь пк,грамотность,работа с большим объемом информации,настройка пк,helpdesk,настройка по,other
Москва,FESCO (ПАО «Дальневосточное морское пароходство»),2019-12-05T05:31:53+0300," В связи с планируемым расширением штата, планируется введение новой должности в штатном расписании: &quot;Ведущий специалист в управление эксплуатации и развития инфраструктуры&quot;.    Задачи и обязанности:      Сбор и классификация обращений пользователей;   Первичная диагностика и устранение неисправностей;   Назначение заданий специалистам 2-го уровня поддержки;   Контроль сроков реакции и исполнения обращений;   Работа по заявкам пользователей, в т.ч. организация рабочего места для новых сотрудников.      Требования к кандидатам:      Высшее профессиональное (профильное) образование – желательно;   Знание линейки операционных систем Windows 95/98/2000/XP/2003/Vista/7/8;   Навыки работы с системой управления службой ServiceDesk «Инфраманеджер»;   Знание и навыки настройки блочного ремонта, модернизации пользовательских рабочих мест;   Навыки настройки специализированного ПО на рабочих местах пользователей;   Ответственность, исполнительность, сообразительность.      Условия работы:      Своевременная выплата заработной платы 2 раза в месяц (аванс, заработная плата);   ДМС после испытательного срока, больничные, отпуска, квартальные премии по результатам работы.   Позиция не руководящая и предполагает работу в стабильном ИТ-коллективе на протяжении нескольких лет.   График работы: 40-часовая неделя 9:00 -18:00 либо 8:00 - 17:00 (в пятницу - сокращённый на 1 час рабочий день), дежурства 1 раз в 4 дня (11:00 - 20:00).   ",Полная занятость,Полный день,От 1 года до 3 лет,|Windows 7|Пользователь ПК|Windows Xp|Windows Vista|Mac Os,3.0,78300.0,1.0,52500.0,ведущий специалист технической поддержки пользователей,Высшее профессиональное (профильное) образование – желательно. Знание линейки операционных систем Windows 95/98/2000/XP/2003/Vista/7/8. ,Сбор и классификация обращений пользователей. Первичная диагностика и устранение неисправностей. Назначение заданий специалистам 2-го уровня поддержки. Контроль сроков реакции...,0.26666666666666666,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Москва,АДАМАС,2019-12-05T15:21:45+0300,"  Обязанности:          Прием и регистрация обращений поступающих от пользователей (HELP Desk, телефон);     Техническая поддержка пользователей в офисе;       Организация новых рабочих мест (установка, настройка ПК, ПО, телефона, заведение пользователей в БД AD);       Поддержка телефонии (офисной и IP);       Поддержание резерва ПК и комплектующих в актуальном состоянии;         Требования:          Знание устройства ПК и серверов;   Знания Microsoft Windows 7/8/10 на уровне администратора;   Знание сетевых технологий (локальные сети ТСР/IР, сетевые протоколы и технологии);     Знание принципов удаленного управления и администрирования рабочих станций;       Знание пакетов офисного прикладного ПО на уровне уверенного пользователя;     Работа Active Directory, DNS, DHCP;     Умение подключать и настраивать орг. технику;     Хорошие коммуникативные навыки, умение работать в команде.          Условия:      Оформление по ТК РФ, полный соц.пакет;   График работы: 5/2, с 09:00 до 18:00;   Работа в Центральном офисе компании (ст. м. Ботанический сад или ст. м. Владыкино);   Возможность карьерного и профессионального роста;   Стабильная заработная плата;   Скидки на всю продукцию компании.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,55042.857142857145,1.0,60000.0,специалист технической поддержки,Знание устройства ПК и серверов. Знания Microsoft Windows 7/8/10 на уровне администратора. Знание сетевых технологий (локальные сети ТСР...,"Прием и регистрация обращений поступающих от пользователей (HELP Desk, телефон). Техническая поддержка пользователей в офисе. Организация новых рабочих мест (установка...",0.26666666666666666,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Российский Союз Автостраховщиков,2019-12-11T12:45:59+0300,"  Требования:      Техническая грамотность;   Желание учиться;   Коммуникабельность, самостоятельность, ответственность.   Умение устанавливать и настраивать ОС;   Опыт настройки IP-телефонов, принтеров, МФУ и пр;   Опыт работы с операционными системами, сетями, орг.техникой;      Обязанности:      Поддержка функционирования офисной компьютерной инфраструктуры;   Поддержка АРМ и консультирование пользователей;   Обработка и выполнение заявок на портале технической поддержки;   Знание Windows. на уровне администратора. Умение находить решения проблем с прикладным ПО для данных ОС;   Контроль текущего технического состояния поддерживаемых систем;   Сбор информации о проблемах и ошибках, связанных с эксплуатацией информационных систем.      Условия:      Оклад определяется в зависимости от знаний и квалификации;   Возможно обучение в случае возникновения производственной необходимости;   Оформление по ТК РФ;   График работы 5/2;   Комфортный офис на станции метро Добрынинская\Серпуховская (5 минут пешком от метро);   Перспективы карьерного роста;   ДМС.   ",Полная занятость,Полный день,Нет опыта,|Windows 7|Mac Os|Офисная техника|Настройка ПК|TCP/IP|Работа с людьми|Работа с оргтехникой|Информационные технологии|Настройка ПО|Поиск информации в интернет|Администрирование,,55042.857142857145,,50000.0,специалист технической поддержки,"Техническая грамотность. Желание учиться. Коммуникабельность, самостоятельность, ответственность. Умение устанавливать и настраивать ОС. Опыт настройки IP-телефонов, принтеров, МФУ и пр. ",Поддержка функционирования офисной компьютерной инфраструктуры. Поддержка АРМ и консультирование пользователей. Обработка и выполнение заявок на портале технической поддержки. Знание Windows. ,0.06666666666666667,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
Москва,Систематика Консалтинг,2019-11-21T14:51:48+0300,"  Обязанности:      Первая линия поддержки подсистемы (телефонные переговоры/консультации, выход на место к пользователю, устранение проблемы на месте или удаленно);   Ведение документации по проекту (оформление и отправка отчетов, составление документации по заявкам на доработку, подготовка документации по сдаче этапа проекта);   Работа с заявками на доработку (переговоры с Заказчиком по требованиям к заявке, постановка задачи программисту, тестирование результатов программиста, презентация Заказчику результатов работы);      Требования:      Опыт работы в технической поддержке или аналогичной должности от 1 года;   Работа с системой документооборота;   Опыт работы с пользователями (напрямую и по телефону);   Опыт работы с разработчиками (постановка и проверка задач);   Составление отчетных документов;   Уверенный пользователь Microsoft Office.      Личные качества:      Умение общаться с пользователями;   Умение самостоятельно планировать рабочий день;   Способность расставлять приоритеты;   Желание и способность обучаться.      Мы предлагаем:      Работа над амбициозными проектами государственного сектора, в динамично развивающейся it-компании;   Официальное оформление по ТК, соц. пакет (больничный, отпуск), обучение;   Профессиональный и карьерный рост;   Быстрое профессиональное развитие;   Дружелюбная атмосфера и молодой коллектив;   Заработная плата обсуждается индивидуально с каждым кандидатом на собеседовании.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,55042.857142857145,1.0,52500.0,специалист технической поддержки,Опыт работы в технической поддержке или аналогичной должности от 1 года. Работа с системой документооборота. Опыт работы с пользователями (напрямую...,"Первая линия поддержки подсистемы (телефонные переговоры/консультации, выход на место к пользователю, устранение проблемы на месте или удаленно). ",0.7333333333333333,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Яндекс,2019-12-10T12:02:41+0300," Английский язык помогает сотрудникам Яндекса решать рабочие задачи.   Совсем недавно у одной из команд появился корпоративный преподаватель английского, который проводит он-лайн занятия. Этот формат сильно понравился команде и уже виден прогресс в изучении языка. Но у наших коллег появляются вопросы по лексике и грамматике не только во время уроков, а еще и в рабочих вопросах, поэтому у нас возникла идея создать чат образовательной поддержки.    Вы нам подходите, если:      имеете опыт работы преподавателем английского языка от 2-х лет;   у вас есть интерес к английской грамматике и лексике и даже если вы чего-то не знаете, то с удовольствием читаете справочную литературу и обращаетесь за советом к коллегам;   ваш уровень языка С1 в чтении и высокие баллы в тестах use of English;   внимательны и легко замечаете ошибки в речи и письме учеников;   знаете правила и не допускаете ошибок в письме и речи;   вам нравится общаться с разными людьми в переписке, вы легко устанавливаете контакт и можете поддержать участника диалога эмоционально;   у вас есть компьютер и стабильный, быстрый интернет;      Вам предстоит:      своевременно отвечать в чате на вопросы учеников;   работать в нашей knowledge base и в продукте, помогая нашим ученикам;   вместе с нами создавать knowledge base;   объяснять правила языка (употребление грамматики и лексики);      Что мы предлагаем:      удаленную работу, в комфортных для вас условиях;   удобный график 2-2;   творческую свободу: процесс образовательной поддержки вы будете создавать вместе с нами;   возможность усилить свои знания в языке за счет общения с нашими опытными методистами.   ",Полная занятость,Сменный график,От 1 года до 3 лет,|Английский язык|Преподаватель|MS PowerPoint|Деловое общение|Грамотная речь,3.0,55042.857142857145,1.0,52500.0,специалист образовательной поддержки по английскому языку,Имеете опыт работы преподавателем английского языка от 2-х лет. У вас есть интерес к английской грамматике и лексике и...,Своевременно отвечать в чате на вопросы учеников.,0.1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Москва,Яндекс,2019-11-26T15:47:50+0300," Яндекс.Практикум - сервис онлайн-обучения от Яндекса. Мы готовим с нуля будущих веб-разработчиков, аналитиков, других интернет-специалистов. Даём практические знания, опыт работы над реальными проектами, помогаем, разрешаем совершать ошибки и говорим понятным языком, для этого ищем специалистов в образовательную поддержку проекта.    Ваша главная задача  — делать так, чтобы всё работало:   1. Помогать студентам, отвечая на их вопросы в чатах и социальных сетях; 2. Сопровождать процесс обучения, общаться с нашими наставниками и командой сервиса (и каждый день делать его ещё лучше); 3. Взаимодействовать с большим объёмом информации, учиться и развиваться.    Идеальный сотрудник образовательной поддержки:    1. Отлично говорит и пишет по-русски (а если умеете делать это на других языках — ещё лучше); 2. Разбирается в HTML, CSS, JavaScript на базовом уровне (крайне желательно, но необязательно) 3. Любит и умеет учиться; 4. Знает, как работать в команде, но при этом может принимать самостоятельные решения; 5. Обладает чувством юмора и готов к атмосфере стартапа (это очень весело и безумно интересно).    Здорово, если вы:    1. Уже работали в службе поддержки или сфере услуг; 2. Получили высшее образование; 3. Разбираетесь в сфере онлайн-образования и знаете основных игроков на рынке; 4. Интересуетесь работой в IT, современными медиа, цифровыми профессиями, знаете, о чём говорят в Интернете   Работать нужно будет по  графику 2/2 с 10 часов утра до 22 вечера.  Можно делать это из дома, или выбрать любое место, где вам комфортно — в офис ездить не придётся, понадобится только компьютер и хороший интернет. ",Полная занятость,Удаленная работа,Нет опыта,,,55042.857142857145,,52500.0,специалист службы поддержки в практикум,"3. Взаимодействовать с большим объёмом информации, учиться и развиваться. 2. Разбирается в HTML, CSS, JavaScript на базовом уровне (крайне желательно...","Ваша главная задача — делать так, чтобы всё работало: 1. Помогать студентам, отвечая на их вопросы в чатах и социальных сетях. ",0.5666666666666667,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Москва,Красная Пресня,2019-12-09T09:41:44+0300," Обязанности:     техническая поддержка пользователей, работа ч системой учета заявок, обслуживание парка ПК( в т.ч. настройка и подключение новых), помощь в обслуживании серверной инфраструктуры, базовое обслуживание оргтехники, прокладка кабелей, тестирование кабельных сетей     Требования:     опыт работы в службе технической поддержки, службе системного администрирования- приветствуется, Знание Windows 7/8/10, знание *nix- приветствуется, знание принципов работы ЛВС, знание основ сетевой безопасности, понимание принципов работы DHCP, DNS, Group Policy;   опыт работы с сетевым оборудованием mikrotik и d-link приветствуется, ответственность, стрессоустойчивость, желание развиваться     Условия:     оптимальные   ",Полная занятость,Полный день,От 1 года до 3 лет,|DHCP|Настройка DNS|Администрирование сетевого оборудования|Администрирование серверов Windows|Windows 7,3.0,55042.857142857145,1.0,60000.0,специалист технической поддержки,"Опыт работы в службе технической поддержки, службе системного администрирования- приветствуется, Знание Windows 7/8/10, знание *nix- приветствуется, знание принципов...","Техническая поддержка пользователей, работа ч системой учета заявок, обслуживание парка ПК( в т.ч. настройка и подключение новых), помощь в...",0.13333333333333333,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Москва,СОГАЗ,2019-12-06T13:24:25+0300,"  Лидер приглашает лучших!         Вас ожидают следующие задачи:      Работа по заявкам, поступающим в службу поддержки от пользователей;   Взаимодействие с пользователями, их консультирование;   Устранение ошибок при работе с ПО;   Организация новых рабочих мест пользователей;   Работа с аппаратным обеспечением, ПК и оргтехникой (диагностика и устранение неполадок в работе оборудования);   Создание и поддержка в актуальном состоянии пользовательских учетных записей.           Критерии успеха:      Образование от среднего специального (профильного);   Опыт работы в подразделениях Help Desk - не менее 1 года;   Знание ОС семейства Windows;   Знание архитектуры, содержания аппаратной части ПК;   Навыки работы с сетевым оборудованием, локальными сетями   Умение работать с Active Directory   Исполнительность, ответственность, обучаемость, коммуникабельность;   Грамотная устная и письменная речь.           Работая в Группе &quot;СОГАЗ&quot; вы получите  :      Опыт в компании №1 в России на рынке обязательного медицинского страхования, в высокопрофессиональной команде с уникальной для рынка историей, знаниями и технологиями;   Оформление полностью в соответствии с ТК РФ;   Стабильный доход в стабильной компании, а также систему премирования;   Социальный пакет, включающий добровольное медицинское страхование в лучших клиниках города, специальные предложения по страхованию (КАСКО, имущество, жизнь), льготное кредитование, скидки на фитнес и другие программы от партнеров;   Страхование жизни и страхование от несчастных случаев и болезней;   Заботу компании о детях сотрудника: подарки на Новый год;   График работы: пятидневная рабочая неделя;   Территориальное местонахождение офиса: шаговая доступность от ст. м. Кожуховская.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,55042.857142857145,1.0,52500.0,специалист отдела технической поддержки пользователей,Образование от среднего специального (профильного). Опыт работы в подразделениях Help Desk - не менее 1 года. Знание ОС семейства Windows. ,"Работа по заявкам, поступающим в службу поддержки от пользователей. Взаимодействие с пользователями, их консультирование. Устранение ошибок при работе с ПО. ",0.23333333333333334,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Adecco Russia,2019-12-05T12:08:55+0300," В крупную международную компанию открыта позиция  специалист технической поддержки !    Обязанности:      Обеспечение первой линии тех.поддержки – распределение и решение заявок, назначение категорий, поддержка базы знаний;   Консультирование пользователей по возникающим вопросам;   Учёт оборудования – создание актов приёма/передачи, отслеживание и отражение изменений;   Подготовка и настройка ноутбуков/десктопов для выдачи сотрудникам.     Требования:     Опыт работы от 1-го года;   Знание на уровне продвинутого пользователя: Windows 7 - 10, MS Office;   Знание общей архитектуры ПК, знание приемов и способов диагностирования неисправностей компьютерной и оргтехники;   Навыки диагностики программных проблем, поиск причин и устранение ошибок;   Умение произвести замену комплектующих ПК/ноутбука;   Понимание принципов функционирования сети, службы AD, DNS, DHCP;   Стрессоустойчивость.     Условия:     Конкурентная заработная плата;   Доплата на питание;   В пешей доступности от м. Парк культуры;   Дружный и сплоченный коллектив.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Настройка сетевых подключений|TCP/IP|Windows 7|Ремонт ПК|Настройка ПО,3.0,55042.857142857145,1.0,65000.0,специалист технической поддержки,"Опыт работы от 1-го года. Знание на уровне продвинутого пользователя: Windows 7 - 10, MS Office. Знание общей архитектуры ПК...","Обеспечение первой линии тех.поддержки – распределение и решение заявок, назначение категорий, поддержка базы знаний. Консультирование пользователей по возникающим вопросам. ",0.26666666666666666,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Москва,Крафт групп,2019-12-10T17:26:14+0300," Обязанности:    -  решение инцидентов в составе первой линии поддержки;   - обеспечение функционирования техники, работающей у пользователей и принятие оперативных мер по устранению, возникающих в процессе работы нарушений;   - выполнение профилактических работ по поддержанию работоспособности средств вычислительной техники, оргтехники. Создание и ведение внутренней документации группы;   - организация ремонта средств вычислительной техники с привлечением специализированных учреждений;   - выполнение распоряжений руководителя.   Требования:   - высокий уровень коммуникации и культуры общения;   - желания развиваться в сфере IT.   - знание ОС Windows 7-10 на уровне администратора;   - знание и уверенное сопровождение офисного ПО;   - умение помочь в настройке и устранении неисправностей в процессе работы;   - знание устройства и работы основных сетевых протоколов. Практические навыки их настройки;   - глубокие знания компьютерных комплектующих;   - знание, навыки работы и обслуживания печатающей техники, предназначенной для средних и больших офисов;   - базовые знания основ администрирования AD.   Условия:     Работа в лидирующей металлоторгующей компании;   Конкурентная заработная плата   Оформление в соответствии с ТК РФ;   График работы 5/2 с 9.00 до 18.00.       ",Полная занятость,Полный день,Нет опыта,|Windows 7|Администрирование|Офисная техника|Ремонт ПК|Windows Xp,,55042.857142857145,,52500.0,специалист технической поддержки,высокий уровень коммуникации и культуры общения. - желания развиваться в сфере IT. - знание ОС Windows 7-10 на уровне администратора. - ,"решение инцидентов в составе первой линии поддержки. - обеспечение функционирования техники, работающей у пользователей и принятие оперативных мер по устранению, возникающих...",0.1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
