city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,обучение,преподаватель,групповое обучение,работа в команде,обучение и развитие,организация учебного процесса,пользователь пк,публичные выступления,unity,навыки межличностного общения,other
Москва,АНО ДО ИНГЛИШ ПЛЮС,2019-12-10T15:58:30+0300," Наши партнеры, Кодкласс - динамично развивающаяся (уже более 40 школ) образовательная компания, которая уже получила признание подрастающих программистов и их родителей.    Ищем тех, кому было бы интересно развиваться в выбранной специальности и работать по гибкому графику !         Обязанности:    Проведение занятий по программированию для детей   Отслеживание результатов обучения   Консультирование родителей по вопросам успеваемости детей   Требования:   Студент (от 3 курса и старше), аспирант или выпускник технического или педагогического вуза ( желательно, факультет информационные технологии или аналогичные специальности)   Знание языков программирования или желание им обучиться (для преподавателей программирования)   Опыт публичных выступлений или репетиторства как плюс   Коммуникабельность, пунктуальность, адекватность   Желание развиваться и повышать свою квалификацию   Условия:   Возможность совмещать преподавание с учебой или работой (занятия проводятся в выходные дни )   Бесплатное обучение по преподаванию для успешных кандидатов ( Scratch, Unity 3D, Java, Javascript )   Обеспечение методическими материалами   Высокую заработную плату (до 30 000 рублей в месяц за работу только по выходным)   Возможность развиваться внутри компании и овладевать новыми навыками   Постоянное место работы находится в 5 мин пешком от м Водный стадион , обучение проходит в центре Москвы. ",Частичная занятость,Гибкий график,Нет опыта,|Преподаватель|Публичные выступления|Unity|Обучение|Навыки межличностного общения,,30000.0,,50000.0,преподаватель,"Студент (от 3 курса и старше), аспирант или выпускник технического или педагогического вуза ( желательно, факультет информационные технологии или аналогичные специальности). ",Проведение занятий по программированию для детей. Отслеживание результатов обучения. Консультирование родителей по вопросам успеваемости детей. Обеспечение методическими материалами.,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1
Москва,Skillbox,2019-12-04T15:57:30+0300," Skillbox — онлайн университет современных профессий. Более 20 000 студентов освоили новые профессии: дизайн, маркетинг и управление, код. Мы один из лидеров российского рынка онлайн-образования, резидент «Сколково», и хотим изменить мир образования в России и СНГ.   В настоящий момент мы находимся в поиске  проверяющего преподавателя на курс веб-верстка  и  JavaScript . Основная задача - это проверка домашних заданий наших любимых студентов (слушателей образовательных курсов Skillbox). Мы стараемся ответить на любой вопрос студентов и никого не оставить без внимания.    Чем предстоит заниматься:      Проверять работы студентов курсов по курсу веб-верстка и JS от Skillbox (до 10-20 проверок студентов в день);   Давать обратную связь студентам по выполненным заданиям в письменном виде и оценивать их работы;   Нужно отслеживать на все ли вопросы студенты ответили и задавать наводящие/уточняющие вопросы по каждому пункту, чтобы студенты могли глубже проработать тему.      Что мы ждем от вас:      навыки работы с HTML, CSS, jOuery, JavaScript;   умение верстать;   опыт работы наставником, ментором или преподавателем;   умение преподавать: понятно объяснять и добиваться усвоения другими учебного материала.       Будет отлично, если вы уже работали, как проверяющий преподаватель.      Мы предлагаем отличные условия:        Вы сами выбираете свой график и уровень нагрузки: гибкий (2-4 часа в день), либо полный день (8 часов);       Вы работаете когда вам удобно, без привязки ко времени;       Постоянство в доходе;       Доступ ко всем лекциям Skillbox по вашему направлению;       Возможность внести свой вклад в развитие онлайн-образования;       Помощь и поддержка команды продюсеров курсов и коллег.     ",Частичная занятость,Удаленная работа,От 1 года до 3 лет,|JavaScript|HTML5|HTML|CSS3|Преподаватель|Наставничество,3.0,60000.0,1.0,30000.0,проверяющий преподаватель,"Навыки работы с HTML, CSS, jOuery, JavaScript. Умение верстать. Опыт работы наставником, ментором или преподавателем. Умение преподавать: понятно объяснять и...",Проверять работы студентов курсов по курсу веб-верстка и JS от Skillbox (до 10-20 проверок студентов в день). ,0.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Москва,ФКУ Центр по обеспечению деятельности Казначейства России,2019-11-20T11:04:28+0300,"  Основная задача  - создание электронных курсов по информационным системам.    Обязанности:    Методическая работа с исходными материалами (инструкции, руководство): структурирование и группирование информации, выделение ключевых мыслей;   Написание сценария с подробным описанием слайдов курса;   Проектирование практических тренажеров и тестовых заданий;   Участие в создании концепций для курсов;   Общение с экспертами.    Требования:    Навыки переработки текстов информационной тематики в простую и понятную речь;   Умение четко формулировать мысли устно и письменно;   Понимание законов восприятия, концентрации внимания и основ педагогического дизайна;   Грамотный русский язык;   Развитое визуальное мышление;   Внимание к деталям, ответственность;   Навыки работы с iSpring, с LMS Moodle.    Образование  Высшее.    Опыт работы  в области обучения (консультирования).    Дополнительно    Умение грамотно вести деловую переписку.   Коммуникабельность, ответственность, высокий уровень самоорганизации.    Мы предлагаем    Интересные, амбициозные задачи.   Дружный, активный и молодой коллектив.   Официальное трудоустройство, полное соблюдение ТК РФ.   Комфортный офис рядом с м. «Белорусская».   График работы: 5/2 с 9:00 до 18:00, пятница с 9:00 до 16:45.   Ежегодный, оплачиваемый отпуск 36 календарных дней.   Конкурентоспособная, стабильная заработная плата.   Обучение и повышение квалификации, карьерный рост. ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,70000.0,1.0,70000.0,elearning преподаватель,Навыки переработки текстов информационной тематики в простую и понятную речь. Умение четко формулировать мысли устно и письменно. Понимание законов восприятия...,"Основная задача - создание электронных курсов по информационным системам. Методическая работа с исходными материалами (инструкции, руководство): структурирование и группирование информации, выделение...",0.7666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Университет ИТМО,2019-11-15T12:56:14+0300," Международный образовательный научный центр «AUTODESK» ИТМО проводит сертифицированное обучение, подтверждает профессиональные навыки на соответствие международным стандартам. Проводит консультации при разработке проектов.    Обязанности:      ведение курсов дополнительного профессионального образования.      Требования:      уверенное знание программного продукта 1С:Предприятие с опытом работы в нем;     высшее образование;       опыт преподавания будет преимуществом.        Условия:      занятия проводятся в дневное время;   оформление по гражданско-правовому договору;   работа по совместительству;   молодой, дружный коллектив.   ",Частичная занятость,Гибкий график,От 1 года до 3 лет,|Обучение|Групповое обучение|1С: Предприятие,3.0,35882.35294117647,1.0,32117.64705882353,преподаватель,Ведение курсов дополнительного профессионального образования. Требования: Уверенное знание программного продукта 1С:Предприятие с опытом работы в нем. Высшее образование. ,Без обязанностей,0.9333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Санкт-Петербург,Академия Шаг СПб,2019-12-09T12:23:47+0300,"  Международная Компьютерная Академия «Шаг», филиал в Санкт-Петербурге, занимающаяся профессиональной подготовкой и переподготовкой в области ИТ     Требуются преподаватели по специализациям: &quot;Тестирование ПО&quot;, &quot;Мануальное тестирование&quot;    Требуемый опыт работы: 3–6 лет,   Частичная занятость, гибкий график   Если Вы обладаете теоретическими и практическими знаниями, являетесь опытным специалистом и хотите поделиться своими знаниями и научить других, то наша вакансия для Вас!    Обязанности:        Чтение курсов по вышеуказанным специализациям;       Проведение практических занятий;       Участие в семинарах и конференциях;.        Требования:        Высшее техническое образование;       Опыт работы по данной специализации от 3-х лет;       Опыт публичных выступлений (или отсутствие страха выступлений);       Хорошие коммуникативные навыки;       Рассматриваются кандидаты без опыта преподавательской деятельности и большим желанием его приобрести.        Условия:        Работу в активно развивающейся компании;       Трудоустройство по договору и сдельную систему оплаты;       Готовые учебные планы с возможностью вашего творческого участия       Дружный коллектив;       Комфортные условия труда.     ",Частичная занятость,Гибкий график,От 3 до 6 лет,|Модульное тестирование|QA|Проведение тестирований|Функциональное тестирование|Регресионное тестирование|Тестирование|Тестирование пользовательского интерфейса|Разработка технических заданий,6.0,35882.35294117647,3.0,32117.64705882353,преподаватель,Требуемый опыт работы: 3–6 лет. Чтение курсов по вышеуказанным специализациям. Высшее техническое образование. Опыт работы по данной специализации от...,Проведение практических занятий. Участие в семинарах и конференциях;.,0.13333333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Екатеринбург,УДПО Международный институт технических инноваций,2019-12-12T09:30:20+0300,"  «Международный институт технических инноваций» (УДПО &quot;МИТИ&quot; ) - авторизованный партнер SIEMENS по обучению в РФ.  Создан в 2005 году и на сегодняшний день является одним из лидеров по предоставлению обучающих программ для промышленных предприятий России и ближнего зарубежья. Наши слушатели - инженерно-технический персонал, рабочие специалисты промышленных предприятий: машиностроительных, горнообогатительных, металлургических, и т.д .  (с подробной информацией о работе УДПО &quot;МИТИ&quot; вы можете ознакомиться на сайте www.iiti.ru). Для работы на постоянной основе в УДПО &quot;МИТИ&quot; открыт конкурс на вакансию  Преподаватель по курсу &quot;СИСТЕМЫ ПРОМЫШЛЕННОЙ АВТОМАТИЗАЦИИ SIEMENS&quot;.     Мы ищем специалиста, имеющего богатый практический опыт, желающего делиться им с коллегами!     Обязанности:      Проведение обучающих программ для слушателей института   Ведение выездных обучающих программ для слушателей промышленных предприятий РФ и стран СНГ   Участие в подготовке учебно-методических материалов   Участие в инжиниринговых проектах   Наши сотрудники также имеют возможность заниматься наладкой, тестированием, введением в эксплуатацию оборудования АСУТП на объектах по территории РФ и СНГ, получая за это дополнительный материальный бонус.     Требования:     Образование - высшее электротехническое   Исчерпывающие знания в области контроллеров SIMATIC S7-300/400/1200/1500, опыт проектирования или эксплуатации систем на их базе - обязателен   Владение SCADA системой WinCC и WinCCflexible, опыт проектирования операторских интерфейсов   Понимание принципов построения промышленных сетей   Знания в области приводной техники   Понимание принципов построения промышленных автоматизированных систем   Желательно: знание TIA Portal, опыт в области HE Siemens контроллеров, наличие сертификатов о прохождении обучения Siemens   Желание делиться накопленными знаниями.     Условия:     Заработная плата: от 70 000 руб. (оклад 50 000 руб. + ежемесячные премии за проведенные курсы, проекты). Зарплата белая, выплачивается 2 раза в месяц без задержек.   Трудоустройство по ТК РФ   Место работы: ул. Коминтерна (Кировский р-он)   Работа в комфортном оборудованном офисе. Оборудованные классы для слушателей.   Поддержка коллег, корпоративные мероприятия   Командировки   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,30000.0,3.0,70000.0,преподаватель,"Образование - высшее электротехническое. Исчерпывающие знания в области контроллеров SIMATIC S7-300/400/1200/1500, опыт проектирования или эксплуатации систем...",Проведение обучающих программ для слушателей института. Ведение выездных обучающих программ для слушателей промышленных предприятий РФ и стран СНГ. ,0.03333333333333333,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,IT-школа Кодиум,2019-12-13T15:40:21+0300,"  Онлайн-школа для детей &quot;Кодиум&quot; активно растет и мы снова в поиске талантов.     Мы обучаем детей программированию онлайн по всему Миру (русскоязычные занятия) — так же, мы резиденты IT-парка в Казани. А большая часть команды работает удаленно по всей России!    Наша вакансия — возможность стать частью идейной команды, внести вклад в новую систему образования, реализовать свой потенциал и зарабатывать находясь в любой точке Мира.   Рассматриваем кандидатов и без опыта работа в данной профессии — предусмотрено полное обучение.    Обязанности.    1. Проведение занятий согласно методическому плану. 2. Контроль учебного процесса/качества знаний. 3. Работа в команде над улучшением учебных материалов.    Требования.    1. Возможность работать удаленно — стабильный интернет, самодисциплина и отсутствие посторонних шумов. 2. Опыт работы с детьми и любовь к ним! 3. Базовое понимание IT-сферы, программирования. 4. Умение брать ответственность за результат. 5. Тяга к новым знаниям и достижениям. 6. Коммуникабельность, открытость.    Условия работы.      Удаленная работа с любой точки Мира.   Полное обучение.   Оклад + бонусы.   Возможность карьерного роста.   Молодой и дружный коллектив (Да-да, даже на удаленке!)     Пожалуйста, напишите сопроводительное письмо к резюме, в котором напишете о себе и почему вы хотите работать у нас. Спасибо!     Мы ждём вас. Пишите.  ",Частичная занятость,Удаленная работа,Нет опыта,|Работа в команде|Обучение и развитие|Грамотная речь|Ориентация на результат|Контроль качества|Обучение|Организация учебного процесса,,30000.0,,20000.0,преподаватель,"Рассматриваем кандидатов и без опыта работа в данной профессии — предусмотрено полное обучение. 1. Возможность работать удаленно — стабильный интернет, самодисциплина и...",1. Проведение занятий согласно методическому плану. 2. Контроль учебного процесса/качества знаний. 3. Работа в команде над улучшением учебных материалов.,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
Екатеринбург,Учитель для России,2019-11-22T15:24:42+0300," Нынешним школьникам уже не хватает уроков информатики — многие готовы развивать себя и в робототехнике. Мы приглашаем вас, увлеченных технарей и программистов, поделиться своим вдохновением за школьной партой. Только вы сможете сократить дистанцию между региональной школой и техническим прогрессом. И будущее придёт в класс вместе с вами.   Программа «Учитель для России» предлагает вам стать таким учителем. Даже если вы никогда не работали в школе и не получали педагогического образования, с нами вы можете овладеть этой профессией. Если вы уже преподаете робототехнику — присоединяйтесь к нашему большому сообществу!   Чтобы стать одним из учителей для России, нужно:       иметь высшее образование по любой специальности;       любить детей, верить в потенциал каждого ребенка вне зависимости от условий, в которых он растет;       понимать, что все люди разные, и принимать индивидуальность каждого;       пройти конкурс на участие в программе;       принять участие в Летнем институте, выездном пятинедельном курсе педагогики;       переехать (при необходимости) в один из регионов, в которых находятся школы-партнеры (Новгородская, Нижегородская, Калужская, Тамбовская, Воронежская области)       Мы поддерживаем наших участников! Каждый учитель получает:       поддержку со стороны куратора и методиста на протяжении двух лет;       поддержку большого и дружного сообщества, в котором сейчас более 300 единомышленников;       стипендию в размере 20 000 рублей в дополнение к зарплате в школе;       компенсацию на аренду жилья в размере 15 000 рублей в месяц;       диплом НИУ ВШЭ о педагогической переподготовке по окончании программы.     ",Полная занятость,Полный день,Нет опыта,,,30000.0,,45000.0,преподаватель,Иметь высшее образование по любой специальности. Диплом НИУ ВШЭ о педагогической переподготовке по окончании программы.,Без обязанностей,0.7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Softline,2019-12-12T15:15:20+0300," Обязанности:       Чтение курсов по Cisco (ICND, IINS, SWITC, ROUTE, BGP и др.);       Проведение обучения по утвержденным программам;       Участие в разработке тематических планов и методических материалов;       Развитие читаемых курсов, поддержание их актуальности.       Требования:     Приветствуется опыт преподавания, работы с аудиторией;   Наличие профильных сертификатов CCSI и CCNP/CCIE/CCNA (желательно).     Условия:     Мы предлагаем гибкий график, позволяющий, в том числе, совмещать преподавание с Вашей основной работой   Возможность профессионального роста, в т.ч. получение сертификаций.   Достойный размер оплаты труда   ",Частичная занятость,Гибкий график,Нет опыта,,,30000.0,,45000.0,преподаватель,"Приветствуется опыт преподавания, работы с аудиторией. Наличие профильных сертификатов CCSI и CCNP/CCIE/CCNA (желательно).","Чтение курсов по Cisco (ICND, IINS, SWITC, ROUTE, BGP и др.). Проведение обучения по утвержденным программам. Участие в разработке тематических...",0.03333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Softline,2019-12-12T15:15:20+0300," Обязанности:       Проведение курсов по существующим программам центра;       Актуализация и обновление курсов;       Разработка учебно-методических материалов.       Требования:     Приветствуется опыт преподавания, работы с аудиторией;   Наличие профильных сертификатов VCI (желательно).     Условия:     Мы предлагаем гибкий график, позволяющий, в том числе, совмещать преподавание с Вашей основной работой;   Возможность профессионального роста, в т.ч. получение сертификаций;   Достойный размер оплаты труда.   ",Частичная занятость,Гибкий график,Нет опыта,,,30000.0,,45000.0,преподаватель,"Приветствуется опыт преподавания, работы с аудиторией. Наличие профильных сертификатов VCI (желательно).",Проведение курсов по существующим программам центра. Актуализация и обновление курсов. Разработка учебно-методических материалов.,0.03333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
