city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,активные продажи,деловое общение,работа в команде,обучение и развитие,навыки продаж,грамотная речь,пользователь пк,продажа страховых продуктов,прямые продажи,розничная торговля,other
Москва,СИТИЛИНК,2019-11-29T14:27:28+0300,"  Наши пожелания:      Опыт работы в сфере продаж от 1-го года (компьютерная, цифровая, бытовая техника);   Знание технологии продаж и стандартов обслуживания;   Коммуникабельность, ответственность, грамотная речь.       Ваши обязанности:      Оказание помощи покупателям при оформлении заказа товара;   Консультирование покупателей в отношении технологии работы и навигации магазина;   Помощь покупателям при выборе товара, консультирование по ассортименту, наличию, потребительским свойствам, техническим характеристикам товара;   Продажи товара, сопутствующих аксессуаров, дополнительных услуг и расширенных гарантий;   Работа с претензиями потребителей;   Участие в разрешении спорных вопросов с покупателями;   Контроль работы продавцов торгового зала.       Мы предлагаем:      Оформление согласно ТК РФ;   График работы — 5/2;   Корпоративное обучение;   оплата больничного, отпуска   Скидки у партнеров;   Скидки на приобретение товаров в наших магазинах;   Возможность карьерного роста;   Стабильная заработная плата.   ",Полная занятость,Сменный график,От 1 года до 3 лет,,3.0,55000.0,1.0,40000.0,продавец консультант,"Опыт работы в сфере продаж от 1-го года (компьютерная, цифровая, бытовая техника). Знание технологии продаж и стандартов обслуживания. ",Оказание помощи покупателям при оформлении заказа товара. Консультирование покупателей в отношении технологии работы и навигации магазина. Помощь покупателям при выборе...,0.4666666666666667,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Связной,2019-12-02T15:09:00+0300," Ты заряжен энергией и хочешь превратить ее в деньги?   Приходи работать к нам!        У нас есть все для успешного старта твоей карьеры:      Бесплатное корпоративное обучение   Стипендия на начальном этапе   Неограниченная премия по результатам работы   Работа для опытных и для новичков   Лучшие мотивации с возможностью поездок по всему миру   Скидки на товар и авиабилеты   Гибкий рабочий график   Белая зарплата и оформление по ТК РФ   Возможность быстрого карьерного роста   Льготное кредитование для сотрудников у банков-партнеров          С нами ты будешь:      Помогать клиентам в выборе лучших технических новинок   Продавать товары и услуги   Подключать к операторам связи и интернет-провайдерам   Общаться с большим количеством людей и находить друзей          Рады сотрудничать, если:      Хочешь работать в команде, увлеченной своим делом   Готов учиться и развиваться   Тебе нравятся гаджеты, продажи и общение   У тебя грамотная речь и позитивное отношение к людям         Наша команда поможет тебе стать лучшим продавцом!   Присоединяйся!         ",Полная занятость,Полный день,Нет опыта,,,88125.0,,50000.0,продавец консультант,"Хочешь работать в команде, увлеченной своим делом. Готов учиться и развиваться. Тебе нравятся гаджеты, продажи и общение. У тебя грамотная...",Помогать клиентам в выборе лучших технических новинок. Продавать товары и услуги. Подключать к операторам связи и интернет-провайдерам. ,0.36666666666666664,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Связной,2019-12-11T17:29:25+0300," Ты заряжен энергией и хочешь превратить ее в деньги?   Приходи работать к нам!        У нас есть все для успешного старта твоей карьеры:      Бесплатное корпоративное обучение   Стипендия на начальном этапе   Неограниченная премия по результатам работы   Работа для опытных и для новичков   Лучшие мотивации с возможностью поездок по всему миру   Скидки на товар и авиабилеты   Гибкий рабочий график   Белая зарплата и оформление по ТК РФ   Возможность быстрого карьерного роста   Льготное кредитование для сотрудников у банков-партнеров          С нами ты будешь:      Помогать клиентам в выборе лучших технических новинок   Продавать товары и услуги   Подключать к операторам связи и интернет-провайдерам   Общаться с большим количеством людей и находить друзей          Рады сотрудничать, если:      Хочешь работать в команде, увлеченной своим делом   Готов учиться и развиваться   Тебе нравятся гаджеты, продажи и общение   У тебя грамотная речь и позитивное отношение к людям         Наша команда поможет тебе стать лучшим продавцом!   Присоединяйся! ",Полная занятость,Полный день,Нет опыта,,,88125.0,,50000.0,продавец консультант,"Хочешь работать в команде, увлеченной своим делом. Готов учиться и развиваться. Тебе нравятся гаджеты, продажи и общение. У тебя грамотная...",Помогать клиентам в выборе лучших технических новинок. Продавать товары и услуги. Подключать к операторам связи и интернет-провайдерам. ,0.06666666666666667,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Билайн,2019-12-13T15:06:07+0300,"   Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды!       Ты:        Мечтаешь работать с технологиями, опережающими время и создающими будущее?       · Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты?     · Хочешь знать, как это – приходить на работу с удовольствием?       Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?        Чем ты будешь заниматься:        Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним!     Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.        У тебя будет:        Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире.       · Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок.     · Возможность отлично зарабатывать: гарантированный оклад + премия!     · Полностью официальное оформление и выплаты.     · Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг!     · Удобное место и график работы (5/2, плавающие выходные, 2 варианта смен в день)          Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:         Оформление в штат без стажировки.           В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду.     Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики.     Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам.      Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта!       Приходи, б  удет круто! #яработаювбилайн #хочувбилайн #followbeeline   ",Полная занятость,Полный день,Нет опыта,|Активные продажи|Продажа страховых продуктов|Деловое общение|Навыки продаж|Обучение и развитие,,100000.0,,45000.0,"продавец консультант офиса ""билайн""","Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода: Каждый сотрудник соблюдает Кодекс поведения, внутренние правила...",Без обязанностей,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1
Москва,Связной,2019-12-09T15:17:03+0300," Ты заряжен энергией и хочешь превратить ее в деньги?   Приходи работать к нам!        У нас есть все для успешного старта твоей карьеры:      Бесплатное корпоративное обучение   Стипендия на начальном этапе   Неограниченная премия по результатам работы   Работа для опытных и для новичков   Лучшие мотивации с возможностью поездок по всему миру   Скидки на товар и авиабилеты   Гибкий рабочий график   Белая зарплата и оформление по ТК РФ   Возможность быстрого карьерного роста   Льготное кредитование для сотрудников у банков-партнеров          С нами ты будешь:      Помогать клиентам в выборе лучших технических новинок   Продавать товары и услуги   Подключать к операторам связи и интернет-провайдерам   Общаться с большим количеством людей и находить друзей          Рады сотрудничать, если:      Хочешь работать в команде, увлеченной своим делом   Готов учиться и развиваться   Тебе нравятся гаджеты, продажи и общение   У тебя грамотная речь и позитивное отношение к людям         Наша команда поможет тебе стать лучшим продавцом!   Присоединяйся! ",Полная занятость,Полный день,Нет опыта,,,70000.0,,50000.0,продавец консультант,"Хочешь работать в команде, увлеченной своим делом. Готов учиться и развиваться. Тебе нравятся гаджеты, продажи и общение. У тебя грамотная...",Помогать клиентам в выборе лучших технических новинок. Продавать товары и услуги. Подключать к операторам связи и интернет-провайдерам. ,0.13333333333333333,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,МегаФон Ритейл,2019-12-03T11:43:40+0300,"  В твоих руках - отличная возможность построить блестящую карьеру!     Развивайся в Компании федерального масштаба!     Приходи на работу   в офисы продаж «МегаФон»!         Мы предлагаем:         Официальное трудоустройство с 1-го рабочего дня   Профессиональный и карьерный рост   Гибкий график (с полным рабочим днем)   Корпоративное обучение на базе собственного Учебного центра   Средняя заработная плата 48000 (оклад + личный бонус+ бонус от командных продаж + ежемесячная премия)   ДМС, корпоративный тариф, компенсация фитнеса, тренинги и мастер классы для профессионального и личностного роста   Скидки для сотрудников и участие в конкурсах с ценными призами   Удобное место работы          Наши пожелания:         Активность   Целеустремленность   Доброжелательность и готовность помочь   Стремление к получению новых знаний и финансовой независимости   Пользователь ПК          Твои занятия:         Продажа мобильных устройств и аксессуаров   Консультирование Клиентов   Подключение и обслуживание абонентов «МегаФон»   Решение организационных вопросов (открытие, закрытие салона‚ ведение отчетности по продажам‚ выкладка нового товара и т.д.)   ",Полная занятость,Сменный график,Нет опыта,,,80000.0,,48000.0,продавец консультант,Активность. Целеустремленность. Доброжелательность и готовность помочь. Стремление к получению новых знаний и финансовой независимости. Пользователь ПК.,"Продажа мобильных устройств и аксессуаров. Консультирование Клиентов. Подключение и обслуживание абонентов «МегаФон». Решение организационных вопросов (открытие, закрытие салона‚ ведение отчетности...",0.3333333333333333,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Связной,2019-12-13T18:18:12+0300," Ты заряжен энергией и хочешь превратить ее в деньги?   Приходи работать к нам!        У нас есть все для успешного старта твоей карьеры:      Бесплатное корпоративное обучение   Стипендия на начальном этапе   Неограниченная премия по результатам работы   Работа для опытных и для новичков   Лучшие мотивации с возможностью поездок по всему миру   Скидки на товар и авиабилеты   Гибкий рабочий график   Белая зарплата и оформление по ТК РФ   Возможность быстрого карьерного роста   Льготное кредитование для сотрудников у банков-партнеров          С нами ты будешь:      Помогать клиентам в выборе лучших технических новинок   Продавать товары и услуги   Подключать к операторам связи и интернет-провайдерам   Общаться с большим количеством людей и находить друзей          Рады сотрудничать, если:      Хочешь работать в команде, увлеченной своим делом   Готов учиться и развиваться   Тебе нравятся гаджеты, продажи и общение   У тебя грамотная речь и позитивное отношение к людям         Наша команда поможет тебе стать лучшим продавцом!   Присоединяйся! ",Полная занятость,Полный день,Нет опыта,,,88125.0,,50000.0,продавец консультант,"Хочешь работать в команде, увлеченной своим делом. Готов учиться и развиваться. Тебе нравятся гаджеты, продажи и общение. У тебя грамотная...",Помогать клиентам в выборе лучших технических новинок. Продавать товары и услуги. Подключать к операторам связи и интернет-провайдерам. ,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Связной,2019-12-06T10:09:01+0300," Ты заряжен энергией и хочешь превратить ее в деньги?   Приходи работать к нам!        У нас есть все для успешного старта твоей карьеры:      Бесплатное корпоративное обучение   Стипендия на начальном этапе   Неограниченная премия по результатам работы   Работа для опытных и для новичков   Лучшие мотивации с возможностью поездок по всему миру   Скидки на товар и авиабилеты   Гибкий рабочий график   Белая зарплата и оформление по ТК РФ   Возможность быстрого карьерного роста   Льготное кредитование для сотрудников у банков-партнеров          С нами ты будешь:      Помогать клиентам в выборе лучших технических новинок   Продавать товары и услуги   Подключать к операторам связи и интернет-провайдерам   Общаться с большим количеством людей и находить друзей          Рады сотрудничать, если:      Хочешь работать в команде, увлеченной своим делом   Готов учиться и развиваться   Тебе нравятся гаджеты, продажи и общение   У тебя грамотная речь и позитивное отношение к людям         Наша команда поможет тебе стать лучшим продавцом!   Присоединяйся!         ",Полная занятость,Полный день,Нет опыта,,,88125.0,,50000.0,продавец консультант,"Хочешь работать в команде, увлеченной своим делом. Готов учиться и развиваться. Тебе нравятся гаджеты, продажи и общение. У тебя грамотная...",Помогать клиентам в выборе лучших технических новинок. Продавать товары и услуги. Подключать к операторам связи и интернет-провайдерам. ,0.23333333333333334,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Билайн,2019-12-13T09:50:17+0300,"  Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды!     Ты:      Мечтаешь работать с технологиями, опережающими время и создающими будущее?     · Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты?   · Хочешь знать, как это – приходить на работу с удовольствием?     Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?      Чем ты будешь заниматься:      Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним!   Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.      У тебя будет:      Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире.     · Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок.   · Возможность отлично зарабатывать: гарантированный оклад + премия!   · Полностью официальное оформление и выплаты.   · Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг!   · Удобное место и график работы (5/2, плавающие выходные, 2/2 , 2 варианта смен в день)        Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:       Оформление в штат без стажировки.         В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду.   Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики.   Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам.    Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта!     Приходи, б  удет круто! #яработаювбилайн #хочувбилайн #followbeeline  ",Полная занятость,Полный день,Нет опыта,,,100000.0,,45000.0,начинающий продавец консультант,"Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода: Каждый сотрудник соблюдает Кодекс поведения, внутренние правила...",Без обязанностей,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Билайн,2019-12-02T11:47:50+0300,"  Офис продаж – «визитная карточка» нашего бизнеса! И ты можешь стать частью передовой команды!     Ты:      Мечтаешь работать с технологиями, опережающими время и создающими будущее?     · Стремишься быть в гуще событий, в команде таких же целеустремленных и драйвовых, как и ты?   · Хочешь знать, как это – приходить на работу с удовольствием?     Уже получил высшее/среднее-профессиональное образование или заканчиваешь обучение и готов сделать первый шаг к своему успеху?      Чем ты будешь заниматься:      Продавать инновационные продукты и услуги Компании, делающие жизнь людей проще и лучше: крутые девайсы, смартфоны и аксессуары к ним!   Делиться своей экспертизой и знаниями, консультируя клиентов и помогая им решать самые разные задачи.      У тебя будет:      Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире.     · Вводное (с выплатой стипендии) и регулярное обучение - мир технологий быстро меняется, и ты будешь всегда в курсе самых актуальных новинок.   · Возможность отлично зарабатывать: гарантированный оклад + премия!   · Полностью официальное оформление и выплаты.     Дополнительные льготы и бонусы от компании: полис добровольного медицинского страхования (включает стоматологию), скидки на покупку девайсов, корпоративная мобильная связь и интернет и многое другое - ты сам убедишься в качестве наших услуг!   Удобное место и график работы (5/2, 2/2, с плавающими выходными, 2 варианта смен в день)          Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода:       Оформление в штат без стажировки.         В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду.   Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики.   Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам.        Мы верим в возможности человека и помогаем раскрыть их даже тем, у кого нет опыта!     Приходи, б  удет круто! #яработаювбилайн #хочувбилайн #followbeeline      ",Полная занятость,Полный день,Нет опыта,|Активные продажи|Деловое общение|Навыки продаж|Обучение и развитие,,100000.0,,45000.0,продавец консультант,"Специальные условия для кандидатов, имеющих опыт работы в сфере информационных технологий от полугода: Каждый сотрудник соблюдает Кодекс поведения, внутренние правила...",Без обязанностей,0.36666666666666664,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1
