city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,javascript,git,php,mysql,sql,c#,html,ооп,css,linux,other
Москва,Нью Бизнес Текнолоджис,2019-12-05T16:09:23+0300,"   Мы предлагаем присоединиться к нашей команде Front-end разработчику, мотивированного создавать качественные приложения.     Команда разработки на данный момент 14 человек (Android, Ios, Front, Back, QA). Наш стек: React, Redux, Ramda, Webpack, Babel, PostCSS .  Будем рады новому члену команды.      Требования:  - уверенное владение Javascript (ES6), CSS, HTML (знание других языков приветствуется); - понимание основ функционального программирования; - опыт работы с React, Redux, Web APIs, Webpack (Node.js будет плюсом); - опыт разработки клиент-серверных приложений; - опыт разработки UI; - готовность разбираться в чужом коде; - умение работать как в команде, так и самостоятельно.    Задачи:  - разработка нового функционала; - поддержка существующего кода; - участие в обсуждении требований.    Предлагаем:  - офис в Москве м. Таганская (3 мин. от метро); - оформление ТК РФ; - уровень заработной платы определяется по результатам собеседования; - code review; - рост и развитие в международной компании (офисы Кипр, РФ, ЮАР). ",Полная занятость,Полный день,Нет опыта,|JavaScript|Node.js|HTML|CSS|Git,,113218.75,,72792.85714285714,front end разработчик,"уверенное владение Javascript (ES6), CSS, HTML (знание других языков. Приветствуется). - понимание основ функционального программирования. - опыт работы с React, Redux...",разработка нового функционала. - поддержка существующего кода. - участие в обсуждении требований.,0.26666666666666666,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1
Москва,Фирма СТОМ,2019-12-05T12:35:19+0300,"  Обязанности:      Поддержка и развитие корпоративной самописной CRM системы;   Самостоятельная работа.     Требования:     Отличное знание php 5 (5.4-5.7) и опыт работы с php от 1 года;   Понимание принципов ООП;   Приветствуется опыт работы с фреймворками Yii2, phalcon   Уверенное знание MySQL;   Базовые знания HTML, CSS, Bootstrap 3, JS (jQuery);   Опыт работы с системой контроля версий Git;   Умение читать документацию, понимать ее и применять.      Условия:      Оформление по ТК РФ;   Заработная плата обсуждается от 120000 + KPI;     Полная занятость, полный день;     Корпоративные курсы английского языка;   Возможности профессионального роста, развития и обучения за счет работодателя/   ",Полная занятость,Полный день,От 1 года до 3 лет,|PHP|HTML|PHP5|Ajax|MySQL|ООП|Yii|Git,3.0,150000.0,1.0,72792.85714285714,php разработчик,Отличное знание php 5 (5.4-5.7) и опыт работы с php от 1 года. Понимание принципов ООП. ,Поддержка и развитие корпоративной самописной CRM системы. Самостоятельная работа.,0.26666666666666666,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1
Москва,Федеральная сеть книжных магазинов «Читай-город»,2019-12-13T19:09:57+0300,"  Программист PHP (senior)     ВАШИ ЗАДАЧИ:      Разработка совместно с командой программистов нового высоконагруженного интернет-магазина   Разработка и модификация программных модулей и утилит   Поддержка и контроль работоспособности веб-ресурса компании   Отладка и оптимизация производительности программного обеспечения веб-ресурса компании   Выбор алгоритмов и проектирование структур данных   Проверка соответствия программного кода его функциональному назначению      НАШИ ОЖИДАНИЯ:      Уверенное знание нативного PHP (основная версия 7.2, от вас ожидаем уверенное знание 5.6 и преставление о различиях; опыт написания на 7+ приветствуется)   Опыт работы или представление об архитектуре типовых фреймворков   Опыт работы с MySQL от 1 года, умение работать со связанными таблицами, вложенными запросами   Представление о партиционировании и шардинге/антишардинге баз данных   Понимание ООП и умение его применять   Уверенное знание JavaScript, HTML, CSS   Умение работать с Git, Subversion   Уверенное владение консолью Linux   Дополнительным плюсом будет владение хранимыми процедурами и триггерами на MySQL и/или знание и опыт работы с СУБД PostgreSQL      МЫ ПРЕДЛАГАЕМ:      Работа в крупной динамично развивающейся компании. Книги в России продаём мы!   Коллектив профессионалов, работающих в интеллектуальном бизнесе   Возможности для развития и карьерного роста   Корпоративное обучение   Стабильная официальная зарплата, оформление в соответствии с ТК РФ   Электронная корпоративная библиотека   Удобный график работы   Скидка 30% в магазинах сети   Современный офис в шаговой доступности от м. Бутырская и Фонвизинская (также удобно добираться от м. Тимирязевская, ВДНХ, ж/д платформ Тимирязевская и Останкино)   ",Полная занятость,Полный день,От 3 до 6 лет,|PHP|MySQL|ООП|Git|Redis|Elasticsearch|Linux,6.0,113218.75,3.0,72792.85714285714,php разработчик,"Уверенное знание нативного PHP (основная версия 7.2, от вас ожидаем уверенное знание 5.6 и преставление о различиях; опыт...",Разработка совместно с командой программистов нового высоконагруженного интернет-магазина. Разработка и модификация программных модулей и утилит. Поддержка и контроль работоспособности...,0.0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
Москва,Techport.ru,2019-12-05T10:54:12+0300,"   Интернет-гипермаркету требуются php-разработчики разного уровня. Заработная плата обсуждается на собеседовании индивидуально.          Что предстоит делать:      Разрабатывать web-приложения для интернет-магазинов;   Поддерживать существующий код;   Предлагать свои решения.          Что ожидаем:      Опыт работы с PHP, MySQL;   Не бояться командной строки;   Хотеть работать с git;   Понимать технологию LAMP.          Что предлагаем:        Оформление по ТК РФ;       График работы: 5/2 с 10.00 до 19.00, либо удобный для Вас график в рамках 8-часового рабочего дня (по пятницам сокращенный день);       Возможность периодической удаленной работы;       Ст. метро Кантемировская, 5 мин. пешком;       Возможность дополнительного обучения;       Программа лояльности на приобретение ассортимента интернет-магазина;     Уровень заработной платы обсуждается по результатам собеседования.   ",Полная занятость,Полный день,От 1 года до 3 лет,|PHP|MySQL|HTML,3.0,113218.75,1.0,72792.85714285714,php разработчик,"Опыт работы с PHP, MySQL. Не бояться командной строки. Хотеть работать с git. Понимать технологию LAMP.",Разрабатывать web-приложения для интернет-магазинов. Поддерживать существующий код. Предлагать свои решения.,0.26666666666666666,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1
Москва,Изибук,2019-12-12T17:23:32+0300,"  Обязанности:    - Написания отдельных функций;   - Верстка    Требования:    - Желательно знания CSS, React или Vue, NodeJS     Адекватно относиться к критике.   Желание учиться;   Умение работать с документацией.     Условия:     Работа в офисе;   ст. метро Парк Культуры (3 минуты пешком);   График работы: 5/2 Пн-пт с 9:00 до 19:00 (обсуждается);   Своевременная выплата заработной платы;   Работа в соответствии с ТК;   Перспективы профессионального роста.   ",Полная занятость,Полный день,Нет опыта,|CSS|Грамотность|Корпоративная этика|JavaScript,,80000.0,,50000.0,junior fronted разработчик,"Желательно знания CSS, React или Vue, NodeJS. Адекватно относиться к критике. Желание учиться. Умение работать с документацией.",Написания отдельных функций. - Верстка.,0.03333333333333333,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
Москва,ФИНАМ,2019-11-25T13:54:17+0300," Мы ищем разработчика С# на внутренний проект развития CRM системы.    Мы ждем от вас:      Опыт работы с С#,.NET, JavaScript, llS, SQL на уровне, достаточном для разработки   Плюсом будет наличие знаний (или желание их прокачать) по MS Dynamics CRM и MS Reporting Services      Актуальные задачи:      Разработка, внедрение и сопровождение существующих и новых бизнес-приложений   Разработка сервисов интеграции CRM c другими учетными системами   Разработка web-приложений   Кастомизация системы MS Dynamics CRM   Разработка отчетов, настройка системы      Мы готовы предложить:      Стабильная &quot;белая&quot; заработная плата, оформление по ТК РФ, медицинская страховка (ДМС со стоматологией), «бонусы» за стаж работы   Офис в историческом центре Москвы – 3 минуты пешком от м. «Пушкинская», «Тверская», «Чеховская»   Просторный опен-спейс с зоной отдыха на крыше, кофе-пойнтами, кухней и недорогим кафе   Гибкий график работы с возможностью смещать начало рабочего дня   Посещение внешних конференций и профильных мероприятий, регулярные внутренние мит-апы и встречи профессиональных сообществ в офисе   Гибкие бизнес-процессы, минимум бюрократии и согласований   Активная корпоративная жизнь – регулярные корпоративные мероприятия, футбольная и волейбольная команды, настольные игры и настольный теннис в офисе      Подробнее о работе в Департаменте информационных технологий  - https://it.finam.ru/ ",Полная занятость,Гибкий график,От 1 года до 3 лет,|MS SQL|C#,3.0,113218.75,1.0,72792.85714285714,разработчик с#,"Опыт работы с С#,.NET, JavaScript, llS, SQL на уровне, достаточном для разработки. Плюсом будет наличие знаний (или желание их...","Разработка, внедрение и сопровождение существующих и новых бизнес-приложений. Разработка сервисов интеграции CRM c другими учетными системами. Разработка web-приложений. ",0.6,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Москва,ИКРАТКОЕ,2019-12-11T11:31:33+0300," В команду для работы на постоянной основе требуется талантливый backend-разработчик с опытом программирования от 3 лет. Интересные задачи, адекватное руководство гарантировано.    От Вас:        Владение PHP 5-7       Во всех новых задачах мы используем самые свежие версии PHP   (При этом есть один проект, использующий PHP 5.6)       Понимание принципов ООП, SOLID, MVC, паттерны проектирования.       Понимание основных парадигм ООП и лучших практик за годы работы.       Использование стандартов PSR       Опыт работы с базой данных (преимущественно Mysql), умение составлять большие sql запросы.       Знание основ HTML, CSS и Javascript       Умение пользоваться системой контроля версий Git       Стремление развиваться и впитывать новое, писать качественный код, общаться с такими же энтузиастами.            Дополнительными плюсами будут:        Профиль и наличие кода на Github       Опыт написания unit-тестов       Опыт работы с Laravel и Vue.js       Опыт(был) или текущая работа с UNIX сис-ми       Опыт работы со сторонними API       Опыт работы с библиотеками: Symfony Components, Intervention Image, Faker и тд.         От Нас:        Возможность влиять на продукт: прислушиваемся к мнению каждого члена команды           Интересная работа, способствующая развитию наших сотрудников       Заработная плата от 100 000 руб/месяц (зависит от вашего уровня)       Оформление по ТК       График работы 5/2 (м.Авиамоторная ТЦ Синица Плаза) гибкое начало рабочего дня — с 9-11 часов     ",Полная занятость,Полный день,От 1 года до 3 лет,|laravel|PHP|MySQL|Vue|Linux|Git,3.0,113218.75,1.0,100000.0,php разработчик,"В команду для работы на постоянной основе требуется талантливый backend-разработчик с опытом программирования от 3 лет. Интересные задачи, адекватное...",Использование стандартов PSR.,0.06666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
Москва,PlayFlock,2019-12-11T17:25:09+0300," Обязанности:     Разработка игровых приложений   Участие в разработке новых проектов   Поддержка и развитие существующих проектов     Требования:     Опыт работы с Unity – от 6 месяцев   Уверенное знание C#   Уверенное владение ООП, понимание основных шаблонов проектирования   Опыт разработки приложений под мобильные платформы (iOS, Android)   Готовность выполнить тестовое задание      Приветствуется:      Опыт работы с OS X   Опыт работы с XCode, Android Studio   Знание Objective-C, Swift, Java, JavaScript   Знание и понимание мобильных ОС   Опыт интеграции сторонних SDK   Опыт написания простых плагинов под мобильные платформы (Android, iOS)   Опыт работы с системами контроля версий   Навыки работы с SDK социальных сетей   Опыт написания расширений редактора Unity     Условия:     Мы находимся в 10 минутах ходьбы от метро ВДНХ в современном бизнес центре с красивым видом на Москву;   Работаем с понедельника по пятницу, с 10 до 19 или с 11 до 20 на ваш выбор;   Ваше трудоустройство будет полностью официальным, уровень дохода обсуждается на собеседовании;   Всегда есть возможность работать над интересными и амбициозными задачами;   В нашей компании есть все для комфортной работы: cэндвичи, фрукты и йогурты на завтрак, чай, кофе в зернах и печеньки в течение дня;   Полная компенсация обедов, отпусков и больничных;   Комнаты отдыха с диванами, массажным креслом, игровыми приставками, бильярдом и настольным теннисом;   Всем сотрудникам оплачивается медицинская страховка, что позволяет им следить за своим здоровьем в лучших клиниках Москвы и фитнес - клуб.        Мы   молод  ой, дружный и творческий коллектив создающий игровые миры, в которые играют миллионы людей, присоединяйтесь!     ",Полная занятость,Полный день,От 1 года до 3 лет,|Unity|C#,3.0,113218.75,1.0,72792.85714285714,unity разработчик,"Опыт работы с Unity – от 6 месяцев. Уверенное знание C#. Уверенное владение ООП, понимание основных шаблонов проектирования. Опыт разработки приложений...",Разработка игровых приложений. Участие в разработке новых проектов. Поддержка и развитие существующих проектов.,0.06666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Москва,Первый Бит,2019-11-28T18:52:27+0300," В связи с запуском в компании новой LMS системы приглашаем в команду разработчика онлайн курсов.    Что будет входить в обязанности:       составление структуры будущего учебного курса;   разработка концепций с использованием методов геймификации и сторителлинга;   проработка материалов с точки зрения педагогического дизайна;   проработка интерактивов и механик работы будущего курса;   подбор контента;   выделение ключевых мыслей и стилистическая адаптация текста;   взаимодействие с экспертами, проведение интервью для сбора дополнительной информации по материалам курса;   Разработка обучающих и проверочных заданий: кейсов, симуляций, диалоговых тренажеров, тестов и др.      Преимущества вакансии:      Интересная работа в крупной регионально-распределенной структуре;   Творческий простор, возможность влиять на стилистику курсов по компании;   Гибкий график с возможностью работать удаленно;   Сильный руководитель;   Демократичная корпоративная культура IT компании;   Возможности профессионального и карьерного роста, так как направление дистанционного обучения сейчас на стадии старта в компании;   Серьезные отношения с оформлением в штат компании в полном соответствии с ТК РФ.      Кого мы хотели бы видеть на этой позиции:      специалиста с опытом создания уроков по стандартам SCORM;   человека с творческим подходом к делу, готового расти и развиваться в профессии.               ",Полная занятость,Полный день,Нет опыта,|Дистанционное обучение|scorm|webtutor|ispring|Тренинги|онлайн обучение|Обучение,,113218.75,,72792.85714285714,разработчик онлайн курсов sсorm,"Специалиста с опытом создания уроков по стандартам SCORM. Человека с творческим подходом к делу, готового расти и развиваться в профессии.",Составление структуры будущего учебного курса. Разработка концепций с использованием методов геймификации и сторителлинга. Проработка материалов с точки зрения педагогического дизайна. ,0.5,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Джема,2019-12-12T12:54:04+0300," Интернет-магазин MrSleep является одним из ведущих магазинов, осуществляющих продажу ортопедических матрасов, мебели и аксессуаров для сна.   В связи с расширением штата и крупными проектами у нас открыта вакансия  РНР разработчика  для разработки  frontend - и  backend - функционала в офис на полный рабочий день.    Обязанности:      Разработка, оптимизация и поддержка существующих и новых сайтов компании;   Работа с системами контроля версий;   Исправление багов, поиск неисправностей;     Требования:     Опыт PHP от года;   Опыт работы с PHP 5.6-7.* (ООП), Yii2, MySQL, JS, HTML, CSS3, JQuery, AJAX;   Навыки работы с системами контроля версий (git);   Знание принципов MVC      Приветствуются:      знания: gulp, composer, bower, webpack 4   опыт разработки интернет-магазина на 1c-bitrix;   опыт работы с bugtrack-системами.     Условия:     Молодой коллектив и руководство   График работы оговаривается: с 09-00 до 18-00, либо с 10-00 до 19-00   Заработная плата оговаривается на собеседование.   Офис в 3 минутах пешком от ст. метро Нагатинская!   ",Полная занятость,Полный день,От 1 года до 3 лет,|PHP|MySQL|Yii|Ajax|ООП|HTML|CSS3|Git|jQuery|Gulp,3.0,113218.75,1.0,72792.85714285714,разработчик php,"Опыт PHP от года. Опыт работы с PHP 5.6-7.* (ООП), Yii2, MySQL, JS, HTML, CSS3, JQuery...","Разработка, оптимизация и поддержка существующих и новых сайтов компании. Работа с системами контроля версий. Исправление багов, поиск неисправностей.",0.03333333333333333,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1
