city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,управление проектами,управление командой,работа в команде,ms project,английский язык,ведение переговоров,управление персоналом,организаторские навыки,руководство коллективом,управление продажами,other
Москва,NAUMEN,2019-11-29T09:56:28+0300,"  Naumen  – один из IT-лидеров в России*. С 2001 года мы разрабатываем и внедряем интеллектуальные системы и сервисы, которые приносят пользу бизнесу и государству в реальной жизни, а не «на бумаге». Нашими ИТ-продуктами пользуются крупнейшие компании России, входящие в топ-500, из разных отраслей: энергетика, финансовый сектор, телекоммуникации, промышленность, ритейл и госструктуры. Мы амбициозны и не останавливаемся на достигнутом: ежегодно оборот Naumen растет на 30%, количество сотрудников увеличивается на 17%, открываются новые офисы компании.  * ТОП-10 крупнейших разработчиков ПО по числу инсталляций в РФ (по версии TAdviser), разработчик №1 в России в сегменте аутсорсинговых контакт-центров (по версии iKS-Consulting) и входим в ТОП-10 IT  -работодателей России (по версии   HeadHunter  ).    Мы ищем  Руководителя проектов внедрения ПО и роботизированных систем для контактных центров    Naumen Contact Center  – полнофункциональное программное решение для построения средних и крупных контактных центров. В состав решения входит коммуникационная платформа с компонентом Omni-Channel, информационная система управления проектами и прогнозирования рабочей нагрузки (WFM), а также автоматизированные рабочие места оператора и супервизора.  Naumen Erudite  обеспечивает наиболее комфортное общение человека с роботом. Помимо голосовых вызовов, Naumen Erudite может работать со всеми популярными текстовыми каналами, которые приобретают главенствующую роль в сфере клиентского сервиса, включая веб-чат, чат в мобильном приложении, мессенджеры и соцсети. Нашими клиентами являются: Интер РАО ЕС, Почта России, Спортмастер, Банк Россия, Мосэнергосбыт, Moldtelecom и т.д.    Обязанности:      управление проектами по внедрению ПО для контактных центров;   управление проектами внедрения роботизированных систем (чат-боты, голосовые роботы);   планирование, координация и контроль исполнения работ командой проекта, включая субподрядные организации;   взаимодействие с Заказчиком во время выполнения проекта.     Мы ждём, что вы будете заниматься не только административной стороной проекта, но ещё и будете связующим звеном между бизнесом и техническими специалистами (аналитики, инженеры внедрения, программисты). Это требует от кандидата не только навыков управления проектами, но и широкого технического кругозора и базовых аналитических способностей. От вас требуется погружение в тематику контактных центров, а также современных технологий распознавания речи, синтеза речи, методик машинного обучения.  Наш идеальный кандидат  может сказать обоснованное «нет» клиенту и чётко следит за бюджетом и сроками проекта, не теряется при аббревиатурах SQL, REST и SOAP, может рассказать про несколько вариантов обеспечения отказоустойчивости автоматизированных систем, а также умеет читать схемы и диаграммы.    Требования:      высшее техническое образование, желательно в сфере IT;   опыт участия в проектах внедрения автоматизированных систем в роли руководителя проектов;   опыт формирования отчетов об обследовании, ТЗ и прочей проектной документации;   понимание ГОСТ 34-ой и 19-ой серий;   общие знания методологий управления проектами;   навыки проведения интервью и презентаций;   системное мышление;   организаторские способности;   желание развиваться в предметной области.      Приветствуется:      опыт работы с заказчиками из следующих сфер: банки, сбытовые компании, гос. сектор.   опыт участия в тендерах;   опыт внедрения ПО для контактных центров;   опыт работы аналитиком, главным инженером проекта;   знание нотаций описания бизнес-процессов (BPMN и т.д.);   опыт работы с технологиями распознавания и синтеза речи;   опыт внедрения роботизированных сервисов.      В Naumen мы создали все условия для продуктивной и интересной работы:      индивидуально обсуждаем с каждым кандидатом зарплатные ожидания;   лояльный график работы и минимум бюрократии;   работа в команде профессионалов в атмосфере взаимопомощи и поддержки;   реальная возможность влиять на развитие и качество продукта;   возможность профессионального обучения за счет компании;   мы поддерживаем развитие ИТ-сообщества и обмен опытом: участвуем во внешних и внутренних конференциях не только в качестве слушателя, но и в качестве спикера, обучаем школьников и студентов программированию, проводим собственные образовательные программы;   практикуем индивидуальное планирование карьеры, Performance Review 2 раза в год (80% ключевых сотрудников компании выросли внутри Naumen);   заботимся о здоровье наших сотрудников:    ДМС сразу после испытательного срока: посещение специалистов в лучших поликлиниках и стоматологиях города, вызов врача на дом, госпитализация, телемедицина;   полис выезжающих за рубеж (покрытие весь мир);   вакцинация от гриппа;       насыщенная корпоративная жизнь компании: яркие корпоративы, поздравления с календарными и профессиональными праздниками. Подарки в честь значимых событий в жизни сотрудников: рождение ребенка, свадьба, подарки детям на Новый год;   поддерживаем любовь к спорту: возможна частичная компенсация занятий спортом, компенсация аренды футбольного зала в размере 50 %, проходят занятия по мини-футболу, есть спортивная зона с кикером;   современный и комфортный офис в центре (м. Пролетарская/ м. Крестьянская застава в 5 минутах ходьбы). Уютные зоны отдыха и питания для сотрудников на каждом этаже, лаунж-зона на крыше с видом на город.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,170956.52173913046,1.0,106268.29268292684,руководитель,"Высшее техническое образование, желательно в сфере IT. Опыт участия в проектах внедрения автоматизированных систем в роли руководителя проектов. ","Управление проектами по внедрению ПО для контактных центров. Управление проектами внедрения роботизированных систем (чат-боты, голосовые роботы). Планирование, координация и...",0.4666666666666667,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Мебельная компания «Шатура»,2019-12-06T18:15:11+0300,"  Федеральная мебельная Компания «Шатура» проводит поиск кандидатов на позицию «Руководитель интернет-проектов»!     Обязанности:        Развитие веб-сайта компании     Формирование и управление бюджетом на развитие веб-ресурсов   Администрирование интернет-ресурсов компании   Участие в разработке общей маркетинговой стратегии по части развития веб-сервисов   Управление командой: дизайнер и front-end разработчик, контроль исполнения   Проведение UX тестирование, А/В тесты, анализ продуктовых показателей, контроль достижения запланированных KPI   Оценка и анализ конкурентной среды, формирование предложений по совершенствованию сайта, выработка решений, регулярный мониторинг и анализ трендов   Веб-аналитика: анализ эффективности рекламных кампаний и подготовка предложений по увеличению продаж интернет-магазина   Координация работы контент-менеджеров по поддержке рекламных акций компании и актуальности контента сайтов          Требования:      Успешный опыт работы в онлайн проектах от 3-х лет   Высшее образование   Понимание работы сайтов на платформе Битрикс   Опыт работы с web-аналитикой и юзабилити   Знание систем аналитики сайтов   Опыт участия в разработке интернет-проектов, их внедрении, тестировании и оптимизации   Успешный опыт увеличение конверсии   Опыт работы с репутацией компании в сети   Опыт работы с соцсетями компании: развитие, привлечение подписчиков, проведение активностей   Умение планировать бюджет   Знание маркетинговых основ и каналов продвижения и рекламы   Аналитическое мышление и креативность   Внимание к деталям, самостоятельность, ответственность и честность   Умение работать в режиме многозадачности и высокого темпа      Условия:      Официальное оформление по ТК РФ   Достойный уровень заработной платы (по результатам собеседования)   Выплата заработной платы 2 раза в месяц   Полный социальный пакет   График работы: 5/2   Интересная работа в крупной Компании федерального уровня   Возможности профессионального и карьерного роста   Скидки на продукцию Компании   Поездки в Италию за счет Компании, конкурсы с ценными призами.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Управление интернет-проектами|1С-Битрикс|Веб-аналитика|CSS|Интернет-реклама,3.0,170956.52173913046,1.0,106268.29268292684,руководитель,Успешный опыт работы в онлайн проектах от 3-х лет. Высшее образование. Понимание работы сайтов на платформе Битрикс. ,Развитие веб-сайта компании. Формирование и управление бюджетом на развитие веб-ресурсов. Администрирование интернет-ресурсов компании. Участие в разработке общей...,0.23333333333333334,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Мебельная компания «Шатура»,2019-12-09T16:26:14+0300,"  Федеральная мебельная Компания «Шатура» проводит поиск кандидатов на позицию «Руководитель интернет-проектов»!     Обязанности:        Развитие веб-сайта компании     Формирование и управление бюджетом на развитие веб-ресурсов   Администрирование интернет-ресурсов компании   Участие в разработке общей маркетинговой стратегии по части развития веб-сервисов   Управление командой: дизайнер и front-end разработчик, контроль исполнения   Проведение UX тестирование, А/В тесты, анализ продуктовых показателей, контроль достижения запланированных KPI   Оценка и анализ конкурентной среды, формирование предложений по совершенствованию сайта, выработка решений, регулярный мониторинг и анализ трендов   Веб-аналитика: анализ эффективности рекламных кампаний и подготовка предложений по увеличению продаж интернет-магазина   Координация работы контент-менеджеров по поддержке рекламных акций компании и актуальности контента сайтов          Требования:      Успешный опыт работы в онлайн проектах от 3-х лет   Высшее образование   Понимание работы сайтов на платформе Битрикс   Опыт работы с web-аналитикой и юзабилити   Знание систем аналитики сайтов   Опыт участия в разработке интернет-проектов, их внедрении, тестировании и оптимизации   Успешный опыт увеличение конверсии   Опыт работы с репутацией компании в сети   Опыт работы с соцсетями компании: развитие, привлечение подписчиков, проведение активностей   Умение планировать бюджет   Знание маркетинговых основ и каналов продвижения и рекламы   Аналитическое мышление и креативность   Внимание к деталям, самостоятельность, ответственность и честность   Умение работать в режиме многозадачности и высокого темпа      Условия:      Официальное оформление по ТК РФ   Достойный уровень заработной платы (по результатам собеседования)   Выплата заработной платы 2 раза в месяц   Полный социальный пакет   График работы: 5/2   Интересная работа в крупной Компании федерального уровня   Возможности профессионального и карьерного роста   Скидки на продукцию Компании   Поездки в Италию за счет Компании, конкурсы с ценными призами.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Управление интернет-проектами|1С-Битрикс|Веб-аналитика|CSS|Интернет-реклама,3.0,170956.52173913046,1.0,106268.29268292684,руководитель,Успешный опыт работы в онлайн проектах от 3-х лет. Высшее образование. Понимание работы сайтов на платформе Битрикс. ,Развитие веб-сайта компании. Формирование и управление бюджетом на развитие веб-ресурсов. Администрирование интернет-ресурсов компании. Участие в разработке общей...,0.13333333333333333,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Компэл,2019-12-03T09:05:46+0300," Обязанности:   1. руководить IT проектами, реализуемыми с участием внешних специалистов: - следить за соблюдением выбранной методологии ведения проекта и прочих требований заказчика - контролировать соблюдение рамок, графика и бюджетом проекта, своевременно инициировать корректирующие мероприятия при отставании от графика - обеспечивать внешних специалистов информацией о существующей инфраструктуре и программном обеспечении, - осуществлять контроль трудозатрат. - осуществлять эскалацию и разбор конфликтных ситуаций. - управлять рисками проекта 2. выполнять функции бизнес-аналитика в части выявления требований и последующей их валидации, выделять MVP - участвовать в приемочном тестировании и настройке системы, 3. постоянные коммуникации с заказчиком через статус-митинги, планирование, приоритизацию, согласование и демонстрацию результатов спринтов   Требования:     ​​​​​​​Образование: высшее   Английский (не ниже - pre-intermediate)   Опыт руководства IT проектами, исполняемых внешними подрядчиками, на стороне Заказчика в роли Руководителя проекта, а также имеется и/или в роли Бизнес-аналитика - не менее 5 завершенных проектов с бюджетом от 10 млн. руб.   Профессиональные компетенции: - Широкий кругозор в области современных IT технологий, методологий производства программного обеспечения, включая веб технологии. Умение выявить и точно сформулировать на языке заказчика бизнес-требования и перевести их в требуемый формат документации. Умение декомпозировать требования, выделять MVP, планировать спринты. Проводить оценку рисков и управлять ими. - Знание и умение применять на практике различные методологии управление проектами, включая технику календарного планирования. - Навыки формирования проектной культуры в соответствии с выбранной методологией. - Умение расставлять приоритеты. - Умение взаимодействовать с людьми и мотивировать их - Умение вести переговоры - Навыки управления конфликтами - Самодисциплина   Личные качества: умение работать на результат; умение налаживать и поддерживать конструктивные отношения; умение работать самостоятельно и в команде;     Условия:     ​​​​​​​График работы с 8.30 до 17.30 ч.   Стартовая з/п - руб. (по результатам собеседования).   Социальный пакет: добровольное медицинское страхование; профессиональное обучение.   Офис 2 мин. пешком от ст. МЦК «Новохохловская»   ",Полная занятость,Полный день,Более 6 лет,|Управление проектами|MS Project|Английский язык|Управление рисками|Управление командой,,170956.52173913046,6.0,106268.29268292684,руководитель,"Образование: высшее. Английский (не ниже - pre-intermediate). Опыт руководства IT проектами, исполняемых внешними подрядчиками, на стороне Заказчика в роли Руководителя...","1. руководить IT проектами, реализуемыми с участием внешних специалистов: - следить за соблюдением выбранной методологии ведения проекта и прочих требований заказчика. - ",0.3333333333333333,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1
Москва,ЮНИСТРИМ БАНК,2019-12-04T12:13:06+0300," Обязанности:       Взаимодействие с командами проектов;       Методологическая поддержка проектных команд на всех этапах жизненного цикла проекта;       Контроль сроков, бюджета, предложение корректирующих мер;   Взаимодействие со всеми структурными подразделениями Банка;       Взаимодействие с администраторами проектов, постановка задач, контроль внутри команды проектного офиса;       Участие в разработке и внедрении регламентных процедур в части управления проектами;       Подготовка отчетности по проектам;       Участие в процессе автоматизации проектной деятельности.       Требования:       Опыт работы в ИТ-проектах / общебанковских проектах;       Опыт работы в банках в роли руководителя проекта, проектного менеджера;       Знание методологий управления проектами;       Опыт подготовки отчетности, работы с большим объемом данных;     Развитые коммуникативные навыки.     Условия:       Интересные задачи и проекты ;       Оформление по ТК РФ;       Официальная заработная плата (уровень оплаты труда, обсуждается с успешным кандидатом на собеседовании);       График работы 5/2 пн-чт с 09.30 до 18.15 пятница 09.30-17.00;       Месторасположение- м. Динамо (10 мин.пешком);     Демократичная атмосфера.   ",Полная занятость,Полный день,От 3 до 6 лет,|Управление проектами|Ведение отчетности|Написание процедур,6.0,170956.52173913046,3.0,106268.29268292684,руководитель,"Опыт работы в ИТ-проектах / общебанковских проектах. Опыт работы в банках в роли руководителя проекта, проектного менеджера. Знание методологий управления...","Взаимодействие с командами проектов. Методологическая поддержка проектных команд на всех этапах жизненного цикла проекта. Контроль сроков, бюджета, предложение корректирующих мер. ",0.3,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Москва,СтандартПроект,2019-11-29T12:43:59+0300," Руководитель IT проектов (с компетенциями бизнес-анализа)    Мы СтандартПроект.    Более 20 лет мы являемся лидером в области разработки высокоинтеллектуальных информационных корпоративных систем масштаба Big Data для государственных органов. Многие из наших решений используются на федеральном уровне.   Уже больше года у нас действует лаборатория инновационных продуктов для бизнеса (B2B). Продукты разрабатываются и совершенствуются, рынок для них огромен и постоянно растет. Мы расширяемся и приглашаем на работу  Руководителя проектов с хорошим бэкграундом в бизнес-анализе.         Что будет в работе:      Подготовка, согласование и контроль выполнения бюджетов и затрат проектов;   Формирование, согласование и контроль выполнения планов-графиков проектов;   Подготовка и согласование договоров, проектных документов, ТЗ;   Разработка методики по управлению проектами и контроль за её соблюдением;   Контроль за своевременным выпуском и актуализацией проектной документации;   Оформление отчетных и финансовых документов;   Взаимодействие с заказчиком по всем вопросам организации работ по проекту, в том числе определение объема работ, защита и сдача результатов работ, развитие проекта;   Организация взаимодействия рабочей группы;   Управление проектной командой;   Сбор и консолидация статусов, подготовка периодической отчетности в рамках сопровождаемых проектов;   Составление ежемесячных отчетов по выполнению SLA.          Что ожидаем от Вас:     Важно: просим указывать свои зарплатные ожидания в сопроводительном письме!      Высшее образование (техническое и/или управленческое);    Опыт работы в роли руководителя проектов в сфере информационных технологий  от 3х лет. Обучение PMI/знание PMBOK как плюс;   Опыт непосредственного участия в разработке (возможно в далёком прошлом, но для понимания процессов и взаимодействия с командой-очень нужно)   Опыт работы бизнес-аналитиком от 1 года;   Знание ГОСТ 19 и 34;   Опыт работы в SCRUM   Опыт работы с средствами автоматизации управления проектами;   Умение структурировать поступающие задачи, управлять одновременно несколькими проектами;   Умение вести деловую переписку;   Умение вести переговоры, защищать интересы проекта, грамотно отстаивать свою точку зрения, фиксировать результаты.      Мы предлагаем вам:    - Интересную предметную область и сложные технические задачи, возможность развития и роста;   - Высокий уровень оплаты;   - Оформление по ТК РФ и полностью &quot;белая&quot; зарплата   - Работу в команде высококлассных специалистов;   - Возможность обучения и сертификации за счет компании;   - Лучшую технику и лицензии на софт;   - Демократичное руководство, минимум формальностей во взаимодействии;   - Необычный офис в стиле лофт между станциями метро Достоевская (10 минут пешком), Марьина Роща, Менделеевская и Новослободская.   Приходите, Вам у нас понравится!             ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,170956.52173913046,3.0,106268.29268292684,руководитель,Высшее образование (техническое и/или управленческое). Опыт работы в роли руководителя проектов в сфере информационных технологий от 3х лет. ,"Подготовка, согласование и контроль выполнения бюджетов и затрат проектов. Формирование, согласование и контроль выполнения планов-графиков проектов. Подготовка и согласование...",0.4666666666666667,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,БАНК УРАЛСИБ,2019-12-11T16:12:26+0300," Обязанности:     Организация работ подразделения по поддержке и развитию серверного оборудования, систем хранения данных, систем архивирования в целом по Банку, включая регионы.   Разработка нормативной документации, документации для тендеров.   Взаимодействие с поставщиками ИТ-решений,участие в проектах с инфраструктурной составляющей.   Проектирование и реинжиниринг инфраструктурных ИТ сервисов.     Требования:     Опыт построения и трансформации ИТ инфраструктуры предприятий и ЦОДов.   Общие знания применяемых технологий и продуктов в части серверов, СХД, сетевых компонентов, виртуализации рабочих мест.   Знание основ управления ИТ процессами по стандартам ITIL.     Условия:     Оформление по ТК РФ, полный социальный пакет;   График работы: 5/2, с 9.00 до 18.00;   Место работы: г. Москва; ул.Ефремова;   ДМС.   ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,170956.52173913046,3.0,106268.29268292684,руководитель,"Опыт построения и трансформации ИТ инфраструктуры предприятий и ЦОДов. Общие знания применяемых технологий и продуктов в части серверов, СХД, сетевых...","Организация работ подразделения по поддержке и развитию серверного оборудования, систем хранения данных, систем архивирования в целом по Банку, включая регионы. ",0.06666666666666667,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Аут Диджитал,2019-11-20T20:45:04+0300," Мы ищем специалиста, который поможет нам в работе со звездами, блогерами и локальными лидерами мнений. Мы обладаем одной из самых сильных экспертиз на рынке и готовы поделиться своим опытом с вами.    Обязанности:        Подбор блогеров под задачи клиентов с релевантной целевой аудиторией: анализ аудитории, расчет смет, работа с базой лидеров мнений в SMM;       Генерация креативных идей для интеграции у блогеров. Составление тендерных предложений;       Регулярная коммуникация с блогерами и подрядчиками, ведение переговоров;       Формирование отчётов и распределение бюджета;       Ведение документооборота по проектам.       Требования:       Любить YouTube, Facebook, TikTok и Instagram;       Активно следить за развитием площадок. Искать новых звезд;       Знание инструментария и систем аналитики для работы с блогерами;       Структурированность и хорошие навыки планирования;       Понимание трендов и всех возможностей соцсетей.     Отличное знание инструментов Microsoft Office.     Условия:       Работа в паре с топовыми специалистами рынка;       Клиенты, которыми можно гордиться;       Офис в центре Москвы с видом на Новый Арбат и выходом на крышу;       Лекции и сидр два раза в месяц.     ",Полная занятость,Полный день,От 1 года до 3 лет,|Маркетинговый анализ|Креативность|Документооборот|Деловая коммуникация|MS Access,3.0,120000.0,1.0,70000.0,руководитель,"Любить YouTube, Facebook, TikTok и Instagram. Активно следить за развитием площадок. Искать новых звезд. Знание инструментария и систем аналитики для...","Подбор блогеров под задачи клиентов с релевантной целевой аудиторией: анализ аудитории, расчет смет, работа с базой лидеров мнений в SMM. ",0.7666666666666667,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,ИК СИБИНТЕК,2019-11-20T16:35:16+0300,"  Обязанности:      Участие в процессах инициации, планирования, организации и контроля исполнения, завершения проекта.   Управление проектом и проектной командой.   Анализ текущих потребностей профильных подразделений Заказчика.   Участие в выявлении, анализе и документированию требований к информационной системе, ИТ-проекту.   Участие в разработке закупочной документации, инициировании закупочной процедуры.   Организация и контроль заключение доходных и расходных договоров по проекту.   Организация работ по разработке проектной и эксплуатационной документации, в соответствии с требованиями стандартов Заказчика.   Участие в защите решений и согласовании документации.   Участие в подготовке требований к инфраструктуре и расчёте ТСО (с привлечением профильных специалистов).   Мониторинг и контроль реализации проектных работ на предмет соответствия согласованным решениям.   Координация процесса приёмки результатов проектов на поддержку.      Требования:      Знание методик управления проектами: ГОСТ 54869-2011, PMI PMBOK, IPMA.   Опыт работы в области ИТ не менее 3-х лет.   Знание стандартов в области разработки и внедрения ИТ-решений.   Опыт управления проектами по автоматизации бизнес-процессов планирования и учета финансово-хозяйственной деятельности.   Опыт управления проектами по разработке, внедрению и тиражированию информационных систем на платформе 1С или SAP.   Опыт управления проектами связанных с реализацией и внедрением ERP систем.   Высокие навыки управления проектами: управление содержанием проекта, сроками, стоимостью, управление качеством разработанных решений, управление человеческими ресурсами проекта, поставками, коммуникациями, рисками и изменениями в проекте.   Знание интеграции модулей со смежными направлениями.      Условия:      Место работы: м. Деловой центр, бизнес-центр Москва-сити, Башня «Федерация».   График работы 5/2 Пн-Чт. 9.00-18.00, ПТ. 9.00-16.45.   Оформление в соответствии с ТК РФ с первого дня (оплачиваемый отпуск, больничный).   Добровольное медицинское страхование с первого дня.   Корпоративная мобильная связь.   Социальные льготы (спортивные мероприятия, санаторно-курортное лечение).   Внутренний институт обучения.   Все выплаты &quot;белые&quot;.   Возможности для карьерного роста и развития творческого потенциала.   ",Полная занятость,Полный день,От 1 года до 3 лет,|PMBOK|MS Project|Управление проектами|predix,3.0,170956.52173913046,1.0,106268.29268292684,руководитель,"Знание методик управления проектами: ГОСТ 54869-2011, PMI PMBOK, IPMA. Опыт работы в области ИТ не менее 3-х лет. ","Участие в процессах инициации, планирования, организации и контроля исполнения, завершения проекта. Управление проектом и проектной командой. Анализ текущих потребностей профильных...",0.7666666666666667,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
