city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,c++,linux,git,qt,c/c++,ооп,stl,python,tcp/ip,boost,other
Москва,СБК,2019-12-11T13:17:06+0300," В крупный и интересный проект по созданию распределённой системы мониторинга и управления устройствами ищем сильного и опытного С++ разработчика.   Настоящий High Load Production IIoT 4 со множеством интересных задач по работе с оборудованием и &quot;верхним&quot; уровнем по MQTT протоколу.   Проект на начальной стадии, команда комплектуется.    Обязанности:      Разработка архитектурных решений с применением ООП и уместных шаблонов проектирования;   Разработка по scrum (сроки, stand-up meetings, workflow);   Code review коллег;   Понимание и уважение к legacy (production текущий);   Взаимодействие с техническими специалистами компаний-партнёров и сопровождение ПО на этапе опытной и промышленной эксплуатации.      Требования:      Отличное знание С/С++ 11;   Понимание того, как работает компилятор (для задач оптимизации);   Опыт создания высоконагруженных сервисов;   Отличное знание сетевого стека;   Linux, Git, Redmine/Jira, Valgrind, Cppcheck.      Желательно:      MQTT (mosquitto);   Qt GUI;   Опыт работы с базами данных PostgreSql, SQLite (знание SQL);   RS232/485, Ethernet, USB   Clang;   Умение работать в команде. Ценим инициативность и приверженность к самосовершенствованию.      Плюсами будут:      Опыт работы с CI.      Условия:      Оформление строго в соответствии ТК РФ   Дружный молодой коллектив   Гибкое начало рабочего дня   Комфортный офис в пешей доступности от метро расположен в 10 минутах ходьбы от станции метро «Савёловская»   ",Полная занятость,Полный день,От 3 до 6 лет,|Git|Linux|Qt|PostgreSQL|C/C++|SQLite|Scrum|Redmine|IIoT|Boost|ООП|C++,6.0,150000.0,3.0,120000.0,ведущий разработчик с++,"Отличное знание С/С++ 11. Понимание того, как работает компилятор (для задач оптимизации). Опыт создания высоконагруженных сервисов. Отличное знание сетевого...","Разработка архитектурных решений с применением ООП и уместных шаблонов проектирования. Разработка по scrum (сроки, stand-up meetings, workflow). ",0.06666666666666667,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
Москва,Пи Джи групп,2019-12-11T12:25:46+0300," Обязанности:     Разработка приложений для Linux (POS терминалы, вендинговое оборудование и платёжные решения);   Работа со встроенным ПО под Linux, дистрибутив Poky (Yocto)   Взаимодействие с окружением (остальной софт нашей компании)     Требования:     Опыт работы на С / C++ - обязательно, необходимы примеры реализованных проектов   Опыт от 2 лет и выше   Знание Linux на уровне опытного пользователя   Опыт работы с embedded-устройствами на базе Linux (Raspberry, BeagleBone или др.)   Английский язык на уровне чтения технической документации      Большими преимуществами являются:      Опыт работы с вендинговыми протоколами: MDB, EXE, EVA-DTS и прочими   Опыт разработки на Qt или QML   Опыт работы с Yocto, BitBake, OpenEmbedded   Опыт работы с openssl, ЭЦП и алгоритмами шифрования   Опыт разработки или модификации модулей ядра Linux   Очень большой плюс - опыт работы с Linux ARM SecureBoot   Приветствуется опыт работы со смарт картами (ISO7816, ISO/IEC 14443)   Опыт работы TCP/IP стеком   Понимание принципа работы GNU make, cmake, qmake   Опыт работы с командными инструментами: система контроля версий (Git или другое), система управления проектом (Trello или другое).     Условия:     График работы 5/2;   Официальная заработная плата обсуждается на собеседовании с успешными кандидатами;   Испытательный срок 3 месяца или меньше по результатам собеседования;   Чай, кофе, печеньки и прочие радости;   Молодой дружный и весёлый коллектив.   Офис в 300 метрах от метро Автозаводская (планируется переезд на м. Бутырская - 50 м. от метро)   ",Полная занятость,Гибкий график,От 3 до 6 лет,|Linux|C|C++|Embedded|Yocto|EVA-DTS|QML|NFC|EMV,6.0,150000.0,3.0,120000.0,разработчик с++ software разработчик,"Опыт работы на С / C++ - обязательно, необходимы примеры реализованных проектов. Опыт от 2 лет и выше. Знание Linux на уровне...","Разработка приложений для Linux (POS терминалы, вендинговое оборудование и платёжные решения). Работа со встроенным ПО под Linux, дистрибутив Poky (Yocto). ",0.06666666666666667,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Москва,ФГУП НПП Гамма,2019-12-06T14:59:07+0300,"  Центр перспективных разработок и исследований в составе компании ФГУП «НПП «Гамма»     http://www.nppgamma.ru/about/   В нашем R&amp;D Центре ведется разработка программного обеспечения и решений корпоративного масштаба в области информационной безопасности. Клиентами нашего Центра выступают как государственные, так и коммерческие компании.   Разработка ПО выполняется по индивидуальным требованиям заказчика с применением наших существующих базовых продуктов. В ходе разработки ПО применяется подход Agile Scrum, в котором делается акцент на качественном контроле процесса разработки.   Наша философия заключается в поощрении уважения, диалога, взаимодействия и сотрудничества на глубоком уровне между своими специалистами и заказчиками. Этим Центр обеспечивает наилучший способ повышения качества своих продуктов и стремится к созданию вдохновляющих и побуждающих условий для процветания талантливых людей.        Функциональные обязанности:       Разработка графических интерфейсов;   Написание стилей;   Интеграция с back-end.          Требования к кандидату:      Хорошее знание C++11 и STL;   Опыт использования Qt, QML, QtQuick;   Знание QtWidgets, Qt Mode/lView Framework   Навыки проектирования GUI   Знание классических шаблонов структур проектирования, данных и принципов ООП;   Опыт работы с системой контроля версий (git);          Условия:      Оформление согласно ТК РФ;   Официальная заработная плата;   Конкурентный уровень заработной платы по рынку;   Возможность выбрать время начала рабочего дня.      И еще:      Молодой (но не юный), позитивный коллектив;   Отсутствие дресс-кода и уважение к ценностям каждого сотрудника;   Вкусный кофе и отдельное место для его совместного распития ;)   Возможность посещать профильные международные и российские конференции;   Выход компании на международный рынок в будущем.      Уровень зарплаты:  определяется по результатам собеседования.    Адрес места работы:  г. Москва, ул. Профсоюзная, в 5 минутах ходьбы от метро Калужское. ",Полная занятость,Полный день,От 1 года до 3 лет,|C++|Qt|STL|Qt Mode|GUI|QtQuick|QML,3.0,150000.0,1.0,120000.0,с++ разработчик – разработчик,"Хорошее знание C++11 и STL. Опыт использования Qt, QML, QtQuick. Знание QtWidgets, Qt Mode/lView Framework. Навыки проектирования GUI. ",Разработка графических интерфейсов. Написание стилей. Интеграция с back-end.,0.23333333333333334,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
Москва,1С,2019-11-25T09:41:39+0300," Проект разработки  универсального полнотекстового поискового сервиса  в рамках технологической платформы &quot;1С:Предприятие&quot; включает в себя: - нетривиальные математические задачи и алгоритмы обработки данных; - разработку высоконагруженных сервисов: многопоточность, конкурентность, отказоустойчивость, распределённость; - работу с естественными языками.    От Вас ждём:      Обязательное знание стандарта С++11 (будет плюсом знание С++14 и С++17).   Знание библиотек: std, boost (будет плюсом знание libcurl, libuv, libxml++ и т.п.)   Знание основ COM, DCOM.      Будет плюсом:      знание Linux Kernel API;   cmake;   clang;   gcc.     Поисковый сервис будет универсальным, гибким фреймворком общего назначения, с возможностью его настройки под различные условия работы и нагрузки.     Есть возможность заняться разработкой с уклоном в:  - лингвистические алгоритмы; - анализ текстов; - оптимизацию алгоритмов; - проектирование и реализацию распределённых систем; - автоматизацию тестирования; - и многое другое!     Мы ценим и всячески поощряем людей:  - кто талантлив, умён и с чувством юмора; - кто прочёл и понял все книги Р. Мартина и М. Фаулера; - кто в меру ленив, чтобы больше думать и меньше писать кода; - кто не гоняется за формализмами и KPI, а зрит в корень проблемы; - для кого слово solid - это не что-то твёрдое и сплошное, а нечто бОльшее; - у кого круг интересов в программировании значительно шире списка представленных технологий;    Если ваши амбиции адекватны и соразмерны вашим способностям, мы постараемся создать вам условия для самореализации!     Мы предлагаем:  - профессиональный и карьерный рост вместе с ростом вашей команды; - опыт работы с талантливыми профессионалами, у которых есть чему научиться; - современный комфортный офис в 5-ти минутах ходьбы от м. Тимирязевская; - зоны отдыха и кофе-поинты; - стабильную и конкурентоспособную заработную плату; - расширенный социальный пакет (хорошо решены вопросы медицинского обслуживания (страхования), питания, проезда, спорта); - бесплатную охраняемую парковку на территории офиса.   Разработчик, программист, инженер-программист, девелопер, разработка ПО, C++ разработчик, C++ программист, С++ developer ",Полная занятость,Полный день,Нет опыта,,,150000.0,,120000.0,с++ senior разработчик,"Обязательное знание стандарта С++11 (будет плюсом знание С++14 и С++17). Знание библиотек: std, boost (будет плюсом знание...",Проект разработки универсального полнотекстового поискового сервиса в рамках. Технологической платформы &quot;1С:Предприятие&quot; включает в себя: - нетривиальные математические задачи и...,0.6,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Новые Облачные Технологии,2019-11-25T17:36:49+0300," Наша компания разрабатывает платформу  МойОфис  — продукт для организации корпоративной рабочей среды и совместной работы с документами, включающий в себя полный набор современных офисных приложений для всех популярных операционных систем, веб-браузеров и мобильных платформ. Особое внимание мы уделяем всем аспектам качества: от дизайна и удобства использования, до чистоты кода, уровня покрытия тестами и воспроизводимости сборок.  В команду по разработке ядра для кроссплатформенного редактора документов с возможностью совместного редактирования приглашаем  Ведущего С++ разработчика.     Ваши будущие задачи:      разработка на С++ многоплатформенной библиотеки для редактирования документов;   поддержка и рефакторинг существующего кода;   написание юнит-тестов и интеграционных тестов;   участие в обсуждении и разработке архитектуры.      Для нас важно:      опыт разработки на С++;   знание C++ 11/14/17, STL, boost;   готовность работать с linux, MacOS;   знание алгоритмов и структур данных;   знание шаблонов проектирования;   желание изучать новые библиотеки, фреймворки и платформы;   английский язык на уровне понимания тех. документации.      Мы предлагаем:      интересные задачи;   корпоративные мероприятия, тимбилдинги;   работа в коллективе профессионалов, возможность перенять уникальный опыт;   оформление по ТК РФ, полностью официальная заработная плата по результатам собеседования;   офис в историческом центре города (10 мин. от ст. м. пл. Восстания);   возможность изучения английского языка в офисе;   график работы: 5/2 с 10:00 до 19:00/11:00 -20:00;   ДМС со стоматологией после испытательного срока;   оплачиваемые обеды.   ",Полная занятость,Полный день,Более 6 лет,,,157000.0,6.0,74000.0,senior разработчик с++,"Опыт разработки на С++. Знание C++ 11/14/17, STL, boost. Готовность работать с linux, MacOS. Знание алгоритмов и структур...",Разработка на С++ многоплатформенной библиотеки для редактирования документов. Поддержка и рефакторинг существующего кода. Написание юнит-тестов и интеграционных тестов. ,0.6,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,ЮК-Консалтинг,2019-12-09T14:43:47+0300,"     В Научно-производственное предприятие требуется Инженер-программист С++    Обязанности:    -Разработка программных средств для обработки данных, получаемых с беспилотного летательного аппарата.   Требования:   -Опыт разработки на С++, желательно Qt и/или QML/JS, знание стандартной библиотеки, алгоритмов и структур данных.   - Опыт разработки многопоточных и сетевых приложений.   - Опыт написания модульных тестов (GTest или подобное).   - Английский язык на уровне чтения технической документации.   - Базовая подготовка в области цифровой радиосвязи и цифровой обработки радиосигналов будет преимуществом.   Условия:   -Оформление по ТК РФ, оплачиваемый отпуск 28 дней, оплачиваемые переработки   - 13-я зарплата, премии по итогам завершения работ, регулярная индексация заработной платы.   - Возможность для профессионального и карьерного роста.   - Гибкий график, демократичная обстановка в коллективе.     ",Полная занятость,Полный день,От 3 до 6 лет,,6.0,157000.0,3.0,74000.0,разработчик с++ qt,"Опыт разработки на С++, желательно Qt и/или QML/JS, знание стандартной библиотеки, алгоритмов и структур данных. - Опыт разработки многопоточных...","Разработка программных средств для обработки данных, получаемых с беспилотного летательного аппарата. - Базовая подготовка в области цифровой радиосвязи и цифровой обработки...",0.13333333333333333,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,Cинтез-АТ,2019-12-11T13:10:29+0300," Обязанности:     Разработка бизнес-логики приложения, GUI.   Модернизация существующего кода;      Требования:      Опыт программирования на С++,   знание С++ и STL, ООП   Владение английским языком на уровне, достаточном для изучения технической документации.      Будет дополнительным плюсом:      Опыт разработки и понимание принципов построения  GUI    Понимание Design Patterns   Опыт работы с QT   Работа с Git   Опыт разработки 3D приложений с использованием OpenGL     Условия:     Интересные, сложные задачи, возможность постоянного профессионального развития.   Удобный график, замечательный коллектив, демократичное руководство.   Комфортный офис у метро Василеостровская   ",Полная занятость,Полный день,От 1 года до 3 лет,|Qt|C++|ООП|C/C++,3.0,157000.0,1.0,60000.0,разработчик с++ qt,"Опыт программирования на С++. Знание С++ и STL, ООП. Владение английским языком на уровне, достаточном для изучения технической документации. ","Разработка бизнес-логики приложения, GUI. Модернизация существующего кода.",0.06666666666666667,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1
Санкт-Петербург,Wartsila,2019-12-12T11:18:56+0300," Wärtsilä Digital Technologies - центр разработки финской корпорации Wärtsilä. Мы создаём уникальную инфраструктуру взаимодействия для коммерческого судоходства, и наполняем её различными сервисами:     бортовые навигационные системы   диспетчеризация портов   симуляционные тренажеры   системы управления флотом   навигационное приложение для яхтсменов     Компания использует новейшие технологии математического моделирования, машинного обучения и искусственного интеллекта при создании унифицированной облачной платформы для управления операциями во всей морской транспортной экосистеме.   К себе в команду мы ищем  Инженера-программиста С++  в департамент бортовых навигационных систем.    Задачи:      Разработка нового поколения профессионального навигационного ПО для больших судов.   Проектирование отдельных систем. Оценка затрат на разработку функциональности.      Необходимо:      От трёх лет опыта разработки ПО.   Уверенное знание Qt5, Qt Widgets, qss.   Уверенное знание C++11/14/17 (включая ООП, шаблоны, exceptions).   Опыт разработки под Windows и/или Linux.   Опыт разработки параллельных/многопоточных программ.   Знание базовых алгоритмов и структур данных, Design Patterns.   Умение работать в команде.   Технический английский.     Приветствуется:     Знание и опыт работы с OpenGL.   Qt Script, Python, CMake, git, gmock.   Опыт кроссплатформенной разработки.   Умение работать с чужим кодом, в том числе open source библиотеками.      Условия:      Профессиональное развитие в команде высококлассных специалистов   Гибкий график, свободный дресскод   Система премирования   Добровольное медицинское страхование со стоматологией   Оформление по ТК РФ   Корпоративное обучение (English classes, профильные курсы, и т.п.)   Просторный офис с киккером и настольным теннисом в на Васильевском острове. Авто и велопарковка   Чай, кофе, печенье, «фруктовые дни» в офисе   Спортивные и интеллектуальные состязания, яркие праздники, праздники для детей сотрудников, проекты социальной ответственности, и т.д.   ",Полная занятость,Гибкий график,От 3 до 6 лет,|Qt|C++|Python|Linux|Git,6.0,250000.0,3.0,120000.0,разработчик с++,"От трёх лет опыта разработки ПО. Уверенное знание Qt5, Qt Widgets, qss. Уверенное знание C++11/14/17 (включая...",Бортовые навигационные системы. Диспетчеризация портов. Симуляционные тренажеры. Системы управления флотом. Навигационное приложение для яхтсменов. Разработка нового поколения профессионального навигационного ПО...,0.03333333333333333,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1
Санкт-Петербург,Netwrix Corporation,2019-11-25T17:38:36+0300,"  Netwrix Corporation  - международная компания, специализирующаяся на разработке собственного программного продукта. Мы предлагаем единую платформу, которая направлена на обеспечение безопасности IT инфраструктуры наших клиентов. В том числе: мониторинг изменений в локальных и облачных IT сервисах, выявление аномальной активности поведения пользователей, классификация конфиденциальной и критически важной для бизнеса информации, обнаружение угроз для принятия оперативных мер по предотвращению утечки данных. Продукт интересен системным администраторам, специалистам, отвечающим за информационную безопасность и IT-руководству компании.   Мы разрабатываем законченное коробочное решение на Windows/Linux, используемое middle и enterprise бизнесом по всему миру.   Штаб-квартира компании находится в г. Ирвайн, штат Калифорния, (США). Региональные офисы представлены в Огайо (США), Великобритании, странах Бенилюкса, Франции, Германии, Италии, Чехии, Индии, Сингапуре и России (Санкт-Петербург).   Офис в Санкт-Петербурге продолжает активно развиваться. В настоящий момент мы ищем нового специалиста на позицию  С++ Developer.     ОСНОВНАЯ ЗАДАЧА:  Проектирование и программная реализация подсистем, осуществляющих мониторинг, сбор, обработку и сохранение информации об изменениях в компонентах IT инфраструктуры, таких как файловые хранилища, Active Directory, серверы под управлением ОС Windows, базы данных или сетевые устройства, с учётом высоких требований к производительности.    ВАМ ПРЕДСТОИТ:      Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний;   Разрабатывать новые компоненты в рамках микросервисной архитектуры;   Оптимизировать скорость работы и объем потребляемой памяти;   Работать в распределенной команде (СПб – Прага).      МЫ ПРИМЕНЯЕМ:      С++, активно C++ 11/14/17;   Знания алгоритмов и структур данных;   Многопоточные и распределенные вычисления;   MS Visual Studio 2015/2017;   Unit-тесты, интеграционные тесты, code review;   Итеративную методологию разработки.      ЭТА ВАКАНСИЯ ДЛЯ ВАС, ЕСЛИ ВЫ:      Уверенно владеете С++;   Занимаетесь разработкой под Windows;   Любите исследовать, осваивать новые технологии и докапываться до сути;   Загораетесь интересными задачами и доводите начатое дело до конца;   Внимательны к мелочам и ориентированы на качественный результат.      БУДЕТ ПЛЮСОМ:      Опыт использования Active Directory, MS SQL Server и других технологий Microsoft;   Владение языком C#;   Опыт разработки под Linux.      МЫ ПРЕДЛАГАЕМ:      Работу в современном бизнес-центре напротив ст. м. &quot;Старая Деревня&quot;;   Официальное трудоустройство, полное соблюдение ТК РФ;   Конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);   Работу в крутом и реально дружном коллективе с настоящими профи своего дела;   Гибкий график работы, отсутствие дресс-кода и общение на «ты»;   ДМС со стоматологией (включая страховку для выезда за границу);   Корпоративные спортивные программы: скидка на абонемент в зал с бассейном рядом с офисом для сотрудников и членов семьи, аренда залов для командных видов спорта (футбол, волейбол);   Курсы английского языка;   Возможность принимать участие в профессиональных конференциях по всему миру, а также посещать специализированные курсы и тренинги за счет компании;   Приобретение необходимой для работы литературы;   Комфортные рабочие места и современное компьютерное оборудование;   Возможности для профессионального и карьерного роста;   Корпоративные мероприятия на любой вкус;   Маленькие ежедневные радости: кофе, чай, вкусности, кикер, пинг-понг и пр. :)   ",Полная занятость,Гибкий график,От 1 года до 3 лет,|C++|MS Visual Studio|STL|Windows API,3.0,157000.0,1.0,74000.0,разработчик с++ с++ разработчик,"С++, активно C++ 11/14/17. Знания алгоритмов и структур данных. Многопоточные и распределенные вычисления. MS Visual Studio 2015/2017. ","Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний. Разрабатывать новые компоненты в рамках микросервисной архитектуры. ",0.6,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Санкт-Петербург,Netwrix Corporation,2019-11-25T17:38:52+0300,"  Netwrix Corporation  - международная компания, специализирующаяся на разработке собственного программного продукта. Мы предлагаем единую платформу, которая направлена на обеспечение безопасности IT инфраструктуры наших клиентов. В том числе: мониторинг изменений в локальных и облачных IT сервисах, выявление аномальной активности поведения пользователей, классификация конфиденциальной и критически важной для бизнеса информации, обнаружение угроз для принятия оперативных мер по предотвращению утечки данных. Продукт интересен системным администраторам, специалистам, отвечающим за информационную безопасность и IT-руководству компании.   Мы разрабатываем законченное коробочное решение на Windows/Linux, используемое middle и enterprise бизнесом по всему миру.   Штаб-квартира компании находится в г. Ирвайн, штат Калифорния, (США). Региональные офисы представлены в Огайо (США), Великобритании, странах Бенилюкса, Франции, Германии, Италии, Чехии, Индии, Сингапуре и России (Санкт-Петербург).   Офис в Санкт-Петербурге продолжает активно развиваться. В настоящий момент мы ищем нового специалиста на позицию  Senior   C  ++   Developer.     ОСНОВНАЯ ЗАДАЧА:    Проектирование и программная реализация подсистем, осуществляющих мониторинг, сбор, обработку и сохранение информации об изменениях в компонентах IT инфраструктуры, таких как файловые хранилища, Active Directory, серверы под управлением ОС Windows, базы данных или сетевые устройства, с учётом высоких требований к производительности.    ВАМ ПРЕДСТОИТ:      Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний;   Разрабатывать новые компоненты в рамках микросервисной архитектуры;   Оптимизировать скорость работы и объем потребляемой памяти;   Реализовывать тесты и проводить code review;   Работать в распределенной команде (СПб – Прага).      ЭТА ВАКАНСИЯ ДЛЯ ВАС, ЕСЛИ ВЫ:      Уверенно владеете C++, STL, boost;   Имеете практический опыт в области обработки классических структур данных;   Занимаетесь разработкой под Windows;   Загораетесь интересными задачами и доводите начатое дело до конца;   Внимательны к мелочам в своей работе и ориентированы на качественный результат;   Умеете работать как самостоятельно, так и в команде;   Свободно читаете техническую документацию на английском языке;   Плюсом будет, если в ходе своей предыдущей работы Вы сталкивались с Active Directory/SharePoint/Exchange Server/VMware/ HyperV/SQL Server;   Навыки системного программирования (x86/x64) под Windows упростят решение некоторых поставленных перед вами задач.      МЫ ПРЕДЛАГАЕМ:      Работу в современном бизнес-центре напротив ст. м. &quot;Старая Деревня&quot;;   Официальное трудоустройство, полное соблюдение ТК РФ;   Конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);   Работу в крутом и реально дружном коллективе с настоящими профи своего дела;   Гибкий график работы, отсутствие дресс-кода и общение на «ты»;   ДМС со стоматологией (включая страховку для выезда за границу);   Корпоративные спортивные программы: скидка на абонемент в зал с бассейном рядом с офисом для сотрудников и членов семьи, аренда залов для командных видов спорта (футбол, волейбол);   Курсы английского языка;   Возможность принимать участие в профессиональных конференциях по всему миру, а также посещать специализированные курсы и тренинги за счет компании;   Приобретение необходимой для работы литературы;   Комфортные рабочие места и современное компьютерное оборудование;   Возможности для профессионального и карьерного роста;   Корпоративные мероприятия на любой вкус;   Маленькие ежедневные радости: кофе, чай, вкусности, кикер, пинг-понг и пр. :)   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,157000.0,1.0,74000.0,senior с++ разработчик ведущий с++ разработчик,"Уверенно владеете C++, STL, boost. Имеете практический опыт в области обработки классических структур данных. Занимаетесь разработкой под Windows. ","Погрузиться в детали работы компонентов, используемых в IT инфраструктурах крупных компаний. Разрабатывать новые компоненты в рамках микросервисной архитектуры. ",0.6,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
