city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,тестирование,sql,функциональное тестирование,atlassian jira,git,тестирование пользовательского интерфейса,linux,java,python,test case,other
Москва,Фаззи Лоджик Лабс,2019-12-12T08:30:09+0300,"  Компания Фаззи Лоджик Лабс ищет специалиста по тестированию продуктов компании. Данная позиция совмещает в себе функции тестировщика и бизнес-аналитика. Область предлагаемых задач простирается от составления тест-планов и разработки тестовых сценариев на основании требований до проведения различных видов тестирования (функциональное, интеграционное, регрессионное, …) с последующей регистрацией дефектов и контролем их исполнения.      Обязанности:     - Взаимодействие со всей командой: разработчиками, аналитиками и представителями от бизнеса;   - Составление и актуализация тестовой документации (тест-кейсы, чек-листы, тест-планы);   - Проведение тестирования;   - Анализ, систематизация и составление подробного описания найденных в процессе тестирования ошибок;   - Документирование обнаруженных ошибок и контроль их исполнения;   - Участие в процессах внедрения.    Требования (необходимые компетенции):    - Опыт работы в области тестирования ПО   - Знание и понимание методик тестирования;   - Понимание принципов разработки и тестирования ПО;   - Опыт работы с технической документацией (технические задания, постановки на доработку);   - Понимание устройства веб-приложения, серверной части, сервисов и их взаимодействия;   - Коммуникационные навыки и умение работать в команде;   - Умение последовательно, понятно и грамотно излагать мысли в устной и письменной формах;   - Внимательность, критический склад ума, аналитические способности.     Приветствуется (будет плюсом)  :    - опыт тестирования API;   - опыт работы с Oracle DB: составление SQL запросов, чтение pl\sql процедур;   - опыт работы с очередью AcitiveMQ;   - базовые знания технологий: SOAP, HTML, Java, XML/XLST, Json;   - анализ лог-файлов;     Условия:         - Молодой, дружный коллектив профессионалов.   - Интересный проект.   - Достойный уровень дохода   - Белая ЗП и официальное устройство по ТК.   - Гибкий график, возможность удаленной работы.   - Офис в районе м.Серпуховская     ",Полная занятость,Полный день,От 1 года до 3 лет,|Регресcионное тестирование|Тестирование|Тестирование пользовательского интерфейса|Функциональное тестирование|Test case|Проведение тестирований|JavaScript|SoupUI|Разработка проектной документации|Atlassian Jira|SQL|Разработка технических заданий|ORACLE|Java|MySQL|Техническая документация,3.0,56000.0,1.0,52857.142857142855,тестировщик,Опыт работы в области тестирования ПО. - Знание и понимание методик тестирования. - Понимание принципов разработки и тестирования ПО. - Опыт работы с...,Компания Фаззи Лоджик Лабс ищет специалиста по тестированию продуктов компании. Данная позиция совмещает в себе функции тестировщика и бизнес-аналитика. ,0.03333333333333333,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1
Москва,Информационное агентство России ТАСС,2019-12-04T11:19:41+0300," Что нужно будет делать:     Заниматься тестированием наших приложений.   Тестировать работу CMS/CRM-систем/мобильных приложений/Web.   Разрабатывать документацию по тестированию.   Выявлять, документировать и верифицировать дефекты.   Взаимодействовать с командой разработки и другими командами.   Погружаться в архитектуру разрабатываемых продуктов.     Мы ищем сотрудника, который:     Обладает опытом тестирования от 2-х лет.   Знает различные методологии тестирования.   Умеет составлять тестовую документацию (bug/case/check-list).   Имеет опыт работы в Jira, Confluence.     Плюсами будут:       Опыт в тестировании новостных сайтов с большим количеством клиентов.       Опыт в тестировании серверной части приложения API.       Навыки работы с Linux-консолью.       Навыки работы с SQL, Git, Bash.       Знание какого-либо языка(ов) программирования.     ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,56000.0,1.0,52857.142857142855,тестировщик,"Обладает опытом тестирования от 2-х лет. Имеет опыт работы в Jira, Confluence. Плюсами будут: Опыт в тестировании новостных сайтов...","Тестировать работу CMS/CRM-систем/мобильных приложений/Web. Разрабатывать документацию по тестированию. Выявлять, документировать и верифицировать дефекты. Взаимодействовать с командой...",0.3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Кадровое агентство Юнити,2019-11-18T09:21:10+0300,"   Крупная российская страховая компания ищет к себе в команду Аналитика-тестировщика 1С      Обязанности:      Ручное и автоматизированное  тестирование  систем на платформе  1С ;   Тестирование процессов интеграции;   Взаимодействие с внутренними и внешними аналитиками/разработчиками и специалистами тестирования в части решения задач по приемке обновлений/функциональностей/доработок ПО;   Предоставление отчетности и фиксирование результатов по процессу тестирования в рамках установленного функционала;   Написание тест-планов (матриц тестирования), ведение и актуализация тестовых сценариев;   Работа с проектной документацией (бизнес-требования, технические задания)      Требования:       Высшее техническое образование;    Опыт работы в сфере тестирования ПО от 1 года - обязательно;   Знание основных принципов работы с объектами 1С.8 – справочники, документы, регистры, отчеты;   Опыт в проведении тестирования реализованного функционала на платформе 1С.8. Опыт составления тестовых примеров автоматизации тестирования будет преимуществом;   Опыт работы с багтрекинговыми системами.     Условия:     Официальное трудоустройство по ТК РФ на   срочный трудовой договор  ;   Заработная плата (от 100 000 рублей +, обсуждается);   Возможность карьерного роста после успешно выполненных проектов;   График 5/2, гибкое начало дня;   Комфортабельный офис класса А в центре Москвы.      Благодарим за внимание к нашей вакансии!  ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,56000.0,1.0,100000.0,тестировщик,Высшее техническое образование. Опыт работы в сфере тестирования ПО от 1 года - обязательно. Знание основных принципов работы с объектами 1...,Ручное и автоматизированное тестирование систем на платформе 1С. Тестирование процессов интеграции. Взаимодействие с внутренними и внешними аналитиками/разработчиками и...,0.8333333333333334,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,Черехапа Страхование,2019-11-21T12:32:42+0300," Cherehapa - marketplace по продаже страховок, креативная команда неравнодушных людей.   Наша главная цель b2c. Мы работаем для клиента, мы ищем целеустремленных специалистов, которые будут развивать инновационные проекты вместе с нами.   Наша задача сделать жизнь клиента проще.    Задачи:      Ручное тестирование программного обеспечения;   Анализ и уточнение требований;   Создание тест-кейсов;   Взаимодействие с командой разработчиков.     Что мы ждем от вас:     Опыт работы от 1 года;   Увлеченность IT сферой;   Знание методологии разработки и тестирования программного обеспечения.      Что мы можем предложить:      Работа в быстрорастущей компании на передовой продуктовой IT разработки;   Дружный коллектив, адекватный менеджмент, отсутствие бюрократии;   Широкие возможности для саморазвития и самореализации;   Интересные задачи непосредственно влияющие на бизнес компании, притом быстро, легко заметить итоги;   Хотите конференций и курсов? Поощряем и помогаем;   Белая заработная плата (размер обсуждается по итогам собеседования);   Гибкий график работы, удобный и для сов, и для жаворонков;   Уютный офис в 7 минутах ходьбы от м.Новослободская/Белорусская.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Тестирование пользовательского интерфейса|Работа в команде|Бизнес-анализ|Креативность|Тестирование,3.0,56000.0,1.0,52857.142857142855,тестировщик,Опыт работы от 1 года. Увлеченность IT сферой. Знание методологии разработки и тестирования программного обеспечения.,Ручное тестирование программного обеспечения. Анализ и уточнение требований. Создание тест-кейсов. Взаимодействие с командой разработчиков.,0.7333333333333333,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Москва,НПО Аналитика,2019-11-19T22:49:55+0300," Обязанности:     Ручное и автоматизированное тестирование ПО   Поиск и регистрация ошибок   Разработка методик и сценариев тестирования.      Требования:    - Высокий уровень ответственности    Дополнительным преимуществом будет:      Начальные знания SQL или javascript или C#   Знание теории тестирования (виды, методы, этапы, техники тестирования)   Опыт разработки автоматизированных тестов.     Условия:      Привлекательнее, чем у любых других игроков на рынке в этой индустрии    Перспективы карьерного роста   Обучение по продукту при трудоустройстве     Проявленный героизм оплачивается отдельно     Официальное трудоустройство   ",Полная занятость,Полный день,Нет опыта,|SQL|JavaScript|C#,,40000.0,,30000.0,тестировщик,"Начальные знания SQL или javascript или C#. Знание теории тестирования (виды, методы, этапы, техники тестирования). Опыт разработки автоматизированных тестов.",Ручное и автоматизированное тестирование ПО. Поиск и регистрация ошибок. Разработка методик и сценариев тестирования.,0.8,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
Москва,ZTE Corporation,2019-12-10T09:23:56+0300," Обязанности:       Проведение предпродажного тестирования оборудования в соответствии с программой-методикой заказчика ( CPE/ONT, желательно знания или желание развиваться по GPON, MSAN, оборудование питания /power equipment,)       Ввод в эксплуатацию и техническое сопровождение поставляемого оборудования заказчику       Консультации подрядных организаций по монтажу поставляемого оборудования       Работа в команде по устранению проблем с оборудованием       Тестирование оборудования на соответствие требованиям заказчика и работа в команде по устранению несоответствия таковым       Техническая консультация работников из других департаментов       Требования:       Знание модели OSI, стека протоколов TCP/IP.       Понимание принципов работы Ethernet, VoIP, SIP       Знание протоколов динамической маршрутизации RIP, OSPF, IS-IS, BGP, PIM, а также MPLS.       Понимание стандартов и протоколов - VLAN, STP/RSTP/MSTP, Port security, ACL, NAT/PAT, QOS       Знание протоколов обеспечения широкополосного доступа - PPPOE, L2TP/PPPTP, IPOE       Желателен опыт работы с активным управляемым сетевым оборудованием второго и третьего уровней       Работа с утилитами wireshark (или аналогичными), ftp/tftp серверным ПО, SNMP браузерами.       Технический и intermediate английский.       Условия:     Высокая заработная плата   Оформление через кадровую компанию (аутсорсинг)   Полное соблюдение ТК РФ   ",Полная занятость,Полный день,Более 6 лет,|TCP/IP|Английский язык|Mac Os|Аутсорсинг,,56000.0,6.0,52857.142857142855,тестировщик,"Знание модели OSI, стека протоколов TCP/IP. Понимание принципов работы Ethernet, VoIP, SIP. Знание протоколов динамической маршрутизации RIP, OSPF, IS...","Проведение предпродажного тестирования оборудования в соответствии с программой-методикой заказчика ( CPE/ONT, желательно знания или желание развиваться по GPON, MSAN...",0.1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Москва,Эльфин,2019-12-04T10:04:02+0300," Если Вы         устали от пустой корпоративной суеты,   ищете динамики в развитии собственных скиллов,   являетесь приверженцем гибких методологий разработки,   любите и умеете глубоко погружаться в предметную область,   открыты к новым технологиям и творчески подходите к решению задач,   готовы быстро реализовывать бизнес-идеи (вплоть до «утром идея - вечером в проде»)         То Вам - к нам. Мы - компания ElFin, финтех стартап, резидент Сколково. Одно из основных направлений нашей деятельности - развитие и сопровождение платформы автоматизации бизнес-процессов на основе BPMS-ядра в микросервисной архитектуре.       У нас вам понадобятся         Знания методик и видов ручного тестирования   Опыт проведения ручного UI-тестирования   Навыки составления тест-кейсов и чек-листов по требованиям и с учётом взаимосвязей функционала   Понимание жизненного цикла разработки фичей   Навыки описания дефектов для разработчика   Умение объяснять функционал системы   Навыки анализа дефектов (в т ч с продуктивной среды)   Знание REST API ( будет плюсом )   Нотации BPMN/DMN ( будет плюсом )         У нас вы научитесь (либо прокачаете скиллы по)         Тестированию процессных приложений   Модульному и интеграционному тестированию компонент программного комплекса в микросервисной архитектуре   Анализу требований и их оптимизации по результатам тестирования прототипа   Выявлять и учитывать зависимости между компонентами системы и их функционалом             Сотрудники нашей команды:         Оформлены по ТК РФ, получают «белую» зарплату   Работают в офисе на ст. м. Белорусская   Обеспечены ДМС   Не менее раза в год проходят обучение и посещают тематические конференции и митапы   Помогают друг другу и открыты к общению   ",Полная занятость,Полный день,От 1 года до 3 лет,|BPMN|SQL|Atlassian Jira|UML|Scrum,3.0,56000.0,1.0,52857.142857142855,тестировщик,Знания методик и видов ручного тестирования. Опыт проведения ручного UI-тестирования. Навыки составления тест-кейсов и чек-листов по требованиям...,Тестированию процессных приложений. Модульному и интеграционному тестированию компонент программного комплекса в микросервисной архитектуре. Анализу требований и их оптимизации по результатам...,0.3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
Москва,Алеф ван лтд,2019-11-28T11:11:46+0300," Обязанности:     Написание тестовых сценариев   Тестирование мобильных приложений, сайтов, других программных продуктов   Участие в автоматизации тестирования   Окончательная приемка качества продукта перед сдачей заказчику     Требования:     Опыт работы QA инженером, понимание подхода к организации тестирования   Стабильный канал доступа в интернет   Личный ноутбук или компьютер   Умение разбираться в технической документации к программным продуктам (сайтам, мобильным приложениям и т.д)   Приветствуется: навыки использования инструментов автотестирования: Selenium, JMeter, Katalon, phpunit   Приветствуется: опыт\образование в сфере программирования     Условия:     Удаленная работа   Восьмичасовой рабочий день, 5 дней в неделю   Рабочий день с 10 утра до 7 вечера (Часовой пояс: Санкт-Петербург, Москва)   ",Полная занятость,Удаленная работа,От 1 года до 3 лет,|HTML|PHP|Тестирование|MS Visual Studio|Borland Delphi,3.0,40000.0,1.0,30000.0,тестировщик,"Опыт работы QA инженером, понимание подхода к организации тестирования. Стабильный канал доступа в интернет. Личный ноутбук или компьютер. ","Написание тестовых сценариев. Тестирование мобильных приложений, сайтов, других программных продуктов. Участие в автоматизации тестирования. Окончательная приемка качества продукта перед сдачей...",0.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Москва,Юником,2019-11-18T10:37:14+0300," Юником24 - стремительно развивающаяся IT-компания, разрабатывающая высокотехнологичные решения для рынка финансирования и страхования. Основной продукт компании Юником24 - финансовый маркет unicom24.ru, специализирующийся на предоставлении услуг по подбору кредитов, страховых предложений, предложений по вкладам, а также финансовому и страховому консалтингу.    Что мы ожидаем от кандидата:       знание принципов и методов тестирования WEB-приложений, желание работать и развиваться в данной области;   умение грамотно формулировать мысли в письменном виде, расставлять приоритеты, действовать гибко и динамично в условиях многозадачности;   Знание протоколов HTTP, TCP/IP;   Опыт написание тест-кейсов;   личные качества: ответственность, стрессоустойчивость, внимательность, дружелюбность, стремление к профессиональному развитию.      Чем предстоит заниматься:      проведение и улучшение процесса тестирования веб-приложений:    функциональное тестирование   тестирование производительности системы   стресс-тестирование   юзабилити-тестирование   интеграционное тестирование   регрессионное тестирование   тестирование пользовательского интерфейса   построение пользовательских сценариев       тестирование мобильных приложений. (iOS, Android)   работа с документацией (тестирование, актуализация, внесение комментариев и предложений)   написание и поддержка тест-планов, тест-кейсов, постановка задач, планирование ресурсов на тестирование, приоритизация задач, тесное общение с менеджерами и отделом разработки      Дополнительным плюсом будет:      знакомство с инструментами автоматизационного тестирования (selenium, etc)   опыт тестирования мобильных приложений   опыт работы c Redmine, git, Jenkins   опыт в тестировании API   знания о HTML/CSS, Javascript, SQL   владение одной из ОС Windows/UNIX на уровне опытного пользователя      Условия:      профессиональный рост в серьезном проекте федерального уровня   дружная молодая команда   комфортный современный офис. Удобно расположен, недалеко от метро   Возможна удаленная работа по согласованию с руководителем   оформление по ТК РФ, социальный пакет   полный рабочий день пн-пт,   конкурентная заработная плата с возможностью роста   интересные задачи   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,56000.0,1.0,52857.142857142855,тестировщик,"Знание принципов и методов тестирования WEB-приложений, желание работать и развиваться в данной области. Умение грамотно формулировать мысли в письменном...",Проведение и улучшение процесса тестирования веб-приложений: Функциональное тестирование. Тестирование производительности системы. Стресс-тестирование. Юзабилити-тестирование. Интеграционное тестирование. Регрессионное тестирование. ,0.8333333333333334,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,РБК,2019-12-02T09:18:39+0300," Обязанности:    LOVEPLANET  — сеть мобильных приложений/сайтов для знакомства и общения, начавшая свою работу в 2005 году. Являемся одним из известнейших и старейших сайтов знакомств в Рунете с аудиторией более 25 млн. и входим в группу компаний  РБК .   Наши мобильные приложения ориентированы и развиваются на рынках Европы, США и Азии.   Мы предоставляем специалистам уникальную возможность построить свою карьеру в dating индустрии.       Требования:       Проведение функционального, интеграционного, модульного тестирования (Android/iOS приложения, Веб)       Написание тест кейсов, тестовых сценариев;       Регистрация и контроль исправления дефектов;       Коммуникация с разработкой продукта;       Формирование отчетности по результатам тестирования.       Условия:     Стабильную работу над интересными задачами в профессиональной команде крупного проекта, ориентированной на результат.   Работа над международным продуктом, развивающимся на рынках США, Европы, Японии.   Молодой дружный коллектив.   Офис - ст. м. Калужская (шаговая доступность).   Оформление в соответствии с трудовым законодательством РФ.   Заработная плата обсуждается индивидуально с успешным кандидатами.   График работы: 5/2, суббота и воскресенье - выходные.   ДМС.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Функциональное тестирование|iOS|Тестирование|Мобильность|Проведение тестирований,3.0,56000.0,1.0,52857.142857142855,тестировщик,Без требований,"Проведение функционального, интеграционного, модульного тестирования (Android/iOS приложения, Веб). Написание тест кейсов, тестовых сценариев. Регистрация и контроль исправления дефектов. ",0.36666666666666664,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
