city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,ведение переговоров,настройка пк,навыки продаж,активные продажи,настройка сетевых подключений,настройка по,электронная почта,техническая эксплуатация,компонентный ремонт техники,"ремонт телефонов, планшетов, ноутбуков",other
Москва,Ginza Project,2019-12-04T11:49:11+0300, Обязанности:     Выстраивание света и звука в зале караоке   Поддержание оборудования в рабочем состоянии   Ремонт оборудования     Требования:     ​​​​​​​Опыт работы на данной должности   Знание клубной техники и умение её настраивать/чинить     Условия:     ​​​​​​​ЦАО   График работы: составляется индивидуально   Оплата труда: оклад 50.000т.р.       ,Полная занятость,Полный день,От 1 года до 3 лет,|Электронная почта,3.0,64575.757575757576,1.0,50000.0,техник по звуку и свету в караоке,Опыт работы на данной должности. Знание клубной техники и умение её настраивать/чинить.,Выстраивание света и звука в зале караоке. Поддержание оборудования в рабочем состоянии. Ремонт оборудования.,0.3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Москва,Staffline,2019-12-04T13:18:57+0300,"     Крупному холдингу по ремонту бытовой техники требуется мастер по ремонту стиральных и посудомоечных машин. Компания готова рассмотреть специалистов без опыта, так как организована профессиональная поддержка и обучение начинающих мастеров в собственном сервисном центре.    Условия:      Официальное Трудоустройство;   Удобные графики 5\2, 2\2,3\3,4\4 – 8-12 часов рабочего времени;   Отработанная логистика заказов (возможность выбирать заказы из единой системы прямо из дому и планировать свой рабочий день)   Ежедневные выплаты (от 40% с каждого заказа)   Доход в первый месяц 80-85 тр   Отчетность удаленно через терминалы;   Предлагаем широкие возможности для развития и карьерного роста;   Внимательное отношение к начинающим мастерам (готовы рассмотреть из других сфер и профессий с возможностью стажировки у нас и переквалификации )   Адекватное руководство, дружный коллектив профессионалов      Требования:      Средне специальное образование;   Опыт использования инструментов;   Желательно иметь успешный опыт ремонта техники;   Преимуществом будет опыт или желание работать с клиентами      Обязанности:      Предварительно проходит стажировка с опытным мастером в процессе работы   Внешняя и внутренняя диагностика основных неисправностей стиральных и посудомоечных машин;   Демонтаж встроенной техники;   Консультация клиента о предстоящем ремонте, работа согласно прайс-листу компании;   Модульная замена неисправных деталей и запчастей (без пайки и сложного ремонта);   Ведение документации о проделанном ремонте.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,64575.757575757576,1.0,85000.0,ученик мастер по ремонту бытовой техники,Средне специальное образование. Опыт использования инструментов. Желательно иметь успешный опыт ремонта техники. Преимуществом будет опыт или желание работать с клиентами.,Предварительно проходит стажировка с опытным мастером в процессе работы. Внешняя и внутренняя диагностика основных неисправностей стиральных и посудомоечных машин. ,0.3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Москва,ТрансТехСвязь,2019-12-13T11:58:10+0300,"  Должностные обязанности    Техническое обслуживание и ремонт стационарных касс и билетопечатающих аппаратов расположенных на станциях электричек Москвы и области. Работа разъездная.     Проведение комплекса ежемесячных плановых работ по техническому обслуживанию оборудования.   Диагностика, ремонт, замена неисправных запчастей и комплектующих.   Установка, обновление, настройка ПО.   Заполнение сопутствующей документации, ведение отчетности.      Требования      Уверенное знание ПК (сборка, настройка ПО, подключение Интернета и т.д.).   Желание обучаться и развиваться.   Навыки пользования паяльником, ручным и электроинструментом.   Коммуникабельность и пунктуальность.   Мобильность, готовность к разъездной работе.      Условия      Официальная заработная плата от 51 725 (руб. до вычета).   Выплата два раза в мес. равными частями, без задержек день в день.   График 5/2 с 09:00 до 18:00.   Корпоративная мобильная связь (SIM-карта).   ДМС после успешного прохождения испытательного срока.   Оплата проезда на ж/д транспорте (выдается специальная безлимитная карта).   Предоставление полного технического обеспечения (инструмент, расходные материалы, спецодежда).   Обучение внутри компании до выхода на работу (после оформления).   Техническая поддержка и консультации от экспертного отдела компании.      Перспективы роста      Ведущий техник - Старший техник - Технический эксперт   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,64575.757575757576,1.0,51725.0,техник специалист по обслуживанию билетопечатающих автоматов и контрольно кассовой техники,"Уверенное знание ПК (сборка, настройка ПО, подключение Интернета и т.д.). Желание обучаться и развиваться. Навыки пользования паяльником, ручным и...","Проведение комплекса ежемесячных плановых работ по техническому обслуживанию оборудования. Диагностика, ремонт, замена неисправных запчастей и комплектующих. Установка, обновление, настройка ПО. ",0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,SAWATZKY,2019-11-27T11:25:55+0300," Обязанности:     Техническая эксплуатация и обслуживание инженерных систем комплекса, электроустановок, электрооборудования;   Выполнение аварийно-восстановительных работ и мелких монтажных работ в электроустановках;     Требования:     Опыт работы в аналогичной должности от 3-х лет;   Техническое образование будет вашим преимуществом;   Знание основ построения и функционирования систем электроснабжения и электрооборудования зданий и сооружений;     Условия:     График работы 1/3 с 8:00 до 8:00;   Белая заработная плата;   Официальное оформление по ТК.   ",Полная занятость,Сменный график,От 3 до 6 лет,|Техническая эксплуатация,6.0,37000.0,3.0,33000.0,техник электрик,Опыт работы в аналогичной должности от 3-х лет. Техническое образование будет вашим преимуществом. Знание основ построения и функционирования систем...,"Техническая эксплуатация и обслуживание инженерных систем комплекса, электроустановок, электрооборудования. Выполнение аварийно-восстановительных работ и мелких монтажных работ в электроустановках.",0.5333333333333333,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Санкт-Петербург,Сеть сервисных центров Бюро Ремонта,2019-11-19T15:25:22+0300,"       Мы молодая, динамично развивающаяся компания, за 3 месяца работы открыли уже 3 сервиса! Наша компания занимаемся ремонтом техники любой сложности. Подробнее о компании вы можете узнать на нашем официальном сайте       Нам нужны активные, целеустремленные, инициативные сотрудники любящие своё дело!      Обязанности:        Диагностика, ремонт, наладка и модернизация техники     Модульный ремонт: замена дисплеев, акб, шлейфов, кнопок, корпусов и т.д.;   Восстановление корпусных частей и плат после воды или падения   Прошивка устройств, программный ремонт;   Решение любых задач с программным обеспечением, переустановка Windows   ведение отчетности по ремонту в клиентской базе (комментарии по приемке и ремонту, указание результатов диагностики, сроков ремонта и т.д.);     Наличие реального опыта в пайке - большой плюс, условия оплаты обсуждаются индивидуально.        Требования:      Желание работать и развиваться вместе со стремительно развивающейся компанией;   Знание внутреннего устройства ПК, ноутбука, планшета, смартфона и т.д.;      Условия:        Заработная плата: оклад 16.000 руб. +% за ремонт техники и продажу аксессуаров  (Наши опытные инженеры зарабатывают свыше 50 тыс. руб.)        Полностью оборудованное комфортное рабочее место;       Гибкий график 2/2 или 5/2 (выходные на выбор);       Обучение в период стажировки;     Отличный молодой коллектив и руководство;   Возможность карьерного роста.      Для кандидатов, владеющих пайкой, обсуждаются индивидуальные условия оплаты на собеседовании.  ",Полная занятость,Гибкий график,Нет опыта,"|компонентный ремонт техники|ремонт телефонов, планшетов, ноутбуков|модульный ремонт техники|ремонт цифровой техники|ремонт электронники",,80000.0,,30000.0,мастер по ремонту цифровой техники,"Желание работать и развиваться вместе со стремительно развивающейся компанией. Знание внутреннего устройства ПК, ноутбука, планшета, смартфона и т.д..","Диагностика, ремонт, наладка и модернизация техники. Модульный ремонт: замена дисплеев, акб, шлейфов, кнопок, корпусов и т.д.. Восстановление корпусных частей...",0.8,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Санкт-Петербург,Фаворит,2019-12-13T10:17:15+0300," Требуются ученики или мастера по ремонту офисной техники.   В связи с тем, что поступает большой поток заявок, срочно требуются мастера по ремонту, можно без опыта!!! В техническом отделе проведут полное обучение!!   Обязанности:       Выездная работа       Проведение диагностики и ремонта       Ежедневная отчетность (возможно удаленно)       Условия:       Гибкая система мотивации: 30% мастеру       Отчеты по заказам через приложение       Перечисление денег на карту - в офис ехать не нужно       от 3 заказов в день МИНИМУМ! Удобная география работы!       ЕЖЕДНЕВНЫЕ выплаты       Гибкий, удобный сменный график       Заказы по месту проживания       На период стажировки предоставляем необходимое оборудование       Зарплата от 3000 рублей в день       Техническая поддержка и помощь на всех этапах работы       Опыт работы с клиентами приветствуется       Желание зарабатывать и развиваться в техническом направлении как мастер!     ",Полная занятость,Полный день,Нет опыта,|Навыки коммуникации|Пунктуальность|Обучаемость,,90000.0,,50000.0,мастер стажер по ремонту оргтехники,Опыт работы с клиентами приветствуется. Желание зарабатывать и развиваться в техническом направлении как мастер!,Выездная работа. Проведение диагностики и ремонта. Ежедневная отчетность (возможно удаленно). Отчеты по заказам через приложение. Перечисление денег на карту - в...,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Санкт-Петербург,"Хеликс, лабораторная служба",2019-12-09T13:07:36+0300," Обязанности:     Обработка заявок на закупку оборудования через HelpDesk систему (компьютерная техника, серверное и сетевое оборудование);   Взаимодействие с поставщиками (оформление заказов, согласование условий по цене, дате и способу поставки, контроль сроков доставки оборудования);   Обеспечение постоянного наличия необходимого оборудования на складе;   Составление бюджета на месяц/год, заведение и контроль оплаты счетов, заведение первичной документации в 1С;   Предоставление и обслуживание сотрудников корпоративной мобильной связью;   Отправка оборудования на гарантийный и не гарантийный ремонт;   Инвентаризация оборудования;   Взаимодействие с другими подразделениями компании.     Требования:     Опыт работы в закупках/снабжении организации компьютерной техникой от 1 года;   Знание компьютерных комплектующих и сетевого оборудования;   Коммуникабельность, обучаемость;   Грамотная письменная и устная речь;   Опыт работы в программе 1С.     Условия:     Работа в стабильной компании с крупной развитой IT-инфраструктурой;   Офис в историческом центре города у м. Петроградская (5 минут пешком);   График работы - 5/2 (9:30-18:00);   Официальное оформление и социальные гарантии (отпуск, больничный);   Своевременная заработная плата 2 раза в месяц (уровень обсуждается индивидуально с успешными кандидатами);   Комфортная рабочая зона (комната для приема пищи, чай/кофе), корпоративные билеты в Зоопарк;   Скидки на услуги компании для сотрудников и их семей, подарки на праздники   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,83666.66666666669,1.0,46857.142857142855,менеджер по снабжению менеджер по закупкам техники ит,"Опыт работы в закупках/снабжении организации компьютерной техникой от 1 года. Знание компьютерных комплектующих и сетевого оборудования. Коммуникабельность, обучаемость. ","Обработка заявок на закупку оборудования через HelpDesk систему (компьютерная техника, серверное и сетевое оборудование). Взаимодействие с поставщиками (оформление заказов, согласование...",0.13333333333333333,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,ЭР-Телеком,2019-12-03T19:43:24+0300," Обязанности:     Работа с физическими лицами на территории Клиентов;   Осуществление монтажных работ по подключению Клиентов (прокладка кабеля от установленного оборудования до квартиры; обжимка кабеля; закрепление кабеля наружным способом);   Подключение услуг и первичная настройка;   Информирование Клиента о действующих тарифах, акциях, скидках;   Заполнение актов выполненных работ, договоров и бланков;   Отчетность.     Требования:     Уверенный пользователь ПК;   Умение работать с электроинструментом (перфоратором, дрелью);   Готовность к большому объёму работы;   Аккуратность, вежливость, пунктуальность;   Опыт работы на аналогичной должности (желательно).     Условия:     Сдельно-премиальная оплата труда, доход от 45 000 руб/мес ;   График работы: 5/2   Оформление по ТК РФ, белая заработная плата;   Выплата больничных и отпускных;   Индивидуальное построение смен (ненормированный рабочий день);   Работа разъездного характера;   Форма, инструменты и расходные материалы предоставляются;   Возможность обучения и карьерного роста.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,65000.0,1.0,45000.0,монтажник слаботочных систем техник по подключению,"Уверенный пользователь ПК. Умение работать с электроинструментом (перфоратором, дрелью). Готовность к большому объёму работы. Аккуратность, вежливость, пунктуальность. Опыт работы на...",Работа с физическими лицами на территории Клиентов. Осуществление монтажных работ по подключению Клиентов (прокладка кабеля от установленного оборудования до квартиры...,0.3333333333333333,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,ОПТИМУС ПРАЙМ,2019-12-11T08:56:17+0300,"  В Ваши обязанности будет входить:      Диагностика техники Apple   Консультирование клиентов о причинах неисправностей и способ их избегания.   Установка и настройка программного обеспечения   Оформление документов после заказа          Требования:      Навыки и опыт в ремонте смартфонов и планшетов Apple желателен, но не обязателен;   Умение общаться с потенциальными клиентами, отличные переговорные навыки, грамотная устная и письменная речь, умение четко излагать свои мысли, опыт работы в продажах   Разъездная работа       Условия:      Совокупная заработная плата от 70 000 рублей в месяц (лучшие мастера получают значительно больше)   Стабильный поток заявок   Оплата проезда и мобильной связи;   Наставничество опытных мастеров в процессе работы   График работы согласовывается (есть возможность работать по совместительству и по студенческому графику)   Возможность карьерного роста внутри компании (мы только начинаем расти)    Бесплатное обучение внутри компании с последующим гарантированным трудоустройством    Проверенная система наставничества и адаптации во время работы    Ежедневные выплаты    Наша компания даёт шанс освоить новую для себя профессию, которая всегда будет востребована на рынке труда.   ",Полная занятость,Полный день,Нет опыта,|Клиентоориентированность|Прямые продажи|Работа с возражениями|выездной ремонт|сервисный инженер|ремонт техники Apple|Пользователь ПК|Ведение переговоров|Навыки продаж,,150000.0,,70000.0,ученик мастера по ремонту техники apple,"Навыки и опыт в ремонте смартфонов и планшетов Apple желателен, но не обязателен. Умение общаться с потенциальными клиентами, отличные переговорные...",Диагностика техники Apple. Консультирование клиентов о причинах неисправностей и способ их избегания. Установка и настройка программного обеспечения. Оформление документов после...,0.06666666666666667,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Санкт-Петербург,РАМЭК - ВС,2019-12-09T09:07:21+0300," Компании РАМЭК, ведущему производителю компьютерного оборудования и разработчику информационных технологий, требуется   Менеджер по продажам       Обязанности:      Продажа вычислительной техники и компьютерного оборудования;   Активное развитие закрепленной территории (регионы РФ);   Выполнение установленных планов продаж;   Планирование и отчётность по своему направлению деятельности.      Требования:      Высшее образование (экономическое, техническое);   Опыт активных продаж, в том числе региональных;   Хорошее знание рынка IT и компьютерного оборудования;   Отлично развитый коммуникативный навык, нацеленность на результат.      Условия:    Работа в стабильной компании, являющейся одним из крупнейших российских системных интеграторов и производителей IT оборудования.     Оформление и социальные гарантии - согласно ТК РФ;   Полностью официальная заработная плата (оклад+премия);   Бесплатное питание в офисной столовой, предоставление полиса ДМС;   Пятидневная рабочая неделя, полный рабочий день;   Возможность обучения и профессионального развития;   Благоприятный психологический климат в коллективе;   Благоустроенный офис в промзоне Парнас, осуществляется развозка от/до ст. м. Пр. Просвещения, Академическая.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Поиск и привлечение клиентов|Ведение переговоров|Активные продажи|Управление продажами|Заключение договоров|Планирование продаж|Работа с дебиторской задолженностью,3.0,83666.66666666669,1.0,46857.142857142855,менеджер по продажам компьютерной техники,"Высшее образование (экономическое, техническое). Опыт активных продаж, в том числе региональных. Хорошее знание рынка IT и компьютерного оборудования. ",Продажа вычислительной техники и компьютерного оборудования. Активное развитие закрепленной территории (регионы РФ). Выполнение установленных планов продаж. Планирование и отчётность по...,0.13333333333333333,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
