city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Москва,Raiffeisenbank,2019-10-11T17:39:47+0300,"<p>Каждый день появляется всё больше новых небольших компаний, много кто запускает свой собственный бизнес. Но такой запуск достаточно тяжело провести без помощи сильного партнера, которым может стать наш Банк. Более того, даже запущенному и стабильному бизнесу требуется поддержка и кредитные средства для масштабирования и развития. А знаешь ли ты, как трудно такому клиенту малого Бизнеса получить тот самый заветный кредит? Большинство наших конкурентов помогают решить эту проблему и отправляют клиента в отделение, где его ждут длинные очереди, большое количество бумаг для заполнения, ожидание, объемный список нужных документов… а потом клиент уходит домой и … снова ждет.</p> <p>Но, такой процесс нам не нравится! Эта история не про нас и нашу команду. Мы одними из первых на рынке малого бизнеса уже запустили полностью диджитальный процесс и нашим клиентам больше не нужно идти в отделения, чтобы получить одобрение и сами средства! Достаточно заполнить анкету на сайте и получить решение уже за 5 минут, а еще через некоторое время – уже и сами средства на расчетный счет в интернет-банке. Весь процесс – это уже не вопрос времени и удобства, а максимально быстрое и комфортное взаимодействие нашего клиента и банка.</p> <p>Как ты понял, мы и занимаемся развитием всех дистанционных процессов, связанных с кредитованием малого бизнеса, которые живут в мобильных приложениях, интернет-Банке, учетных системах и различных других дистанционных веб-сервисах.<br />Более того, от наших конкурентов нас отличает не только простота и богатая функциональность, но и сильная команда опытных экспертов, объединенных большим интересом и общей целью - вывести удобство предпринимателей в России на новый уровень.</p> <p>Мы рассматриваем к себе таких же крутых, активных и инициативных экспертов. Если ты один из них, готов к новым вызовам, ждем твоего отклика!</p> <p><strong>Вместе с нами ты будешь:</strong></p> <ul> <li>разрабатывать эффективные интерфейсы для веб и мобильных приложений;</li> <li>проектировать и создавать интерактивные прототипы;</li> <li>анализировать потребности и сценарии использования;</li> <li>проверять дизайн-решения быстрыми юзабилити-тестами и метриками;</li> <li>уверенным и открытым.</li> </ul> <p><strong>Мы ждём, что ты:</strong></p> <ul> <li>имеешь опыт в проектировании систем с большим количеством данных;</li> <li>знаешь композицию, типографику и тренды в дизайне пользовательского опыта;</li> <li>готов анализировать задачи и погружаться в них;</li> <li>понимаешь принципы проведения качественных исследований и построения пользовательских сценариев;</li> <li>владеешь Sketch и инструментами прототипирования;</li> <li>умеешь работать с разработчиками «плечом к плечу»;</li> <li>сможешь показать портфолио с реальными проектами.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>высокий уровень свободы;</li> <li>атмосфера развития, вдохновленная принципами Agile;</li> <li>комфортный офис всего в одной минуте пешком от ст.метро &quot;Технопарк&quot; с собственным спортзалом и кафе;</li> <li>команда профессионалов, готовых делиться опытом;</li> <li>социальный пакет, включающий ДМС, страхование выезжающих за рубеж и не только;</li> <li>льготное кредитование, программа корпоративных скидок и не только;</li> <li>профессиональные обучающие курсы и конференции в России и за рубежом.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|UX|UI|Дизайн интерфейсов|Usability,3.0,46666.666666666664,1.0,38857.142857142855,дизайнер ux ui команды кредитования малого бизнеса,"Имеешь опыт в проектировании систем с большим количеством данных. Знаешь композицию, типографику и тренды в дизайне пользовательского опыта. ",Разрабатывать эффективные интерфейсы для веб и мобильных приложений. Проектировать и создавать интерактивные прототипы. Анализировать потребности и сценарии использования. ,14
Москва,Пилот,2019-10-21T11:02:02+0300,"<p><strong><em>Компания &quot;Пилот&quot; основана в 1992 году. С момента образования и по сегодняшний день, основным направлением деятельности компании являются продажа и последующее обслуживание торгово-кассового и весового оборудования а также создание программно-аппаратных комплексов для предприятий розничной торговли и сетевых ритейлеров.</em></strong></p> <p><strong><em>Филиалы компании &quot;Пилот&quot; успешно работают во многих регионах России. Ежегодно компания &quot;Пилот&quot; участвует в открытии десятков крупнейших магазинов розничной торговли, а также поддерживает работу магазинов многих известных торговых сетей, в том числе &quot;Ашан&quot;, &quot;Магнит&quot;, &quot;Детский мир&quot;, &quot;Л&#39;Этуаль&quot;, &quot;Рольф&quot; и многих других.</em></strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Управление активностью коммерческого подразделения; организация и контроль работы менеджеров по продажам.</li> <li>Разработка стратегии продвижения продуктов компании, активное участие в маркетинговых мероприятиях.</li> <li>Формирование планов и обеспечение их достижения (по обороту и по прибыли).</li> <li>Развитие профессиональных знаний и умений сотрудников отдела продаж.</li> <li>Контроль графика платежей, состояния дебиторской задолженности.</li> <li>Организация работы по ведению, анализу и систематизации клиентской базы, работа в CRM - системе.</li> <li>Активное участие в автоматизация процессов на предприятии.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы от 3 лет на позиции руководителя коммерческого подразделения; опыт построения эффективной команды.</li> <li>Стратегическое мышление.</li> <li>Системный подход к ведению задач.</li> <li>Финансовая грамотность; понимание принципов ценообразования.</li> <li>Знание основ практического маркетинга.</li> <li>Опыт личных продаж и навыки ведения сложных переговоров.</li> <li>Высокие коммуникативные и презентационные навыки;</li> <li>Умение вести переговоры с ЛПР.</li> <li>Опыт разработки систем мотиваций, найма персонала.</li> <li>Готовность предоставить рекомендации по запросу.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление в соответствии с ТК РФ,100% официальная (белая) заработная плата.</li> <li>График работы 5/2 с 09:30 до 18:00.</li> <li>ДМС; корпоративная мобильная связь.</li> <li>Офис - м. Электрозаводская (рядом с метро).</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|Управление продажами|B2B Продажи|Развитие продаж|CRM,6.0,46666.666666666664,3.0,38857.142857142855,руководитель отдела продаж,Опыт работы от 3 лет на позиции руководителя коммерческого подразделения; опыт построения эффективной команды. Стратегическое мышление. Системный подход к ведению...,"Управление активностью коммерческого подразделения; организация и контроль работы менеджеров по продажам. Разработка стратегии продвижения продуктов компании, активное участие в маркетинговых...",5
Москва,Ростелеком,2019-10-14T12:09:53+0300,"<p>Обязанности:</p> <p>Разработка и реализация плана маркетинговых активностей для продвижения продукта;</p> <p>Организация участия в мероприятиях и проведение собственных мероприятий;</p> <p>Разработка презентаций, листовок и других материалов;</p> <p>Подготовка текстов для задач макркетинга, PR и интерфейсов;</p> <p>Разработка и внедрение маркетинговых метрик по работе с системой;</p> <p>Организация рекламных кампаний в digital;</p> <p> </p> <p>От вас:</p> <p>Высшее образование;</p> <p>Опыт работы от 2х лет в направление digital-маркетинга;</p> <p>Опыт работы с полным комплексом маркетинговых мероприятий;</p> <p>Опыт работы с Google Analytics и Firebase;</p> <p>Готовность глубоко погружаться в продукт;</p> <p>Управленческие навыки;</p> <p>Английский - upper.</p> <p> </p> <p>Что готовы предложить:</p> <p>Работа в ведущей цифровой компании;</p> <p>Оформление по ТК РФ, «белая» заработная плата (оклад + премии);</p> <p>ДМС со стоматологией;</p> <p>Корпоративные скидки на спорт, программы финансовой поддержки сотрудников;</p> <p>Офис в центре города;</p> <p>Профессиональный рост в молодой и сильной команде.</p>",Полная занятость,Полный день,От 3 до 6 лет,|Digital Marketing|Маркетинговый анализ|Разработка нового продукта|Планирование маркетинговых кампаний|Мобильный маркетинг,6.0,46666.666666666664,3.0,38857.142857142855,digital manager,От вас: Высшее образование. Опыт работы от 2х лет в направление digital-маркетинга. Опыт работы с полным комплексом маркетинговых...,"Разработка и реализация плана маркетинговых активностей для продвижения продукта. Организация участия в мероприятиях и проведение собственных мероприятий. Разработка презентаций, листовок...",12
Москва,Ингосстрах,2019-10-21T16:54:30+0300,"<p><strong>Ингосстрах- компания с многолетним опытом, экспертизой и жаждой перемен. Мы разрабатываем цифровые решения и создаем одни из лучших продуктов на рынке страхования. Внедряя новые современные сервисы, мы ломаем стереотипы, предлагаем клиентам удобное страхование, доступные услуги и постоянно повышаем качество обслуживания.</strong></p> <p><strong>Приглашаем в команду Руководитель направления интернет-маркетинга. </strong></p> <p><strong>Что нужно делать:</strong></p> <ul> <li>Организация рекламных кампаний с целью продвижения онлайн-продуктов и сервисов компании;</li> <li>Функциональные требования по вопросам улучшения юзабилити сайта и технической реализации функционала сайта;</li> <li>Информационное наполнение и обновление продуктового контента сайта;</li> <li>Работа с сервисами онлайн статистики и аналитики для подготовки еженедельных аналитических отчетов по посещаемости сайта, конверсии трафика и заявок, онлайн продажам через сайт, мобильные приложения и т.д;</li> <li>Ведение и контроль за эффективностью рекламных кампаний (создание рекламных объявлений, публикация, оценка эффективности).</li> </ul> <p><strong>Что нужно знать и уметь:</strong></p> <ul> <li>Высшее образование;</li> <li>Опыт работы в маркетинге и рекламе от 2-х лет;</li> <li>Опыт развития сайта в сегменте B2C;</li> <li>Навыки управления контекстной рекламой ЯндексДирект и ГуглАдвордс;</li> <li>Настройка онлайн аналитики в сервисах Яндекс Метрика и ГуглАналитика;</li> <li>Создание и разработка рекламных материалов;</li> <li>Оптимизация контента вебсайта для целей повышения конверсии и улучшения показателей SEO.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Работу в ТОП-10 страховых компаний РФ;</li> <li>Стабильную заработную плату + ежеквартальные премии;</li> <li>График работы 5/2 с 9:00-18:00;</li> <li>Соц. пакет: ДМС (в том числе для родственников), 5 дней оплачиваемого больничного;</li> <li>Возможность совершенствовать себя в одном из лучших Корпоративных университетов + бесплатный корпоративный доступ к электронной библиотеке Альпина;</li> <li>Предложения от партнёров: уникальные скидки на приобретение недвижимости, фитнес и изучение языков(Skyeng), каршеринг и покупку авто, и пр.;</li> <li>Активную спортивную жизнь внутри компании: бассейн, бег, волейбол, йога и многое другое;</li> <li>Льготные условия на страховые продукты (страхование имущества, автотранспорта, ВЗР);</li> <li>Сильную команду вовлеченных профессионалов;</li> <li>Место работы: м. Ул. 1905 года.</li> </ul> <p>#влюбленныевсвоёдело</p>",Полная занятость,Полный день,От 3 до 6 лет,,6.0,46666.666666666664,3.0,38857.142857142855,руководитель направления интернет маркетинга,Высшее образование. Опыт работы в маркетинге и рекламе от 2-х лет. Опыт развития сайта в сегменте B2C. ,Организация рекламных кампаний с целью продвижения онлайн-продуктов и сервисов компании. Функциональные требования по вопросам улучшения юзабилити сайта и технической...,4
Москва,Графит,2019-10-08T16:17:34+0300,"<p>Открыта вакансия гейм-дизайнера на наш новый проект! Мы ищем человека, который помог бы разработать и воплотить в жизнь концепт новой игры на ранних этапах. Нас привлекут стремление развиваться в команде, гибкость в принятии решений, умение лаконично формулировать основные идеи. Приветствуется опыт работы над карточными настольными играми и написания игровых сценариев, а также владение английским.</p> <p>В обязанности на первых этапах работы над проектом будет входить:</p> <p>— Разработка игровых стратегий, подготовка основных правил игры</p> <p>— Помощь в создании питч-проекта для презентации на фестивалях и форумах</p> <p>— Анализ игрового рынка и разработки маркетинговых стратегий</p> <p>— Совместная работа с продюсерами игры, художниками, аниматорами, позже - программистами</p> <p>Вас ждет дружный коллектив, удобные офисы в Санкт-Петербурге, Воронеже и Москве, возможности для быстрого развития и конкурентоспособная зарплата.<br /><br />Также рассмотрим возможность удалённого сотрудничества.</p>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|Написание сценариев|Английский язык|Креативность|Подготовка презентаций|Художник|Анимация|Разработка концепции|Работа в команде|Гибкость|Анализ рынка,3.0,46666.666666666664,1.0,38857.142857142855,гейм дизайнер,,"Разработка игровых стратегий, подготовка основных правил игры. — Помощь в создании питч-проекта для презентации на фестивалях и форумах. — ",17
Москва,DigitalHR,2019-10-16T12:31:47+0300,"<p>Лидер телекоммуникационного рынка России в поиске менеджера проектов.</p> <p><strong>Задачи:</strong></p> <p>Управление процессом взаимодействия с бизнес-направлением по реализации задач и проектов:</p> <p>— сбор и анализ поступающих задач;<br />— идентификация и формализация пользовательских сценариев;<br />— оценка влияния выполнения задач на цели компании;<br />— оценка трудозатрат и приоритизация задач с представителями от бизнес-направления;<br />— планирование и организация проведения работ;<br />— управление и контроль реализацией изменений;<br />— оценка эффективности и качества выполненных изменений.</p> <p>Организация исследований клиентских предпочтений, бенчмаркинга и конкурентного анализа аналогичных решений у операторов связи, банков, e-commerce и других лидеров рынка.</p> <p>Управление полной цепочкой требований от бизнес-целей до спецификаций и алгоритмов.</p> <p>Подготовка требований на реализацию новых и доработку существующих систем и ИТ-решений внутри компании и для внешних партнеров.</p> <p>Участие в формировании стратегии развития диджитал продуктов.</p> <p>Формирование отчетности по выполнению целей и другим ключевым метрикам для участников бизнес-направления для оценки эффективности выполненных изменений.</p> <p>Организация полного цикла работ по выполнению задачи внутри:</p> <p>— проектирование и дизайн;<br />— разработка бэк и фронт систем;<br />— подготовка тест-кейсов и организация тестирования;<br />— аналитика выполненных изменений.</p> <p>Распределение входящих задач на сотрудников направления и контроль их выполнения.</p> <p>Управление крупными задачами и проектами на стороне проекта.</p> <p><strong>Требования:</strong></p> <p>Опыт управления проектами и разработкой онлайн-продуктов с применением гибких методологий (опыт от 2-х лет).</p> <p>Опыт проведения продуктового анализа.</p> <p>Знание процесса разработки веб- и мобильных приложений.</p> <p>Знание тенденций развития интернет-рынка, цифровых сервисов и технологий, на которых они работают.</p> <p>Знание подходов построения информационных систем.</p> <p>Опыт подготовки бизнес-требований, функциональных дизайнов и технических заданий.</p> <p>Опыт проектной работы со сторонними разработчиками (с любой из сторон, но лучше – на стороне заказчика).</p> <p>Умение объяснять сложные вещи простым языком и аргументированно отстаивать свою точку зрения.</p> <p>Разделять принципы agile, работать в Jira или аналогах.</p> <p><strong>Компания предлагает:</strong></p> <ul> <li>Оформление по ТК РФ.</li> <li>ДМС со стоматологией.</li> <li>Частичная компенсация затрат на спорт.</li> <li>Возможность поработать в одной из самых известных компаний на российском рынке.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,46666.666666666664,1.0,38857.142857142855,projeсt manager,Опыт управления проектами и разработкой онлайн-продуктов с применением гибких методологий (опыт от 2-х лет). Опыт проведения продуктового анализа. ,Управление процессом взаимодействия с бизнес-направлением по реализации задач и проектов: — сбор и анализ поступающих задач. — идентификация и формализация пользовательских...,10
Москва,the_covert,2019-09-30T11:33:51+0300,"<p>Мы – одна из лидирующих компаний на международном ИТ рынке, создающая собственные продукты уже более 10 лет!</p> <p>Для нас очень важно желание создавать что-то крутое, желание учиться и развиваться вместе с нами, проявлять искренний интерес к той сфере, в которой мы работаем.</p> <p>Сейчас мы ищем <strong>Digital Marketing Project manager</strong>&#39;а!</p> <p><strong>Задачи:</strong></p> <p>• Заниматься проектным, а в некоторых случаях и продуктовым менеджментом, формулировать и проверять гипотезы.<br />• Отвечать за успешное развитие проекта (создание и исполнение маркетинговой/PR стратегии, продвижение, оптимизация).<br />• Управлять ресурсами и формировать команду, необходимую для реализации стратегии.<br />• Разрабатывать концепции онлайн-мероприятий и продвигать их.<br />• Развивать партнерские программы.<br />• Инициировать, планировать и координировать маркетинговые активности в различных каналах, формируя KPI, сметы, тайминги и прогноз по финансовым показателям.<br />• В зависимости от задачи искать подрядчиков, составлять ТЗ, ставить задачи дизайнерам, программистам и авторам контента.<br />• Для решения конкретных задач, организовывать и координировать совместную работу с сотрудниками, отвечающими за SMM, SEO, E-mail и создание контента.<br />• Запускать и менеджерить медийные кампании направленные на охват и вовлечение (органика, не лидогенерация), а в некоторых случаях запускать внешнее продвижение совместно с таргетологами.<br />• Работать с аналитикой и цифрами, создавать информативные отчеты, а также оценивать эффективность проектов, постоянно находясь в поисках точек роста.</p> <p><br /><strong>Требования:</strong></p> <p>• Умение продумывать, запускать и оценивать эффективность маркетинговых активностей.<br />• Отличная самоорганизация, ответственность и системность в работе.<br />• Умение договариваться с людьми и быстро находить взаимовыгодные компромиссы.<br />• Опыт работы в IT компании/проекте, желательно с финансовыми продуктами, от 2 лет;<br />• Опыт привлечения органического трафика.</p> <p><strong>Свободный устный и письменный английский язык! </strong></p> <p> </p> <p><strong>Условия работы:</strong></p> <p>• График работы с 10:30 до 19:30.<br />• Высокая заработная плата для успешных кандидатов.<br />• Условия для быстрого профессионального развития и серьезной прокачки скиллов на самом огненном и драйвовом рынке.<br />• Интересные задачи и проекты, реализацией которых вы будете гордиться.<br />• Отсутствие дресс-кода и минимум бюрократии.<br />• Уютный офис в бизнес-центре класса «А» (м. Павелецкая) со всем необходимым для комфортной работы и отдыха(бесплатные курсы йоги, испанского языка, свежие фрукты, снэки, турник, комнаты для сна, душ и прочее).<br />• 100% оплачиваемые больничные(14 дней в год), отпуск - 28 календарных дней.</p>",Полная занятость,Полный день,От 1 года до 3 лет,|Управление проектами|Project management|Проектный менеджмент|Social Media Marketing|Internet Marketing|Разработка маркетинговой стратегии,3.0,46666.666666666664,1.0,38857.142857142855,digital marketing projeсt manager,"Умение продумывать, запускать и оценивать эффективность маркетинговых активностей. Отличная самоорганизация, ответственность и системность в работе. Умение договариваться с людьми и...","Заниматься проектным, а в некоторых случаях и продуктовым менеджментом, формулировать и проверять гипотезы. Отвечать за успешное развитие проекта (создание и...",26
Москва,Банк Восточный,2019-10-17T12:18:59+0300,"<strong>Обязанности:</strong> <p>• Проект внедрения платформы – ЕБС (Единая биометрическая система) – внедрение, масштабирование, монетизация.<br />• Разработка и поддержка digital продуктов/сервисов, на основании стратегии развития Банка и потребностях пользователей<br />• Конкурентный анализ, выявление потребностей пользователей, работа с метриками, подготовка предложений по созданию новых сервисов<br />• Управление процессом формирования и согласования требований, определение скоупа, управление изменениями, разработка и утверждение новых бизнес-процессов;<br />• Формирование дорожной карты проекта, контроль исполнения проектных задач, управление сроками и рисками;<br />• Уточнение требований, постановка, декомпозиция и оценка задач, взаимодействие с заказчиками;<br />• Взаимодействие с отделом разработки, тестирования, аналитики, подрядчиками, другими подразделениями;<br />• Составление планов по подготовке и внедрению продуктов, определение контрольных точек<br />• Контроль хода проектов<br />• Разъяснение требований команде разработчиков<br />• Участие в приёмочном тестировании<br />• Участие в анализе дефектов</p> <strong>Требования:</strong> <p>• Высшее образование (техническое).<br />• Опыт работы в сфере управления проектами не менее 3х лет<br />• Опыт разработки функциональных спецификаций, начиная от сбора и анализа требований и заканчивая согласованием финального документа со всеми заинтересованными лицами<br />• Навыки работы с ПК (MsOffice + средства моделирования бизнес-процессов)<br />• Сильные аналитические навыки, системный подход к работе с данными.<br />• Умение составлять качественную документацию.<br />• Хорошие коммуникативные навыки;<br />• Умение быстро вникнуть в предметную область;<br />• Знание принципов банковской деятельности будет преимуществом</p> <p><strong>Условия:</strong></p> <p>Работа в банке ТОП 10 лучших работодателей среди кредитных организаций<br />• График работы с 09:00 до 18:00 - 5/2<br />• испытательный срок – 3 месяца<br />• Программа ДМС<br />• Адрес: г. Москва, Суворовская площадь<br />• Отличная рабочая атмосфера и сплоченная команда</p>",Полная занятость,Полный день,От 3 до 6 лет,,6.0,46666.666666666664,3.0,38857.142857142855,руководитель проекта,"Высшее образование (техническое). Опыт работы в сфере управления проектами не менее 3х лет. Опыт разработки функциональных спецификаций, начиная от...","Проект внедрения платформы – ЕБС (Единая биометрическая система) – внедрение, масштабирование, монетизация. Разработка и поддержка digital продуктов/сервисов, на основании стратегии развития...",9
Москва,Банк Открытие,2019-10-03T18:35:46+0300,"<strong>Обязанности:</strong> <ul> <li>Формирование концепции развития продуктов в онлайн-каналах МСБ (интернет-банк);</li> <li>Формирование ключевых показателей эффективности продукта и стратегии по их достижению;</li> <li>Ответственность за финансовый результат и уровень удовлетворенности клиента онлайн-каналом;</li> <li>Формирование портфеля бэклога продукта и самостоятельное управление бэклогом;</li> <li>Регулярный мониторинг рынка, анализ обратной связи от клиентов по продукту и планирование улучшений.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт не менее 2-х лет в сфере финансовых услуг (опыт управления PnL будет преимуществом) + опыт владельцем продукта от 2-х лет;</li> <li>Опыт развития продуктов в онлайн-каналах МСБ;</li> <li>Понимание потребностей клиентов и умение их формализовать;</li> <li>Умение смотреть на продукт глазами клиента;</li> <li>Умение составить бэклог, определить приоритеты, умение работать с метриками;</li> <li>Успешный опыт командной работы, знание Agile (Scrum);</li> <li>Развитые коммуникативные и лидерские качества, нацеленность на результат и высокая самоотдача</li> </ul> <strong>Мы предлагаем вам:</strong> <ul> <li>Стать частью крупного, динамично развивающегося банка;</li> <li>Работу в команде единомышленников, неравнодушных к передовым технологиям и практикам;</li> <li>Неограниченные возможности для совершенствования ваших навыков и знаний, обучаясь у лучших и решая сверхамбициозные задачи;</li> <li>Позитивную рабочую атмосферу, дружный коллектив;</li> <li>Удобное расположение офиса в центре Москвы;</li> <li>Достойную и конкурентную заработную плату, квартальные и годовые премии, размер которых зависит от результатов вашей работы;</li> <li>Разнообразный социальный пакет: ДМС, страхование жизни, страхование для выезжающих за границу, льготные условия приобретения банковских продуктов, скидки в фитнес-клубах и в компаниях-партнерах.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|Работа в команде|Клиентоориентированность|Управление командой|Управление отношениями с клиентами|Лидерство|PnL|Agile Project Management,3.0,46666.666666666664,1.0,38857.142857142855,produсt owner отдела развития электронных каналов,Опыт не менее 2-х лет в сфере финансовых услуг (опыт управления PnL будет преимуществом) + опыт владельцем продукта от...,Формирование концепции развития продуктов в онлайн-каналах МСБ (интернет-банк). Формирование ключевых показателей эффективности продукта и стратегии по их достижению. ,22
Москва,Корпорация Медицинские электронные данные,2019-10-25T18:01:17+0300,"<p>MedAboutMe.ru - информационно-сервисный портал о здоровье и медицине, который ежемесячно посещают миллионы пользователей. Предлагаю вам рассмотреть вакансию Интернет-маркетолога в нашей компании.</p> <p>Главной задачей Исполнительного директора будет операционное управление медицинским Интернет-порталом medaboutme.ru</p> <p><strong>Обязанности:</strong></p> <ul> <li>Организация работы компании: финансы, отдел маркетинга, отдел продаж, отдел разработки, экспертный медблок</li> <li>Подготовка и ведение отчетности по результатам деятельности отделов</li> <li>Разработка и внедрение регламентов Бизнес-процессов</li> <li>Подготовка презентаций для акционеров</li> <li>Переговоры с ключевыми контрагентами и клиентами</li> </ul> <strong>Требования:</strong> <ul> <li>Работа в Excel, способность формировать и готовить управленческую отчетность</li> <li>Знание Интернет-маркетинга</li> <li>Понимание технических аспектов интернет бизнеса</li> <li>Умение управления проектами</li> </ul> <strong>Условия:</strong> <ul> <li> <p>Работа в стабильной компании;</p> </li> <li> <p>Заработная плата обсуждается по итогам собеседования и зависит от опыта кандидата;</p> </li> <li> <p>График работы 5/2 с 10.00 до 19.00;</p> </li> <li> <p>Официальное трудоустройство;</p> </li> <li> <p>Интересная работа в отзывчивом коллектив</p> </li> </ul>",Полная занятость,Полный день,Более 6 лет,|MS Excel|Управленческая отчетность|Управление интернет-проектами|Internet Marketing|B2B Продажи,,46666.666666666664,6.0,180000.0,исполнительный директор интернет проекта,"Работа в Excel, способность формировать и готовить управленческую отчетность. Знание Интернет-маркетинга. Понимание технических аспектов интернет бизнеса. Умение управления проектами.","Организация работы компании: финансы, отдел маркетинга, отдел продаж, отдел разработки, экспертный медблок. Подготовка и ведение отчетности по результатам деятельности отделов. ",0
